"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2017","(Married) couple without C.","Rural Area","1.72","1","50","1","1","2","5","5","1.34","2.1","1","5","1","1"
"2017","(Married) couple without C.","Urban Area","2.42","1.15","159","1","1","4","5","5","2.17","2.67","1","5","1","2"
"2017","1-pers.-HH","Rural Area","1.99","1","331","1","1","3","5","5","1.84","2.14","1","5","1","1"
"2017","1-pers.-HH","Urban Area","1.91","1","784","1","1","2","5","5","1.81","2.01","1","5","1","1"
"2017","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2017","Couple + C. GT 16 ","Urban Area","2.13","1","76","1","1","4","5","5","1.73","2.53","1","5","1","2"
"2017","Couple + C. LE 16","Rural Area","2.14","1","696","1","1","3","5","5","2.02","2.26","1","5","1","2"
"2017","Couple + C. LE 16","Urban Area","2.02","1","1592","1","1","2","5","5","1.95","2.09","1","5","1","1"
"2017","Couple + C. LE and GT 16","Rural Area","2.2","1","197","1","1","4","5","5","1.98","2.42","1","5","1","1"
"2017","Couple + C. LE and GT 16","Urban Area","2.49","2","437","1","1","5","5","5","2.33","2.65","1","5","1","2"
"2017","Single parent","Rural Area","2.43","1","91","1","1","5","5","5","2.09","2.77","1","5","1","2"
"2017","Single parent","Urban Area","2.39","2","298","1","1","4","5","5","2.21","2.57","1","5","1","1"
"2018","(Married) couple without C.","Rural Area","1.59","1","43","1","1","2","3","5","1.25","1.93","1","5","1","1"
"2018","(Married) couple without C.","Urban Area","2.12","1","88","1","1","4","5","5","1.83","2.41","1","5","1","1"
"2018","1-pers.-HH","Rural Area","1.77","1","213","1","1","2","4","5","1.6","1.94","1","5","1","1"
"2018","1-pers.-HH","Urban Area","1.59","1","573","1","1","2","4","5","1.49","1.69","1","5","1","1"
"2018","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2018","Couple + C. GT 16 ","Urban Area","2.17","1","71","1","1","3","5","5","1.77","2.57","1","5","1","2"
"2018","Couple + C. LE 16","Rural Area","1.88","1","450","1","1","2","5","5","1.75","2.01","1","5","1","1"
"2018","Couple + C. LE 16","Urban Area","1.88","1","1208","1","1","2","5","5","1.81","1.95","1","5","1","1"
"2018","Couple + C. LE and GT 16","Rural Area","1.68","1","135","1","1","2","5","5","1.45","1.91","1","5","1","1"
"2018","Couple + C. LE and GT 16","Urban Area","2.04","1","379","1","1","3","5","5","1.89","2.19","1","5","1","1"
"2018","Single parent","Rural Area","2.25","2","81","1","1","3","5","5","1.9","2.6","1","5","1","2"
"2018","Single parent","Urban Area","1.82","1","246","1","1","2","5","5","1.64","2","1","5","1","1"
"2019","(Married) couple without C.","Rural Area","1.51","1","32","1","1","1","4","5","1.11","1.91","1","5","1","1"
"2019","(Married) couple without C.","Urban Area","1.66","1","81","1","1","2","4","5","1.42","1.9","1","5","1","1"
"2019","1-pers.-HH","Rural Area","1.45","1","191","1","1","2","2","5","1.32","1.58","1","5","1","1"
"2019","1-pers.-HH","Urban Area","1.52","1","470","1","1","1","4","5","1.42","1.62","1","5","1","1"
"2019","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2019","Couple + C. GT 16 ","Urban Area","1.79","1","78","1","1","2","4","5","1.45","2.13","1","5","1","2"
"2019","Couple + C. LE 16","Rural Area","1.82","1","411","1","1","2","4","5","1.7","1.94","1","5","1","1"
"2019","Couple + C. LE 16","Urban Area","1.71","1","1063","1","1","2","4","5","1.64","1.78","1","5","1","1"
"2019","Couple + C. LE and GT 16","Rural Area","1.76","1","147","1","1","2","4","5","1.54","1.98","1","5","1","1"
"2019","Couple + C. LE and GT 16","Urban Area","1.79","1","404","1","1","2","5","5","1.66","1.92","1","5","1","1"
"2019","Single parent","Rural Area","1.69","1","74","1","1","2","5","5","1.38","2","1","5","1","1"
"2019","Single parent","Urban Area","2.07","1","187","1","1","3","5","5","1.85","2.29","1","5","1","1"
