"ple0162","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes","2013","16-34 y.","indirect migration background","161","0.942947518257926","0.908680778337017","0.977214258178835","1"
"Yes","2013","35-65 y.","no migration background","3740","0.943510978076735","0.936349406593782","0.950672549559688","1"
"Yes","2013","35-65 y.","direct migration background","1054","0.933473097294011","0.919057697143734","0.947888497444289","1"
"Yes","2013","35-65 y.","indirect migration background","165","0.928640346825753","0.8910339280376","0.966246765613905","1"
"Yes","2013","66 and older","no migration background","2516","0.959388089266246","0.951837039895241","0.966939138637251","1"
"Yes","2013","66 and older","direct migration background","252","0.97508280738255","0.956208642285937","0.993956972479164","1"
"Yes","2013","66 and older","indirect migration background","2","","","","1"
"No","2014","16-34 y.","no migration background","","","","","2"
"No","2014","16-34 y.","direct migration background","","","","","2"
"No","2014","16-34 y.","indirect migration background","","","","","2"
"No","2014","35-65 y.","no migration background","","","","","2"
"No","2014","35-65 y.","direct migration background","","","","","2"
"No","2014","35-65 y.","indirect migration background","","","","","2"
"No","2014","66 and older","no migration background","","","","","2"
"No","2014","66 and older","direct migration background","","","","","2"
"No","2014","66 and older","indirect migration background","","","","","2"
"Yes","2014","35-65 y.","direct migration background","","","","","1"
"Yes","2014","16-34 y.","no migration background","","","","","1"
"Yes","2014","16-34 y.","direct migration background","","","","","1"
"Yes","2014","16-34 y.","indirect migration background","","","","","1"
"Yes","2014","35-65 y.","no migration background","","","","","1"
"Yes","2014","35-65 y.","indirect migration background","","","","","1"
"Yes","2014","66 and older","no migration background","","","","","1"
"Yes","2014","66 and older","direct migration background","","","","","1"
"Yes","2014","66 and older","indirect migration background","","","","","1"
"No","2015","16-34 y.","no migration background","99","0.193444497014399","0.162551247766779","0.224337746262019","2"
"No","2015","16-34 y.","indirect migration background","16","","","","2"
"No","2015","35-65 y.","no migration background","382","0.107690573482377","0.0976614808130184","0.117719666151735","2"
"No","2015","35-65 y.","direct migration background","81","0.104915355758132","0.0859220887713784","0.123908622744885","2"
"No","2015","16-34 y.","direct migration background","29","","","","2"
"No","2015","35-65 y.","indirect migration background","23","","","","2"
"No","2015","66 and older","no migration background","164","0.061517514777133","0.0523761695874274","0.0706588599668386","2"
"No","2015","66 and older","direct migration background","22","","","","2"
"No","2015","66 and older","indirect migration background","1","","","","2"
"Yes","2015","16-34 y.","no migration background","529","0.806555502985601","0.775662253737981","0.837448752233221","1"
"Yes","2015","16-34 y.","direct migration background","175","0.80637173472615","0.752148548618885","0.860594920833416","1"
"Yes","2015","16-34 y.","indirect migration background","115","0.842590833264514","0.780226566845361","0.904955099683667","1"
"Yes","2015","35-65 y.","no migration background","3288","0.892309426517623","0.882280333848265","0.902338519186982","1"
"Yes","2015","35-65 y.","direct migration background","919","0.895084644241868","0.876091377255115","0.914077911228622","1"
"Yes","2015","66 and older","indirect migration background","1","","","","1"
"Yes","2015","35-65 y.","indirect migration background","167","0.880658004077576","0.83456111871643","0.926754889438722","1"
"Yes","2015","66 and older","no migration background","2490","0.938482485222867","0.929341140033161","0.947623830412572","1"
"Yes","2015","66 and older","direct migration background","247","0.905441809700775","0.87047533902084","0.940408280380711","1"
"No","2016","16-34 y.","direct migration background","114","0.292444853762913","0.247182788454734","0.337706919071091","2"
"No","2016","16-34 y.","indirect migration background","","","","","2"
"No","2016","35-65 y.","no migration background","","","","","2"
"No","2016","16-34 y.","no migration background","","","","","2"
"No","2016","35-65 y.","direct migration background","82","0.153726663860236","0.122423161349996","0.185030166370476","2"
"No","2016","35-65 y.","indirect migration background","","","","","2"
"No","2016","66 and older","no migration background","","","","","2"
"No","2016","66 and older","direct migration background","","","","","2"
"No","2016","66 and older","indirect migration background","","","","","2"
"Yes","2016","16-34 y.","no migration background","","","","","1"
"Yes","2016","16-34 y.","direct migration background","274","0.707555146237087","0.662293080928908","0.752817211545266","1"
"Yes","2016","16-34 y.","indirect migration background","","","","","1"
"Yes","2016","35-65 y.","no migration background","","","","","1"
"Yes","2016","66 and older","direct migration background","19","","","","1"
"Yes","2016","35-65 y.","direct migration background","428","0.846273336139764","0.814969833629524","0.877576838650004","1"
"Yes","2016","35-65 y.","indirect migration background","","","","","1"
"Yes","2016","66 and older","no migration background","","","","","1"
"Yes","2016","66 and older","indirect migration background","","","","","1"
"No","2017","16-34 y.","no migration background","53","0.0978000034408887","0.0744560856961066","0.121143921185671","2"
"No","2017","16-34 y.","direct migration background","70","0.166112040459699","0.128137780772399","0.204086300146999","2"
"No","2017","16-34 y.","indirect migration background","16","","","","2"
"No","2017","35-65 y.","no migration background","194","0.041837350313331","0.0354512784302798","0.0482234221963823","2"
"No","2017","35-65 y.","indirect migration background","15","","","","2"
"No","2017","66 and older","no migration background","98","0.0390300500746384","0.0314626406680715","0.0465974594812053","2"
"No","2017","66 and older","direct migration background","16","","","","2"
"No","2017","66 and older","indirect migration background","","","","","2"
"No","2017","35-65 y.","direct migration background","100","0.0725460684361806","0.0577146642108512","0.08737747266151","2"
"Yes","2017","16-34 y.","no migration background","569","0.902199996559111","0.878856078814329","0.925543914303893","1"
"Yes","2017","16-34 y.","direct migration background","299","0.833887959540301","0.795913699853002","0.871862219227601","1"
"Yes","2017","16-34 y.","indirect migration background","124","0.895117415404556","0.844362773602329","0.945872057206783","1"
"Yes","2017","35-65 y.","no migration background","3582","0.958162649686669","0.951776577803618","0.96454872156972","1"
"Yes","2017","35-65 y.","direct migration background","1075","0.92745393156382","0.91262252733849","0.942285335789149","1"
"Yes","2017","35-65 y.","indirect migration background","201","0.944521094414301","0.913993612056885","0.975048576771718","1"
"Yes","2017","66 and older","no migration background","2418","0.960969949925362","0.953402540518795","0.968537359331929","1"
"Yes","2017","66 and older","direct migration background","272","0.943139134259509","0.916393896448031","0.969884372070987","1"
"Yes","2017","66 and older","indirect migration background","4","","","","1"
"No","2018","16-34 y.","no migration background","","","","","2"
"No","2018","16-34 y.","direct migration background","17","","","","2"
"No","2018","16-34 y.","indirect migration background","","","","","2"
"No","2018","35-65 y.","no migration background","","","","","2"
"No","2018","35-65 y.","direct migration background","4","","","","2"
"No","2018","35-65 y.","indirect migration background","","","","","2"
"No","2018","66 and older","no migration background","","","","","2"
"No","2018","66 and older","direct migration background","","","","","2"
"No","2018","66 and older","indirect migration background","","","","","2"
"Yes","2018","16-34 y.","no migration background","","","","","1"
"Yes","2018","16-34 y.","direct migration background","18","","","","1"
"Yes","2018","16-34 y.","indirect migration background","","","","","1"
"Yes","2018","35-65 y.","no migration background","","","","","1"
"Yes","2018","66 and older","direct migration background","4","","","","1"
"Yes","2018","66 and older","no migration background","","","","","1"
"Yes","2018","35-65 y.","indirect migration background","","","","","1"
"Yes","2018","35-65 y.","direct migration background","44","0.921270150548765","0.84508142957405","0.99745887152348","1"
"Yes","2018","66 and older","indirect migration background","","","","","1"
"No","2019","16-34 y.","no migration background","60","0.0615109305526015","0.0432497846523747","0.0797720764528282","2"
"No","2019","16-34 y.","direct migration background","82","0.114892393629431","0.0807949258590853","0.148989861399777","2"
"No","2019","16-34 y.","indirect migration background","15","","","","2"
"No","2019","35-65 y.","no migration background","259","0.0651505776260438","0.0573961911394049","0.0729049641126827","2"
"No","2019","35-65 y.","direct migration background","149","0.0712158614720105","0.0573835482509388","0.0850481746930822","2"
"No","2019","35-65 y.","indirect migration background","16","","","","2"
"No","2019","66 and older","no migration background","131","0.0434640234786983","0.0357052140684399","0.0512228328889568","2"
"No","2019","66 and older","direct migration background","14","","","","2"
"No","2019","66 and older","indirect migration background","2","","","","2"
"Yes","2019","35-65 y.","no migration background","3632","0.934849422373956","0.927095035887317","0.942603808860595","1"
"Yes","2019","66 and older","direct migration background","254","0.931572924097463","0.901345362590767","0.961800485604159","1"
"Yes","2019","16-34 y.","no migration background","605","0.938489069447399","0.920227923547172","0.956750215347625","1"
"Yes","2019","16-34 y.","direct migration background","254","0.885107606370569","0.851010138600223","0.919205074140915","1"
"Yes","2019","16-34 y.","indirect migration background","118","0.864047327180833","0.80579880502594","0.922295849335725","1"
"Yes","2019","35-65 y.","direct migration background","1179","0.928784138527989","0.914951825306918","0.942616451749061","1"
"Yes","2019","35-65 y.","indirect migration background","216","0.950391770577474","0.922451391404433","0.978332149750514","1"
"Yes","2019","66 and older","no migration background","2522","0.956535976521302","0.948777167111043","0.96429478593156","1"
"Yes","2019","66 and older","indirect migration background","10","","","","1"
