"ple0162","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","2016","16-34 y.","Urban Area","161","0.696231725831169","0.637805514662249","0.754657937000088","1"
"Yes","2016","16-34 y.","Rural Area","113","0.726632755116307","0.6553091667425","0.797956343490113","1"
"Yes","2016","35-65 y.","Urban Area","288","0.84758975680348","0.809608546694209","0.885570966912751","1"
"Yes","2016","35-65 y.","Rural Area","140","0.843427686907187","0.788146742035168","0.898708631779206","1"
"Yes","2016","66 and older","Urban Area","14","","","","1"
"Yes","2016","66 and older","Rural Area","5","","","","1"
"No","2017","16-34 y.","Urban Area","101","0.129873697922842","0.105718345686072","0.154029050159612","2"
"No","2017","16-34 y.","Rural Area","38","0.0583438581050508","0.0349911983166757","0.0816965178934258","2"
"No","2017","66 and older","Urban Area","75","0.045354953772595","0.0355069239567811","0.0552029835884089","2"
"No","2017","35-65 y.","Urban Area","203","0.0521224035831602","0.0444546230394826","0.0597901841268378","2"
"No","2017","35-65 y.","Rural Area","106","0.0391177175997883","0.0304883090076122","0.0477471261919644","2"
"No","2017","66 and older","Rural Area","39","0.0319294038195108","0.0215065432178078","0.0423522644212138","2"
"Yes","2017","16-34 y.","Urban Area","643","0.870126302077158","0.845970949840388","0.894281654313928","1"
"Yes","2017","16-34 y.","Rural Area","349","0.941656141894949","0.918303482106574","0.965008801683324","1"
"Yes","2017","35-65 y.","Urban Area","3025","0.94787759641684","0.940209815873162","0.955545376960517","1"
"Yes","2017","35-65 y.","Rural Area","1833","0.960882282400212","0.952252873808035","0.969511690992388","1"
"Yes","2017","66 and older","Urban Area","1640","0.954645046227405","0.944797016411591","0.964493076043219","1"
"Yes","2017","66 and older","Rural Area","1054","0.968070596180489","0.957647735578786","0.978493456782192","1"
"No","2018","16-34 y.","Urban Area","11","","","","2"
"No","2018","16-34 y.","Rural Area","6","","","","2"
"No","2018","35-65 y.","Urban Area","3","","","","2"
"No","2018","35-65 y.","Rural Area","1","","","","2"
"No","2018","66 and older","Urban Area","","","","","2"
"No","2018","66 and older","Rural Area","","","","","2"
"Yes","2018","16-34 y.","Urban Area","11","","","","1"
"Yes","2018","16-34 y.","Rural Area","7","","","","1"
"Yes","2018","35-65 y.","Urban Area","27","","","","1"
"Yes","2018","66 and older","Urban Area","3","","","","1"
"Yes","2018","35-65 y.","Rural Area","17","","","","1"
"Yes","2018","66 and older","Rural Area","1","","","","1"
"No","2019","16-34 y.","Urban Area","108","0.0864387271780423","0.065812188848427","0.107065265507658","2"
"No","2019","16-34 y.","Rural Area","40","0.0689998392851243","0.0417365678953716","0.0962631106748771","2"
"No","2019","35-65 y.","Urban Area","259","0.0714358504670759","0.062420276428379","0.0804514245057729","2"
"No","2019","35-65 y.","Rural Area","135","0.0554115707297194","0.0453011913491465","0.0655219501102923","2"
"No","2019","66 and older","Urban Area","79","0.0447184730706841","0.0347184046090388","0.0547185415323295","2"
"No","2019","66 and older","Rural Area","61","0.0510354483528135","0.0382155128661828","0.0638553838394441","2"
"Yes","2019","16-34 y.","Urban Area","605","0.913561272821958","0.892934734492342","0.934187811151573","1"
"Yes","2019","16-34 y.","Rural Area","292","0.931000160714876","0.903736889325123","0.958263432104628","1"
"Yes","2019","35-65 y.","Urban Area","2876","0.928564149532924","0.919548575494227","0.937579723571621","1"
"Yes","2019","66 and older","Urban Area","1562","0.955281526929316","0.945281458467671","0.965281595390961","1"
"Yes","2019","35-65 y.","Rural Area","1832","0.944588429270281","0.934478049889708","0.954698808650854","1"
"Yes","2019","66 and older","Rural Area","1071","0.948964551647187","0.936144616160556","0.961784487133817","1"
