"ple0162","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2015","no migration background","Male","2680","0.890159044959014","0.878907678432418","0.90141041148561","1"
"Yes","2015","no migration background","Female","3627","0.917244356688523","0.908690238194763","0.925798475182283","1"
"Yes","2015","direct migration background","Male","566","0.851998454479575","0.824379085174044","0.879617823785106","1"
"Yes","2015","direct migration background","Female","775","0.923725282499678","0.905753638756903","0.941696926242452","1"
"Yes","2015","indirect migration background","Male","102","0.822208021409608","0.752630967961252","0.891785074857964","1"
"Yes","2015","indirect migration background","Female","181","0.891679299571571","0.849342015918559","0.934016583224583","1"
"No","2016","no migration background","Male","","","","","2"
"No","2016","no migration background","Female","","","","","2"
"No","2016","direct migration background","Male","90","0.20340834385134","0.167284732597082","0.239531955105598","2"
"No","2016","direct migration background","Female","106","0.262566798929142","0.221498185113594","0.303635412744689","2"
"No","2016","indirect migration background","Male","","","","","2"
"No","2016","indirect migration background","Female","","","","","2"
"Yes","2016","no migration background","Male","","","","","1"
"Yes","2016","no migration background","Female","","","","","1"
"Yes","2016","direct migration background","Male","387","0.79659165614866","0.760468044894402","0.832715267402918","1"
"Yes","2016","direct migration background","Female","335","0.737433201070858","0.69636458725531","0.778501814886405","1"
"Yes","2016","indirect migration background","Male","","","","","1"
"Yes","2016","indirect migration background","Female","","","","","1"
"No","2017","no migration background","Male","156","0.0463573229397618","0.0388070117331398","0.0539076341463838","2"
"No","2017","no migration background","Female","189","0.0443540202673932","0.0379213582044585","0.0507866823303278","2"
"No","2017","indirect migration background","Male","13","","","","2"
"No","2017","direct migration background","Male","72","0.0544834958538479","0.0385756360719517","0.0703913556357441","2"
"No","2017","direct migration background","Female","114","0.0919640351710954","0.0744851400706017","0.109442930271589","2"
"No","2017","indirect migration background","Female","18","","","","2"
"Yes","2017","no migration background","Male","2823","0.953642677060238","0.946092365853616","0.96119298826686","1"
"Yes","2017","no migration background","Female","3746","0.955645979732607","0.949213317669672","0.962078641795541","1"
"Yes","2017","direct migration background","Male","710","0.945516504146152","0.929608644364256","0.961424363928048","1"
"Yes","2017","direct migration background","Female","936","0.908035964828905","0.890557069728411","0.925514859929398","1"
"Yes","2017","indirect migration background","Male","134","0.908945869047014","0.862439946861978","0.955451791232049","1"
"Yes","2017","indirect migration background","Female","195","0.93421999262745","0.900928763733156","0.967511221521744","1"
"No","2018","no migration background","Male","","","","","2"
"No","2018","no migration background","Female","","","","","2"
"No","2018","direct migration background","Male","4","","","","2"
"No","2018","direct migration background","Female","17","","","","2"
"No","2018","indirect migration background","Male","","","","","2"
"No","2018","indirect migration background","Female","","","","","2"
"Yes","2018","no migration background","Male","","","","","1"
"Yes","2018","no migration background","Female","","","","","1"
"Yes","2018","direct migration background","Male","34","0.916580172800718","0.828662503807326","1.00449784179411","1"
"Yes","2018","indirect migration background","Male","","","","","1"
"Yes","2018","direct migration background","Female","32","0.444787452437961","0.305646186349989","0.583928718525933","1"
"Yes","2018","indirect migration background","Female","","","","","1"
"No","2019","no migration background","Male","164","0.0492861265719744","0.0417602272483996","0.0568120258955492","2"
"No","2019","no migration background","Female","286","0.0602966114297088","0.0529447193082187","0.0676485035511988","2"
"No","2019","direct migration background","Male","129","0.069519960635925","0.0526871520976028","0.0863527691742473","2"
"No","2019","direct migration background","Female","116","0.0803068319449002","0.0639077480304233","0.096705915859377","2"
"No","2019","indirect migration background","Male","16","","","","2"
"No","2019","indirect migration background","Female","17","","","","2"
"Yes","2019","no migration background","Male","3014","0.950713873428026","0.943187974104451","0.9582397727516","1"
"Yes","2019","no migration background","Female","3741","0.939703388570291","0.932351496448801","0.947055280691781","1"
"Yes","2019","direct migration background","Male","748","0.930480039364075","0.913647230825753","0.947312847902397","1"
"Yes","2019","indirect migration background","Male","143","0.881602914762439","0.831385246552683","0.931820582972195","1"
"Yes","2019","direct migration background","Female","939","0.9196931680551","0.903294084140623","0.936092251969577","1"
"Yes","2019","indirect migration background","Female","201","0.931088543311862","0.897463639486987","0.964713447136737","1"
