"ple0162","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2013","vocational + Abi","Male","14","","","","2"
"No","2013","vocational + Abi","Female","15","","","","2"
"No","2013","higher vocational","Male","21","","","","2"
"No","2013","higher vocational","Female","17","","","","2"
"No","2013","higher education","Male","54","0.0512579458521991","0.0361365550511324","0.0663793366532658","2"
"No","2013","higher education","Female","73","0.0631122628668524","0.0462831369406786","0.0799413887930262","2"
"No","2013","inadequately","Male","5","","","","2"
"No","2013","inadequately","Female","8","","","","2"
"No","2013","middle vocational","Male","108","0.0599237050624656","0.0496217332363509","0.0702256768885804","2"
"No","2013","middle vocational","Female","168","0.0557698551032488","0.0470623474040591","0.0644773628024386","2"
"Yes","2013","in school","Male","23","","","","1"
"Yes","2013","in school","Female","34","0.999675115628056","0.993704653882597","1.00564557737351","1"
"Yes","2013","inadequately","Male","103","0.957738465969712","0.919795409939851","0.995681521999574","1"
"Yes","2013","inadequately","Female","141","0.933626258763953","0.893655753816352","0.973596763711554","1"
"Yes","2013","general elemantary","Male","352","0.954039324848358","0.932873728634481","0.975204921062235","1"
"Yes","2013","general elemantary","Female","888","0.94963779579662","0.93573130192189","0.963544289671351","1"
"Yes","2013","middle vocational","Male","1931","0.940076294937534","0.92977432311142","0.950378266763649","1"
"Yes","2013","middle vocational","Female","2500","0.944230144896751","0.935522637197561","0.952937652595941","1"
"Yes","2013","vocational + Abi","Male","176","0.955867595153539","0.926663150195272","0.985072040111806","1"
"Yes","2013","vocational + Abi","Female","358","0.958188507391178","0.937875838483804","0.978501176298551","1"
"Yes","2013","higher vocational","Male","332","0.949579884052425","0.926753957719301","0.972405810385549","1"
"Yes","2013","higher vocational","Female","212","0.958210439321112","0.932292844169779","0.984128034472446","1"
"Yes","2013","higher education","Male","763","0.948742054147801","0.933620663346734","0.963863444948868","1"
"Yes","2013","higher education","Female","729","0.936887737133148","0.920058611206974","0.953716863059321","1"
"No","2014","in school","Male","","","","","2"
"No","2014","general elemantary","Male","","","","","2"
"No","2014","in school","Female","","","","","2"
"No","2014","general elemantary","Female","","","","","2"
"No","2014","inadequately","Male","","","","","2"
"No","2014","inadequately","Female","","","","","2"
"No","2014","middle vocational","Male","","","","","2"
"No","2014","middle vocational","Female","","","","","2"
"No","2014","vocational + Abi","Male","","","","","2"
"No","2014","vocational + Abi","Female","","","","","2"
"No","2014","higher vocational","Male","","","","","2"
"No","2014","higher vocational","Female","","","","","2"
"No","2014","higher education","Male","","","","","2"
"No","2014","higher education","Female","","","","","2"
"Yes","2014","in school","Male","","","","","1"
"Yes","2014","in school","Female","","","","","1"
"Yes","2014","inadequately","Male","","","","","1"
"Yes","2014","inadequately","Female","","","","","1"
"Yes","2014","general elemantary","Male","","","","","1"
"Yes","2014","general elemantary","Female","","","","","1"
"Yes","2014","middle vocational","Male","","","","","1"
"Yes","2014","middle vocational","Female","","","","","1"
"Yes","2014","vocational + Abi","Male","","","","","1"
"Yes","2014","vocational + Abi","Female","","","","","1"
"Yes","2014","higher vocational","Male","","","","","1"
"Yes","2014","higher vocational","Female","","","","","1"
"Yes","2014","higher education","Male","","","","","1"
"Yes","2014","higher education","Female","","","","","1"
"No","2015","in school","Male","4","","","","2"
"No","2015","in school","Female","9","","","","2"
"No","2015","general elemantary","Male","20","","","","2"
"No","2015","general elemantary","Female","50","0.065095811816831","0.0480010452827789","0.0821905783508831","2"
"No","2015","middle vocational","Male","192","0.118411812491142","0.104049302086742","0.132774322895542","2"
"No","2015","middle vocational","Female","226","0.0829051802323088","0.0722694349908174","0.0935409254738003","2"
"No","2015","vocational + Abi","Male","19","","","","2"
"No","2015","vocational + Abi","Female","32","0.082183259998683","0.0536938370632886","0.110672682934078","2"
"No","2015","higher vocational","Male","33","0.13549983692583","0.0994888287940072","0.171510845057653","2"
"No","2015","higher vocational","Female","17","","","","2"
"No","2015","higher education","Male","82","0.103942948878622","0.0824148941648591","0.125471003592385","2"
"No","2015","higher education","Female","101","0.105710332591571","0.0848055620362872","0.126615103146855","2"
"No","2015","inadequately","Male","12","","","","2"
"No","2015","inadequately","Female","5","","","","2"
"Yes","2015","higher vocational","Male","314","0.86450016307417","0.828489154942347","0.900511171205993","1"
"Yes","2015","higher vocational","Female","196","0.929414534004806","0.895017526416558","0.963811541593054","1"
"Yes","2015","in school","Male","10","","","","1"
"Yes","2015","in school","Female","28","","","","1"
"Yes","2015","inadequately","Male","68","0.906361488208312","0.842523223853191","0.970199752563433","1"
"Yes","2015","inadequately","Female","128","0.972725661670118","0.94504384622347","1.00040747711677","1"
"Yes","2015","general elemantary","Male","291","0.913145650419376","0.881846416340997","0.944444884497755","1"
"Yes","2015","general elemantary","Female","750","0.934904188183169","0.917809421649117","0.951998954717221","1"
"Yes","2015","middle vocational","Male","1752","0.881588187508858","0.867225677104458","0.895950697913258","1"
"Yes","2015","middle vocational","Female","2356","0.917094819767691","0.9064590745262","0.927730565009183","1"
"Yes","2015","vocational + Abi","Male","162","0.848532992111149","0.796305136687776","0.900760847534521","1"
"Yes","2015","vocational + Abi","Female","325","0.917816740001317","0.889327317065922","0.946306162936711","1"
"Yes","2015","higher education","Male","690","0.896057051121378","0.874528996407615","0.917585105835141","1"
"Yes","2015","higher education","Female","730","0.894289667408429","0.873384896853145","0.915194437963713","1"
"No","2016","in school","Male","1","","","","2"
"No","2016","in school","Female","","","","","2"
"No","2016","general elemantary","Male","17","","","","2"
"No","2016","general elemantary","Female","24","","","","2"
"No","2016","middle vocational","Male","13","","","","2"
"No","2016","middle vocational","Female","12","","","","2"
"No","2016","vocational + Abi","Male","4","","","","2"
"No","2016","vocational + Abi","Female","2","","","","2"
"No","2016","higher vocational","Male","","","","","2"
"No","2016","higher vocational","Female","","","","","2"
"No","2016","higher education","Male","16","","","","2"
"No","2016","higher education","Female","15","","","","2"
"No","2016","inadequately","Male","34","0.206253133377616","0.148871527679282","0.26363473907595","2"
"No","2016","inadequately","Female","48","0.195249819909192","0.142264602176966","0.248235037641418","2"
"Yes","2016","higher vocational","Male","","","","","1"
"Yes","2016","higher vocational","Female","","","","","1"
"Yes","2016","in school","Male","1","","","","1"
"Yes","2016","in school","Female","2","","","","1"
"Yes","2016","inadequately","Male","157","0.793746866622384","0.73636526092405","0.851128472320718","1"
"Yes","2016","inadequately","Female","167","0.804750180090808","0.751764962358582","0.857735397823034","1"
"Yes","2016","general elemantary","Male","75","0.853181868175471","0.780860799870129","0.925502936480813","1"
"Yes","2016","general elemantary","Female","52","0.672068588594841","0.566523117467338","0.777614059722344","1"
"Yes","2016","middle vocational","Male","71","0.842930252595038","0.76511754255371","0.920742962636367","1"
"Yes","2016","middle vocational","Female","48","0.682807570977918","0.56505157334791","0.800563568607926","1"
"Yes","2016","vocational + Abi","Male","11","","","","1"
"Yes","2016","vocational + Abi","Female","5","","","","1"
"Yes","2016","higher education","Male","43","0.618822016325888","0.494894179904952","0.742749852746824","1"
"Yes","2016","higher education","Female","39","0.631815822531206","0.503174937156662","0.76045670790575","1"
"No","2017","in school","Male","4","","","","2"
"No","2017","in school","Female","4","","","","2"
"No","2017","inadequately","Male","23","","","","2"
"No","2017","inadequately","Female","23","","","","2"
"No","2017","general elemantary","Male","23","","","","2"
"No","2017","general elemantary","Female","55","0.0586909905676803","0.0424742656048751","0.0749077155304854","2"
"No","2017","middle vocational","Male","96","0.0421698317792387","0.0331731527899493","0.0511665107685281","2"
"No","2017","middle vocational","Female","116","0.038143664592042","0.0306157183209567","0.0456716108631272","2"
"No","2017","vocational + Abi","Male","13","","","","2"
"No","2017","vocational + Abi","Female","24","","","","2"
"No","2017","higher vocational","Male","12","","","","2"
"No","2017","higher vocational","Female","11","","","","2"
"No","2017","higher education","Male","63","0.0628388057666321","0.0462895229695371","0.0793880885637271","2"
"No","2017","higher education","Female","82","0.0903044294089562","0.0712589885000611","0.109349870317851","2"
"Yes","2017","in school","Male","17","","","","1"
"Yes","2017","in school","Female","25","","","","1"
"Yes","2017","inadequately","Male","172","0.984151526848416","0.966622593694406","1.00168046000243","1"
"Yes","2017","inadequately","Female","258","0.95583761816687","0.931815392933346","0.979859843400393","1"
"Yes","2017","general elemantary","Male","343","0.957876682607491","0.937297712692739","0.978455652522244","1"
"Yes","2017","general elemantary","Female","752","0.94130900943232","0.925092284469515","0.957525734395125","1"
"Yes","2017","middle vocational","Male","1821","0.957830168220761","0.948833489231472","0.966826847210051","1"
"Yes","2017","middle vocational","Female","2371","0.961856335407958","0.954328389136873","0.969384281679043","1"
"Yes","2017","higher vocational","Male","313","0.954971682833371","0.932426979970094","0.977516385696649","1"
"Yes","2017","higher vocational","Female","228","0.959581386064235","0.934613558507243","0.984549213621227","1"
"Yes","2017","vocational + Abi","Male","177","0.92598768722185","0.888763443394345","0.963211931049356","1"
"Yes","2017","higher education","Male","763","0.937161194233368","0.920611911436273","0.953710477030463","1"
"Yes","2017","vocational + Abi","Female","370","0.937345891969658","0.913416883904075","0.961274900035241","1"
"Yes","2017","higher education","Female","788","0.909695570591044","0.890650129682149","0.928741011499939","1"
"No","2018","in school","Male","","","","","2"
"No","2018","in school","Female","","","","","2"
"No","2018","inadequately","Male","2","","","","2"
"No","2018","inadequately","Female","7","","","","2"
"No","2018","general elemantary","Male","1","","","","2"
"No","2018","general elemantary","Female","7","","","","2"
"No","2018","middle vocational","Male","1","","","","2"
"No","2018","middle vocational","Female","1","","","","2"
"No","2018","vocational + Abi","Male","","","","","2"
"No","2018","vocational + Abi","Female","","","","","2"
"No","2018","higher vocational","Male","","","","","2"
"No","2018","higher vocational","Female","","","","","2"
"No","2018","higher education","Male","","","","","2"
"No","2018","higher education","Female","2","","","","2"
"Yes","2018","middle vocational","Male","7","","","","1"
"Yes","2018","middle vocational","Female","3","","","","1"
"Yes","2018","higher vocational","Male","","","","","1"
"Yes","2018","higher vocational","Female","","","","","1"
"Yes","2018","in school","Male","1","","","","1"
"Yes","2018","in school","Female","","","","","1"
"Yes","2018","inadequately","Male","18","","","","1"
"Yes","2018","inadequately","Female","14","","","","1"
"Yes","2018","general elemantary","Male","4","","","","1"
"Yes","2018","general elemantary","Female","7","","","","1"
"Yes","2018","vocational + Abi","Male","","","","","1"
"Yes","2018","vocational + Abi","Female","1","","","","1"
"Yes","2018","higher education","Male","2","","","","1"
"Yes","2018","higher education","Female","4","","","","1"
"No","2019","in school","Male","3","","","","2"
"No","2019","in school","Female","","","","","2"
"No","2019","inadequately","Male","35","0.0517170053118042","0.0245892553337926","0.0788447552898158","2"
"No","2019","inadequately","Female","31","0.0795064008410331","0.0477056681359456","0.111307133546121","2"
"No","2019","general elemantary","Male","34","0.0701405593904443","0.0444969668201327","0.0957841519607559","2"
"No","2019","general elemantary","Female","40","0.035813494941483","0.0222401864578803","0.0493868034250857","2"
"No","2019","middle vocational","Male","113","0.0456500553691262","0.0363596713256524","0.0549404394126001","2"
"No","2019","middle vocational","Female","181","0.0564737854163242","0.0474450865183183","0.0655024843143302","2"
"No","2019","vocational + Abi","Male","20","","","","2"
"No","2019","vocational + Abi","Female","39","0.0858532976094602","0.0594966806366802","0.11220991458224","2"
"No","2019","higher vocational","Male","13","","","","2"
"No","2019","higher vocational","Female","16","","","","2"
"No","2019","higher education","Male","83","0.0618066460863773","0.0465421346136304","0.0770711575591241","2"
"No","2019","higher education","Female","100","0.0855872882735353","0.0681960438264446","0.102978532720626","2"
"Yes","2019","middle vocational","Male","1826","0.954349944630874","0.9450595605874","0.963640328674348","1"
"Yes","2019","middle vocational","Female","2330","0.943526214583676","0.93449751568567","0.952554913481682","1"
"Yes","2019","higher vocational","Male","336","0.954969791438952","0.933213634966645","0.976725947911259","1"
"Yes","2019","higher vocational","Female","198","0.877147020491072","0.833165499177526","0.921128541804618","1"
"Yes","2019","general elemantary","Male","347","0.929859440609556","0.904215848039244","0.955503033179867","1"
"Yes","2019","vocational + Abi","Male","190","0.913610651916852","0.875613668507768","0.951607635325936","1"
"Yes","2019","higher education","Male","873","0.938193353913623","0.922928842440876","0.95345786538637","1"
"Yes","2019","in school","Male","13","","","","1"
"Yes","2019","in school","Female","24","","","","1"
"Yes","2019","inadequately","Male","221","0.948282994688196","0.921155244710184","0.975410744666207","1"
"Yes","2019","inadequately","Female","247","0.920493599158967","0.888692866453879","0.952294331864054","1"
"Yes","2019","general elemantary","Female","680","0.964186505058517","0.950613196574914","0.97775981354212","1"
"Yes","2019","vocational + Abi","Female","395","0.91414670239054","0.88779008541776","0.94050331936332","1"
"Yes","2019","higher education","Female","894","0.914412711726465","0.897021467279374","0.931803956173555","1"
