"ple0040","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","1988","Not Employed","general elemantary","179","0.185016154875847","0.163082340029139","0.206949969722554","1"
"Yes","1988","Not Employed","middle vocational","341","0.258365380869159","0.236161425551452","0.280569336186865","1"
"Yes","1988","Not Employed","vocational + Abi","15","","","","1"
"Yes","1988","Not Employed","higher vocational","42","0.300170059006095","0.226577331071743","0.373762786940448","1"
"Yes","1988","Not Employed","higher education","28","","","","1"
"Yes","1988","Employed","in school","","","","","1"
"Yes","1988","Employed","inadequately","27","","","","1"
"Yes","1988","Employed","general elemantary","84","0.0695495813928791","0.0567694698939252","0.082329692891833","1"
"Yes","1988","Employed","middle vocational","209","0.0709631401187539","0.0621206312927842","0.0798056489447236","1"
"Yes","1988","Employed","vocational + Abi","13","","","","1"
"Yes","1988","Employed","higher vocational","31","0.0809933300406885","0.0539163797980118","0.108070280283365","1"
"Yes","1988","Employed","higher education","27","","","","1"
"No","1989","Not Employed","general elemantary","946","0.795009478136601","0.771534133917422","0.81848482235578","2"
"No","1989","Employed","vocational + Abi","203","0.956357898992081","0.928857233073231","0.983858564910932","2"
"No","1989","Employed","higher vocational","348","0.93084399069468","0.90513022385254","0.95655775753682","2"
"No","1989","Not Employed","inadequately","240","0.726127874223831","0.674354540351209","0.777901208096453","2"
"No","1989","Not Employed","middle vocational","1091","0.724344976925136","0.701241603981482","0.74744834986879","2"
"No","1989","Employed","middle vocational","2978","0.928310888935915","0.919337643511589","0.937284134360241","2"
"No","1989","Employed","higher education","539","0.936287438978577","0.916271903819391","0.956302974137764","2"
"No","1989","Not Employed","vocational + Abi","64","0.793253381559672","0.703381059423699","0.883125703695644","2"
"No","1989","Not Employed","higher vocational","99","0.67396124053432","0.596588031192038","0.751334449876602","2"
"No","1989","Not Employed","in school","153","0.974117389411887","0.949200405081103","0.999034373742671","2"
"No","1989","Not Employed","higher education","96","0.756150223187302","0.680570991624888","0.831729454749717","2"
"No","1989","Employed","in school","19","","","","2"
"No","1989","Employed","inadequately","344","0.926362719418413","0.899786050783798","0.952939388053028","2"
"No","1989","Employed","general elemantary","1376","0.941906633673848","0.929816367912655","0.953996899435041","2"
"Yes","1989","Not Employed","in school","3","","","","1"
"Yes","1989","Not Employed","inadequately","45","0.273872125776169","0.222098791903547","0.325645459648791","1"
"Yes","1989","Not Employed","general elemantary","190","0.204990521863399","0.18151517764422","0.228465866082578","1"
"Yes","1989","Not Employed","middle vocational","346","0.275655023074864","0.25255165013121","0.298758396018518","1"
"Yes","1989","Not Employed","vocational + Abi","14","","","","1"
"Yes","1989","Not Employed","higher vocational","42","0.32603875946568","0.248665550123398","0.403411968807961","1"
"Yes","1989","Not Employed","higher education","28","","","","1"
"Yes","1989","Employed","in school","","","","","1"
"Yes","1989","Employed","inadequately","27","","","","1"
"Yes","1989","Employed","general elemantary","62","0.058093366326152","0.0460031005649588","0.0701836320873451","1"
"Yes","1989","Employed","middle vocational","197","0.0716891110640851","0.0627158656397593","0.0806623564884109","1"
"Yes","1989","Employed","vocational + Abi","9","","","","1"
"Yes","1989","Employed","higher vocational","26","","","","1"
"Yes","1989","Employed","higher education","33","0.0637125610214225","0.0436970258622358","0.0837280961806092","1"
"No","1990","Not Employed","general elemantary","","","","","2"
"No","1990","Employed","vocational + Abi","","","","","2"
"No","1990","Employed","higher vocational","","","","","2"
"No","1990","Not Employed","middle vocational","","","","","2"
"No","1990","Not Employed","vocational + Abi","","","","","2"
"No","1990","Not Employed","inadequately","","","","","2"
"No","1990","Not Employed","higher vocational","","","","","2"
"No","1990","Employed","middle vocational","","","","","2"
"No","1990","Employed","higher education","","","","","2"
"No","1990","Not Employed","in school","","","","","2"
"No","1990","Not Employed","higher education","","","","","2"
"No","1990","Employed","in school","","","","","2"
"No","1990","Employed","inadequately","","","","","2"
"No","1990","Employed","general elemantary","","","","","2"
"Yes","1990","Not Employed","in school","","","","","1"
"Yes","1990","Not Employed","inadequately","","","","","1"
"Yes","1990","Not Employed","general elemantary","","","","","1"
"Yes","1990","Not Employed","middle vocational","","","","","1"
"Yes","1990","Not Employed","vocational + Abi","","","","","1"
"Yes","1990","Not Employed","higher vocational","","","","","1"
"Yes","1990","Not Employed","higher education","","","","","1"
"Yes","1990","Employed","in school","","","","","1"
"Yes","1990","Employed","inadequately","","","","","1"
"Yes","1990","Employed","general elemantary","","","","","1"
"Yes","1990","Employed","middle vocational","","","","","1"
"Yes","1990","Employed","vocational + Abi","","","","","1"
"Yes","1990","Employed","higher vocational","","","","","1"
"Yes","1990","Employed","higher education","","","","","1"
"No","1991","Not Employed","vocational + Abi","58","0.714275075641761","0.612034268245256","0.816515883038265","2"
"No","1991","Not Employed","general elemantary","846","0.783979908557814","0.758884315144121","0.809075501971507","2"
"No","1991","Employed","vocational + Abi","218","0.944264819063839","0.914744862720603","0.973784775407075","2"
"No","1991","Not Employed","middle vocational","1053","0.70759206538553","0.683858081787903","0.731326048983157","2"
"No","1991","Not Employed","inadequately","213","0.722590580994865","0.668064415361913","0.777116746627817","2"
"No","1991","Employed","higher vocational","357","0.934604856081444","0.909748179633374","0.959461532529514","2"
"No","1991","Employed","higher education","555","0.95640686909395","0.939775071797642","0.973038666390257","2"
"No","1991","Not Employed","higher vocational","99","0.70116610721388","0.62506936324314","0.777262851184621","2"
"No","1991","Employed","middle vocational","2920","0.92537552299762","0.916153205751754","0.934597840243486","2"
"No","1991","Not Employed","in school","128","0.959226000775456","0.925488473265285","0.992963528285628","2"
"No","1991","Not Employed","higher education","103","0.717410065992025","0.642558176476376","0.792261955507673","2"
"No","1991","Employed","in school","18","","","","2"
"No","1991","Employed","inadequately","336","0.910186059143724","0.880854265237127","0.939517853050322","2"
"No","1991","Employed","general elemantary","1304","0.939875765177614","0.927274218843734","0.952477311511494","2"
"Yes","1991","Not Employed","in school","4","","","","1"
"Yes","1991","Not Employed","inadequately","46","0.277409419005135","0.222883253372183","0.331935584638087","1"
"Yes","1991","Not Employed","general elemantary","187","0.216020091442186","0.190924498028493","0.241115684855879","1"
"Yes","1991","Not Employed","middle vocational","358","0.29240793461447","0.268673951016843","0.316141918212097","1"
"Yes","1991","Not Employed","vocational + Abi","17","","","","1"
"Yes","1991","Not Employed","higher vocational","40","0.29883389278612","0.222737148815379","0.37493063675686","1"
"Yes","1991","Not Employed","higher education","36","0.282589934007975","0.207738044492327","0.357441823523624","1"
"Yes","1991","Employed","in school","","","","","1"
"Yes","1991","Employed","inadequately","29","","","","1"
"Yes","1991","Employed","general elemantary","63","0.0601242348223861","0.0475226884885061","0.0727257811562662","1"
"Yes","1991","Employed","middle vocational","199","0.0746244770023797","0.0654021597565139","0.0838467942482456","1"
"Yes","1991","Employed","vocational + Abi","14","","","","1"
"Yes","1991","Employed","higher vocational","23","","","","1"
"Yes","1991","Employed","higher education","24","","","","1"
"No","1992","Not Employed","vocational + Abi","83","0.734679625779419","0.648575947854544","0.820783303704295","2"
"No","1992","Not Employed","general elemantary","1043","0.796057779753573","0.773792218987457","0.818323340519689","2"
"No","1992","Not Employed","middle vocational","1446","0.71736205838725","0.697163072811063","0.737561043963438","2"
"No","1992","Employed","vocational + Abi","274","0.971862358312827","0.952595934852365","0.991128781773288","2"
"No","1992","Employed","higher vocational","563","0.937696066024421","0.918242038493762","0.95715009355508","2"
"No","1992","Not Employed","inadequately","216","0.693000971086795","0.63808497466652","0.747916967507069","2"
"No","1992","Not Employed","higher vocational","115","0.691339771511748","0.62106812094071","0.761611422082785","2"
"No","1992","Employed","higher education","1316","0.952302422147759","0.941045576059739","0.963559268235778","2"
"No","1992","Employed","middle vocational","4458","0.930435161436706","0.923191757837725","0.937678565035687","2"
"No","1992","Not Employed","in school","157","0.99631464704718","0.986866267110632","1.00576302698373","2"
"No","1992","Not Employed","higher education","202","0.719906188222697","0.666244829947918","0.773567546497476","2"
"No","1992","Employed","in school","29","","","","2"
"No","1992","Employed","inadequately","324","0.890600429948238","0.858175999974826","0.923024859921649","2"
"No","1992","Employed","general elemantary","1424","0.924853172656299","0.911556244031554","0.938150101281044","2"
"Yes","1992","Not Employed","in school","1","","","","1"
"Yes","1992","Not Employed","inadequately","55","0.306999028913205","0.252083032492931","0.36191502533348","1"
"Yes","1992","Not Employed","general elemantary","215","0.203942220246427","0.181676659480311","0.226207781012543","1"
"Yes","1992","Not Employed","middle vocational","463","0.28263794161275","0.262438956036562","0.302836927188937","1"
"Yes","1992","Not Employed","vocational + Abi","18","","","","1"
"Yes","1992","Not Employed","higher vocational","51","0.308660228488252","0.238388577917215","0.37893187905929","1"
"Yes","1992","Not Employed","higher education","67","0.280093811777303","0.226432453502524","0.333755170052082","1"
"Yes","1992","Employed","in school","","","","","1"
"Yes","1992","Employed","inadequately","32","0.109399570051762","0.0769751400783509","0.141824000025174","1"
"Yes","1992","Employed","general elemantary","86","0.0751468273437009","0.0618498987189563","0.0884437559684455","1"
"Yes","1992","Employed","middle vocational","281","0.0695648385632941","0.0623214349643127","0.0768082421622755","1"
"Yes","1992","Employed","vocational + Abi","9","","","","1"
"Yes","1992","Employed","higher vocational","30","0.062303933975579","0.0428499064449198","0.0817579615062382","1"
"Yes","1992","Employed","higher education","61","0.0476975778522414","0.0364407317642216","0.0589544239402612","1"
"No","1993","Not Employed","general elemantary","","","","","2"
"No","1993","Not Employed","vocational + Abi","","","","","2"
"No","1993","Not Employed","middle vocational","","","","","2"
"No","1993","Employed","vocational + Abi","","","","","2"
"No","1993","Employed","higher vocational","","","","","2"
"No","1993","Not Employed","inadequately","","","","","2"
"No","1993","Not Employed","higher vocational","","","","","2"
"No","1993","Employed","higher education","","","","","2"
"No","1993","Employed","middle vocational","","","","","2"
"No","1993","Not Employed","in school","","","","","2"
"No","1993","Not Employed","higher education","","","","","2"
"No","1993","Employed","in school","","","","","2"
"No","1993","Employed","inadequately","","","","","2"
"No","1993","Employed","general elemantary","","","","","2"
"Yes","1993","Not Employed","vocational + Abi","","","","","1"
"Yes","1993","Not Employed","higher vocational","","","","","1"
"Yes","1993","Not Employed","higher education","","","","","1"
"Yes","1993","Employed","in school","","","","","1"
"Yes","1993","Employed","inadequately","","","","","1"
"Yes","1993","Not Employed","in school","","","","","1"
"Yes","1993","Not Employed","inadequately","","","","","1"
"Yes","1993","Not Employed","general elemantary","","","","","1"
"Yes","1993","Not Employed","middle vocational","","","","","1"
"Yes","1993","Employed","general elemantary","","","","","1"
"Yes","1993","Employed","middle vocational","","","","","1"
"Yes","1993","Employed","vocational + Abi","","","","","1"
"Yes","1993","Employed","higher vocational","","","","","1"
"Yes","1993","Employed","higher education","","","","","1"
"No","1994","Not Employed","inadequately","206","0.749825283053743","0.696350433766241","0.803300132341244","2"
"No","1994","Not Employed","general elemantary","975","0.790910842970548","0.767835009837785","0.813986676103311","2"
"No","1994","Not Employed","middle vocational","1682","0.746411043660742","0.727926170469063","0.764895916852421","2"
"No","1994","Not Employed","vocational + Abi","92","0.773109726477723","0.694121071047897","0.852098381907549","2"
"No","1994","Employed","vocational + Abi","275","0.97292582008175","0.954049973411995","0.991801666751504","2"
"No","1994","Employed","higher education","1251","0.947898567709662","0.935822787288722","0.959974348130603","2"
"No","1994","Employed","higher vocational","524","0.930913521445353","0.909757706978583","0.952069335912122","2"
"No","1994","Not Employed","in school","220","1","1","1","2"
"No","1994","Not Employed","higher vocational","139","0.664263441846389","0.597980728556861","0.730546155135916","2"
"No","1994","Employed","middle vocational","4141","0.934794840439277","0.927492442315936","0.942097238562618","2"
"No","1994","Not Employed","higher education","272","0.777579887475716","0.733632971113094","0.821526803838338","2"
"No","1994","Employed","in school","17","","","","2"
"No","1994","Employed","inadequately","278","0.936304156295956","0.90862349127233","0.963984821319581","2"
"No","1994","Employed","general elemantary","1224","0.926957680578024","0.91278022862127","0.941135132534778","2"
"Yes","1994","Not Employed","vocational + Abi","16","","","","1"
"Yes","1994","Not Employed","higher vocational","56","0.335736558153611","0.269453844864084","0.402019271443139","1"
"Yes","1994","Not Employed","higher education","72","0.222420112524284","0.178473196161662","0.266367028886906","1"
"Yes","1994","Employed","in school","","","","","1"
"Yes","1994","Employed","inadequately","21","","","","1"
"Yes","1994","Not Employed","in school","","","","","1"
"Yes","1994","Not Employed","inadequately","46","0.250174716946257","0.196699867658756","0.303649566233759","1"
"Yes","1994","Not Employed","general elemantary","218","0.209089157029452","0.186013323896688","0.232164990162215","1"
"Yes","1994","Not Employed","middle vocational","446","0.253588956339258","0.235104083147579","0.272073829530937","1"
"Yes","1994","Employed","general elemantary","70","0.073042319421976","0.058864867465222","0.0872197713787301","1"
"Yes","1994","Employed","middle vocational","250","0.0652051595607231","0.0579027614373824","0.0725075576840637","1"
"Yes","1994","Employed","vocational + Abi","9","","","","1"
"Yes","1994","Employed","higher vocational","28","","","","1"
"Yes","1994","Employed","higher education","50","0.0521014322903375","0.0400256518693974","0.0641772127112777","1"
"No","1995","Not Employed","inadequately","210","0.739210782861775","0.685841621424231","0.792579944299319","2"
"No","1995","Not Employed","general elemantary","1018","0.789154818824585","0.7663495552587","0.811960082390471","2"
"No","1995","Employed","higher vocational","532","0.915286444142644","0.892406923097095","0.938165965188194","2"
"No","1995","Employed","vocational + Abi","341","0.981140396765733","0.966868975293369","0.995411818238097","2"
"No","1995","Not Employed","middle vocational","1731","0.731648299940091","0.713195401770986","0.750101198109196","2"
"No","1995","Not Employed","vocational + Abi","111","0.817030762176056","0.75004980491892","0.884011719433193","2"
"No","1995","Employed","higher education","1332","0.945748983372961","0.933819679913589","0.957678286832333","2"
"No","1995","Not Employed","in school","271","0.979063768088289","0.962111509856078","0.996016026320499","2"
"No","1995","Not Employed","higher vocational","133","0.680320020917055","0.613833817511399","0.74680622432271","2"
"No","1995","Employed","middle vocational","4195","0.930656567833463","0.923200209948312","0.938112925718613","2"
"No","1995","Not Employed","higher education","284","0.759038475961487","0.71504375933792","0.803033192585055","2"
"No","1995","Employed","in school","10","","","","2"
"No","1995","Employed","inadequately","250","0.926572745752345","0.895574862084755","0.957570629419935","2"
"No","1995","Employed","general elemantary","1183","0.93277259672457","0.91889052953195","0.946654663917191","2"
"Yes","1995","Not Employed","vocational + Abi","17","","","","1"
"Yes","1995","Not Employed","higher vocational","56","0.319679979082945","0.253193775677289","0.386166182488601","1"
"Yes","1995","Not Employed","higher education","79","0.240961524038513","0.196966807414945","0.28495624066208","1"
"Yes","1995","Employed","in school","","","","","1"
"Yes","1995","Employed","inadequately","22","","","","1"
"Yes","1995","Not Employed","in school","3","","","","1"
"Yes","1995","Not Employed","inadequately","50","0.260789217138225","0.207420055700681","0.314158378575769","1"
"Yes","1995","Not Employed","general elemantary","211","0.210845181175415","0.188039917609529","0.2336504447413","1"
"Yes","1995","Not Employed","middle vocational","484","0.268351700059909","0.249898801890804","0.286804598229014","1"
"Yes","1995","Employed","general elemantary","67","0.0672274032754295","0.053345336082809","0.0811094704680501","1"
"Yes","1995","Employed","middle vocational","264","0.0693434321665374","0.0618870742813869","0.076799790051688","1"
"Yes","1995","Employed","vocational + Abi","8","","","","1"
"Yes","1995","Employed","higher vocational","37","0.0847135558573554","0.0618340348118055","0.107593076902905","1"
"Yes","1995","Employed","higher education","53","0.0542510166270386","0.0423217131676667","0.0661803200864105","1"
"No","1996","Not Employed","inadequately","194","0.752331995736739","0.698500142312361","0.806163849161117","2"
"No","1996","Not Employed","general elemantary","968","0.777013282004814","0.753412963868126","0.800613600141503","2"
"No","1996","Employed","vocational + Abi","347","0.963852206511854","0.944516827171499","0.983187585852209","2"
"No","1996","Employed","higher vocational","551","0.921885395624302","0.900176705139007","0.943594086109597","2"
"No","1996","Employed","higher education","1364","0.95711748498429","0.946557917365866","0.967677052602713","2"
"No","1996","Not Employed","middle vocational","1685","0.723789969812329","0.704990559330054","0.742589380294604","2"
"No","1996","Not Employed","vocational + Abi","102","0.831386371498492","0.763831779546891","0.898940963450093","2"
"No","1996","Not Employed","in school","277","1","1","1","2"
"No","1996","Not Employed","higher vocational","127","0.646109303213263","0.576638876388326","0.7155797300382","2"
"No","1996","Employed","middle vocational","4178","0.933369054681923","0.926039472600754","0.940698636763092","2"
"No","1996","Not Employed","higher education","275","0.740818597466964","0.695172430343258","0.78646476459067","2"
"No","1996","Employed","in school","17","","","","2"
"No","1996","Employed","inadequately","232","0.885073304070834","0.845459322166567","0.924687285975102","2"
"No","1996","Employed","general elemantary","1139","0.933325126879241","0.919246120196131","0.947404133562351","2"
"Yes","1996","Not Employed","vocational + Abi","16","","","","1"
"Yes","1996","Not Employed","higher vocational","55","0.353890696786737","0.2844202699618","0.423361123611675","1"
"Yes","1996","Not Employed","higher education","79","0.259181402533036","0.21353523540933","0.304827569656742","1"
"Yes","1996","Employed","in school","","","","","1"
"Yes","1996","Employed","inadequately","17","","","","1"
"Yes","1996","Not Employed","in school","","","","","1"
"Yes","1996","Not Employed","inadequately","53","0.247668004263261","0.193836150838883","0.301499857687639","1"
"Yes","1996","Not Employed","general elemantary","227","0.222986717995186","0.199386399858497","0.246587036131874","1"
"Yes","1996","Not Employed","middle vocational","488","0.276210030187671","0.257410619705396","0.295009440669946","1"
"Yes","1996","Employed","general elemantary","67","0.0666748731207591","0.052595866437649","0.0807538798038693","1"
"Yes","1996","Employed","middle vocational","269","0.0666309453180771","0.0593013632369083","0.073960527399246","1"
"Yes","1996","Employed","vocational + Abi","11","","","","1"
"Yes","1996","Employed","higher vocational","36","0.0781146043756977","0.0564059138904027","0.0998232948609926","1"
"Yes","1996","Employed","higher education","50","0.0428825150157102","0.0323229473972869","0.0534420826341335","1"
"No","1997","Not Employed","inadequately","195","0.764046411099069","0.71098806586487","0.817104756333268","2"
"No","1997","Not Employed","general elemantary","972","0.783249745979431","0.759878822872471","0.806620669086392","2"
