"ple0040","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1988","middle vocational","Female","1961","0.887743205994594","0.874386996320389","0.901099415668799","2"
"No","1988","vocational + Abi","Male","134","0.832102979133069","0.773069583590056","0.891136374676083","2"
"No","1988","vocational + Abi","Female","109","0.920804944838102","0.871873502852878","0.969736386823327","2"
"Yes","1988","in school","Male","","","","","1"
"Yes","1988","in school","Female","1","","","","1"
"Yes","1988","inadequately","Male","38","0.200270951343155","0.153311133304664","0.247230769381645","1"
"Yes","1988","inadequately","Female","32","0.120450542858806","0.0893220596729608","0.151579026044651","1"
"Yes","1988","general elemantary","Male","100","0.159970687312189","0.136972658800995","0.182968715823383","1"
"Yes","1988","general elemantary","Female","163","0.12453453925523","0.109064426317525","0.140004652192935","1"
"Yes","1988","middle vocational","Male","365","0.165313174848935","0.150996263251162","0.179630086446709","1"
"Yes","1988","middle vocational","Female","185","0.112256794005406","0.098900584331201","0.125613003679611","1"
"Yes","1988","vocational + Abi","Male","20","","","","1"
"Yes","1988","vocational + Abi","Female","8","","","","1"
"Yes","1988","higher vocational","Male","56","0.19196541431247","0.148193618287928","0.235737210337013","1"
"Yes","1988","higher vocational","Female","17","","","","1"
"Yes","1988","higher education","Male","40","0.0975402339311796","0.0707458695943235","0.124334598268036","1"
"Yes","1988","higher education","Female","15","","","","1"
"No","1989","inadequately","Male","225","0.818559570112227","0.771715610774565","0.865403529449889","2"
"No","1989","higher vocational","Female","208","0.92713030570947","0.892861748761643","0.961398862657296","2"
"No","1989","higher education","Male","425","0.896626453523046","0.869073246734811","0.92417966031128","2"
"No","1989","in school","Female","83","0.963532422001003","0.92368270377782","1.00338214022419","2"
"No","1989","inadequately","Female","359","0.835295443130807","0.798763450480352","0.871827435781262","2"
"No","1989","higher vocational","Male","239","0.792913197235001","0.746593740134452","0.83923265433555","2"
"No","1989","higher education","Female","210","0.89833751158412","0.859024592027099","0.937650431141141","2"
"No","1989","general elemantary","Male","816","0.829707115688484","0.805284731835893","0.854129499541074","2"
"No","1989","general elemantary","Female","1506","0.871177451092968","0.855081350149297","0.88727355203664","2"
"No","1989","in school","Male","89","0.98738791167294","0.964332958678937","1.01044286466694","2"
"No","1989","middle vocational","Male","2163","0.827351444971648","0.812592323875035","0.842110566068262","2"
"No","1989","middle vocational","Female","1906","0.881521993643874","0.867676803587132","0.895367183700616","2"
"No","1989","vocational + Abi","Male","141","0.872002169161844","0.819743499192738","0.92426083913095","2"
"No","1989","vocational + Abi","Female","126","0.941516206144728","0.901636317288676","0.98139609500078","2"
"Yes","1989","in school","Male","1","","","","1"
"Yes","1989","in school","Female","2","","","","1"
"Yes","1989","inadequately","Male","35","0.181440429887773","0.134596470550111","0.228284389225435","1"
"Yes","1989","inadequately","Female","37","0.164704556869193","0.128172564218738","0.201236549519649","1"
"Yes","1989","general elemantary","Male","94","0.170292884311516","0.145870500458926","0.194715268164107","1"
"Yes","1989","general elemantary","Female","158","0.128822548907032","0.11272644796336","0.144918649850703","1"
"Yes","1989","middle vocational","Male","356","0.172648555028352","0.157889433931738","0.187407676124965","1"
"Yes","1989","middle vocational","Female","187","0.118478006356126","0.104632816299384","0.132323196412868","1"
"Yes","1989","vocational + Abi","Male","16","","","","1"
"Yes","1989","vocational + Abi","Female","7","","","","1"
"Yes","1989","higher vocational","Male","55","0.207086802764999","0.16076734566445","0.253406259865548","1"
"Yes","1989","higher vocational","Female","13","","","","1"
"Yes","1989","higher education","Male","44","0.103373546476954","0.0758203396887196","0.130926753265189","1"
"Yes","1989","higher education","Female","17","","","","1"
"No","1990","inadequately","Male","","","","","2"
"No","1990","higher vocational","Female","","","","","2"
"No","1990","higher education","Male","","","","","2"
"No","1990","inadequately","Female","","","","","2"
"No","1990","general elemantary","Male","","","","","2"
"No","1990","in school","Female","","","","","2"
"No","1990","general elemantary","Female","","","","","2"
"No","1990","higher vocational","Male","","","","","2"
"No","1990","higher education","Female","","","","","2"
"No","1990","in school","Male","","","","","2"
"No","1990","middle vocational","Male","","","","","2"
"No","1990","middle vocational","Female","","","","","2"
"No","1990","vocational + Abi","Male","","","","","2"
"No","1990","vocational + Abi","Female","","","","","2"
"Yes","1990","in school","Male","","","","","1"
"Yes","1990","in school","Female","","","","","1"
"Yes","1990","inadequately","Male","","","","","1"
"Yes","1990","inadequately","Female","","","","","1"
"Yes","1990","general elemantary","Male","","","","","1"
"Yes","1990","general elemantary","Female","","","","","1"
"Yes","1990","middle vocational","Male","","","","","1"
"Yes","1990","middle vocational","Female","","","","","1"
"Yes","1990","vocational + Abi","Male","","","","","1"
"Yes","1990","vocational + Abi","Female","","","","","1"
"Yes","1990","higher vocational","Male","","","","","1"
"Yes","1990","higher vocational","Female","","","","","1"
"Yes","1990","higher education","Male","","","","","1"
"Yes","1990","higher education","Female","","","","","1"
"No","1991","general elemantary","Male","761","0.828874689758931","0.803674372374155","0.854075007143707","2"
"No","1991","inadequately","Male","210","0.78565239870689","0.734884900215633","0.836419897198147","2"
"No","1991","higher vocational","Female","217","0.931084392362645","0.898276096852657","0.963892687872634","2"
"No","1991","inadequately","Female","339","0.857548665719871","0.822079063044167","0.893018268395576","2"
"No","1991","in school","Female","65","0.962310278944677","0.916708717495977","1.00791184039338","2"
"No","1991","higher education","Male","438","0.907705068752491","0.881838616983159","0.933571520521823","2"
"No","1991","higher education","Female","220","0.89821108778181","0.859715286789062","0.936706888774558","2"
"No","1991","general elemantary","Female","1389","0.865012337879616","0.847956852123707","0.882067823635525","2"
"No","1991","higher vocational","Male","239","0.804571977294609","0.758934149824926","0.850209804764291","2"
"No","1991","in school","Male","81","0.967211154742231","0.928899337336708","1.00552297214775","2"
"No","1991","middle vocational","Male","2058","0.814514481619904","0.799037873247906","0.829991089991902","2"
"No","1991","middle vocational","Female","1915","0.88129604954872","0.867485552126814","0.895106546970626","2"
"No","1991","vocational + Abi","Male","152","0.863640585617553","0.812796768022748","0.914484403212357","2"
"No","1991","vocational + Abi","Female","124","0.920031688597236","0.873759346591907","0.966304030602565","2"
"Yes","1991","in school","Male","2","","","","1"
"Yes","1991","in school","Female","2","","","","1"
"Yes","1991","inadequately","Male","41","0.21434760129311","0.163580102801853","0.265115099784367","1"
"Yes","1991","inadequately","Female","34","0.142451334280129","0.106981731604424","0.177920936955833","1"
"Yes","1991","general elemantary","Male","97","0.171125310241069","0.145924992856293","0.196325627625845","1"
"Yes","1991","general elemantary","Female","153","0.134987662120384","0.117932176364475","0.152043147876294","1"
"Yes","1991","middle vocational","Male","365","0.185485518380096","0.170008910008098","0.200962126752094","1"
"Yes","1991","middle vocational","Female","192","0.11870395045128","0.104893453029374","0.132514447873186","1"
"Yes","1991","vocational + Abi","Male","23","","","","1"
"Yes","1991","vocational + Abi","Female","8","","","","1"
"Yes","1991","higher vocational","Male","51","0.195428022705391","0.149790195235709","0.241065850175074","1"
"Yes","1991","higher vocational","Female","12","","","","1"
"Yes","1991","higher education","Male","43","0.0922949312475091","0.0664284794781768","0.118161383016841","1"
"Yes","1991","higher education","Female","17","","","","1"
"No","1992","general elemantary","Male","857","0.82139715285125","0.797305906893476","0.845488398809025","2"
"No","1992","inadequately","Male","208","0.771263865795062","0.719508341630752","0.823019389959372","2"
"No","1992","inadequately","Female","332","0.820772520894758","0.781901495957954","0.859643545831561","2"
"No","1992","higher vocational","Female","249","0.893232210929383","0.856396545339014","0.930067876519753","2"
"No","1992","higher education","Male","819","0.895674883718651","0.875770275724365","0.915579491712937","2"
"No","1992","in school","Female","94","1","1","1","2"
"No","1992","general elemantary","Female","1610","0.864788862556763","0.848978736615274","0.880598988498252","2"
"No","1992","higher education","Female","699","0.922469077830615","0.903200679558429","0.941737476102802","2"
"No","1992","higher vocational","Male","429","0.850554434467515","0.818954496180955","0.882154372754075","2"
"No","1992","in school","Male","92","0.994376205815979","0.979177847202907","1.00957456442905","2"
"No","1992","middle vocational","Male","2925","0.826602467375897","0.813867495006219","0.839337439745575","2"
"No","1992","middle vocational","Female","2979","0.88507033449258","0.874110322661301","0.89603034632386","2"
"No","1992","vocational + Abi","Male","199","0.889269467154057","0.847614170692361","0.930924763615752","2"
"No","1992","vocational + Abi","Female","158","0.931641234458117","0.893251465024029","0.970031003892205","2"
"Yes","1992","in school","Male","1","","","","1"
"Yes","1992","in school","Female","","","","","1"
"Yes","1992","inadequately","Male","45","0.228736134204938","0.176980610040628","0.280491658369248","1"
"Yes","1992","inadequately","Female","42","0.179227479105242","0.140356454168439","0.218098504042046","1"
"Yes","1992","general elemantary","Male","114","0.17860284714875","0.154511601190975","0.202694093106524","1"
"Yes","1992","general elemantary","Female","187","0.135211137443237","0.119401011501748","0.151021263384726","1"
"Yes","1992","middle vocational","Male","470","0.173397532624103","0.160662560254425","0.186132504993781","1"
"Yes","1992","middle vocational","Female","274","0.11492966550742","0.10396965367614","0.125889677338699","1"
"Yes","1992","vocational + Abi","Male","19","","","","1"
"Yes","1992","vocational + Abi","Female","8","","","","1"
"Yes","1992","higher vocational","Male","60","0.149445565532485","0.117845627245925","0.181045503819045","1"
"Yes","1992","higher vocational","Female","21","","","","1"
"Yes","1992","higher education","Male","87","0.104325116281349","0.0844205082870631","0.124229724275635","1"
"Yes","1992","higher education","Female","41","0.0775309221693845","0.0582625238971975","0.0967993204415715","1"
"No","1993","inadequately","Male","","","","","2"
"No","1993","general elemantary","Male","","","","","2"
"No","1993","inadequately","Female","","","","","2"
"No","1993","higher vocational","Female","","","","","2"
"No","1993","higher education","Male","","","","","2"
"No","1993","in school","Female","","","","","2"
"No","1993","general elemantary","Female","","","","","2"
"No","1993","higher education","Female","","","","","2"
"No","1993","higher vocational","Male","","","","","2"
"No","1993","in school","Male","","","","","2"
"No","1993","middle vocational","Male","","","","","2"
"No","1993","middle vocational","Female","","","","","2"
"No","1993","vocational + Abi","Male","","","","","2"
"No","1993","vocational + Abi","Female","","","","","2"
"Yes","1993","general elemantary","Male","","","","","1"
"Yes","1993","general elemantary","Female","","","","","1"
"Yes","1993","middle vocational","Male","","","","","1"
"Yes","1993","middle vocational","Female","","","","","1"
"Yes","1993","vocational + Abi","Male","","","","","1"
"Yes","1993","in school","Male","","","","","1"
"Yes","1993","in school","Female","","","","","1"
"Yes","1993","inadequately","Male","","","","","1"
"Yes","1993","inadequately","Female","","","","","1"
"Yes","1993","vocational + Abi","Female","","","","","1"
"Yes","1993","higher vocational","Male","","","","","1"
"Yes","1993","higher vocational","Female","","","","","1"
"Yes","1993","higher education","Male","","","","","1"
"Yes","1993","higher education","Female","","","","","1"
"No","1994","in school","Female","130","1","1","1","2"
"No","1994","inadequately","Male","188","0.803130380381394","0.750824082577087","0.855436678185701","2"
"No","1994","inadequately","Female","296","0.870644316901157","0.834381354167096","0.906907279635218","2"
"No","1994","general elemantary","Male","754","0.833420792984644","0.808445672354514","0.858395913614775","2"
"No","1994","higher vocational","Female","251","0.866444421917786","0.82631204145521","0.906576802380362","2"
"No","1994","higher education","Female","694","0.911274398408947","0.890745605763668","0.931803191054226","2"
"No","1994","higher education","Male","829","0.905849737547181","0.886854531201565","0.924844943892797","2"
"No","1994","in school","Male","107","1","1","1","2"
"No","1994","general elemantary","Female","1445","0.852487671092914","0.835283005840939","0.86969233634489","2"
"No","1994","higher vocational","Male","412","0.834950847473256","0.801425387762177","0.868476307184335","2"
"No","1994","middle vocational","Male","2870","0.840025152711091","0.827517865630785","0.852532439791397","2"
"No","1994","middle vocational","Female","2953","0.886934403702605","0.875994875504671","0.897873931900539","2"
"No","1994","vocational + Abi","Male","197","0.890474282893476","0.848826684888387","0.932121880898566","2"
"No","1994","vocational + Abi","Female","170","0.947771461448503","0.914901627686498","0.980641295210509","2"
"Yes","1994","general elemantary","Male","101","0.166579207015356","0.141604086385225","0.191554327645486","1"
"Yes","1994","general elemantary","Female","187","0.147512328907085","0.13030766365511","0.164716994159061","1"
"Yes","1994","middle vocational","Male","430","0.159974847288909","0.147467560208603","0.172482134369215","1"
"Yes","1994","middle vocational","Female","266","0.113065596297395","0.102126068099461","0.124005124495329","1"
"Yes","1994","vocational + Abi","Male","19","","","","1"
"Yes","1994","in school","Male","","","","","1"
"Yes","1994","in school","Female","","","","","1"
"Yes","1994","inadequately","Male","34","0.196869619618606","0.144563321814299","0.249175917422913","1"
"Yes","1994","inadequately","Female","33","0.129355683098843","0.0930927203647819","0.165618645832903","1"
"Yes","1994","vocational + Abi","Female","6","","","","1"
"Yes","1994","higher vocational","Male","59","0.165049152526744","0.131523692815665","0.198574612237823","1"
"Yes","1994","higher vocational","Female","25","","","","1"
"Yes","1994","higher education","Male","79","0.0941502624528191","0.0751550561072029","0.113145468798435","1"
"Yes","1994","higher education","Female","43","0.0887256015910534","0.0681968089457744","0.109254394236332","1"
"No","1995","in school","Female","143","1","1","1","2"
"No","1995","inadequately","Male","178","0.794172084545755","0.739489643904523","0.848854525186986","2"
"No","1995","higher education","Male","869","0.900009199203428","0.88093309061735","0.919085307789506","2"
"No","1995","higher vocational","Female","258","0.862218038059659","0.822272358953395","0.902163717165922","2"
"No","1995","inadequately","Female","282","0.858656132844155","0.820604939807692","0.896707325880619","2"
"No","1995","general elemantary","Male","765","0.837555904493058","0.812932203686935","0.86217960529918","2"
"No","1995","higher education","Female","747","0.902832228788745","0.882282254024787","0.923382203552703","2"
"No","1995","in school","Male","138","0.962051626862922","0.930513615523891","0.993589638201952","2"
"No","1995","general elemantary","Female","1436","0.847283087531995","0.829750302117313","0.864815872946678","2"
"No","1995","higher vocational","Male","407","0.830103864089139","0.796224514815241","0.863983213363036","2"
"No","1995","middle vocational","Male","2922","0.832335019860715","0.819724326096594","0.844945713624836","2"
"No","1995","middle vocational","Female","3004","0.872941237336501","0.861583583708471","0.884298890964532","2"
"No","1995","vocational + Abi","Male","232","0.92137838342321","0.888081681027077","0.954675085819343","2"
"No","1995","vocational + Abi","Female","220","0.953471267530525","0.926010777214585","0.980931757846465","2"
"Yes","1995","general elemantary","Male","97","0.162444095506942","0.13782039470082","0.187067796313065","1"
"Yes","1995","general elemantary","Female","181","0.152716912468005","0.135184127053322","0.170249697882687","1"
"Yes","1995","middle vocational","Male","449","0.167664980139285","0.155054286375164","0.180275673903406","1"
"Yes","1995","middle vocational","Female","299","0.127058762663499","0.115701109035468","0.138416416291529","1"
"Yes","1995","vocational + Abi","Male","19","","","","1"
"Yes","1995","in school","Male","3","","","","1"
"Yes","1995","in school","Female","","","","","1"
"Yes","1995","inadequately","Male","32","0.205827915454245","0.151145474813014","0.260510356095477","1"
"Yes","1995","inadequately","Female","40","0.141343867155845","0.103292674119381","0.179395060192308","1"
"Yes","1995","vocational + Abi","Female","6","","","","1"
"Yes","1995","higher vocational","Male","65","0.169896135910861","0.136016786636964","0.203775485184759","1"
"Yes","1995","higher vocational","Female","28","","","","1"
"Yes","1995","higher education","Male","81","0.099990800796572","0.0809146922104935","0.11906690938265","1"
"Yes","1995","higher education","Female","51","0.0971677712112547","0.0766177964472966","0.117717745975213","1"
"No","1996","in school","Female","156","1","1","1","2"
"No","1996","inadequately","Male","165","0.749664902450794","0.689924675641674","0.809405129259913","2"
"No","1996","higher vocational","Female","264","0.840891247444904","0.79922166132052","0.882560833569288","2"
"No","1996","higher education","Male","891","0.901856599390787","0.883134199431798","0.920578999349775","2"
"No","1996","higher education","Female","748","0.912075031838135","0.892427045896318","0.931723017779952","2"
"No","1996","inadequately","Female","261","0.870212781910675","0.831797580310408","0.908627983510942","2"
"No","1996","general elemantary","Male","725","0.828191503710887","0.802388859364978","0.853994148056797","2"
"No","1996","in school","Male","138","1","1","1","2"
"No","1996","general elemantary","Female","1382","0.839748485604824","0.821660290517744","0.857836680691903","2"
"No","1996","higher vocational","Male","414","0.829257908822788","0.795347530906471","0.863168286739105","2"
"No","1996","middle vocational","Male","2866","0.815494561980888","0.80232973086997","0.828659393091806","2"
"No","1996","middle vocational","Female","2997","0.886448667193458","0.875599327234771","0.897298007152145","2"
"No","1996","vocational + Abi","Male","223","0.924613934512688","0.891212261051599","0.958015607973777","2"
"No","1996","vocational + Abi","Female","226","0.94069531586378","0.910561017854812","0.970829613872747","2"
"Yes","1996","general elemantary","Male","96","0.171808496289113","0.146005851943203","0.197611140635022","1"
"Yes","1996","general elemantary","Female","198","0.160251514395176","0.142163319308097","0.178339709482256","1"
"Yes","1996","middle vocational","Male","469","0.184505438019112","0.171340606908194","0.19767026913003","1"
"Yes","1996","middle vocational","Female","288","0.113551332806542","0.102701992847855","0.124400672765229","1"
"Yes","1996","vocational + Abi","Male","17","","","","1"
"Yes","1996","in school","Male","","","","","1"
"Yes","1996","in school","Female","","","","","1"
"Yes","1996","inadequately","Male","37","0.250335097549206","0.190594870740087","0.310075324358326","1"
"Yes","1996","inadequately","Female","33","0.129787218089325","0.0913720164890576","0.168202419689592","1"
"Yes","1996","vocational + Abi","Female","10","","","","1"
"Yes","1996","higher vocational","Male","59","0.170742091177212","0.136831713260895","0.204652469093529","1"
"Yes","1996","higher vocational","Female","32","0.159108752555096","0.117439166430712","0.20077833867948","1"
"Yes","1996","higher education","Male","79","0.0981434006092135","0.079421000650225","0.116865800568202","1"
"Yes","1996","higher education","Female","50","0.0879249681618653","0.0682769822200484","0.107572954103682","1"
"No","1997","in school","Female","159","0.990772350468585","0.975956704741876","1.00558799619529","2"
"No","1997","inadequately","Male","158","0.752878063509245","0.692024304896822","0.813731822121668","2"
"No","1997","higher vocational","Female","259","0.856225297268715","0.815490934417381","0.896959660120049","2"
"No","1997","higher education","Male","898","0.914042923877607","0.896394321641848","0.931691526113366","2"
"No","1997","higher education","Female","747","0.911870385709937","0.892226355741047","0.931514415678827","2"
"No","1997","inadequately","Female","237","0.868593634020668","0.828444132040848","0.908743136000487","2"
"No","1997","general elemantary","Male","726","0.821242741906048","0.79511356785627","0.847371915955826","2"
"No","1997","in school","Male","154","0.980953514583388","0.959504001896513","1.00240302727026","2"
"No","1997","general elemantary","Female","1315","0.84500701727698","0.82669278840413","0.863321246149829","2"
"No","1997","higher vocational","Male","410","0.843590617772432","0.810786005559103","0.876395229985762","2"
"No","1997","middle vocational","Male","2769","0.8075235639191","0.793929603584531","0.821117524253669","2"
"No","1997","middle vocational","Female","2950","0.884629570867878","0.873636079276354","0.895623062459403","2"
"No","1997","vocational + Abi","Male","219","0.93336953729011","0.901485200655195","0.965253873925025","2"
"No","1997","vocational + Abi","Female","210","0.934558633337685","0.902027360136593","0.967089906538776","2"
"Yes","1997","general elemantary","Male","100","0.178757258093952","0.152628084044174","0.20488643214373","1"
"Yes","1997","general elemantary","Female","185","0.15499298272302","0.136678753850171","0.17330721159587","1"
"Yes","1997","middle vocational","Male","462","0.1924764360809","0.178882475746331","0.206070396415469","1"
