"ple0040","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1987","higher vocational","West Germany","80","0.157932797906828","0.127915879663314","0.187949716150342"
"Yes","1987","higher vocational","East Germany","","","",""
"Yes","1987","higher education","West Germany","60","0.0933246545058182","0.0724086954607644","0.114240613550872"
"Yes","1987","higher education","East Germany","","","",""
"No","1987","in school","West Germany","185","0.985514013490358","0.968479778693346","1.00254824828737"
"No","1987","in school","East Germany","","","",""
"No","1987","inadequately","West Germany","689","0.852659456684054","0.827376750640741","0.877942162727367"
"No","1987","inadequately","East Germany","","","",""
"No","1987","general elemantary","West Germany","2595","0.886720344361478","0.875051778966254","0.898388909756702"
"No","1987","general elemantary","East Germany","","","",""
"No","1987","middle vocational","West Germany","4445","0.873219627559118","0.863957166660132","0.882482088458104"
"No","1987","middle vocational","East Germany","","","",""
"No","1987","vocational + Abi","West Germany","257","0.91766419638425","0.885294064814368","0.950034327954133"
"No","1987","vocational + Abi","East Germany","","","",""
"No","1987","higher vocational","West Germany","487","0.842067202093172","0.812050283849658","0.872084120336686"
"No","1987","higher vocational","East Germany","","","",""
"No","1987","higher education","West Germany","683","0.906675345494182","0.885759386449128","0.927591304539236"
"No","1987","higher education","East Germany","","","",""
"Yes","1988","in school","West Germany","1","","",""
"Yes","1988","in school","East Germany","","","",""
"Yes","1988","inadequately","West Germany","70","0.155426257116891","0.128567217164505","0.182285297069276"
"Yes","1988","inadequately","East Germany","","","",""
"Yes","1988","general elemantary","West Germany","263","0.133808139645468","0.121028062341795","0.14658821694914"
"Yes","1988","general elemantary","East Germany","","","",""
"Yes","1988","middle vocational","West Germany","550","0.140582158488294","0.130678560354542","0.150485756622046"
"Yes","1988","middle vocational","East Germany","","","",""
"Yes","1988","vocational + Abi","West Germany","28","","",""
"Yes","1988","vocational + Abi","East Germany","","","",""
"Yes","1988","higher vocational","West Germany","73","0.151898001336139","0.121597223199506","0.182198779472773"
"Yes","1988","higher vocational","East Germany","","","",""
"Yes","1988","higher education","West Germany","55","0.0938612819693399","0.0722105648083663","0.115511999130314"
"Yes","1988","higher education","East Germany","","","",""
"No","1988","in school","West Germany","162","0.988938022487514","0.972881362464748","1.00499468251028"
"No","1988","in school","East Germany","","","",""
"No","1988","inadequately","West Germany","629","0.844573742883109","0.817714702930724","0.871432782835495"
"No","1988","inadequately","East Germany","","","",""
"No","1988","general elemantary","West Germany","2463","0.866191860354532","0.85341178305086","0.878971937658205"
"No","1988","general elemantary","East Germany","","","",""
"No","1988","middle vocational","West Germany","4182","0.859417841511706","0.849514243377954","0.869321439645458"
"No","1988","middle vocational","East Germany","","","",""
"No","1988","vocational + Abi","West Germany","243","0.873292391061693","0.833687882244299","0.912896899879086"
"No","1988","vocational + Abi","East Germany","","","",""
"No","1988","higher vocational","West Germany","466","0.848101998663861","0.817801220527227","0.878402776800494"
"No","1988","higher vocational","East Germany","","","",""
"No","1988","higher education","West Germany","642","0.90613871803066","0.884488000869686","0.927789435191634"
"No","1988","higher education","East Germany","","","",""
"Yes","1989","in school","West Germany","3","","",""
"Yes","1989","in school","East Germany","","","",""
"Yes","1989","inadequately","West Germany","72","0.171948282567468","0.143073160844592","0.200823404290343"
"Yes","1989","inadequately","East Germany","","","",""
"Yes","1989","general elemantary","West Germany","252","0.139833544518429","0.126435520440495","0.153231568596363"
"Yes","1989","general elemantary","East Germany","","","",""
"Yes","1989","middle vocational","West Germany","543","0.147243923044538","0.137017245955678","0.157470600133398"
"Yes","1989","middle vocational","East Germany","","","",""
"Yes","1989","vocational + Abi","West Germany","23","","",""
"Yes","1989","vocational + Abi","East Germany","","","",""
"Yes","1989","higher vocational","West Germany","68","0.149172798089712","0.118404039264458","0.179941556914966"
"Yes","1989","higher vocational","East Germany","","","",""
"Yes","1989","higher education","West Germany","61","0.102802142822937","0.080239567522266","0.125364718123608"
"Yes","1989","higher education","East Germany","","","",""
"No","1989","in school","West Germany","172","0.977158972856531","0.955024484185364","0.999293461527698"
"No","1989","in school","East Germany","","","",""
"No","1989","inadequately","West Germany","584","0.828051717432532","0.799176595709657","0.856926839155408"
"No","1989","inadequately","East Germany","","","",""
"No","1989","general elemantary","West Germany","2322","0.860166455481571","0.846768431403637","0.873564479559505"
"No","1989","general elemantary","East Germany","","","",""
"No","1989","middle vocational","West Germany","4069","0.852756076955462","0.842529399866602","0.862982754044322"
"No","1989","middle vocational","East Germany","","","",""
"No","1989","vocational + Abi","West Germany","267","0.905811410266551","0.872193777185481","0.939429043347622"
"No","1989","vocational + Abi","East Germany","","","",""
"No","1989","higher vocational","West Germany","447","0.850827201910288","0.820058443085034","0.881595960735542"
"No","1989","higher vocational","East Germany","","","",""
"No","1989","higher education","West Germany","635","0.897197857177063","0.874635281876392","0.919760432477734"
"No","1989","higher education","East Germany","","","",""
"Yes","1990","in school","West Germany","","","",""
"Yes","1990","in school","East Germany","","","",""
"Yes","1990","inadequately","West Germany","","","",""
"Yes","1990","inadequately","East Germany","","","",""
"Yes","1990","general elemantary","West Germany","","","",""
"Yes","1990","general elemantary","East Germany","","","",""
"Yes","1990","middle vocational","West Germany","","","",""
"Yes","1990","middle vocational","East Germany","","","",""
"Yes","1990","vocational + Abi","West Germany","","","",""
"Yes","1990","vocational + Abi","East Germany","","","",""
"Yes","1990","higher vocational","West Germany","","","",""
"Yes","1990","higher vocational","East Germany","","","",""
"Yes","1990","higher education","West Germany","","","",""
"Yes","1990","higher education","East Germany","","","",""
"No","1990","in school","West Germany","","","",""
"No","1990","in school","East Germany","","","",""
"No","1990","inadequately","West Germany","","","",""
"No","1990","inadequately","East Germany","","","",""
"No","1990","general elemantary","West Germany","","","",""
"No","1990","general elemantary","East Germany","","","",""
"No","1990","middle vocational","West Germany","","","",""
"No","1990","middle vocational","East Germany","","","",""
"No","1990","vocational + Abi","West Germany","","","",""
"No","1990","vocational + Abi","East Germany","","","",""
"No","1990","higher vocational","West Germany","","","",""
"No","1990","higher vocational","East Germany","","","",""
"No","1990","higher education","West Germany","","","",""
"No","1990","higher education","East Germany","","","",""
"Yes","1991","in school","West Germany","4","","",""
"Yes","1991","in school","East Germany","","","",""
"Yes","1991","inadequately","West Germany","75","0.173049081272506","0.143367959400216","0.202730203144796"
"Yes","1991","inadequately","East Germany","","","",""
"Yes","1991","general elemantary","West Germany","250","0.144822533786935","0.130742987324432","0.158902080249438"
"Yes","1991","general elemantary","East Germany","","","",""
"Yes","1991","middle vocational","West Germany","557","0.153481101092706","0.142984594755603","0.163977607429808"
"Yes","1991","middle vocational","East Germany","","","",""
"Yes","1991","vocational + Abi","West Germany","31","0.111682900611401","0.0764493625008114","0.146916438721991"
"Yes","1991","vocational + Abi","East Germany","","","",""
"Yes","1991","higher vocational","West Germany","63","0.139000566867975","0.109237743254988","0.168763390480961"
"Yes","1991","higher vocational","East Germany","","","",""
"Yes","1991","higher education","West Germany","60","0.0955372690862505","0.0740358255294729","0.117038712643028"
"Yes","1991","higher education","East Germany","","","",""
"No","1991","in school","West Germany","146","0.96488594744201","0.935429461916196","0.994342432967823"
"No","1991","in school","East Germany","","","",""
"No","1991","inadequately","West Germany","549","0.826950918727494","0.797269796855204","0.856632040599784"
"No","1991","inadequately","East Germany","","","",""
"No","1991","general elemantary","West Germany","2150","0.855177466213065","0.841097919750562","0.869257012675568"
"No","1991","general elemantary","East Germany","","","",""
"No","1991","middle vocational","West Germany","3973","0.846518898907294","0.836022392570192","0.857015405244397"
"No","1991","middle vocational","East Germany","","","",""
"No","1991","vocational + Abi","West Germany","276","0.888317099388599","0.853083561278009","0.923550637499189"
"No","1991","vocational + Abi","East Germany","","","",""
"No","1991","higher vocational","West Germany","456","0.860999433132025","0.831236609519039","0.890762256745012"
"No","1991","higher vocational","East Germany","","","",""
"No","1991","higher education","West Germany","658","0.90446273091375","0.882961287356972","0.925964174470527"
"No","1991","higher education","East Germany","","","",""
"Yes","1992","in school","West Germany","1","","",""
"Yes","1992","in school","East Germany","","","",""
"Yes","1992","inadequately","West Germany","83","0.192927142797456","0.161484181521925","0.224370104072986"
"Yes","1992","inadequately","East Germany","4","","",""
"Yes","1992","general elemantary","West Germany","256","0.151163811798361","0.136587758114422","0.165739865482299"
"Yes","1992","general elemantary","East Germany","45","0.119622247060385","0.0895718931023847","0.149672601018385"
"Yes","1992","middle vocational","West Germany","576","0.159706870145243","0.148958056987337","0.170455683303149"
"Yes","1992","middle vocational","East Germany","168","0.0891335049023719","0.077188925328392","0.101078084476352"
"Yes","1992","vocational + Abi","West Germany","25","","",""
"Yes","1992","vocational + Abi","East Germany","2","","",""
"Yes","1992","higher vocational","West Germany","67","0.14577571847744","0.115676190768705","0.175875246186174"
"Yes","1992","higher vocational","East Germany","14","","",""
"Yes","1992","higher education","West Germany","63","0.10179052332672","0.0799008846099999","0.12368016204344"
"Yes","1992","higher education","East Germany","65","0.0789431352276256","0.0614521968654303","0.0964340735898209"
"No","1992","in school","West Germany","141","0.996494357359126","0.986773039083486","1.00621567563477"
"No","1992","in school","East Germany","45","1","1","1"
"No","1992","inadequately","West Germany","522","0.807072857202544","0.775629895927014","0.838515818478075"
"No","1992","inadequately","East Germany","18","","",""
"No","1992","general elemantary","West Germany","2064","0.848836188201639","0.834260134517701","0.863412241885578"
"No","1992","general elemantary","East Germany","403","0.880377752939615","0.850327398981615","0.910428106897615"
"No","1992","middle vocational","West Germany","3886","0.840293129854757","0.829544316696851","0.851041943012663"
"No","1992","middle vocational","East Germany","2018","0.910866495097628","0.898921915523648","0.922811074671608"
"No","1992","vocational + Abi","West Germany","291","0.901578413605141","0.868734758523652","0.93442206868663"
"No","1992","vocational + Abi","East Germany","66","0.950708700564213","0.899256671942016","1.00216072918641"
"No","1992","higher vocational","West Germany","461","0.85422428152256","0.824124753813826","0.884323809231294"
"No","1992","higher vocational","East Germany","217","0.922387103062114","0.887883403859446","0.956890802264782"
"No","1992","higher education","West Germany","670","0.89820947667328","0.87631983795656","0.92009911539"
"No","1992","higher education","East Germany","848","0.921056864772374","0.903565926410179","0.93854780313457"
"Yes","1993","in school","West Germany","","","",""
"Yes","1993","in school","East Germany","","","",""
"Yes","1993","inadequately","West Germany","","","",""
"Yes","1993","inadequately","East Germany","","","",""
"Yes","1993","general elemantary","West Germany","","","",""
"Yes","1993","general elemantary","East Germany","","","",""
"Yes","1993","middle vocational","West Germany","","","",""
"Yes","1993","middle vocational","East Germany","","","",""
"Yes","1993","vocational + Abi","West Germany","","","",""
"Yes","1993","vocational + Abi","East Germany","","","",""
"Yes","1993","higher vocational","West Germany","","","",""
"Yes","1993","higher vocational","East Germany","","","",""
"Yes","1993","higher education","West Germany","","","",""
"Yes","1993","higher education","East Germany","","","",""
"No","1993","in school","West Germany","","","",""
"No","1993","in school","East Germany","","","",""
"No","1993","inadequately","West Germany","","","",""
"No","1993","inadequately","East Germany","","","",""
"No","1993","general elemantary","West Germany","","","",""
"No","1993","general elemantary","East Germany","","","",""
"No","1993","middle vocational","West Germany","","","",""
"No","1993","middle vocational","East Germany","","","",""
"No","1993","vocational + Abi","West Germany","","","",""
"No","1993","vocational + Abi","East Germany","","","",""
"No","1993","higher vocational","West Germany","","","",""
"No","1993","higher vocational","East Germany","","","",""
"No","1993","higher education","West Germany","","","",""
"No","1993","higher education","East Germany","","","",""
"Yes","1994","in school","West Germany","","","",""
"Yes","1994","in school","East Germany","","","",""
"Yes","1994","inadequately","West Germany","66","0.157688998984135","0.126950111471967","0.188427886496303"
"Yes","1994","inadequately","East Germany","1","","",""
"Yes","1994","general elemantary","West Germany","248","0.157855449169063","0.142186512178607","0.173524386159519"
"Yes","1994","general elemantary","East Germany","40","0.117364954806287","0.0860961927310284","0.148633716881546"
"Yes","1994","middle vocational","West Germany","548","0.150555625706435","0.140044953487639","0.161066297925231"
"Yes","1994","middle vocational","East Germany","148","0.0852255306825236","0.0732030222542769","0.0972480391107703"
"Yes","1994","vocational + Abi","West Germany","25","","",""
"Yes","1994","vocational + Abi","East Germany","","","",""
"Yes","1994","higher vocational","West Germany","71","0.172074363259725","0.139475817418206","0.204672909101243"
"Yes","1994","higher vocational","East Germany","13","","",""
"Yes","1994","higher education","West Germany","60","0.0948155261244084","0.0743867277044823","0.115244324544334"
"Yes","1994","higher education","East Germany","62","0.086275638230079","0.0674557635951021","0.105095512865056"
"No","1994","in school","West Germany","155","1","1","1"
"No","1994","in school","East Germany","82","1","1","1"
"No","1994","inadequately","West Germany","474","0.842311001015865","0.811572113503697","0.873049888528033"
"No","1994","inadequately","East Germany","10","","",""
"No","1994","general elemantary","West Germany","1832","0.842144550830937","0.826475613840481","0.857813487821394"
"No","1994","general elemantary","East Germany","367","0.882635045193713","0.851366283118454","0.913903807268971"
"No","1994","middle vocational","West Germany","3899","0.849444374293565","0.838933702074769","0.859955046512361"
"No","1994","middle vocational","East Germany","1924","0.914774469317476","0.90275196088923","0.926796977745723"
"No","1994","vocational + Abi","West Germany","293","0.903230592092122","0.870736613335845","0.9357245708484"
"No","1994","vocational + Abi","East Germany","74","1","1","1"
"No","1994","higher vocational","West Germany","444","0.827925636740275","0.795327090898757","0.860524182581794"
"No","1994","higher vocational","East Germany","219","0.927247063975352","0.893825474973193","0.960668652977511"
"No","1994","higher education","West Germany","730","0.905184473875592","0.884755675455666","0.925613272295518"
"No","1994","higher education","East Germany","793","0.913724361769921","0.894904487134944","0.932544236404898"
"Yes","1995","in school","West Germany","3","","",""
"Yes","1995","in school","East Germany","","","",""
"Yes","1995","inadequately","West Germany","72","0.17213390164837","0.139750229426176","0.204517573870563"
"Yes","1995","inadequately","East Germany","","","",""
"Yes","1995","general elemantary","West Germany","240","0.161522628529687","0.145779021835067","0.177266235224307"
"Yes","1995","general elemantary","East Germany","38","0.107986040990641","0.0767809159138745","0.139191166067407"
"Yes","1995","middle vocational","West Germany","598","0.163742741314497","0.153104593755714","0.174380888873279"
"Yes","1995","middle vocational","East Germany","150","0.0868441712952715","0.0745818933493753","0.0991064492411677"
"Yes","1995","vocational + Abi","West Germany","24","","",""
"Yes","1995","vocational + Abi","East Germany","1","","",""
"Yes","1995","higher vocational","West Germany","70","0.163965370560723","0.132294745113274","0.195635996008172"
"Yes","1995","higher vocational","East Germany","23","","",""
"Yes","1995","higher education","West Germany","68","0.0985920006901714","0.0793284774554494","0.117855523924893"
"Yes","1995","higher education","East Germany","64","0.0993485780244326","0.078973835941304","0.119723320107561"
"No","1995","in school","West Germany","186","0.975147934804275","0.952954031797264","0.997341837811286"
"No","1995","in school","East Germany","95","1","1","1"
"No","1995","inadequately","West Germany","450","0.82786609835163","0.795482426129436","0.860249770573824"
"No","1995","inadequately","East Germany","10","","",""
"No","1995","general elemantary","West Germany","1859","0.838477371470313","0.822733764775693","0.854220978164933"
"No","1995","general elemantary","East Germany","342","0.892013959009359","0.860808833932593","0.923219084086126"
"No","1995","middle vocational","West Germany","4050","0.836257258685503","0.825619111126721","0.846895406244286"
"No","1995","middle vocational","East Germany","1876","0.913155828704728","0.900893550758832","0.925418106650625"
"No","1995","vocational + Abi","West Germany","384","0.930754852717819","0.906121113713539","0.955388591722099"
"No","1995","vocational + Abi","East Germany","68","0.988496021835762","0.963334608452583","1.01365743521894"
"No","1995","higher vocational","West Germany","455","0.836034629439277","0.804364003991828","0.867705254886726"
"No","1995","higher vocational","East Germany","210","0.869479199600967","0.826223873236542","0.912734525965391"
"No","1995","higher education","West Germany","852","0.901407999309829","0.882144476075107","0.920671522544551"
"No","1995","higher education","East Germany","764","0.900651421975567","0.880276679892439","0.921026164058696"
"Yes","1996","in school","West Germany","","","",""
"Yes","1996","in school","East Germany","","","",""
"Yes","1996","inadequately","West Germany","70","0.188577099979207","0.153691786323491","0.223462413634922"
"Yes","1996","inadequately","East Germany","","","",""
"Yes","1996","general elemantary","West Germany","254","0.167980699411686","0.151741837184682","0.18421956163869"
"Yes","1996","general elemantary","East Germany","40","0.124861185077467","0.0909491495676225","0.158773220587312"
"Yes","1996","middle vocational","West Germany","582","0.161781705714612","0.151150365664771","0.172413045764454"
"Yes","1996","middle vocational","East Germany","175","0.100499279588625","0.0873584044795993","0.113640154697651"
"Yes","1996","vocational + Abi","West Germany","27","","",""
"Yes","1996","vocational + Abi","East Germany","","","",""
"Yes","1996","higher vocational","West Germany","71","0.17450511924675","0.142463460810384","0.206546777683115"
"Yes","1996","higher vocational","East Germany","20","","",""
"Yes","1996","higher education","West Germany","68","0.0944059058795089","0.075603795117105","0.113208016641913"
"Yes","1996","higher education","East Germany","61","0.0930145850640412","0.0733609544745705","0.112668215653512"
"No","1996","in school","West Germany","196","1","1","1"
"No","1996","in school","East Germany","98","1","1","1"
"No","1996","inadequately","West Germany","413","0.811422900020793","0.776537586365078","0.846308213676509"
"No","1996","inadequately","East Germany","13","","",""
"No","1996","general elemantary","West Germany","1782","0.832019300588314","0.81578043836131","0.848258162815318"
"No","1996","general elemantary","East Germany","325","0.875138814922533","0.841226779412688","0.909050850432377"
"No","1996","middle vocational","West Germany","4027","0.838218294285388","0.827586954235546","0.848849634335229"
"No","1996","middle vocational","East Germany","1836","0.899500720411375","0.886359845302349","0.912641595520401"
"No","1996","vocational + Abi","West Germany","374","0.925310251847393","0.899579641435483","0.951040862259303"
"No","1996","vocational + Abi","East Germany","75","1","1","1"
"No","1996","higher vocational","West Germany","468","0.82549488075325","0.793453222316885","0.857536539189616"
"No","1996","higher vocational","East Germany","210","0.869878742514882","0.826398930492341","0.913358554537423"
"No","1996","higher education","West Germany","861","0.905594094120491","0.886791983358087","0.924396204882895"
"No","1996","higher education","East Germany","778","0.906985414935959","0.887331784346488","0.92663904552543"
"Yes","1997","in school","West Germany","3","","",""
"Yes","1997","in school","East Germany","","","",""
"Yes","1997","inadequately","West Germany","70","0.18752566168714","0.151620627523889","0.223430695850391"
"Yes","1997","inadequately","East Germany","","","",""
"Yes","1997","general elemantary","West Germany","243","0.164971470440057","0.148610847487745","0.181332093392369"
"Yes","1997","general elemantary","East Germany","42","0.133509811825208","0.0978257901845124","0.169193833465903"
"Yes","1997","middle vocational","West Germany","593","0.169682508334417","0.158708325581401","0.180656691087433"
"Yes","1997","middle vocational","East Germany","163","0.0936562086959173","0.0808263869682363","0.106486030423598"
"Yes","1997","vocational + Abi","West Germany","24","","",""
"Yes","1997","vocational + Abi","East Germany","4","","",""
"Yes","1997","higher vocational","West Germany","61","0.154090129142174","0.123177787578334","0.185002470706014"
"Yes","1997","higher vocational","East Germany","26","","",""
"Yes","1997","higher education","West Germany","60","0.0838615592592918","0.0660759278038095","0.101647190714774"
"Yes","1997","higher education","East Germany","64","0.0934269266845988","0.073698957016026","0.113154896353172"
"No","1997","in school","West Germany","203","0.982149097364805","0.964067646216211","1.0002305485134"
"No","1997","in school","East Germany","110","1","1","1"
"No","1997","inadequately","West Germany","384","0.81247433831286","0.776569304149609","0.848379372476111"
"No","1997","inadequately","East Germany","11","","",""
"No","1997","general elemantary","West Germany","1734","0.835028529559943","0.818667906607631","0.851389152512255"
"No","1997","general elemantary","East Germany","307","0.866490188174792","0.830806166534097","0.902174209815488"
"No","1997","middle vocational","West Germany","3901","0.830317491665583","0.819343308912567","0.841291674418599"
"No","1997","middle vocational","East Germany","1818","0.906343791304083","0.893513969576402","0.919173613031764"
"No","1997","vocational + Abi","West Germany","360","0.932611728867036","0.907537645088407","0.957685812645665"
"No","1997","vocational + Abi","East Germany","69","0.946406234527413","0.894742881039798","0.998069588015028"
"No","1997","higher vocational","West Germany","463","0.845909870857826","0.814997529293986","0.876822212421666"
"No","1997","higher vocational","East Germany","206","0.859773846277626","0.815094097292699","0.904453595262552"
"No","1997","higher education","West Germany","873","0.916138440740708","0.898352809285226","0.93392407219619"
"No","1997","higher education","East Germany","772","0.906573073315401","0.886845103646828","0.926301042983974"
"Yes","1998","in school","West Germany","5","","",""
"Yes","1998","in school","East Germany","1","","",""
"Yes","1998","inadequately","West Germany","72","0.192694951273601","0.155458913843277","0.229930988703925"
"Yes","1998","inadequately","East Germany","","","",""
"Yes","1998","general elemantary","West Germany","277","0.165373493311947","0.149698714987148","0.181048271636747"
"Yes","1998","general elemantary","East Germany","45","0.130296465189704","0.0963609750925824","0.164231955286826"
"Yes","1998","middle vocational","West Germany","648","0.163525265825328","0.153171930428152","0.173878601222504"
"Yes","1998","middle vocational","East Germany","177","0.0929788733330257","0.0805017952762816","0.10545595138977"
"Yes","1998","vocational + Abi","West Germany","31","0.0754658918538623","0.0508688403048528","0.100062943402872"
"Yes","1998","vocational + Abi","East Germany","4","","",""
"Yes","1998","higher vocational","West Germany","71","0.162691742698946","0.132706191165877","0.192677294232016"
"Yes","1998","higher vocational","East Germany","22","","",""
"Yes","1998","higher education","West Germany","76","0.0887465601236308","0.0719716999445711","0.105521420302691"
"Yes","1998","higher education","East Germany","75","0.104927714944124","0.0845637365669549","0.125291693321294"
"No","1998","in school","West Germany","219","0.9768498053799","0.957156650240388","0.996542960519412"
"No","1998","in school","East Germany","108","0.990618341694293","0.972520456450078","1.00871622693851"
"No","1998","inadequately","West Germany","359","0.807305048726399","0.770069011296075","0.844541086156723"
"No","1998","inadequately","East Germany","15","","",""
"No","1998","general elemantary","West Germany","1881","0.834626506688053","0.818951728363254","0.850301285012853"
"No","1998","general elemantary","East Germany","333","0.869703534810296","0.835768044713174","0.903639024907418"
"No","1998","middle vocational","West Germany","4254","0.836474734174672","0.826121398777496","0.846828069571848"
"No","1998","middle vocational","East Germany","1904","0.907021126666974","0.89454404861023","0.919498204723718"
"No","1998","vocational + Abi","West Germany","412","0.924534108146138","0.899937056597128","0.949131159695147"
"No","1998","vocational + Abi","East Germany","64","0.95452518035658","0.905006071322789","1.00404428939037"
"No","1998","higher vocational","West Germany","511","0.837308257301054","0.807322705767984","0.867293808834123"
"No","1998","higher vocational","East Germany","214","0.882183390900358","0.841051868196693","0.923314913604023"
"No","1998","higher education","West Germany","1028","0.911253439876369","0.894478579697309","0.928028300055429"
"No","1998","higher education","East Germany","795","0.895072285055876","0.874708306678706","0.915436263433045"
"Yes","1999","in school","West Germany","6","","",""
"Yes","1999","in school","East Germany","","","",""
