"ple0040","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","1991","no migration background","Female","352","0.123495208243148","0.112479986617866","0.134510429868429","1"
"Yes","1991","indirect migration background","Female","6","","","","1"
"No","1992","no migration background","Male","4260","0.842582100356798","0.832382764998721","0.852781435714875","2"
"No","1992","no migration background","Female","4899","0.881311373389135","0.872673149087394","0.889949597690876","2"
"No","1992","direct migration background","Male","1155","0.836122789991242","0.816100670944135","0.85614490903835","2"
"No","1992","direct migration background","Female","1122","0.904055367642537","0.887433405334149","0.920677329950925","2"
"No","1992","indirect migration background","Male","200","0.947626436653464","0.917055576887809","0.97819729641912","2"
"No","1992","indirect migration background","Female","195","0.940674071999047","0.90817717236789","0.973170971630204","2"
"Yes","1992","no migration background","Male","638","0.157417899643202","0.147218564285125","0.167617235001279","1"
"Yes","1992","direct migration background","Male","158","0.163877210008757","0.14385509096165","0.183899329055865","1"
"Yes","1992","direct migration background","Female","84","0.0959446323574629","0.0793226700490752","0.112566594665851","1"
"Yes","1992","indirect migration background","Male","4","","","","1"
"Yes","1992","no migration background","Female","486","0.118688626610865","0.110050402309124","0.127326850912606","1"
"Yes","1992","indirect migration background","Female","8","","","","1"
"No","1993","no migration background","Male","","","","","2"
"No","1993","no migration background","Female","","","","","2"
"No","1993","direct migration background","Male","","","","","2"
"No","1993","direct migration background","Female","","","","","2"
"No","1993","indirect migration background","Male","","","","","2"
"No","1993","indirect migration background","Female","","","","","2"
"Yes","1993","no migration background","Male","","","","","1"
"Yes","1993","no migration background","Female","","","","","1"
"Yes","1993","direct migration background","Male","","","","","1"
"Yes","1993","direct migration background","Female","","","","","1"
"Yes","1993","indirect migration background","Male","","","","","1"
"Yes","1993","indirect migration background","Female","","","","","1"
"No","1994","no migration background","Male","4178","0.85542081528549","0.845409256244861","0.865432374326119","2"
"No","1994","no migration background","Female","4758","0.879193081459515","0.870359703679761","0.888026459239269","2"
"No","1994","direct migration background","Male","1037","0.830553044734533","0.809292074801962","0.851814014667104","2"
"No","1994","direct migration background","Female","1050","0.889332182796418","0.871128974227434","0.907535391365401","2"
"No","1994","indirect migration background","Male","240","0.949324007866434","0.921859399477534","0.976788616255333","2"
"No","1994","indirect migration background","Female","240","0.963277571227362","0.939822268792847","0.986732873661877","2"
"Yes","1994","no migration background","Male","562","0.14457918471451","0.134567625673881","0.154590743755138","1"
"Yes","1994","no migration background","Female","471","0.120806918540485","0.111973540760731","0.129640296320239","1"
"Yes","1994","direct migration background","Male","159","0.169446955265467","0.148185985332896","0.190707925198038","1"
"Yes","1994","direct migration background","Female","91","0.110667817203582","0.0924646086345986","0.128871025772566","1"
"Yes","1994","indirect migration background","Male","5","","","","1"
"Yes","1994","indirect migration background","Female","7","","","","1"
"No","1995","no migration background","Male","4133","0.847425354727587","0.837158501310761","0.857692208144414","2"
"No","1995","no migration background","Female","4708","0.866782868694823","0.857557556209097","0.876008181180549","2"
"No","1995","direct migration background","Male","1242","0.857156262892474","0.838872665666506","0.875439860118441","2"
"No","1995","direct migration background","Female","1269","0.900731505044735","0.884914792643516","0.916548217445954","2"
"No","1995","indirect migration background","Male","247","0.935451790855632","0.905172853144415","0.965730728566849","2"
"No","1995","indirect migration background","Female","248","0.970255827071959","0.949445821960991","0.991065832182927","2"
"Yes","1995","no migration background","Male","579","0.152574645272413","0.142307791855586","0.162841498689239","1"
"Yes","1995","no migration background","Female","504","0.133217131305177","0.123991818819451","0.142442443790903","1"
"Yes","1995","direct migration background","Male","165","0.142843737107526","0.124560139881559","0.161127334333494","1"
"Yes","1995","direct migration background","Female","104","0.0992684949552653","0.0834517825540461","0.115085207356484","1"
"Yes","1995","indirect migration background","Male","6","","","","1"
"Yes","1995","indirect migration background","Female","8","","","","1"
"No","1996","no migration background","Male","4125","0.839546992515833","0.829069683866094","0.850024301165572","2"
"No","1996","no migration background","Female","4689","0.872191433573147","0.86312196376609","0.881260903380205","2"
"No","1996","direct migration background","Male","1148","0.833330213363564","0.813179639811213","0.853480786915915","2"
"No","1996","direct migration background","Female","1205","0.905577407148263","0.889687908542615","0.921466905753911","2"
"No","1996","indirect migration background","Male","265","0.974297147666002","0.955386416221649","0.993207879110354","2"
"No","1996","indirect migration background","Female","271","0.965155778982204","0.943675834083297","0.98663572388111","2"
"Yes","1996","no migration background","Male","589","0.160453007484167","0.149975698834428","0.170930316133906","1"
"Yes","1996","no migration background","Female","517","0.127808566426853","0.118739096619795","0.13687803623391","1"
"Yes","1996","direct migration background","Male","166","0.166669786636436","0.146519213084085","0.186820360188787","1"
"Yes","1996","direct migration background","Female","96","0.0944225928517373","0.0785330942460892","0.110312091457386","1"
"Yes","1996","indirect migration background","Male","4","","","","1"
"Yes","1996","indirect migration background","Female","9","","","","1"
"No","1997","no migration background","Male","4070","0.835155983564382","0.824502895308152","0.845809071820611","2"
"No","1997","no migration background","Female","4619","0.872544719139478","0.863417324107407","0.881672114171548","2"
"No","1997","direct migration background","Male","1099","0.844239736886552","0.824153103293144","0.86432637047996","2"
"No","1997","direct migration background","Female","1126","0.914999456575921","0.89935676335192","0.930642149799923","2"
"No","1997","indirect migration background","Male","284","0.962500212775252","0.94063448630787","0.984365939242633","2"
"No","1997","indirect migration background","Female","271","0.959727314517724","0.936740745460685","0.982713883574763","2"
"Yes","1997","no migration background","Male","590","0.164844016435618","0.154190928179389","0.175497104691848","1"
"Yes","1997","no migration background","Female","509","0.127455280860523","0.118327885828452","0.136582675892593","1"
"Yes","1997","direct migration background","Male","153","0.155760263113448","0.13567362952004","0.175846896706856","1"
"Yes","1997","direct migration background","Female","95","0.0850005434240787","0.0693578502000774","0.10064323664808","1"
"Yes","1997","indirect migration background","Male","6","","","","1"
"Yes","1997","indirect migration background","Female","10","","","","1"
"No","1998","no migration background","Male","4648","0.843155693730237","0.833400248979496","0.852911138480978","2"
"No","1998","no migration background","Female","5255","0.867840527626432","0.859169543426718","0.876511511826147","2"
"No","1998","direct migration background","Male","1057","0.846568544438943","0.826303469299255","0.866833619578632","2"
"No","1998","direct migration background","Female","1092","0.906306828502393","0.889736486703207","0.922877170301578","2"
"No","1998","indirect migration background","Male","302","0.972747087839549","0.954592964606473","0.990901211072626","2"
"No","1998","indirect migration background","Female","284","0.967163534901892","0.946792993018084","0.9875340767857","2"
"Yes","1998","no migration background","Male","690","0.156844306269763","0.147088861519022","0.166599751020504","1"
"Yes","1998","direct migration background","Male","158","0.153431455561057","0.133166380421368","0.173696530700745","1"
"Yes","1998","no migration background","Female","605","0.132159472373568","0.123488488173853","0.140830456573282","1"
"Yes","1998","direct migration background","Female","96","0.0936931714976075","0.0771228296984224","0.110263513296793","1"
"Yes","1998","indirect migration background","Male","7","","","","1"
"Yes","1998","indirect migration background","Female","10","","","","1"
"No","1999","no migration background","Male","4541","0.841424863369853","0.831501407523476","0.85134831921623","2"
"No","1999","no migration background","Female","5098","0.863756770893735","0.854851157050709","0.872662384736762","2"
"No","1999","indirect migration background","Male","303","0.971696565694464","0.953235696471975","0.990157434916953","2"
"No","1999","direct migration background","Male","969","0.852088287691282","0.831231659979209","0.872944915403354","2"
"No","1999","direct migration background","Female","1009","0.891119296343103","0.872728493982384","0.909510098703821","2"
"No","1999","indirect migration background","Female","287","0.951435628929563","0.927152008665887","0.975719249193238","2"
"Yes","1999","no migration background","Male","664","0.158575136630147","0.14865168078377","0.168498592476524","1"
"Yes","1999","direct migration background","Male","144","0.147911712308718","0.127055084596646","0.168768340020791","1"
"Yes","1999","no migration background","Female","602","0.136243229106265","0.127337615263238","0.145148842949291","1"
"Yes","1999","direct migration background","Female","93","0.108880703656897","0.0904899012961792","0.127271506017616","1"
"Yes","1999","indirect migration background","Male","7","","","","1"
"Yes","1999","indirect migration background","Female","14","","","","1"
"No","2000","no migration background","Male","8300","0.850739234758905","0.843600183570279","0.857878285947532","2"
"No","2000","no migration background","Female","9396","0.883287854586424","0.877130963809768","0.889444745363081","2"
"No","2000","indirect migration background","Male","396","0.961105822998283","0.942391071703021","0.979820574293545","2"
"No","2000","direct migration background","Male","1456","0.884877594436774","0.869416320367756","0.900338868505791","2"
"No","2000","direct migration background","Female","1583","0.92458303327572","0.912019417095627","0.937146649455813","2"
"No","2000","indirect migration background","Female","402","0.966503800814872","0.949213562708699","0.983794038921046","2"
"Yes","2000","no migration background","Male","1271","0.149260765241095","0.142121714052468","0.156399816429721","1"
"Yes","2000","direct migration background","Male","181","0.115122405563226","0.0996611314942085","0.130583679632244","1"
"Yes","2000","no migration background","Female","1051","0.116712145413576","0.110555254636919","0.122869036190232","1"
"Yes","2000","direct migration background","Female","114","0.0754169667242802","0.0628533505441874","0.087980582904373","1"
"Yes","2000","indirect migration background","Male","14","","","","1"
"Yes","2000","indirect migration background","Female","14","","","","1"
"No","2001","no migration background","Male","7584","0.851964443215862","0.844511397150328","0.859417489281396","2"
"No","2001","indirect migration background","Male","363","0.931314472606707","0.905885015570845","0.956743929642568","2"
"No","2001","no migration background","Female","8580","0.87954143625859","0.873013237060806","0.886069635456375","2"
"No","2001","direct migration background","Male","1277","0.884811999273694","0.868294235054699","0.901329763492689","2"
"No","2001","direct migration background","Female","1378","0.922916613770975","0.909359906105728","0.936473321436222","2"
"No","2001","indirect migration background","Female","377","0.959980381616619","0.940651034126137","0.979309729107101","2"
"Yes","2001","no migration background","Male","1138","0.148035556784138","0.140582510718604","0.155488602849672","1"
"Yes","2001","direct migration background","Male","158","0.115188000726306","0.0986702365073113","0.1317057649453","1"
"Yes","2001","direct migration background","Female","109","0.0770833862290247","0.0635266785637777","0.0906400938942716","1"
"Yes","2001","indirect migration background","Male","17","","","","1"
"Yes","2001","no migration background","Female","970","0.12045856374141","0.113930364543625","0.126986762939194","1"
"Yes","2001","indirect migration background","Female","18","","","","1"
"No","2002","no migration background","Male","8152","0.841823587182601","0.834442115521654","0.849205058843548","2"
"No","2002","indirect migration background","Male","353","0.942762420106658","0.919060874347605","0.966463965865711","2"
"No","2002","no migration background","Female","9010","0.869292927152773","0.862703724460488","0.875882129845059","2"
"No","2002","direct migration background","Male","1212","0.892139616231999","0.875659266582367","0.90861996588163","2"
"No","2002","direct migration background","Female","1328","0.909383138868169","0.894571848997522","0.924194428738817","2"
"No","2002","indirect migration background","Female","392","0.958738332534333","0.939462645326628","0.978014019742038","2"
"Yes","2002","no migration background","Male","1236","0.158176412817399","0.150794941156452","0.165557884478346","1"
"Yes","2002","direct migration background","Male","149","0.107860383768001","0.0913800341183695","0.124340733417633","1"
"Yes","2002","direct migration background","Female","115","0.0906168611318306","0.0758055712611831","0.105428151002478","1"
"Yes","2002","indirect migration background","Male","16","","","","1"
"Yes","2002","no migration background","Female","1043","0.130707072847227","0.124117870154941","0.137296275539512","1"
"Yes","2002","indirect migration background","Female","17","","","","1"
"No","2003","no migration background","Male","7847","0.845082468249042","0.837624995825375","0.852539940672708","2"
"No","2003","no migration background","Female","8690","0.867819376047415","0.861088377009748","0.874550375085083","2"
"No","2003","direct migration background","Male","1115","0.882006218826633","0.864256860263809","0.899755577389457","2"
"No","2003","indirect migration background","Male","360","0.966959189829152","0.948770955001424","0.98514742465688","2"
"No","2003","direct migration background","Female","1257","0.924087523849681","0.910000756621416","0.938174291077946","2"
"No","2003","indirect migration background","Female","394","0.956233882869621","0.936504016740702","0.97596374899854","2"
"Yes","2003","no migration background","Male","1196","0.154917531750958","0.147460059327292","0.162375004174625","1"
"Yes","2003","direct migration background","Male","154","0.117993781173367","0.100244422610543","0.135743139736191","1"
"Yes","2003","direct migration background","Female","101","0.0759124761503186","0.0618257089220537","0.0899992433785835","1"
"Yes","2003","no migration background","Female","1036","0.132180623952585","0.125449624914917","0.138911622990253","1"
"Yes","2003","indirect migration background","Male","11","","","","1"
"Yes","2003","indirect migration background","Female","19","","","","1"
"No","2004","no migration background","Male","7588","0.839580740550312","0.831907787262502","0.847253693838123","2"
"No","2004","no migration background","Female","8466","0.863595192480861","0.856695305502389","0.870495079459332","2"
"No","2004","direct migration background","Male","1068","0.873108308208508","0.854453726437401","0.891762889979616","2"
"No","2004","indirect migration background","Male","380","0.96717410745906","0.949490275070226","0.984857939847893","2"
"No","2004","direct migration background","Female","1207","0.909247037870496","0.893744705453755","0.924749370287238","2"
"No","2004","indirect migration background","Female","394","0.936366681010071","0.912938135517195","0.959795226502947","2"
"Yes","2004","no migration background","Male","1200","0.160419259449688","0.152746306161877","0.168092212737498","1"
"Yes","2004","direct migration background","Male","155","0.126891691791491","0.108237110020384","0.145546273562599","1"
"Yes","2004","direct migration background","Female","112","0.0907529621295038","0.0752506297127626","0.106255294546245","1"
"Yes","2004","no migration background","Female","1039","0.136404807519139","0.129504920540668","0.143304694497611","1"
"Yes","2004","indirect migration background","Male","10","","","","1"
"Yes","2004","indirect migration background","Female","23","","","","1"
"No","2005","no migration background","Male","7177","0.840483809105313","0.832639072465723","0.848328545744903","2"
"No","2005","no migration background","Female","8108","0.867795263590785","0.860842169958077","0.874748357223494","2"
"No","2005","direct migration background","Male","967","0.872818256183598","0.853297018638382","0.892339493728815","2"
"No","2005","indirect migration background","Male","401","0.983430122588449","0.971013128474267","0.995847116702631","2"
"No","2005","direct migration background","Female","1144","0.915930341534238","0.900534917226345","0.931325765842132","2"
"No","2005","indirect migration background","Female","405","0.956407028156711","0.936994448807748","0.975819607505673","2"
"Yes","2005","no migration background","Male","1192","0.159516190894687","0.151671454255097","0.167360927534277","1"
"Yes","2005","no migration background","Female","1008","0.132204736409215","0.125251642776506","0.139157830041923","1"
"Yes","2005","direct migration background","Male","152","0.127181743816402","0.107660506271185","0.146702981361618","1"
"Yes","2005","direct migration background","Female","104","0.0840696584657615","0.0686742341578683","0.0994650827736547","1"
"Yes","2005","indirect migration background","Male","5","","","","1"
"Yes","2005","indirect migration background","Female","20","","","","1"
"No","2006","no migration background","Male","7685","0.83851663909843","0.830910930637036","0.846122347559825","2"
"No","2006","no migration background","Female","8681","0.861480155664694","0.854646051792521","0.868314259536868","2"
"No","2006","direct migration background","Male","949","0.862553704591277","0.842252278620927","0.882855130561627","2"
"No","2006","direct migration background","Female","1158","0.904791801993759","0.888700389595653","0.920883214391864","2"
"No","2006","indirect migration background","Male","384","0.978297075076142","0.963909271780695","0.992684878371589","2"
"No","2006","indirect migration background","Female","410","0.956890539580993","0.937626313008932","0.976154766153054","2"
"Yes","2006","no migration background","Male","1307","0.16148336090157","0.153877652440175","0.169089069362964","1"
"Yes","2006","no migration background","Female","1134","0.138519844335306","0.131685740463132","0.145353948207479","1"
"Yes","2006","direct migration background","Male","156","0.137446295408723","0.117144869438372","0.157747721379073","1"
"Yes","2006","direct migration background","Female","120","0.0952081980062413","0.0791167856081358","0.111299610404347","1"
"Yes","2006","indirect migration background","Male","10","","","","1"
"Yes","2006","indirect migration background","Female","17","","","","1"
"No","2007","no migration background","Male","7178","0.837501133741075","0.829619557208077","0.845382710274074","2"
"No","2007","no migration background","Female","8122","0.863321775345974","0.856302152258874","0.870341398433074","2"
"No","2007","direct migration background","Male","847","0.864357632877465","0.842941711542553","0.885773554212378","2"
"No","2007","direct migration background","Female","1034","0.905279445629134","0.888288454454274","0.922270436803994","2"
"No","2007","indirect migration background","Male","365","0.976747472651432","0.96143297163243","0.992061973670433","2"
"No","2007","indirect migration background","Female","394","0.957827004902996","0.938490196056691","0.977163813749301","2"
"Yes","2007","no migration background","Male","1238","0.162498866258925","0.154617289725926","0.170380442791923","1"
"Yes","2007","no migration background","Female","1077","0.136678224654026","0.129658601566926","0.143697847741126","1"
"Yes","2007","direct migration background","Male","135","0.135642367122534","0.114226445787622","0.157058288457447","1"
"Yes","2007","direct migration background","Female","107","0.094720554370866","0.0777295631960056","0.111711545545726","1"
"Yes","2007","indirect migration background","Male","7","","","","1"
"Yes","2007","indirect migration background","Female","21","","","","1"
"No","2008","no migration background","Male","6797","0.841709998855837","0.833693897769111","0.849726099942562","2"
"No","2008","no migration background","Female","7672","0.859821720780258","0.85252575215734","0.867117689403176","2"
"No","2008","direct migration background","Male","757","0.869113495793636","0.846880005782568","0.891346985804703","2"
"No","2008","direct migration background","Female","934","0.909622630892468","0.892078377693718","0.927166884091217","2"
"No","2008","indirect migration background","Male","359","0.963663382323851","0.944622105613392","0.982704659034309","2"
"No","2008","indirect migration background","Female","380","0.949395727478206","0.927861773308988","0.970929681647424","2"
"Yes","2008","no migration background","Male","1168","0.158290001144164","0.150273900057438","0.166306102230889","1"
"Yes","2008","no migration background","Female","1026","0.140178279219742","0.132882310596824","0.14747424784266","1"
"Yes","2008","direct migration background","Male","127","0.130886504206364","0.108653014195297","0.153119994217432","1"
"Yes","2008","direct migration background","Female","92","0.0903773691075323","0.0728331159087826","0.107921622306282","1"
"Yes","2008","indirect migration background","Male","12","","","","1"
"Yes","2008","indirect migration background","Female","18","","","","1"
"No","2009","no migration background","Male","6359","0.839532344619243","0.831224509993669","0.847840179244816","2"
"No","2009","no migration background","Female","7185","0.861579380197419","0.854088296730429","0.869070463664409","2"
"No","2009","direct migration background","Male","650","0.870513574653171","0.846659879901959","0.894367269404384","2"
"No","2009","direct migration background","Female","814","0.897439637294435","0.877651878243322","0.917227396345549","2"
"No","2009","indirect migration background","Male","334","0.966281923239631","0.94723512995082","0.985328716528443","2"
"No","2009","indirect migration background","Female","352","0.956457173043893","0.935663160384043","0.977251185703742","2"
"Yes","2009","no migration background","Male","1139","0.160467655380757","0.152159820755184","0.168775490006331","1"
"Yes","2009","no migration background","Female","979","0.138420619802581","0.130929536335591","0.145911703269571","1"
"Yes","2009","direct migration background","Male","111","0.129486425346829","0.105632730595616","0.153340120098041","1"
"Yes","2009","direct migration background","Female","89","0.102560362705565","0.0827726036544512","0.122348121756678","1"
"Yes","2009","indirect migration background","Male","11","","","","1"
"Yes","2009","indirect migration background","Female","18","","","","1"
"No","2010","no migration background","Male","7928","0.840810615250763","0.833295870026569","0.848325360474958","2"
"No","2010","no migration background","Female","9801","0.861320687025507","0.854815772169607","0.867825601881408","2"
"No","2010","direct migration background","Male","1181","0.880251819029394","0.862596261204479","0.897907376854308","2"
"No","2010","direct migration background","Female","1508","0.903482967390416","0.889036138199459","0.917929796581373","2"
"No","2010","indirect migration background","Male","493","0.946685955995988","0.927264118689217","0.966107793302759","2"
"No","2010","indirect migration background","Female","614","0.940326203123043","0.92191633666616","0.958736069579926","2"
"Yes","2010","no migration background","Male","1177","0.159189384749237","0.151674639525042","0.166704129973431","1"
"Yes","2010","no migration background","Female","1043","0.138679312974493","0.132174398118592","0.145184227830393","1"
"Yes","2010","direct migration background","Male","118","0.119748180970606","0.102092623145691","0.137403738795521","1"
"Yes","2010","direct migration background","Female","97","0.0965170326095842","0.0820702034186271","0.110963861800541","1"
"Yes","2010","indirect migration background","Male","21","","","","1"
"Yes","2010","indirect migration background","Female","22","","","","1"
"No","2011","no migration background","Male","9375","0.845400142578777","0.838589786157275","0.85221049900028","2"
"No","2011","indirect migration background","Male","556","0.946593791943181","0.928311201840976","0.964876382045386","2"
"No","2011","no migration background","Female","11618","0.857561768346366","0.851549245535751","0.86357429115698","2"
"No","2011","direct migration background","Male","1294","0.898844050950658","0.883204586544877","0.914483515356439","2"
"No","2011","direct migration background","Female","1694","0.914534833266455","0.901665860347511","0.927403806185399","2"
"No","2011","indirect migration background","Female","689","0.934145395916558","0.916066194100745","0.95222459773237","2"
"Yes","2011","no migration background","Male","1450","0.154599857421223","0.14778950099972","0.161410213842725","1"
"Yes","2011","no migration background","Female","1362","0.142438231653634","0.13642570884302","0.148450754464249","1"
"Yes","2011","direct migration background","Male","134","0.101155949049343","0.0855164846435615","0.116795413455124","1"
"Yes","2011","direct migration background","Female","119","0.0854651667335452","0.0725961938146014","0.098334139652489","1"
"Yes","2011","indirect migration background","Male","25","","","","1"
"Yes","2011","indirect migration background","Female","34","0.0658546040834425","0.0477754022676303","0.0839338058992546","1"
"No","2012","no migration background","Male","9089","0.834259065862459","0.827189582500792","0.841328549224126","2"
"No","2012","indirect migration background","Male","540","0.920352639397431","0.898164907886485","0.942540370908377","2"
"No","2012","no migration background","Female","11263","0.856666828047725","0.850570343180623","0.862763312914827","2"
"No","2012","direct migration background","Male","1223","0.893645178950465","0.877242328845672","0.910048029055259","2"
"No","2012","direct migration background","Female","1568","0.908715914175095","0.894976333701701","0.92245549464849","2"
"No","2012","indirect migration background","Female","672","0.943258340437588","0.926168889668875","0.960347791206302","2"
"Yes","2012","no migration background","Male","1539","0.165740934137541","0.158671450775874","0.172810417499208","1"
"Yes","2012","no migration background","Female","1428","0.143333171952275","0.137236687085173","0.149429656819377","1"
