"ple0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","1988","16-34 y.","East Germany","","","","","1"
"Yes","1988","35-65 y.","West Germany","653","0.152790368309082","0.142905399649241","0.162675336968922","1"
"Yes","1988","35-65 y.","East Germany","","","","","1"
"Yes","1988","66 and older","West Germany","296","0.276992545685602","0.249794553185823","0.30419053818538","1"
"Yes","1988","66 and older","East Germany","","","","","1"
"No","1989","16-34 y.","West Germany","3673","0.974215533602755","0.969152277640863","0.979278789564648","2"
"No","1989","16-34 y.","East Germany","","","","","2"
"No","1989","35-65 y.","West Germany","4254","0.846232581449549","0.836114882292042","0.856350280607056","2"
"No","1989","35-65 y.","East Germany","","","","","2"
"No","1989","66 and older","West Germany","701","0.697053646139942","0.668755412047307","0.725351880232577","2"
"No","1989","66 and older","East Germany","","","","","2"
"Yes","1989","16-34 y.","West Germany","91","0.0257844663972447","0.0207212104353524","0.030847722359137","1"
"Yes","1989","16-34 y.","East Germany","","","","","1"
"Yes","1989","35-65 y.","West Germany","629","0.153767418550451","0.143649719392944","0.163885117707958","1"
"Yes","1989","35-65 y.","East Germany","","","","","1"
"Yes","1989","66 and older","West Germany","312","0.302946353860058","0.274648119767423","0.331244587952693","1"
"Yes","1989","66 and older","East Germany","","","","","1"
"No","1990","16-34 y.","West Germany","","","","","2"
"No","1990","16-34 y.","East Germany","","","","","2"
"No","1990","35-65 y.","West Germany","","","","","2"
"No","1990","35-65 y.","East Germany","","","","","2"
"No","1990","66 and older","West Germany","","","","","2"
"No","1990","66 and older","East Germany","","","","","2"
"Yes","1990","16-34 y.","West Germany","","","","","1"
"Yes","1990","16-34 y.","East Germany","","","","","1"
"Yes","1990","35-65 y.","West Germany","","","","","1"
"Yes","1990","35-65 y.","East Germany","","","","","1"
"Yes","1990","66 and older","West Germany","","","","","1"
"Yes","1990","66 and older","East Germany","","","","","1"
"No","1991","16-34 y.","West Germany","3515","0.971639877445161","0.966227840734588","0.977051914155734","2"
"No","1991","16-34 y.","East Germany","","","","","2"
"No","1991","35-65 y.","West Germany","4128","0.850317275309479","0.840162052542604","0.860472498076353","2"
"No","1991","35-65 y.","East Germany","","","","","2"
"No","1991","66 and older","West Germany","720","0.681313118012181","0.653222191320076","0.709404044704286","2"
"No","1991","66 and older","East Germany","","","","","2"
"Yes","1991","16-34 y.","West Germany","99","0.0283601225548387","0.0229480858442659","0.0337721592654115","1"
"Yes","1991","35-65 y.","West Germany","613","0.149682724690521","0.139527501923647","0.159837947457396","1"
"Yes","1991","35-65 y.","East Germany","","","","","1"
"Yes","1991","66 and older","West Germany","337","0.318686881987819","0.290595955295714","0.346777808679924","1"
"Yes","1991","16-34 y.","East Germany","","","","","1"
"Yes","1991","66 and older","East Germany","","","","","1"
"No","1992","16-34 y.","West Germany","3483","0.974658612257158","0.969506900839232","0.979810323675083","2"
"No","1992","16-34 y.","East Germany","1369","0.985320596799214","0.97899361859587","0.991647575002558","2"
"No","1992","35-65 y.","West Germany","4011","0.847095718148161","0.836745933847574","0.857445502448748","2"
"No","1992","35-65 y.","East Germany","1962","0.894062322118695","0.881098643325963","0.907026000911426","2"
"No","1992","66 and older","West Germany","705","0.662822492091059","0.634309417593955","0.691335566588163","2"
"No","1992","66 and older","East Germany","301","0.805403755812246","0.76559942335698","0.845208088267512","2"
"Yes","1992","16-34 y.","West Germany","92","0.0253413877428424","0.0201896763249173","0.0304930991607676","1"
"Yes","1992","35-65 y.","West Germany","634","0.152904281851839","0.142554497551252","0.163254066152426","1"
"Yes","1992","35-65 y.","East Germany","203","0.105937677881305","0.0929739990885739","0.118901356674037","1"
"Yes","1992","66 and older","West Germany","351","0.337177507908941","0.308664433411837","0.365690582406044","1"
"Yes","1992","16-34 y.","East Germany","19","","","","1"
"Yes","1992","66 and older","East Germany","79","0.194596244187754","0.154791911732488","0.23440057664302","1"
"No","1993","16-34 y.","West Germany","","","","","2"
"No","1993","16-34 y.","East Germany","","","","","2"
"No","1993","35-65 y.","West Germany","","","","","2"
"No","1993","35-65 y.","East Germany","","","","","2"
"No","1993","66 and older","West Germany","","","","","2"
"No","1993","66 and older","East Germany","","","","","2"
"Yes","1993","16-34 y.","West Germany","","","","","1"
"Yes","1993","16-34 y.","East Germany","","","","","1"
"Yes","1993","35-65 y.","West Germany","","","","","1"
"Yes","1993","35-65 y.","East Germany","","","","","1"
"Yes","1993","66 and older","West Germany","","","","","1"
"Yes","1993","66 and older","East Germany","","","","","1"
"No","1994","16-34 y.","West Germany","3440","0.975636826093418","0.970549438485602","0.980724213701234","2"
"No","1994","16-34 y.","East Germany","1258","0.99206576015615","0.987186329805375","0.996945190506926","2"
"No","1994","35-65 y.","West Germany","3844","0.855557371281392","0.845212512110965","0.865902230451818","2"
"No","1994","35-65 y.","East Germany","1904","0.898282933407894","0.88530196945636","0.911263897359428","2"
"No","1994","66 and older","West Germany","736","0.668404285437652","0.640365581806327","0.696442989068978","2"
"No","1994","66 and older","East Germany","321","0.818808025307665","0.780966635420457","0.856649415194872","2"
"Yes","1994","16-34 y.","West Germany","88","0.0243631739065816","0.0192757862987655","0.0294505615143976","1"
"Yes","1994","16-34 y.","East Germany","12","","","","1"
"Yes","1994","35-65 y.","West Germany","592","0.144442628718609","0.134097769548182","0.154787487889035","1"
"Yes","1994","35-65 y.","East Germany","179","0.101717066592106","0.0887361026405717","0.11469803054364","1"
"Yes","1994","66 and older","West Germany","347","0.331595714562348","0.303557010931022","0.359634418193673","1"
"Yes","1994","66 and older","East Germany","77","0.181191974692335","0.143350584805128","0.219033364579543","1"
"No","1995","16-34 y.","West Germany","3616","0.977936292568861","0.973206430112226","0.982666155025496","2"
"No","1995","16-34 y.","East Germany","1202","0.983477735648054","0.976330640931181","0.990624830364927","2"
"No","1995","35-65 y.","West Germany","4107","0.855092916943592","0.845064524973962","0.865121308913223","2"
"No","1995","35-65 y.","East Germany","1857","0.893073087543623","0.879650191750051","0.906495983337194","2"
"No","1995","66 and older","West Germany","744","0.641425525853804","0.613263214205372","0.669587837502237","2"
"No","1995","66 and older","East Germany","321","0.817348497092969","0.779625097223107","0.85507189696283","2"
"Yes","1995","16-34 y.","West Germany","89","0.0220637074311389","0.0173338449745037","0.0267935698877741","1"
"Yes","1995","16-34 y.","East Germany","20","","","","1"
"Yes","1995","35-65 y.","West Germany","626","0.144907083056408","0.134878691086777","0.154935475026038","1"
"Yes","1995","35-65 y.","East Germany","179","0.106926912456377","0.0935040166628059","0.120349808249949","1"
"Yes","1995","66 and older","West Germany","370","0.358574474146196","0.330412162497763","0.386736785794628","1"
"Yes","1995","66 and older","East Germany","82","0.182651502907032","0.14492810303717","0.220374902776894","1"
"No","1996","16-34 y.","West Germany","3498","0.976963895994584","0.972054521350077","0.98187327063909","2"
"No","1996","16-34 y.","East Germany","1164","0.980851937082766","0.973055666897115","0.988648207268416","2"
"No","1996","35-65 y.","West Germany","4062","0.851034037147212","0.840837407703347","0.861230666591078","2"
"No","1996","35-65 y.","East Germany","1868","0.89333717806059","0.879997505047765","0.906676851073415","2"
"No","1996","66 and older","West Germany","783","0.666413553762124","0.639198478077963","0.693628629446285","2"
"No","1996","66 and older","East Germany","328","0.786104203332207","0.74669999468237","0.825508411982044","2"
"Yes","1996","16-34 y.","West Germany","89","0.0230361040054162","0.0181267293609096","0.0279454786499228","1"
"Yes","1996","16-34 y.","East Germany","23","","","","1"
"Yes","1996","35-65 y.","West Germany","622","0.148965962852788","0.138769333408922","0.159162592296653","1"
"Yes","1996","35-65 y.","East Germany","189","0.10666282193941","0.0933231489265852","0.120002494952235","1"
"Yes","1996","66 and older","West Germany","370","0.333586446237876","0.306371370553715","0.360801521922037","1"
"Yes","1996","66 and older","East Germany","88","0.213895796667793","0.174491588017956","0.25330000531763","1"
"No","1997","16-34 y.","West Germany","3371","0.975609150736928","0.970467684476078","0.980750616997778","2"
"No","1997","16-34 y.","East Germany","1139","0.982363967725248","0.97479595799572","0.989931977454775","2"
"No","1997","35-65 y.","West Germany","3979","0.84825421725768","0.837881813595169","0.85862662092019","2"
"No","1997","35-65 y.","East Germany","1836","0.885557836370538","0.871726396933506","0.899389275807569","2"
"No","1997","66 and older","West Germany","792","0.672508206364881","0.645360937010232","0.699655475719531","2"
"No","1997","66 and older","East Germany","352","0.816494834701907","0.780035813069529","0.852953856334285","2"
"Yes","1997","16-34 y.","West Germany","87","0.0243908492630723","0.0192493830022221","0.0295323155239225","1"
"Yes","1997","16-34 y.","East Germany","23","","","","1"
"Yes","1997","35-65 y.","West Germany","617","0.15174578274232","0.14137337907981","0.162118186404831","1"
"Yes","1997","35-65 y.","East Germany","199","0.114442163629462","0.100610724192431","0.128273603066494","1"
"Yes","1997","66 and older","West Germany","356","0.327491793635119","0.300344524280469","0.354639062989768","1"
"Yes","1997","66 and older","East Germany","81","0.183505165298093","0.147046143665716","0.219964186930471","1"
"No","1998","16-34 y.","West Germany","3572","0.975468738983261","0.970455109615645","0.980482368350877","2"
"No","1998","16-34 y.","East Germany","1179","0.980456355298606","0.97264059053092","0.988272120066291","2"
"No","1998","35-65 y.","West Germany","4612","0.860970062945769","0.851667866550981","0.870272259340556","2"
"No","1998","35-65 y.","East Germany","1950","0.884487366923603","0.871048000757451","0.897926733089755","2"
"No","1998","66 and older","West Germany","933","0.651277584374926","0.626124632748195","0.676430536001658","2"
"No","1998","66 and older","East Germany","392","0.829794922636168","0.796033848400607","0.863555996871729","2"
"Yes","1998","16-34 y.","West Germany","85","0.024531261016739","0.0195176316491231","0.0295448903843548","1"
"Yes","1998","35-65 y.","West Germany","702","0.139029937054231","0.129727740659444","0.148332133449019","1"
"Yes","1998","16-34 y.","East Germany","26","","","","1"
"Yes","1998","35-65 y.","East Germany","223","0.115512633076397","0.102073266910245","0.128951999242549","1"
"Yes","1998","66 and older","West Germany","446","0.348722415625074","0.323569463998342","0.373875367251805","1"
"Yes","1998","66 and older","East Germany","84","0.170205077363832","0.136444003128271","0.203966151599393","1"
"No","1999","16-34 y.","West Germany","3360","0.977343490233729","0.972370827714605","0.982316152752853","2"
"No","1999","16-34 y.","East Germany","1144","0.975670555720217","0.966853638183176","0.984487473257257","2"
"No","1999","66 and older","West Germany","904","0.643133755416661","0.617415802085718","0.668851708747604","2"
"No","1999","35-65 y.","West Germany","4478","0.859518990924011","0.850036948926779","0.869001032921243","2"
"No","1999","35-65 y.","East Germany","1924","0.896492984316","0.883568619013568","0.909417349618432","2"
"No","1999","66 and older","East Germany","397","0.809760008818803","0.77507876932819","0.844441248309417","2"
"Yes","1999","16-34 y.","West Germany","80","0.0226565097662708","0.0176838472471471","0.0276291722853946","1"
"Yes","1999","35-65 y.","West Germany","681","0.140481009075989","0.130998967078757","0.149963051073221","1"
"Yes","1999","16-34 y.","East Germany","29","","","","1"
"Yes","1999","35-65 y.","East Germany","210","0.103507015684","0.0905826503815678","0.116431380986432","1"
"Yes","1999","66 and older","West Germany","429","0.356866244583339","0.331148291252396","0.382584197914282","1"
"Yes","1999","66 and older","East Germany","95","0.190239991181197","0.155558751690583","0.22492123067181","1"
"No","2000","16-34 y.","West Germany","5324","0.975982305864466","0.971916038793904","0.980048572935027","2"
"No","2000","16-34 y.","East Germany","1639","0.976283978673052","0.969001309916974","0.983566647429131","2"
"No","2000","66 and older","West Germany","1996","0.717010010338218","0.700106610902944","0.733913409773492","2"
"No","2000","35-65 y.","West Germany","8894","0.872071177046737","0.865571642840121","0.878570711253354","2"
"No","2000","35-65 y.","East Germany","2952","0.890400083803927","0.87974176201042","0.901058405597434","2"
"No","2000","66 and older","East Germany","726","0.818635897015306","0.793177690021921","0.844094104008691","2"
"Yes","2000","16-34 y.","West Germany","122","0.0240176941355343","0.0199514270649732","0.0280839612060955","1"
"Yes","2000","35-65 y.","West Germany","1251","0.127928822953263","0.121429288746646","0.134428357159879","1"
"Yes","2000","16-34 y.","East Germany","38","0.0237160213269478","0.0164333525708692","0.0309986900830264","1"
"Yes","2000","35-65 y.","East Germany","348","0.109599916196073","0.0989415944025658","0.12025823798958","1"
"Yes","2000","66 and older","West Germany","732","0.282989989661782","0.266086590226508","0.299893389097056","1"
"Yes","2000","66 and older","East Germany","154","0.181364102984694","0.155905895991309","0.206822309978079","1"
"No","2001","16-34 y.","West Germany","4643","0.977603992129388","0.973395180151112","0.981812804107663","2"
"No","2001","66 and older","West Germany","1885","0.721384810688072","0.704058803096602","0.738710818279542","2"
"No","2001","16-34 y.","East Germany","1512","0.982447903363472","0.975885103067124","0.98901070365982","2"
"No","2001","35-65 y.","West Germany","8088","0.869128778656222","0.862239452452062","0.876018104860382","2"
"No","2001","35-65 y.","East Germany","2723","0.880095577296232","0.868589480630047","0.891601673962417","2"
"No","2001","66 and older","East Germany","708","0.837736386931166","0.812847896019404","0.862624877842928","2"
"Yes","2001","16-34 y.","West Germany","105","0.0223960078706123","0.0181871958923369","0.0266048198488876","1"
"Yes","2001","35-65 y.","West Germany","1118","0.130871221343778","0.123981895139618","0.137760547547938","1"
"Yes","2001","35-65 y.","East Germany","339","0.119904422703768","0.108398326037583","0.131410519369953","1"
"Yes","2001","66 and older","West Germany","687","0.278615189311928","0.261289181720458","0.295941196903398","1"
"Yes","2001","16-34 y.","East Germany","26","","","","1"
