"ple0040","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"No","1986","general elemantary","Rural Area","49","0.975913439025774","0.933835345878008","1.01799153217354"
"No","1986","middle vocational","Urban Area","102","0.973132830934699","0.942204929119836","1.00406073274956"
"No","1986","middle vocational","Rural Area","13","","",""
"No","1986","vocational + Abi","Urban Area","9","","",""
"No","1986","vocational + Abi","Rural Area","1","","",""
"No","1986","higher vocational","Urban Area","4","","",""
"No","1986","higher vocational","Rural Area","4","","",""
"No","1986","higher education","Urban Area","15","","",""
"No","1986","higher education","Rural Area","1","","",""
"Yes","1987","in school","Urban Area","3","","",""
"Yes","1987","in school","Rural Area","1","","",""
"Yes","1987","inadequately","Urban Area","57","0.131727330845543","0.10582770725196","0.157626954439126"
"Yes","1987","inadequately","Rural Area","9","","",""
"Yes","1987","general elemantary","Urban Area","181","0.117748499981569","0.104218626404569","0.131278373558569"
"Yes","1987","general elemantary","Rural Area","58","0.100791296515711","0.0777184602781904","0.123864132753231"
"Yes","1987","middle vocational","Urban Area","415","0.132340221862473","0.12167924669956","0.143001197025387"
"Yes","1987","middle vocational","Rural Area","97","0.108330478138668","0.0897601641670579","0.126900792110277"
"Yes","1987","vocational + Abi","Urban Area","16","","",""
"Yes","1987","vocational + Abi","Rural Area","4","","",""
"Yes","1987","higher vocational","Urban Area","69","0.170504360124007","0.135834373667633","0.205174346580382"
"Yes","1987","higher vocational","Rural Area","11","","",""
"Yes","1987","higher education","Urban Area","49","0.0882325428267607","0.0659783299720181","0.110486755681503"
"Yes","1987","higher education","Rural Area","11","","",""
"No","1987","in school","Urban Area","160","0.985325870172214","0.966866349908463","1.00378539043596"
"No","1987","in school","Rural Area","25","","",""
"No","1987","inadequately","Urban Area","598","0.868272669154457","0.842373045560874","0.89417229274804"
"No","1987","inadequately","Rural Area","91","0.790732912533204","0.711004436318669","0.870461388747738"
"No","1987","general elemantary","Urban Area","1999","0.882251500018431","0.86872162644143","0.895781373595431"
"No","1987","general elemantary","Rural Area","596","0.899208703484289","0.876135867246769","0.92228153972181"
"No","1987","middle vocational","Urban Area","3466","0.867659778137527","0.856998802974613","0.87832075330044"
"No","1987","middle vocational","Rural Area","979","0.891669521861332","0.873099207889723","0.910239835832942"
"No","1987","vocational + Abi","Urban Area","219","0.921417800098598","0.887014147776175","0.955821452421021"
"No","1987","vocational + Abi","Rural Area","38","0.899746965705223","0.808916319449631","0.990577611960815"
"No","1987","higher vocational","Urban Area","383","0.829495639875993","0.794825653419618","0.864165626332367"
"No","1987","higher vocational","Rural Area","104","0.88967519595116","0.832415176060493","0.946935215841828"
"No","1987","higher education","Urban Area","575","0.911767457173239","0.889513244318497","0.934021670027982"
"No","1987","higher education","Rural Area","108","0.881867795538594","0.823876807786932","0.939858783290256"
"Yes","1988","in school","Urban Area","","","",""
"Yes","1988","in school","Rural Area","1","","",""
"Yes","1988","inadequately","Urban Area","62","0.138140546247505","0.110623080719369","0.165658011775641"
"Yes","1988","inadequately","Rural Area","8","","",""
"Yes","1988","general elemantary","Urban Area","202","0.138891893659717","0.124201699066735","0.153582088252698"
"Yes","1988","general elemantary","Rural Area","61","0.119218589959439","0.0932249567855788","0.1452122231333"
"Yes","1988","middle vocational","Urban Area","453","0.14967155971716","0.138199756818637","0.161143362615683"
"Yes","1988","middle vocational","Rural Area","97","0.110145178786145","0.0909040768884296","0.12938628068386"
"Yes","1988","vocational + Abi","Urban Area","22","","",""
"Yes","1988","vocational + Abi","Rural Area","6","","",""
"Yes","1988","higher vocational","Urban Area","65","0.169831809669236","0.134258950796672","0.2054046685418"
"Yes","1988","higher vocational","Rural Area","8","","",""
"Yes","1988","higher education","Urban Area","47","0.0936694516472899","0.0700988136196533","0.117240089674926"
"Yes","1988","higher education","Rural Area","8","","",""
"No","1988","in school","Urban Area","135","1","1","1"
"No","1988","in school","Rural Area","27","","",""
"No","1988","inadequately","Urban Area","542","0.861859453752495","0.834341988224359","0.889376919280631"
"No","1988","inadequately","Rural Area","87","0.7790660462841","0.695639424261605","0.862492668306596"
"No","1988","general elemantary","Urban Area","1927","0.861108106340283","0.846417911747302","0.875798300933264"
"No","1988","general elemantary","Rural Area","536","0.880781410040561","0.8547877768667","0.906775043214421"
"No","1988","middle vocational","Urban Area","3262","0.85032844028284","0.838856637384317","0.861800243181363"
"No","1988","middle vocational","Rural Area","920","0.889854821213855","0.87061371931614","0.90909592311157"
"No","1988","vocational + Abi","Urban Area","213","0.883438494057388","0.84241053682","0.924466451294776"
"No","1988","vocational + Abi","Rural Area","30","0.817610378207216","0.691465361167892","0.94375539524654"
"No","1988","higher vocational","Urban Area","363","0.830168190330764","0.7945953314582","0.865741049203328"
"No","1988","higher vocational","Rural Area","103","0.914996838765586","0.863115169950338","0.966878507580834"
"No","1988","higher education","Urban Area","540","0.90633054835271","0.882759910325074","0.929901186380347"
"No","1988","higher education","Rural Area","102","0.905142109561924","0.850384199462851","0.959900019660997"
"Yes","1989","in school","Urban Area","2","","",""
"Yes","1989","in school","Rural Area","1","","",""
"Yes","1989","inadequately","Urban Area","64","0.161220675267536","0.131058388597863","0.191382961937208"
"Yes","1989","inadequately","Rural Area","8","","",""
"Yes","1989","general elemantary","Urban Area","184","0.136693918921481","0.121731818179455","0.151656019663507"
"Yes","1989","general elemantary","Rural Area","68","0.149318973052106","0.119506171493281","0.179131774610931"
"Yes","1989","middle vocational","Urban Area","438","0.152257597150851","0.140576676637896","0.163938517663807"
"Yes","1989","middle vocational","Rural Area","105","0.130122651244398","0.109037140440469","0.151208162048327"
"Yes","1989","vocational + Abi","Urban Area","19","","",""
"Yes","1989","vocational + Abi","Rural Area","4","","",""
"Yes","1989","higher vocational","Urban Area","59","0.162014663469766","0.126217694313404","0.197811632626129"
"Yes","1989","higher vocational","Rural Area","9","","",""
"Yes","1989","higher education","Urban Area","52","0.102546935673971","0.078026586857239","0.127067284490703"
"Yes","1989","higher education","Rural Area","9","","",""
"No","1989","in school","Urban Area","146","0.983967457926727","0.963732197633777","1.00420271821968"
"No","1989","in school","Rural Area","26","","",""
"No","1989","inadequately","Urban Area","507","0.838779324732464","0.808617038062792","0.868941611402137"
"No","1989","inadequately","Rural Area","77","0.786575209125891","0.699472595323803","0.873677822927978"
"No","1989","general elemantary","Urban Area","1841","0.863306081078519","0.848343980336493","0.878268181820545"
"No","1989","general elemantary","Rural Area","481","0.850681026947894","0.820868225389069","0.880493828506719"
"No","1989","middle vocational","Urban Area","3196","0.847742402849149","0.836061482336193","0.859423323362104"
"No","1989","middle vocational","Rural Area","873","0.869877348755602","0.848791837951673","0.890962859559531"
"No","1989","vocational + Abi","Urban Area","234","0.913485436362891","0.878845007896577","0.948125864829205"
"No","1989","vocational + Abi","Rural Area","33","0.858455489474409","0.746136642755998","0.970774336192821"
"No","1989","higher vocational","Urban Area","348","0.837985336530234","0.802188367373871","0.873782305686596"
"No","1989","higher vocational","Rural Area","99","0.897180564730454","0.839899148243926","0.954461981216982"
"No","1989","higher education","Urban Area","536","0.897453064326029","0.872932715509297","0.921973413142761"
"No","1989","higher education","Rural Area","99","0.895936797733049","0.838349925176096","0.953523670290002"
"Yes","1990","in school","Urban Area","","","",""
"Yes","1990","in school","Rural Area","","","",""
"Yes","1990","inadequately","Urban Area","","","",""
"Yes","1990","inadequately","Rural Area","","","",""
"Yes","1990","general elemantary","Urban Area","","","",""
"Yes","1990","general elemantary","Rural Area","","","",""
"Yes","1990","middle vocational","Urban Area","","","",""
"Yes","1990","middle vocational","Rural Area","","","",""
"Yes","1990","vocational + Abi","Urban Area","","","",""
"Yes","1990","vocational + Abi","Rural Area","","","",""
"Yes","1990","higher vocational","Urban Area","","","",""
"Yes","1990","higher vocational","Rural Area","","","",""
"Yes","1990","higher education","Urban Area","","","",""
"Yes","1990","higher education","Rural Area","","","",""
"No","1990","in school","Urban Area","","","",""
"No","1990","in school","Rural Area","","","",""
"No","1990","inadequately","Urban Area","","","",""
"No","1990","inadequately","Rural Area","","","",""
"No","1990","general elemantary","Urban Area","","","",""
"No","1990","general elemantary","Rural Area","","","",""
"No","1990","middle vocational","Urban Area","","","",""
"No","1990","middle vocational","Rural Area","","","",""
"No","1990","vocational + Abi","Urban Area","","","",""
"No","1990","vocational + Abi","Rural Area","","","",""
"No","1990","higher vocational","Urban Area","","","",""
"No","1990","higher vocational","Rural Area","","","",""
"No","1990","higher education","Urban Area","","","",""
"No","1990","higher education","Rural Area","","","",""
"Yes","1991","in school","Urban Area","2","","",""
"Yes","1991","in school","Rural Area","2","","",""
"Yes","1991","inadequately","Urban Area","66","0.162625925177766","0.131443377230026","0.193808473125506"
"Yes","1991","inadequately","Rural Area","9","","",""
"Yes","1991","general elemantary","Urban Area","187","0.144122345250601","0.128246360587654","0.159998329913548"
"Yes","1991","general elemantary","Rural Area","63","0.146842466890849","0.116420529372091","0.177264404409606"
"Yes","1991","middle vocational","Urban Area","448","0.159865069417347","0.147761743545777","0.171968395288918"
"Yes","1991","middle vocational","Rural Area","109","0.132844574899185","0.111891961037033","0.153797188761338"
"Yes","1991","vocational + Abi","Urban Area","26","","",""
"Yes","1991","vocational + Abi","Rural Area","5","","",""
"Yes","1991","higher vocational","Urban Area","53","0.148150140511314","0.11337983820513","0.182920442817499"
"Yes","1991","higher vocational","Rural Area","10","","",""
"Yes","1991","higher education","Urban Area","52","0.0983857167696689","0.0746530346512933","0.122118398888044"
"Yes","1991","higher education","Rural Area","8","","",""
"No","1991","in school","Urban Area","118","0.974731651778789","0.946652212631769","1.00281109092581"
"No","1991","in school","Rural Area","28","","",""
"No","1991","inadequately","Urban Area","472","0.837374074822234","0.806191526874494","0.868556622769973"
"No","1991","inadequately","Rural Area","77","0.787856748445481","0.701452100381369","0.874261396509592"
"No","1991","general elemantary","Urban Area","1693","0.855877654749399","0.840001670086452","0.871753639412346"
"No","1991","general elemantary","Rural Area","457","0.853157533109151","0.822735595590394","0.883579470627909"
"No","1991","middle vocational","Urban Area","3074","0.840134930582653","0.828031604711082","0.852238256454223"
"No","1991","middle vocational","Rural Area","899","0.867155425100815","0.846202811238662","0.888108038962967"
"No","1991","vocational + Abi","Urban Area","241","0.892719942737703","0.855599805172332","0.929840080303075"
"No","1991","vocational + Abi","Rural Area","35","0.860963564700206","0.753743813765697","0.968183315634715"
"No","1991","higher vocational","Urban Area","348","0.851849859488686","0.817079557182501","0.88662016179487"
"No","1991","higher vocational","Rural Area","108","0.890715510115275","0.834422320155429","0.947008700075122"
"No","1991","higher education","Urban Area","553","0.901614283230331","0.877881601111956","0.925346965348707"
"No","1991","higher education","Rural Area","105","0.918997061505266","0.868691463323352","0.96930265968718"
"Yes","1992","in school","Urban Area","1","","",""
"Yes","1992","in school","Rural Area","","","",""
"Yes","1992","inadequately","Urban Area","74","0.194709947632636","0.160838116424872","0.228581778840399"
"Yes","1992","inadequately","Rural Area","13","","",""
"Yes","1992","general elemantary","Urban Area","202","0.144531589767289","0.128912759922333","0.160150419612244"
"Yes","1992","general elemantary","Rural Area","99","0.155258822789164","0.130272560167101","0.180245085411226"
"Yes","1992","middle vocational","Urban Area","517","0.160682457600409","0.149562875584531","0.171802039616288"
"Yes","1992","middle vocational","Rural Area","218","0.110555668208823","0.0979890796483297","0.123122256769315"
"Yes","1992","vocational + Abi","Urban Area","23","","",""
"Yes","1992","vocational + Abi","Rural Area","4","","",""
"Yes","1992","higher vocational","Urban Area","57","0.13464209660351","0.103977805455403","0.165306387751616"
"Yes","1992","higher vocational","Rural Area","24","","",""
"Yes","1992","higher education","Urban Area","80","0.099407856693105","0.0808444682525523","0.117971245133658"
"Yes","1992","higher education","Rural Area","46","0.08038763299529","0.058951281207449","0.101823984783131"
"No","1992","in school","Urban Area","129","0.995698169690733","0.984447797070202","1.00694854231126"
"No","1992","in school","Rural Area","57","1","1","1"
"No","1992","inadequately","Urban Area","451","0.805290052367364","0.771418221159601","0.839161883575128"
"No","1992","inadequately","Rural Area","88","0.779036646126557","0.698122123831988","0.859951168421126"
"No","1992","general elemantary","Urban Area","1745","0.855468410232711","0.839849580387756","0.871087240077667"
"No","1992","general elemantary","Rural Area","708","0.844741177210836","0.819754914588774","0.869727439832898"
"No","1992","middle vocational","Urban Area","3673","0.839317542399591","0.828197960383712","0.850437124415469"
"No","1992","middle vocational","Rural Area","2174","0.889444331791177","0.876877743230685","0.90201092035167"
"No","1992","vocational + Abi","Urban Area","277","0.907555177162703","0.874778473081218","0.940331881244189"
"No","1992","vocational + Abi","Rural Area","79","0.902006604910938","0.838046037779832","0.965967172042044"
"No","1992","higher vocational","Urban Area","419","0.865357903396491","0.834693612248384","0.896022194544597"
"No","1992","higher vocational","Rural Area","256","0.869645180928486","0.830208199285775","0.909082162571196"
"No","1992","higher education","Urban Area","918","0.900592143306895","0.882028754866342","0.919155531747448"
"No","1992","higher education","Rural Area","572","0.91961236700471","0.898176015216869","0.941048718792551"
"Yes","1993","in school","Urban Area","","","",""
"Yes","1993","in school","Rural Area","","","",""
"Yes","1993","inadequately","Urban Area","","","",""
"Yes","1993","inadequately","Rural Area","","","",""
"Yes","1993","general elemantary","Urban Area","","","",""
"Yes","1993","general elemantary","Rural Area","","","",""
"Yes","1993","middle vocational","Urban Area","","","",""
"Yes","1993","middle vocational","Rural Area","","","",""
"Yes","1993","vocational + Abi","Urban Area","","","",""
"Yes","1993","vocational + Abi","Rural Area","","","",""
"Yes","1993","higher vocational","Urban Area","","","",""
"Yes","1993","higher vocational","Rural Area","","","",""
"Yes","1993","higher education","Urban Area","","","",""
"Yes","1993","higher education","Rural Area","","","",""
"No","1993","in school","Urban Area","","","",""
"No","1993","in school","Rural Area","","","",""
"No","1993","inadequately","Urban Area","","","",""
"No","1993","inadequately","Rural Area","","","",""
"No","1993","general elemantary","Urban Area","","","",""
"No","1993","general elemantary","Rural Area","","","",""
"No","1993","middle vocational","Urban Area","","","",""
"No","1993","middle vocational","Rural Area","","","",""
"No","1993","vocational + Abi","Urban Area","","","",""
"No","1993","vocational + Abi","Rural Area","","","",""
"No","1993","higher vocational","Urban Area","","","",""
"No","1993","higher vocational","Rural Area","","","",""
"No","1993","higher education","Urban Area","","","",""
"No","1993","higher education","Rural Area","","","",""
"Yes","1994","in school","Urban Area","","","",""
"Yes","1994","in school","Rural Area","","","",""
"Yes","1994","inadequately","Urban Area","57","0.145980012257981","0.113748673567039","0.178211350948923"
"Yes","1994","inadequately","Rural Area","10","","",""
"Yes","1994","general elemantary","Urban Area","206","0.161414089266834","0.144142038802205","0.178686139731464"
"Yes","1994","general elemantary","Rural Area","82","0.13324469363841","0.108825302057399","0.157664085219422"
"Yes","1994","middle vocational","Urban Area","495","0.152572383495001","0.141665287812047","0.163479479177954"
"Yes","1994","middle vocational","Rural Area","201","0.102377677888732","0.0901055818088607","0.114649773968603"
"Yes","1994","vocational + Abi","Urban Area","18","","",""
"Yes","1994","vocational + Abi","Rural Area","7","","",""
"Yes","1994","higher vocational","Urban Area","63","0.162002003958123","0.128691527439319","0.195312480476927"
"Yes","1994","higher vocational","Rural Area","21","","",""
"Yes","1994","higher education","Urban Area","72","0.0857176169013635","0.0687443607346401","0.102690873068087"
"Yes","1994","higher education","Rural Area","50","0.107766022957519","0.0829545371387635","0.132577508776274"
"No","1994","in school","Urban Area","168","1","1","1"
"No","1994","in school","Rural Area","69","1","1","1"
"No","1994","inadequately","Urban Area","404","0.854019987742019","0.821788649051077","0.886251326432961"
"No","1994","inadequately","Rural Area","80","0.794453184700054","0.710966662962215","0.877939706437893"
"No","1994","general elemantary","Urban Area","1537","0.838585910733166","0.821313860268536","0.855857961197795"
"No","1994","general elemantary","Rural Area","662","0.86675530636159","0.842335914780578","0.891174697942601"
"No","1994","middle vocational","Urban Area","3680","0.847427616504999","0.836520520822046","0.858334712187953"
"No","1994","middle vocational","Rural Area","2143","0.897622322111268","0.885350226031397","0.909894418191139"
"No","1994","vocational + Abi","Urban Area","272","0.927156075772292","0.897245678364905","0.957066473179678"
"No","1994","vocational + Abi","Rural Area","95","0.880743923578554","0.817849362406399","0.943638484750708"
"No","1994","higher vocational","Urban Area","407","0.837997996041877","0.804687519523073","0.871308472560681"
"No","1994","higher vocational","Rural Area","256","0.866125326668753","0.826025011348455","0.906225641989052"
"No","1994","higher education","Urban Area","973","0.914282383098637","0.897309126931913","0.93125563926536"
"No","1994","higher education","Rural Area","550","0.892233977042481","0.867422491223726","0.917045462861237"
"Yes","1995","in school","Urban Area","2","","",""
"Yes","1995","in school","Rural Area","1","","",""
"Yes","1995","inadequately","Urban Area","65","0.163835483633862","0.129523630042325","0.198147337225399"
"Yes","1995","inadequately","Rural Area","7","","",""
"Yes","1995","general elemantary","Urban Area","199","0.161587308732612","0.144232942121664","0.17894167534356"
"Yes","1995","general elemantary","Rural Area","79","0.14146748829685","0.116542508383973","0.166392468209727"
"Yes","1995","middle vocational","Urban Area","536","0.163652379521287","0.152544097457453","0.174760661585122"
"Yes","1995","middle vocational","Rural Area","212","0.113756649987546","0.101087883774868","0.126425416200223"
"Yes","1995","vocational + Abi","Urban Area","19","","",""
"Yes","1995","vocational + Abi","Rural Area","6","","",""
"Yes","1995","higher vocational","Urban Area","64","0.161588482386923","0.128312339459495","0.194864625314351"
"Yes","1995","higher vocational","Rural Area","29","","",""
"Yes","1995","higher education","Urban Area","80","0.0931351303858734","0.0760690593797708","0.110201201391976"
"Yes","1995","higher education","Rural Area","52","0.113249909728958","0.0885825302483532","0.137917289209563"
"No","1995","in school","Urban Area","194","0.981387247743269","0.962466183559577","1.00030831192696"
"No","1995","in school","Rural Area","87","0.974842457756867","0.942122850789511","1.00756206472422"
"No","1995","inadequately","Urban Area","382","0.836164516366138","0.801852662774601","0.870476369957675"
"No","1995","inadequately","Rural Area","78","0.816250737039909","0.733919768541182","0.898581705538636"
"No","1995","general elemantary","Urban Area","1529","0.838412691267388","0.82105832465644","0.855767057878337"
"No","1995","general elemantary","Rural Area","672","0.85853251170315","0.833607531790273","0.883457491616028"
"No","1995","middle vocational","Urban Area","3725","0.836347620478713","0.825239338414879","0.847455902542547"
"No","1995","middle vocational","Rural Area","2201","0.886243350012454","0.873574583799777","0.898912116225132"
"No","1995","vocational + Abi","Urban Area","344","0.951128828004562","0.928949885858163","0.97330777015096"
"No","1995","vocational + Abi","Rural Area","108","0.887875880365611","0.829956845342648","0.945794915388573"
"No","1995","higher vocational","Urban Area","406","0.838411517613077","0.805135374685649","0.871687660540505"
"No","1995","higher vocational","Rural Area","259","0.851161260617177","0.810054262491103","0.892268258743251"
"No","1995","higher education","Urban Area","1034","0.906864869614127","0.889798798608024","0.923930940620229"
"No","1995","higher education","Rural Area","582","0.886750090271042","0.862082710790437","0.911417469751647"
"Yes","1996","in school","Urban Area","","","",""
"Yes","1996","in school","Rural Area","","","",""
"Yes","1996","inadequately","Urban Area","59","0.156327273059683","0.121131474923549","0.191523071195818"
"Yes","1996","inadequately","Rural Area","11","","",""
"Yes","1996","general elemantary","Urban Area","202","0.165389935250363","0.147554790496168","0.183225080004558"
"Yes","1996","general elemantary","Rural Area","92","0.158791851067667","0.132351580056932","0.185232122078402"
"Yes","1996","middle vocational","Urban Area","527","0.163616434857161","0.15244338650638","0.174789483207941"
"Yes","1996","middle vocational","Rural Area","230","0.118041515020732","0.105154233712806","0.130928796328657"
"Yes","1996","vocational + Abi","Urban Area","21","","",""
"Yes","1996","vocational + Abi","Rural Area","6","","",""
"Yes","1996","higher vocational","Urban Area","60","0.149075381202911","0.117312270055509","0.180838492350312"
"Yes","1996","higher vocational","Rural Area","31","0.198908197882038","0.152645329158504","0.245171066605572"
"Yes","1996","higher education","Urban Area","79","0.0876390317561572","0.0711884108530206","0.104089652659294"
"Yes","1996","higher education","Rural Area","50","0.11083320771779","0.0863779184209361","0.135288497014643"
"No","1996","in school","Urban Area","203","1","1","1"
"No","1996","in school","Rural Area","91","1","1","1"
"No","1996","inadequately","Urban Area","350","0.843672726940317","0.808476928804182","0.878868525076451"
"No","1996","inadequately","Rural Area","76","0.721418739500068","0.627217173197925","0.815620305802211"
"No","1996","general elemantary","Urban Area","1465","0.834610064749637","0.816774919995442","0.852445209503832"
"No","1996","general elemantary","Rural Area","642","0.841208148932333","0.814767877921598","0.867648419943068"
"No","1996","middle vocational","Urban Area","3684","0.836383565142839","0.825210516792059","0.84755661349362"
"No","1996","middle vocational","Rural Area","2178","0.881958484979268","0.869071203671343","0.894845766287194"
"No","1996","vocational + Abi","Urban Area","340","0.944863182995174","0.921318123128464","0.968408242861884"
"No","1996","vocational + Abi","Rural Area","109","0.886889583763686","0.829002023215311","0.944777144312061"
"No","1996","higher vocational","Urban Area","423","0.850924618797089","0.819161507649688","0.882687729944491"
"No","1996","higher vocational","Rural Area","255","0.801091802117962","0.754828933394428","0.847354670841496"
"No","1996","higher education","Urban Area","1056","0.912360968243843","0.895910347340706","0.928811589146979"
"No","1996","higher education","Rural Area","583","0.88916679228221","0.864711502985357","0.913622081579064"
"Yes","1997","in school","Urban Area","2","","",""
"Yes","1997","in school","Rural Area","1","","",""
"Yes","1997","inadequately","Urban Area","58","0.15459978628822","0.118581070056357","0.190618502520082"
"Yes","1997","inadequately","Rural Area","12","","",""
"Yes","1997","general elemantary","Urban Area","195","0.16435656683254","0.146370958019069","0.182342175646011"
"Yes","1997","general elemantary","Rural Area","90","0.155258858160261","0.128334478504924","0.182183237815598"
"Yes","1997","middle vocational","Urban Area","517","0.163555149389202","0.152251478529793","0.17485882024861"
"Yes","1997","middle vocational","Rural Area","239","0.134067795375288","0.120324076055146","0.147811514695429"
"Yes","1997","vocational + Abi","Urban Area","20","","",""
"Yes","1997","vocational + Abi","Rural Area","8","","",""
"Yes","1997","higher vocational","Urban Area","63","0.154158122768082","0.121887796902329","0.186428448633834"
"Yes","1997","higher vocational","Rural Area","24","","",""
"Yes","1997","higher education","Urban Area","76","0.0867219504148529","0.0702767997008959","0.10316710112881"
"Yes","1997","higher education","Rural Area","48","0.0871330527915777","0.0653509218851832","0.108915183697972"
"No","1997","in school","Urban Area","208","0.987144227766869","0.971907986766398","1.00238046876734"
"No","1997","in school","Rural Area","105","0.982972970748878","0.958344616744634","1.00760132475312"
"No","1997","inadequately","Urban Area","329","0.84540021371178","0.809381497479918","0.881418929943643"
"No","1997","inadequately","Rural Area","66","0.711744328625556","0.611224502741055","0.812264154510057"
"No","1997","general elemantary","Urban Area","1436","0.83564343316746","0.817657824353989","0.853629041980931"
"No","1997","general elemantary","Rural Area","605","0.844741141839739","0.817816762184402","0.871665521495075"
"No","1997","middle vocational","Urban Area","3596","0.836444850610799","0.82514117975139","0.847748521470207"
"No","1997","middle vocational","Rural Area","2122","0.865932204624712","0.852188485304571","0.879675923944854"
"No","1997","vocational + Abi","Urban Area","323","0.9450085989008","0.92088365547098","0.969133542330621"
"No","1997","vocational + Abi","Rural Area","106","0.896216331123149","0.840231986075566","0.952200676170732"
"No","1997","higher vocational","Urban Area","418","0.845841877231918","0.813571551366166","0.878112203097671"
"No","1997","higher vocational","Rural Area","251","0.854724606192937","0.813076920024716","0.896372292361157"
"No","1997","higher education","Urban Area","1049","0.913278049585147","0.89683289887119","0.929723200299104"
"No","1997","higher education","Rural Area","596","0.912866947208422","0.891084816302028","0.934649078114817"
"Yes","1998","in school","Urban Area","3","","",""
"Yes","1998","in school","Rural Area","3","","",""
"Yes","1998","inadequately","Urban Area","61","0.170362288734129","0.132003411815766","0.208721165652493"
"Yes","1998","inadequately","Rural Area","11","","",""
"Yes","1998","general elemantary","Urban Area","224","0.166662596134745","0.149325417607458","0.183999774662032"
"Yes","1998","general elemantary","Rural Area","98","0.149287870673853","0.12396812512411","0.174607616223595"
"Yes","1998","middle vocational","Urban Area","568","0.15968567365475","0.148865664964689","0.17050568234481"
"Yes","1998","middle vocational","Rural Area","257","0.125028873703426","0.112266241366263","0.137791506040588"
"Yes","1998","vocational + Abi","Urban Area","27","","",""
"Yes","1998","vocational + Abi","Rural Area","8","","",""
"Yes","1998","higher vocational","Urban Area","63","0.146354371331159","0.115974349694056","0.176734392968262"
"Yes","1998","higher vocational","Rural Area","30","0.169644039081366","0.12703110729269","0.212256970870041"
"Yes","1998","higher education","Urban Area","97","0.0987857605538217","0.0823303920570238","0.11524112905062"
"Yes","1998","higher education","Rural Area","54","0.081611908691679","0.061488424357666","0.101735393025692"
"No","1998","in school","Urban Area","215","0.980675840100011","0.962401870692397","0.998949809507624"
"No","1998","in school","Rural Area","112","0.977142587880036","0.949828187492653","1.00445698826742"
