"ple0040","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","1991","no migration background","West Germany","833","0.146341450162805","0.137803336385594","0.154879563940016","1"
"Yes","1991","direct migration background","West Germany","207","0.117112430728389","0.104459564762607","0.129765296694171","1"
"Yes","1991","direct migration background","East Germany","","","","","1"
"Yes","1991","indirect migration background","West Germany","9","","","","1"
"Yes","1991","no migration background","East Germany","","","","","1"
"Yes","1991","indirect migration background","East Germany","","","","","1"
"No","1992","no migration background","West Germany","5661","0.849180410713081","0.840481728425355","0.857879093000808","2"
"No","1992","no migration background","East Germany","3498","0.912154078843287","0.903131313656639","0.921176844029935","2"
"No","1992","direct migration background","West Germany","2153","0.871384331177557","0.85792618275501","0.884842479600105","2"
"No","1992","direct migration background","East Germany","124","0.84761374930715","0.788501728397592","0.906725770216708","2"
"No","1992","indirect migration background","West Germany","385","0.94225223002325","0.919306386186121","0.965198073860379","2"
"No","1992","indirect migration background","East Germany","10","","","","2"
"Yes","1992","no migration background","West Germany","841","0.150819589286919","0.142120906999192","0.159518271574645","1"
"Yes","1992","direct migration background","West Germany","224","0.128615668822443","0.115157520399895","0.14207381724499","1"
"Yes","1992","direct migration background","East Germany","18","","","","1"
"Yes","1992","indirect migration background","West Germany","12","","","","1"
"Yes","1992","no migration background","East Germany","283","0.0878459211567127","0.0788231559700647","0.0968686863433608","1"
"Yes","1992","indirect migration background","East Germany","","","","","1"
"No","1993","no migration background","West Germany","","","","","2"
"No","1993","no migration background","East Germany","","","","","2"
"No","1993","direct migration background","West Germany","","","","","2"
"No","1993","direct migration background","East Germany","","","","","2"
"No","1993","indirect migration background","West Germany","","","","","2"
"No","1993","indirect migration background","East Germany","","","","","2"
"Yes","1993","no migration background","West Germany","","","","","1"
"Yes","1993","no migration background","East Germany","","","","","1"
"Yes","1993","direct migration background","West Germany","","","","","1"
"Yes","1993","direct migration background","East Germany","","","","","1"
"Yes","1993","indirect migration background","West Germany","","","","","1"
"Yes","1993","indirect migration background","East Germany","","","","","1"
"No","1994","no migration background","West Germany","5588","0.85416302976473","0.845498474757925","0.862827584771535","2"
"No","1994","no migration background","East Germany","3348","0.916745069991465","0.907714234829873","0.925775905153057","2"
"No","1994","direct migration background","West Germany","1968","0.861057287085528","0.846594001122286","0.875520573048769","2"
"No","1994","direct migration background","East Germany","119","0.842650931255769","0.78233389217538","0.902967970336157","2"
"No","1994","indirect migration background","West Germany","464","0.954472921766243","0.935746219292978","0.973199624239508","2"
"No","1994","indirect migration background","East Germany","16","","","","2"
"Yes","1994","no migration background","West Germany","786","0.14583697023527","0.137172415228465","0.154501525242075","1"
"Yes","1994","no migration background","East Germany","247","0.0832549300085349","0.0742240948469429","0.092285765170127","1"
"Yes","1994","direct migration background","West Germany","229","0.138942712914472","0.124479426951231","0.153405998877714","1"
"Yes","1994","direct migration background","East Germany","21","","","","1"
"Yes","1994","indirect migration background","West Germany","12","","","","1"
"Yes","1994","indirect migration background","East Germany","","","","","1"
"No","1995","no migration background","West Germany","5593","0.842994293287185","0.834093714046729","0.851894872527641","2"
"No","1995","no migration background","East Germany","3248","0.909726336997746","0.900240447709287","0.919212226286204","2"
"No","1995","direct migration background","West Germany","2395","0.881809311239447","0.869496907096902","0.894121715381992","2"
"No","1995","direct migration background","East Germany","116","0.834849873379468","0.773121570171912","0.896578176587024","2"
"No","1995","indirect migration background","West Germany","479","0.951007856642719","0.931954131164688","0.97006158212075","2"
"No","1995","indirect migration background","East Germany","16","","","","2"
"Yes","1995","no migration background","West Germany","825","0.157005706712815","0.148105127472359","0.165906285953271","1"
"Yes","1995","no migration background","East Germany","258","0.0902736630022545","0.0807877737137961","0.099759552290713","1"
"Yes","1995","direct migration background","West Germany","246","0.118190688760553","0.105878284618008","0.130503092903098","1"
"Yes","1995","direct migration background","East Germany","23","","","","1"
"Yes","1995","indirect migration background","West Germany","14","","","","1"
"Yes","1995","indirect migration background","East Germany","","","","","1"
"No","1996","no migration background","West Germany","5588","0.843832187363054","0.834951671170733","0.852712703555375","2"
"No","1996","no migration background","East Germany","3226","0.904625774407304","0.894896016673827","0.914355532140781","2"
"No","1996","direct migration background","West Germany","2239","0.874820345783922","0.861785704551234","0.88785498701661","2"
"No","1996","direct migration background","East Germany","114","0.796495673372846","0.729565919964866","0.863425426780825","2"
"No","1996","indirect migration background","West Germany","516","0.968508064491437","0.953625713175954","0.98339041580692","2"
"No","1996","indirect migration background","East Germany","20","","","","2"
"Yes","1996","no migration background","West Germany","831","0.156167812636946","0.147287296444625","0.165048328829267","1"
"Yes","1996","no migration background","East Germany","275","0.0953742255926963","0.0856444678592193","0.105103983326173","1"
"Yes","1996","direct migration background","West Germany","237","0.125179654216078","0.11214501298339","0.138214295448766","1"
"Yes","1996","direct migration background","East Germany","25","","","","1"
"Yes","1996","indirect migration background","West Germany","13","","","","1"
"Yes","1996","indirect migration background","East Germany","","","","","1"
"No","1997","no migration background","West Germany","5494","0.84097205159999","0.831949559499292","0.849994543700688","2"
"No","1997","no migration background","East Germany","3195","0.905211912009969","0.895475526589353","0.914948297430586","2"
"No","1997","direct migration background","West Germany","2114","0.883468048126272","0.870473158961826","0.896462937290718","2"
"No","1997","direct migration background","East Germany","111","0.824454735764373","0.759308337406365","0.88960113412238","2"
"No","1997","indirect migration background","West Germany","534","0.962333813106423","0.946408036477606","0.978259589735239","2"
"No","1997","indirect migration background","East Germany","21","","","","2"
"Yes","1997","no migration background","West Germany","817","0.15902794840001","0.150005456299312","0.168050440500708","1"
"Yes","1997","no migration background","East Germany","282","0.0947880879900307","0.0850517025694144","0.104524473410647","1"
"Yes","1997","direct migration background","West Germany","228","0.116531951873728","0.103537062709282","0.129526841038174","1"
"Yes","1997","direct migration background","East Germany","20","","","","1"
"Yes","1997","indirect migration background","West Germany","15","","","","1"
"Yes","1997","indirect migration background","East Germany","1","","","","1"
"No","1998","no migration background","West Germany","6503","0.842016374439648","0.833754292718323","0.850278456160973","2"
"No","1998","no migration background","East Germany","3400","0.906226634095606","0.896848805930331","0.915604462260881","2"
"No","1998","direct migration background","West Germany","2053","0.88180583231175","0.868574623739597","0.895037040883903","2"
"No","1998","direct migration background","East Germany","96","0.790021034347805","0.715902585858091","0.864139482837519","2"
"No","1998","indirect migration background","West Germany","561","0.970909546537581","0.95719678841375","0.984622304661412","2"
"No","1998","indirect migration background","East Germany","25","","","","2"
"Yes","1998","no migration background","West Germany","983","0.157983625560352","0.149721543839027","0.166245707281677","1"
"Yes","1998","direct migration background","West Germany","234","0.11819416768825","0.104962959116097","0.131425376260403","1"
"Yes","1998","no migration background","East Germany","312","0.0937733659043939","0.084395537739119","0.103151194069669","1"
"Yes","1998","direct migration background","East Germany","20","","","","1"
"Yes","1998","indirect migration background","West Germany","16","","","","1"
"Yes","1998","indirect migration background","East Germany","1","","","","1"
"No","1999","no migration background","West Germany","6289","0.839049286137496","0.830583271960972","0.84751530031402","2"
"No","1999","no migration background","East Germany","3350","0.904124196961618","0.894594892793984","0.913653501129251","2"
"No","1999","indirect migration background","West Germany","568","0.960669455880064","0.94497152500608","0.976367386754047","2"
"No","1999","direct migration background","West Germany","1885","0.874380549691418","0.860222588112748","0.888538511270088","2"
"No","1999","direct migration background","East Germany","93","0.823005411683588","0.751681839256228","0.894328984110948","2"
"No","1999","indirect migration background","East Germany","22","","","","2"
"Yes","1999","no migration background","West Germany","949","0.160950713862504","0.15248469968598","0.169416728039027","1"
"Yes","1999","direct migration background","West Germany","220","0.125619450308582","0.111461488729912","0.139777411887252","1"
"Yes","1999","no migration background","East Germany","317","0.0958758030383823","0.0863464988707489","0.105405107206016","1"
"Yes","1999","direct migration background","East Germany","17","","","","1"
"Yes","1999","indirect migration background","West Germany","21","","","","1"
"Yes","1999","indirect migration background","East Germany","","","","","1"
"No","2000","no migration background","West Germany","12532","0.858979314385636","0.853281646188383","0.864676982582889","2"
"No","2000","no migration background","East Germany","5164","0.89869942801187","0.890855488466479","0.906543367557261","2"
"No","2000","indirect migration background","West Germany","774","0.964205769303099","0.951340371708564","0.977071166897634","2"
"No","2000","direct migration background","West Germany","2908","0.907343282373277","0.897271975452225","0.917414589294328","2"
"No","2000","direct migration background","East Germany","131","0.858055312095692","0.802205762407105","0.913904861784279","2"
"No","2000","indirect migration background","East Germany","24","","","","2"
"Yes","2000","no migration background","West Germany","1802","0.141020685614364","0.13532301741711","0.146718353811617","1"
"Yes","2000","direct migration background","West Germany","276","0.0926567176267235","0.082585410705672","0.102728024547775","1"
"Yes","2000","no migration background","East Germany","520","0.10130057198813","0.093456632442739","0.109144511533521","1"
"Yes","2000","direct migration background","East Germany","19","","","","1"
"Yes","2000","indirect migration background","West Germany","27","","","","1"
"Yes","2000","indirect migration background","East Germany","1","","","","1"
"No","2001","no migration background","West Germany","11350","0.857455388146844","0.851439834869691","0.863470941423996","2"
"No","2001","indirect migration background","West Germany","716","0.945661739696071","0.929438475771379","0.961885003620763","2"
"No","2001","no migration background","East Germany","4814","0.898198285347968","0.890055054213193","0.906341516482742","2"
"No","2001","direct migration background","West Germany","2550","0.906339735573957","0.895549902231152","0.917129568916762","2"
"No","2001","direct migration background","East Germany","105","0.854296536420417","0.791433599591858","0.917159473248976","2"
"No","2001","indirect migration background","East Germany","24","","","","2"
"Yes","2001","no migration background","West Germany","1625","0.142544611853157","0.136529058576004","0.148560165130309","1"
"Yes","2001","direct migration background","West Germany","251","0.0936602644260429","0.0828704310832379","0.104450097768848","1"
"Yes","2001","direct migration background","East Germany","16","","","","1"
"Yes","2001","indirect migration background","West Germany","34","0.0543382603039288","0.0381149963792366","0.0705615242286209","1"
"Yes","2001","no migration background","East Germany","483","0.101801714652032","0.0936584835172578","0.109944945786807","1"
"Yes","2001","indirect migration background","East Germany","1","","","","1"
"No","2002","no migration background","West Germany","12400","0.848269303219313","0.842357924015047","0.854180682423579","2"
"No","2002","indirect migration background","West Germany","722","0.951085593866882","0.935690206796915","0.96648098093685","2"
"No","2002","no migration background","East Germany","4762","0.88385234636842","0.875219912633863","0.892484780102978","2"
"No","2002","direct migration background","West Germany","2449","0.905861020111639","0.89482768593887","0.916894354284409","2"
"No","2002","direct migration background","East Germany","91","0.785775692499714","0.710128548170243","0.861422836829185","2"
"No","2002","indirect migration background","East Germany","23","","","","2"
"Yes","2002","no migration background","West Germany","1749","0.151730696780687","0.145819317576421","0.157642075984953","1"
"Yes","2002","direct migration background","West Germany","242","0.0941389798883606","0.0831056457155911","0.10517231406113","1"
"Yes","2002","direct migration background","East Germany","22","","","","1"
"Yes","2002","indirect migration background","West Germany","32","0.0489144061331176","0.0335190190631497","0.0643097932030855","1"
"Yes","2002","no migration background","East Germany","530","0.11614765363158","0.107515219897022","0.124780087366137","1"
"Yes","2002","indirect migration background","East Germany","1","","","","1"
"No","2003","no migration background","West Germany","11850","0.849211434691152","0.843188247204542","0.855234622177762","2"
"No","2003","no migration background","East Germany","4687","0.884142549084996","0.875451897090522","0.892833201079471","2"
"No","2003","direct migration background","West Germany","2285","0.905692162011205","0.894290514385425","0.917093809636986","2"
"No","2003","indirect migration background","West Germany","723","0.961280640631291","0.947491781008238","0.975069500254345","2"
"No","2003","direct migration background","East Germany","87","0.844605304987518","0.774641330082699","0.914569279892337","2"
"No","2003","indirect migration background","East Germany","31","0.96598051529244","0.903171620627139","1.02878940995774","2"
"Yes","2003","no migration background","West Germany","1709","0.150788565308848","0.144765377822238","0.156811752795458","1"
"Yes","2003","direct migration background","West Germany","239","0.0943078379887945","0.0829061903630143","0.105709485614575","1"
"Yes","2003","direct migration background","East Germany","16","","","","1"
"Yes","2003","no migration background","East Germany","523","0.115857450915004","0.107166798920529","0.124548102909478","1"
"Yes","2003","indirect migration background","West Germany","29","","","","1"
"Yes","2003","indirect migration background","East Germany","1","","","","1"
"No","2004","no migration background","West Germany","11488","0.84453248515263","0.838350115828276","0.850714854476983","2"
"No","2004","no migration background","East Germany","4566","0.878751044238209","0.869789915743328","0.88771217273309","2"
"No","2004","direct migration background","West Germany","2193","0.893783109453902","0.881562633394752","0.906003585513053","2"
"No","2004","indirect migration background","West Germany","741","0.952033302355801","0.936968816149332","0.96709778856227","2"
"No","2004","direct migration background","East Germany","82","0.831460039129101","0.758089750743317","0.904830327514885","2"
"No","2004","indirect migration background","East Germany","33","0.949323361266995","0.875597540294175","1.02304918223981","2"
"Yes","2004","no migration background","West Germany","1708","0.15546751484737","0.149285145523017","0.161649884171723","1"
"Yes","2004","direct migration background","West Germany","249","0.106216890546098","0.0939964144869471","0.118437366605248","1"
"Yes","2004","direct migration background","East Germany","18","","","","1"
"Yes","2004","no migration background","East Germany","531","0.121248955761791","0.11228782726691","0.130210084256672","1"
"Yes","2004","indirect migration background","West Germany","32","0.0479666976441988","0.0329022114377296","0.063031183850668","1"
"Yes","2004","indirect migration background","East Germany","1","","","","1"
"No","2005","no migration background","West Germany","10923","0.848850271525654","0.842594682101714","0.855105860949595","2"
"No","2005","no migration background","East Germany","4362","0.875237292494284","0.865975416459198","0.88449916852937","2"
"No","2005","direct migration background","West Germany","2030","0.897203395972258","0.884702038636089","0.909704753308427","2"
"No","2005","indirect migration background","West Germany","771","0.968957664981549","0.956909493248972","0.981005836714127","2"
"No","2005","direct migration background","East Germany","81","0.851370512620363","0.781650110530893","0.921090914709834","2"
"No","2005","indirect migration background","East Germany","35","1","1","1","2"
"Yes","2005","no migration background","West Germany","1672","0.151149728474346","0.144894139050405","0.157405317898287","1"
"Yes","2005","no migration background","East Germany","528","0.124762707505716","0.11550083147063","0.134024583540802","1"
"Yes","2005","direct migration background","West Germany","237","0.102796604027742","0.0902952466915725","0.115297961363911","1"
"Yes","2005","direct migration background","East Germany","19","","","","1"
"Yes","2005","indirect migration background","West Germany","25","","","","1"
"Yes","2005","indirect migration background","East Germany","","","","","1"
"No","2006","no migration background","West Germany","11822","0.846143053286652","0.840095485365324","0.852190621207981","2"
"No","2006","no migration background","East Germany","4544","0.865197861766436","0.855855244275899","0.874540479256973","2"
"No","2006","direct migration background","West Germany","2012","0.884837339386082","0.871714254480559","0.897960424291605","2"
"No","2006","direct migration background","East Germany","95","0.884068281233723","0.824241478989352","0.943895083478095","2"
"No","2006","indirect migration background","West Germany","754","0.966799955094555","0.954235020842479","0.979364889346631","2"
"No","2006","indirect migration background","East Germany","40","1","1","1","2"
"Yes","2006","no migration background","West Germany","1852","0.153856946713348","0.147809378792019","0.159904514634676","1"
"Yes","2006","no migration background","East Germany","589","0.134802138233564","0.125459520743027","0.144144755724101","1"
"Yes","2006","direct migration background","West Germany","261","0.115162660613918","0.102039575708395","0.128285745519441","1"
"Yes","2006","direct migration background","East Germany","15","","","","1"
"Yes","2006","indirect migration background","West Germany","27","","","","1"
"Yes","2006","indirect migration background","East Germany","","","","","1"
"No","2007","no migration background","West Germany","10978","0.844641832223954","0.838351599469201","0.850932064978707","2"
"No","2007","no migration background","East Germany","4322","0.872523409204536","0.863161497411115","0.881885320997958","2"
"No","2007","direct migration background","West Germany","1801","0.8845901501303","0.870694284147184","0.898486016113417","2"
"No","2007","direct migration background","East Germany","80","0.915757451235042","0.859001663357823","0.972513239112261","2"
"No","2007","indirect migration background","West Germany","720","0.970827064087047","0.958750603073553","0.98290352510054","2"
"No","2007","indirect migration background","East Germany","39","0.873239461535203","0.771400285482905","0.975078637587501","2"
"Yes","2007","no migration background","West Germany","1762","0.155358167776046","0.149067935021293","0.1616484005308","1"
"Yes","2007","no migration background","East Germany","553","0.127476590795464","0.118114679002042","0.136838502588885","1"
"Yes","2007","direct migration background","West Germany","230","0.1154098498697","0.101513983886583","0.129305715852816","1"
"Yes","2007","direct migration background","East Germany","12","","","","1"
"Yes","2007","indirect migration background","West Germany","26","","","","1"
"Yes","2007","indirect migration background","East Germany","2","","","","1"
"No","2008","no migration background","West Germany","10347","0.844866893373098","0.838393760494977","0.851340026251218","2"
"No","2008","no migration background","East Germany","4122","0.873185321371835","0.863617793617955","0.882752849125715","2"
"No","2008","direct migration background","West Germany","1620","0.889252229652999","0.874874095769464","0.903630363536534","2"
"No","2008","direct migration background","East Germany","71","0.922005989071528","0.863243444166634","0.980768533976422","2"
"No","2008","indirect migration background","West Germany","699","0.9598888710799","0.945625446617264","0.974152295542536","2"
"No","2008","indirect migration background","East Germany","40","0.879712042920752","0.781332502590668","0.978091583250837","2"
"Yes","2008","no migration background","West Germany","1669","0.155133106626902","0.148659973748782","0.161606239505023","1"
"Yes","2008","no migration background","East Germany","525","0.126814678628165","0.117247150874286","0.136382206382045","1"
"Yes","2008","direct migration background","West Germany","210","0.110747770347001","0.0963696364634663","0.125125904230536","1"
"Yes","2008","direct migration background","East Germany","9","","","","1"
"Yes","2008","indirect migration background","West Germany","28","","","","1"
"Yes","2008","indirect migration background","East Germany","2","","","","1"
"No","2009","no migration background","West Germany","9641","0.844041630297929","0.837332186972677","0.85075107362318","2"
"No","2009","no migration background","East Germany","3903","0.874904714343853","0.865161638106708","0.884647790580997","2"
"No","2009","direct migration background","West Germany","1394","0.882630174770036","0.866799826981948","0.898460522558124","2"
"No","2009","direct migration background","East Germany","70","0.954241594487496","0.90726236302914","1.00122082594585","2"
"No","2009","indirect migration background","West Germany","646","0.960822991463707","0.946175762457027","0.975470220470387","2"
"No","2009","indirect migration background","East Germany","40","0.979167429882736","0.935449854425549","1.02288500533992","2"
"Yes","2009","no migration background","West Germany","1592","0.155958369702071","0.14924892637682","0.162667813027323","1"
"Yes","2009","no migration background","East Germany","526","0.125095285656147","0.115352209419003","0.134838361893292","1"
"Yes","2009","direct migration background","West Germany","194","0.117369825229964","0.101539477441876","0.133200173018052","1"
"Yes","2009","direct migration background","East Germany","6","","","","1"
"Yes","2009","indirect migration background","West Germany","28","","","","1"
"Yes","2009","indirect migration background","East Germany","1","","","","1"
"No","2010","no migration background","West Germany","13018","0.847106790834144","0.841285508529801","0.852928073138487","2"
"No","2010","no migration background","East Germany","4711","0.866710935196196","0.857531819787125","0.875890050605267","2"
"No","2010","direct migration background","West Germany","2572","0.894313909190607","0.882877431953328","0.905750386427886","2"
"No","2010","direct migration background","East Germany","117","0.839024678937089","0.775358303810504","0.902691054063674","2"
"No","2010","indirect migration background","West Germany","1034","0.947875901550977","0.934582351667915","0.96116945143404","2"
"No","2010","indirect migration background","East Germany","73","0.864110378799345","0.787069886447432","0.941150871151258","2"
"Yes","2010","no migration background","West Germany","1664","0.152893209165856","0.147071926861513","0.158714491470199","1"
"Yes","2010","no migration background","East Germany","556","0.133289064803804","0.124109949394733","0.142468180212875","1"
"Yes","2010","direct migration background","West Germany","204","0.105686090809393","0.0942496135721142","0.117122568046672","1"
"Yes","2010","direct migration background","East Germany","11","","","","1"
"Yes","2010","indirect migration background","West Germany","40","0.0521240984490227","0.0388305485659604","0.065417648332085","1"
"Yes","2010","indirect migration background","East Germany","3","","","","1"
"No","2011","no migration background","West Germany","15611","0.846675584816373","0.841373935710532","0.851977233922215","2"
"No","2011","indirect migration background","West Germany","1161","0.939077629317451","0.925644920774653","0.95251033786025","2"
"No","2011","no migration background","East Germany","5382","0.87010144493198","0.861639086586498","0.878563803277463","2"
"No","2011","direct migration background","West Germany","2850","0.908377280400503","0.898198755317881","0.918555805483126","2"
"No","2011","direct migration background","East Germany","138","0.873752467703632","0.821466169130292","0.926038766276971","2"
"No","2011","indirect migration background","East Germany","84","0.979087701742573","0.948845699219962","1.00932970426518","2"
"Yes","2011","no migration background","West Germany","2131","0.153324415183627","0.148022766077785","0.158626064289468","1"
"Yes","2011","no migration background","East Germany","681","0.12989855506802","0.121436196722537","0.138360913413502","1"
"Yes","2011","direct migration background","West Germany","236","0.0916227195994966","0.0814441945168744","0.101801244682119","1"
"Yes","2011","direct migration background","East Germany","17","","","","1"
"Yes","2011","indirect migration background","West Germany","57","0.0609223706825486","0.0474896621397501","0.0743550792253471","1"
"Yes","2011","indirect migration background","East Germany","2","","","","1"
"No","2012","no migration background","West Germany","15144","0.843744565527481","0.838344845512253","0.849144285542708","2"
"No","2012","indirect migration background","West Germany","1140","0.934638100023004","0.920642105739673","0.948634094306335","2"
"No","2012","no migration background","East Germany","5208","0.853332629090697","0.844342787560836","0.862322470620557","2"
"No","2012","direct migration background","West Germany","2653","0.902868805720923","0.892073977551805","0.91366363389004","2"
"No","2012","direct migration background","East Germany","138","0.862288916863538","0.80786389906774","0.916713934659337","2"
"No","2012","indirect migration background","East Germany","72","0.863616939795473","0.787454371353489","0.939779508237458","2"
"Yes","2012","no migration background","West Germany","2226","0.156255434472519","0.150855714457291","0.161655154487747","1"
"Yes","2012","no migration background","East Germany","741","0.146667370909303","0.137677529379443","0.155657212439163","1"
"Yes","2012","direct migration background","West Germany","238","0.0971311942790775","0.0863363661099596","0.107926022448195","1"
"Yes","2012","direct migration background","East Germany","16","","","","1"
"Yes","2012","indirect migration background","West Germany","58","0.0653618999769959","0.0513659056936646","0.0793578942603272","1"
"Yes","2012","indirect migration background","East Germany","6","","","","1"
"No","2013","no migration background","West Germany","14440","0.845261591794059","0.839751525257544","0.850771658330574","2"
"No","2013","no migration background","East Germany","4902","0.860572446899872","0.851481360396345","0.869663533403399","2"
"No","2013","direct migration background","West Germany","5559","0.895576233958355","0.887816310767396","0.903336157149314","2"
"No","2013","direct migration background","East Germany","409","0.844958665768522","0.810945665439087","0.878971666097956","2"
"No","2013","indirect migration background","West Germany","1951","0.946960914224552","0.937202204224324","0.956719624224779","2"
"No","2013","indirect migration background","East Germany","97","0.828194606542207","0.756044323829796","0.900344889254617","2"
"Yes","2013","no migration background","West Germany","2109","0.154738408205941","0.149228341669426","0.160248474742456","1"
"Yes","2013","no migration background","East Germany","675","0.139427553100128","0.130336466596601","0.148518639603655","1"
"Yes","2013","direct migration background","West Germany","407","0.104423766041645","0.0966638428506865","0.112183689232604","1"
"Yes","2013","direct migration background","East Germany","26","","","","1"
