"ple0040","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","1989","(Married) couple without C. ","1808","0.770819633013026","0.753464314666545","0.788174951359506"
"No","1989","Single parent ","437","0.915852377699461","0.890807970592861","0.94089678480606"
"No","1989","Couple + C. LE 16 ","2069","0.958514692200689","0.950058126793427","0.966971257607952"
"No","1989","Couple + C. GT 16 ","1928","0.893181041368515","0.880085008756204","0.906277073980826"
"No","1989","Couple + C. LE and GT 16","932","0.943461704675128","0.92906035776512","0.957863051585136"
"Yes","1990","1-pers.-HH","","","",""
"Yes","1990","(Married) couple without C. ","","","",""
"Yes","1990","Single parent ","","","",""
"Yes","1990","Couple + C. LE 16 ","","","",""
"Yes","1990","Couple + C. GT 16 ","","","",""
"Yes","1990","Couple + C. LE and GT 16","","","",""
"No","1990","1-pers.-HH","","","",""
"No","1990","(Married) couple without C. ","","","",""
"No","1990","Single parent ","","","",""
"No","1990","Couple + C. LE 16 ","","","",""
"No","1990","Couple + C. GT 16 ","","","",""
"No","1990","Couple + C. LE and GT 16","","","",""
"Yes","1991","1-pers.-HH","174","0.188433673121715","0.164609426141481","0.21225792010195"
"Yes","1991","(Married) couple without C. ","469","0.23770033609122","0.220318941632789","0.255081730549652"
"Yes","1991","Single parent ","40","0.0873064697655713","0.0620534585121486","0.112559481018994"
"Yes","1991","Couple + C. LE 16 ","67","0.0347625699190984","0.0269018204687617","0.0426233193694352"
"Yes","1991","Couple + C. GT 16 ","200","0.109458091125148","0.0956956373755879","0.123220544874708"
"Yes","1991","Couple + C. LE and GT 16","51","0.065108376614983","0.0488995283984116","0.0813172248315543"
"No","1991","1-pers.-HH","861","0.811566326878285","0.78774207989805","0.835390573858519"
"No","1991","(Married) couple without C. ","1835","0.76229966390878","0.744918269450348","0.779681058367211"
"No","1991","Single parent ","440","0.912693530234429","0.887440518981006","0.937946541487852"
"No","1991","Couple + C. LE 16 ","2019","0.965237430080902","0.957376680630565","0.973098179531238"
"No","1991","Couple + C. GT 16 ","1777","0.890541908874852","0.876779455125292","0.904304362624412"
"No","1991","Couple + C. LE and GT 16","839","0.934891623385017","0.918682775168446","0.951100471601588"
"Yes","1992","1-pers.-HH","213","0.181160428788209","0.160476784529088","0.20184407304733"
"Yes","1992","(Married) couple without C. ","613","0.225520557308215","0.211098941398156","0.239942173218275"
"Yes","1992","Single parent ","52","0.0794174256001508","0.0583536842434669","0.100481166956835"
"Yes","1992","Couple + C. LE 16 ","104","0.035546919814955","0.0292026304508075","0.0418912091791024"
"Yes","1992","Couple + C. GT 16 ","261","0.106178004251984","0.0945536211017389","0.117802387402229"
"Yes","1992","Couple + C. LE and GT 16","53","0.0559324288732419","0.0426455964964004","0.0692192612500834"
"No","1992","1-pers.-HH","1119","0.818839571211791","0.79815592695267","0.839523215470912"
"No","1992","(Married) couple without C. ","2613","0.774479442691785","0.760057826781725","0.788901058601844"
"No","1992","Single parent ","581","0.920582574399849","0.899518833043165","0.941646315756533"
"No","1992","Couple + C. LE 16 ","3168","0.964453080185045","0.958108790820898","0.970797369549192"
"No","1992","Couple + C. GT 16 ","2437","0.893821995748016","0.882197612597771","0.905446378898261"
"No","1992","Couple + C. LE and GT 16","1096","0.944067571126758","0.930780738749917","0.9573544035036"
"Yes","1993","1-pers.-HH","","","",""
"Yes","1993","(Married) couple without C. ","","","",""
"Yes","1993","Single parent ","","","",""
"Yes","1993","Couple + C. LE 16 ","","","",""
"Yes","1993","Couple + C. GT 16 ","","","",""
"Yes","1993","Couple + C. LE and GT 16","","","",""
"No","1993","1-pers.-HH","","","",""
"No","1993","(Married) couple without C. ","","","",""
"No","1993","Single parent ","","","",""
"No","1993","Couple + C. LE 16 ","","","",""
"No","1993","Couple + C. GT 16 ","","","",""
"No","1993","Couple + C. LE and GT 16","","","",""
"Yes","1994","1-pers.-HH","228","0.193130925549442","0.172400893248047","0.213860957850837"
"Yes","1994","(Married) couple without C. ","576","0.199540920653736","0.1860255287791","0.213056312528372"
"Yes","1994","Single parent ","39","0.0696025157762994","0.0487481585266023","0.0904568730259966"
"Yes","1994","Couple + C. LE 16 ","108","0.0413839495022086","0.0342779235514058","0.0484899754530114"
"Yes","1994","Couple + C. GT 16 ","226","0.10509265602806","0.0929018946144258","0.117283417441694"
"Yes","1994","Couple + C. LE and GT 16","44","0.0386957740543268","0.0276490924024821","0.0497424557061715"
"No","1994","1-pers.-HH","1165","0.806869074450558","0.786139042149163","0.827599106751953"
"No","1994","(Married) couple without C. ","2783","0.800459079346264","0.786943687471628","0.8139744712209"
"No","1994","Single parent ","533","0.930397484223701","0.909543126974004","0.951251841473398"
"No","1994","Couple + C. LE 16 ","2910","0.958616050497791","0.951510024546989","0.965722076448594"
"No","1994","Couple + C. GT 16 ","2205","0.89490734397194","0.882716582558306","0.907098105385574"
"No","1994","Couple + C. LE and GT 16","1127","0.961304225945673","0.950257544293828","0.972350907597518"
"Yes","1995","1-pers.-HH","229","0.185762521535086","0.165626225430651","0.205898817639522"
"Yes","1995","(Married) couple without C. ","625","0.217927786604456","0.204205531855121","0.23165004135379"
"Yes","1995","Single parent ","39","0.0708410360856305","0.0504980384515487","0.0911840337197124"
"Yes","1995","Couple + C. LE 16 ","108","0.0377398634765177","0.0310690971445031","0.0444106298085323"
"Yes","1995","Couple + C. GT 16 ","230","0.111366636537689","0.0989829860340148","0.123750287041364"
"Yes","1995","Couple + C. LE and GT 16","57","0.0469395319101963","0.0351480480527552","0.0587310157676375"
"No","1995","1-pers.-HH","1204","0.814237478464914","0.794101182360478","0.834373774569349"
"No","1995","(Married) couple without C. ","2852","0.782072213395544","0.76834995864621","0.795794468144879"
"No","1995","Single parent ","572","0.929158963914369","0.908815966280288","0.949501961548451"
"No","1995","Couple + C. LE 16 ","3027","0.962260136523482","0.955589370191468","0.968930902855497"
"No","1995","Couple + C. GT 16 ","2249","0.888633363462311","0.876249712958636","0.901017013965985"
"No","1995","Couple + C. LE and GT 16","1179","0.953060468089804","0.941268984232362","0.964851951947245"
"Yes","1996","1-pers.-HH","240","0.184857518516857","0.165127480150049","0.204587556883666"
"Yes","1996","(Married) couple without C. ","631","0.2161738407678","0.202634915190395","0.229712766345205"
"Yes","1996","Single parent ","47","0.0755315836153125","0.0552484698036548","0.0958146974269703"
"Yes","1996","Couple + C. LE 16 ","114","0.0428377441239185","0.0355978547307759","0.0500776335170611"
"Yes","1996","Couple + C. GT 16 ","218","0.111566585889529","0.0988860748748988","0.124247096904159"
"Yes","1996","Couple + C. LE and GT 16","61","0.0519465859205451","0.0396589746488078","0.0642341971922824"
"No","1996","1-pers.-HH","1247","0.815142481483143","0.795412443116334","0.834872519849951"
"No","1996","(Married) couple without C. ","2920","0.7838261592322","0.770287233654795","0.797365084809605"
"No","1996","Single parent ","605","0.924468416384687","0.90418530257303","0.944751530196345"
"No","1996","Couple + C. LE 16 ","2891","0.957162255876081","0.949922366482939","0.964402145269224"
"No","1996","Couple + C. GT 16 ","2150","0.888433414110471","0.87575290309584","0.901113925125101"
"No","1996","Couple + C. LE and GT 16","1192","0.948053414079455","0.935765802807718","0.960341025351192"
"Yes","1997","1-pers.-HH","232","0.184624304669817","0.164646985161895","0.20460162417774"
"Yes","1997","(Married) couple without C. ","647","0.21919030455714","0.205646291640742","0.232734317473538"
"Yes","1997","Single parent ","45","0.0731578887011094","0.0529364600448323","0.0933793173573865"
"Yes","1997","Couple + C. LE 16 ","112","0.0469624456100774","0.0391817346790938","0.0547431565410611"
"Yes","1997","Couple + C. GT 16 ","211","0.10472985406115","0.0923916195280986","0.117068088594201"
"Yes","1997","Couple + C. LE and GT 16","52","0.047940210371224","0.0358827313106483","0.0599976894317997"
"No","1997","1-pers.-HH","1217","0.815375695330183","0.79539837582226","0.835353014838105"
"No","1997","(Married) couple without C. ","2937","0.78080969544286","0.767265682526462","0.794353708359258"
"No","1997","Single parent ","592","0.926842111298891","0.906620682642614","0.947063539955168"
"No","1997","Couple + C. LE 16 ","2728","0.953037554389923","0.945256843458939","0.960818265320906"
"No","1997","Couple + C. GT 16 ","2155","0.89527014593885","0.882931911405799","0.907608380471902"
"No","1997","Couple + C. LE and GT 16","1154","0.952059789628776","0.9400023105682","0.964117268689352"
"Yes","1998","1-pers.-HH","295","0.19788177671652","0.179178336768033","0.216585216665006"
"Yes","1998","(Married) couple without C. ","746","0.207920020301374","0.19555974487282","0.220280295729927"
"Yes","1998","Single parent ","61","0.0845154597919251","0.0640117724483105","0.10501914713554"
"Yes","1998","Couple + C. LE 16 ","100","0.033427741475814","0.0270940250249089","0.039761457926719"
"Yes","1998","Couple + C. GT 16 ","234","0.103388992445149","0.0915809792651949","0.115197005625103"
"Yes","1998","Couple + C. LE and GT 16","58","0.0521664802729252","0.0398444793917783","0.0644884811540722"
"No","1998","1-pers.-HH","1448","0.80211822328348","0.783414783334994","0.820821663231967"
"No","1998","(Married) couple without C. ","3395","0.792079979698626","0.779719704270073","0.80444025512718"
"No","1998","Single parent ","646","0.915484540208075","0.89498085286446","0.93598822755169"
"No","1998","Couple + C. LE 16 ","2994","0.966572258524186","0.960238542073281","0.972905974975091"
"No","1998","Couple + C. GT 16 ","2320","0.896611007554851","0.884802994374897","0.908419020734805"
"No","1998","Couple + C. LE and GT 16","1193","0.947833519727075","0.935511518845928","0.960155520608222"
"Yes","1999","1-pers.-HH","281","0.197776591577881","0.17878031975286","0.216772863402902"
"Yes","1999","(Married) couple without C. ","758","0.221898320188408","0.209230246757637","0.234566393619179"
"Yes","1999","Single parent ","58","0.0872780038297179","0.066633353576998","0.107922654082438"
"Yes","1999","Couple + C. LE 16 ","90","0.0299769119558","0.0239051986257525","0.0360486252858474"
"Yes","1999","Couple + C. GT 16 ","233","0.0936118473311602","0.0822049707173505","0.10501872394497"
"Yes","1999","Couple + C. LE and GT 16","50","0.0526965332046017","0.0398501576917869","0.0655429087174165"
"No","1999","1-pers.-HH","1408","0.802223408422119","0.783227136597098","0.82121968024714"
"No","1999","(Married) couple without C. ","3375","0.778101679811592","0.765433606380821","0.790769753242363"
"No","1999","Single parent ","660","0.912721996170282","0.892077345917562","0.933366646423002"
"No","1999","Couple + C. LE 16 ","2940","0.9700230880442","0.963951374714153","0.976094801374248"
"No","1999","Couple + C. GT 16 ","2272","0.90638815266884","0.89498127605503","0.91779502928265"
"No","1999","Couple + C. LE and GT 16","1112","0.947303466795398","0.934457091282584","0.960149842308213"
"Yes","2000","1-pers.-HH","508","0.168167465529995","0.155509745002858","0.180825186057132"
"Yes","2000","(Married) couple without C. ","1356","0.192658955341104","0.183772306090767","0.201545604591441"
"Yes","2000","Single parent ","95","0.076697279788662","0.0616597217873629","0.0917348377899611"
"Yes","2000","Couple + C. LE 16 ","168","0.0327954835446577","0.0279746255444786","0.0376163415448369"
"Yes","2000","Couple + C. GT 16 ","346","0.0857161684328387","0.0769937491235665","0.0944385877421109"
"Yes","2000","Couple + C. LE and GT 16","72","0.0410929265881052","0.032252869331657","0.0499329838445533"
"No","2000","1-pers.-HH","2846","0.831832534470005","0.819174813942868","0.844490254997142"
"No","2000","(Married) couple without C. ","6210","0.807341044658896","0.798454395408559","0.816227693909233"
"No","2000","Single parent ","1108","0.923302720211338","0.908265162210039","0.938340278212637"
"No","2000","Couple + C. LE 16 ","5075","0.967204516455342","0.962383658455163","0.972025374455521"
"No","2000","Couple + C. GT 16 ","3611","0.914283831567161","0.905561412257889","0.923006250876434"
"No","2000","Couple + C. LE and GT 16","1865","0.958907073411895","0.950067016155447","0.967747130668343"
"Yes","2001","1-pers.-HH","476","0.171977805922307","0.158483351909017","0.185472259935597"
"Yes","2001","(Married) couple without C. ","1214","0.191959248328853","0.18266042239043","0.201258074267277"
"Yes","2001","Single parent ","79","0.0699612973493032","0.0550622557144421","0.0848603389841643"
"Yes","2001","Couple + C. LE 16 ","156","0.0362094219742978","0.0309041221284388","0.0415147218201568"
"Yes","2001","Couple + C. GT 16 ","321","0.089471005307685","0.0801795844052397","0.0987624262101303"
"Yes","2001","Couple + C. LE and GT 16","68","0.0341851554431493","0.0256621711330884","0.0427081397532103"
"No","2001","1-pers.-HH","2528","0.828022194077693","0.814527740064403","0.841516648090983"
"No","2001","(Married) couple without C. ","5677","0.808040751671147","0.798741925732723","0.81733957760957"
"No","2001","Single parent ","1047","0.930038702650697","0.915139661015836","0.944937744285558"
"No","2001","Couple + C. LE 16 ","4607","0.963790578025702","0.958485278179843","0.969095877871561"
"No","2001","Couple + C. GT 16 ","3304","0.910528994692315","0.90123757378987","0.91982041559476"
"No","2001","Couple + C. LE and GT 16","1678","0.965814844556851","0.95729186024679","0.974337828866912"
"Yes","2002","1-pers.-HH","482","0.177871037702602","0.164193969320803","0.191548106084402"
"Yes","2002","(Married) couple without C. ","1337","0.205477252006728","0.196296110825238","0.214658393188219"
"Yes","2002","Single parent ","96","0.0827718526488324","0.0667207488815571","0.0988229564161076"
"Yes","2002","Couple + C. LE 16 ","150","0.0365204814565642","0.0311832077702797","0.0418577551428487"
"Yes","2002","Couple + C. GT 16 ","353","0.101965960979449","0.0925695406962112","0.111362381262687"
"Yes","2002","Couple + C. LE and GT 16","61","0.0372770399209456","0.0288667000669263","0.0456873797749648"
"No","2002","1-pers.-HH","2521","0.822128962297398","0.808451893915598","0.835806030679197"
"No","2002","(Married) couple without C. ","6103","0.794522747993272","0.785341606811781","0.803703889174762"
"No","2002","Single parent ","1036","0.917228147351168","0.901177043583892","0.933279251118443"
"No","2002","Couple + C. LE 16 ","4595","0.963479518543436","0.958142244857151","0.96881679222972"
"No","2002","Couple + C. GT 16 ","3631","0.898034039020551","0.888637618737313","0.907430459303789"
"No","2002","Couple + C. LE and GT 16","1888","0.962722960079054","0.954312620225035","0.971133299933074"
"Yes","2003","1-pers.-HH","481","0.180742112428421","0.166905277570379","0.194578947286463"
"Yes","2003","(Married) couple without C. ","1306","0.198746292086699","0.189584541752896","0.207908042420502"
"Yes","2003","Single parent ","93","0.0738479696358796","0.0585181300440084","0.0891778092277507"
"Yes","2003","Couple + C. LE 16 ","135","0.0373122370793456","0.0317000797908588","0.0429243943678323"
"Yes","2003","Couple + C. GT 16 ","341","0.0973331423606259","0.0880824602155661","0.106583824505686"
"Yes","2003","Couple + C. LE and GT 16","72","0.0389343285557838","0.0300957575208586","0.047772899590709"
"No","2003","1-pers.-HH","2490","0.819257887571579","0.805421052713537","0.833094722429621"
"No","2003","(Married) couple without C. ","5982","0.801253707913301","0.792091957579498","0.810415458247104"
"No","2003","Single parent ","1025","0.92615203036412","0.910822190772249","0.941481869955992"
"No","2003","Couple + C. LE 16 ","4246","0.962687762920654","0.957075605632168","0.968299920209141"
"No","2003","Couple + C. GT 16 ","3603","0.902666857639374","0.893416175494314","0.911917539784434"
"No","2003","Couple + C. LE and GT 16","1768","0.961065671444216","0.952227100409291","0.969904242479141"
"Yes","2004","1-pers.-HH","501","0.191132209406302","0.176856127586328","0.205408291226276"
"Yes","2004","(Married) couple without C. ","1300","0.199738273238748","0.190542957679605","0.20893358879789"
"Yes","2004","Single parent ","92","0.086281528272647","0.069643396985981","0.102919659559313"
"Yes","2004","Couple + C. LE 16 ","146","0.0419464099431531","0.0357815895083247","0.0481112303779816"
"Yes","2004","Couple + C. GT 16 ","349","0.098236665398094","0.0889110766458559","0.107562254150332"
"Yes","2004","Couple + C. LE and GT 16","66","0.0436256003396171","0.0341630924434502","0.0530881082357841"
"No","2004","1-pers.-HH","2413","0.808867790593698","0.794591708773724","0.823143872413672"
"No","2004","(Married) couple without C. ","5962","0.800261726761252","0.79106641120211","0.809457042320395"
"No","2004","Single parent ","1002","0.913718471727353","0.897080340440687","0.930356603014019"
"No","2004","Couple + C. LE 16 ","3916","0.958053590056847","0.951888769622018","0.964218410491675"
"No","2004","Couple + C. GT 16 ","3564","0.901763334601906","0.892437745849668","0.911088923354144"
"No","2004","Couple + C. LE and GT 16","1724","0.956374399660383","0.946911891764216","0.96583690755655"
"Yes","2005","1-pers.-HH","512","0.189092178988166","0.17495681880602","0.203227539170311"
"Yes","2005","(Married) couple without C. ","1300","0.200746555617794","0.191379089108656","0.210114022126932"
"Yes","2005","Single parent ","75","0.054920523013536","0.041487664192307","0.0683533818347651"
"Yes","2005","Couple + C. LE 16 ","140","0.0412227535128123","0.0348203954341553","0.0476251115914694"
"Yes","2005","Couple + C. GT 16 ","322","0.0889270651253581","0.0796828153229994","0.0981713149277168"
"Yes","2005","Couple + C. LE and GT 16","63","0.0469807630392907","0.0369222334708385","0.0570392926077428"
"No","2005","1-pers.-HH","2436","0.810907821011834","0.796772460829689","0.82504318119398"
"No","2005","(Married) couple without C. ","5724","0.799253444382206","0.789885977873068","0.808620910891344"
"No","2005","Single parent ","1030","0.945079476986464","0.931646618165235","0.958512335807693"
"No","2005","Couple + C. LE 16 ","3564","0.958777246487188","0.952374888408531","0.965179604565845"
"No","2005","Couple + C. GT 16 ","3320","0.911072934874642","0.901828685072283","0.920317184677001"
"No","2005","Couple + C. LE and GT 16","1637","0.953019236960709","0.942960707392257","0.963077766529161"
"Yes","2006","1-pers.-HH","610","0.197154114609733","0.183671657556862","0.210636571662604"
"Yes","2006","(Married) couple without C. ","1465","0.201291743644584","0.192425198667016","0.210158288622152"
"Yes","2006","Single parent ","97","0.075022527183252","0.0599216471224483","0.0901234072440558"
"Yes","2006","Couple + C. LE 16 ","134","0.0364201691665903","0.0305603019752506","0.0422800363579301"
"Yes","2006","Couple + C. GT 16 ","304","0.0878451430905077","0.0786832377412956","0.0970070484397198"
"Yes","2006","Couple + C. LE and GT 16","54","0.043185187552295","0.032881116499984","0.0534892586046059"
"No","2006","1-pers.-HH","2735","0.802845885390267","0.789363428337396","0.816328342443138"
"No","2006","(Married) couple without C. ","6391","0.798708256355416","0.789841711377848","0.807574801332985"
"No","2006","Single parent ","1072","0.924977472816748","0.909876592755944","0.940078352877552"
"No","2006","Couple + C. LE 16 ","3792","0.96357983083341","0.95771996364207","0.969439698024749"
"No","2006","Couple + C. GT 16 ","3363","0.912154856909492","0.90299295156028","0.921316762258704"
"No","2006","Couple + C. LE and GT 16","1441","0.956814812447705","0.946510741395394","0.967118883500016"
"Yes","2007","1-pers.-HH","583","0.199119742168933","0.185191927380976","0.213047556956889"
"Yes","2007","(Married) couple without C. ","1361","0.19464105000938","0.185591483585465","0.203690616433295"
"Yes","2007","Single parent ","82","0.0655596970826181","0.0508728029075594","0.0802465912576768"
"Yes","2007","Couple + C. LE 16 ","129","0.0413714071889378","0.0348487993770127","0.0478940150008629"
"Yes","2007","Couple + C. GT 16 ","304","0.0862016999462461","0.0769418201312901","0.0954615797612022"
"Yes","2007","Couple + C. LE and GT 16","55","0.0503477655644302","0.0386314129910991","0.0620641181377614"
"No","2007","1-pers.-HH","2575","0.800880257831067","0.786952443043111","0.814808072619023"
"No","2007","(Married) couple without C. ","5992","0.80535894999062","0.796309383566705","0.814408516414535"
"No","2007","Single parent ","1009","0.934440302917382","0.919753408742323","0.949127197092441"
"No","2007","Couple + C. LE 16 ","3452","0.958628592811062","0.952105984999137","0.965151200622987"
"No","2007","Couple + C. GT 16 ","3225","0.913798300053754","0.904538420238798","0.92305817986871"
"No","2007","Couple + C. LE and GT 16","1283","0.94965223443557","0.937935881862239","0.961368587008901"
"Yes","2008","1-pers.-HH","551","0.196862945836882","0.182709561049312","0.211016330624451"
"Yes","2008","(Married) couple without C. ","1293","0.190123457958865","0.180964417110502","0.199282498807227"
"Yes","2008","Single parent ","78","0.071301897896465","0.0559761496677447","0.0866276461251853"
"Yes","2008","Couple + C. LE 16 ","120","0.0427982185471824","0.0357985912220445","0.0497978458723203"
"Yes","2008","Couple + C. GT 16 ","300","0.0903272563109726","0.0806334332230692","0.100021079398876"
"Yes","2008","Couple + C. LE and GT 16","50","0.0401383122355766","0.0290878444377613","0.0511887800333919"
"No","2008","1-pers.-HH","2481","0.803137054163119","0.788983669375549","0.817290438950688"
"No","2008","(Married) couple without C. ","5758","0.809876542041135","0.800717501192773","0.819035582889498"
"No","2008","Single parent ","1005","0.928698102103535","0.913372353874815","0.944023850332255"
"No","2008","Couple + C. LE 16 ","3092","0.957201781452818","0.95020215412768","0.964201408777955"
"No","2008","Couple + C. GT 16 ","3059","0.909672743689027","0.899978920601124","0.919366566776931"
"No","2008","Couple + C. LE and GT 16","1162","0.959861687764423","0.948811219966608","0.970912155562239"
"Yes","2009","1-pers.-HH","532","0.191546443087461","0.17721175026378","0.205881135911141"
"Yes","2009","(Married) couple without C. ","1232","0.186784269172322","0.177413534685181","0.196155003659463"
"Yes","2009","Single parent ","74","0.0661156110834891","0.0506292810207196","0.0816019411462587"
"Yes","2009","Couple + C. LE 16 ","118","0.0509291524386922","0.0428561625694555","0.0590021423079288"
"Yes","2009","Couple + C. GT 16 ","290","0.0965691804442132","0.0862576836656318","0.106880677222794"
"Yes","2009","Couple + C. LE and GT 16","50","0.0434850541463976","0.0318485380347677","0.0551215702580275"
"No","2009","1-pers.-HH","2363","0.808453556912539","0.794118864088859","0.82278824973622"
"No","2009","(Married) couple without C. ","5413","0.813215730827678","0.803844996340537","0.822586465314819"
"No","2009","Single parent ","915","0.933884388916511","0.918398058853741","0.94937071897928"
"No","2009","Couple + C. LE 16 ","2731","0.949070847561308","0.940997857692071","0.957143837430545"
"No","2009","Couple + C. GT 16 ","2862","0.903430819555787","0.893119322777206","0.913742316334368"
"No","2009","Couple + C. LE and GT 16","1130","0.956514945853602","0.944878429741972","0.968151461965232"
"Yes","2010","1-pers.-HH","518","0.186407167092802","0.171844074138717","0.200970260046886"
"Yes","2010","(Married) couple without C. ","1183","0.189114330300488","0.17944524517991","0.198783415421067"
"Yes","2010","Single parent ","130","0.0722497795030163","0.0616133526377044","0.0828862063683282"
"Yes","2010","Couple + C. LE 16 ","242","0.0429976724615785","0.0384892872959733","0.0475060576271837"
"Yes","2010","Couple + C. GT 16 ","263","0.092447806616236","0.0818763562713345","0.103019256961137"
