"plh0206i06","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2005","Couple + C. LE 16 ","East Germany","187","0.23391723755371","0.202422549273541","0.26541192583388","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","East Germany","273","0.242798329631175","0.21686357936085","0.2687330799015","6"
"6 on scale 1-7","2005","(Married) couple without C. ","West Germany","1384","0.255721319445561","0.243922542521427","0.267520096369695","6"
"6 on scale 1-7","2005","(Married) couple without C. ","East Germany","480","0.240454097441673","0.22045996179129","0.260448233092056","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","West Germany","708","0.260710440620796","0.243796201996036","0.277624679245556","6"
"6 on scale 1-7","2005","Single parent ","West Germany","198","0.233658521520756","0.20416940050419","0.263147642537322","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","West Germany","819","0.258473786677711","0.242828602438183","0.274118970917238","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","West Germany","266","0.192072550354469","0.17090951796387","0.213235582745068","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","East Germany","90","0.272814876793471","0.227613653087302","0.31801610049964","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","East Germany","138","0.19901979813791","0.169314946522209","0.22872464975361","7"
"7 Strongly agree","2005","1-pers.-HH","West Germany","569","0.256285153797923","0.238152852269396","0.274417455326451","7"
"7 Strongly agree","2005","(Married) couple without C. ","West Germany","1374","0.269970424012762","0.257963989560147","0.281976858465377","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","West Germany","577","0.204930306655287","0.189378829397288","0.220481783913286","7"
"7 Strongly agree","2005","Single parent ","West Germany","175","0.218150755250003","0.189370163427342","0.246931347072664","7"
"7 Strongly agree","2005","Single parent ","East Germany","78","0.284316876577968","0.233692477722909","0.334941275433028","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","West Germany","652","0.219801715103269","0.205002890969774","0.234600539236763","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","East Germany","219","0.210771921506298","0.186102379728851","0.235441463283745","7"
"7 Strongly agree","2005","1-pers.-HH","East Germany","201","0.277351886042666","0.24480871385208","0.309895058233252","7"
"7 Strongly agree","2005","(Married) couple without C. ","East Germany","458","0.275507469001152","0.254605212376338","0.296409725625967","7"
"1 Strongly disagree","2006","1-pers.-HH","West Germany","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","East Germany","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","West Germany","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","East Germany","","","","","1"
"1 Strongly disagree","2006","Single parent ","West Germany","","","","","1"
"1 Strongly disagree","2006","Single parent ","East Germany","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","West Germany","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","East Germany","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","West Germany","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","East Germany","","","","","1"
