"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","66 and older","Rural Area","268","0.193390544843835","0.173396689421977","0.213384400265692"
"Very rare","2007","66 and older","Urban Area","586","0.20760592000665","0.192810912938934","0.222400927074365"
"Often","2008","16-34 y.","Rural Area","324","0.233071962210873","0.211422276177912","0.254721648243834"
"Often","2008","16-34 y.","Urban Area","614","0.211431597324943","0.196580641165557","0.226282553484329"
"Often","2008","35-65 y.","Rural Area","710","0.205531370958746","0.192356952525139","0.218705789392354"
"Often","2008","35-65 y.","Urban Area","1449","0.218861115518096","0.209213561081299","0.228508669954894"
"Often","2008","66 and older","Rural Area","147","0.0959245190091811","0.0809111543031813","0.110937883715181"
"Often","2008","66 and older","Urban Area","304","0.107433649210699","0.0960906517214495","0.118776646699949"
"Rarely","2008","16-34 y.","Rural Area","298","0.205588386268777","0.184894056766437","0.226282715771116"
"Rarely","2008","16-34 y.","Urban Area","686","0.227453504741598","0.212207416998024","0.242699592485171"
"Rarely","2008","35-65 y.","Rural Area","801","0.207672616547398","0.194447607824148","0.220897625270648"
"Rarely","2008","35-65 y.","Urban Area","1590","0.216883613526029","0.20726759412314","0.226499632928917"
"Rarely","2008","66 and older","Rural Area","480","0.335549622490207","0.311477159508965","0.35962208547145"
"Rarely","2008","66 and older","Urban Area","897","0.29974548695257","0.282963564816939","0.316527409088201"
"Sometimes","2008","16-34 y.","Rural Area","662","0.454206985984845","0.428711096394196","0.479702875575494"
"Sometimes","2008","16-34 y.","Urban Area","1227","0.432735548337021","0.414715586954116","0.450755509719927"
"Sometimes","2008","35-65 y.","Rural Area","1656","0.459218954774609","0.44297189979135","0.475466009757868"
"Sometimes","2008","35-65 y.","Urban Area","3073","0.429748944596472","0.418198219092793","0.44129967010015"
"Sometimes","2008","66 and older","Rural Area","557","0.379385989085564","0.354648118908925","0.404123859262202"
"Sometimes","2008","66 and older","Urban Area","1084","0.386232758732269","0.368398140281438","0.404067377183101"
"Very often","2008","16-34 y.","Rural Area","83","0.0472924552913114","0.0364230692924155","0.0581618412902072"
"Very often","2008","16-34 y.","Urban Area","149","0.0532107568190941","0.0450472612655072","0.061374252372681"
"Very often","2008","35-65 y.","Rural Area","192","0.0520052647210161","0.0447662304054269","0.0592442990366053"
"Very often","2008","35-65 y.","Urban Area","336","0.0520116931527264","0.0468306072728477","0.0571927790326051"
"Very often","2008","66 and older","Rural Area","28","","",""
"Very often","2008","66 and older","Urban Area","66","0.0210359262870183","0.0157793664281968","0.0262924861458399"
"Very rare","2008","16-34 y.","Rural Area","98","0.0598402102441942","0.0476943950059523","0.071986025482436"
"Very rare","2008","16-34 y.","Urban Area","228","0.0751685927773433","0.0655790195474947","0.0847581660071918"
"Very rare","2008","35-65 y.","Rural Area","255","0.0755717929982307","0.0669545076464281","0.0841890783500332"
"Very rare","2008","35-65 y.","Urban Area","608","0.0824946332066771","0.0760753585260324","0.0889139078873217"
"Very rare","2008","66 and older","Rural Area","266","0.175851775897158","0.156443501806524","0.195260049987792"
"Very rare","2008","66 and older","Urban Area","512","0.185552178817443","0.171312438181513","0.199791919453373"
"Often","2009","16-34 y.","Rural Area","315","0.213446269994547","0.191605485804111","0.235287054184982"
"Often","2009","16-34 y.","Urban Area","624","0.247608482268714","0.231159464971532","0.264057499565895"
"Often","2009","35-65 y.","Rural Area","677","0.200054733499312","0.186698161586587","0.213411305412037"
"Often","2009","35-65 y.","Urban Area","1317","0.216152213161892","0.206092843111408","0.226211583212376"
"Often","2009","66 and older","Rural Area","136","0.0961672663906965","0.0809187166912732","0.11141581609012"
"Often","2009","66 and older","Urban Area","275","0.0911241852254563","0.0803603528193099","0.101888017631603"
"Rarely","2009","16-34 y.","Rural Area","292","0.225915812751305","0.203624935612153","0.248206689890457"
"Rarely","2009","16-34 y.","Urban Area","616","0.228806380742278","0.212797866290703","0.244814895193854"
"Rarely","2009","35-65 y.","Rural Area","815","0.228194549749599","0.214182650409878","0.24220644908932"
"Rarely","2009","35-65 y.","Urban Area","1506","0.227024590402773","0.216787079846495","0.237262100959051"
"Rarely","2009","66 and older","Rural Area","464","0.316601884858392","0.29254360860589","0.340660161110895"
"Rarely","2009","66 and older","Urban Area","922","0.32524731809981","0.307725587593893","0.342769048605727"
"Sometimes","2009","16-34 y.","Rural Area","611","0.459435404841956","0.432871264018935","0.485999545664977"
"Sometimes","2009","16-34 y.","Urban Area","1088","0.412286553357618","0.393527209166241","0.431045897548995"
"Sometimes","2009","35-65 y.","Rural Area","1553","0.459350451044353","0.442711710465248","0.475989191623459"
"Sometimes","2009","35-65 y.","Urban Area","2743","0.425904811993098","0.413820461863904","0.437989162122293"
"Sometimes","2009","66 and older","Rural Area","525","0.375553895022616","0.350506965897162","0.40060082414807"
"Sometimes","2009","66 and older","Urban Area","937","0.343304451571898","0.32554540777938","0.361063495364416"
"Very often","2009","16-34 y.","Rural Area","61","0.0422887807203265","0.0315615007698959","0.0530160606707571"
"Very often","2009","16-34 y.","Urban Area","134","0.0534721334457603","0.0448984842225162","0.0620457826690044"
"Very often","2009","35-65 y.","Rural Area","147","0.040023012740714","0.033478523559222","0.046567501922206"
"Very often","2009","35-65 y.","Urban Area","324","0.0516312995476324","0.046223504703031","0.0570390943922338"
"Very often","2009","66 and older","Rural Area","23","","",""
"Very often","2009","66 and older","Urban Area","46","0.016834340655757","0.0120225222329367","0.0216461590785773"
"Very rare","2009","16-34 y.","Rural Area","73","0.0589137316918658","0.0463626045273797","0.0714648588563519"
"Very rare","2009","16-34 y.","Urban Area","183","0.0578264501856296","0.0489310810848336","0.0667218192864257"
"Very rare","2009","35-65 y.","Rural Area","254","0.0723772529660219","0.0637260361337444","0.0810284697982994"
"Very rare","2009","35-65 y.","Urban Area","542","0.0792870848946042","0.0726841287001633","0.0858900410890452"
"Very rare","2009","66 and older","Rural Area","288","0.200569039543543","0.179858410004322","0.221279669082764"
"Very rare","2009","66 and older","Urban Area","566","0.223489704447079","0.207908529844003","0.239070879050155"
"Often","2010","16-34 y.","Rural Area","270","0.222039828364043","0.198235070588075","0.245844586140012"
"Often","2010","16-34 y.","Urban Area","558","0.238703744990994","0.221687804860586","0.255719685121402"
"Often","2010","35-65 y.","Rural Area","552","0.185428806143773","0.171789460708138","0.199068151579409"
"Often","2010","35-65 y.","Urban Area","1102","0.187478755441332","0.177568354269425","0.19738915661324"
"Often","2010","66 and older","Rural Area","104","0.0810997101637203","0.0666336959446048","0.0955657243828358"
"Often","2010","66 and older","Urban Area","218","0.0776970686339493","0.0675355848143766","0.087858552453522"
"Rarely","2010","16-34 y.","Rural Area","255","0.223786009663732","0.199914667230414","0.247657352097051"
"Rarely","2010","16-34 y.","Urban Area","585","0.255682353613411","0.238269136247898","0.273095570978923"
