"m11124","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Disabled","1985","Saxony-Anhalt","Urban Area","","","","","1"
"Disabled","1985","Saxony-Anhalt","Rural Area","","","","","1"
"Disabled","1985","Thuringia","Urban Area","","","","","1"
"Disabled","1985","Thuringia","Rural Area","","","","","1"
"Not disabled","1985","Schleswig-Holstein","Urban Area","153","0.893213537401668","0.846372597184202","0.940054477619134","0"
"Not disabled","1985","Schleswig-Holstein","Rural Area","172","0.924919720547025","0.88684347320034","0.96299596789371","0"
"Not disabled","1985","Hamburg","Urban Area","257","0.92990104461921","0.899725446650682","0.960076642587738","0"
"Not disabled","1985","Hamburg","Rural Area","5","","","","0"
"Not disabled","1985","Lower Saxony","Urban Area","521","0.887597662280629","0.861869749435729","0.913325575125528","0"
"Not disabled","1985","Lower Saxony","Rural Area","482","0.910716106438007","0.8862541657555","0.935178047120514","0"
"Not disabled","1985","Bremen","Urban Area","98","0.825904810006585","0.756600929159089","0.89520869085408","0"
"Not disabled","1985","Bremen","Rural Area","","","","","0"
"Not disabled","1985","North Rhine-Westphalia","Urban Area","2604","0.865741461557926","0.853318105277219","0.878164817838632","0"
"Not disabled","1985","North Rhine-Westphalia","Rural Area","67","0.913014596331102","0.848367546164483","0.97766164649772","0"
"Not disabled","1985","Hesse","Urban Area","905","0.896196461922844","0.877071151192991","0.915321772652696","0"
"Not disabled","1985","Hesse","Rural Area","138","0.875920745815091","0.823852886341857","0.927988605288324","0"
"Not disabled","1985","Rhineland-Palatinate,Saarland","Urban Area","576","0.888485794437049","0.863945492972142","0.913026095901956","0"
"Not disabled","1985","Rhineland-Palatinate,Saarland","Rural Area","130","0.923578313820913","0.879570555743715","0.96758607189811","0"
"Not disabled","1985","Baden-Württemberg","Urban Area","1649","0.917182658645384","0.904299355814733","0.930065961476034","0"
"Not disabled","1985","Baden-Württemberg","Rural Area","281","0.92254761146437","0.892198096056124","0.952897126872616","0"
"Not disabled","1985","Bavaria","Urban Area","925","0.885868538407403","0.866278054519946","0.90545902229486","0"
"Not disabled","1985","Bavaria","Rural Area","828","0.905716249691142","0.886571438938173","0.924861060444111","0"
"Not disabled","1985","Berlin","Urban Area","320","0.839956377652931","0.802342404435547","0.877570350870315","0"
"Not disabled","1985","Berlin","Rural Area","","","","","0"
"Not disabled","1985","Brandenburg","Urban Area","","","","","0"
"Not disabled","1985","Brandenburg","Rural Area","","","","","0"
"Not disabled","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Not disabled","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Not disabled","1985","Saxony","Urban Area","","","","","0"
"Not disabled","1985","Saxony","Rural Area","","","","","0"
"Not disabled","1985","Saxony-Anhalt","Urban Area","","","","","0"
"Not disabled","1985","Saxony-Anhalt","Rural Area","","","","","0"
"Not disabled","1985","Thuringia","Urban Area","","","","","0"
"Not disabled","1985","Thuringia","Rural Area","","","","","0"
"Disabled","1986","Hamburg","Urban Area","","","","","1"
"Disabled","1986","Schleswig-Holstein","Urban Area","","","","","1"
"Disabled","1986","Schleswig-Holstein","Rural Area","","","","","1"
"Disabled","1986","Hamburg","Rural Area","","","","","1"
"Disabled","1986","Lower Saxony","Urban Area","","","","","1"
"Disabled","1986","Lower Saxony","Rural Area","2","","","","1"
"Disabled","1986","Bremen","Urban Area","","","","","1"
"Disabled","1986","North Rhine-Westphalia","Urban Area","","","","","1"
"Disabled","1986","Bremen","Rural Area","","","","","1"
"Disabled","1986","Baden-Württemberg","Urban Area","3","","","","1"
"Disabled","1986","North Rhine-Westphalia","Rural Area","1","","","","1"
"Disabled","1986","Baden-Württemberg","Rural Area","","","","","1"
"Disabled","1986","Bavaria","Urban Area","","","","","1"
"Disabled","1986","Bavaria","Rural Area","","","","","1"
"Disabled","1986","Hesse","Urban Area","","","","","1"
"Disabled","1986","Hesse","Rural Area","","","","","1"
"Disabled","1986","Rhineland-Palatinate,Saarland","Urban Area","","","","","1"
"Disabled","1986","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Disabled","1986","Berlin","Urban Area","2","","","","1"
"Disabled","1986","Berlin","Rural Area","","","","","1"
"Disabled","1986","Brandenburg","Urban Area","","","","","1"
"Disabled","1986","Brandenburg","Rural Area","","","","","1"
"Disabled","1986","Saxony","Urban Area","","","","","1"
"Disabled","1986","Saxony","Rural Area","","","","","1"
"Disabled","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Disabled","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Disabled","1986","Saxony-Anhalt","Urban Area","","","","","1"
"Disabled","1986","Saxony-Anhalt","Rural Area","","","","","1"
"Disabled","1986","Thuringia","Urban Area","","","","","1"
"Disabled","1986","Thuringia","Rural Area","","","","","1"
"Not disabled","1986","Hesse","Urban Area","910","1","1","1","0"
"Not disabled","1986","Hesse","Rural Area","143","1","1","1","0"
"Not disabled","1986","Rhineland-Palatinate,Saarland","Urban Area","626","1","1","1","0"
"Not disabled","1986","Rhineland-Palatinate,Saarland","Rural Area","146","1","1","1","0"
"Not disabled","1986","Baden-Württemberg","Urban Area","1702","0.998971121818058","0.997449368192283","1.00049287544383","0"
"Not disabled","1986","Baden-Württemberg","Rural Area","302","1","1","1","0"
"Not disabled","1986","Bavaria","Urban Area","956","1","1","1","0"
"Not disabled","1986","Bavaria","Rural Area","830","1","1","1","0"
"Not disabled","1986","Berlin","Urban Area","353","0.998446107669188","0.994348723451854","1.00254349188652","0"
"Not disabled","1986","Schleswig-Holstein","Urban Area","155","1","1","1","0"
"Not disabled","1986","Schleswig-Holstein","Rural Area","169","1","1","1","0"
"Not disabled","1986","Hamburg","Urban Area","250","1","1","1","0"
"Not disabled","1986","Hamburg","Rural Area","6","","","","0"
"Not disabled","1986","Lower Saxony","Urban Area","591","1","1","1","0"
"Not disabled","1986","Lower Saxony","Rural Area","518","0.998552380432567","0.99528455335343","1.0018202075117","0"
"Not disabled","1986","Bremen","Urban Area","109","1","1","1","0"
"Not disabled","1986","Bremen","Rural Area","","","","","0"
"Not disabled","1986","North Rhine-Westphalia","Urban Area","2801","1","1","1","0"
"Not disabled","1986","North Rhine-Westphalia","Rural Area","68","0.995324691785492","0.979228947714849","1.01142043585613","0"
"Not disabled","1986","Berlin","Rural Area","","","","","0"
"Not disabled","1986","Brandenburg","Urban Area","","","","","0"
"Not disabled","1986","Brandenburg","Rural Area","","","","","0"
"Not disabled","1986","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Not disabled","1986","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Not disabled","1986","Saxony","Urban Area","","","","","0"
"Not disabled","1986","Saxony","Rural Area","","","","","0"
"Not disabled","1986","Saxony-Anhalt","Urban Area","","","","","0"
"Not disabled","1986","Saxony-Anhalt","Rural Area","","","","","0"
"Not disabled","1986","Thuringia","Urban Area","","","","","0"
"Not disabled","1986","Thuringia","Rural Area","","","","","0"
"Disabled","1987","Schleswig-Holstein","Urban Area","17","","","","1"
"Disabled","1987","Schleswig-Holstein","Rural Area","15","","","","1"
"Disabled","1987","Hamburg","Urban Area","17","","","","1"
"Disabled","1987","Lower Saxony","Urban Area","67","0.130274643439751","0.10309076270014","0.157458524179362","1"
"Disabled","1987","Hamburg","Rural Area","1","","","","1"
"Disabled","1987","Lower Saxony","Rural Area","42","0.0987712514356407","0.073028436364778","0.124514066506503","1"
"Disabled","1987","Bremen","Urban Area","9","","","","1"
"Disabled","1987","North Rhine-Westphalia","Rural Area","10","","","","1"
"Disabled","1987","Bremen","Rural Area","","","","","1"
"Disabled","1987","North Rhine-Westphalia","Urban Area","276","0.134169804294954","0.121451886960347","0.146887721629561","1"
"Disabled","1987","Baden-Württemberg","Urban Area","113","0.0882951659738427","0.0747401003200259","0.101850231627659","1"
"Disabled","1987","Baden-Württemberg","Rural Area","16","","","","1"
"Disabled","1987","Bavaria","Rural Area","57","0.0863697576174914","0.066988702907584","0.105750812327399","1"
"Disabled","1987","Bavaria","Urban Area","65","0.104335175347504","0.0845710104012145","0.124099340293793","1"
"Disabled","1987","Hesse","Urban Area","63","0.0955343793230181","0.0764357029397286","0.114633055706308","1"
"Disabled","1987","Hesse","Rural Area","15","","","","1"
"Disabled","1987","Rhineland-Palatinate,Saarland","Urban Area","56","0.106349119515967","0.0821801031677065","0.130518135864228","1"
"Disabled","1987","Rhineland-Palatinate,Saarland","Rural Area","10","","","","1"
"Disabled","1987","Berlin","Urban Area","47","0.166901752481252","0.128329107009971","0.205474397952533","1"
"Disabled","1987","Berlin","Rural Area","","","","","1"
"Disabled","1987","Brandenburg","Urban Area","","","","","1"
"Disabled","1987","Brandenburg","Rural Area","","","","","1"
"Disabled","1987","Saxony","Urban Area","","","","","1"
"Disabled","1987","Saxony","Rural Area","","","","","1"
"Disabled","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Disabled","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Disabled","1987","Saxony-Anhalt","Urban Area","","","","","1"
"Disabled","1987","Saxony-Anhalt","Rural Area","","","","","1"
"Disabled","1987","Thuringia","Urban Area","","","","","1"
"Disabled","1987","Thuringia","Rural Area","","","","","1"
"Not disabled","1987","Hesse","Urban Area","847","0.904465620676982","0.885366944293692","0.923564297060271","0"
"Not disabled","1987","Hesse","Rural Area","130","0.872729749967451","0.818483786284208","0.926975713650694","0"
"Not disabled","1987","Rhineland-Palatinate,Saarland","Urban Area","569","0.893650880484033","0.869481864135772","0.917819896832293","0"
"Not disabled","1987","Rhineland-Palatinate,Saarland","Rural Area","134","0.918320334862038","0.873588066685304","0.963052603038772","0"
"Not disabled","1987","Baden-Württemberg","Urban Area","1570","0.911704834026157","0.898149768372341","0.925259899679974","0"
"Not disabled","1987","Baden-Württemberg","Rural Area","272","0.924709771030431","0.894236162836635","0.955183379224227","0"
"Not disabled","1987","Bavaria","Urban Area","854","0.895664824652496","0.875900659706207","0.915428989598786","0"
"Not disabled","1987","Bavaria","Rural Area","750","0.913630242382509","0.894249187672601","0.933011297092416","0"
"Not disabled","1987","Berlin","Urban Area","312","0.833098247518748","0.794525602047467","0.871670892990029","0"
"Not disabled","1987","Schleswig-Holstein","Urban Area","132","0.873266131487502","0.819849732005837","0.926682530969167","0"
"Not disabled","1987","Schleswig-Holstein","Rural Area","162","0.895441076533682","0.850363504522225","0.94051864854514","0"
"Not disabled","1987","Hamburg","Urban Area","203","0.908138357788674","0.869972075073858","0.94630464050349","0"
"Not disabled","1987","Hamburg","Rural Area","3","","","","0"
"Not disabled","1987","Lower Saxony","Urban Area","522","0.869725356560249","0.842541475820638","0.89690923729986","0"
"Not disabled","1987","Lower Saxony","Rural Area","474","0.901228748564359","0.875485933493497","0.926971563635222","0"
"Not disabled","1987","Bremen","Urban Area","92","0.895311371344991","0.835604514409272","0.955018228280711","0"
"Not disabled","1987","Bremen","Rural Area","","","","","0"
"Not disabled","1987","North Rhine-Westphalia","Urban Area","2483","0.865830195705046","0.853112278370439","0.878548113039653","0"
"Not disabled","1987","North Rhine-Westphalia","Rural Area","60","0.876938767529277","0.799982439706004","0.953895095352549","0"
"Not disabled","1987","Berlin","Rural Area","","","","","0"
"Not disabled","1987","Brandenburg","Urban Area","","","","","0"
"Not disabled","1987","Brandenburg","Rural Area","","","","","0"
"Not disabled","1987","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Not disabled","1987","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Not disabled","1987","Saxony","Urban Area","","","","","0"
"Not disabled","1987","Saxony","Rural Area","","","","","0"
"Not disabled","1987","Saxony-Anhalt","Urban Area","","","","","0"
"Not disabled","1987","Saxony-Anhalt","Rural Area","","","","","0"
"Not disabled","1987","Thuringia","Urban Area","","","","","0"
"Not disabled","1987","Thuringia","Rural Area","","","","","0"
"Disabled","1988","Schleswig-Holstein","Rural Area","19","","","","1"
"Disabled","1988","Schleswig-Holstein","Urban Area","20","","","","1"
"Disabled","1988","Hamburg","Urban Area","14","","","","1"
"Disabled","1988","Hamburg","Rural Area","","","","","1"
"Disabled","1988","Lower Saxony","Rural Area","37","0.082637467573823","0.0578769176906491","0.107398017456997","1"
"Disabled","1988","Lower Saxony","Urban Area","61","0.125777734709571","0.0985555184914634","0.15299995092768","1"
"Disabled","1988","Bremen","Urban Area","11","","","","1"
"Disabled","1988","Bremen","Rural Area","","","","","1"
"Disabled","1988","North Rhine-Westphalia","Urban Area","294","0.149459615557293","0.135812491252917","0.163106739861669","1"
"Disabled","1988","North Rhine-Westphalia","Rural Area","9","","","","1"
"Disabled","1988","Baden-Württemberg","Urban Area","125","0.0942051589051112","0.0800889718522265","0.108321345957996","1"
"Disabled","1988","Bavaria","Rural Area","56","0.0939211741150965","0.0732491919919825","0.11459315623821","1"
"Disabled","1988","Baden-Württemberg","Rural Area","18","","","","1"
"Disabled","1988","Bavaria","Urban Area","72","0.115887273343948","0.0948105583197611","0.136963988368134","1"
"Disabled","1988","Hesse","Urban Area","73","0.11572787952333","0.0943103366850428","0.137145422361618","1"
"Disabled","1988","Hesse","Rural Area","18","","","","1"
"Disabled","1988","Rhineland-Palatinate,Saarland","Urban Area","71","0.147568499251862","0.119353481950937","0.175783516552787","1"
"Disabled","1988","Rhineland-Palatinate,Saarland","Rural Area","14","","","","1"
"Disabled","1988","Berlin","Urban Area","43","0.160074314061934","0.120632189048751","0.199516439075118","1"
"Disabled","1988","Berlin","Rural Area","","","","","1"
"Disabled","1988","Brandenburg","Urban Area","","","","","1"
"Disabled","1988","Brandenburg","Rural Area","","","","","1"
"Disabled","1988","Saxony","Urban Area","","","","","1"
"Disabled","1988","Saxony","Rural Area","","","","","1"
"Disabled","1988","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Disabled","1988","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Disabled","1988","Saxony-Anhalt","Urban Area","","","","","1"
"Disabled","1988","Saxony-Anhalt","Rural Area","","","","","1"
"Disabled","1988","Thuringia","Urban Area","","","","","1"
"Disabled","1988","Thuringia","Rural Area","","","","","1"
"Not disabled","1988","Hesse","Urban Area","784","0.88427212047667","0.862854577638382","0.905689663314957","0"
"Not disabled","1988","Hesse","Rural Area","124","0.825990113718102","0.763634105578357","0.888346121857847","0"
"Not disabled","1988","Rhineland-Palatinate,Saarland","Urban Area","536","0.852431500748138","0.824216483447213","0.880646518049063","0"
"Not disabled","1988","Rhineland-Palatinate,Saarland","Rural Area","117","0.875316456598462","0.818744713822852","0.931888199374071","0"
"Not disabled","1988","Baden-Württemberg","Urban Area","1520","0.905794841094889","0.891678654042004","0.919911028147774","0"
"Not disabled","1988","Baden-Württemberg","Rural Area","233","0.913282032363547","0.878466885418893","0.948097179308202","0"
"Not disabled","1988","Bavaria","Urban Area","814","0.884112726656052","0.863036011631865","0.905189441680239","0"
"Not disabled","1988","Bavaria","Rural Area","709","0.906078825884904","0.88540684376179","0.926750808008018","0"
"Not disabled","1988","Berlin","Urban Area","289","0.839925685938066","0.800483560924882","0.879367810951249","0"
"Not disabled","1988","Berlin","Rural Area","","","","","0"
"Not disabled","1988","Brandenburg","Urban Area","","","","","0"
"Not disabled","1988","Schleswig-Holstein","Urban Area","126","0.845599816780354","0.786988968244407","0.904210665316301","0"
"Not disabled","1988","Schleswig-Holstein","Rural Area","159","0.880185060154607","0.832478228666453","0.927891891642761","0"
"Not disabled","1988","Hamburg","Urban Area","185","0.916104714502145","0.877586788895633","0.954622640108657","0"
"Not disabled","1988","Hamburg","Rural Area","4","","","","0"
"Not disabled","1988","Lower Saxony","Urban Area","509","0.874222265290428","0.84700004907232","0.901444481508537","0"
"Not disabled","1988","Lower Saxony","Rural Area","438","0.917362532426177","0.892601982543003","0.942123082309351","0"
"Not disabled","1988","Bremen","Urban Area","87","0.886894823017175","0.82418835277999","0.94960129325436","0"
"Not disabled","1988","Bremen","Rural Area","","","","","0"
"Not disabled","1988","North Rhine-Westphalia","Urban Area","2328","0.850540384442707","0.836893260138331","0.864187508747083","0"
"Not disabled","1988","North Rhine-Westphalia","Rural Area","62","0.890105831214761","0.817356825177025","0.962854837252498","0"
"Not disabled","1988","Brandenburg","Rural Area","","","","","0"
"Not disabled","1988","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Not disabled","1988","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Not disabled","1988","Saxony","Urban Area","","","","","0"
"Not disabled","1988","Saxony","Rural Area","","","","","0"
"Not disabled","1988","Saxony-Anhalt","Urban Area","","","","","0"
"Not disabled","1988","Saxony-Anhalt","Rural Area","","","","","0"
"Not disabled","1988","Thuringia","Urban Area","","","","","0"
"Not disabled","1988","Thuringia","Rural Area","","","","","0"
"Disabled","1989","Schleswig-Holstein","Rural Area","15","","","","1"
"Disabled","1989","Hamburg","Urban Area","18","","","","1"
"Disabled","1989","Schleswig-Holstein","Urban Area","22","","","","1"
"Disabled","1989","Hamburg","Rural Area","","","","","1"
"Disabled","1989","Lower Saxony","Urban Area","56","0.129535050273101","0.101446377932405","0.157623722613797","1"
"Disabled","1989","Lower Saxony","Rural Area","43","0.11316399622604","0.0838290781333695","0.142498914318711","1"
"Disabled","1989","Bavaria","Urban Area","67","0.111379514012599","0.0902796344909925","0.132479393534205","1"
"Disabled","1989","Bavaria","Rural Area","61","0.110044518086442","0.0877809098761334","0.132308126296751","1"
"Disabled","1989","Bremen","Urban Area","16","","","","1"
"Disabled","1989","North Rhine-Westphalia","Urban Area","289","0.155194417339076","0.141148855423437","0.169239979254715","1"
"Disabled","1989","Bremen","Rural Area","","","","","1"
"Disabled","1989","North Rhine-Westphalia","Rural Area","8","","","","1"
"Disabled","1989","Hesse","Urban Area","73","0.111691419256824","0.0906639846275471","0.1327188538861","1"
"Disabled","1989","Rhineland-Palatinate,Saarland","Urban Area","55","0.114049230089671","0.0881575767885652","0.139940883390778","1"
"Disabled","1989","Hesse","Rural Area","16","","","","1"
"Disabled","1989","Rhineland-Palatinate,Saarland","Rural Area","17","","","","1"
"Disabled","1989","Berlin","Rural Area","","","","","1"
"Disabled","1989","Brandenburg","Urban Area","","","","","1"
"Disabled","1989","Berlin","Urban Area","45","0.167767456509275","0.12726788558834","0.20826702743021","1"
"Disabled","1989","Brandenburg","Rural Area","","","","","1"
"Disabled","1989","Baden-Württemberg","Urban Area","126","0.0994438260074021","0.0846739598142134","0.114213692200591","1"
"Disabled","1989","Baden-Württemberg","Rural Area","20","","","","1"
"Disabled","1989","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Disabled","1989","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Disabled","1989","Saxony","Urban Area","","","","","1"
"Disabled","1989","Saxony","Rural Area","","","","","1"
"Disabled","1989","Saxony-Anhalt","Urban Area","","","","","1"
"Disabled","1989","Saxony-Anhalt","Rural Area","","","","","1"
"Disabled","1989","Thuringia","Urban Area","","","","","1"
"Disabled","1989","Thuringia","Rural Area","","","","","1"
"Not disabled","1989","Hesse","Urban Area","789","0.888308580743177","0.8672811461139","0.909336015372453","0"
"Not disabled","1989","Hesse","Rural Area","116","0.845327256625355","0.78364213065768","0.907012382593029","0"
"Not disabled","1989","Rhineland-Palatinate,Saarland","Urban Area","524","0.885950769910329","0.860059116609223","0.911842423211435","0"
"Not disabled","1989","Rhineland-Palatinate,Saarland","Rural Area","95","0.836424422495122","0.767921095650721","0.904927749339524","0"
"Not disabled","1989","Baden-Württemberg","Urban Area","1451","0.900556173992598","0.885786307799409","0.915326040185787","0"
"Not disabled","1989","Baden-Württemberg","Rural Area","220","0.897332388571074","0.858931977710342","0.935732799431806","0"
"Not disabled","1989","Bavaria","Urban Area","787","0.888620485987402","0.867520606465796","0.909720365509007","0"
"Not disabled","1989","Bavaria","Rural Area","698","0.889955481913558","0.867691873703249","0.912219090123867","0"
"Not disabled","1989","Berlin","Urban Area","282","0.832232543490725","0.79173297256979","0.87273211441166","0"
"Not disabled","1989","Schleswig-Holstein","Urban Area","128","0.817841085781147","0.75607328508194","0.879608886480354","0"
"Not disabled","1989","Berlin","Rural Area","","","","","0"
"Not disabled","1989","Brandenburg","Urban Area","","","","","0"
"Not disabled","1989","Schleswig-Holstein","Rural Area","139","0.880959127249895","0.829812893225139","0.932105361274651","0"
"Not disabled","1989","Hamburg","Urban Area","179","0.886317063427552","0.841991202973871","0.930642923881233","0"
"Not disabled","1989","Hamburg","Rural Area","","","","","0"
"Not disabled","1989","Lower Saxony","Urban Area","493","0.870464949726899","0.842376277386203","0.898553622067595","0"
"Not disabled","1989","Lower Saxony","Rural Area","405","0.88683600377396","0.857501085681289","0.91617092186663","0"
"Not disabled","1989","Bremen","Urban Area","90","0.852379750458031","0.784851625969867","0.919907874946196","0"
"Not disabled","1989","Bremen","Rural Area","","","","","0"
"Not disabled","1989","North Rhine-Westphalia","Urban Area","2264","0.844805582660924","0.830760020745285","0.858851144576563","0"
"Not disabled","1989","North Rhine-Westphalia","Rural Area","60","0.900109711024573","0.828840329004635","0.97137909304451","0"
"Not disabled","1989","Brandenburg","Rural Area","","","","","0"
"Not disabled","1989","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Not disabled","1989","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Not disabled","1989","Saxony","Urban Area","","","","","0"
"Not disabled","1989","Saxony","Rural Area","","","","","0"
"Not disabled","1989","Saxony-Anhalt","Urban Area","","","","","0"
"Not disabled","1989","Saxony-Anhalt","Rural Area","","","","","0"
"Not disabled","1989","Thuringia","Urban Area","","","","","0"
"Not disabled","1989","Thuringia","Rural Area","","","","","0"
"Disabled","1990","Schleswig-Holstein","Rural Area","","","","","1"
"Disabled","1990","Schleswig-Holstein","Urban Area","","","","","1"
"Disabled","1990","Hamburg","Urban Area","","","","","1"
"Disabled","1990","Bavaria","Urban Area","","","","","1"
"Disabled","1990","Hamburg","Rural Area","","","","","1"
"Disabled","1990","Lower Saxony","Urban Area","","","","","1"
"Disabled","1990","Lower Saxony","Rural Area","","","","","1"
"Disabled","1990","Bavaria","Rural Area","","","","","1"
"Disabled","1990","North Rhine-Westphalia","Urban Area","","","","","1"
"Disabled","1990","Bremen","Urban Area","","","","","1"
"Disabled","1990","Bremen","Rural Area","","","","","1"
"Disabled","1990","North Rhine-Westphalia","Rural Area","","","","","1"
"Disabled","1990","Hesse","Urban Area","","","","","1"
"Disabled","1990","Rhineland-Palatinate,Saarland","Urban Area","","","","","1"
"Disabled","1990","Hesse","Rural Area","","","","","1"
"Disabled","1990","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Disabled","1990","Brandenburg","Urban Area","","","","","1"
"Disabled","1990","Berlin","Urban Area","","","","","1"
"Disabled","1990","Berlin","Rural Area","","","","","1"
"Disabled","1990","Brandenburg","Rural Area","","","","","1"
"Disabled","1990","Baden-Württemberg","Urban Area","","","","","1"
"Disabled","1990","Baden-Württemberg","Rural Area","","","","","1"
"Disabled","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Disabled","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Disabled","1990","Saxony","Urban Area","","","","","1"
"Disabled","1990","Saxony","Rural Area","","","","","1"
"Disabled","1990","Saxony-Anhalt","Urban Area","","","","","1"
"Disabled","1990","Saxony-Anhalt","Rural Area","","","","","1"
"Disabled","1990","Thuringia","Urban Area","","","","","1"
"Disabled","1990","Thuringia","Rural Area","","","","","1"
"Not disabled","1990","Hesse","Urban Area","","","","","0"
"Not disabled","1990","Hesse","Rural Area","","","","","0"
"Not disabled","1990","Rhineland-Palatinate,Saarland","Urban Area","","","","","0"
"Not disabled","1990","Rhineland-Palatinate,Saarland","Rural Area","","","","","0"
"Not disabled","1990","Baden-Württemberg","Urban Area","","","","","0"
"Not disabled","1990","Baden-Württemberg","Rural Area","","","","","0"
"Not disabled","1990","Bavaria","Urban Area","","","","","0"
"Not disabled","1990","Bavaria","Rural Area","","","","","0"
"Not disabled","1990","Berlin","Urban Area","","","","","0"
"Not disabled","1990","Berlin","Rural Area","","","","","0"
"Not disabled","1990","Brandenburg","Urban Area","","","","","0"
"Not disabled","1990","Schleswig-Holstein","Urban Area","","","","","0"
"Not disabled","1990","Brandenburg","Rural Area","","","","","0"
"Not disabled","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Not disabled","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Not disabled","1990","Schleswig-Holstein","Rural Area","","","","","0"
"Not disabled","1990","Hamburg","Urban Area","","","","","0"
"Not disabled","1990","Hamburg","Rural Area","","","","","0"
"Not disabled","1990","Lower Saxony","Urban Area","","","","","0"
"Not disabled","1990","Lower Saxony","Rural Area","","","","","0"
"Not disabled","1990","Bremen","Urban Area","","","","","0"
"Not disabled","1990","Bremen","Rural Area","","","","","0"
"Not disabled","1990","North Rhine-Westphalia","Urban Area","","","","","0"
"Not disabled","1990","North Rhine-Westphalia","Rural Area","","","","","0"
"Not disabled","1990","Saxony","Urban Area","","","","","0"
"Not disabled","1990","Saxony","Rural Area","","","","","0"
"Not disabled","1990","Saxony-Anhalt","Urban Area","","","","","0"
"Not disabled","1990","Saxony-Anhalt","Rural Area","","","","","0"
"Not disabled","1990","Thuringia","Urban Area","","","","","0"
"Not disabled","1990","Thuringia","Rural Area","","","","","0"
"Disabled","1991","Schleswig-Holstein","Urban Area","21","","","","1"
"Disabled","1991","Schleswig-Holstein","Rural Area","14","","","","1"
"Disabled","1991","Hamburg","Urban Area","17","","","","1"
"Disabled","1991","Lower Saxony","Urban Area","59","0.141248679758293","0.111485376704793","0.171011982811792","1"
"Disabled","1991","Hamburg","Rural Area","","","","","1"
