"m11124","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Not disabled","1988","vocational + Abi","East Germany","","","","","0"
"Not disabled","1988","higher vocational","West Germany","470","0.854983669092812","0.82525735416471","0.884709984020914","0"
"Not disabled","1988","higher vocational","East Germany","","","","","0"
"Not disabled","1988","higher education","West Germany","647","0.909052784378072","0.887752356601284","0.93035321215486","0"
"Not disabled","1988","higher education","East Germany","","","","","0"
"Disabled","1989","inadequately","West Germany","68","0.164190548531897","0.135885568030229","0.192495529033565","1"
"Disabled","1989","higher vocational","East Germany","","","","","1"
"Disabled","1989","higher education","West Germany","55","0.0935615746145677","0.0718951988587394","0.115227950370396","1"
"Disabled","1989","in school","East Germany","","","","","1"
"Disabled","1989","inadequately","East Germany","","","","","1"
"Disabled","1989","higher vocational","West Germany","66","0.144476017421393","0.114141491278774","0.174810543564011","1"
"Disabled","1989","higher education","East Germany","","","","","1"
"Disabled","1989","general elemantary","West Germany","231","0.129422954601021","0.116460584338007","0.142385324864035","1"
"Disabled","1989","general elemantary","East Germany","","","","","1"
"Disabled","1989","in school","West Germany","2","","","","1"
"Disabled","1989","middle vocational","West Germany","495","0.134799662703982","0.124949943052658","0.144649382355305","1"
"Disabled","1989","middle vocational","East Germany","","","","","1"
"Disabled","1989","vocational + Abi","West Germany","22","","","","1"
"Disabled","1989","vocational + Abi","East Germany","","","","","1"
"Not disabled","1989","in school","West Germany","172","0.984249685639692","0.965749728493181","1.0027496427862","0"
"Not disabled","1989","in school","East Germany","","","","","0"
"Not disabled","1989","inadequately","West Germany","590","0.835809451468103","0.807504470966435","0.864114431969771","0"
"Not disabled","1989","inadequately","East Germany","","","","","0"
"Not disabled","1989","general elemantary","West Germany","2345","0.870577045398979","0.857614675135965","0.883539415661994","0"
"Not disabled","1989","general elemantary","East Germany","","","","","0"
"Not disabled","1989","middle vocational","West Germany","4123","0.865200337296018","0.855350617644695","0.875050056947342","0"
"Not disabled","1989","middle vocational","East Germany","","","","","0"
"Not disabled","1989","vocational + Abi","West Germany","268","0.914518075904418","0.88233834681709","0.946697804991746","0"
"Not disabled","1989","vocational + Abi","East Germany","","","","","0"
"Not disabled","1989","higher vocational","West Germany","450","0.855523982578608","0.825189456435989","0.885858508721226","0"
"Not disabled","1989","higher vocational","East Germany","","","","","0"
"Not disabled","1989","higher education","West Germany","639","0.906438425385432","0.884772049629604","0.928104801141261","0"
"Not disabled","1989","higher education","East Germany","","","","","0"
"Disabled","1990","inadequately","West Germany","","","","","1"
"Disabled","1990","higher vocational","East Germany","","","","","1"
"Disabled","1990","higher education","West Germany","","","","","1"
"Disabled","1990","inadequately","East Germany","","","","","1"
"Disabled","1990","general elemantary","West Germany","","","","","1"
"Disabled","1990","in school","East Germany","","","","","1"
"Disabled","1990","general elemantary","East Germany","","","","","1"
"Disabled","1990","higher vocational","West Germany","","","","","1"
"Disabled","1990","higher education","East Germany","","","","","1"
"Disabled","1990","in school","West Germany","","","","","1"
"Disabled","1990","middle vocational","West Germany","","","","","1"
"Disabled","1990","middle vocational","East Germany","","","","","1"
"Disabled","1990","vocational + Abi","West Germany","","","","","1"
"Disabled","1990","vocational + Abi","East Germany","","","","","1"
"Not disabled","1990","in school","West Germany","","","","","0"
"Not disabled","1990","in school","East Germany","","","","","0"
"Not disabled","1990","inadequately","West Germany","","","","","0"
"Not disabled","1990","inadequately","East Germany","","","","","0"
"Not disabled","1990","general elemantary","West Germany","","","","","0"
"Not disabled","1990","general elemantary","East Germany","","","","","0"
"Not disabled","1990","middle vocational","West Germany","","","","","0"
"Not disabled","1990","middle vocational","East Germany","","","","","0"
"Not disabled","1990","vocational + Abi","West Germany","","","","","0"
"Not disabled","1990","vocational + Abi","East Germany","","","","","0"
"Not disabled","1990","higher vocational","West Germany","","","","","0"
"Not disabled","1990","higher vocational","East Germany","","","","","0"
"Not disabled","1990","higher education","West Germany","","","","","0"
"Not disabled","1990","higher education","East Germany","","","","","0"
"Disabled","1991","general elemantary","West Germany","230","0.13366609087179","0.120096932657414","0.147235249086166","1"
"Disabled","1991","inadequately","West Germany","71","0.165613999046866","0.136400409355615","0.194827588738117","1"
"Disabled","1991","higher vocational","East Germany","","","","","1"
"Disabled","1991","inadequately","East Germany","","","","","1"
"Disabled","1991","in school","East Germany","","","","","1"
"Disabled","1991","higher education","West Germany","57","0.0897197290064123","0.0689174637754095","0.110521994237415","1"
"Disabled","1991","higher education","East Germany","","","","","1"
"Disabled","1991","general elemantary","East Germany","","","","","1"
"Disabled","1991","higher vocational","West Germany","59","0.129637209297384","0.100710554967414","0.158563863627353","1"
"Disabled","1991","in school","West Germany","3","","","","1"
"Disabled","1991","middle vocational","West Germany","504","0.139743861021762","0.129676016670472","0.149811705373052","1"
"Disabled","1991","middle vocational","East Germany","","","","","1"
"Disabled","1991","vocational + Abi","West Germany","29","","","","1"
"Disabled","1991","vocational + Abi","East Germany","","","","","1"
"Not disabled","1991","in school","West Germany","146","0.971340613175554","0.944550522856681","0.998130703494428","0"
"Not disabled","1991","in school","East Germany","12","","","","0"
"Not disabled","1991","inadequately","West Germany","551","0.834386000953134","0.805172411261884","0.863599590644385","0"
"Not disabled","1991","inadequately","East Germany","39","1","1","1","0"
"Not disabled","1991","general elemantary","West Germany","2186","0.86633390912821","0.852764750913834","0.879903067342586","0"
"Not disabled","1991","general elemantary","East Germany","461","1","1","1","0"
"Not disabled","1991","middle vocational","West Germany","4052","0.860256138978238","0.850188294626948","0.870323983329528","0"
"Not disabled","1991","middle vocational","East Germany","2366","1","1","1","0"
"Not disabled","1991","vocational + Abi","West Germany","280","0.896392995978807","0.862413836147513","0.930372155810101","0"
"Not disabled","1991","vocational + Abi","East Germany","71","1","1","1","0"
"Not disabled","1991","higher vocational","West Germany","459","0.870362790702616","0.841436136372647","0.899289445032586","0"
"Not disabled","1991","higher vocational","East Germany","239","1","1","1","0"
"Not disabled","1991","higher education","West Germany","668","0.910280270993588","0.889478005762585","0.93108253622459","0"
"Not disabled","1991","higher education","East Germany","958","1","1","1","0"
"Disabled","1992","general elemantary","West Germany","236","0.139300099800006","0.12528258970826","0.153317609891753","1"
"Disabled","1992","inadequately","West Germany","72","0.177595020790054","0.147066335381752","0.208123706198357","1"
"Disabled","1992","inadequately","East Germany","4","","","","1"
"Disabled","1992","higher vocational","East Germany","8","","","","1"
"Disabled","1992","higher education","West Germany","58","0.0964390265534961","0.0751272581304083","0.117750794976584","1"
"Disabled","1992","in school","East Germany","","","","","1"
"Disabled","1992","general elemantary","East Germany","29","","","","1"
"Disabled","1992","higher education","East Germany","49","0.060771592885478","0.0452575559118146","0.0762856298591414","1"
"Disabled","1992","higher vocational","West Germany","64","0.138539996607377","0.109266382363725","0.16781361085103","1"
"Disabled","1992","in school","West Germany","1","","","","1"
"Disabled","1992","middle vocational","West Germany","524","0.143700865149833","0.133460897576858","0.153940832722809","1"
"Disabled","1992","middle vocational","East Germany","123","0.0651612964078168","0.0548338492925232","0.0754887435231104","1"
"Disabled","1992","vocational + Abi","West Germany","23","","","","1"
"Disabled","1992","vocational + Abi","East Germany","1","","","","1"
"Not disabled","1992","in school","West Germany","141","0.996494357359126","0.986773039083486","1.00621567563477","0"
"Not disabled","1992","in school","East Germany","45","1","1","1","0"
"Not disabled","1992","inadequately","West Germany","530","0.822404979209946","0.791876293801643","0.852933664618248","0"
"Not disabled","1992","inadequately","East Germany","18","","","","0"
"Not disabled","1992","general elemantary","West Germany","2108","0.860699900199994","0.846682390108247","0.87471741029174","0"
"Not disabled","1992","general elemantary","East Germany","414","0.919683008410147","0.894374355738858","0.944991661081435","0"
"Not disabled","1992","middle vocational","West Germany","3984","0.856299134850167","0.846059167277191","0.866539102423142","0"
"Not disabled","1992","middle vocational","East Germany","2071","0.934838703592183","0.92451125647689","0.945166150707477","0"
"Not disabled","1992","vocational + Abi","West Germany","295","0.9131153604906","0.882157648390314","0.944073072590887","0"
"Not disabled","1992","vocational + Abi","East Germany","66","0.983393393707618","0.952793862172716","1.01399292524252","0"
"Not disabled","1992","higher vocational","West Germany","471","0.861460003392623","0.83218638914897","0.890733617636275","0"
"Not disabled","1992","higher vocational","East Germany","223","0.953648948145068","0.926536660391866","0.98076123589827","0"
"Not disabled","1992","higher education","West Germany","679","0.903560973446504","0.882249205023416","0.924872741869592","0"
"Not disabled","1992","higher education","East Germany","862","0.939228407114522","0.923714370140859","0.954742444088185","0"
"Disabled","1993","inadequately","West Germany","","","","","1"
"Disabled","1993","general elemantary","West Germany","","","","","1"
"Disabled","1993","inadequately","East Germany","","","","","1"
"Disabled","1993","higher vocational","East Germany","","","","","1"
"Disabled","1993","higher education","West Germany","","","","","1"
"Disabled","1993","in school","East Germany","","","","","1"
"Disabled","1993","general elemantary","East Germany","","","","","1"
"Disabled","1993","higher education","East Germany","","","","","1"
"Disabled","1993","higher vocational","West Germany","","","","","1"
"Disabled","1993","in school","West Germany","","","","","1"
"Disabled","1993","middle vocational","West Germany","","","","","1"
"Disabled","1993","middle vocational","East Germany","","","","","1"
"Disabled","1993","vocational + Abi","West Germany","","","","","1"
"Disabled","1993","vocational + Abi","East Germany","","","","","1"
"Not disabled","1993","general elemantary","West Germany","","","","","0"
"Not disabled","1993","general elemantary","East Germany","","","","","0"
"Not disabled","1993","middle vocational","West Germany","","","","","0"
"Not disabled","1993","middle vocational","East Germany","","","","","0"
"Not disabled","1993","vocational + Abi","West Germany","","","","","0"
"Not disabled","1993","in school","West Germany","","","","","0"
"Not disabled","1993","in school","East Germany","","","","","0"
"Not disabled","1993","inadequately","West Germany","","","","","0"
"Not disabled","1993","inadequately","East Germany","","","","","0"
"Not disabled","1993","vocational + Abi","East Germany","","","","","0"
"Not disabled","1993","higher vocational","West Germany","","","","","0"
"Not disabled","1993","higher vocational","East Germany","","","","","0"
"Not disabled","1993","higher education","West Germany","","","","","0"
"Not disabled","1993","higher education","East Germany","","","","","0"
"Disabled","1994","in school","East Germany","","","","","1"
"Disabled","1994","inadequately","West Germany","61","0.151153923091073","0.121108663939899","0.181199182242247","1"
"Disabled","1994","inadequately","East Germany","","","","","1"
"Disabled","1994","general elemantary","West Germany","230","0.145139527079241","0.130070599632482","0.160208454526","1"
"Disabled","1994","higher vocational","East Germany","9","","","","1"
"Disabled","1994","higher education","East Germany","52","0.072779086341793","0.0553564422647891","0.0902017304187969","1"
"Disabled","1994","higher education","West Germany","55","0.0869821776932539","0.0673681735284693","0.106596181858039","1"
"Disabled","1994","in school","West Germany","","","","","1"
"Disabled","1994","general elemantary","East Germany","33","0.0986513689784672","0.0694654169307877","0.127837321026147","1"
"Disabled","1994","higher vocational","West Germany","69","0.16150529290965","0.129906334156937","0.193104251662362","1"
"Disabled","1994","middle vocational","West Germany","500","0.136394409487298","0.126350035496426","0.146438783478169","1"
"Disabled","1994","middle vocational","East Germany","120","0.0688073341547735","0.0579318352168147","0.0796828330927322","1"
"Disabled","1994","vocational + Abi","West Germany","21","","","","1"
"Disabled","1994","vocational + Abi","East Germany","","","","","1"
"Not disabled","1994","general elemantary","West Germany","1869","0.854860472920759","0.839791545474","0.869929400367518","0"
"Not disabled","1994","general elemantary","East Germany","368","0.901348631021533","0.872162678973853","0.930534583069212","0"
"Not disabled","1994","middle vocational","West Germany","3985","0.863605590512702","0.853561216521831","0.873649964503574","0"
"Not disabled","1994","middle vocational","East Germany","1961","0.931192665845227","0.920317166907268","0.942068164783185","0"
"Not disabled","1994","vocational + Abi","West Germany","297","0.92209740880488","0.892639705509947","0.951555112099813","0"
"Not disabled","1994","in school","West Germany","156","1","1","1","0"
"Not disabled","1994","in school","East Germany","84","1","1","1","0"
"Not disabled","1994","inadequately","West Germany","485","0.848846076908927","0.818800817757753","0.878891336060101","0"
"Not disabled","1994","inadequately","East Germany","10","","","","0"
"Not disabled","1994","vocational + Abi","East Germany","74","1","1","1","0"
"Not disabled","1994","higher vocational","West Germany","452","0.83849470709035","0.806895748337638","0.870093665843063","0"
"Not disabled","1994","higher vocational","East Germany","226","0.950412994240133","0.922657160010615","0.978168828469651","0"
"Not disabled","1994","higher education","West Germany","738","0.913017822306746","0.893403818141961","0.932631826471531","0"
"Not disabled","1994","higher education","East Germany","802","0.927220913658207","0.909798269581203","0.944643557735211","0"
"Disabled","1995","in school","East Germany","","","","","1"
"Disabled","1995","inadequately","West Germany","66","0.166312690742674","0.134308215593932","0.198317165891417","1"
"Disabled","1995","higher education","West Germany","64","0.0932002148815841","0.0744454596040513","0.111954970159117","1"
"Disabled","1995","higher vocational","East Germany","19","","","","1"
"Disabled","1995","inadequately","East Germany","","","","","1"
"Disabled","1995","general elemantary","West Germany","226","0.15049829032153","0.135270635458024","0.165725945185036","1"
"Disabled","1995","higher education","East Germany","57","0.0895203771277092","0.0701095676944478","0.108931186560971","1"
"Disabled","1995","in school","West Germany","2","","","","1"
"Disabled","1995","general elemantary","East Germany","32","0.0921942188450062","0.0630299893124813","0.121358448377531","1"
"Disabled","1995","higher vocational","West Germany","64","0.148210478535136","0.117846350062739","0.178574607007533","1"
"Disabled","1995","middle vocational","West Germany","541","0.148624286801479","0.138392434331925","0.158856139271034","1"
"Disabled","1995","middle vocational","East Germany","131","0.075638978996845","0.0641758999803912","0.0871020580132989","1"
"Disabled","1995","vocational + Abi","West Germany","21","","","","1"
"Disabled","1995","vocational + Abi","East Germany","","","","","1"
"Not disabled","1995","general elemantary","West Germany","1892","0.84950170967847","0.834274054814964","0.864729364541976","0"
"Not disabled","1995","general elemantary","East Germany","346","0.907805781154994","0.878641551622469","0.936970010687519","0"
"Not disabled","1995","middle vocational","West Germany","4102","0.851375713198521","0.841143860728966","0.861607565668075","0"
"Not disabled","1995","middle vocational","East Germany","1913","0.924361021003155","0.912897941986701","0.935824100019609","0"
"Not disabled","1995","vocational + Abi","West Germany","386","0.937262041967706","0.913703598618282","0.960820485317129","0"
"Not disabled","1995","in school","West Germany","187","0.984859165922686","0.967449952291012","1.00226837955436","0"
"Not disabled","1995","in school","East Germany","97","1","1","1","0"
"Not disabled","1995","inadequately","West Germany","454","0.833687309257326","0.801682834108583","0.865691784406068","0"
"Not disabled","1995","inadequately","East Germany","10","","","","0"
"Not disabled","1995","vocational + Abi","East Germany","68","1","1","1","0"
"Not disabled","1995","higher vocational","West Germany","462","0.851789521464864","0.821425392992467","0.882153649937261","0"
"Not disabled","1995","higher vocational","East Germany","212","0.893801749267282","0.854071491491412","0.933532007043152","0"
"Not disabled","1995","higher education","West Germany","859","0.906799785118416","0.888045029840883","0.925554540395949","0"
"Not disabled","1995","higher education","East Germany","774","0.910479622872291","0.891068813439029","0.929890432305552","0"
"Disabled","1996","in school","East Germany","","","","","1"
"Disabled","1996","inadequately","West Germany","69","0.188289572696657","0.153388540666339","0.223190604726976","1"
"Disabled","1996","higher vocational","East Germany","16","","","","1"
"Disabled","1996","higher education","West Germany","58","0.085714095542083","0.0676835140437758","0.10374467704039","1"
"Disabled","1996","higher education","East Germany","55","0.0853200501200964","0.0664059269745713","0.104234173265621","1"
"Disabled","1996","inadequately","East Germany","","","","","1"
"Disabled","1996","general elemantary","West Germany","235","0.155935996566571","0.14015014745558","0.171721845677563","1"
"Disabled","1996","in school","West Germany","","","","","1"
"Disabled","1996","general elemantary","East Germany","38","0.116327991119295","0.0836590624687433","0.148996919769846","1"
"Disabled","1996","higher vocational","West Germany","65","0.157598186250164","0.126694327038051","0.188502045462277","1"
"Disabled","1996","middle vocational","West Germany","535","0.149645249317297","0.139339984847202","0.159950513787392","1"
"Disabled","1996","middle vocational","East Germany","143","0.0848105391301281","0.0726551762894552","0.096965901970801","1"
"Disabled","1996","vocational + Abi","West Germany","23","","","","1"
"Disabled","1996","vocational + Abi","East Germany","","","","","1"
"Not disabled","1996","general elemantary","West Germany","1794","0.844064003433429","0.828278154322437","0.85984985254442","0"
"Not disabled","1996","general elemantary","East Germany","332","0.883672008880705","0.851003080230154","0.916340937531257","0"
"Not disabled","1996","middle vocational","West Germany","4068","0.850354750682703","0.840049486212608","0.860660015152798","0"
"Not disabled","1996","middle vocational","East Germany","1875","0.915189460869872","0.903034098029199","0.927344823710545","0"
"Not disabled","1996","vocational + Abi","West Germany","380","0.933656969275714","0.909358053633932","0.957955884917496","0"
"Not disabled","1996","in school","West Germany","196","1","1","1","0"
"Not disabled","1996","in school","East Germany","98","1","1","1","0"
"Not disabled","1996","inadequately","West Germany","413","0.811710427303343","0.776809395273025","0.846611459333661","0"
"Not disabled","1996","inadequately","East Germany","13","","","","0"
"Not disabled","1996","vocational + Abi","East Germany","75","1","1","1","0"
"Not disabled","1996","higher vocational","West Germany","469","0.842401813749836","0.811497954537723","0.873305672961949","0"
"Not disabled","1996","higher vocational","East Germany","215","0.898268750709915","0.859286004030424","0.937251497389406","0"
"Not disabled","1996","higher education","West Germany","868","0.914285904457917","0.89625532295961","0.932316485956224","0"
"Not disabled","1996","higher education","East Germany","783","0.914679949879904","0.895765826734379","0.933594073025429","0"
"Disabled","1997","in school","East Germany","","","","","1"
"Disabled","1997","inadequately","West Germany","65","0.179386427573331","0.144171256049659","0.214601599097002","1"
"Disabled","1997","higher vocational","East Germany","20","","","","1"
"Disabled","1997","higher education","West Germany","56","0.080423664469764","0.0629737584924532","0.0978735704470748","1"
"Disabled","1997","higher education","East Germany","55","0.080558778132955","0.062121203865628","0.0989963524002819","1"
"Disabled","1997","inadequately","East Germany","","","","","1"
"Disabled","1997","general elemantary","West Germany","227","0.153137154256496","0.137310922345256","0.168963386167736","1"
"Disabled","1997","in school","West Germany","3","","","","1"
"Disabled","1997","general elemantary","East Germany","36","0.119528494023666","0.0853953156426034","0.153661672404729","1"
"Disabled","1997","higher vocational","West Germany","56","0.141328337677936","0.111586282560231","0.171070392795641","1"
"Disabled","1997","middle vocational","West Germany","535","0.1510955818241","0.140636244257533","0.161554919390667","1"
"Disabled","1997","middle vocational","East Germany","139","0.0808130734105918","0.0687960376874605","0.0928301091337232","1"
"Disabled","1997","vocational + Abi","West Germany","23","","","","1"
"Disabled","1997","vocational + Abi","East Germany","2","","","","1"
"Not disabled","1997","general elemantary","West Germany","1762","0.846862845743504","0.831036613832264","0.862689077654744","0"
