"m11124","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Not disabled","1987","Employed","Part Time","1721","0.944254570459103","0.933667421944312","0.954841718973893","0"
"Not disabled","1987","Employed","Not Working","","","","","0"
"Disabled","1988","Not Employed","Full Time","","","","","1"
"Disabled","1988","Not Employed","Part Time","","","","","1"
"Disabled","1988","Not Employed","Not Working","616","0.210340639494958","0.196932251138888","0.223749027851027","1"
"Disabled","1988","Employed","Full Time","249","0.0611813251635343","0.054247236957835","0.0681154133692336","1"
"Disabled","1988","Employed","Part Time","90","0.0598252814320663","0.0489918046646812","0.0706587581994514","1"
"Disabled","1988","Employed","Not Working","","","","","1"
"Not disabled","1988","Not Employed","Full Time","","","","","0"
"Not disabled","1988","Not Employed","Part Time","","","","","0"
"Not disabled","1988","Not Employed","Not Working","2933","0.789659360505042","0.776250972148973","0.803067748861112","0"
"Not disabled","1988","Employed","Full Time","4340","0.938818674836466","0.931884586630766","0.945752763042165","0"
"Not disabled","1988","Employed","Part Time","1751","0.940174718567934","0.929341241800549","0.951008195335319","0"
"Not disabled","1988","Employed","Not Working","","","","","0"
"Disabled","1989","Not Employed","Full Time","","","","","1"
"Disabled","1989","Not Employed","Part Time","","","","","1"
"Disabled","1989","Not Employed","Not Working","635","0.226657768099054","0.212611818212727","0.240703717985382","1"
"Disabled","1989","Employed","Full Time","218","0.055456427779956","0.0488041165754434","0.0621087389844687","1"
"Disabled","1989","Employed","Part Time","94","0.0666148973554542","0.0547859133519128","0.0784438813589957","1"
"Disabled","1989","Employed","Not Working","","","","","1"
"Not disabled","1989","Not Employed","Full Time","","","","","0"
"Not disabled","1989","Not Employed","Part Time","","","","","0"
"Not disabled","1989","Not Employed","Not Working","2778","0.773342231900946","0.759296282014618","0.787388181787273","0"
"Not disabled","1989","Employed","Full Time","4329","0.944543572220044","0.937891261015531","0.951195883424557","0"
"Not disabled","1989","Employed","Part Time","1613","0.933385102644546","0.921556118641004","0.945214086648087","0"
"Not disabled","1989","Employed","Not Working","","","","","0"
"Disabled","1990","Not Employed","Full Time","","","","","1"
"Disabled","1990","Not Employed","Part Time","","","","","1"
"Disabled","1990","Not Employed","Not Working","","","","","1"
"Disabled","1990","Employed","Full Time","","","","","1"
"Disabled","1990","Employed","Part Time","","","","","1"
"Disabled","1990","Employed","Not Working","","","","","1"
"Not disabled","1990","Not Employed","Full Time","","","","","0"
"Not disabled","1990","Not Employed","Part Time","","","","","0"
"Not disabled","1990","Not Employed","Not Working","","","","","0"
"Not disabled","1990","Employed","Full Time","","","","","0"
"Not disabled","1990","Employed","Part Time","","","","","0"
"Not disabled","1990","Employed","Not Working","","","","","0"
"Disabled","1991","Not Employed","Full Time","","","","","1"
"Disabled","1991","Not Employed","Part Time","","","","","1"
"Disabled","1991","Not Employed","Not Working","653","0.241228244132817","0.226508156463222","0.255948331802411","1"
"Disabled","1991","Employed","Full Time","217","0.0556136430040267","0.0488597349195906","0.0623675510884629","1"
"Disabled","1991","Employed","Part Time","92","0.0643134722113523","0.0528398115282698","0.0757871328944349","1"
"Disabled","1991","Employed","Not Working","","","","","1"
"Not disabled","1991","Not Employed","Full Time","","","","","0"
"Not disabled","1991","Not Employed","Not Working","2592","0.758771755867183","0.744051668197589","0.773491843536778","0"
"Not disabled","1991","Employed","Full Time","4206","0.944386356995973","0.937632448911537","0.951140265080409","0"
"Not disabled","1991","Employed","Part Time","1664","0.935686527788648","0.924212867105565","0.94716018847173","0"
"Not disabled","1991","Not Employed","Part Time","","","","","0"
"Not disabled","1991","Employed","Not Working","","","","","0"
"Disabled","1992","Not Employed","Full Time","","","","","1"
"Disabled","1992","Not Employed","Part Time","","","","","1"
"Disabled","1992","Not Employed","Not Working","790","0.228055981786683","0.215381778162697","0.240730185410669","1"
"Disabled","1992","Employed","Full Time","288","0.0515613012551055","0.0462189096458682","0.0569036928643428","1"
"Disabled","1992","Employed","Part Time","121","0.0605140292385485","0.0511656107006995","0.0698624477763976","1"
"Disabled","1992","Employed","Not Working","","","","","1"
"Not disabled","1992","Not Employed","Full Time","","","","","0"
"Not disabled","1992","Not Employed","Not Working","3420","0.771944018213317","0.759269814589331","0.784618221837303","0"
"Not disabled","1992","Employed","Full Time","6294","0.948438698744895","0.943096307135657","0.953781090354132","0"
"Not disabled","1992","Employed","Part Time","2378","0.939485970761451","0.930137552223602","0.948834389299301","0"
"Not disabled","1992","Not Employed","Part Time","","","","","0"
"Not disabled","1992","Employed","Not Working","","","","","0"
"Disabled","1993","Not Employed","Full Time","","","","","1"
"Disabled","1993","Not Employed","Part Time","","","","","1"
"Disabled","1993","Not Employed","Not Working","","","","","1"
"Disabled","1993","Employed","Full Time","","","","","1"
"Disabled","1993","Employed","Part Time","","","","","1"
"Disabled","1993","Employed","Not Working","","","","","1"
"Not disabled","1993","Not Employed","Full Time","","","","","0"
"Not disabled","1993","Not Employed","Part Time","","","","","0"
"Not disabled","1993","Not Employed","Not Working","","","","","0"
"Not disabled","1993","Employed","Full Time","","","","","0"
"Not disabled","1993","Employed","Part Time","","","","","0"
"Not disabled","1993","Employed","Not Working","","","","","0"
"Disabled","1994","Not Employed","Full Time","","","","","1"
"Disabled","1994","Not Employed","Part Time","","","","","1"
"Disabled","1994","Not Employed","Not Working","792","0.212037926717827","0.200154530466161","0.223921322969493","1"
"Disabled","1994","Employed","Full Time","246","0.0499215934836999","0.0444013560499198","0.05544183091748","1"
"Disabled","1994","Employed","Part Time","123","0.0632007827917671","0.0533817522958743","0.0730198132876599","1"
"Disabled","1994","Employed","Not Working","","","","","1"
"Not disabled","1994","Not Employed","Full Time","","","","","0"
"Not disabled","1994","Not Employed","Part Time","","","","","0"
"Not disabled","1994","Not Employed","Not Working","3753","0.787962073282173","0.776078677030507","0.799845469533839","0"
"Not disabled","1994","Employed","Full Time","5733","0.9500784065163","0.94455816908252","0.95559864395008","0"
"Not disabled","1994","Employed","Part Time","2236","0.936799217208233","0.92698018671234","0.946618247704126","0"
"Not disabled","1994","Employed","Not Working","","","","","0"
"Disabled","1995","Not Employed","Full Time","","","","","1"
"Disabled","1995","Not Employed","Part Time","","","","","1"
"Disabled","1995","Not Employed","Not Working","849","0.221624579675303","0.209858822085171","0.233390337265435","1"
"Disabled","1995","Employed","Full Time","253","0.0493283109351439","0.0437885318887574","0.0548680899815303","1"
"Disabled","1995","Employed","Part Time","135","0.0698092827987343","0.0600029710902753","0.0796155945071934","1"
"Disabled","1995","Employed","Not Working","","","","","1"
"Not disabled","1995","Not Employed","Full Time","","","","","0"
"Not disabled","1995","Not Employed","Part Time","","","","","0"
"Not disabled","1995","Not Employed","Not Working","3938","0.778375420324697","0.766609662734565","0.790141177914829","0"
"Not disabled","1995","Employed","Full Time","5617","0.950671689064856","0.94513191001847","0.956211468111243","0"
"Not disabled","1995","Employed","Part Time","2459","0.930190717201266","0.920384405492807","0.939997028909725","0"
"Not disabled","1995","Employed","Not Working","","","","","0"
"Disabled","1996","Not Employed","Full Time","","","","","1"
"Disabled","1996","Not Employed","Part Time","","","","","1"
"Disabled","1996","Not Employed","Not Working","872","0.232735457089056","0.220577904757021","0.244893009421091","1"
"Disabled","1996","Employed","Full Time","233","0.0484973747587443","0.0429406558511038","0.0540540936663849","1"
"Disabled","1996","Employed","Part Time","143","0.0613935894918574","0.0523289076336677","0.070458271350047","1"
"Disabled","1996","Employed","Not Working","","","","","1"
"Not disabled","1996","Not Employed","Full Time","","","","","0"
"Not disabled","1996","Not Employed","Part Time","","","","","0"
"Not disabled","1996","Not Employed","Not Working","3769","0.767264542910943","0.755106990578908","0.779422095242979","0"
"Not disabled","1996","Employed","Full Time","5508","0.951502625241256","0.945945906333615","0.957059344148896","0"
"Not disabled","1996","Employed","Part Time","2551","0.938606410508143","0.929541728649953","0.947671092366332","0"
"Not disabled","1996","Employed","Not Working","","","","","0"
"Disabled","1997","Not Employed","Full Time","","","","","1"
"Disabled","1997","Not Employed","Part Time","","","","","1"
"Disabled","1997","Not Employed","Not Working","851","0.219636039256599","0.207814012369061","0.231458066144136","1"
"Disabled","1997","Employed","Full Time","226","0.0511990815073414","0.0454233699893596","0.0569747930253231","1"
"Disabled","1997","Employed","Part Time","150","0.0692042393407092","0.0593476385651128","0.0790608401163056","1"
"Disabled","1997","Employed","Not Working","","","","","1"
"Not disabled","1997","Not Employed","Full Time","","","","","0"
"Not disabled","1997","Not Employed","Part Time","","","","","0"
"Not disabled","1997","Not Employed","Not Working","3860","0.780363960743401","0.768541933855864","0.792185987630939","0"
"Not disabled","1997","Employed","Full Time","5368","0.948800918492659","0.943025206974677","0.95457663001064","0"
"Not disabled","1997","Employed","Part Time","2397","0.930795760659291","0.920939159883694","0.940652361434887","0"
"Not disabled","1997","Employed","Not Working","","","","","0"
"Disabled","1998","Not Employed","Full Time","","","","","1"
"Disabled","1998","Not Employed","Part Time","","","","","1"
"Disabled","1998","Not Employed","Not Working","1012","0.218457865468778","0.207437112889548","0.229478618048008","1"
"Disabled","1998","Employed","Full Time","259","0.0510699614419355","0.0455002058283085","0.0566397170555624","1"
"Disabled","1998","Employed","Part Time","161","0.0682879633245255","0.0590709313685269","0.0775049952805241","1"
"Disabled","1998","Employed","Not Working","","","","","1"
"Not disabled","1998","Not Employed","Full Time","","","","","0"
"Not disabled","1998","Not Employed","Not Working","4388","0.781542134531222","0.770521381951992","0.792562887110452","0"
"Not disabled","1998","Not Employed","Part Time","","","","","0"
"Not disabled","1998","Employed","Full Time","5742","0.948930038558064","0.943360282944438","0.954499794171691","0"
"Not disabled","1998","Employed","Part Time","2716","0.931712036675475","0.922495004719476","0.940929068631473","0"
"Not disabled","1998","Employed","Not Working","","","","","0"
"Disabled","1999","Not Employed","Full Time","","","","","1"
"Disabled","1999","Not Employed","Part Time","","","","","1"
"Disabled","1999","Employed","Part Time","154","0.0621768158353682","0.053452574292921","0.0709010573778153","1"
"Disabled","1999","Not Employed","Not Working","972","0.233399449032849","0.221614604954158","0.24518429311154","1"
"Disabled","1999","Employed","Full Time","282","0.0611891371795311","0.0550473272009035","0.0673309471581587","1"
"Disabled","1999","Employed","Not Working","","","","","1"
"Not disabled","1999","Not Employed","Full Time","","","","","0"
"Not disabled","1999","Not Employed","Not Working","3977","0.766600550967151","0.75481570688846","0.778385395045842","0"
"Not disabled","1999","Not Employed","Part Time","","","","","0"
"Not disabled","1999","Employed","Full Time","5568","0.938810862820469","0.932669052841841","0.944952672799096","0"
"Not disabled","1999","Employed","Part Time","2789","0.937823184164632","0.929098942622185","0.946547425707079","0"
"Not disabled","1999","Employed","Not Working","","","","","0"
"Disabled","2000","Not Employed","Full Time","","","","","1"
"Disabled","2000","Not Employed","Part Time","","","","","1"
"Disabled","2000","Employed","Part Time","296","0.0662680460230647","0.0594290247605657","0.0731070672855637","1"
"Disabled","2000","Not Employed","Not Working","1690","0.203438111641017","0.195137962430024","0.211738260852011","1"
"Disabled","2000","Employed","Full Time","459","0.0526358597428519","0.0482785005550368","0.0569932189306669","1"
"Disabled","2000","Employed","Not Working","","","","","1"
"Not disabled","2000","Not Employed","Full Time","","","","","0"
"Not disabled","2000","Not Employed","Not Working","7346","0.796561888358983","0.788261739147989","0.804862037569976","0"
"Not disabled","2000","Not Employed","Part Time","","","","","0"
"Not disabled","2000","Employed","Full Time","9630","0.947364140257148","0.943006781069333","0.951721499444963","0"
"Not disabled","2000","Employed","Part Time","4786","0.933731953976935","0.926892932714436","0.940570975239434","0"
"Not disabled","2000","Employed","Not Working","","","","","0"
"Disabled","2001","Not Employed","Full Time","","","","","1"
"Disabled","2001","Employed","Part Time","276","0.0647056334614841","0.0577685842058411","0.0716426827171271","1"
"Disabled","2001","Not Employed","Part Time","","","","","1"
"Disabled","2001","Not Employed","Not Working","1554","0.212949887466259","0.204028883543418","0.221870891389101","1"
"Disabled","2001","Employed","Full Time","390","0.0488885128121434","0.0444531996084044","0.0533238260158824","1"
"Disabled","2001","Employed","Not Working","","","","","1"
"Not disabled","2001","Not Employed","Full Time","","","","","0"
"Not disabled","2001","Not Employed","Not Working","6536","0.787050112533741","0.778129108610899","0.795971116456582","0"
"Not disabled","2001","Employed","Full Time","8690","0.951111487187857","0.946676173984118","0.955546800391596","0"
"Not disabled","2001","Employed","Part Time","4555","0.935294366538516","0.928357317282873","0.942231415794159","0"
"Not disabled","2001","Not Employed","Part Time","","","","","0"
"Not disabled","2001","Employed","Not Working","","","","","0"
"Disabled","2002","Not Employed","Full Time","","","","","1"
"Disabled","2002","Employed","Part Time","303","0.0742090376287981","0.0671175712856329","0.0813005039719633","1"
"Disabled","2002","Not Employed","Part Time","","","","","1"
"Disabled","2002","Not Employed","Not Working","1637","0.222268613977108","0.213307763725139","0.231229464229078","1"
"Disabled","2002","Employed","Full Time","449","0.0540147083110159","0.049490558297365","0.0585388583246669","1"
"Disabled","2002","Employed","Not Working","","","","","1"
"Not disabled","2002","Not Employed","Full Time","","","","","0"
"Not disabled","2002","Not Employed","Not Working","6633","0.777731386022891","0.768770535770922","0.786692236274861","0"
"Not disabled","2002","Employed","Full Time","9141","0.945985291688984","0.941461141675333","0.950509441702635","0"
"Not disabled","2002","Employed","Part Time","4945","0.925790962371202","0.918699496028037","0.932882428714367","0"
"Not disabled","2002","Not Employed","Part Time","","","","","0"
"Not disabled","2002","Employed","Not Working","","","","","0"
"Disabled","2003","Not Employed","Full Time","","","","","1"
"Disabled","2003","Not Employed","Part Time","","","","","1"
"Disabled","2003","Not Employed","Not Working","1610","0.216042177003788","0.207124864737836","0.22495948926974","1"
"Disabled","2003","Employed","Part Time","314","0.0702735153156135","0.0632870823613557","0.0772599482698713","1"
"Disabled","2003","Employed","Full Time","420","0.0550907618373176","0.0503588953423834","0.0598226283322517","1"
"Disabled","2003","Employed","Not Working","","","","","1"
"Not disabled","2003","Not Employed","Full Time","","","","","0"
"Not disabled","2003","Not Employed","Not Working","6572","0.783957822996212","0.77504051073026","0.792875135262164","0"
"Not disabled","2003","Employed","Full Time","8511","0.944909238162682","0.940177371667748","0.949641104657617","0"
"Not disabled","2003","Not Employed","Part Time","","","","","0"
"Not disabled","2003","Employed","Part Time","4828","0.929726484684386","0.922740051730129","0.936712917638644","0"
"Not disabled","2003","Employed","Not Working","","","","","0"
"Disabled","2004","Not Employed","Full Time","","","","","1"
"Disabled","2004","Not Employed","Part Time","","","","","1"
"Disabled","2004","Not Employed","Not Working","1637","0.222875680443236","0.21386515321909","0.231886207667382","1"
"Disabled","2004","Employed","Part Time","294","0.0706715860425834","0.0635844049694936","0.0777587671156732","1"
"Disabled","2004","Employed","Full Time","437","0.0588135722801071","0.0538048237920604","0.0638223207681539","1"
"Disabled","2004","Employed","Not Working","","","","","1"
"Not disabled","2004","Not Employed","Full Time","","","","","0"
"Not disabled","2004","Not Employed","Not Working","6558","0.777124319556764","0.768113792332618","0.78613484678091","0"
"Not disabled","2004","Employed","Full Time","8039","0.941186427719893","0.936177679231846","0.94619517620794","0"
"Not disabled","2004","Not Employed","Part Time","","","","","0"
"Not disabled","2004","Employed","Part Time","4729","0.929328413957417","0.922241232884327","0.936415595030506","0"
"Not disabled","2004","Employed","Not Working","","","","","0"
"Disabled","2005","Not Employed","Full Time","","","","","1"
"Disabled","2005","Not Employed","Part Time","","","","","1"
"Disabled","2005","Not Employed","Not Working","1612","0.221654244974873","0.212495596987503","0.230812892962242","1"
"Disabled","2005","Employed","Part Time","286","0.0670680772353938","0.060010066135612","0.0741260883351757","1"
"Disabled","2005","Employed","Full Time","423","0.0592011985664241","0.0540451412724248","0.0643572558604234","1"
"Disabled","2005","Employed","Not Working","","","","","1"
"Not disabled","2005","Not Employed","Full Time","","","","","0"
"Not disabled","2005","Not Employed","Part Time","","","","","0"
"Not disabled","2005","Not Employed","Not Working","6289","0.778345755025127","0.769187107037758","0.787504403012497","0"
"Not disabled","2005","Employed","Full Time","7625","0.940798801433576","0.935642744139576","0.945954858727575","0"
"Not disabled","2005","Employed","Part Time","4539","0.932931922764606","0.925873911664824","0.939989933864388","0"
"Not disabled","2005","Employed","Not Working","","","","","0"
"Disabled","2006","Not Employed","Full Time","","","","","1"
"Disabled","2006","Not Employed","Part Time","","","","","1"
"Disabled","2006","Not Employed","Not Working","1818","0.230949841413427","0.222021981320435","0.239877701506419","1"
"Disabled","2006","Employed","Full Time","442","0.0603121521958249","0.0552353404177665","0.0653889639738832","1"
"Disabled","2006","Employed","Part Time","303","0.0650255704338885","0.0582087979219098","0.0718423429458672","1"
"Disabled","2006","Employed","Not Working","","","","","1"
"Not disabled","2006","Not Employed","Full Time","","","","","0"
"Not disabled","2006","Not Employed","Part Time","","","","","0"
"Not disabled","2006","Not Employed","Not Working","6742","0.769050158586573","0.760122298493581","0.777978018679565","0"
"Not disabled","2006","Employed","Full Time","8005","0.939687847804175","0.934611036026117","0.944764659582234","0"
"Not disabled","2006","Employed","Part Time","4723","0.934974429566112","0.928157657054133","0.94179120207809","0"
"Not disabled","2006","Employed","Not Working","","","","","0"
"Disabled","2007","Not Employed","Full Time","","","","","1"
"Disabled","2007","Not Employed","Part Time","","","","","1"
"Disabled","2007","Not Employed","Not Working","1700","0.228117048609564","0.218909829999473","0.237324267219656","1"
"Disabled","2007","Employed","Full Time","423","0.0637250902644295","0.0583322898241724","0.0691178907046866","1"
"Disabled","2007","Employed","Part Time","300","0.0657146154083421","0.0586487736125525","0.0727804572041317","1"
"Disabled","2007","Employed","Not Working","","","","","1"
"Not disabled","2007","Not Employed","Full Time","","","","","0"
"Not disabled","2007","Not Employed","Part Time","","","","","0"
"Not disabled","2007","Not Employed","Not Working","6279","0.771882951390436","0.762675732780344","0.781090170000527","0"
"Not disabled","2007","Employed","Full Time","7458","0.93627490973557","0.930882109295313","0.941667710175828","0"
"Not disabled","2007","Employed","Part Time","4424","0.934285384591658","0.927219542795868","0.941351226387448","0"
"Not disabled","2007","Employed","Not Working","","","","","0"
"Disabled","2008","Not Employed","Full Time","","","","","1"
"Disabled","2008","Not Employed","Part Time","","","","","1"
"Disabled","2008","Not Employed","Not Working","1596","0.228474290478507","0.218957131705411","0.237991449251603","1"
"Disabled","2008","Employed","Full Time","402","0.0624393533319267","0.0569635689019376","0.0679151377619157","1"
"Disabled","2008","Employed","Part Time","281","0.0675787376776001","0.0601759462538103","0.0749815291013898","1"
"Disabled","2008","Employed","Not Working","","","","","1"
"Not disabled","2008","Not Employed","Full Time","","","","","0"
"Not disabled","2008","Not Employed","Part Time","","","","","0"
"Not disabled","2008","Not Employed","Not Working","5880","0.771525709521493","0.762008550748397","0.781042868294589","0"
"Not disabled","2008","Employed","Full Time","7098","0.937560646668073","0.932084862238084","0.943036431098062","0"
"Not disabled","2008","Employed","Part Time","4136","0.9324212623224","0.92501847089861","0.93982405374619","0"
"Not disabled","2008","Employed","Not Working","","","","","0"
"Disabled","2009","Not Employed","Full Time","","","","","1"
"Disabled","2009","Not Employed","Part Time","","","","","1"
"Disabled","2009","Not Employed","Not Working","1500","0.2341651739511","0.224141166168238","0.244189181733962","1"
"Disabled","2009","Employed","Full Time","383","0.0596948906954278","0.0541471519231693","0.0652426294676864","1"
"Disabled","2009","Employed","Part Time","283","0.0689063469411396","0.0612686744649935","0.0765440194172858","1"
"Disabled","2009","Employed","Not Working","","","","","1"
"Not disabled","2009","Not Employed","Full Time","","","","","0"
"Not disabled","2009","Not Employed","Part Time","","","","","0"
"Not disabled","2009","Not Employed","Not Working","5356","0.7658348260489","0.755810818266038","0.775858833831762","0"
"Not disabled","2009","Employed","Full Time","6623","0.940305109304572","0.934757370532314","0.945852848076831","0"
"Not disabled","2009","Employed","Part Time","3942","0.93109365305886","0.923455980582714","0.938731325535006","0"
"Not disabled","2009","Employed","Not Working","","","","","0"
"Disabled","2010","Not Employed","Full Time","","","","","1"
"Disabled","2010","Not Employed","Part Time","","","","","1"
"Disabled","2010","Not Employed","Not Working","1497","0.229720859857962","0.220726276779949","0.238715442935975","1"
"Disabled","2010","Employed","Full Time","403","0.055680066050071","0.051007416606434","0.060352715493708","1"
"Disabled","2010","Employed","Part Time","359","0.0819932747848943","0.0752442397975572","0.0887423097722315","1"
"Disabled","2010","Employed","Not Working","","","","","1"
"Not disabled","2010","Not Employed","Full Time","","","","","0"
"Not disabled","2010","Not Employed","Part Time","","","","","0"
"Not disabled","2010","Not Employed","Not Working","6905","0.770279140142038","0.761284557064025","0.779273723220051","0"
"Not disabled","2010","Employed","Full Time","8848","0.944319933949929","0.939647284506292","0.948992583393566","0"
"Not disabled","2010","Employed","Part Time","5989","0.918006725215106","0.911257690227769","0.924755760202443","0"
"Not disabled","2010","Employed","Not Working","","","","","0"
"Disabled","2011","Not Employed","Full Time","","","","","1"
"Disabled","2011","Employed","Part Time","456","0.0805026089710221","0.0744142208768483","0.0865909970651958","1"
"Disabled","2011","Not Employed","Part Time","","","","","1"
"Disabled","2011","Not Employed","Not Working","1939","0.230319701455685","0.222126300649634","0.238513102261737","1"
"Disabled","2011","Employed","Full Time","515","0.0537971705235879","0.0495104150817288","0.058083925965447","1"
"Disabled","2011","Employed","Not Working","","","","","1"
"Not disabled","2011","Not Employed","Full Time","","","","","0"
"Not disabled","2011","Not Employed","Part Time","","","","","0"
"Not disabled","2011","Not Employed","Not Working","8205","0.769680298544315","0.761486897738263","0.777873699350366","0"
"Not disabled","2011","Employed","Full Time","10126","0.946202829476412","0.941916074034553","0.950489584918271","0"
"Not disabled","2011","Employed","Part Time","7215","0.919497391028978","0.913409002934804","0.925585779123152","0"
"Not disabled","2011","Employed","Not Working","","","","","0"
"Disabled","2012","Not Employed","Full Time","","","","","1"
"Disabled","2012","Employed","Part Time","483","0.0793953847834243","0.0732616418165201","0.0855291277503286","1"
"Disabled","2012","Not Employed","Part Time","","","","","1"
"Disabled","2012","Not Employed","Not Working","2022","0.237396930313434","0.228969421552913","0.245824439073956","1"
"Disabled","2012","Employed","Full Time","527","0.059574495484032","0.0550345709627531","0.0641144200053109","1"
"Disabled","2012","Employed","Not Working","","","","","1"
"Not disabled","2012","Not Employed","Full Time","","","","","0"
"Not disabled","2012","Not Employed","Part Time","","","","","0"
"Not disabled","2012","Not Employed","Not Working","7770","0.762603069686566","0.754175560926044","0.771030578447087","0"
"Not disabled","2012","Employed","Full Time","9915","0.940425504515968","0.935885579994689","0.944965429037247","0"
"Not disabled","2012","Employed","Part Time","6980","0.920604615216576","0.914470872249671","0.92673835818348","0"
"Not disabled","2012","Employed","Not Working","","","","","0"
"Disabled","2013","Not Employed","Full Time","","","","","1"
"Disabled","2013","Not Employed","Part Time","","","","","1"
"Disabled","2013","Not Employed","Not Working","2074","0.209903512310343","0.203111457683705","0.21669556693698","1"
"Disabled","2013","Employed","Full Time","508","0.0610622579732313","0.0563045640514026","0.06581995189506","1"
"Disabled","2013","Employed","Part Time","494","0.0896162179411451","0.0830066515878746","0.0962257842944156","1"
"Disabled","2013","Employed","Not Working","","","","","1"
"Not disabled","2013","Not Employed","Full Time","","","","","0"
"Not disabled","2013","Not Employed","Part Time","","","","","0"
"Not disabled","2013","Not Employed","Not Working","11736","0.790096487689657","0.78330443306302","0.796888542316295","0"
"Not disabled","2013","Employed","Full Time","9222","0.938937742026769","0.93418004810494","0.943695435948597","0"
"Not disabled","2013","Employed","Part Time","6680","0.910383782058855","0.903774215705584","0.916993348412125","0"
"Not disabled","2013","Employed","Not Working","","","","","0"
"Disabled","2014","Not Employed","Full Time","","","","","1"
"Disabled","2014","Not Employed","Part Time","","","","","1"
"Disabled","2014","Not Employed","Not Working","1961","0.248951986972033","0.240192033169417","0.25771194077465","1"
"Disabled","2014","Employed","Full Time","521","0.0614832455780766","0.0568306262531905","0.0661358649029627","1"
"Disabled","2014","Employed","Part Time","509","0.0861033744225973","0.0797817170504847","0.0924250317947099","1"
"Disabled","2014","Employed","Not Working","","","","","1"
"Not disabled","2014","Not Employed","Full Time","","","","","0"
"Not disabled","2014","Not Employed","Part Time","","","","","0"
"Not disabled","2014","Not Employed","Not Working","7399","0.751048013027967","0.74228805922535","0.759807966830583","0"
"Not disabled","2014","Employed","Full Time","9719","0.938516754421923","0.933864135097037","0.94316937374681","0"
"Not disabled","2014","Employed","Part Time","7055","0.913896625577403","0.90757496820529","0.920218282949515","0"
"Not disabled","2014","Employed","Not Working","","","","","0"
"Disabled","2015","Not Employed","Full Time","","","","","1"
"Disabled","2015","Not Employed","Part Time","","","","","1"
