"m11124","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Disabled","1988","no migration background","West Germany","766","0.124546726872041","0.1168524552502","0.132240998493882"
"Disabled","1988","no migration background","East Germany","","","",""
"Disabled","1988","direct migration background","West Germany","179","0.105077811127865","0.0934700668780993","0.11668555537763"
"Disabled","1988","direct migration background","East Germany","","","",""
"Disabled","1988","indirect migration background","West Germany","10","","",""
"Disabled","1988","indirect migration background","East Germany","","","",""
"Not disabled","1989","no migration background","West Germany","6043","0.868336196019094","0.860305527746855","0.876366864291332"
"Not disabled","1989","no migration background","East Germany","","","",""
"Not disabled","1989","direct migration background","West Germany","2426","0.902027744508882","0.890594391379682","0.913461097638082"
"Not disabled","1989","direct migration background","East Germany","","","",""
"Not disabled","1989","indirect migration background","West Germany","251","0.911878387435674","0.877421892564043","0.946334882307304"
"Not disabled","1989","indirect migration background","East Germany","","","",""
"Disabled","1989","no migration background","West Germany","767","0.131663803980906","0.123633135708668","0.139694472253144"
"Disabled","1989","no migration background","East Germany","","","",""
"Disabled","1989","direct migration background","West Germany","171","0.0979722554911185","0.0865389023619185","0.109405608620319"
"Disabled","1989","direct migration background","East Germany","","","",""
"Disabled","1989","indirect migration background","West Germany","9","","",""
"Disabled","1989","indirect migration background","East Germany","","","",""
"Not disabled","1990","no migration background","West Germany","","","",""
"Not disabled","1990","no migration background","East Germany","","","",""
"Not disabled","1990","direct migration background","West Germany","","","",""
"Not disabled","1990","direct migration background","East Germany","","","",""
"Not disabled","1990","indirect migration background","West Germany","","","",""
"Not disabled","1990","indirect migration background","East Germany","","","",""
"Disabled","1990","no migration background","West Germany","","","",""
"Disabled","1990","no migration background","East Germany","","","",""
"Disabled","1990","direct migration background","West Germany","","","",""
"Disabled","1990","direct migration background","East Germany","","","",""
"Disabled","1990","indirect migration background","West Germany","","","",""
"Disabled","1990","indirect migration background","East Germany","","","",""
"Not disabled","1991","no migration background","West Germany","5857","0.865755025247673","0.857543329944653","0.873966720550693"
"Not disabled","1991","no migration background","East Germany","4018","1","1","1"
"Not disabled","1991","direct migration background","West Germany","2304","0.891493763904693","0.879287398388876","0.90370012942051"
"Not disabled","1991","direct migration background","East Germany","142","1","1","1"
"Not disabled","1991","indirect migration background","West Germany","340","0.94469159974101","0.920675689905544","0.968707509576477"
"Not disabled","1991","indirect migration background","East Germany","3","","",""
"Disabled","1991","no migration background","West Germany","764","0.134244974752327","0.126033279449307","0.142456670055347"
"Disabled","1991","no migration background","East Germany","","","",""
"Disabled","1991","direct migration background","West Germany","190","0.108506236095307","0.0962998705794895","0.120712601611124"
"Disabled","1991","direct migration background","East Germany","","","",""
"Disabled","1991","indirect migration background","West Germany","8","","",""
"Disabled","1991","indirect migration background","East Germany","","","",""
"Not disabled","1992","no migration background","West Germany","5775","0.862347066570575","0.853999493559131","0.87069463958202"
"Not disabled","1992","no migration background","East Germany","3578","0.936705495732929","0.928944288355003","0.944466703110854"
"Not disabled","1992","direct migration background","West Germany","2212","0.883767680501346","0.870982349734183","0.896553011268508"
"Not disabled","1992","direct migration background","East Germany","128","0.890233016438902","0.83863580295203","0.941830229925774"
"Not disabled","1992","indirect migration background","West Germany","389","0.942615547018164","0.919851979442801","0.965379114593527"
"Not disabled","1992","indirect migration background","East Germany","10","","",""
"Disabled","1992","no migration background","West Germany","769","0.137652933429425","0.12930536041798","0.146000506440869"
"Disabled","1992","no migration background","East Germany","203","0.0632945042670714","0.0555332968891463","0.0710557116449965"
"Disabled","1992","direct migration background","West Germany","202","0.116232319498654","0.103446988731492","0.129017650265817"
"Disabled","1992","direct migration background","East Germany","13","","",""
"Disabled","1992","indirect migration background","West Germany","12","","",""
"Disabled","1992","indirect migration background","East Germany","","","",""
"Not disabled","1993","no migration background","West Germany","","","",""
"Not disabled","1993","no migration background","East Germany","","","",""
"Not disabled","1993","direct migration background","West Germany","","","",""
"Not disabled","1993","direct migration background","East Germany","","","",""
"Not disabled","1993","indirect migration background","West Germany","","","",""
"Not disabled","1993","indirect migration background","East Germany","","","",""
"Disabled","1993","no migration background","West Germany","","","",""
"Disabled","1993","no migration background","East Germany","","","",""
"Disabled","1993","direct migration background","West Germany","","","",""
"Disabled","1993","direct migration background","East Germany","","","",""
"Disabled","1993","indirect migration background","West Germany","","","",""
"Disabled","1993","indirect migration background","East Germany","","","",""
"Not disabled","1994","no migration background","West Germany","5702","0.867524053283472","0.859232761119831","0.875815345447114"
"Not disabled","1994","no migration background","East Germany","3401","0.931582624540923","0.923341445459658","0.939823803622188"
"Not disabled","1994","direct migration background","West Germany","2012","0.87023864752441","0.856272630582206","0.884204664466615"
"Not disabled","1994","direct migration background","East Germany","123","0.888868130879056","0.836239050114615","0.941497211643496"
"Not disabled","1994","indirect migration background","West Germany","468","0.955395425271203","0.936908630731392","0.973882219811013"
"Not disabled","1994","indirect migration background","East Germany","16","","",""
"Disabled","1994","no migration background","West Germany","720","0.132475946716527","0.124184654552886","0.140767238880169"
"Disabled","1994","no migration background","East Germany","204","0.0684173754590768","0.0601761963778116","0.0766585545403419"
"Disabled","1994","direct migration background","West Germany","212","0.12976135247559","0.115795335533385","0.143727369417794"
"Disabled","1994","direct migration background","East Germany","14","","",""
"Disabled","1994","indirect migration background","West Germany","11","","",""
"Disabled","1994","indirect migration background","East Germany","","","",""
"Not disabled","1995","no migration background","West Germany","5672","0.856152442477822","0.847574104081251","0.864730780874394"
"Not disabled","1995","no migration background","East Germany","3297","0.920524381862447","0.911592841304405","0.929455922420489"
"Not disabled","1995","direct migration background","West Germany","2424","0.89051148581051","0.878620683587061","0.902402288033959"
"Not disabled","1995","direct migration background","East Germany","122","0.873697283808921","0.818670907844868","0.928723659772975"
"Not disabled","1995","indirect migration background","West Germany","483","0.960494618483792","0.943317108301374","0.977672128666209"
"Not disabled","1995","indirect migration background","East Germany","16","","",""
"Disabled","1995","no migration background","West Germany","757","0.143847557522178","0.135269219125606","0.152425895918749"
"Disabled","1995","no migration background","East Germany","226","0.0794756181375531","0.070544077579511","0.0884071586955952"
"Disabled","1995","direct migration background","West Germany","225","0.10948851418949","0.0975977119660407","0.121379316412939"
"Disabled","1995","direct migration background","East Germany","18","","",""
"Disabled","1995","indirect migration background","West Germany","11","","",""
"Disabled","1995","indirect migration background","East Germany","","","",""
"Not disabled","1996","no migration background","West Germany","5641","0.855552876902887","0.846940915916883","0.864164837888891"
"Not disabled","1996","no migration background","East Germany","3280","0.91783853762479","0.908760276909278","0.926916798340301"
"Not disabled","1996","direct migration background","West Germany","2253","0.884996843626222","0.872425723270561","0.897567963981883"
"Not disabled","1996","direct migration background","East Germany","117","0.811523979671253","0.746272963716624","0.876774995625883"
"Not disabled","1996","indirect migration background","West Germany","517","0.970736375525623","0.956360118151591","0.985112632899655"
"Not disabled","1996","indirect migration background","East Germany","20","","",""
"Disabled","1996","no migration background","West Germany","760","0.144447123097113","0.135835162111109","0.153059084083117"
"Disabled","1996","no migration background","East Germany","235","0.0821614623752103","0.0730832016596987","0.091239723090722"
"Disabled","1996","direct migration background","West Germany","221","0.115003156373778","0.102432036018117","0.127574276729439"
"Disabled","1996","direct migration background","East Germany","21","","",""
"Disabled","1996","indirect migration background","West Germany","11","","",""
"Disabled","1996","indirect migration background","East Germany","","","",""
"Not disabled","1997","no migration background","West Germany","5575","0.854672615336653","0.845988555700393","0.863356674972912"
"Not disabled","1997","no migration background","East Germany","3231","0.919507302769165","0.910451499029245","0.928563106509085"
"Not disabled","1997","direct migration background","West Germany","2147","0.897273065609321","0.885000757333117","0.909545373885525"
"Not disabled","1997","direct migration background","East Germany","113","0.834854842297969","0.771511710378945","0.898197974216993"
"Not disabled","1997","indirect migration background","West Germany","538","0.963133013667294","0.947427668734977","0.978838358599611"
"Not disabled","1997","indirect migration background","East Germany","21","","",""
"Disabled","1997","no migration background","West Germany","752","0.145327384663347","0.136643325027088","0.154011444299607"
"Disabled","1997","no migration background","East Germany","236","0.0804926972308349","0.0714368934909152","0.0895485009707545"
"Disabled","1997","direct migration background","West Germany","204","0.102726934390679","0.0904546261144752","0.114999242666883"
"Disabled","1997","direct migration background","East Germany","19","","",""
"Disabled","1997","indirect migration background","West Germany","15","","",""
"Disabled","1997","indirect migration background","East Germany","1","","",""
"Not disabled","1998","no migration background","West Germany","6630","0.852922720178831","0.844934068378634","0.860911371979029"
"Not disabled","1998","no migration background","East Germany","3444","0.92298783623509","0.91440763791706","0.93156803455312"
"Not disabled","1998","direct migration background","West Germany","2084","0.892988300790913","0.880346582504954","0.905630019076872"
"Not disabled","1998","direct migration background","East Germany","100","0.814774275993822","0.744382087899435","0.885166464088208"
"Not disabled","1998","indirect migration background","West Germany","563","0.972155904252177","0.958743127683336","0.985568680821018"
"Not disabled","1998","indirect migration background","East Germany","25","","",""
"Disabled","1998","no migration background","West Germany","921","0.147077279821169","0.139088628020971","0.155065931621366"
"Disabled","1998","no migration background","East Germany","265","0.0770121637649098","0.0684319654468797","0.0855923620829399"
"Disabled","1998","direct migration background","West Germany","213","0.107011699209087","0.0943699809231285","0.119653417495046"
"Disabled","1998","direct migration background","East Germany","17","","",""
"Disabled","1998","indirect migration background","West Germany","15","","",""
"Disabled","1998","indirect migration background","East Germany","1","","",""
"Not disabled","1999","no migration background","West Germany","6363","0.847957824086761","0.839693291384751","0.856222356788771"
"Not disabled","1999","no migration background","East Germany","3376","0.915387285335287","0.906370996813897","0.924403573856676"
"Not disabled","1999","direct migration background","West Germany","1908","0.885326669915882","0.871737775633542","0.898915564198222"
"Not disabled","1999","direct migration background","East Germany","94","0.850386236810138","0.782801272795419","0.917971200824856"
"Not disabled","1999","indirect migration background","West Germany","571","0.963796234421948","0.948723516561576","0.978868952282319"
"Not disabled","1999","indirect migration background","East Germany","22","","",""
"Disabled","1999","no migration background","West Germany","888","0.152042175913239","0.143777643211229","0.160306708615249"
"Disabled","1999","no migration background","East Germany","284","0.0846127146647132","0.0755964261433239","0.0936290031861026"
"Disabled","1999","direct migration background","West Germany","204","0.114673330084118","0.101084435801778","0.128262224366458"
"Disabled","1999","direct migration background","East Germany","13","","",""
"Disabled","1999","indirect migration background","West Germany","19","","",""
"Disabled","1999","indirect migration background","East Germany","","","",""
"Not disabled","2000","no migration background","West Germany","12679","0.868417069425551","0.862887256420331","0.873946882430771"
"Not disabled","2000","no migration background","East Germany","5215","0.909169144793303","0.90169846534404","0.916639824242566"
"Not disabled","2000","direct migration background","West Germany","2933","0.914603211093381","0.904903518679113","0.92430290350765"
"Not disabled","2000","direct migration background","East Germany","133","0.873814813594316","0.820675449897027","0.926954177291604"
"Not disabled","2000","indirect migration background","West Germany","779","0.96688520365412","0.954524344661658","0.979246062646582"
"Not disabled","2000","indirect migration background","East Germany","25","","",""
"Disabled","2000","no migration background","West Germany","1676","0.131582930574449","0.126053117569229","0.137112743579669"
"Disabled","2000","no migration background","East Germany","469","0.0908308552066971","0.0833601757574343","0.0983015346559599"
"Disabled","2000","direct migration background","West Germany","256","0.0853967889066185","0.0756970964923503","0.0950964813208868"
"Disabled","2000","direct migration background","East Germany","17","","",""
"Disabled","2000","indirect migration background","West Germany","26","","",""
"Disabled","2000","indirect migration background","East Germany","1","","",""
"Not disabled","2001","no migration background","West Germany","11484","0.867164730033915","0.861330046184927","0.872999413882904"
"Not disabled","2001","no migration background","East Germany","4861","0.912976467248975","0.905377164587933","0.920575769910017"
"Not disabled","2001","direct migration background","West Germany","2584","0.913399139153113","0.90301687781384","0.923781400492387"
"Not disabled","2001","direct migration background","East Germany","108","0.865514457726795","0.805220957334576","0.925807958119014"
"Not disabled","2001","indirect migration background","West Germany","720","0.955279402842451","0.940496928751622","0.97006187693328"
"Not disabled","2001","indirect migration background","East Germany","24","","",""
"Disabled","2001","no migration background","West Germany","1514","0.132835269966084","0.127000586117096","0.138669953815073"
"Disabled","2001","no migration background","East Germany","424","0.087023532751025","0.0794242300899828","0.0946228354120671"
"Disabled","2001","direct migration background","West Germany","235","0.0866008608468867","0.076218599507613","0.0969831221861605"
"Disabled","2001","direct migration background","East Germany","15","","",""
"Disabled","2001","indirect migration background","West Germany","31","0.0447205971575486","0.0299381230667195","0.0595030712483778"
"Disabled","2001","indirect migration background","East Germany","1","","",""
"Not disabled","2002","no migration background","West Germany","12571","0.858084892851613","0.852347693583638","0.863822092119587"
"Not disabled","2002","no migration background","East Germany","4824","0.896767857127764","0.888572599763353","0.904963114492175"
"Not disabled","2002","direct migration background","West Germany","2474","0.91244191597751","0.901782423250048","0.923101408704971"
"Not disabled","2002","direct migration background","East Germany","97","0.819601938761749","0.749627968219996","0.889575909303501"
"Not disabled","2002","indirect migration background","West Germany","730","0.955744676100674","0.941123072679373","0.970366279521976"
"Not disabled","2002","indirect migration background","East Germany","23","","",""
"Disabled","2002","no migration background","West Germany","1641","0.141915107148387","0.136177907880413","0.147652306416362"
"Disabled","2002","no migration background","East Germany","471","0.103232142872236","0.0950368855078254","0.111427400236647"
"Disabled","2002","direct migration background","West Germany","227","0.0875580840224904","0.0768985912950284","0.0982175767499523"
"Disabled","2002","direct migration background","East Germany","19","","",""
"Disabled","2002","indirect migration background","West Germany","30","0.0442553238993255","0.0296337204780236","0.0588769273206275"
"Disabled","2002","indirect migration background","East Germany","1","","",""
"Not disabled","2003","no migration background","West Germany","12009","0.858658392344764","0.852804939534152","0.864511845155377"
"Not disabled","2003","no migration background","East Germany","4742","0.898466025601717","0.890269386329419","0.906662664874016"
"Not disabled","2003","direct migration background","West Germany","2307","0.910098533969316","0.898965819749438","0.921231248189195"
"Not disabled","2003","direct migration background","East Germany","91","0.862024382920872","0.7963711515977","0.927677614244045"
"Not disabled","2003","indirect migration background","West Germany","731","0.967574016027687","0.954964391104942","0.980183640950433"
"Not disabled","2003","indirect migration background","East Germany","31","0.96598051529244","0.903171620627139","1.02878940995774"
"Disabled","2003","no migration background","West Germany","1598","0.141341607655236","0.135488154844623","0.147195060465848"
"Disabled","2003","no migration background","East Germany","474","0.101533974398283","0.0933373351259843","0.109730613670581"
"Disabled","2003","direct migration background","West Germany","229","0.0899014660306838","0.078768751810805","0.101034180250562"
"Disabled","2003","direct migration background","East Germany","15","","",""
"Disabled","2003","indirect migration background","West Germany","27","","",""
"Disabled","2003","indirect migration background","East Germany","1","","",""
"Not disabled","2004","no migration background","West Germany","11627","0.853955121781896","0.84793812714978","0.859972116414013"
"Not disabled","2004","no migration background","East Germany","4618","0.890749431367127","0.882189554965706","0.899309307768548"
"Not disabled","2004","direct migration background","West Germany","2216","0.903904991468265","0.892225291898313","0.915584691038217"
"Not disabled","2004","direct migration background","East Germany","86","0.859169367594808","0.791664364401458","0.926674370788158"
"Not disabled","2004","indirect migration background","West Germany","744","0.952738818624112","0.937808934144534","0.967668703103689"
"Not disabled","2004","indirect migration background","East Germany","35","1","1","1"
"Disabled","2004","no migration background","West Germany","1606","0.146044878218103","0.140027883585987","0.15206187285022"
"Disabled","2004","no migration background","East Germany","484","0.109250568632873","0.100690692231452","0.117810445034294"
"Disabled","2004","direct migration background","West Germany","230","0.0960950085317352","0.0844153089617833","0.107774708101687"
"Disabled","2004","direct migration background","East Germany","16","","",""
"Disabled","2004","indirect migration background","West Germany","32","0.0472611813758883","0.0323312968963111","0.0621910658554656"
"Disabled","2004","indirect migration background","East Germany","","","",""
"Not disabled","2005","no migration background","West Germany","11079","0.858443285130476","0.852367637979137","0.864518932281814"
"Not disabled","2005","no migration background","East Germany","4425","0.884360282591806","0.875421752374952","0.893298812808661"
"Not disabled","2005","direct migration background","West Germany","2055","0.905496046405939","0.893483377720481","0.917508715091397"
"Not disabled","2005","direct migration background","East Germany","84","0.881486757734544","0.818137806837798","0.944835708631291"
"Not disabled","2005","indirect migration background","West Germany","775","0.970355632985213","0.95858816022314","0.982123105747286"
"Not disabled","2005","indirect migration background","East Germany","35","1","1","1"
"Disabled","2005","no migration background","West Germany","1567","0.141556714869524","0.135481067718186","0.147632362020863"
"Disabled","2005","no migration background","East Germany","492","0.115639717408194","0.106701187191339","0.124578247625048"
"Disabled","2005","direct migration background","West Germany","223","0.094503953594061","0.0824912849086028","0.106516622279519"
"Disabled","2005","direct migration background","East Germany","16","","",""
"Disabled","2005","indirect migration background","West Germany","23","","",""
"Disabled","2005","indirect migration background","East Germany","","","",""
"Not disabled","2006","no migration background","West Germany","11946","0.855268127735707","0.849374111513151","0.861162143958263"
"Not disabled","2006","no migration background","East Germany","4594","0.877268818465717","0.868294082694256","0.886243554237179"
"Not disabled","2006","direct migration background","West Germany","2032","0.891948747767941","0.879194735969357","0.904702759566526"
"Not disabled","2006","direct migration background","East Germany","99","0.925277800498836","0.876362187934891","0.97419341306278"
"Not disabled","2006","indirect migration background","West Germany","759","0.971712017037206","0.960099215936399","0.983324818138012"
"Not disabled","2006","indirect migration background","East Germany","40","1","1","1"
"Disabled","2006","no migration background","West Germany","1742","0.144731872264293","0.138837856041737","0.150625888486848"
"Disabled","2006","no migration background","East Germany","541","0.122731181534283","0.113756445762821","0.131705917305744"
"Disabled","2006","direct migration background","West Germany","244","0.108051252232059","0.0952972404334743","0.120805264030643"
"Disabled","2006","direct migration background","East Germany","12","","",""
"Disabled","2006","indirect migration background","West Germany","24","","",""
"Disabled","2006","indirect migration background","East Germany","","","",""
"Not disabled","2007","no migration background","West Germany","11121","0.854145850250331","0.848025982154513","0.860265718346149"
"Not disabled","2007","no migration background","East Germany","4376","0.881871909072721","0.872822790713864","0.890921027431578"
"Not disabled","2007","direct migration background","West Germany","1820","0.894046881831907","0.880684526424312","0.907409237239502"
"Not disabled","2007","direct migration background","East Germany","83","0.924786445000957","0.871471010844075","0.978101879157838"
"Not disabled","2007","indirect migration background","West Germany","722","0.973929328596377","0.962494793619108","0.985363863573645"
"Not disabled","2007","indirect migration background","East Germany","39","0.873239461535203","0.771400285482905","0.975078637587501"
"Disabled","2007","no migration background","West Germany","1657","0.145854149749669","0.139734281653851","0.151974017845488"
"Disabled","2007","no migration background","East Germany","511","0.118128090927279","0.109078972568422","0.127177209286136"
"Disabled","2007","direct migration background","West Germany","218","0.105953118168093","0.0925907627604977","0.119315473575688"
"Disabled","2007","direct migration background","East Germany","11","","",""
"Disabled","2007","indirect migration background","West Germany","24","","",""
"Disabled","2007","indirect migration background","East Germany","2","","",""
"Not disabled","2008","no migration background","West Germany","10493","0.855764794904049","0.849491908631227","0.862037681176871"
"Not disabled","2008","no migration background","East Germany","4171","0.885381402077378","0.876232105293087","0.89453069886167"
"Not disabled","2008","direct migration background","West Germany","1633","0.895126707248419","0.881096629882713","0.909156784614126"
"Not disabled","2008","direct migration background","East Germany","73","0.930410151212899","0.874996629991536","0.985823672434262"
"Not disabled","2008","indirect migration background","West Germany","703","0.960617522896514","0.94650796429065","0.974727081502379"
"Not disabled","2008","indirect migration background","East Germany","41","0.881656619965337","0.785110331199976","0.978202908730698"
"Disabled","2008","no migration background","West Germany","1557","0.144235205095951","0.137962318823129","0.150508091368773"
"Disabled","2008","no migration background","East Germany","486","0.114618597922622","0.10546930113833","0.123767894706913"
"Disabled","2008","direct migration background","West Germany","199","0.104873292751581","0.0908432153858746","0.118903370117287"
"Disabled","2008","direct migration background","East Germany","8","","",""
"Disabled","2008","indirect migration background","West Germany","27","","",""
"Disabled","2008","indirect migration background","East Germany","2","","",""
"Not disabled","2009","no migration background","West Germany","9798","0.85513592507907","0.848638724681624","0.861633125476515"
"Not disabled","2009","no migration background","East Germany","3956","0.889227092409024","0.879992313607684","0.898461871210363"
"Not disabled","2009","direct migration background","West Germany","1408","0.890855443185567","0.87550923239082","0.906201653980314"
"Not disabled","2009","direct migration background","East Germany","70","0.954241594487496","0.90726236302914","1.00122082594585"
"Not disabled","2009","indirect migration background","West Germany","649","0.965108068077146","0.951254277314152","0.97896185884014"
"Not disabled","2009","indirect migration background","East Germany","40","0.979167429882736","0.935449854425549","1.02288500533992"
"Disabled","2009","no migration background","West Germany","1475","0.144864074920931","0.138366874523485","0.151361275318376"
"Disabled","2009","no migration background","East Germany","481","0.110772907590976","0.101538128789637","0.120007686392316"
"Disabled","2009","direct migration background","West Germany","178","0.109144556814433","0.0937983460196858","0.12449076760918"
"Disabled","2009","direct migration background","East Germany","6","","",""
"Disabled","2009","indirect migration background","West Germany","25","","",""
"Disabled","2009","indirect migration background","East Germany","1","","",""
"Not disabled","2010","no migration background","West Germany","13156","0.857683960992296","0.852034037800112","0.863333884184481"
"Not disabled","2010","no migration background","East Germany","4772","0.88253721146545","0.873841115374241","0.89123330755666"
"Not disabled","2010","direct migration background","West Germany","2587","0.903092123841095","0.892081327715177","0.914102919967013"
"Not disabled","2010","direct migration background","East Germany","118","0.942701973913063","0.902121243738241","0.983282704087885"
"Not disabled","2010","indirect migration background","West Germany","1036","0.95017853167609","0.937147937364535","0.963209125987645"
"Not disabled","2010","indirect migration background","East Germany","73","0.864110378799345","0.787069886447432","0.941150871151258"
"Disabled","2010","no migration background","West Germany","1533","0.142316039007703","0.136666115815519","0.147965962199888"
"Disabled","2010","no migration background","East Germany","494","0.11746278853455","0.10876669244334","0.126158884625759"
"Disabled","2010","direct migration background","West Germany","186","0.0969078761589048","0.0858970800329864","0.107918672284823"
"Disabled","2010","direct migration background","East Germany","8","","",""
"Disabled","2010","indirect migration background","West Germany","35","0.0498214683239104","0.0367908740123553","0.0628520626354654"
"Disabled","2010","indirect migration background","East Germany","3","","",""
"Not disabled","2011","no migration background","West Germany","15821","0.858665396216759","0.85354942630808","0.863781366125438"
"Not disabled","2011","no migration background","East Germany","5453","0.879088284257815","0.870898712225201","0.887277856290429"
"Not disabled","2011","direct migration background","West Germany","2877","0.91707274193203","0.90735403073873","0.92679145312533"
"Not disabled","2011","direct migration background","East Germany","141","0.899128805637187","0.851870262515255","0.94638734875912"
"Not disabled","2011","indirect migration background","West Germany","1170","0.946668159993608","0.934064913564148","0.959271406423068"
"Not disabled","2011","indirect migration background","East Germany","84","0.979087701742573","0.948845699219962","1.00932970426518"
"Disabled","2011","no migration background","West Germany","1991","0.141334603783241","0.136218633874562","0.14645057369192"
"Disabled","2011","no migration background","East Germany","635","0.120911715742185","0.112722143709571","0.129101287774799"
"Disabled","2011","direct migration background","West Germany","216","0.0829272580679701","0.0732085468746696","0.0926459692612705"
"Disabled","2011","direct migration background","East Germany","15","","",""
"Disabled","2011","indirect migration background","West Germany","51","0.0533318400063918","0.0407285935769316","0.065935086435852"
"Disabled","2011","indirect migration background","East Germany","2","","",""
"Not disabled","2012","no migration background","West Germany","15350","0.85696335514439","0.851761858332471","0.862164851956309"
"Not disabled","2012","no migration background","East Germany","5278","0.866842080444607","0.858218142979504","0.87546601790971"
"Not disabled","2012","direct migration background","West Germany","2675","0.910092582166361","0.899674462011571","0.92051070232115"
"Not disabled","2012","direct migration background","East Germany","139","0.868344999909044","0.814943609681758","0.92174639013633"
"Not disabled","2012","indirect migration background","West Germany","1149","0.937261107952862","0.923546755455772","0.950975460449951"
"Not disabled","2012","indirect migration background","East Germany","74","0.866812226744641","0.79235655420409","0.941267899285193"
"Disabled","2012","no migration background","West Germany","2054","0.14303664485561","0.137835148043691","0.148238141667528"
"Disabled","2012","no migration background","East Germany","684","0.133157919555393","0.12453398209029","0.141781857020496"
"Disabled","2012","direct migration background","West Germany","221","0.0899074178336393","0.0794892976788502","0.100325537988428"
"Disabled","2012","direct migration background","East Germany","15","","",""
"Disabled","2012","indirect migration background","West Germany","52","0.0627388920471383","0.0490245395500489","0.0764532445442277"
"Disabled","2012","indirect migration background","East Germany","6","","",""
"Not disabled","2013","no migration background","West Germany","14622","0.855349717984239","0.849997060078142","0.860702375890336"
"Not disabled","2013","no migration background","East Germany","4958","0.871178649885036","0.862398295504247","0.879959004265824"
"Not disabled","2013","direct migration background","West Germany","5588","0.900737406913762","0.893148004274099","0.908326809553426"
"Not disabled","2013","direct migration background","East Germany","412","0.847761057466553","0.814078350782819","0.881443764150286"
"Not disabled","2013","indirect migration background","West Germany","1960","0.95164155907641","0.942304997603802","0.960978120549018"
