"m11124","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Not disabled","1986","Employed","higher education","607","1","1","1","0"
"Disabled","1987","Not Employed","general elemantary","151","0.139405878618791","0.12062784860938","0.158183908628203","1"
"Disabled","1987","Not Employed","inadequately","36","0.230465166292203","0.181743298283222","0.279187034301185","1"
"Disabled","1987","Employed","higher education","23","","","","1"
"Disabled","1987","Not Employed","middle vocational","286","0.206193432683909","0.186295058190712","0.226091807177107","1"
"Disabled","1987","Employed","vocational + Abi","9","","","","1"
"Disabled","1987","Not Employed","higher vocational","44","0.293779984066927","0.223639025564545","0.36392094256931","1"
"Disabled","1987","Employed","higher vocational","29","","","","1"
"Disabled","1987","Not Employed","vocational + Abi","11","","","","1"
"Disabled","1987","Not Employed","in school","3","","","","1"
"Disabled","1987","Employed","middle vocational","179","0.0629095029187651","0.0547168520902573","0.0711021537472728","1"
"Disabled","1987","Not Employed","higher education","31","0.233980425785362","0.164347664735551","0.303613186835172","1"
"Disabled","1987","Employed","in school","","","","","1"
"Disabled","1987","Employed","inadequately","23","","","","1"
"Disabled","1987","Employed","general elemantary","63","0.0539468985486792","0.0426601258523506","0.0652336712450078","1"
"Not disabled","1987","Not Employed","in school","175","0.989567109454333","0.974640435675336","1.00449378323333","0"
"Not disabled","1987","Not Employed","inadequately","251","0.769534833707797","0.720812965698815","0.818256701716778","0"
"Not disabled","1987","Not Employed","general elemantary","1156","0.860594121381209","0.841816091371797","0.87937215139062","0"
"Not disabled","1987","Not Employed","middle vocational","1302","0.793806567316091","0.773908192822893","0.813704941809288","0"
"Not disabled","1987","Not Employed","vocational + Abi","61","0.840405091781682","0.755811844611458","0.924998338951907","0"
"Not disabled","1987","Not Employed","higher vocational","118","0.706220015933073","0.63607905743069","0.776360974435455","0"
"Not disabled","1987","Not Employed","higher education","111","0.766019574214638","0.696386813164828","0.835652335264449","0"
"Not disabled","1987","Employed","in school","12","","","","0"
"Not disabled","1987","Employed","inadequately","447","0.917808804467008","0.892978164057267","0.942639444876749","0"
"Not disabled","1987","Employed","general elemantary","1476","0.946053101451321","0.934766328754992","0.957339874147649","0"
"Not disabled","1987","Employed","middle vocational","3195","0.937090497081235","0.928897846252727","0.945283147909743","0"
"Not disabled","1987","Employed","vocational + Abi","197","0.95161064711414","0.922307178233017","0.980914115995264","0"
"Not disabled","1987","Employed","higher vocational","376","0.9257690674739","0.900238270591788","0.951299864356012","0"
"Not disabled","1987","Employed","higher education","576","0.958129313444444","0.942089408709916","0.974169218178972","0"
"Disabled","1988","Not Employed","general elemantary","167","0.170506970532505","0.149272961044643","0.191740980020366","1"
"Disabled","1988","Not Employed","inadequately","40","0.2369745069197","0.188695281114949","0.285253732724451","1"
"Disabled","1988","Employed","vocational + Abi","10","","","","1"
"Disabled","1988","Employed","higher education","25","","","","1"
"Disabled","1988","Not Employed","middle vocational","321","0.240227989715405","0.218564608561485","0.261891370869326","1"
"Disabled","1988","Not Employed","vocational + Abi","14","","","","1"
"Disabled","1988","Not Employed","higher vocational","40","0.284855192087556","0.212865770818527","0.356844613356586","1"
"Disabled","1988","Employed","higher vocational","29","","","","1"
"Disabled","1988","Not Employed","in school","1","","","","1"
"Disabled","1988","Not Employed","higher education","28","","","","1"
"Disabled","1988","Employed","middle vocational","182","0.0637368796388692","0.055328042463193","0.0721457168145454","1"
"Disabled","1988","Employed","in school","","","","","1"
"Disabled","1988","Employed","inadequately","24","","","","1"
"Disabled","1988","Employed","general elemantary","64","0.0534384819909763","0.0421357101071694","0.0647412538747831","1"
"Not disabled","1988","Not Employed","in school","154","0.988328587161544","0.971420493839916","1.00523668048317","0"
"Not disabled","1988","Not Employed","inadequately","258","0.7630254930803","0.714746267275549","0.811304718885051","0"
"Not disabled","1988","Not Employed","general elemantary","1038","0.829493029467495","0.808259019979634","0.850727038955357","0"
"Not disabled","1988","Not Employed","middle vocational","1173","0.759772010284595","0.738108629130674","0.781435391438515","0"
"Not disabled","1988","Not Employed","vocational + Abi","57","0.787717928114183","0.692600315669065","0.882835540559301","0"
"Not disabled","1988","Not Employed","higher vocational","111","0.715144807912444","0.643155386643414","0.787134229181473","0"
"Not disabled","1988","Not Employed","higher education","102","0.751394442169962","0.677098375745677","0.825690508594246","0"
"Not disabled","1988","Employed","in school","8","","","","0"
"Not disabled","1988","Employed","inadequately","376","0.933066304103089","0.908575854874291","0.957556753331888","0"
"Not disabled","1988","Employed","general elemantary","1457","0.946561518009024","0.935258746125217","0.957864289892831","0"
"Not disabled","1988","Employed","middle vocational","3060","0.936263120361131","0.927854283185455","0.944671957536807","0"
"Not disabled","1988","Employed","vocational + Abi","190","0.950453257334892","0.920378230124869","0.980528284544915","0"
"Not disabled","1988","Employed","higher vocational","359","0.923189510996813","0.896693046780751","0.949685975212874","0"
"Not disabled","1988","Employed","higher education","545","0.951096836990214","0.933392017357329","0.968801656623098","0"
"Disabled","1989","Not Employed","general elemantary","177","0.192622309498427","0.169699939207571","0.215544679789282","1"
"Disabled","1989","Employed","vocational + Abi","9","","","","1"
"Disabled","1989","Employed","higher vocational","25","","","","1"
"Disabled","1989","Not Employed","inadequately","44","0.262773437414553","0.211852268898577","0.313694605930529","1"
"Disabled","1989","Not Employed","middle vocational","326","0.257657551703354","0.235092386843592","0.280222716563115","1"
"Disabled","1989","Employed","middle vocational","169","0.062380658285225","0.0539683635227768","0.0707929530476732","1"
"Disabled","1989","Employed","higher education","28","","","","1"
"Disabled","1989","Not Employed","vocational + Abi","13","","","","1"
"Disabled","1989","Not Employed","higher vocational","41","0.31443318144983","0.238068420150704","0.390797942748956","1"
"Disabled","1989","Not Employed","in school","2","","","","1"
"Disabled","1989","Not Employed","higher education","27","","","","1"
"Disabled","1989","Employed","in school","","","","","1"
"Disabled","1989","Employed","inadequately","24","","","","1"
"Disabled","1989","Employed","general elemantary","54","0.0495093847008936","0.0383011975218827","0.0607175718799046","1"
"Not disabled","1989","Not Employed","in school","153","0.982135061181618","0.961282057681093","1.00298806468214","0"
"Not disabled","1989","Not Employed","inadequately","243","0.737226562585447","0.686305394069471","0.788147731101423","0"
"Not disabled","1989","Not Employed","general elemantary","960","0.807377690501573","0.784455320210718","0.830300060792429","0"
"Not disabled","1989","Not Employed","middle vocational","1117","0.742342448296647","0.719777283436885","0.764907613156408","0"
"Not disabled","1989","Not Employed","vocational + Abi","65","0.821348241026979","0.736338615389409","0.906357866664548","0"
"Not disabled","1989","Not Employed","higher vocational","101","0.68556681855017","0.609202057251044","0.761931579849296","0"
"Not disabled","1989","Not Employed","higher education","97","0.763497607985196","0.68870496891859","0.838290247051802","0"
"Not disabled","1989","Employed","in school","19","","","","0"
"Not disabled","1989","Employed","inadequately","347","0.931913113243095","0.906281225876492","0.957545000609698","0"
"Not disabled","1989","Employed","general elemantary","1385","0.950490615299106","0.939282428120095","0.961698802478117","0"
"Not disabled","1989","Employed","middle vocational","3006","0.937619341714775","0.929207046952327","0.946031636477223","0"
"Not disabled","1989","Employed","vocational + Abi","203","0.956357898992081","0.928857233073231","0.983858564910932","0"
"Not disabled","1989","Employed","higher vocational","349","0.933415272364188","0.908149239601994","0.958681305126381","0"
"Not disabled","1989","Employed","higher education","542","0.94647506682884","0.927997562235107","0.964952571422573","0"
"Disabled","1990","Not Employed","general elemantary","","","","","1"
"Disabled","1990","Employed","vocational + Abi","","","","","1"
"Disabled","1990","Employed","higher vocational","","","","","1"
"Disabled","1990","Not Employed","middle vocational","","","","","1"
"Disabled","1990","Not Employed","vocational + Abi","","","","","1"
"Disabled","1990","Not Employed","inadequately","","","","","1"
"Disabled","1990","Not Employed","higher vocational","","","","","1"
"Disabled","1990","Employed","middle vocational","","","","","1"
"Disabled","1990","Employed","higher education","","","","","1"
"Disabled","1990","Not Employed","in school","","","","","1"
"Disabled","1990","Not Employed","higher education","","","","","1"
"Disabled","1990","Employed","in school","","","","","1"
"Disabled","1990","Employed","inadequately","","","","","1"
"Disabled","1990","Employed","general elemantary","","","","","1"
"Not disabled","1990","Not Employed","in school","","","","","0"
"Not disabled","1990","Not Employed","inadequately","","","","","0"
"Not disabled","1990","Not Employed","general elemantary","","","","","0"
"Not disabled","1990","Not Employed","middle vocational","","","","","0"
"Not disabled","1990","Not Employed","vocational + Abi","","","","","0"
"Not disabled","1990","Not Employed","higher vocational","","","","","0"
"Not disabled","1990","Not Employed","higher education","","","","","0"
"Not disabled","1990","Employed","in school","","","","","0"
"Not disabled","1990","Employed","inadequately","","","","","0"
"Not disabled","1990","Employed","general elemantary","","","","","0"
"Not disabled","1990","Employed","middle vocational","","","","","0"
"Not disabled","1990","Employed","vocational + Abi","","","","","0"
"Not disabled","1990","Employed","higher vocational","","","","","0"
"Not disabled","1990","Employed","higher education","","","","","0"
"Disabled","1991","Not Employed","vocational + Abi","16","","","","1"
"Disabled","1991","Not Employed","general elemantary","173","0.199242588873386","0.174943444257201","0.223541733489571","1"
"Disabled","1991","Employed","vocational + Abi","13","","","","1"
"Disabled","1991","Not Employed","middle vocational","338","0.274166881858563","0.250899011833526","0.2974347518836","1"
"Disabled","1991","Not Employed","inadequately","44","0.274375370395918","0.219823443055371","0.328927297736466","1"
"Disabled","1991","Employed","higher vocational","19","","","","1"
"Disabled","1991","Employed","higher education","23","","","","1"
"Disabled","1991","Not Employed","higher vocational","40","0.293641844854346","0.218201176561844","0.369082513146849","1"
"Disabled","1991","Employed","middle vocational","166","0.0639096581916651","0.0553258000212178","0.0724935163621123","1"
"Disabled","1991","Not Employed","in school","3","","","","1"
"Disabled","1991","Not Employed","higher education","34","0.258475780400338","0.18595596815304","0.330995592647637","1"
"Disabled","1991","Employed","in school","","","","","1"
"Disabled","1991","Employed","inadequately","27","","","","1"
"Disabled","1991","Employed","general elemantary","57","0.0553135422073785","0.0432266595737407","0.0674004248410163","1"
"Not disabled","1991","Not Employed","in school","128","0.966685155467923","0.935954355662235","0.997415955273612","0"
"Not disabled","1991","Not Employed","inadequately","213","0.725624629604082","0.671072702263534","0.780176556944629","0"
"Not disabled","1991","Not Employed","general elemantary","865","0.800757411126614","0.776458266510429","0.825056555742799","0"
"Not disabled","1991","Not Employed","middle vocational","1074","0.725833118141437","0.7025652481164","0.749100988166474","0"
"Not disabled","1991","Not Employed","vocational + Abi","59","0.719687831873546","0.618037098900479","0.821338564846612","0"
"Not disabled","1991","Not Employed","higher vocational","100","0.706358155145654","0.630917486853151","0.781798823438156","0"
"Not disabled","1991","Not Employed","higher education","106","0.741524219599662","0.669004407352363","0.81404403184696","0"
"Not disabled","1991","Employed","in school","18","","","","0"
"Not disabled","1991","Employed","inadequately","338","0.920558033983683","0.89281510968633","0.948300958281036","0"
"Not disabled","1991","Employed","general elemantary","1317","0.944686457792622","0.932599575158984","0.956773340426259","0"
"Not disabled","1991","Employed","middle vocational","2953","0.936090341808335","0.927506483637888","0.944674199978782","0"
"Not disabled","1991","Employed","vocational + Abi","218","0.95228887511335","0.924801309153735","0.979776441072965","0"
"Not disabled","1991","Employed","higher vocational","359","0.947919091194214","0.925520169929351","0.970318012459076","0"
"Not disabled","1991","Employed","higher education","557","0.957854049169728","0.941502395051164","0.974205703288292","0"
"Disabled","1992","Not Employed","vocational + Abi","15","","","","1"
"Disabled","1992","Not Employed","general elemantary","193","0.185942026632457","0.164493819194107","0.207390234070807","1"
"Disabled","1992","Not Employed","middle vocational","419","0.254715700224427","0.235236987928167","0.274194412520687","1"
"Disabled","1992","Employed","vocational + Abi","9","","","","1"
"Disabled","1992","Employed","higher vocational","25","","","","1"
"Disabled","1992","Not Employed","inadequately","49","0.29277220022747","0.238596064351671","0.346948336103268","1"
"Disabled","1992","Not Employed","higher vocational","47","0.290684194078758","0.222021003849617","0.359347384307898","1"
"Disabled","1992","Employed","higher education","45","0.0381211894838397","0.0280181523717216","0.0482242265959577","1"
"Disabled","1992","Employed","middle vocational","228","0.0575881393083622","0.050983926827084","0.0641923517896404","1"
"Disabled","1992","Not Employed","in school","1","","","","1"
"Disabled","1992","Not Employed","higher education","62","0.268289993884158","0.215244019795735","0.321335967972582","1"
"Disabled","1992","Employed","in school","","","","","1"
"Disabled","1992","Employed","inadequately","27","","","","1"
"Disabled","1992","Employed","general elemantary","72","0.0632926255087477","0.051064027609351","0.0755212234081445","1"
"Not disabled","1992","Not Employed","in school","157","0.99631464704718","0.986866267110632","1.00576302698373","0"
"Not disabled","1992","Not Employed","inadequately","222","0.70722779977253","0.653051663896732","0.761403935648329","0"
"Not disabled","1992","Not Employed","general elemantary","1071","0.814057973367543","0.792609765929193","0.835506180805893","0"
"Not disabled","1992","Not Employed","middle vocational","1503","0.745284299775573","0.725805587479313","0.764763012071833","0"
"Not disabled","1992","Not Employed","vocational + Abi","84","0.777271141679914","0.695310563954482","0.859231719405346","0"
"Not disabled","1992","Not Employed","higher vocational","121","0.709315805921242","0.640652615692101","0.777978996150383","0"
"Not disabled","1992","Not Employed","higher education","206","0.731710006115842","0.678664032027418","0.784755980204265","0"
"Not disabled","1992","Employed","in school","29","","","","0"
"Not disabled","1992","Employed","inadequately","326","0.906080756279051","0.875649387634134","0.936512124923967","0"
"Not disabled","1992","Employed","general elemantary","1451","0.936707374491252","0.924478776591856","0.948935972390649","0"
"Not disabled","1992","Employed","middle vocational","4552","0.942411860691638","0.93580764821036","0.949016073172916","0"
"Not disabled","1992","Employed","vocational + Abi","277","0.97214572363758","0.953074581646994","0.991216865628166","0"
"Not disabled","1992","Employed","higher vocational","573","0.947641431059003","0.929788340704655","0.965494521413352","0"
"Not disabled","1992","Employed","higher education","1335","0.96187881051616","0.951775773404042","0.971981847628278","0"
"Disabled","1993","Not Employed","general elemantary","","","","","1"
"Disabled","1993","Not Employed","vocational + Abi","","","","","1"
"Disabled","1993","Not Employed","middle vocational","","","","","1"
"Disabled","1993","Employed","vocational + Abi","","","","","1"
"Disabled","1993","Employed","higher vocational","","","","","1"
"Disabled","1993","Not Employed","inadequately","","","","","1"
"Disabled","1993","Not Employed","higher vocational","","","","","1"
"Disabled","1993","Employed","higher education","","","","","1"
"Disabled","1993","Employed","middle vocational","","","","","1"
"Disabled","1993","Not Employed","in school","","","","","1"
"Disabled","1993","Not Employed","higher education","","","","","1"
"Disabled","1993","Employed","in school","","","","","1"
"Disabled","1993","Employed","inadequately","","","","","1"
"Disabled","1993","Employed","general elemantary","","","","","1"
"Not disabled","1993","Not Employed","vocational + Abi","","","","","0"
"Not disabled","1993","Not Employed","higher vocational","","","","","0"
"Not disabled","1993","Not Employed","higher education","","","","","0"
"Not disabled","1993","Employed","in school","","","","","0"
"Not disabled","1993","Employed","inadequately","","","","","0"
"Not disabled","1993","Not Employed","in school","","","","","0"
"Not disabled","1993","Not Employed","inadequately","","","","","0"
"Not disabled","1993","Not Employed","general elemantary","","","","","0"
"Not disabled","1993","Not Employed","middle vocational","","","","","0"
"Not disabled","1993","Employed","general elemantary","","","","","0"
"Not disabled","1993","Employed","middle vocational","","","","","0"
"Not disabled","1993","Employed","vocational + Abi","","","","","0"
"Not disabled","1993","Employed","higher vocational","","","","","0"
"Not disabled","1993","Employed","higher education","","","","","0"
"Disabled","1994","Not Employed","inadequately","43","0.238780207681687","0.186349534798035","0.291210880565339","1"
"Disabled","1994","Not Employed","general elemantary","203","0.192314698270314","0.170006431555052","0.214622964985576","1"
"Disabled","1994","Not Employed","middle vocational","407","0.229157935425301","0.211400628106705","0.246915242743897","1"
"Disabled","1994","Not Employed","vocational + Abi","15","","","","1"
"Disabled","1994","Employed","vocational + Abi","6","","","","1"
"Disabled","1994","Employed","higher education","41","0.0434778689272771","0.0324220241385423","0.0545337137160119","1"
"Disabled","1994","Employed","higher vocational","26","","","","1"
"Disabled","1994","Not Employed","in school","","","","","1"
"Disabled","1994","Not Employed","higher vocational","52","0.304020660559045","0.240110298818675","0.367931022299415","1"
"Disabled","1994","Employed","middle vocational","213","0.0556433143723967","0.0488808272424998","0.0624058015022936","1"
"Disabled","1994","Not Employed","higher education","66","0.210069123321974","0.166769482991054","0.253368763652894","1"
"Disabled","1994","Employed","in school","","","","","1"
"Disabled","1994","Employed","inadequately","18","","","","1"
"Disabled","1994","Employed","general elemantary","60","0.0642269489546925","0.0509054420081246","0.0775484559012604","1"
"Not disabled","1994","Not Employed","vocational + Abi","93","0.812257609389446","0.738609046066781","0.885906172712111","0"
"Not disabled","1994","Not Employed","higher vocational","147","0.695979339440955","0.632068977700585","0.759889701181325","0"
"Not disabled","1994","Not Employed","higher education","274","0.789930876678026","0.746631236347106","0.833230517008946","0"
"Not disabled","1994","Employed","in school","17","","","","0"
"Not disabled","1994","Employed","inadequately","284","0.943788169371651","0.917810765370373","0.969765573372928","0"
"Not disabled","1994","Not Employed","in school","223","1","1","1","0"
"Not disabled","1994","Not Employed","inadequately","211","0.761219792318313","0.708789119434661","0.813650465201965","0"
"Not disabled","1994","Not Employed","general elemantary","996","0.807685301729686","0.785377035014424","0.829993568444948","0"
"Not disabled","1994","Not Employed","middle vocational","1745","0.770842064574699","0.753084757256103","0.788599371893295","0"
"Not disabled","1994","Employed","general elemantary","1241","0.935773051045308","0.92245154409874","0.949094557991875","0"
"Not disabled","1994","Employed","middle vocational","4201","0.944356685627603","0.937594198497706","0.9511191727575","0"
"Not disabled","1994","Employed","vocational + Abi","278","0.979961907173872","0.96366438013717","0.996259434210575","0"
"Not disabled","1994","Employed","higher vocational","531","0.935410344836553","0.914997522267212","0.955823167405895","0"
"Not disabled","1994","Employed","higher education","1266","0.956522131072723","0.945466286283988","0.967577975861458","0"
"Disabled","1995","Not Employed","inadequately","46","0.256039337697912","0.202575953959901","0.309502721435923","1"
"Disabled","1995","Not Employed","general elemantary","202","0.19908568608487","0.176869206288369","0.221302165881371","1"
"Disabled","1995","Employed","higher vocational","32","0.0737719030929787","0.0522937750604749","0.0952500311254826","1"
"Disabled","1995","Employed","vocational + Abi","6","","","","1"
"Disabled","1995","Not Employed","middle vocational","450","0.245895137251307","0.228030597300003","0.26375967720261","1"
"Disabled","1995","Not Employed","vocational + Abi","15","","","","1"
"Disabled","1995","Employed","higher education","46","0.0482162029085303","0.0369503876605276","0.059482018156533","1"
"Disabled","1995","Not Employed","in school","2","","","","1"
"Disabled","1995","Not Employed","higher vocational","51","0.289786274388087","0.22493737603581","0.354635172740364","1"
"Disabled","1995","Employed","middle vocational","222","0.0589055925138439","0.051991756133295","0.0658194288943928","1"
"Disabled","1995","Not Employed","higher education","75","0.231876365168523","0.188580595458749","0.275172134878297","1"
"Disabled","1995","Employed","in school","","","","","1"
"Disabled","1995","Employed","inadequately","20","","","","1"
"Disabled","1995","Employed","general elemantary","56","0.0562117646874585","0.0434686052288393","0.0689549241460777","1"
"Not disabled","1995","Not Employed","vocational + Abi","113","0.833269233036432","0.76869731996203","0.897841146110835","0"
"Not disabled","1995","Not Employed","higher vocational","137","0.710213725611913","0.645364827259636","0.77506262396419","0"
"Not disabled","1995","Not Employed","higher education","290","0.768123634831477","0.724827865121703","0.811419404541251","0"
"Not disabled","1995","Employed","in school","10","","","","0"
"Not disabled","1995","Employed","inadequately","254","0.932080819666867","0.902289083500446","0.961872555833288","0"
"Not disabled","1995","Not Employed","in school","274","0.987297673831404","0.974085957602291","1.00050939006052","0"
"Not disabled","1995","Not Employed","inadequately","210","0.743960662302088","0.690497278564077","0.797424046040099","0"
"Not disabled","1995","Not Employed","general elemantary","1039","0.80091431391513","0.778697834118629","0.823130793711631","0"
"Not disabled","1995","Not Employed","middle vocational","1782","0.754104862748693","0.73624032279739","0.771969402699997","0"
"Not disabled","1995","Employed","general elemantary","1199","0.943788235312541","0.931045075853922","0.956531394771161","0"
"Not disabled","1995","Employed","middle vocational","4233","0.941094407486156","0.934180571105607","0.948008243866705","0"
"Not disabled","1995","Employed","vocational + Abi","341","0.984850255832785","0.97199824437224","0.99770226729333","0"
"Not disabled","1995","Employed","higher vocational","537","0.926228096907021","0.904749968874518","0.947706224939525","0"
"Not disabled","1995","Employed","higher education","1343","0.95178379709147","0.940517981843467","0.963049612339472","0"
"Disabled","1996","Not Employed","inadequately","52","0.247158908102283","0.193254990547952","0.301062825656614","1"
"Disabled","1996","Not Employed","general elemantary","214","0.209336340784284","0.186231104535247","0.232441577033321","1"
"Disabled","1996","Employed","vocational + Abi","8","","","","1"
"Disabled","1996","Employed","higher vocational","31","0.067970581062113","0.0475919698077779","0.0883491923164482","1"
"Disabled","1996","Employed","higher education","37","0.0339034569244814","0.0244669934000088","0.043339920448954","1"
"Disabled","1996","Not Employed","middle vocational","456","0.258708568085744","0.240316987702823","0.277100148468665","1"
"Disabled","1996","Not Employed","vocational + Abi","15","","","","1"
"Disabled","1996","Not Employed","in school","","","","","1"
"Disabled","1996","Not Employed","higher vocational","50","0.321561298743541","0.253137249809794","0.389985347677288","1"
"Disabled","1996","Employed","middle vocational","222","0.0566557689397841","0.0498579889823247","0.0634535488972436","1"
"Disabled","1996","Not Employed","higher education","76","0.253569961150792","0.20805669642665","0.299083225874935","1"
"Disabled","1996","Employed","in school","","","","","1"
