"m11124","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Not disabled","1996","16-34 y.","Not Employed","1240","0.968067946831794","0.958428568938067","0.97770732472552"
"Not disabled","1996","16-34 y.","Employed","3443","0.987394216223326","0.983694409694364","0.991094022752288"
"Not disabled","1996","35-65 y.","Not Employed","1442","0.753015638228566","0.733326706675975","0.772704569781158"
"Not disabled","1996","35-65 y.","Employed","4571","0.924627629265155","0.917229212694958","0.932026045835351"
"Not disabled","1996","66 and older","Not Employed","1087","0.696383543637802","0.673267516244545","0.71949957103106"
"Not disabled","1996","66 and older","Employed","45","0.86407156118298","0.770014149545927","0.958128972820033"
"Disabled","1996","16-34 y.","Not Employed","38","0.0319320531682063","0.0222926752744802","0.0415714310619325"
"Disabled","1996","16-34 y.","Employed","50","0.0126057837766744","0.0089059772477123","0.0163055903056365"
"Disabled","1996","35-65 y.","Not Employed","401","0.246984361771434","0.227295430218842","0.266673293324025"
"Disabled","1996","35-65 y.","Employed","320","0.0753723707348455","0.067973954164649","0.082770787305042"
"Disabled","1996","66 and older","Not Employed","433","0.303616456362198","0.28050042896894","0.326732483755455"
"Disabled","1996","66 and older","Employed","6","","",""
"Not disabled","1997","16-34 y.","Not Employed","1277","0.97020423512734","0.961018181030634","0.979390289224047"
"Not disabled","1997","16-34 y.","Employed","3262","0.987072483408149","0.983223626352092","0.990921340464207"
"Not disabled","1997","35-65 y.","Not Employed","1445","0.756292083832815","0.73670761315367","0.77587655451196"
"Not disabled","1997","35-65 y.","Employed","4460","0.922417439337127","0.914832173153364","0.930002705520891"
"Not disabled","1997","66 and older","Not Employed","1138","0.719555551163743","0.69718493377007","0.741926168557417"
"Not disabled","1997","66 and older","Employed","43","0.656101544270036","0.529408767770567","0.782794320769504"
"Disabled","1997","16-34 y.","Not Employed","39","0.0297957648726597","0.0206097107759532","0.0389818189693662"
"Disabled","1997","16-34 y.","Employed","47","0.0129275165918506","0.0090786595357929","0.0167763736479083"
"Disabled","1997","35-65 y.","Not Employed","401","0.243707916167185","0.22412344548804","0.26329238684633"
"Disabled","1997","35-65 y.","Employed","318","0.0775825606628725","0.0699972944791087","0.0851678268466362"
"Disabled","1997","66 and older","Not Employed","411","0.280444448836257","0.258073831442583","0.30281506622993"
"Disabled","1997","66 and older","Employed","11","","",""
"Not disabled","1998","16-34 y.","Not Employed","1369","0.977135397942986","0.969302933525532","0.984967862360441"
"Not disabled","1998","16-34 y.","Employed","3422","0.983269207196295","0.979009024859432","0.987529389533158"
"Not disabled","1998","35-65 y.","Not Employed","1697","0.780257472328003","0.762855659763675","0.79765928489233"
"Not disabled","1998","35-65 y.","Employed","4989","0.92428246195372","0.917185713615245","0.931379210292196"
"Not disabled","1998","66 and older","Not Employed","1322","0.698136533590476","0.677080664854221","0.71919240232673"
"Not disabled","1998","66 and older","Employed","47","0.739680329855439","0.62675025350354","0.852610406207337"
"Disabled","1998","16-34 y.","Not Employed","30","0.0228646020570138","0.0150321376395592","0.0306970664744685"
"Disabled","1998","16-34 y.","Employed","60","0.0167307928037054","0.0124706104668424","0.0209909751405684"
"Disabled","1998","35-65 y.","Not Employed","478","0.219742527671997","0.20234071510767","0.237144340236325"
"Disabled","1998","35-65 y.","Employed","349","0.0757175380462796","0.0686207897078038","0.0828142863847553"
"Disabled","1998","66 and older","Not Employed","504","0.301863466409524","0.28080759767327","0.322919335145779"
"Disabled","1998","66 and older","Employed","11","","",""
"Not disabled","1999","16-34 y.","Not Employed","1177","0.979320309243713","0.971285252129976","0.98735536635745"
"Not disabled","1999","16-34 y.","Employed","3350","0.983386342008831","0.979094371360764","0.987678312656899"
"Not disabled","1999","35-65 y.","Not Employed","1539","0.770645823288275","0.752178957104307","0.789112689472243"
"Not disabled","1999","35-65 y.","Employed","4947","0.918990618431953","0.911653217422021","0.926328019441885"
"Not disabled","1999","66 and older","Not Employed","1261","0.685441188330084","0.663704510947524","0.707177865712644"
"Not disabled","1999","66 and older","Employed","60","0.717813859345056","0.615270866014849","0.820356852675263"
"Disabled","1999","16-34 y.","Not Employed","28","","",""
"Disabled","1999","16-34 y.","Employed","57","0.0166136579911687","0.0123216873431011","0.0209056286392364"
"Disabled","1999","35-65 y.","Not Employed","452","0.229354176711725","0.210887310527757","0.247821042895693"
"Disabled","1999","35-65 y.","Employed","365","0.0810093815680473","0.0736719805581153","0.0883467825779793"
"Disabled","1999","66 and older","Not Employed","492","0.314558811669916","0.292822134287356","0.336295489052476"
"Disabled","1999","66 and older","Employed","14","","",""
"Not disabled","2000","16-34 y.","Not Employed","1794","0.979697334098106","0.973239188179177","0.986155480017035"
"Not disabled","2000","16-34 y.","Employed","5217","0.982366732579741","0.978824390502666","0.985909074656815"
"Not disabled","2000","35-65 y.","Not Employed","2904","0.779951815531532","0.766640804678407","0.793262826384657"
"Not disabled","2000","35-65 y.","Employed","9079","0.925630955012335","0.92041638715611","0.930845522868559"
"Not disabled","2000","66 and older","Not Employed","2648","0.747174162778177","0.732739953304272","0.761608372252083"
"Not disabled","2000","66 and older","Employed","120","0.787845285834917","0.720837250319434","0.8548533213504"
"Disabled","2000","16-34 y.","Not Employed","38","0.0203026659018944","0.0138445199829653","0.0267608118208235"
"Disabled","2000","16-34 y.","Employed","86","0.0176332674202593","0.014090925343185","0.0211756094973336"
"Disabled","2000","35-65 y.","Not Employed","817","0.220048184468468","0.206737173615343","0.233359195321593"
"Disabled","2000","35-65 y.","Employed","646","0.0743690449876654","0.0691544771314411","0.0795836128438897"
"Disabled","2000","66 and older","Not Employed","835","0.252825837221823","0.238391627747917","0.267260046695728"
"Disabled","2000","66 and older","Employed","23","","",""
"Not disabled","2001","16-34 y.","Not Employed","1568","0.975704810143238","0.968167772202416","0.98324184808406"
"Not disabled","2001","16-34 y.","Employed","4620","0.984270494588632","0.980710975590657","0.987830013586607"
"Not disabled","2001","35-65 y.","Not Employed","2462","0.752054760080608","0.737137460129561","0.766972060031655"
"Not disabled","2001","35-65 y.","Employed","8497","0.929873120636583","0.924616358931238","0.935129882341927"
"Not disabled","2001","66 and older","Not Employed","2506","0.753479092772796","0.738702661817146","0.768255523728445"
"Not disabled","2001","66 and older","Employed","128","0.8113397704771","0.749142996581896","0.873536544372304"
"Disabled","2001","16-34 y.","Not Employed","35","0.0242951898567616","0.0167581519159397","0.0318322277975836"
"Disabled","2001","16-34 y.","Employed","74","0.0157295054113677","0.0121699864133929","0.0192890244093424"
"Disabled","2001","35-65 y.","Not Employed","757","0.247945239919392","0.233027939968345","0.262862539870439"
"Disabled","2001","35-65 y.","Employed","568","0.0701268793634175","0.0648701176580728","0.0753836410687622"
"Disabled","2001","66 and older","Not Employed","762","0.246520907227204","0.231744476271555","0.261297338182854"
"Disabled","2001","66 and older","Employed","24","","",""
"Not disabled","2002","16-34 y.","Not Employed","1617","0.966352986057407","0.957668200781568","0.975037771333247"
"Not disabled","2002","16-34 y.","Employed","4452","0.981430635597637","0.97749811352959","0.985363157665684"
"Not disabled","2002","35-65 y.","Not Employed","2434","0.746455501078978","0.731358808649808","0.761552193508148"
"Not disabled","2002","35-65 y.","Employed","9462","0.923470559906183","0.918287780152765","0.9286533396596"
"Not disabled","2002","66 and older","Not Employed","2582","0.740697665928377","0.726018380534668","0.755376951322087"
"Not disabled","2002","66 and older","Employed","172","0.745998284995121","0.686264470856139","0.805732099134103"
"Disabled","2002","16-34 y.","Not Employed","39","0.0336470139425926","0.0249622286667531","0.0423317992184321"
"Disabled","2002","16-34 y.","Employed","75","0.018569364402363","0.0146368423343163","0.0225018864704098"
"Disabled","2002","35-65 y.","Not Employed","756","0.253544498921022","0.238447806491852","0.268641191350191"
"Disabled","2002","35-65 y.","Employed","645","0.0765294400938175","0.0713466603404002","0.0817122198472348"
"Disabled","2002","66 and older","Not Employed","842","0.259302334071623","0.244623048677913","0.273981619465332"
"Disabled","2002","66 and older","Employed","32","0.254001715004879","0.194267900865897","0.313735529143861"
"Not disabled","2003","16-34 y.","Not Employed","1617","0.976242615379908","0.968901029904555","0.98358420085526"
"Not disabled","2003","16-34 y.","Employed","4161","0.98169361814128","0.97765422781739","0.985733008465171"
"Not disabled","2003","35-65 y.","Not Employed","2344","0.760860190109609","0.74572190982575","0.775998470393469"
"Not disabled","2003","35-65 y.","Employed","8997","0.923364088160632","0.918051942618179","0.928676233703084"
"Not disabled","2003","66 and older","Not Employed","2611","0.737559024814673","0.722939438329297","0.752178611300049"
"Not disabled","2003","66 and older","Employed","181","0.824687094126771","0.773137352696118","0.876236835557424"
"Disabled","2003","16-34 y.","Not Employed","36","0.0237573846200925","0.0164157991447397","0.0310989700954454"
"Disabled","2003","16-34 y.","Employed","70","0.0183063818587196","0.0142669915348291","0.0223457721826101"
"Disabled","2003","35-65 y.","Not Employed","706","0.239139809890391","0.224001529606531","0.25427809017425"
"Disabled","2003","35-65 y.","Employed","636","0.0766359118393684","0.071323766296916","0.0819480573818207"
"Disabled","2003","66 and older","Not Employed","868","0.262440975185327","0.247821388699951","0.277060561670703"
"Disabled","2003","66 and older","Employed","28","","",""
"Not disabled","2004","16-34 y.","Not Employed","1659","0.972488887175057","0.964697477961608","0.980280296388505"
"Not disabled","2004","16-34 y.","Employed","3871","0.978236287520299","0.973684857252047","0.982787717788551"
"Not disabled","2004","35-65 y.","Not Employed","2225","0.745386128947149","0.729609286505847","0.761162971388452"
"Not disabled","2004","35-65 y.","Employed","8706","0.922076709565549","0.916636184211809","0.927517234919289"
"Not disabled","2004","66 and older","Not Employed","2674","0.734476795456929","0.719996685388038","0.74895690552582"
"Not disabled","2004","66 and older","Employed","191","0.818322545158645","0.76805280409763","0.86859228621966"
"Disabled","2004","16-34 y.","Not Employed","34","0.0275111128249435","0.0197197036114951","0.0353025220383918"
"Disabled","2004","16-34 y.","Employed","77","0.0217637124797007","0.0172122822114487","0.0263151427479526"
"Disabled","2004","35-65 y.","Not Employed","704","0.254613871052851","0.238837028611548","0.270390713494154"
"Disabled","2004","35-65 y.","Employed","619","0.0779232904344512","0.0724827650807112","0.0833638157881913"
"Disabled","2004","66 and older","Not Employed","899","0.265523204543071","0.25104309447418","0.280003314611962"
"Disabled","2004","66 and older","Employed","35","0.181677454841355","0.13140771378034","0.23194719590237"
"Not disabled","2005","16-34 y.","Not Employed","1591","0.975969064121463","0.968523034208687","0.983415094034238"
"Not disabled","2005","16-34 y.","Employed","3649","0.977992916379712","0.973275352567259","0.982710480192165"
"Not disabled","2005","35-65 y.","Not Employed","2023","0.746653725889307","0.730242387610216","0.763065064168397"
"Not disabled","2005","35-65 y.","Employed","8326","0.922722356200761","0.917184259893557","0.928260452507966"
"Not disabled","2005","66 and older","Not Employed","2675","0.732052940131553","0.717541060566233","0.746564819696872"
"Not disabled","2005","66 and older","Employed","189","0.823875810830497","0.774322173066213","0.873429448594781"
"Disabled","2005","16-34 y.","Not Employed","34","0.0240309358785374","0.0165849059657617","0.031476965791313"
"Disabled","2005","16-34 y.","Employed","66","0.0220070836202878","0.0172895198078346","0.0267246474327409"
"Disabled","2005","35-65 y.","Not Employed","675","0.253346274110693","0.236934935831603","0.269757612389784"
"Disabled","2005","35-65 y.","Employed","605","0.0772776437992386","0.0717395474920339","0.0828157401064433"
"Disabled","2005","66 and older","Not Employed","903","0.267947059868447","0.253435180303128","0.282458939433767"
"Disabled","2005","66 and older","Employed","38","0.176124189169503","0.126570551405219","0.225677826933787"
"Not disabled","2006","16-34 y.","Not Employed","1461","0.966043348078951","0.956859313062543","0.975227383095359"
"Not disabled","2006","16-34 y.","Employed","3593","0.981208378191673","0.976803793853574","0.985612962529772"
"Not disabled","2006","35-65 y.","Not Employed","2171","0.743613529088397","0.727677810329147","0.759549247847647"
"Not disabled","2006","35-65 y.","Employed","8889","0.923013002256206","0.917661305985447","0.928364698526966"
"Not disabled","2006","66 and older","Not Employed","3110","0.726003097732862","0.712485542895387","0.739520652570337"
"Not disabled","2006","66 and older","Employed","246","0.814239702191311","0.769555482003253","0.858923922379369"
"Disabled","2006","16-34 y.","Not Employed","33","0.033956651921049","0.0247726169046412","0.0431406869374568"
"Disabled","2006","16-34 y.","Employed","58","0.0187916218083271","0.0143870374702282","0.023196206146426"
"Disabled","2006","35-65 y.","Not Employed","713","0.256386470911603","0.240450752152353","0.272322189670853"
"Disabled","2006","35-65 y.","Employed","642","0.0769869977437936","0.0716353014730338","0.0823386940145535"
"Disabled","2006","66 and older","Not Employed","1072","0.273996902267138","0.260479347429663","0.287514457104613"
"Disabled","2006","66 and older","Employed","45","0.185760297808689","0.141076077620631","0.230444517996747"
"Not disabled","2007","16-34 y.","Not Employed","1310","0.976971825249958","0.968922843287925","0.985020807211992"
"Not disabled","2007","16-34 y.","Employed","3336","0.979776599671092","0.975040914824959","0.984512284517225"
"Not disabled","2007","35-65 y.","Not Employed","1880","0.73943854482844","0.722327927271562","0.756549162385318"
"Not disabled","2007","35-65 y.","Employed","8312","0.919559701727284","0.913921632242666","0.925197771211902"
"Not disabled","2007","66 and older","Not Employed","3089","0.733987667049622","0.720490179832032","0.747485154267212"
"Not disabled","2007","66 and older","Employed","234","0.843605532383604","0.800439310217446","0.886771754549763"
"Disabled","2007","16-34 y.","Not Employed","24","","",""
"Disabled","2007","16-34 y.","Employed","58","0.0202234003289077","0.0154877154827745","0.0249590851750408"
"Disabled","2007","35-65 y.","Not Employed","648","0.26056145517156","0.243450837614682","0.277672072728438"
"Disabled","2007","35-65 y.","Employed","627","0.0804402982727162","0.0748022287880981","0.0860783677573343"
"Disabled","2007","66 and older","Not Employed","1028","0.266012332950378","0.252514845732788","0.279509820167968"
"Disabled","2007","66 and older","Employed","38","0.156394467616396","0.113228245450237","0.199560689782554"
"Not disabled","2008","16-34 y.","Not Employed","1177","0.969712963249473","0.96001663161281","0.979409294886136"
"Not disabled","2008","16-34 y.","Employed","3128","0.984282685778806","0.97995629925785","0.988609072299762"
"Not disabled","2008","35-65 y.","Not Employed","1631","0.735231247579225","0.716865416429836","0.753597078728615"
"Not disabled","2008","35-65 y.","Employed","7854","0.916731762003463","0.910842618843411","0.922620905163515"
"Not disabled","2008","66 and older","Not Employed","3072","0.736499885000946","0.722947513080243","0.750052256921649"
"Not disabled","2008","66 and older","Employed","252","0.890306560983129","0.854151653400587","0.926461468565671"
"Disabled","2008","16-34 y.","Not Employed","23","","",""
"Disabled","2008","16-34 y.","Employed","47","0.015717314221194","0.0113909277002375","0.0200437007421504"
"Disabled","2008","35-65 y.","Not Employed","586","0.264768752420775","0.246402921271385","0.283134583570165"
"Disabled","2008","35-65 y.","Employed","601","0.083268237996537","0.0773790948364848","0.0891573811565893"
"Disabled","2008","66 and older","Not Employed","987","0.263500114999054","0.249947743078352","0.277052486919757"
"Disabled","2008","66 and older","Employed","35","0.109693439016871","0.0735385314343284","0.145848346599413"
"Not disabled","2009","16-34 y.","Not Employed","1017","0.971277852098478","0.961121902960844","0.981433801236112"
"Not disabled","2009","16-34 y.","Employed","2920","0.984985582649771","0.980608296673164","0.989362868626378"
"Not disabled","2009","35-65 y.","Not Employed","1382","0.704164983295237","0.683765439726898","0.724564526863576"
"Not disabled","2009","35-65 y.","Employed","7374","0.918315983460701","0.912296288018673","0.92433567890273"
"Not disabled","2009","66 and older","Not Employed","2957","0.741219710634624","0.727463804796802","0.754975616472446"
"Not disabled","2009","66 and older","Employed","271","0.87248147913217","0.835588136215396","0.909374822048944"
"Disabled","2009","16-34 y.","Not Employed","22","","",""
"Disabled","2009","16-34 y.","Employed","45","0.0150144173502293","0.0106371313736224","0.0193917033268362"
"Disabled","2009","35-65 y.","Not Employed","541","0.295835016704763","0.275435473136424","0.316234560273103"
"Disabled","2009","35-65 y.","Employed","578","0.0816840165392986","0.0756643210972705","0.0877037119813267"
