"m11124","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Not disabled","1989","indirect migration background","Rural Area","32","1","1","1"
"Disabled","1989","no migration background","Urban Area","606","0.135604723387655","0.126338338167885","0.144871108607425"
"Disabled","1989","no migration background","Rural Area","161","0.118627463843186","0.102612550545623","0.134642377140749"
"Disabled","1989","direct migration background","Urban Area","152","0.097599720057134","0.0854234529180652","0.109775987196203"
"Disabled","1989","direct migration background","Rural Area","19","","",""
"Disabled","1989","indirect migration background","Urban Area","9","","",""
"Disabled","1989","indirect migration background","Rural Area","","","",""
"Not disabled","1990","no migration background","Urban Area","","","",""
"Not disabled","1990","no migration background","Rural Area","","","",""
"Not disabled","1990","direct migration background","Urban Area","","","",""
"Not disabled","1990","direct migration background","Rural Area","","","",""
"Not disabled","1990","indirect migration background","Urban Area","","","",""
"Not disabled","1990","indirect migration background","Rural Area","","","",""
"Disabled","1990","no migration background","Urban Area","","","",""
"Disabled","1990","no migration background","Rural Area","","","",""
"Disabled","1990","direct migration background","Urban Area","","","",""
"Disabled","1990","direct migration background","Rural Area","","","",""
"Disabled","1990","indirect migration background","Urban Area","","","",""
"Disabled","1990","indirect migration background","Rural Area","","","",""
"Not disabled","1991","no migration background","Urban Area","5763","0.876634352368962","0.86855349162462","0.884715213113304"
"Not disabled","1991","no migration background","Rural Area","4023","0.932475298718555","0.92487562829754","0.940074969139569"
"Not disabled","1991","direct migration background","Urban Area","2055","0.894167227013488","0.881396591244847","0.906937862782129"
"Not disabled","1991","direct migration background","Rural Area","390","0.925035378409859","0.899420492715029","0.950650264104689"
"Not disabled","1991","indirect migration background","Urban Area","299","0.93620177983669","0.908863705758026","0.963539853915354"
"Not disabled","1991","indirect migration background","Rural Area","44","1","1","1"
"Disabled","1991","no migration background","Urban Area","599","0.123365647631038","0.115284786886697","0.13144650837538"
"Disabled","1991","no migration background","Rural Area","165","0.0675247012814456","0.059925030860431","0.0751243717024601"
"Disabled","1991","direct migration background","Urban Area","174","0.105832772986512","0.093062137217871","0.118603408755153"
"Disabled","1991","direct migration background","Rural Area","16","","",""
"Disabled","1991","indirect migration background","Urban Area","8","","",""
"Disabled","1991","indirect migration background","Rural Area","","","",""
"Not disabled","1992","no migration background","Urban Area","5594","0.865599354893573","0.857159500142575","0.874039209644572"
"Not disabled","1992","no migration background","Rural Area","3650","0.904770419784978","0.895597955172251","0.913942884397705"
"Not disabled","1992","direct migration background","Urban Area","1977","0.883721548772467","0.87020617535515","0.897236922189783"
"Not disabled","1992","direct migration background","Rural Area","362","0.886328277597514","0.854946659071148","0.917709896123879"
"Not disabled","1992","indirect migration background","Urban Area","342","0.934002806977549","0.90813954594789","0.959866068007207"
"Not disabled","1992","indirect migration background","Rural Area","57","1","1","1"
"Disabled","1992","no migration background","Urban Area","680","0.134400645106427","0.125960790355428","0.142840499857425"
"Disabled","1992","no migration background","Rural Area","284","0.0952295802150217","0.0860571156022947","0.104402044827749"
"Disabled","1992","direct migration background","Urban Area","184","0.116278451227533","0.102763077810217","0.12979382464485"
"Disabled","1992","direct migration background","Rural Area","31","0.113671722402486","0.0822901038761208","0.145053340928852"
"Disabled","1992","indirect migration background","Urban Area","12","","",""
"Disabled","1992","indirect migration background","Rural Area","","","",""
"Not disabled","1993","no migration background","Urban Area","","","",""
"Not disabled","1993","no migration background","Rural Area","","","",""
"Not disabled","1993","direct migration background","Urban Area","","","",""
"Not disabled","1993","direct migration background","Rural Area","","","",""
"Not disabled","1993","indirect migration background","Urban Area","","","",""
"Not disabled","1993","indirect migration background","Rural Area","","","",""
"Disabled","1993","no migration background","Urban Area","","","",""
"Disabled","1993","no migration background","Rural Area","","","",""
"Disabled","1993","direct migration background","Urban Area","","","",""
"Disabled","1993","direct migration background","Rural Area","","","",""
"Disabled","1993","indirect migration background","Urban Area","","","",""
"Disabled","1993","indirect migration background","Rural Area","","","",""
"Not disabled","1994","no migration background","Urban Area","5540","0.869954638684853","0.861569418789115","0.878339858580592"
"Not disabled","1994","no migration background","Rural Area","3563","0.905757363763073","0.896523720307327","0.914991007218819"
"Not disabled","1994","direct migration background","Urban Area","1800","0.870089394798094","0.855332677592436","0.884846112003751"
"Not disabled","1994","direct migration background","Rural Area","335","0.879083830573448","0.845727951162919","0.912439709983978"
"Not disabled","1994","indirect migration background","Urban Area","414","0.949068170323345","0.928165731106448","0.969970609540242"
"Not disabled","1994","indirect migration background","Rural Area","70","1","1","1"
"Disabled","1994","no migration background","Urban Area","641","0.130045361315146","0.121660141419408","0.138430581210885"
"Disabled","1994","no migration background","Rural Area","283","0.0942426362369266","0.0850089927811807","0.103476279692673"
"Disabled","1994","direct migration background","Urban Area","194","0.129910605201906","0.115153887996249","0.144667322407564"
"Disabled","1994","direct migration background","Rural Area","32","0.120916169426552","0.087560290016022","0.154272048837081"
"Disabled","1994","indirect migration background","Urban Area","11","","",""
"Disabled","1994","indirect migration background","Rural Area","","","",""
"Not disabled","1995","no migration background","Urban Area","5372","0.860059433749069","0.85131390677151","0.868804960726627"
"Not disabled","1995","no migration background","Rural Area","3597","0.89095330445369","0.881179579534145","0.900727029373235"
"Not disabled","1995","direct migration background","Urban Area","2122","0.890138695803533","0.877430191173857","0.902847200433208"
"Not disabled","1995","direct migration background","Rural Area","424","0.88614871176001","0.85721661723824","0.915080806281779"
"Not disabled","1995","indirect migration background","Urban Area","425","0.954930313052429","0.935457308876979","0.974403317227879"
"Not disabled","1995","indirect migration background","Rural Area","74","1","1","1"
"Disabled","1995","no migration background","Urban Area","673","0.139940566250931","0.131195039273373","0.148686093228489"
"Disabled","1995","no migration background","Rural Area","310","0.10904669554631","0.099272970626765","0.118820420465855"
"Disabled","1995","direct migration background","Urban Area","204","0.109861304196467","0.097152799566792","0.122569808826143"
"Disabled","1995","direct migration background","Rural Area","39","0.11385128823999","0.0849191937182211","0.14278338276176"
"Disabled","1995","indirect migration background","Urban Area","11","","",""
"Disabled","1995","indirect migration background","Rural Area","","","",""
"Not disabled","1996","no migration background","Urban Area","5364","0.861117071744624","0.85238991137528","0.869844232113968"
"Not disabled","1996","no migration background","Rural Area","3556","0.885090615838013","0.875059805649645","0.895121426026381"
"Not disabled","1996","direct migration background","Urban Area","1971","0.887486192133633","0.87418771138454","0.900784672882727"
"Not disabled","1996","direct migration background","Rural Area","399","0.845669500164417","0.812028225476767","0.879310774852067"
"Not disabled","1996","indirect migration background","Urban Area","450","0.966254828679036","0.949771334251488","0.982738323106584"
"Not disabled","1996","indirect migration background","Rural Area","87","1","1","1"
"Disabled","1996","no migration background","Urban Area","668","0.138882928255376","0.130155767886032","0.14761008862472"
"Disabled","1996","no migration background","Rural Area","327","0.114909384161987","0.104878573973619","0.124940194350355"
"Disabled","1996","direct migration background","Urban Area","198","0.112513807866367","0.0992153271172731","0.12581228861546"
"Disabled","1996","direct migration background","Rural Area","44","0.154330499835583","0.120689225147933","0.187971774523233"
"Disabled","1996","indirect migration background","Urban Area","11","","",""
"Disabled","1996","indirect migration background","Rural Area","","","",""
"Not disabled","1997","no migration background","Urban Area","5302","0.861775237197675","0.853012267088509","0.870538207306841"
"Not disabled","1997","no migration background","Rural Area","3503","0.882589654899644","0.872400113566094","0.892779196233193"
"Not disabled","1997","direct migration background","Urban Area","1882","0.897341436748162","0.884247516336716","0.910435357159609"
"Not disabled","1997","direct migration background","Rural Area","378","0.873135887314493","0.841268138006532","0.905003636622455"
"Not disabled","1997","indirect migration background","Urban Area","476","0.958476005868504","0.940829954946858","0.97612205679015"
"Not disabled","1997","indirect migration background","Rural Area","83","0.981740042590172","0.953107719855074","1.01037236532527"
"Disabled","1997","no migration background","Urban Area","657","0.138224762802325","0.129461792693159","0.146987732911491"
"Disabled","1997","no migration background","Rural Area","331","0.117410345100356","0.107220803766807","0.127599886433906"
"Disabled","1997","direct migration background","Urban Area","182","0.102658563251838","0.0895646428403915","0.115752483663284"
"Disabled","1997","direct migration background","Rural Area","41","0.126864112685507","0.0949963633775454","0.158731861993469"
"Disabled","1997","indirect migration background","Urban Area","15","","",""
"Disabled","1997","indirect migration background","Rural Area","1","","",""
"Not disabled","1998","no migration background","Urban Area","6099","0.859606704855292","0.851407484742445","0.867805924968138"
"Not disabled","1998","no migration background","Rural Area","3975","0.885469647268814","0.876021365018427","0.894917929519201"
"Not disabled","1998","direct migration background","Urban Area","1821","0.894004238144","0.880553437313883","0.907455038974117"
"Not disabled","1998","direct migration background","Rural Area","363","0.86059376393105","0.826734675425971","0.894452852436128"
"Not disabled","1998","indirect migration background","Urban Area","499","0.969307868133102","0.954382199168304","0.984233537097901"
"Not disabled","1998","indirect migration background","Rural Area","89","0.983307867815372","0.956985311740548","1.0096304238902"
"Disabled","1998","no migration background","Urban Area","797","0.140393295144708","0.132194075031862","0.148592515257555"
"Disabled","1998","no migration background","Rural Area","389","0.114530352731186","0.105082070480799","0.123978634981573"
"Disabled","1998","direct migration background","Urban Area","191","0.105995761856","0.0925449610258834","0.119446562686117"
"Disabled","1998","direct migration background","Rural Area","39","0.13940623606895","0.105547147563872","0.173265324574029"
"Disabled","1998","indirect migration background","Urban Area","14","","",""
"Disabled","1998","indirect migration background","Rural Area","2","","",""
"Not disabled","1999","no migration background","Urban Area","5851","0.851616596765826","0.843063771008522","0.86016942252313"
"Not disabled","1999","no migration background","Rural Area","3888","0.88443782254226","0.874854380007968","0.894021265076552"
"Not disabled","1999","direct migration background","Urban Area","1691","0.890975703844802","0.876834484854145","0.90511692283546"
"Not disabled","1999","direct migration background","Rural Area","311","0.844893373014573","0.807129470576494","0.882657275452651"
"Not disabled","1999","indirect migration background","Urban Area","508","0.967255789736455","0.952032575175343","0.982479004297566"
"Not disabled","1999","indirect migration background","Rural Area","85","0.945917672170786","0.898390407236354","0.993444937105218"
"Disabled","1999","no migration background","Urban Area","785","0.148383403234174","0.13983057747687","0.156936228991478"
"Disabled","1999","no migration background","Rural Area","387","0.11556217745774","0.105978734923448","0.125145619992032"
"Disabled","1999","direct migration background","Urban Area","175","0.109024296155198","0.09488307716454","0.123165515145856"
"Disabled","1999","direct migration background","Rural Area","42","0.155106626985427","0.117342724547349","0.192870529423506"
"Disabled","1999","indirect migration background","Urban Area","17","","",""
"Disabled","1999","indirect migration background","Rural Area","2","","",""
"Not disabled","2000","no migration background","Urban Area","10986","0.868371112162688","0.86242858809715","0.874313636228227"
"Not disabled","2000","no migration background","Rural Area","6908","0.89460701134076","0.8877058768572","0.90150814582432"
"Not disabled","2000","direct migration background","Urban Area","2552","0.916431311224837","0.906123692004013","0.92673893044566"
"Not disabled","2000","direct migration background","Rural Area","514","0.894410160133858","0.869181737907483","0.919638582360234"
"Not disabled","2000","indirect migration background","Urban Area","698","0.96617248065322","0.952976463667217","0.979368497639224"
"Not disabled","2000","indirect migration background","Rural Area","106","0.969028233251894","0.936653741903916","1.00140272459987"
"Disabled","2000","no migration background","Urban Area","1448","0.131628887837312","0.125686363771773","0.13757141190285"
"Disabled","2000","no migration background","Rural Area","697","0.10539298865924","0.09849185417568","0.1122941231428"
"Disabled","2000","direct migration background","Urban Area","217","0.0835686887751635","0.0732610695543399","0.0938763079959872"
"Disabled","2000","direct migration background","Rural Area","56","0.105589839866142","0.0803614176397662","0.130818262092517"
"Disabled","2000","indirect migration background","Urban Area","23","","",""
"Disabled","2000","indirect migration background","Rural Area","4","","",""
"Not disabled","2001","no migration background","Urban Area","10059","0.86612940135578","0.859876766954789","0.872382035756772"
"Not disabled","2001","no migration background","Rural Area","6286","0.898562901746622","0.891434188742214","0.905691614751031"
"Not disabled","2001","direct migration background","Urban Area","2224","0.910352887972414","0.898996802557173","0.921708973387656"
"Not disabled","2001","direct migration background","Rural Area","468","0.915804475004881","0.891728519819098","0.939880430190664"
"Not disabled","2001","indirect migration background","Urban Area","649","0.959155232006561","0.944234593453488","0.974075870559635"
"Not disabled","2001","indirect migration background","Rural Area","95","0.920988501071714","0.868117157679831","0.973859844463597"
"Disabled","2001","no migration background","Urban Area","1334","0.13387059864422","0.127617964243228","0.140123233045211"
"Disabled","2001","no migration background","Rural Area","604","0.101437098253378","0.0943083852489695","0.108565811257786"
"Disabled","2001","direct migration background","Urban Area","207","0.0896471120275856","0.0782910266123444","0.101003197442827"
"Disabled","2001","direct migration background","Rural Area","43","0.0841955249951187","0.0601195698093355","0.108271480180902"
"Disabled","2001","indirect migration background","Urban Area","27","","",""
"Disabled","2001","indirect migration background","Rural Area","5","","",""
"Not disabled","2002","no migration background","Urban Area","10998","0.857146259157538","0.850998152888402","0.863294365426674"
"Not disabled","2002","no migration background","Rural Area","6397","0.884472670300274","0.877017834803348","0.8919275057972"
"Not disabled","2002","direct migration background","Urban Area","2136","0.909591007522423","0.89795458143136","0.921227433613486"
"Not disabled","2002","direct migration background","Rural Area","435","0.903075451353528","0.876717944855319","0.929432957851737"
"Not disabled","2002","indirect migration background","Urban Area","664","0.961838941332963","0.947512738102093","0.976165144563833"
"Not disabled","2002","indirect migration background","Rural Area","89","0.910095262765229","0.853171062378121","0.967019463152336"
"Disabled","2002","no migration background","Urban Area","1446","0.142853740842462","0.136705634573326","0.149001847111599"
"Disabled","2002","no migration background","Rural Area","666","0.115527329699726","0.1080724942028","0.122982165196652"
"Disabled","2002","direct migration background","Urban Area","197","0.0904089924775771","0.0787725663865138","0.10204541856864"
"Disabled","2002","direct migration background","Rural Area","49","0.0969245486464721","0.0705670421482632","0.123282055144681"
"Disabled","2002","indirect migration background","Urban Area","23","","",""
"Disabled","2002","indirect migration background","Rural Area","8","","",""
"Not disabled","2003","no migration background","Urban Area","10644","0.85714122052673","0.850893836716919","0.863388604336541"
"Not disabled","2003","no migration background","Rural Area","6107","0.88704981128344","0.879510369910307","0.894589252656573"
"Not disabled","2003","direct migration background","Urban Area","1982","0.907096785455825","0.894910761464515","0.919282809447135"
"Not disabled","2003","direct migration background","Rural Area","416","0.914177495624033","0.888636197988214","0.939718793259852"
"Not disabled","2003","indirect migration background","Urban Area","667","0.970127463018536","0.957416193321333","0.982838732715738"
"Not disabled","2003","indirect migration background","Rural Area","95","0.948408303239514","0.905268815521607","0.991547790957421"
"Disabled","2003","no migration background","Urban Area","1408","0.14285877947327","0.136611395663459","0.149106163283081"
"Disabled","2003","no migration background","Rural Area","664","0.112950188716561","0.105410747343428","0.120489630089694"
"Disabled","2003","direct migration background","Urban Area","198","0.0929032145441747","0.0807171905528646","0.105089238535485"
"Disabled","2003","direct migration background","Rural Area","46","0.0858225043759671","0.0602812067401481","0.111363802011786"
"Disabled","2003","indirect migration background","Urban Area","22","","",""
"Disabled","2003","indirect migration background","Rural Area","6","","",""
"Not disabled","2004","no migration background","Urban Area","10299","0.852476505410028","0.846055372179385","0.85889763864067"
"Not disabled","2004","no migration background","Rural Area","5946","0.880268048755238","0.872446419817752","0.888089677692725"
"Not disabled","2004","direct migration background","Urban Area","1906","0.900141365643213","0.887327604449938","0.912955126836489"
"Not disabled","2004","direct migration background","Rural Area","396","0.912714225764437","0.886489724982063","0.938938726546812"
"Not disabled","2004","indirect migration background","Urban Area","669","0.967942595557446","0.954846414583121","0.981038776531771"
"Not disabled","2004","indirect migration background","Rural Area","110","0.889916775564849","0.832958823706632","0.946874727423067"
"Disabled","2004","no migration background","Urban Area","1418","0.147523494589972","0.14110236135933","0.153944627820614"
"Disabled","2004","no migration background","Rural Area","672","0.119731951244762","0.111910322307275","0.127553580182248"
"Disabled","2004","direct migration background","Urban Area","197","0.0998586343567866","0.0870448731635112","0.112672395550062"
"Disabled","2004","direct migration background","Rural Area","49","0.0872857742355627","0.0610612734531882","0.113510275017937"
"Disabled","2004","indirect migration background","Urban Area","26","","",""
"Disabled","2004","indirect migration background","Rural Area","6","","",""
"Not disabled","2005","no migration background","Urban Area","9826","0.855487712042508","0.848980018523908","0.861995405561109"
"Not disabled","2005","no migration background","Rural Area","5678","0.880498626951835","0.872519668260437","0.888477585643232"
"Not disabled","2005","direct migration background","Urban Area","1778","0.903898848998993","0.890880693815749","0.916917004182237"
"Not disabled","2005","direct migration background","Rural Area","361","0.907532371170261","0.879457849855163","0.935606892485359"
"Not disabled","2005","indirect migration background","Urban Area","708","0.976120820928808","0.96501524041349","0.987226401444126"
"Not disabled","2005","indirect migration background","Rural Area","102","0.940646610145293","0.895876082429513","0.985417137861074"
"Disabled","2005","no migration background","Urban Area","1388","0.144512287957492","0.138004594438891","0.151019981476092"
"Disabled","2005","no migration background","Rural Area","671","0.119501373048165","0.111522414356767","0.127480331739563"
"Disabled","2005","direct migration background","Urban Area","191","0.096101151001007","0.0830829958177632","0.109119306184251"
"Disabled","2005","direct migration background","Rural Area","48","0.092467628829739","0.0643931075146406","0.120542150144838"
"Disabled","2005","indirect migration background","Urban Area","18","","",""
"Disabled","2005","indirect migration background","Rural Area","5","","",""
"Not disabled","2006","no migration background","Urban Area","10442","0.852008080308787","0.845645244046605","0.85837091657097"
"Not disabled","2006","no migration background","Rural Area","6098","0.875433526893693","0.86761851107866","0.883248542708727"
"Not disabled","2006","direct migration background","Urban Area","1742","0.886009694866381","0.871936779750046","0.900082609982716"
"Not disabled","2006","direct migration background","Rural Area","389","0.928252422705444","0.903803322944972","0.952701522465916"
"Not disabled","2006","indirect migration background","Urban Area","683","0.972213801533598","0.960072724374434","0.984354878692762"
"Not disabled","2006","indirect migration background","Rural Area","116","0.974292132356039","0.945857197623821","1.00272706708826"
"Disabled","2006","no migration background","Urban Area","1522","0.147991919691213","0.14162908342903","0.154354755953395"
"Disabled","2006","no migration background","Rural Area","761","0.124566473106307","0.116751457291273","0.13238148892134"
"Disabled","2006","direct migration background","Urban Area","217","0.113990305133619","0.0999173900172844","0.128063220249954"
"Disabled","2006","direct migration background","Rural Area","39","0.071747577294556","0.0472984775340844","0.0961966770550277"
"Disabled","2006","indirect migration background","Urban Area","21","","",""
"Disabled","2006","indirect migration background","Rural Area","3","","",""
"Not disabled","2007","no migration background","Urban Area","9762","0.851805580403385","0.845227938965288","0.858383221841482"
"Not disabled","2007","no migration background","Rural Area","5735","0.876203522994238","0.868170308962112","0.884236737026365"
"Not disabled","2007","direct migration background","Urban Area","1548","0.88800172582627","0.87317532369607","0.902828127956469"
"Not disabled","2007","direct migration background","Rural Area","355","0.926343831267964","0.900551496945775","0.952136165590154"
"Not disabled","2007","indirect migration background","Urban Area","653","0.974612848175948","0.962746440602532","0.986479255749365"
"Not disabled","2007","indirect migration background","Rural Area","108","0.945603671542827","0.903600851626677","0.987606491458977"
"Disabled","2007","no migration background","Urban Area","1446","0.148194419596615","0.141616778158519","0.154772061034712"
"Disabled","2007","no migration background","Rural Area","722","0.123796477005762","0.115763262973635","0.131829691037888"
"Disabled","2007","direct migration background","Urban Area","190","0.11199827417373","0.0971718720435311","0.12682467630393"
"Disabled","2007","direct migration background","Rural Area","39","0.0736561687320356","0.0478638344098459","0.0994485030542252"
"Disabled","2007","indirect migration background","Urban Area","22","","",""
"Disabled","2007","indirect migration background","Rural Area","4","","",""
"Not disabled","2008","no migration background","Urban Area","9260","0.855055100374036","0.848357372030914","0.861752828717158"
"Not disabled","2008","no migration background","Rural Area","5404","0.875856263317826","0.867577305062908","0.884135221572743"
"Not disabled","2008","direct migration background","Urban Area","1395","0.893035849337567","0.877718511656038","0.908353187019095"
"Not disabled","2008","direct migration background","Rural Area","311","0.909499520683142","0.879399828485325","0.939599212880959"
"Not disabled","2008","indirect migration background","Urban Area","638","0.965398718373056","0.95145509720892","0.979342339537192"
"Not disabled","2008","indirect migration background","Rural Area","106","0.921543409342897","0.871966267706388","0.971120550979407"
"Disabled","2008","no migration background","Urban Area","1353","0.144944899625964","0.138247171282842","0.151642627969086"
"Disabled","2008","no migration background","Rural Area","690","0.124143736682174","0.115864778427257","0.132422694937092"
"Disabled","2008","direct migration background","Urban Area","169","0.106964150662433","0.091646812980905","0.122281488343961"
"Disabled","2008","direct migration background","Rural Area","38","0.0905004793168578","0.0604007871190406","0.120600171514675"
"Disabled","2008","indirect migration background","Urban Area","22","","",""
"Disabled","2008","indirect migration background","Rural Area","7","","",""
"Not disabled","2009","no migration background","Urban Area","8620","0.853976047227155","0.847020656612962","0.860931437841347"
"Not disabled","2009","no migration background","Rural Area","5134","0.879069469154633","0.870684251013109","0.887454687296156"
"Not disabled","2009","direct migration background","Urban Area","1196","0.889080312687791","0.872310079237564","0.905850546138017"
"Not disabled","2009","direct migration background","Rural Area","282","0.90783028537608","0.87588628745418","0.939774283297981"
"Not disabled","2009","indirect migration background","Urban Area","579","0.975858460740912","0.963546227901231","0.988170693580592"
"Not disabled","2009","indirect migration background","Rural Area","110","0.921617323122557","0.873122827399491","0.970111818845624"
"Disabled","2009","no migration background","Urban Area","1282","0.146023952772845","0.139068562158653","0.152979343387038"
"Disabled","2009","no migration background","Rural Area","674","0.120930530845367","0.112545312703844","0.129315748986891"
"Disabled","2009","direct migration background","Urban Area","151","0.110919687312209","0.0941494538619825","0.127689920762436"
"Disabled","2009","direct migration background","Rural Area","33","0.09216971462392","0.0602257167020195","0.124113712545821"
"Disabled","2009","indirect migration background","Urban Area","18","","",""
"Disabled","2009","indirect migration background","Rural Area","8","","",""
"Not disabled","2010","no migration background","Urban Area","11214","0.855658552668971","0.84950976767745","0.861807337660491"
"Not disabled","2010","no migration background","Rural Area","6714","0.877519061712975","0.870052532492454","0.884985590933496"
"Not disabled","2010","direct migration background","Urban Area","2133","0.905058112837223","0.893039007216927","0.917077218457519"
"Not disabled","2010","direct migration background","Rural Area","572","0.900548304156261","0.876876927912636","0.924219680399887"
"Not disabled","2010","indirect migration background","Urban Area","918","0.959536876768343","0.946993789084965","0.972079964451722"
"Not disabled","2010","indirect migration background","Rural Area","191","0.873743774037083","0.827597142898498","0.919890405175668"
"Disabled","2010","no migration background","Urban Area","1335","0.14434144733103","0.138192662339509","0.15049023232255"
"Disabled","2010","no migration background","Rural Area","692","0.122480938287025","0.115014409066504","0.129947467507546"
"Disabled","2010","direct migration background","Urban Area","152","0.0949418871627769","0.0829227815424806","0.106960992783073"
"Disabled","2010","direct migration background","Rural Area","42","0.0994516958437387","0.0757803196001135","0.123123072087364"
"Disabled","2010","indirect migration background","Urban Area","30","0.0404631232316566","0.0279200355482784","0.0530062109150348"
"Disabled","2010","indirect migration background","Rural Area","8","","",""
"Not disabled","2011","no migration background","Urban Area","13190","0.857817185671094","0.852204324155398","0.863430047186791"
"Not disabled","2011","no migration background","Rural Area","8084","0.873111109523714","0.86624518740423","0.879977031643198"
"Not disabled","2011","direct migration background","Urban Area","2291","0.912471395480794","0.90132403160447","0.923618759357118"
"Not disabled","2011","direct migration background","Rural Area","727","0.930246682184852","0.91237019057647","0.948123173793233"
"Not disabled","2011","indirect migration background","Urban Area","1023","0.955242204941359","0.942818006771051","0.967666403111667"
"Not disabled","2011","indirect migration background","Rural Area","231","0.914863198679002","0.879773333640839","0.949953063717164"
"Disabled","2011","no migration background","Urban Area","1682","0.142182814328906","0.13656995281321","0.147795675844602"
"Disabled","2011","no migration background","Rural Area","944","0.126888890476286","0.120022968356802","0.13375481259577"
"Disabled","2011","direct migration background","Urban Area","178","0.0875286045192063","0.0763812406428823","0.0986759683955302"
"Disabled","2011","direct migration background","Rural Area","53","0.0697533178151484","0.0518768262067672","0.0876298094235297"
"Disabled","2011","indirect migration background","Urban Area","41","0.0447577950586414","0.0323335968883333","0.0571819932289495"
"Disabled","2011","indirect migration background","Rural Area","12","","",""
