"m11124","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Disabled","2003","West Germany","Male","1021","0.144095174718495","0.136459974721158","0.151730374715833"
"Disabled","2003","West Germany","Female","833","0.115705318917682","0.109012263140605","0.12239837469476"
"Disabled","2003","East Germany","Male","239","0.100272976942142","0.0886986108903872","0.111847342993897"
"Disabled","2003","East Germany","Female","251","0.103836295002885","0.0924701869949559","0.115202403010814"
"Not disabled","2004","West Germany","Male","6906","0.854019415517088","0.846237818714502","0.861801012319674"
"Not disabled","2004","West Germany","Female","7681","0.876631627580891","0.869659310456996","0.883603944704786"
"Not disabled","2004","East Germany","Male","2251","0.891785777625481","0.879608490982187","0.903963064268776"
"Not disabled","2004","East Germany","Female","2488","0.88989936558095","0.87817694135305","0.901621789808849"
"Disabled","2004","West Germany","Male","1003","0.145980584482912","0.138198987680326","0.153762181285498"
"Disabled","2004","West Germany","Female","865","0.123368372419109","0.116396055295214","0.130340689543004"
"Disabled","2004","East Germany","Male","249","0.108214222374519","0.0960369357312241","0.120391509017813"
"Disabled","2004","East Germany","Female","251","0.110100634419051","0.0983782101911512","0.12182305864695"
"Not disabled","2005","West Germany","Male","6512","0.856752061990956","0.848824651813678","0.864679472168234"
"Not disabled","2005","West Germany","Female","7397","0.88393785333139","0.877013673352504","0.890862033310275"
"Not disabled","2005","East Germany","Male","2173","0.881041244306709","0.868158777890523","0.893923710722895"
"Not disabled","2005","East Germany","Female","2371","0.888787595859518","0.876762838072882","0.900812353646153"
"Disabled","2005","West Germany","Male","990","0.143247938009044","0.135320527831766","0.151175348186322"
"Disabled","2005","West Germany","Female","823","0.11606214666861","0.109137966689725","0.122986326647496"
"Disabled","2005","East Germany","Male","253","0.118958755693291","0.106076289277105","0.131841222109477"
"Disabled","2005","East Germany","Female","255","0.111212404140482","0.0991876463538467","0.123237161927118"
"Not disabled","2006","West Germany","Male","6879","0.854377315593693","0.846631983328261","0.862122647859126"
"Not disabled","2006","West Germany","Female","7858","0.878141047696728","0.871298596758185","0.884983498635272"
"Not disabled","2006","East Germany","Male","2254","0.875551133758354","0.862688673082278","0.88841359443443"
"Not disabled","2006","East Germany","Female","2479","0.88325712797376","0.871268561752856","0.895245694194665"
"Disabled","2006","West Germany","Male","1088","0.145622684406307","0.137877352140874","0.153368016671739"
"Disabled","2006","West Germany","Female","922","0.121858952303272","0.115016501364728","0.128701403241816"
"Disabled","2006","East Germany","Male","276","0.124448866241646","0.11158640556557","0.137311326917722"
"Disabled","2006","East Germany","Female","277","0.11674287202624","0.104754305805335","0.128731438247144"
"Not disabled","2007","West Germany","Male","6375","0.852902341579444","0.844823394187896","0.860981288970991"
"Not disabled","2007","West Germany","Female","7288","0.878985066894928","0.871916444718473","0.886053689071382"
"Not disabled","2007","East Germany","Male","2151","0.880700243317679","0.867769803560261","0.893630683075097"
"Not disabled","2007","East Germany","Female","2347","0.885184733223018","0.872949533172537","0.897419933273499"
"Disabled","2007","West Germany","Male","1009","0.147097658420556","0.139018711029009","0.155176605812104"
"Disabled","2007","West Germany","Female","890","0.121014933105072","0.113946310928618","0.128083555281527"
"Disabled","2007","East Germany","Male","263","0.119299756682321","0.106369316924903","0.132230196439739"
"Disabled","2007","East Germany","Female","261","0.114815266776982","0.102580066726501","0.127050466827463"
"Not disabled","2008","West Germany","Male","5986","0.856259145422244","0.848001043974415","0.864517246870073"
"Not disabled","2008","West Germany","Female","6843","0.877997602731734","0.870677341081203","0.885317864382265"
"Not disabled","2008","East Germany","Male","2044","0.885817470098409","0.872831368243584","0.898803571953234"
"Not disabled","2008","East Germany","Female","2241","0.886780599758999","0.874302351999992","0.899258847518006"
"Disabled","2008","West Germany","Male","947","0.143740854577756","0.135482753129927","0.151998956025585"
"Disabled","2008","West Germany","Female","836","0.122002397268266","0.114682135617735","0.129322658918797"
"Disabled","2008","East Germany","Male","260","0.114182529901591","0.101196428046766","0.127168631756416"
"Disabled","2008","East Germany","Female","236","0.113219400241001","0.100741152481994","0.125697648000009"
"Not disabled","2009","West Germany","Male","5534","0.857694775006276","0.849156195207034","0.866233354805518"
"Not disabled","2009","West Germany","Female","6321","0.87552480178315","0.867847061855641","0.883202541710658"
"Not disabled","2009","East Germany","Male","1943","0.889927914510588","0.876828714076434","0.903027114944743"
"Not disabled","2009","East Germany","Female","2123","0.892726653661569","0.880244047669099","0.90520925965404"
"Disabled","2009","West Germany","Male","897","0.142305224993724","0.133766645194482","0.150843804792966"
"Disabled","2009","West Germany","Female","781","0.12447519821685","0.116797458289342","0.132152938144359"
"Disabled","2009","East Germany","Male","250","0.110072085489412","0.096972885055257","0.123171285923566"
"Disabled","2009","East Germany","Female","238","0.10727334633843","0.0947907403459604","0.119755952330901"
"Not disabled","2010","West Germany","Male","7489","0.85959468186842","0.852172902044381","0.867016461692458"
"Not disabled","2010","West Germany","Female","9290","0.878806374907108","0.872446769527201","0.885165980287015"
"Not disabled","2010","East Germany","Male","2253","0.881756079503495","0.869118963659342","0.894393195347648"
"Not disabled","2010","East Germany","Female","2710","0.885243597634297","0.873761477273675","0.896725717994919"
"Disabled","2010","West Germany","Male","928","0.14040531813158","0.132983538307542","0.147827097955619"
"Disabled","2010","West Germany","Female","826","0.121193625092892","0.114834019712985","0.127553230472799"
"Disabled","2010","East Germany","Male","255","0.118243920496505","0.105606804652352","0.130881036340658"
"Disabled","2010","East Germany","Female","250","0.114756402365703","0.103274282005081","0.126238522726324"
"Not disabled","2011","West Germany","Male","8839","0.867511303662353","0.860867272657327","0.87415533466738"
"Not disabled","2011","West Germany","Female","11029","0.8760948505999","0.870230156439906","0.881959544759893"
"Not disabled","2011","East Germany","Male","2564","0.879807870090739","0.867950011770303","0.891665728411175"
"Not disabled","2011","East Germany","Female","3114","0.881071285285467","0.870255585070516","0.891886985500418"
"Disabled","2011","West Germany","Male","1163","0.132488696337647","0.12584466533262","0.139132727342673"
"Disabled","2011","West Germany","Female","1095","0.1239051494001","0.118040455240107","0.129769843560094"
"Disabled","2011","East Germany","Male","325","0.120192129909261","0.108334271588825","0.132049988229697"
"Disabled","2011","East Germany","Female","327","0.118928714714533","0.108113014499581","0.129744414929484"
"Not disabled","2012","West Germany","Male","8558","0.860872995101418","0.854003911959923","0.867742078242912"
"Not disabled","2012","West Germany","Female","10616","0.877659143948304","0.871734287175477","0.883584000721131"
"Not disabled","2012","East Germany","Male","2475","0.864403104889999","0.851789538280868","0.87701667149913"
"Not disabled","2012","East Germany","Female","3016","0.869305478903497","0.857918567687259","0.880692390119734"
"Disabled","2012","West Germany","Male","1193","0.139127004898582","0.132257921757088","0.145996088040077"
"Disabled","2012","West Germany","Female","1134","0.122340856051696","0.116415999278869","0.128265712824523"
"Disabled","2012","East Germany","Male","355","0.135596895110001","0.122983328500871","0.148210461719132"
"Disabled","2012","East Germany","Female","350","0.130694521096503","0.119307609880266","0.142081432312741"
"Not disabled","2013","West Germany","Male","9979","0.862523990541478","0.856153493586976","0.868894487495981"
"Not disabled","2013","West Germany","Female","12191","0.873335013844184","0.867694370868117","0.878975656820252"
"Not disabled","2013","East Germany","Male","2453","0.858613464093324","0.845712656449378","0.871514271737271"
"Not disabled","2013","East Germany","Female","3015","0.880863045168306","0.869863542801987","0.891862547534625"
"Disabled","2013","West Germany","Male","1245","0.137476009458522","0.131105512504019","0.143846506413024"
"Disabled","2013","West Germany","Female","1165","0.126664986155816","0.121024343179748","0.132305629131883"
"Disabled","2013","East Germany","Male","349","0.141386535906676","0.128485728262729","0.154287343550622"
"Disabled","2013","East Germany","Female","317","0.119136954831694","0.108137452465375","0.130136457198013"
"Not disabled","2014","West Germany","Male","8732","0.857605795924321","0.850727674445603","0.864483917403039"
"Not disabled","2014","West Germany","Female","10498","0.866481287625047","0.860302760532543","0.872659814717551"
"Not disabled","2014","East Germany","Male","2218","0.854659430466364","0.840988040953581","0.868330819979146"
"Not disabled","2014","East Germany","Female","2725","0.869109066747192","0.857145061046526","0.881073072447858"
"Disabled","2014","West Germany","Male","1184","0.142394204075679","0.135516082596961","0.149272325554397"
"Disabled","2014","West Germany","Female","1144","0.133518712374953","0.127340185282449","0.139697239467457"
"Disabled","2014","East Germany","Male","335","0.145340569533636","0.131669180020854","0.159011959046418"
"Disabled","2014","East Germany","Female","328","0.130890933252808","0.118926927552142","0.142854938953474"
"Not disabled","2015","West Germany","Male","8804","0.860127409186402","0.853288019927395","0.866966798445409"
"Not disabled","2015","West Germany","Female","10497","0.87269293538248","0.866621805186611","0.87876406557835"
"Not disabled","2015","East Germany","Male","2191","0.864867817114385","0.85144278010038","0.87829285412839"
"Not disabled","2015","East Germany","Female","2639","0.871104788856379","0.859017093495248","0.883192484217509"
"Disabled","2015","West Germany","Male","1076","0.139872590813598","0.133033201554591","0.146711980072605"
"Disabled","2015","West Germany","Female","1082","0.12730706461752","0.12123593442165","0.133378194813389"
"Disabled","2015","East Germany","Male","300","0.135132182885615","0.12170714587161","0.14855721989962"
"Disabled","2015","East Germany","Female","313","0.128895211143622","0.116807515782491","0.140982906504752"
"Not disabled","2016","West Germany","Male","7835","0.855931321863262","0.848623044709012","0.863239599017512"
"Not disabled","2016","West Germany","Female","9440","0.875452259072585","0.869119111422873","0.881785406722297"
"Not disabled","2016","East Germany","Male","2021","0.868323895140034","0.854495812855207","0.882151977424862"
"Not disabled","2016","East Germany","Female","2464","0.87485726601243","0.862519711927843","0.887194820097017"
"Disabled","2016","West Germany","Male","1034","0.144068678136738","0.136760400982488","0.151376955290988"
"Disabled","2016","West Germany","Female","1003","0.124547740927415","0.118214593277703","0.130880888577127"
"Disabled","2016","East Germany","Male","276","0.131676104859965","0.117848022575138","0.145504187144792"
"Disabled","2016","East Germany","Female","299","0.12514273398757","0.112805179902983","0.137480288072157"
"Not disabled","2017","West Germany","Male","8597","0.862351380541292","0.855503891474336","0.869198869608248"
"Not disabled","2017","West Germany","Female","10201","0.873084647779166","0.866951180292748","0.879218115265584"
"Not disabled","2017","East Germany","Male","2282","0.868454046362006","0.85543706217315","0.881471030550862"
"Not disabled","2017","East Germany","Female","2714","0.882111697268976","0.870638990557687","0.893584403980265"
"Disabled","2017","West Germany","Male","1128","0.137648619458708","0.130801130391752","0.144496108525664"
"Disabled","2017","West Germany","Female","1114","0.126915352220834","0.120781884734416","0.133048819707252"
"Disabled","2017","East Germany","Male","308","0.131545953637994","0.118528969449138","0.14456293782685"
"Disabled","2017","East Germany","Female","321","0.117888302731024","0.106415596019736","0.129361009442313"
"Not disabled","2018","West Germany","Male","8177","0.859302213780394","0.852244129396556","0.866360298164231"
"Not disabled","2018","West Germany","Female","9765","0.876454367181634","0.870279126625273","0.882629607737996"
"Not disabled","2018","East Germany","Male","2219","0.865622779162139","0.852338334439059","0.878907223885219"
"Not disabled","2018","East Germany","Female","2631","0.876295849009864","0.864454876303151","0.888136821716577"
"Disabled","2018","West Germany","Male","1146","0.140697786219606","0.133639701835769","0.147755870603444"
"Disabled","2018","West Germany","Female","1143","0.123545632818366","0.117370392262004","0.129720873374727"
"Disabled","2018","East Germany","Male","313","0.13437722083786","0.121092776114781","0.14766166556094"
"Disabled","2018","East Germany","Female","339","0.123704150990136","0.111863178283423","0.135545123696849"
"Not disabled","2019","West Germany","Male","8524","0.864477736031716","0.857646107586901","0.871309364476531"
"Not disabled","2019","West Germany","Female","9474","0.878498449473761","0.872257406265889","0.884739492681634"
"Not disabled","2019","East Germany","Male","2333","0.866579918116534","0.853643544693485","0.879516291539583"
"Not disabled","2019","East Germany","Female","2578","0.868987958789907","0.856741322582536","0.881234594997278"
"Disabled","2019","West Germany","Male","1119","0.135522263968284","0.128690635523469","0.142353892413099"
"Disabled","2019","West Germany","Female","1053","0.121501550526239","0.115260507318366","0.127742593734111"
"Disabled","2019","East Germany","Male","321","0.133420081883466","0.120483708460418","0.146356455306515"
"Disabled","2019","East Germany","Female","338","0.131012041210093","0.118765405002722","0.143258677417464"
