"m11124","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1987","Not Working","West Germany","564","0.18187153674694","0.169564875043345","0.194178198450536","1"
"Disabled","1987","Not Working","East Germany","","","","","1"
"Not disabled","1987","Full Time","West Germany","4638","0.938289103604257","0.931542639943798","0.945035567264716","0"
"Not disabled","1987","Full Time","East Germany","","","","","0"
"Not disabled","1987","Part Time","West Germany","1721","0.944254570459103","0.933667421944312","0.954841718973893","0"
"Not disabled","1987","Part Time","East Germany","","","","","0"
"Not disabled","1987","Not Working","West Germany","3210","0.81812846325306","0.805821801549464","0.830435124956655","0"
"Not disabled","1987","Not Working","East Germany","","","","","0"
"Disabled","1988","Full Time","West Germany","249","0.0611813251635343","0.054247236957835","0.0681154133692336","1"
"Disabled","1988","Full Time","East Germany","","","","","1"
"Disabled","1988","Part Time","West Germany","90","0.0598252814320663","0.0489918046646812","0.0706587581994514","1"
"Disabled","1988","Part Time","East Germany","","","","","1"
"Disabled","1988","Not Working","West Germany","616","0.210340639494958","0.196932251138888","0.223749027851027","1"
"Disabled","1988","Not Working","East Germany","","","","","1"
"Not disabled","1988","Full Time","West Germany","4340","0.938818674836466","0.931884586630766","0.945752763042165","0"
"Not disabled","1988","Full Time","East Germany","","","","","0"
"Not disabled","1988","Part Time","West Germany","1751","0.940174718567934","0.929341241800549","0.951008195335319","0"
"Not disabled","1988","Part Time","East Germany","","","","","0"
"Not disabled","1988","Not Working","West Germany","2933","0.789659360505042","0.776250972148973","0.803067748861112","0"
"Not disabled","1988","Not Working","East Germany","","","","","0"
"Disabled","1989","Full Time","West Germany","218","0.055456427779956","0.0488041165754434","0.0621087389844687","1"
"Disabled","1989","Full Time","East Germany","","","","","1"
"Disabled","1989","Part Time","West Germany","94","0.0666148973554542","0.0547859133519128","0.0784438813589957","1"
"Disabled","1989","Part Time","East Germany","","","","","1"
"Disabled","1989","Not Working","West Germany","635","0.226657768099054","0.212611818212727","0.240703717985382","1"
"Disabled","1989","Not Working","East Germany","","","","","1"
"Not disabled","1989","Full Time","West Germany","4329","0.944543572220044","0.937891261015531","0.951195883424557","0"
"Not disabled","1989","Full Time","East Germany","","","","","0"
"Not disabled","1989","Part Time","West Germany","1613","0.933385102644546","0.921556118641004","0.945214086648087","0"
"Not disabled","1989","Part Time","East Germany","","","","","0"
"Not disabled","1989","Not Working","West Germany","2778","0.773342231900946","0.759296282014618","0.787388181787273","0"
"Not disabled","1989","Not Working","East Germany","","","","","0"
"Disabled","1990","Full Time","West Germany","","","","","1"
"Disabled","1990","Full Time","East Germany","","","","","1"
"Disabled","1990","Part Time","West Germany","","","","","1"
"Disabled","1990","Part Time","East Germany","","","","","1"
"Disabled","1990","Not Working","West Germany","","","","","1"
"Disabled","1990","Not Working","East Germany","","","","","1"
"Not disabled","1990","Full Time","West Germany","","","","","0"
"Not disabled","1990","Full Time","East Germany","","","","","0"
"Not disabled","1990","Part Time","West Germany","","","","","0"
"Not disabled","1990","Part Time","East Germany","","","","","0"
"Not disabled","1990","Not Working","West Germany","","","","","0"
"Not disabled","1990","Not Working","East Germany","","","","","0"
"Disabled","1991","Full Time","West Germany","217","0.0556136430040267","0.0488597349195906","0.0623675510884629","1"
"Disabled","1991","Full Time","East Germany","","","","","1"
"Disabled","1991","Part Time","West Germany","92","0.0643134722113523","0.0528398115282698","0.0757871328944349","1"
"Disabled","1991","Part Time","East Germany","","","","","1"
"Disabled","1991","Not Working","West Germany","653","0.241228244132817","0.226508156463222","0.255948331802411","1"
"Disabled","1991","Not Working","East Germany","","","","","1"
"Not disabled","1991","Full Time","West Germany","4206","0.944386356995973","0.937632448911537","0.951140265080409","0"
"Not disabled","1991","Part Time","West Germany","1664","0.935686527788648","0.924212867105565","0.94716018847173","0"
"Not disabled","1991","Part Time","East Germany","","","","","0"
"Not disabled","1991","Not Working","West Germany","2592","0.758771755867183","0.744051668197589","0.773491843536778","0"
"Not disabled","1991","Full Time","East Germany","","","","","0"
"Not disabled","1991","Not Working","East Germany","","","","","0"
"Disabled","1992","Full Time","West Germany","228","0.057813420883522","0.0509196548631491","0.064707186903895","1"
"Disabled","1992","Full Time","East Germany","60","0.0300172218793696","0.0228527078841998","0.0371817358745394","1"
"Disabled","1992","Part Time","West Germany","100","0.067813921578556","0.056007052381582","0.0796207907755299","1"
"Disabled","1992","Part Time","East Germany","21","","","","1"
"Disabled","1992","Not Working","West Germany","655","0.245546549077634","0.230666365232994","0.260426732922275","1"
"Disabled","1992","Not Working","East Germany","135","0.139959905737074","0.118413263952475","0.161506547521673","1"
"Not disabled","1992","Full Time","West Germany","4175","0.942186579116478","0.935292813096105","0.949080345136851","0"
"Not disabled","1992","Part Time","West Germany","1642","0.932186078421444","0.92037920922447","0.943992947618418","0"
"Not disabled","1992","Part Time","East Germany","736","0.968161681604985","0.9556547965923","0.980668566617669","0"
"Not disabled","1992","Not Working","West Germany","2559","0.754453450922366","0.739573267077725","0.769333634767006","0"
"Not disabled","1992","Full Time","East Germany","2119","0.96998277812063","0.962818264125461","0.9771472921158","0"
"Not disabled","1992","Not Working","East Germany","861","0.860040094262926","0.838493452478327","0.881586736047525","0"
"Disabled","1993","Full Time","West Germany","","","","","1"
"Disabled","1993","Full Time","East Germany","","","","","1"
"Disabled","1993","Part Time","West Germany","","","","","1"
"Disabled","1993","Part Time","East Germany","","","","","1"
"Disabled","1993","Not Working","West Germany","","","","","1"
"Disabled","1993","Not Working","East Germany","","","","","1"
"Not disabled","1993","Full Time","West Germany","","","","","0"
"Not disabled","1993","Full Time","East Germany","","","","","0"
"Not disabled","1993","Part Time","West Germany","","","","","0"
"Not disabled","1993","Part Time","East Germany","","","","","0"
"Not disabled","1993","Not Working","West Germany","","","","","0"
"Not disabled","1993","Not Working","East Germany","","","","","0"
"Disabled","1994","Full Time","West Germany","209","0.0567983021331017","0.0497281685205636","0.0638684357456399","1"
"Disabled","1994","Full Time","East Germany","37","0.023235918105629","0.0163931312600948","0.0300787049511632","1"
"Disabled","1994","Part Time","West Germany","103","0.0683930520235299","0.0566370091273299","0.0801490949197299","1"
"Disabled","1994","Part Time","East Germany","20","","","","1"
"Disabled","1994","Not Working","West Germany","631","0.232767222320437","0.218209238660749","0.247325205980125","1"
"Disabled","1994","Not Working","East Germany","161","0.130429897505229","0.112178963477137","0.148680831533321","1"
"Not disabled","1994","Full Time","West Germany","3908","0.943201697866898","0.93613156425436","0.950271831479436","0"
"Not disabled","1994","Full Time","East Germany","1825","0.976764081894371","0.969921295048837","0.983606868739905","0"
"Not disabled","1994","Part Time","West Germany","1668","0.93160694797647","0.91985090508027","0.94336299087267","0"
"Not disabled","1994","Part Time","East Germany","568","0.963770243986648","0.948666699142106","0.97887378883119","0"
"Not disabled","1994","Not Working","West Germany","2606","0.767232777679563","0.752674794019875","0.781790761339251","0"
"Not disabled","1994","Not Working","East Germany","1147","0.869570102494771","0.851319168466679","0.887821036522863","0"
"Disabled","1995","Full Time","West Germany","206","0.0549455656552137","0.0479593737910262","0.0619317575194013","1"
"Disabled","1995","Full Time","East Germany","47","0.027730392946349","0.020108834466905","0.035351951425793","1"
"Disabled","1995","Part Time","West Germany","118","0.0764911102454948","0.064822464255972","0.0881597562350175","1"
"Disabled","1995","Part Time","East Germany","17","","","","1"
"Disabled","1995","Not Working","West Germany","669","0.239129316803793","0.224981715563421","0.253276918044164","1"
"Disabled","1995","Not Working","East Germany","180","0.150809601372904","0.13131877555412","0.170300427191687","1"
"Not disabled","1995","Full Time","West Germany","3881","0.945054434344786","0.938068242480599","0.952040626208974","0"
"Not disabled","1995","Full Time","East Germany","1736","0.972269607053651","0.964648048574207","0.979891165533095","0"
"Not disabled","1995","Part Time","West Germany","1875","0.923508889754505","0.911840243764982","0.935177535744028","0"
"Not disabled","1995","Part Time","East Germany","584","0.967320907196653","0.953106421916206","0.981535392477099","0"
"Not disabled","1995","Not Working","West Germany","2823","0.760870683196207","0.746723081955835","0.775018284436579","0"
"Not disabled","1995","Not Working","East Germany","1115","0.849190398627096","0.829699572808313","0.86868122444588","0"
"Disabled","1996","Full Time","West Germany","185","0.0533469446065204","0.0463415132867807","0.06035237592626","1"
"Disabled","1996","Full Time","East Germany","48","0.029590454647637","0.0217359702257432","0.0374449390695308","1"
"Disabled","1996","Part Time","West Germany","128","0.0673799297630311","0.0566327972546321","0.0781270622714301","1"
"Disabled","1996","Part Time","East Germany","15","","","","1"
"Disabled","1996","Not Working","West Germany","679","0.248920314526535","0.234300171181841","0.263540457871229","1"
"Disabled","1996","Not Working","East Germany","193","0.165536812304733","0.145184000757494","0.185889623851973","1"
"Not disabled","1996","Full Time","West Germany","3768","0.94665305539348","0.93964762407374","0.953658486713219","0"
"Not disabled","1996","Full Time","East Germany","1740","0.970409545352363","0.962555060930469","0.978264029774257","0"
"Not disabled","1996","Part Time","West Germany","1962","0.932620070236969","0.92187293772857","0.943367202745368","0"
"Not disabled","1996","Part Time","East Germany","589","0.973209299105253","0.960331999962802","0.986086598247703","0"
"Not disabled","1996","Not Working","West Germany","2681","0.751079685473465","0.736459542128771","0.765699828818159","0"
"Not disabled","1996","Not Working","East Germany","1088","0.834463187695267","0.814110376148027","0.854815999242506","0"
"Disabled","1997","Full Time","West Germany","182","0.0570505190404691","0.0497571768169987","0.0643438612639396","1"
"Disabled","1997","Full Time","East Germany","44","0.0274210486272398","0.0196785431319388","0.0351635541225408","1"
"Disabled","1997","Part Time","West Germany","117","0.0708233241513189","0.059422779721668","0.0822238685809697","1"
"Disabled","1997","Part Time","East Germany","33","0.0607746496952601","0.0416894819918674","0.0798598173986527","1"
"Disabled","1997","Not Working","West Germany","672","0.236963708034997","0.222672850462611","0.251254565607382","1"
"Disabled","1997","Not Working","East Germany","179","0.14733683275647","0.128143214201477","0.166530451311464","1"
"Not disabled","1997","Full Time","West Germany","3703","0.942949480959531","0.93565613873606","0.950242823183001","0"
"Not disabled","1997","Full Time","East Germany","1665","0.97257895137276","0.964836445877459","0.980321456868061","0"
"Not disabled","1997","Part Time","West Germany","1828","0.929176675848681","0.91777613141903","0.940577220278332","0"
"Not disabled","1997","Part Time","East Germany","569","0.93922535030474","0.920140182601347","0.958310518008133","0"
"Not disabled","1997","Not Working","West Germany","2729","0.763036291965003","0.748745434392618","0.777327149537389","0"
"Not disabled","1997","Not Working","East Germany","1131","0.85266316724353","0.833469548688536","0.871856785798523","0"
"Disabled","1998","Full Time","West Germany","212","0.057292963167971","0.0502976980402766","0.0642882282956653","1"
"Disabled","1998","Full Time","East Germany","47","0.026064876698547","0.0186233633600066","0.0335063900370874","1"
"Disabled","1998","Part Time","West Germany","128","0.0718553228031205","0.0610319900389085","0.0826786555673326","1"
"Disabled","1998","Part Time","East Germany","33","0.0507785233031769","0.0343972612802724","0.0671597853260814","1"
"Disabled","1998","Not Working","West Germany","809","0.235939733571337","0.22278031384846","0.249099153294215","1"
"Disabled","1998","Not Working","East Germany","203","0.144534109940163","0.126121491716844","0.162946728163482","1"
"Not disabled","1998","Full Time","West Germany","4028","0.942707036832029","0.935711771704335","0.949702301959723","0"
"Not disabled","1998","Part Time","West Germany","2059","0.928144677196879","0.917321344432667","0.938968009961092","0"
"Not disabled","1998","Full Time","East Germany","1714","0.973935123301453","0.966493609962913","0.981376636639994","0"
"Not disabled","1998","Part Time","East Germany","657","0.949221476696823","0.932840214673918","0.965602738719728","0"
"Not disabled","1998","Not Working","West Germany","3190","0.764060266428663","0.750900846705785","0.777219686151541","0"
"Not disabled","1998","Not Working","East Germany","1198","0.855465890059837","0.837053271836518","0.873878508283156","0"
"Disabled","1999","Full Time","West Germany","226","0.0680328187954344","0.060367232698239","0.0756984048926298","1"
"Disabled","1999","Full Time","East Germany","56","0.0320588544572283","0.023697350974752","0.0404203579397046","1"
"Disabled","1999","Not Working","West Germany","760","0.252694346060569","0.238455499194719","0.266933192926419","1"
"Disabled","1999","Part Time","West Germany","125","0.0661226810343744","0.0558089500222351","0.0764364120465136","1"
"Disabled","1999","Part Time","East Germany","29","","","","1"
"Disabled","1999","Not Working","East Germany","212","0.154958614066471","0.135803876118025","0.174113352014918","1"
"Not disabled","1999","Full Time","West Germany","3919","0.931967181204566","0.92430159510737","0.939632767301761","0"
"Not disabled","1999","Part Time","West Germany","2105","0.933877318965626","0.923563587953486","0.944191049977765","0"
"Not disabled","1999","Full Time","East Germany","1649","0.967941145542772","0.959579642060295","0.976302649025248","0"
"Not disabled","1999","Part Time","East Germany","684","0.958440438938303","0.943790987353391","0.973089890523215","0"
"Not disabled","1999","Not Working","West Germany","2818","0.747305653939431","0.733066807073581","0.761544500805281","0"
"Not disabled","1999","Not Working","East Germany","1159","0.845041385933529","0.825886647985082","0.864196123881976","0"
"Disabled","2000","Full Time","West Germany","385","0.0580109738889642","0.0527299864688981","0.0632919613090302","1"
"Disabled","2000","Full Time","East Germany","74","0.0294671925000132","0.022918825386513","0.0360155596135135","1"
"Disabled","2000","Not Working","West Germany","1329","0.21282621586967","0.203104959250762","0.222547472488579","1"
"Disabled","2000","Part Time","West Germany","244","0.0696719906218546","0.0617940122055567","0.0775499690381525","1"
"Disabled","2000","Part Time","East Germany","52","0.0488060914146804","0.0358960466874229","0.0617161361419379","1"
"Disabled","2000","Not Working","East Germany","361","0.166683794970934","0.151201436646825","0.182166153295043","1"
"Not disabled","2000","Full Time","West Germany","7142","0.941989026111036","0.93670803869097","0.947270013531102","0"
"Not disabled","2000","Part Time","West Germany","3768","0.930328009378145","0.922450030961848","0.938205987794443","0"
"Not disabled","2000","Full Time","East Germany","2488","0.970532807499987","0.963984440386486","0.977081174613487","0"
"Not disabled","2000","Part Time","East Germany","1018","0.951193908585319","0.938283863858062","0.964103953312577","0"
"Not disabled","2000","Not Working","West Germany","5481","0.78717378413033","0.777452527511421","0.796895040749238","0"
"Not disabled","2000","Not Working","East Germany","1865","0.833316205029066","0.817833846704957","0.848798563353175","0"
"Disabled","2001","Full Time","West Germany","321","0.0531327551985587","0.0477799328633727","0.0584855775337447","1"
"Disabled","2001","Not Working","West Germany","1225","0.22617078655858","0.215581709867736","0.236759863249423","1"
"Disabled","2001","Full Time","East Germany","69","0.030295909561262","0.0233438055633395","0.0372480135591845","1"
"Disabled","2001","Part Time","West Germany","234","0.0691134864395305","0.0610773254231861","0.0771496474558749","1"
"Disabled","2001","Part Time","East Germany","42","0.0413929876834707","0.0290714496329793","0.0537145257339621","1"
"Disabled","2001","Not Working","East Germany","329","0.161423909626516","0.145665407998965","0.177182411254067","1"
"Not disabled","2001","Full Time","West Germany","6424","0.946867244801441","0.941514422466255","0.952220067136627","0"
"Not disabled","2001","Part Time","West Germany","3593","0.930886513560469","0.922850352544125","0.938922674576814","0"
"Not disabled","2001","Part Time","East Germany","962","0.958607012316529","0.946285474266038","0.970928550367021","0"
"Not disabled","2001","Not Working","West Germany","4771","0.77382921344142","0.763240136750577","0.784418290132264","0"
"Not disabled","2001","Full Time","East Germany","2266","0.969704090438738","0.962751986440815","0.97665619443666","0"
"Not disabled","2001","Not Working","East Germany","1765","0.838576090373484","0.822817588745933","0.854334592001035","0"
"Disabled","2002","Full Time","West Germany","375","0.0592034903451861","0.0537818121577571","0.0646251685326152","1"
"Disabled","2002","Not Working","West Germany","1276","0.231846313595759","0.221319693842721","0.242372933348797","1"
"Disabled","2002","Full Time","East Germany","74","0.0308064429463973","0.0237615539373794","0.0378513319554153","1"
"Disabled","2002","Part Time","West Germany","247","0.0762034632599332","0.068198351765209","0.0842085747546573","1"
"Disabled","2002","Part Time","East Germany","56","0.0637987912356321","0.0488590746874799","0.0787385077837843","1"
"Disabled","2002","Not Working","East Germany","361","0.185701378263673","0.169053769334976","0.20234898719237","1"
"Not disabled","2002","Full Time","West Germany","6904","0.940796509654814","0.935374831467385","0.946218187842243","0"
"Not disabled","2002","Part Time","West Germany","3973","0.923796536740067","0.915791425245343","0.931801648234791","0"
"Not disabled","2002","Part Time","East Germany","972","0.936201208764368","0.921261492216216","0.95114092531252","0"
"Not disabled","2002","Not Working","West Germany","4898","0.768153686404241","0.757627066651203","0.778680306157279","0"
"Not disabled","2002","Full Time","East Germany","2237","0.969193557053603","0.962148668044585","0.976238446062621","0"
"Not disabled","2002","Not Working","East Germany","1735","0.814298621736327","0.79765101280763","0.830946230665024","0"
"Disabled","2003","Full Time","West Germany","350","0.0604544477501068","0.054759228776407","0.0661496667238065","1"
"Disabled","2003","Full Time","East Germany","70","0.0304538185340805","0.0232800489421964","0.0376275881259647","1"
"Disabled","2003","Part Time","West Germany","259","0.074148918763957","0.0661415152077231","0.0821563223201909","1"
"Disabled","2003","Not Working","West Germany","1245","0.225414191445847","0.214894540147525","0.23593384274417","1"
"Disabled","2003","Part Time","East Germany","55","0.050141593068241","0.0368073335578688","0.0634758525786132","1"
"Disabled","2003","Not Working","East Germany","365","0.180045768659924","0.163694026813172","0.196397510506676","1"
"Not disabled","2003","Full Time","West Germany","6377","0.939545552249893","0.933850333276193","0.945240771223593","0"
"Not disabled","2003","Part Time","West Germany","3854","0.925851081236043","0.917843677679809","0.933858484792277","0"
"Not disabled","2003","Part Time","East Germany","974","0.949858406931759","0.936524147421387","0.963192666442131","0"
"Not disabled","2003","Full Time","East Germany","2134","0.969546181465919","0.962372411874035","0.976719951057804","0"
"Not disabled","2003","Not Working","West Germany","4816","0.774585808554152","0.76406615725583","0.785105459852475","0"
"Not disabled","2003","Not Working","East Germany","1756","0.819954231340076","0.803602489493324","0.836305973186828","0"
"Disabled","2004","Full Time","West Germany","363","0.0631224336418021","0.0571701362527977","0.0690747310308066","1"
"Disabled","2004","Full Time","East Germany","74","0.0385316567758733","0.0302279963456509","0.0468353172060957","1"
"Disabled","2004","Part Time","West Germany","240","0.0738601817847245","0.0657621051153679","0.0819582584540811","1"
"Disabled","2004","Not Working","West Germany","1265","0.23334753553412","0.222677291483202","0.244017779585037","1"
"Disabled","2004","Part Time","East Germany","54","0.0536664280748935","0.0398092529370311","0.0675236032127559","1"
"Disabled","2004","Not Working","East Germany","372","0.183238196066786","0.166919799484224","0.199556592649347","1"
"Not disabled","2004","Full Time","West Germany","6049","0.936877566358198","0.930925268969193","0.942829863747202","0"
"Not disabled","2004","Part Time","West Germany","3767","0.926139818215275","0.918041741545919","0.934237894884632","0"
"Not disabled","2004","Part Time","East Germany","962","0.946333571925106","0.932476396787244","0.960190747062969","0"
"Not disabled","2004","Full Time","East Germany","1990","0.961468343224127","0.953164682793904","0.969772003654349","0"
"Not disabled","2004","Not Working","West Germany","4771","0.76665246446588","0.755982220414963","0.777322708516798","0"
"Not disabled","2004","Not Working","East Germany","1787","0.816761803933214","0.800443407350653","0.833080200515776","0"
"Disabled","2005","Full Time","West Germany","355","0.0648605419126833","0.0586852717330991","0.0710358120922674","1"
"Disabled","2005","Full Time","East Germany","68","0.0320355877410757","0.0241955663430508","0.0398756091391007","1"
"Disabled","2005","Part Time","West Germany","226","0.0663016024039145","0.0584073823721061","0.0741958224357229","1"
"Disabled","2005","Not Working","West Germany","1232","0.228276216212432","0.217470708497178","0.239081723927685","1"
"Disabled","2005","Part Time","East Germany","60","0.0710316727811974","0.0551816831425222","0.0868816624198726","1"
"Disabled","2005","Not Working","East Germany","380","0.196704245701334","0.179723113475803","0.213685377926865","1"
"Not disabled","2005","Full Time","West Germany","5755","0.935139458087317","0.928964187907732","0.941314728266901","0"
"Not disabled","2005","Full Time","East Germany","1870","0.967964412258924","0.960124390860899","0.975804433656949","0"
"Not disabled","2005","Part Time","West Germany","3590","0.933698397596086","0.925804177564277","0.941592617627894","0"
"Not disabled","2005","Part Time","East Germany","949","0.928968327218803","0.913118337580127","0.944818316857478","0"
"Not disabled","2005","Not Working","West Germany","4564","0.771723783787568","0.760918276072315","0.782529291502821","0"
"Not disabled","2005","Not Working","East Germany","1725","0.803295754298666","0.786314622073135","0.820276886524197","0"
"Disabled","2006","Full Time","West Germany","372","0.0651024722430006","0.0590737946136648","0.0711311498723364","1"
"Disabled","2006","Full Time","East Germany","70","0.0375635391643626","0.0292595333695257","0.0458675449591994","1"
"Disabled","2006","Part Time","West Germany","245","0.067883568739156","0.0600607928983154","0.0757063445799965","1"
"Disabled","2006","Part Time","East Germany","58","0.0510398624537888","0.0377534870838645","0.064326237823713","1"
"Disabled","2006","Not Working","West Germany","1393","0.235429718729067","0.224987943974052","0.245871493484082","1"
"Disabled","2006","Not Working","East Germany","425","0.213997307005522","0.196929273325227","0.231065340685817","1"
"Not disabled","2006","Full Time","West Germany","6061","0.934897527756999","0.928868850127663","0.940926205386335","0"
"Not disabled","2006","Full Time","East Germany","1944","0.962436460835637","0.954132455040801","0.970740466630474","0"
"Not disabled","2006","Part Time","West Germany","3727","0.932116431260844","0.924293655420003","0.939939207101685","0"
"Not disabled","2006","Part Time","East Germany","996","0.948960137546211","0.935673762176287","0.962246512916135","0"
"Not disabled","2006","Not Working","West Germany","4949","0.764570281270933","0.754128506515918","0.775012056025948","0"
"Not disabled","2006","Not Working","East Germany","1793","0.786002692994478","0.768934659314183","0.803070726674773","0"
"Disabled","2007","Full Time","West Germany","358","0.0706123758708583","0.0641042568846817","0.0771204948570349","1"
"Disabled","2007","Full Time","East Germany","65","0.0328752248254125","0.024918073865155","0.0408323757856699","1"
"Disabled","2007","Part Time","West Germany","227","0.065108789197813","0.0571964820846981","0.073021096310928","1"
"Disabled","2007","Part Time","East Germany","73","0.068888736992993","0.0531044544438541","0.0846730195421318","1"
"Disabled","2007","Not Working","West Germany","1314","0.234194016017136","0.223364939301451","0.245023092732822","1"
"Disabled","2007","Not Working","East Germany","386","0.205248483296252","0.187990863998332","0.222506102594172","1"
"Not disabled","2007","Full Time","West Germany","5594","0.929387624129142","0.922879505142965","0.935895743115318","0"
"Not disabled","2007","Full Time","East Germany","1864","0.967124775174588","0.95916762421433","0.975081926134845","0"
"Not disabled","2007","Part Time","West Germany","3508","0.934891210802187","0.926978903689072","0.942803517915302","0"
"Not disabled","2007","Part Time","East Germany","916","0.931111263007007","0.915326980457868","0.946895545556146","0"
"Not disabled","2007","Not Working","West Germany","4561","0.765805983982864","0.754976907267178","0.776635060698549","0"
"Not disabled","2007","Not Working","East Germany","1718","0.794751516703748","0.777493897405828","0.812009136001668","0"
"Disabled","2008","Full Time","West Germany","331","0.0665123400112189","0.0600058753703328","0.073018804652105","1"
"Disabled","2008","Full Time","East Germany","71","0.0441279898456688","0.0348094210460426","0.0534465586452951","1"
"Disabled","2008","Part Time","West Germany","222","0.0676920743073864","0.0593479203812037","0.0760362282335691","1"
"Disabled","2008","Part Time","East Germany","59","0.0669618423991336","0.0509402497590044","0.0829834350392628","1"
"Disabled","2008","Not Working","West Germany","1230","0.23712096604364","0.22587653341937","0.248365398667909","1"
"Disabled","2008","Not Working","East Germany","366","0.1945456483082","0.177109653847021","0.211981642769378","1"
"Not disabled","2008","Full Time","West Germany","5303","0.933487659988781","0.926981195347895","0.939994124629667","0"
"Not disabled","2008","Full Time","East Germany","1795","0.955872010154331","0.946553441354705","0.965190578953957","0"
"Not disabled","2008","Part Time","West Germany","3260","0.932307925692614","0.923963771766431","0.940652079618796","0"
"Not disabled","2008","Part Time","East Germany","876","0.933038157600866","0.917016564960737","0.949059750240996","0"
"Not disabled","2008","Not Working","West Germany","4266","0.76287903395636","0.751634601332091","0.774123466580629","0"
"Not disabled","2008","Not Working","East Germany","1614","0.8054543516918","0.788018357230622","0.822890346152979","0"
"Disabled","2009","Full Time","West Germany","312","0.0639845481950826","0.0573316785147838","0.0706374178753814","1"
"Disabled","2009","Full Time","East Germany","71","0.0409209443764144","0.031789301778667","0.0500525869741618","1"
"Disabled","2009","Part Time","West Germany","222","0.0715056387551323","0.0627684919339023","0.0802427855763622","1"
"Disabled","2009","Part Time","East Germany","61","0.0550590262215642","0.0400228100071537","0.0700952424359747","1"
"Disabled","2009","Not Working","West Germany","1144","0.244178404482046","0.232263595172144","0.256093213791947","1"
"Disabled","2009","Not Working","East Germany","356","0.195443323352492","0.177431943155343","0.21345470354964","1"
"Not disabled","2009","Full Time","West Germany","4886","0.936015451804917","0.929362582124619","0.942668321485216","0"
"Not disabled","2009","Full Time","East Germany","1737","0.959079055623586","0.949947413025838","0.968210698221333","0"
"Not disabled","2009","Part Time","West Germany","3119","0.928494361244868","0.919757214423638","0.937231508066098","0"
"Not disabled","2009","Part Time","East Germany","823","0.944940973778436","0.929904757564025","0.959977189992846","0"
"Not disabled","2009","Not Working","West Germany","3850","0.755821595517954","0.743906786208053","0.767736404827856","0"
"Not disabled","2009","Not Working","East Germany","1506","0.804556676647508","0.78654529645036","0.822568056844656","0"
"Disabled","2010","Full Time","West Germany","323","0.055893646605482","0.0505412798891045","0.0612460133218594","1"
"Disabled","2010","Full Time","East Germany","80","0.0547552596549211","0.0451942552891633","0.0643162640206788","1"
