"m11124","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Not disabled","1987","Part Time","Urban Area","1327","0.940889836832747","0.928509935825967","0.953269737839526","0"
"Not disabled","1987","Part Time","Rural Area","394","0.954309030830902","0.934096724829057","0.974521336832747","0"
"Not disabled","1987","Not Working","Urban Area","2555","0.810958985241834","0.796969090010589","0.824948880473079","0"
"Not disabled","1987","Not Working","Rural Area","655","0.842314025450581","0.81648839555998","0.868139655341183","0"
"Disabled","1988","Full Time","Urban Area","215","0.0659996031993392","0.0579974137265135","0.074001792672165","1"
"Disabled","1988","Full Time","Rural Area","34","0.0435844122213529","0.0301784448331066","0.0569903796095992","1"
"Disabled","1988","Part Time","Urban Area","69","0.0593856101665594","0.047071124095574","0.0717000962375447","1"
"Disabled","1988","Part Time","Rural Area","21","","","","1"
"Disabled","1988","Not Working","Urban Area","500","0.22023430103539","0.205017393202476","0.235451208868305","1"
"Disabled","1988","Not Working","Rural Area","116","0.176072014634428","0.147856442246578","0.204287587022279","1"
"Not disabled","1988","Full Time","Urban Area","3483","0.934000396800661","0.925998207327835","0.942002586273487","0"
"Not disabled","1988","Full Time","Rural Area","857","0.956415587778647","0.943009620390401","0.969821555166893","0"
"Not disabled","1988","Part Time","Urban Area","1346","0.940614389833441","0.928299903762455","0.952928875904426","0"
"Not disabled","1988","Part Time","Rural Area","405","0.938939611693535","0.916202154050322","0.961677069336747","0"
"Not disabled","1988","Not Working","Urban Area","2349","0.77976569896461","0.764548791131695","0.794982606797524","0"
"Not disabled","1988","Not Working","Rural Area","584","0.823927985365571","0.79571241297772","0.852143557753422","0"
"Disabled","1989","Full Time","Urban Area","181","0.0575615804193415","0.0500302559087812","0.0650929049299019","1"
"Disabled","1989","Full Time","Rural Area","37","0.0475864137577456","0.0334644449343679","0.0617083825811233","1"
"Disabled","1989","Part Time","Urban Area","81","0.0738214489490366","0.0597792662003346","0.0878636316977387","1"
"Disabled","1989","Part Time","Rural Area","13","","","","1"
"Disabled","1989","Not Working","Urban Area","505","0.230049362436994","0.214313821204882","0.245784903669106","1"
"Disabled","1989","Not Working","Rural Area","130","0.214966665958135","0.183744223217142","0.246189108699127","1"
"Not disabled","1989","Full Time","Urban Area","3493","0.942438419580658","0.934907095070098","0.949969744091219","0"
"Not disabled","1989","Full Time","Rural Area","836","0.952413586242254","0.938291617418877","0.966535555065632","0"
"Not disabled","1989","Part Time","Urban Area","1251","0.926178551050963","0.912136368302261","0.940220733799665","0"
"Not disabled","1989","Part Time","Rural Area","362","0.955642708645845","0.934804386787243","0.976481030504447","0"
"Not disabled","1989","Not Working","Urban Area","2243","0.769950637563006","0.754215096330894","0.785686178795118","0"
"Not disabled","1989","Not Working","Rural Area","535","0.785033334041865","0.753810891300873","0.816255776782858","0"
"Disabled","1990","Full Time","Urban Area","","","","","1"
"Disabled","1990","Full Time","Rural Area","","","","","1"
"Disabled","1990","Part Time","Urban Area","","","","","1"
"Disabled","1990","Part Time","Rural Area","","","","","1"
"Disabled","1990","Not Working","Urban Area","","","","","1"
"Disabled","1990","Not Working","Rural Area","","","","","1"
"Not disabled","1990","Full Time","Urban Area","","","","","0"
"Not disabled","1990","Full Time","Rural Area","","","","","0"
"Not disabled","1990","Part Time","Urban Area","","","","","0"
"Not disabled","1990","Part Time","Rural Area","","","","","0"
"Not disabled","1990","Not Working","Urban Area","","","","","0"
"Not disabled","1990","Not Working","Rural Area","","","","","0"
"Disabled","1991","Full Time","Urban Area","181","0.0584549406052319","0.0507223836232436","0.0661874975872202","1"
"Disabled","1991","Full Time","Rural Area","36","0.0455625785768662","0.0318391016082754","0.0592860555454571","1"
"Disabled","1991","Part Time","Urban Area","78","0.0726098547226478","0.0588638848036176","0.086355824641678","1"
"Disabled","1991","Part Time","Rural Area","14","","","","1"
"Disabled","1991","Not Working","Urban Area","522","0.246507358757897","0.229877341884428","0.263137375631366","1"
"Disabled","1991","Not Working","Rural Area","131","0.223813511197487","0.192135095175834","0.255491927219141","1"
"Not disabled","1991","Full Time","Urban Area","3355","0.941545059394768","0.93381250241278","0.949277616376756","0"
"Not disabled","1991","Full Time","Rural Area","851","0.954437421423134","0.940713944454543","0.968160898391725","0"
"Not disabled","1991","Part Time","Urban Area","1291","0.927390145277352","0.913644175358322","0.941136115196383","0"
"Not disabled","1991","Part Time","Rural Area","373","0.961263016800783","0.942037561969824","0.980488471631742","0"
"Not disabled","1991","Not Working","Urban Area","2058","0.753492641242103","0.736862624368634","0.770122658115572","0"
"Not disabled","1991","Not Working","Rural Area","534","0.776186488802513","0.744508072780859","0.807864904824166","0"
"Disabled","1992","Full Time","Urban Area","212","0.0559218479395398","0.0490788134337979","0.0627648824452817","1"
"Disabled","1992","Full Time","Rural Area","75","0.0421052010998192","0.0336825549701921","0.0505278472294463","1"
"Disabled","1992","Part Time","Urban Area","97","0.0754510517441449","0.0624154870964083","0.0884866163918815","1"
"Disabled","1992","Part Time","Rural Area","23","","","","1"
"Disabled","1992","Not Working","Urban Area","567","0.242449207054896","0.226799986028779","0.258098428081013","1"
"Disabled","1992","Not Working","Rural Area","217","0.19332696270581","0.171884687405742","0.214769238005878","1"
"Not disabled","1992","Full Time","Urban Area","4119","0.94407815206046","0.937235117554718","0.950921186566202","0"
"Not disabled","1992","Part Time","Urban Area","1480","0.924548948255855","0.911513383608119","0.937584512903592","0"
"Not disabled","1992","Part Time","Rural Area","874","0.968003680911261","0.956486653950994","0.979520707871528","0"
"Not disabled","1992","Not Working","Urban Area","2314","0.757550792945104","0.741901571918986","0.773200013971221","0"
"Not disabled","1992","Full Time","Rural Area","2109","0.957894798900181","0.949472152770554","0.966317445029808","0"
"Not disabled","1992","Not Working","Rural Area","1086","0.80667303729419","0.785230761994122","0.828115312594258","0"
"Disabled","1993","Full Time","Urban Area","","","","","1"
"Disabled","1993","Full Time","Rural Area","","","","","1"
"Disabled","1993","Part Time","Urban Area","","","","","1"
"Disabled","1993","Part Time","Rural Area","","","","","1"
"Disabled","1993","Not Working","Urban Area","","","","","1"
"Disabled","1993","Not Working","Rural Area","","","","","1"
"Not disabled","1993","Full Time","Urban Area","","","","","0"
"Not disabled","1993","Full Time","Rural Area","","","","","0"
"Not disabled","1993","Part Time","Urban Area","","","","","0"
"Not disabled","1993","Part Time","Rural Area","","","","","0"
"Not disabled","1993","Not Working","Urban Area","","","","","0"
"Not disabled","1993","Not Working","Rural Area","","","","","0"
"Disabled","1994","Full Time","Urban Area","187","0.0549401487556423","0.047840454636218","0.0620398428750666","1"
"Disabled","1994","Full Time","Rural Area","59","0.0378036385434991","0.0294906693408968","0.0461166077461014","1"
"Disabled","1994","Part Time","Urban Area","92","0.0686022737365172","0.0561501199595306","0.0810544275135038","1"
"Disabled","1994","Part Time","Rural Area","31","0.0512118111330828","0.0357026991139285","0.066720923152237","1"
"Disabled","1994","Not Working","Urban Area","567","0.229294347363127","0.21439976521096","0.244188929515295","1"
"Disabled","1994","Not Working","Rural Area","225","0.171898212555228","0.152708767933648","0.191087657176808","1"
"Not disabled","1994","Full Time","Urban Area","3770","0.945059851244358","0.937960157124933","0.952159545363782","0"
"Not disabled","1994","Full Time","Rural Area","1963","0.962196361456501","0.953883392253899","0.970509330659103","0"
"Not disabled","1994","Part Time","Urban Area","1491","0.931397726263483","0.918945572486496","0.943849880040469","0"
"Not disabled","1994","Part Time","Rural Area","745","0.948788188866917","0.933279076847763","0.964297300886071","0"
"Not disabled","1994","Not Working","Urban Area","2493","0.770705652636873","0.755811070484705","0.78560023478904","0"
"Not disabled","1994","Not Working","Rural Area","1260","0.828101787444772","0.808912342823192","0.847291232066352","0"
"Disabled","1995","Full Time","Urban Area","178","0.0495978589148324","0.0427020568263839","0.0564936610032808","1"
"Disabled","1995","Full Time","Rural Area","75","0.0487143700573481","0.0394228284887558","0.0580059116259404","1"
"Disabled","1995","Part Time","Urban Area","105","0.077578548488372","0.0651408535949621","0.0900162433817819","1"
"Disabled","1995","Part Time","Rural Area","30","0.051365585946863","0.0362291849746679","0.066501986919058","1"
"Disabled","1995","Not Working","Urban Area","605","0.236148758990873","0.221483742656076","0.25081377532567","1"
"Disabled","1995","Not Working","Rural Area","244","0.188786146220387","0.169397670815872","0.208174621624903","1"
"Not disabled","1995","Full Time","Urban Area","3630","0.950402141085168","0.943506338996719","0.957297943173616","0"
"Not disabled","1995","Full Time","Rural Area","1987","0.951285629942652","0.94199408837406","0.960577171511244","0"
"Not disabled","1995","Part Time","Urban Area","1672","0.922421451511628","0.909983756618218","0.934859146405038","0"
"Not disabled","1995","Part Time","Rural Area","787","0.948634414053137","0.933498013080942","0.963770815025332","0"
"Not disabled","1995","Not Working","Urban Area","2617","0.763851241009127","0.74918622467433","0.778516257343924","0"
"Not disabled","1995","Not Working","Rural Area","1321","0.811213853779613","0.791825378375097","0.830602329184128","0"
"Disabled","1996","Full Time","Urban Area","164","0.0486810615374961","0.0417563094887534","0.0556058135862388","1"
"Disabled","1996","Full Time","Rural Area","69","0.0480581686671668","0.0387560485388586","0.0573602887954751","1"
"Disabled","1996","Part Time","Urban Area","105","0.0665680051116565","0.0551658783413345","0.0779701318819785","1"
"Disabled","1996","Part Time","Rural Area","38","0.0491504314428875","0.0346852454823477","0.0636156174034274","1"
"Disabled","1996","Not Working","Urban Area","608","0.241998172218299","0.226960156450589","0.25703618798601","1"
"Disabled","1996","Not Working","Rural Area","264","0.211458354751003","0.190957104389309","0.231959605112697","1"
"Not disabled","1996","Full Time","Urban Area","3546","0.951318938462504","0.944394186413761","0.958243690511247","0"
"Not disabled","1996","Full Time","Rural Area","1962","0.951941831332833","0.942639711204525","0.961243951461141","0"
"Not disabled","1996","Part Time","Urban Area","1731","0.933431994888343","0.922029868118021","0.944834121658666","0"
"Not disabled","1996","Part Time","Rural Area","820","0.950849568557112","0.936384382596573","0.965314754517652","0"
"Not disabled","1996","Not Working","Urban Area","2508","0.758001827781701","0.74296381201399","0.773039843549411","0"
"Not disabled","1996","Not Working","Rural Area","1260","0.788541645248997","0.768040394887303","0.809042895610691","0"
"Disabled","1997","Full Time","Urban Area","155","0.0515195601340652","0.0443373629228543","0.0587017573452761","1"
"Disabled","1997","Full Time","Rural Area","71","0.0504122572093691","0.0407136285381981","0.0601108858805401","1"
"Disabled","1997","Part Time","Urban Area","100","0.0631881203204399","0.0516933163646314","0.0746829242762485","1"
"Disabled","1997","Part Time","Rural Area","50","0.0827690391574391","0.0639788402662076","0.101559238048671","1"
"Disabled","1997","Not Working","Urban Area","599","0.231889737436504","0.217160855032015","0.246618619840993","1"
"Disabled","1997","Not Working","Rural Area","252","0.191476194021766","0.171926179076029","0.211026208967503","1"
"Not disabled","1997","Full Time","Urban Area","3484","0.948480439865935","0.941298242654724","0.955662637077146","0"
"Not disabled","1997","Full Time","Rural Area","1884","0.949587742790631","0.93988911411946","0.959286371461802","0"
"Not disabled","1997","Part Time","Urban Area","1621","0.93681187967956","0.925317075723751","0.948306683635368","0"
"Not disabled","1997","Part Time","Rural Area","776","0.917230960842561","0.898440761951329","0.936021159733792","0"
"Not disabled","1997","Not Working","Urban Area","2555","0.768110262563496","0.753381380159007","0.782839144967985","0"
"Not disabled","1997","Not Working","Rural Area","1304","0.808523805978234","0.788973791032498","0.828073820923971","0"
"Disabled","1998","Full Time","Urban Area","182","0.0525798477629865","0.0455723356135739","0.0595873599123992","1"
"Disabled","1998","Full Time","Rural Area","77","0.0475345640390786","0.0384426652375707","0.0566264628405865","1"
"Disabled","1998","Part Time","Urban Area","111","0.0733959689733661","0.0617371490041127","0.0850547889426196","1"
"Disabled","1998","Part Time","Rural Area","50","0.0554189894370872","0.0409080572836087","0.0699299215905657","1"
"Disabled","1998","Not Working","Urban Area","709","0.228064022910167","0.21436166622938","0.241766379590955","1"
"Disabled","1998","Not Working","Rural Area","303","0.197044639980738","0.178658893773702","0.215430386187774","1"
"Not disabled","1998","Full Time","Urban Area","3715","0.947420152237013","0.940412640087601","0.954427664386426","0"
"Not disabled","1998","Full Time","Rural Area","2027","0.952465435960921","0.943373537159414","0.961557334762429","0"
"Not disabled","1998","Part Time","Urban Area","1811","0.926604031026634","0.91494521105738","0.938262850995887","0"
"Not disabled","1998","Part Time","Rural Area","905","0.944581010562913","0.930070078409434","0.959091942716391","0"
"Not disabled","1998","Not Working","Urban Area","2893","0.771935977089833","0.758233620409045","0.78563833377062","0"
"Not disabled","1998","Not Working","Rural Area","1495","0.802955360019261","0.784569613812226","0.821341106226297","0"
"Disabled","1999","Full Time","Urban Area","189","0.0645025429850606","0.0566902173943479","0.0723148685757734","1"
"Disabled","1999","Full Time","Rural Area","93","0.0531703290169973","0.0434623234616036","0.0628783345723909","1"
"Disabled","1999","Not Working","Urban Area","682","0.245744757963412","0.230988524607513","0.260500991319311","1"
"Disabled","1999","Part Time","Urban Area","106","0.0656651982873016","0.0546966344847","0.0766337620899031","1"
"Disabled","1999","Part Time","Rural Area","48","0.0538275583565057","0.0397269441861756","0.0679281725268358","1"
"Disabled","1999","Not Working","Rural Area","290","0.205825318049382","0.186486489665112","0.225164146433652","1"
"Not disabled","1999","Full Time","Urban Area","3609","0.935497457014939","0.927685131424227","0.943309782605652","0"
"Not disabled","1999","Part Time","Urban Area","1853","0.934334801712698","0.923366237910097","0.9453033655153","0"
"Not disabled","1999","Full Time","Rural Area","1959","0.946829670983003","0.937121665427609","0.956537676538396","0"
"Not disabled","1999","Part Time","Rural Area","936","0.946172441643494","0.932071827473164","0.960273055813824","0"
"Not disabled","1999","Not Working","Urban Area","2588","0.754255242036588","0.739499008680689","0.769011475392487","0"
"Not disabled","1999","Not Working","Rural Area","1389","0.794174681950618","0.774835853566348","0.813513510334888","0"
"Disabled","2000","Full Time","Urban Area","318","0.0555369049470815","0.0499888158950533","0.0610849939991097","1"
"Disabled","2000","Full Time","Rural Area","141","0.0462361970075297","0.0393214867684968","0.0531509072465627","1"
"Disabled","2000","Not Working","Urban Area","1166","0.210693266489789","0.200358291694111","0.221028241285466","1"
"Disabled","2000","Part Time","Urban Area","204","0.0718053510449927","0.0631237814186494","0.0804869206713361","1"
"Disabled","2000","Part Time","Rural Area","92","0.0534097865908741","0.0426738592205185","0.0641457139612298","1"
"Disabled","2000","Not Working","Rural Area","524","0.187513171926367","0.173672201574236","0.201354142278498","1"
"Not disabled","2000","Full Time","Urban Area","6228","0.944463095052918","0.93891500600089","0.950011184104947","0"
"Not disabled","2000","Part Time","Urban Area","3193","0.928194648955007","0.919513079328664","0.936876218581351","0"
"Not disabled","2000","Full Time","Rural Area","3402","0.95376380299247","0.946849092753437","0.960678513231503","0"
"Not disabled","2000","Part Time","Rural Area","1593","0.946590213409126","0.93585428603877","0.957326140779482","0"
"Not disabled","2000","Not Working","Urban Area","4815","0.789306733510211","0.778971758714534","0.799641708305888","0"
"Not disabled","2000","Not Working","Rural Area","2531","0.812486828073633","0.798645857721502","0.826327798425764","0"
"Disabled","2001","Full Time","Urban Area","275","0.0531206876268581","0.0474153637531488","0.0588260115005674","1"
"Disabled","2001","Full Time","Rural Area","115","0.0393426137890609","0.0325470938630252","0.0461381337150967","1"
"Disabled","2001","Not Working","Urban Area","1099","0.22842698469455","0.217133060910676","0.239720908478424","1"
"Disabled","2001","Part Time","Urban Area","194","0.0664454331994852","0.0578906636400048","0.0750002027589657","1"
"Disabled","2001","Part Time","Rural Area","82","0.0605450972411685","0.0487667251208274","0.0723234693615096","1"
"Disabled","2001","Not Working","Rural Area","455","0.17947327267867","0.165213395486906","0.193733149870435","1"
"Not disabled","2001","Full Time","Urban Area","5661","0.946879312373142","0.941173988499433","0.952584636246851","0"
"Not disabled","2001","Part Time","Urban Area","3062","0.933554566800515","0.924999797241034","0.942109336359995","0"
"Not disabled","2001","Full Time","Rural Area","3029","0.960657386210939","0.953861866284903","0.967452906136975","0"
"Not disabled","2001","Part Time","Rural Area","1493","0.939454902758831","0.92767653063849","0.951233274879173","0"
"Not disabled","2001","Not Working","Urban Area","4209","0.77157301530545","0.760279091521575","0.782866939089324","0"
"Not disabled","2001","Not Working","Rural Area","2327","0.82052672732133","0.806266850129565","0.834786604513094","0"
"Disabled","2002","Full Time","Urban Area","307","0.0541653181296897","0.048622598763998","0.0597080374953815","1"
"Disabled","2002","Not Working","Urban Area","1151","0.236034727826987","0.224779388326113","0.247290067327861","1"
"Disabled","2002","Full Time","Rural Area","142","0.053683938338655","0.0458550184043065","0.0615128582730036","1"
"Disabled","2002","Part Time","Urban Area","208","0.0744494028174408","0.0658625986448314","0.0830362069900501","1"
"Disabled","2002","Part Time","Rural Area","95","0.0736530753384976","0.0610800988747144","0.0862260518022809","1"
"Disabled","2002","Not Working","Rural Area","486","0.192335755944279","0.177742255748276","0.206929256140282","1"
"Not disabled","2002","Full Time","Urban Area","6099","0.94583468187031","0.940291962504619","0.951377401236002","0"
"Not disabled","2002","Part Time","Urban Area","3382","0.925550597182559","0.91696379300995","0.934137401355169","0"
"Not disabled","2002","Part Time","Rural Area","1563","0.926346924661502","0.913773948197719","0.938919901125286","0"
"Not disabled","2002","Not Working","Urban Area","4317","0.763965272173013","0.752709932672139","0.775220611673887","0"
"Not disabled","2002","Full Time","Rural Area","3042","0.946316061661345","0.938487141726996","0.954144981595693","0"
"Not disabled","2002","Not Working","Rural Area","2316","0.807664244055721","0.793070743859718","0.822257744251724","0"
"Disabled","2003","Full Time","Urban Area","296","0.0581158958445933","0.0521626047434825","0.064069186945704","1"
"Disabled","2003","Full Time","Rural Area","124","0.0484460675416892","0.0407604592520638","0.0561316758313147","1"
"Disabled","2003","Part Time","Urban Area","216","0.070873102246706","0.0624364991653774","0.0793097053280345","1"
"Disabled","2003","Not Working","Urban Area","1116","0.228584738138849","0.217419808187017","0.239749668090681","1"
"Disabled","2003","Part Time","Rural Area","98","0.0688816841870288","0.0564257256061759","0.0813376427678817","1"
"Disabled","2003","Not Working","Rural Area","494","0.188179190898293","0.173565644766182","0.202792737030405","1"
"Not disabled","2003","Full Time","Urban Area","5637","0.941884104155407","0.935930813054296","0.947837395256518","0"
"Not disabled","2003","Part Time","Urban Area","3338","0.929126897753294","0.920690294671966","0.937563500834623","0"
"Not disabled","2003","Part Time","Rural Area","1490","0.931118315812971","0.918662357232118","0.943574274393824","0"
"Not disabled","2003","Full Time","Rural Area","2874","0.951553932458311","0.943868324168685","0.959239540747936","0"
"Not disabled","2003","Not Working","Urban Area","4318","0.771415261861151","0.760250331909319","0.782580191812983","0"
"Not disabled","2003","Not Working","Rural Area","2254","0.811820809101706","0.797207262969595","0.826434355233818","0"
"Disabled","2004","Full Time","Urban Area","315","0.0623872111286947","0.0560830147069886","0.0686914075504009","1"
"Disabled","2004","Full Time","Rural Area","122","0.0509714984490697","0.0428567901159785","0.0590862067821609","1"
"Disabled","2004","Part Time","Urban Area","203","0.0722892735530597","0.0636050223142058","0.0809735247919135","1"
"Disabled","2004","Not Working","Urban Area","1123","0.232607226334244","0.22138524342521","0.243829209243279","1"
"Disabled","2004","Part Time","Rural Area","91","0.0669692079558432","0.0547476739011643","0.0791907420105221","1"
"Disabled","2004","Not Working","Rural Area","514","0.201366354989649","0.186378171553741","0.216354538425558","1"
"Not disabled","2004","Full Time","Urban Area","5339","0.937612788871305","0.931308592449599","0.943916985293011","0"
"Not disabled","2004","Part Time","Urban Area","3213","0.92771072644694","0.919026475208086","0.936394977685794","0"
"Not disabled","2004","Part Time","Rural Area","1516","0.933030792044157","0.920809257989478","0.945252326098836","0"
"Not disabled","2004","Full Time","Rural Area","2700","0.94902850155093","0.940913793217839","0.957143209884022","0"
"Not disabled","2004","Not Working","Urban Area","4322","0.767392773665756","0.756170790756721","0.77861475657479","0"
"Not disabled","2004","Not Working","Rural Area","2236","0.798633645010351","0.783645461574442","0.813621828446259","0"
"Disabled","2005","Full Time","Urban Area","300","0.0627288895365704","0.056265259572908","0.0691925195002328","1"
"Disabled","2005","Full Time","Rural Area","123","0.0513370724018887","0.0429220902669935","0.0597520545367839","1"
"Disabled","2005","Part Time","Urban Area","195","0.071132911093924","0.0623186562549427","0.0799471659329053","1"
"Disabled","2005","Not Working","Urban Area","1102","0.227443671935978","0.216089635638882","0.238797708233075","1"
"Disabled","2005","Part Time","Rural Area","91","0.0581913702473515","0.0465668513187495","0.0698158891759536","1"
"Disabled","2005","Not Working","Rural Area","510","0.208853085505301","0.193420151411843","0.224286019598759","1"
"Not disabled","2005","Full Time","Urban Area","5106","0.93727111046343","0.930807480499767","0.943734740427092","0"
"Not disabled","2005","Part Time","Urban Area","3072","0.928867088906076","0.920052834067095","0.937681343745057","0"
"Not disabled","2005","Part Time","Rural Area","1467","0.941808629752648","0.930184110824046","0.953433148681251","0"
"Not disabled","2005","Full Time","Rural Area","2519","0.948662927598111","0.940247945463216","0.957077909733006","0"
"Not disabled","2005","Not Working","Urban Area","4134","0.772556328064022","0.761202291766925","0.783910364361118","0"
"Not disabled","2005","Not Working","Rural Area","2155","0.791146914494699","0.775713980401241","0.806579848588157","0"
"Disabled","2006","Full Time","Urban Area","320","0.0661993699933982","0.0597157685072635","0.072682971479533","1"
"Disabled","2006","Full Time","Rural Area","122","0.047312802496221","0.0394461722561281","0.055179432736314","1"
"Disabled","2006","Part Time","Urban Area","202","0.063060019361403","0.0548252171895528","0.0712948215332532","1"
"Disabled","2006","Part Time","Rural Area","101","0.0692679677815385","0.0571228621463361","0.0814130734167409","1"
"Disabled","2006","Not Working","Urban Area","1238","0.240639967729742","0.229474855955012","0.251805079504471","1"
"Disabled","2006","Not Working","Rural Area","580","0.209889244491523","0.195141436177458","0.224637052805588","1"
"Not disabled","2006","Full Time","Urban Area","5329","0.933800630006602","0.927317028520467","0.940284231492736","0"
"Not disabled","2006","Full Time","Rural Area","2676","0.952687197503779","0.944820567263686","0.960553827743872","0"
"Not disabled","2006","Part Time","Urban Area","3145","0.936939980638597","0.928705178466747","0.945174782810447","0"
"Not disabled","2006","Part Time","Rural Area","1578","0.930732032218462","0.918586926583259","0.942877137853664","0"
"Not disabled","2006","Not Working","Urban Area","4393","0.759360032270258","0.748194920495529","0.770525144044988","0"
"Not disabled","2006","Not Working","Rural Area","2349","0.790110755508477","0.775362947194412","0.804858563822542","0"
"Disabled","2007","Full Time","Urban Area","299","0.0686911633771959","0.0618139766301049","0.0755683501242868","1"
"Disabled","2007","Full Time","Rural Area","124","0.0534838021403467","0.0449733798984638","0.0619942243822296","1"
"Disabled","2007","Part Time","Urban Area","195","0.0622070826449098","0.0538241838533868","0.0705899814364328","1"
"Disabled","2007","Part Time","Rural Area","105","0.0739557450098091","0.0608640544922092","0.0870474355274089","1"
"Disabled","2007","Not Working","Urban Area","1164","0.239613178521158","0.228051499375747","0.251174857666568","1"
"Disabled","2007","Not Working","Rural Area","536","0.203503874071775","0.188437339872328","0.218570408271221","1"
"Not disabled","2007","Full Time","Urban Area","4897","0.931308836622804","0.924431649875713","0.938186023369895","0"
"Not disabled","2007","Full Time","Rural Area","2561","0.946516197859653","0.93800577561777","0.955026620101536","0"
"Not disabled","2007","Part Time","Urban Area","2994","0.93779291735509","0.929410018563567","0.946175816146613","0"
"Not disabled","2007","Part Time","Rural Area","1430","0.926044254990191","0.912952564472591","0.939135945507791","0"
"Not disabled","2007","Not Working","Urban Area","4072","0.760386821478842","0.748825142333432","0.771948500624253","0"
"Not disabled","2007","Not Working","Rural Area","2207","0.796496125928225","0.781429591728779","0.811562660127672","0"
"Disabled","2008","Full Time","Urban Area","274","0.0639559411411691","0.0571384930763071","0.070773389206031","1"
"Disabled","2008","Full Time","Rural Area","128","0.0591903578764816","0.0500348146217779","0.0683459011311854","1"
"Disabled","2008","Part Time","Urban Area","182","0.0629025437859327","0.0541928596119708","0.0716122279598947","1"
"Disabled","2008","Part Time","Rural Area","99","0.0779480958995214","0.0640627398020917","0.0918334519969511","1"
"Disabled","2008","Not Working","Urban Area","1088","0.239808377613656","0.227858414208411","0.2517583410189","1"
"Disabled","2008","Not Working","Rural Area","508","0.20387484372256","0.188304969543043","0.219444717902078","1"
"Not disabled","2008","Full Time","Urban Area","4674","0.936044058858831","0.929226610793969","0.942861506923693","0"
"Not disabled","2008","Full Time","Rural Area","2424","0.940809642123518","0.931654098868815","0.949965185378222","0"
"Not disabled","2008","Part Time","Urban Area","2803","0.937097456214067","0.928387772040105","0.945807140388029","0"
"Not disabled","2008","Part Time","Rural Area","1333","0.922051904100479","0.908166548003049","0.935937260197908","0"
"Not disabled","2008","Not Working","Urban Area","3816","0.760191622386344","0.7482416589811","0.772141585791589","0"
"Not disabled","2008","Not Working","Rural Area","2064","0.79612515627744","0.780555282097923","0.811695030456957","0"
"Disabled","2009","Full Time","Urban Area","247","0.0593322542962074","0.0524738279071275","0.0661906806852872","1"
"Disabled","2009","Full Time","Rural Area","136","0.060453948287758","0.0510130405102282","0.0698948560652877","1"
"Disabled","2009","Part Time","Urban Area","184","0.0661928515344392","0.0570216382316033","0.0753640648372751","1"
