"m11124","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Not disabled","1985","Part Time","direct migration background","440","0.949293461263092","0.929244060217335","0.969342862308849"
"Not disabled","1985","Part Time","indirect migration background","20","","",""
"Not disabled","1985","Not Working","no migration background","2732","0.829609079145406","0.816677042700951","0.842541115589862"
"Not disabled","1985","Not Working","direct migration background","825","0.874079209192485","0.852234043332943","0.895924375052027"
"Not disabled","1985","Not Working","indirect migration background","68","0.921745397255848","0.859709612967462","0.983781181544234"
"Disabled","1985","Full Time","no migration background","218","0.070095088720199","0.0614366831821677","0.0787534942582303"
"Disabled","1985","Full Time","direct migration background","36","0.0384871472396439","0.0290256852363937","0.0479486092428941"
"Disabled","1985","Full Time","indirect migration background","","","",""
"Disabled","1985","Part Time","no migration background","79","0.0640241769728942","0.0511086281531506","0.0769397257926379"
"Disabled","1985","Part Time","direct migration background","20","","",""
"Disabled","1985","Part Time","indirect migration background","1","","",""
"Disabled","1985","Not Working","no migration background","515","0.170390920854594","0.157458884410138","0.183322957299049"
"Disabled","1985","Not Working","direct migration background","61","0.125920790807515","0.104075624947973","0.147765956667057"
"Disabled","1985","Not Working","indirect migration background","4","","",""
"Not disabled","1986","Full Time","no migration background","3265","0.99968421027938","0.999075041723329","1.00029337883543"
"Not disabled","1986","Full Time","direct migration background","1541","1","1","1"
"Not disabled","1986","Full Time","indirect migration background","56","1","1","1"
"Not disabled","1986","Part Time","no migration background","1337","1","1","1"
"Not disabled","1986","Part Time","direct migration background","460","1","1","1"
"Not disabled","1986","Part Time","indirect migration background","36","1","1","1"
"Not disabled","1986","Not Working","no migration background","3022","0.999542073875587","0.998779798519968","1.00030434923121"
"Not disabled","1986","Not Working","direct migration background","854","0.999748367067577","0.998685218092746","1.00081151604241"
"Not disabled","1986","Not Working","indirect migration background","64","1","1","1"
"Disabled","1986","Full Time","no migration background","3","","",""
"Disabled","1986","Full Time","direct migration background","","","",""
"Disabled","1986","Full Time","indirect migration background","","","",""
"Disabled","1986","Part Time","no migration background","","","",""
"Disabled","1986","Part Time","direct migration background","","","",""
"Disabled","1986","Part Time","indirect migration background","","","",""
"Disabled","1986","Not Working","no migration background","4","","",""
"Disabled","1986","Not Working","direct migration background","1","","",""
"Disabled","1986","Not Working","indirect migration background","","","",""
"Not disabled","1987","Full Time","no migration background","3081","0.934791304295349","0.926345855398681","0.943236753192017"
"Not disabled","1987","Full Time","direct migration background","1493","0.962049853636057","0.952503570795855","0.971596136476259"
"Not disabled","1987","Full Time","indirect migration background","64","0.988199229137874","0.961946838563746","1.014451619712"
"Not disabled","1987","Part Time","no migration background","1258","0.941863615254323","0.929278213775257","0.954449016733389"
"Not disabled","1987","Part Time","direct migration background","428","0.95868169989013","0.940106339956816","0.977257059823444"
"Not disabled","1987","Part Time","indirect migration background","35","1","1","1"
"Not disabled","1987","Not Working","no migration background","2377","0.818040208015547","0.803875725844447","0.832204690186648"
"Not disabled","1987","Not Working","direct migration background","763","0.822996550766218","0.797307974378691","0.848685127153744"
"Not disabled","1987","Not Working","indirect migration background","70","0.760086462407607","0.664080065522865","0.856092859292349"
"Disabled","1987","Full Time","no migration background","202","0.0652086957046514","0.0567632468079832","0.0736541446013195"
"Disabled","1987","Full Time","direct migration background","46","0.0379501463639431","0.0284038635237407","0.0474964292041454"
"Disabled","1987","Full Time","indirect migration background","1","","",""
"Disabled","1987","Part Time","no migration background","70","0.0581363847456772","0.0455509832666114","0.070721786224743"
"Disabled","1987","Part Time","direct migration background","13","","",""
"Disabled","1987","Part Time","indirect migration background","","","",""
"Disabled","1987","Not Working","no migration background","473","0.181959791984453","0.167795309813352","0.196124274155553"
"Disabled","1987","Not Working","direct migration background","85","0.177003449233782","0.151314872846256","0.202692025621309"
"Disabled","1987","Not Working","indirect migration background","6","","",""
"Not disabled","1988","Full Time","no migration background","2922","0.935716551061033","0.927099671212293","0.944333430909773"
"Not disabled","1988","Full Time","direct migration background","1347","0.961335314388654","0.951250701616538","0.971419927160769"
"Not disabled","1988","Full Time","indirect migration background","71","0.990500018505911","0.968247699125789","1.01275233788603"
"Not disabled","1988","Part Time","no migration background","1251","0.940584301858859","0.927841004162311","0.953327599555407"
"Not disabled","1988","Part Time","direct migration background","449","0.930084500520894","0.906981249312954","0.953187751728834"
"Not disabled","1988","Part Time","indirect migration background","51","1","1","1"
"Not disabled","1988","Not Working","no migration background","2136","0.789290884799389","0.773737529402834","0.804844240195944"
"Not disabled","1988","Not Working","direct migration background","706","0.794365089038217","0.766514631864518","0.822215546211916"
"Not disabled","1988","Not Working","indirect migration background","91","0.77887894945372","0.697130312249721","0.86062758665772"
"Disabled","1988","Full Time","no migration background","190","0.0642834489389668","0.0556665690902269","0.0729003287877068"
"Disabled","1988","Full Time","direct migration background","57","0.0386646856113465","0.0285800728392308","0.0487492983834622"
"Disabled","1988","Full Time","indirect migration background","2","","",""
"Disabled","1988","Part Time","no migration background","71","0.059415698141141","0.0466724004445928","0.0721589958376892"
"Disabled","1988","Part Time","direct migration background","19","","",""
"Disabled","1988","Part Time","indirect migration background","","","",""
"Disabled","1988","Not Working","no migration background","505","0.210709115200611","0.195155759804056","0.226262470597166"
"Disabled","1988","Not Working","direct migration background","103","0.205634910961783","0.177784453788084","0.233485368135482"
"Disabled","1988","Not Working","indirect migration background","8","","",""
"Not disabled","1989","Full Time","no migration background","2898","0.939908289283021","0.931508361451997","0.948308217114046"
"Not disabled","1989","Full Time","direct migration background","1334","0.976598811187286","0.968608314092409","0.984589308282164"
"Not disabled","1989","Full Time","indirect migration background","97","1","1","1"
"Not disabled","1989","Part Time","no migration background","1162","0.931944127452033","0.917898460915113","0.945989793988953"
"Not disabled","1989","Part Time","direct migration background","397","0.937386687376145","0.914161850011961","0.960611524740328"
"Not disabled","1989","Part Time","indirect migration background","54","1","1","1"
"Not disabled","1989","Not Working","no migration background","1983","0.770303969638015","0.753815289262605","0.786792650013425"
"Not disabled","1989","Not Working","direct migration background","695","0.79682410503512","0.769011774047162","0.824636436023078"
"Not disabled","1989","Not Working","indirect migration background","100","0.80992895827953","0.736271575539484","0.883586341019576"
"Disabled","1989","Full Time","no migration background","177","0.0600917107169786","0.0516917828859537","0.0684916385480034"
"Disabled","1989","Full Time","direct migration background","41","0.0234011888127136","0.015410691717836","0.0313916859075912"
"Disabled","1989","Full Time","indirect migration background","","","",""
"Disabled","1989","Part Time","no migration background","73","0.0680558725479672","0.0540102060110471","0.0821015390848873"
"Disabled","1989","Part Time","direct migration background","21","","",""
"Disabled","1989","Part Time","indirect migration background","","","",""
"Disabled","1989","Not Working","no migration background","517","0.229696030361985","0.213207349986574","0.246184710737395"
"Disabled","1989","Not Working","direct migration background","109","0.20317589496488","0.175363563976922","0.230988225952838"
"Disabled","1989","Not Working","indirect migration background","9","","",""
"Not disabled","1990","Full Time","no migration background","","","",""
"Not disabled","1990","Full Time","direct migration background","","","",""
"Not disabled","1990","Full Time","indirect migration background","","","",""
"Not disabled","1990","Part Time","no migration background","","","",""
"Not disabled","1990","Part Time","direct migration background","","","",""
"Not disabled","1990","Part Time","indirect migration background","","","",""
"Not disabled","1990","Not Working","no migration background","","","",""
"Not disabled","1990","Not Working","direct migration background","","","",""
"Not disabled","1990","Not Working","indirect migration background","","","",""
"Disabled","1990","Full Time","no migration background","","","",""
"Disabled","1990","Full Time","direct migration background","","","",""
"Disabled","1990","Full Time","indirect migration background","","","",""
"Disabled","1990","Part Time","no migration background","","","",""
"Disabled","1990","Part Time","direct migration background","","","",""
"Disabled","1990","Part Time","indirect migration background","","","",""
"Disabled","1990","Not Working","no migration background","","","",""
"Disabled","1990","Not Working","direct migration background","","","",""
"Disabled","1990","Not Working","indirect migration background","","","",""
"Not disabled","1991","Full Time","no migration background","2801","0.940858736480023","0.932369472704701","0.949348000255345"
"Not disabled","1991","Full Time","direct migration background","1274","0.963069274892121","0.952918504360947","0.973220045423296"
"Not disabled","1991","Full Time","indirect migration background","131","1","1","1"
"Not disabled","1991","Part Time","no migration background","1184","0.932784217644699","0.918947470834619","0.946620964454779"
"Not disabled","1991","Part Time","direct migration background","398","0.954354721934274","0.934274112718068","0.97443533115048"
"Not disabled","1991","Part Time","indirect migration background","82","0.948935243516676","0.901577830989808","0.996292656043545"
"Not disabled","1991","Not Working","no migration background","1834","0.756298868102259","0.738974411599687","0.77362332460483"
"Not disabled","1991","Not Working","direct migration background","631","0.7623514780495","0.731929716858611","0.79277323924039"
"Not disabled","1991","Not Working","indirect migration background","127","0.898867952675269","0.84781885855126","0.949917046799278"
"Disabled","1991","Full Time","no migration background","165","0.059141263519977","0.0506519997446547","0.0676305272952994"
"Disabled","1991","Full Time","direct migration background","52","0.036930725107879","0.0267799545767045","0.0470814956390535"
"Disabled","1991","Full Time","indirect migration background","","","",""
"Disabled","1991","Part Time","no migration background","74","0.0672157823553008","0.0533790355452205","0.0810525291653812"
"Disabled","1991","Part Time","direct migration background","17","","",""
"Disabled","1991","Part Time","indirect migration background","1","","",""
"Disabled","1991","Not Working","no migration background","525","0.243701131897741","0.22637667539517","0.261025588400313"
"Disabled","1991","Not Working","direct migration background","121","0.2376485219505","0.20722676075961","0.268070283141389"
"Disabled","1991","Not Working","indirect migration background","7","","",""
"Not disabled","1992","Full Time","no migration background","4854","0.947760758602433","0.941638373382102","0.953883143822765"
"Not disabled","1992","Full Time","direct migration background","1273","0.948784437576341","0.936986164292715","0.960582710859967"
"Not disabled","1992","Full Time","indirect migration background","167","1","1","1"
"Not disabled","1992","Part Time","no migration background","1899","0.940320258306305","0.929930380921598","0.950710135691012"
"Not disabled","1992","Part Time","direct migration background","397","0.939532193057668","0.91662776943272","0.962436616682616"
"Not disabled","1992","Part Time","indirect migration background","82","0.896275269192848","0.831834497853","0.960716040532696"
"Not disabled","1992","Not Working","no migration background","2600","0.769324570051309","0.754850362778576","0.783798777324042"
"Not disabled","1992","Not Working","direct migration background","670","0.773697966818204","0.744665990491721","0.802729943144687"
"Not disabled","1992","Not Working","indirect migration background","150","0.922631756180584","0.880972154205329","0.96429135815584"
"Disabled","1992","Full Time","no migration background","220","0.0522392413975669","0.0461168561772354","0.0583616266178984"
"Disabled","1992","Full Time","direct migration background","68","0.051215562423659","0.0394172891400328","0.0630138357072853"
"Disabled","1992","Full Time","indirect migration background","","","",""
"Disabled","1992","Part Time","no migration background","98","0.0596797416936952","0.0492898643089883","0.070069619078402"
"Disabled","1992","Part Time","direct migration background","19","","",""
"Disabled","1992","Part Time","indirect migration background","4","","",""
"Disabled","1992","Not Working","no migration background","654","0.230675429948691","0.216201222675958","0.245149637221424"
"Disabled","1992","Not Working","direct migration background","128","0.226302033181796","0.197270056855313","0.255334009508279"
"Disabled","1992","Not Working","indirect migration background","8","","",""
"Not disabled","1993","Full Time","no migration background","","","",""
"Not disabled","1993","Full Time","direct migration background","","","",""
"Not disabled","1993","Full Time","indirect migration background","","","",""
"Not disabled","1993","Part Time","no migration background","","","",""
"Not disabled","1993","Part Time","direct migration background","","","",""
"Not disabled","1993","Part Time","indirect migration background","","","",""
"Not disabled","1993","Not Working","no migration background","","","",""
"Not disabled","1993","Not Working","direct migration background","","","",""
"Not disabled","1993","Not Working","indirect migration background","","","",""
"Disabled","1993","Full Time","no migration background","","","",""
"Disabled","1993","Full Time","direct migration background","","","",""
"Disabled","1993","Full Time","indirect migration background","","","",""
"Disabled","1993","Part Time","no migration background","","","",""
"Disabled","1993","Part Time","direct migration background","","","",""
"Disabled","1993","Part Time","indirect migration background","","","",""
"Disabled","1993","Not Working","no migration background","","","",""
"Disabled","1993","Not Working","direct migration background","","","",""
"Disabled","1993","Not Working","indirect migration background","","","",""
"Not disabled","1994","Full Time","no migration background","4467","0.949355518898057","0.943056560341563","0.955654477454551"
"Not disabled","1994","Full Time","direct migration background","1053","0.950693353429589","0.937956575885133","0.963430130974045"
"Not disabled","1994","Full Time","indirect migration background","213","0.981006045987428","0.962717265915848","0.999294826059007"
"Not disabled","1994","Part Time","no migration background","1734","0.937710441610254","0.926640484944106","0.948780398276401"
"Not disabled","1994","Part Time","direct migration background","395","0.926963589968709","0.902049666470673","0.951877513466744"
"Not disabled","1994","Part Time","indirect migration background","107","0.955224514744548","0.916399849264474","0.994049180224621"
"Not disabled","1994","Not Working","no migration background","2902","0.788519673148067","0.775069546283261","0.801969800012873"
"Not disabled","1994","Not Working","direct migration background","687","0.759665775610703","0.730631866129976","0.78869968509143"
"Not disabled","1994","Not Working","indirect migration background","164","0.93481265650772","0.89792103018801","0.971704282827431"
"Disabled","1994","Full Time","no migration background","188","0.0506444811019429","0.0443455225454491","0.0569434396584368"
"Disabled","1994","Full Time","direct migration background","57","0.0493066465704113","0.0365698690259552","0.0620434241148673"
"Disabled","1994","Full Time","indirect migration background","1","","",""
"Disabled","1994","Part Time","no migration background","97","0.0622895583897464","0.0512196017235986","0.0733595150558943"
"Disabled","1994","Part Time","direct migration background","24","","",""
"Disabled","1994","Part Time","indirect migration background","2","","",""
"Disabled","1994","Not Working","no migration background","639","0.211480326851933","0.198030199987127","0.224930453716739"
"Disabled","1994","Not Working","direct migration background","145","0.240334224389297","0.21130031490857","0.269368133870025"
"Disabled","1994","Not Working","indirect migration background","8","","",""
"Not disabled","1995","Full Time","no migration background","4318","0.948669592892523","0.942232168247572","0.955107017537473"
"Not disabled","1995","Full Time","direct migration background","1096","0.960260484128457","0.9489800018856","0.971540966371314"
"Not disabled","1995","Full Time","indirect migration background","203","0.981235440183233","0.962615048565776","0.999855831800691"
"Not disabled","1995","Part Time","no migration background","1806","0.92596937961543","0.914249017182528","0.937689742048332"
"Not disabled","1995","Part Time","direct migration background","521","0.945975802878285","0.926943882054521","0.965007723702049"
"Not disabled","1995","Part Time","indirect migration background","132","0.966960568696918","0.93680955828262","0.997111579111215"
"Not disabled","1995","Not Working","no migration background","2845","0.770160266679128","0.756263358512723","0.784057174845532"
"Not disabled","1995","Not Working","direct migration background","929","0.806248259672644","0.782838431144278","0.82965808820101"
"Not disabled","1995","Not Working","indirect migration background","164","0.94081900206876","0.905452328161431","0.976185675976088"
"Disabled","1995","Full Time","no migration background","196","0.0513304071074774","0.0448929824625268","0.057767831752428"
"Disabled","1995","Full Time","direct migration background","56","0.0397395158715429","0.028459033628686","0.0510199981143997"
"Disabled","1995","Full Time","indirect migration background","1","","",""
"Disabled","1995","Part Time","no migration background","111","0.07403062038457","0.0623102579516681","0.0857509828174719"
"Disabled","1995","Part Time","direct migration background","21","","",""
"Disabled","1995","Part Time","indirect migration background","3","","",""
"Disabled","1995","Not Working","no migration background","676","0.229839733320872","0.215942825154468","0.243736641487277"
"Disabled","1995","Not Working","direct migration background","166","0.193751740327356","0.17034191179899","0.217161568855722"
"Disabled","1995","Not Working","indirect migration background","7","","",""
"Not disabled","1996","Full Time","no migration background","4317","0.947958291771391","0.941481000418715","0.954435583124067"
"Not disabled","1996","Full Time","direct migration background","974","0.970448484176857","0.959978616703636","0.980918351650077"
"Not disabled","1996","Full Time","indirect migration background","217","0.986055721728039","0.970525602753282","1.0015858407028"
"Not disabled","1996","Part Time","no migration background","1856","0.936329740137481","0.925517552022002","0.947141928252959"
"Not disabled","1996","Part Time","direct migration background","551","0.948275625579614","0.930359505786926","0.966191745372302"
"Not disabled","1996","Part Time","indirect migration background","144","0.956630978478999","0.923815460373235","0.989446496584763"
"Not disabled","1996","Not Working","no migration background","2748","0.760985906033243","0.746734131868972","0.775237680197513"
"Not disabled","1996","Not Working","direct migration background","845","0.777855373190313","0.75234508647901","0.803365659901615"
"Not disabled","1996","Not Working","indirect migration background","176","0.968368068098938","0.942870903231439","0.993865232966438"
"Disabled","1996","Full Time","no migration background","200","0.052041708228609","0.0455644168759331","0.058518999581285"
"Disabled","1996","Full Time","direct migration background","31","0.0295515158231433","0.0190816483499227","0.0400213832963638"
"Disabled","1996","Full Time","indirect migration background","2","","",""
"Disabled","1996","Part Time","no migration background","103","0.0636702598625192","0.0528580717470409","0.0744824479779975"
"Disabled","1996","Part Time","direct migration background","36","0.0517243744203861","0.0338082546276983","0.0696404942130738"
"Disabled","1996","Part Time","indirect migration background","4","","",""
"Disabled","1996","Not Working","no migration background","692","0.239014093966757","0.224762319802487","0.253265868131028"
"Disabled","1996","Not Working","direct migration background","175","0.222144626809687","0.196634340098385","0.24765491352099"
"Disabled","1996","Not Working","indirect migration background","5","","",""
"Not disabled","1997","Full Time","no migration background","4219","0.944680248134977","0.937934767989233","0.95142572828072"
"Not disabled","1997","Full Time","direct migration background","925","0.97190919397177","0.961418684351737","0.982399703591803"
"Not disabled","1997","Full Time","indirect migration background","224","0.976409858993736","0.956753109808516","0.996066608178956"
"Not disabled","1997","Part Time","no migration background","1767","0.925775271389669","0.913938459687385","0.937612083091953"
"Not disabled","1997","Part Time","direct migration background","490","0.953109206815292","0.934921433443951","0.971296980186634"
"Not disabled","1997","Part Time","indirect migration background","140","0.959585632499205","0.927421147170511","0.991750117827898"
"Not disabled","1997","Not Working","no migration background","2820","0.771495117258179","0.757581100514308","0.785409134002051"
"Not disabled","1997","Not Working","direct migration background","845","0.805766819304714","0.781380912256788","0.830152726352641"
"Not disabled","1997","Not Working","indirect migration background","195","0.949730489838612","0.919598700441093","0.97986227923613"
"Disabled","1997","Full Time","no migration background","193","0.0553197518650234","0.04857427171928","0.0620652320107667"
"Disabled","1997","Full Time","direct migration background","28","","",""
"Disabled","1997","Full Time","indirect migration background","5","","",""
"Disabled","1997","Part Time","no migration background","117","0.0742247286103312","0.0623879169080473","0.086061540312615"
"Disabled","1997","Part Time","direct migration background","29","","",""
"Disabled","1997","Part Time","indirect migration background","4","","",""
"Disabled","1997","Not Working","no migration background","678","0.228504882741821","0.214590865997949","0.242418899485692"
"Disabled","1997","Not Working","direct migration background","166","0.194233180695286","0.169847273647359","0.218619087743212"
"Disabled","1997","Not Working","indirect migration background","7","","",""
"Not disabled","1998","Full Time","no migration background","4651","0.945180485857288","0.938786115736475","0.9515748559781"
"Not disabled","1998","Full Time","direct migration background","852","0.96532900799897","0.953296326520973","0.977361689476968"
"Not disabled","1998","Full Time","indirect migration background","239","0.991024028332634","0.979214083263237","1.00283397340203"
"Not disabled","1998","Part Time","no migration background","2076","0.926929985809223","0.916077148449214","0.937782823169232"
"Not disabled","1998","Part Time","direct migration background","495","0.954160852352379","0.936133502653489","0.972188202051268"
"Not disabled","1998","Part Time","indirect migration background","145","0.950996209509725","0.916564082823995","0.985428336195455"
"Not disabled","1998","Not Working","no migration background","3347","0.773628377501341","0.760946564459943","0.786310190542738"
"Not disabled","1998","Not Working","direct migration background","837","0.79717844842644","0.772367844668226","0.821989052184654"
"Not disabled","1998","Not Working","indirect migration background","204","0.964259558904726","0.939030947116353","0.9894881706931"
"Disabled","1998","Full Time","no migration background","217","0.0548195141427125","0.0484251440219002","0.0612138842635247"
"Disabled","1998","Full Time","direct migration background","36","0.0346709920010296","0.0226383105230322","0.0467036734790271"
"Disabled","1998","Full Time","indirect migration background","6","","",""
"Disabled","1998","Part Time","no migration background","133","0.073070014190777","0.0622171768307676","0.0839228515507863"
"Disabled","1998","Part Time","direct migration background","22","","",""
"Disabled","1998","Part Time","indirect migration background","6","","",""
"Disabled","1998","Not Working","no migration background","836","0.226371622498659","0.213689809457262","0.239053435540057"
"Disabled","1998","Not Working","direct migration background","172","0.20282155157356","0.178010947815346","0.227632155331774"
"Disabled","1998","Not Working","indirect migration background","4","","",""
"Not disabled","1999","Full Time","no migration background","4515","0.934774757191327","0.927758633893899","0.941790880488755"
"Not disabled","1999","Full Time","direct migration background","816","0.958278220453131","0.94482031770082","0.971736123205442"
"Not disabled","1999","Full Time","indirect migration background","237","0.974199641265095","0.954307110757266","0.994092171772924"
"Not disabled","1999","Part Time","no migration background","2179","0.933617300575557","0.923454239722028","0.943780361429087"
"Not disabled","1999","Part Time","direct migration background","437","0.947523315903999","0.927212108505955","0.967834523302043"
"Not disabled","1999","Part Time","indirect migration background","173","0.991968682932096","0.978744421287335","1.00519294457686"
"Not disabled","1999","Not Working","no migration background","3045","0.758285591045762","0.744758692548477","0.771812489543046"
"Not disabled","1999","Not Working","direct migration background","749","0.785660188070372","0.758968627722869","0.812351748417875"
"Not disabled","1999","Not Working","indirect migration background","183","0.935137147639534","0.900391123848419","0.969883171430648"
"Disabled","1999","Full Time","no migration background","243","0.065225242808673","0.0582091195112446","0.0722413661061014"
"Disabled","1999","Full Time","direct migration background","32","0.0417217795468688","0.0282638767945576","0.0551796822991799"
"Disabled","1999","Full Time","indirect migration background","7","","",""
"Disabled","1999","Part Time","no migration background","126","0.0663826994244429","0.0562196385709135","0.0765457602779723"
"Disabled","1999","Part Time","direct migration background","26","","",""
"Disabled","1999","Part Time","indirect migration background","2","","",""
"Disabled","1999","Not Working","no migration background","803","0.241714408954238","0.228187510456954","0.255241307451523"
"Disabled","1999","Not Working","direct migration background","159","0.214339811929628","0.187648251582125","0.241031372277131"
"Disabled","1999","Not Working","indirect migration background","10","","",""
"Not disabled","2000","Full Time","no migration background","8080","0.942918186114773","0.93798500877651","0.947851363453037"
"Not disabled","2000","Full Time","direct migration background","1218","0.969421399027904","0.959888221897776","0.978954576158032"
"Not disabled","2000","Full Time","indirect migration background","332","0.987883608183446","0.976254452713229","0.999512763653663"
"Not disabled","2000","Part Time","no migration background","3857","0.928721347864047","0.920859250805629","0.936583444922465"
"Not disabled","2000","Part Time","direct migration background","691","0.951826666466509","0.936228947474298","0.967424385458721"
"Not disabled","2000","Part Time","indirect migration background","238","0.974910850126244","0.955287253746021","0.994534446506468"
"Not disabled","2000","Not Working","no migration background","5955","0.786248403014759","0.776924967931358","0.795571838098159"
"Not disabled","2000","Not Working","direct migration background","1157","0.840082628726101","0.820617003367171","0.859548254085032"
"Not disabled","2000","Not Working","indirect migration background","234","0.932571358529249","0.901298840194031","0.963843876864467"
"Disabled","2000","Full Time","no migration background","416","0.0570818138852267","0.052148636546963","0.0620149912234903"
"Disabled","2000","Full Time","direct migration background","35","0.0305786009720959","0.021045423841968","0.0401117781022238"
"Disabled","2000","Full Time","indirect migration background","8","","",""
"Disabled","2000","Part Time","no migration background","257","0.0712786521359526","0.0634165550775344","0.0791407491943707"
"Disabled","2000","Part Time","direct migration background","33","0.0481733335334908","0.0325756145412794","0.0637710525257023"
"Disabled","2000","Part Time","indirect migration background","6","","",""
"Disabled","2000","Not Working","no migration background","1472","0.213751596985241","0.204428161901841","0.223075032068642"
"Disabled","2000","Not Working","direct migration background","205","0.159917371273899","0.140451745914968","0.179382996632829"
"Disabled","2000","Not Working","indirect migration background","13","","",""
"Not disabled","2001","Full Time","no migration background","7314","0.948305698221204","0.943346143965751","0.953265252476657"
"Not disabled","2001","Full Time","direct migration background","1066","0.964739995334882","0.953865395705855","0.975614594963908"
"Not disabled","2001","Full Time","indirect migration background","310","0.980360518332549","0.965133647396505","0.995587389268592"
"Not disabled","2001","Part Time","no migration background","3675","0.929227914548036","0.921197029200963","0.93725879989511"
"Not disabled","2001","Part Time","direct migration background","662","0.958094997646662","0.943144323822659","0.973045671470665"
"Not disabled","2001","Part Time","indirect migration background","218","0.980175070111927","0.961920074280799","0.998430065943055"
"Not disabled","2001","Not Working","no migration background","5356","0.777114676103644","0.767156721942117","0.787072630265171"
"Not disabled","2001","Not Working","direct migration background","964","0.833893245068832","0.812354754868753","0.855431735268911"
"Not disabled","2001","Not Working","indirect migration background","216","0.899187504628368","0.860528341850486","0.93784666740625"
"Disabled","2001","Full Time","no migration background","342","0.0516943017787961","0.0467347475233432","0.056653856034249"
"Disabled","2001","Full Time","direct migration background","39","0.0352600046651184","0.0243854050360915","0.0461346042941452"
"Disabled","2001","Full Time","indirect migration background","9","","",""
"Disabled","2001","Part Time","no migration background","242","0.0707720854519636","0.0627412001048904","0.0788029707990368"
"Disabled","2001","Part Time","direct migration background","28","","",""
"Disabled","2001","Part Time","indirect migration background","6","","",""
"Disabled","2001","Not Working","no migration background","1354","0.222885323896356","0.212927369734829","0.232843278057883"
"Disabled","2001","Not Working","direct migration background","183","0.166106754931168","0.144568264731089","0.187645245131247"
"Disabled","2001","Not Working","indirect migration background","17","","",""
"Not disabled","2002","Full Time","no migration background","7794","0.940851605876173","0.9357460065521","0.945957205200247"
"Not disabled","2002","Full Time","direct migration background","1024","0.971640348583847","0.961633120181309","0.981647576986385"
"Not disabled","2002","Full Time","indirect migration background","323","0.984296503046539","0.970923153148656","0.997669852944422"
"Not disabled","2002","Part Time","no migration background","4118","0.922792407525849","0.914890273940607","0.930694541111092"
"Not disabled","2002","Part Time","direct migration background","618","0.931775026268267","0.912421882859029","0.951128169677506"
"Not disabled","2002","Part Time","indirect migration background","209","0.974736481024512","0.953662391463812","0.995810570585212"
"Not disabled","2002","Not Working","no migration background","5483","0.765284807292777","0.755301301555342","0.775268313030212"
"Not disabled","2002","Not Working","direct migration background","929","0.83824059915435","0.816558699936139","0.859922498372561"
"Not disabled","2002","Not Working","indirect migration background","221","0.899456239468279","0.861330636380113","0.937581842556445"
"Disabled","2002","Full Time","no migration background","407","0.0591483941238265","0.054042794799753","0.0642539934479"
"Disabled","2002","Full Time","direct migration background","33","0.0283596514161529","0.0183524230136152","0.0383668798186907"
"Disabled","2002","Full Time","indirect migration background","9","","",""
"Disabled","2002","Part Time","no migration background","265","0.0772075924741505","0.0693054588889077","0.0851097260593933"
"Disabled","2002","Part Time","direct migration background","34","0.0682249737317326","0.0488718303224943","0.087578117140971"
"Disabled","2002","Part Time","indirect migration background","4","","",""
"Disabled","2002","Not Working","no migration background","1440","0.234715192707223","0.224731686969788","0.244698698444658"
"Disabled","2002","Not Working","direct migration background","179","0.16175940084565","0.140077501627439","0.183441300063861"
"Disabled","2002","Not Working","indirect migration background","18","","",""
"Not disabled","2003","Full Time","no migration background","7317","0.941055690406772","0.935791376648454","0.94632000416509"
