"m11124","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Disabled","1990","Employed","Couple + C. LE 16 ","","","",""
"Disabled","1990","Employed","Couple + C. GT 16 ","","","",""
"Disabled","1990","Employed","Couple + C. LE and GT 16","","","",""
"Not disabled","1991","Not Employed","1-pers.-HH","347","0.737356500264621","0.697822869691931","0.776890130837311"
"Not disabled","1991","Not Employed","(Married) couple without C. ","634","0.642891489746874","0.612566006805423","0.673216972688326"
"Not disabled","1991","Not Employed","Single parent ","135","0.830383618610028","0.77259213188613","0.888175105333925"
"Not disabled","1991","Not Employed","Couple + C. LE 16 ","474","0.964704438529268","0.948366124587474","0.981042752471063"
"Not disabled","1991","Not Employed","Couple + C. GT 16 ","526","0.804922466506019","0.7742224395634","0.835622493448637"
"Not disabled","1991","Not Employed","Couple + C. LE and GT 16","249","0.937919528918304","0.908645120431347","0.96719393740526"
"Not disabled","1991","Employed","1-pers.-HH","525","0.933322378413117","0.912586779450914","0.954057977375319"
"Not disabled","1991","Employed","(Married) couple without C. ","1245","0.905354712262952","0.889774365209305","0.9209350593166"
"Not disabled","1991","Employed","Single parent ","310","0.967934413383099","0.948661909807014","0.987206916959185"
"Not disabled","1991","Employed","Couple + C. LE 16 ","1557","0.972388594150721","0.964354740958558","0.980422447342884"
"Not disabled","1991","Employed","Couple + C. GT 16 ","1266","0.943532453253292","0.931164497707249","0.955900408799335"
"Not disabled","1991","Employed","Couple + C. LE and GT 16","598","0.946532468044907","0.928923774009624","0.96414116208019"
"Disabled","1991","Not Employed","1-pers.-HH","129","0.262643499735379","0.223109869162689","0.302177130308069"
"Disabled","1991","Not Employed","(Married) couple without C. ","325","0.357108510253126","0.326783027311674","0.387433993194577"
"Disabled","1991","Not Employed","Single parent ","27","","",""
"Disabled","1991","Not Employed","Couple + C. LE 16 ","16","","",""
"Disabled","1991","Not Employed","Couple + C. GT 16 ","114","0.195077533493981","0.164377506551363","0.2257775604366"
"Disabled","1991","Not Employed","Couple + C. LE and GT 16","12","","",""
"Disabled","1991","Employed","1-pers.-HH","31","0.0666776215868833","0.0459420226246807","0.0874132205490858"
"Disabled","1991","Employed","(Married) couple without C. ","111","0.0946452877370476","0.0790649406833998","0.110225634790695"
"Disabled","1991","Employed","Single parent ","11","","",""
"Disabled","1991","Employed","Couple + C. LE 16 ","41","0.0276114058492787","0.0195775526571156","0.0356452590414417"
"Disabled","1991","Employed","Couple + C. GT 16 ","72","0.0564675467467082","0.0440995912006652","0.0688355022927513"
"Disabled","1991","Employed","Couple + C. LE and GT 16","29","","",""
"Not disabled","1992","Not Employed","1-pers.-HH","510","0.75627866983891","0.72374577361541","0.788811566062409"
"Not disabled","1992","Not Employed","(Married) couple without C. ","931","0.660542147653722","0.635216924468739","0.685867370838705"
"Not disabled","1992","Not Employed","Single parent ","156","0.861191104778721","0.810960221670453","0.911421987886989"
"Not disabled","1992","Not Employed","Couple + C. LE 16 ","566","0.957273113014847","0.940884631542889","0.973661594486804"
"Not disabled","1992","Not Employed","Couple + C. GT 16 ","668","0.833709258551229","0.807745001954712","0.859673515147747"
"Not disabled","1992","Not Employed","Couple + C. LE and GT 16","294","0.954003181489182","0.930455394014037","0.977550968964326"
"Not disabled","1992","Employed","1-pers.-HH","634","0.93818033978959","0.919876435379128","0.956484244200053"
"Not disabled","1992","Employed","(Married) couple without C. ","1774","0.92378038683755","0.911852190708422","0.935708582966678"
"Not disabled","1992","Employed","Single parent ","435","0.959545099041659","0.941401758299544","0.977688439783774"
"Not disabled","1992","Employed","Couple + C. LE 16 ","2640","0.97357522462873","0.967533034709331","0.979617414548129"
"Not disabled","1992","Employed","Couple + C. GT 16 ","1822","0.933407289554629","0.922298760727523","0.944515818381736"
"Not disabled","1992","Employed","Couple + C. LE and GT 16","827","0.959311592635294","0.94606878027656","0.972554404994027"
"Disabled","1992","Not Employed","1-pers.-HH","159","0.24372133016109","0.211188433937591","0.27625422638459"
"Disabled","1992","Not Employed","(Married) couple without C. ","412","0.339457852346278","0.314132629161295","0.364783075531261"
"Disabled","1992","Not Employed","Single parent ","26","","",""
"Disabled","1992","Not Employed","Couple + C. LE 16 ","19","","",""
"Disabled","1992","Not Employed","Couple + C. GT 16 ","122","0.166290741448771","0.140326484852253","0.192254998045288"
"Disabled","1992","Not Employed","Couple + C. LE and GT 16","10","","",""
"Disabled","1992","Employed","1-pers.-HH","31","0.0618196602104099","0.0435157557999474","0.0801235646208724"
"Disabled","1992","Employed","(Married) couple without C. ","127","0.07621961316245","0.0642914170333222","0.0881478092915778"
"Disabled","1992","Employed","Single parent ","18","","",""
"Disabled","1992","Employed","Couple + C. LE 16 ","67","0.0264247753712701","0.0203825854518714","0.0324669652906687"
"Disabled","1992","Employed","Couple + C. GT 16 ","113","0.0665927104453706","0.055484181618264","0.0777012392724771"
"Disabled","1992","Employed","Couple + C. LE and GT 16","28","","",""
"Not disabled","1993","Not Employed","1-pers.-HH","","","",""
"Not disabled","1993","Not Employed","(Married) couple without C. ","","","",""
"Not disabled","1993","Not Employed","Single parent ","","","",""
"Not disabled","1993","Not Employed","Couple + C. LE 16 ","","","",""
"Not disabled","1993","Not Employed","Couple + C. GT 16 ","","","",""
"Not disabled","1993","Not Employed","Couple + C. LE and GT 16","","","",""
"Not disabled","1993","Employed","1-pers.-HH","","","",""
"Not disabled","1993","Employed","(Married) couple without C. ","","","",""
"Not disabled","1993","Employed","Single parent ","","","",""
"Not disabled","1993","Employed","Couple + C. LE 16 ","","","",""
"Not disabled","1993","Employed","Couple + C. GT 16 ","","","",""
"Not disabled","1993","Employed","Couple + C. LE and GT 16","","","",""
"Disabled","1993","Not Employed","1-pers.-HH","","","",""
"Disabled","1993","Not Employed","(Married) couple without C. ","","","",""
"Disabled","1993","Not Employed","Single parent ","","","",""
"Disabled","1993","Not Employed","Couple + C. LE 16 ","","","",""
"Disabled","1993","Not Employed","Couple + C. GT 16 ","","","",""
"Disabled","1993","Not Employed","Couple + C. LE and GT 16","","","",""
"Disabled","1993","Employed","1-pers.-HH","","","",""
"Disabled","1993","Employed","(Married) couple without C. ","","","",""
"Disabled","1993","Employed","Single parent ","","","",""
"Disabled","1993","Employed","Couple + C. LE 16 ","","","",""
"Disabled","1993","Employed","Couple + C. GT 16 ","","","",""
"Disabled","1993","Employed","Couple + C. LE and GT 16","","","",""
"Not disabled","1994","Not Employed","1-pers.-HH","553","0.750897695546264","0.719306860839569","0.782488530252958"
"Not disabled","1994","Not Employed","(Married) couple without C. ","1108","0.712327978377042","0.689457847229254","0.735198109524831"
"Not disabled","1994","Not Employed","Single parent ","172","0.857809090261409","0.809285515141032","0.906332665381787"
"Not disabled","1994","Not Employed","Couple + C. LE 16 ","622","0.948073557853026","0.931003262195435","0.965143853510617"
"Not disabled","1994","Not Employed","Couple + C. GT 16 ","684","0.838767444709752","0.813252549049247","0.864282340370258"
"Not disabled","1994","Not Employed","Couple + C. LE and GT 16","317","0.971054264881983","0.952938186801038","0.989170342962927"
"Not disabled","1994","Employed","1-pers.-HH","640","0.929961915235553","0.910808085784441","0.949115744686666"
"Not disabled","1994","Employed","(Married) couple without C. ","1751","0.917515532421913","0.905076760597734","0.929954304246093"
"Not disabled","1994","Employed","Single parent ","369","0.977126708968706","0.962055712736041","0.992197705201371"
"Not disabled","1994","Employed","Couple + C. LE 16 ","2310","0.969663100890221","0.962760913005848","0.976565288774593"
"Not disabled","1994","Employed","Couple + C. GT 16 ","1571","0.942381128003455","0.931164779519721","0.953597476487188"
"Not disabled","1994","Employed","Couple + C. LE and GT 16","828","0.968214392354653","0.956434825541888","0.979993959167419"
"Disabled","1994","Not Employed","1-pers.-HH","167","0.249102304453736","0.217511469747042","0.280693139160431"
"Disabled","1994","Not Employed","(Married) couple without C. ","397","0.287672021622958","0.26480189047517","0.310542152770746"
"Disabled","1994","Not Employed","Single parent ","27","","",""
"Disabled","1994","Not Employed","Couple + C. LE 16 ","27","","",""
"Disabled","1994","Not Employed","Couple + C. GT 16 ","114","0.161232555290248","0.135717659629742","0.186747450950753"
"Disabled","1994","Not Employed","Couple + C. LE and GT 16","12","","",""
"Disabled","1994","Employed","1-pers.-HH","42","0.0700380847644467","0.0508842553133339","0.0891919142155595"
"Disabled","1994","Employed","(Married) couple without C. ","128","0.0824844675780867","0.070045695753907","0.0949232394022664"
"Disabled","1994","Employed","Single parent ","9","","",""
"Disabled","1994","Employed","Couple + C. LE 16 ","62","0.0303368991097794","0.023434711225407","0.0372390869941518"
"Disabled","1994","Employed","Couple + C. GT 16 ","87","0.0576188719965454","0.0464025235128123","0.0688352204802785"
"Disabled","1994","Employed","Couple + C. LE and GT 16","24","","",""
"Not disabled","1995","Not Employed","1-pers.-HH","564","0.751770811688755","0.720561920622593","0.782979702754916"
"Not disabled","1995","Not Employed","(Married) couple without C. ","1099","0.686013375500285","0.662719860167777","0.709306890832792"
"Not disabled","1995","Not Employed","Single parent ","198","0.873973807790611","0.830512409199319","0.917435206381904"
"Not disabled","1995","Not Employed","Couple + C. LE 16 ","702","0.960570028862426","0.946452313988116","0.974687743736737"
"Not disabled","1995","Not Employed","Couple + C. GT 16 ","697","0.818618225423193","0.792260129118092","0.844976321728294"
"Not disabled","1995","Not Employed","Couple + C. LE and GT 16","379","0.961636252471872","0.942766227245053","0.98050627769869"
"Not disabled","1995","Employed","1-pers.-HH","667","0.937051415793553","0.919148940705141","0.954953890881964"
"Not disabled","1995","Employed","(Married) couple without C. ","1810","0.912067340816837","0.89949135118546","0.924643330448214"
"Not disabled","1995","Employed","Single parent ","379","0.98009051314063","0.966173189244754","0.994007837036507"
"Not disabled","1995","Employed","Couple + C. LE 16 ","2350","0.9680290926909","0.961014195482848","0.975043989898953"
"Not disabled","1995","Employed","Couple + C. GT 16 ","1580","0.937487679700485","0.925880533355471","0.949094826045498"
"Not disabled","1995","Employed","Couple + C. LE and GT 16","814","0.961865287834294","0.948936682858531","0.974793892810058"
"Disabled","1995","Not Employed","1-pers.-HH","172","0.248229188311245","0.217020297245084","0.279438079377407"
"Disabled","1995","Not Employed","(Married) couple without C. ","426","0.313986624499716","0.290693109167208","0.337280139832223"
"Disabled","1995","Not Employed","Single parent ","26","","",""
"Disabled","1995","Not Employed","Couple + C. LE 16 ","28","","",""
"Disabled","1995","Not Employed","Couple + C. GT 16 ","124","0.181381774576807","0.155023678271706","0.207739870881908"
"Disabled","1995","Not Employed","Couple + C. LE and GT 16","19","","",""
"Disabled","1995","Employed","1-pers.-HH","40","0.0629485842064473","0.0450461091180359","0.0808510592948587"
"Disabled","1995","Employed","(Married) couple without C. ","138","0.0879326591831628","0.0753566695517856","0.10050864881454"
"Disabled","1995","Employed","Single parent ","8","","",""
"Disabled","1995","Employed","Couple + C. LE 16 ","66","0.0319709073090998","0.0249560101010474","0.0389858045171523"
"Disabled","1995","Employed","Couple + C. GT 16 ","91","0.0625123202995152","0.0509051739545016","0.0741194666445287"
"Disabled","1995","Employed","Couple + C. LE and GT 16","29","","",""
"Not disabled","1996","Not Employed","1-pers.-HH","556","0.736568395462814","0.70474476941153","0.768392021514098"
"Not disabled","1996","Not Employed","(Married) couple without C. ","1115","0.684048243069964","0.660956456330816","0.707140029809112"
"Not disabled","1996","Not Employed","Single parent ","195","0.85315386306885","0.807109114453257","0.899198611684442"
"Not disabled","1996","Not Employed","Couple + C. LE 16 ","641","0.951420432633847","0.935129419621619","0.967711445646076"
"Not disabled","1996","Not Employed","Couple + C. GT 16 ","673","0.813408628093561","0.786310580193168","0.840506675993953"
"Not disabled","1996","Not Employed","Couple + C. LE and GT 16","335","0.960495442664295","0.940175054837066","0.980815830491525"
"Not disabled","1996","Employed","1-pers.-HH","701","0.9410952169522","0.924154249742758","0.958036184161642"
"Not disabled","1996","Employed","(Married) couple without C. ","1865","0.921688553992435","0.909908288784289","0.933468819200581"
"Not disabled","1996","Employed","Single parent ","414","0.969534722302998","0.953214444550827","0.985855000055169"
"Not disabled","1996","Employed","Couple + C. LE 16 ","2270","0.968259760492496","0.961144597397012","0.975374923587981"
"Not disabled","1996","Employed","Couple + C. GT 16 ","1493","0.943981095315909","0.932620667619068","0.95534152301275"
"Not disabled","1996","Employed","Couple + C. LE and GT 16","867","0.954644003440345","0.941049450897724","0.968238555982965"
"Disabled","1996","Not Employed","1-pers.-HH","180","0.263431604537186","0.231607978485902","0.29525523058847"
"Disabled","1996","Not Employed","(Married) couple without C. ","442","0.315951756930036","0.292859970190888","0.339043543669184"
"Disabled","1996","Not Employed","Single parent ","32","0.14684613693115","0.100801388315558","0.192890885546743"
"Disabled","1996","Not Employed","Couple + C. LE 16 ","28","","",""
"Disabled","1996","Not Employed","Couple + C. GT 16 ","121","0.18659137190644","0.159493324006047","0.213689419806832"
"Disabled","1996","Not Employed","Couple + C. LE and GT 16","18","","",""
"Disabled","1996","Employed","1-pers.-HH","41","0.0589047830478001","0.0419638158383577","0.0758457502572426"
"Disabled","1996","Employed","(Married) couple without C. ","133","0.0783114460075653","0.0665311807994192","0.0900917112157114"
