"m11124","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Disabled","2001","Brandenburg","90","0.0887111323250462","0.0706688698110331","0.106753394839059"
"Disabled","2001","Mecklenburg-Western Pomerania","46","0.100970099610158","0.0748727399475902","0.127067459272726"
"Disabled","2001","Saxony","115","0.0811488658855014","0.0679652879010861","0.0943324438699166"
"Disabled","2001","Saxony-Anhalt","84","0.0853175967169377","0.0680206798112969","0.102614513622578"
"Disabled","2001","Thuringia","71","0.091375190065921","0.0731669908157615","0.109583389316081"
"Not disabled","2002","Schleswig-Holstein","644","0.849081291901711","0.823060107460412","0.875102476343011"
"Not disabled","2002","Hamburg","285","0.81163256847039","0.769317620615606","0.853947516325173"
"Not disabled","2002","Lower Saxony","1768","0.870221476073251","0.855437741756499","0.885005210390003"
"Not disabled","2002","Bremen","153","0.836985977978027","0.78194367303768","0.892028282918375"
"Not disabled","2002","North Rhine-Westphalia","4321","0.863614598039021","0.853990506649114","0.873238689428929"
"Not disabled","2002","Hesse","1464","0.873616710899836","0.85754971797261","0.889683703827063"
"Not disabled","2002","Rhineland-Palatinate,Saarland","1232","0.886432014974206","0.869691869625739","0.903172160322672"
"Not disabled","2002","Baden-Württemberg","2540","0.877555185611341","0.865445961736851","0.88966440948583"
"Not disabled","2002","Bavaria","2963","0.880241337758621","0.869113044478595","0.891369631038646"
"Not disabled","2002","Berlin","735","0.864659301191681","0.841428600657465","0.887890001725897"
"Not disabled","2002","Brandenburg","857","0.883057932875225","0.862793264121257","0.903322601629194"
"Not disabled","2002","Mecklenburg-Western Pomerania","464","0.880320156045073","0.852313963507396","0.90832634858275"
"Not disabled","2002","Saxony","1533","0.909266096577125","0.895427903416514","0.923104289737736"
"Not disabled","2002","Saxony-Anhalt","877","0.890675260057345","0.871017712570806","0.910332807543884"
"Not disabled","2002","Thuringia","883","0.897532892275549","0.878389142915286","0.916676641635813"
"Disabled","2002","Schleswig-Holstein","83","0.150918708098289","0.124897523656989","0.176939892539588"
"Disabled","2002","Hamburg","43","0.18836743152961","0.146052483674827","0.230682379384394"
"Disabled","2002","Lower Saxony","217","0.129778523926749","0.114994789609997","0.144562258243501"
"Disabled","2002","Bremen","20","","",""
"Disabled","2002","North Rhine-Westphalia","564","0.136385401960979","0.126761310571071","0.146009493350886"
"Disabled","2002","Hesse","179","0.126383289100164","0.110316296172937","0.14245028202739"
"Disabled","2002","Rhineland-Palatinate,Saarland","148","0.113567985025794","0.0968278396773277","0.130308130374261"
"Disabled","2002","Baden-Württemberg","275","0.122444814388659","0.11033559051417","0.134554038263149"
"Disabled","2002","Bavaria","307","0.119758662241379","0.108630368961354","0.130886955521405"
"Disabled","2002","Berlin","98","0.135340698808319","0.112109998274103","0.158571399342535"
"Disabled","2002","Brandenburg","109","0.116942067124775","0.0966773983708065","0.137206735878743"
"Disabled","2002","Mecklenburg-Western Pomerania","52","0.119679843954927","0.0916736514172502","0.147686036492604"
"Disabled","2002","Saxony","122","0.0907339034228749","0.0768957102622642","0.104572096583486"
"Disabled","2002","Saxony-Anhalt","91","0.109324739942655","0.089667192456116","0.128982287429194"
"Disabled","2002","Thuringia","81","0.102467107724451","0.083323358364187","0.121610857084714"
"Not disabled","2003","Schleswig-Holstein","599","0.87694952978253","0.852168169414957","0.901730890150103"
"Not disabled","2003","Hamburg","264","0.824279810052012","0.780996742788233","0.867562877315792"
"Not disabled","2003","Lower Saxony","1712","0.870984107885346","0.855958540954769","0.886009674815922"
"Not disabled","2003","Bremen","155","0.847257335603772","0.79380566089789","0.900709010309653"
"Not disabled","2003","North Rhine-Westphalia","4140","0.861597746885623","0.851713767474378","0.871481726296869"
"Not disabled","2003","Hesse","1319","0.868008640882396","0.850890842794924","0.885126438969868"
"Not disabled","2003","Rhineland-Palatinate,Saarland","1194","0.875392052122798","0.857787137763043","0.892996966482552"
"Not disabled","2003","Baden-Württemberg","2430","0.874146212770576","0.8616444880429","0.886647937498253"
"Not disabled","2003","Bavaria","2846","0.890123684936725","0.87919207708479","0.90105529278866"
"Not disabled","2003","Berlin","727","0.860388600698579","0.836781606869465","0.883995594527694"
"Not disabled","2003","Brandenburg","842","0.891165840795549","0.871320233116788","0.911011448474309"
