"year","age_gr","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","66 and older","Not Employed","1.55","1","867","1","1","2","3","5","1.46","1.64","1","23","1","1"
"2008","16-34 y.","Employed","1.25","1","246","1","1","1","2","3","1.17","1.33","1","6","1","1"
"2008","16-34 y.","Not Employed","1.16","1","100","1","1","1","2","3","0.99","1.33","1","8","1","1"
"2008","35-65 y.","Employed","1.36","1","678","1","1","1","2","4","1.31","1.41","1","8","1","1"
"2008","35-65 y.","Not Employed","1.7","1","332","1","1","2","3","8","1.43","1.97","1","42","1","1"
"2008","66 and older","Employed","1.25","1","40","1","1","1","2","2","1.04","1.46","1","4","1","1"
"2008","66 and older","Not Employed","1.45","1","819","1","1","2","2","4","1.4","1.5","1","7","1","1"
"2009","16-34 y.","Employed","1.3","1","237","1","1","1","2","5","1.21","1.39","1","6","1","1"
"2009","16-34 y.","Not Employed","1.35","1","102","1","1","2","2","3","1.22","1.48","1","5","1","1"
"2009","35-65 y.","Employed","1.26","1","737","1","1","1","2","6","1.2","1.32","1","11","1","1"
"2009","35-65 y.","Not Employed","1.79","1","317","1","1","2","3","14","1.64","1.94","1","14","1","1"
"2009","66 and older","Employed","3.84","1","36","1","1","2","6","28","2.32","5.36","1","28","1","2"
"2009","66 and older","Not Employed","1.5","1","837","1","1","2","2","5","1.43","1.57","1","10","1","1"
"2010","16-34 y.","Employed","1.25","1","560","1","1","1","2","4","1.2","1.3","1","4","1","1"
"2010","16-34 y.","Not Employed","1.5","1","373","1","1","1","2","10","1.34","1.66","1","20","1","1"
"2010","35-65 y.","Employed","1.38","1","1014","1","1","1","2","7","1.33","1.43","1","14","1","1"
"2010","35-65 y.","Not Employed","1.63","1","457","1","1","2","3","5","1.49","1.77","1","20","1","1"
"2010","66 and older","Employed","2.45","1","53","1","1","2","4","15","1.9","3","1","15","1","2"
"2010","66 and older","Not Employed","1.4","1","789","1","1","2","2","5","1.34","1.46","1","10","1","1"
"2011","16-34 y.","Employed","1.23","1","504","1","1","1","2","5","1.17","1.29","1","7","1","1"
"2011","16-34 y.","Not Employed","1.45","1","375","1","1","2","3","5","1.38","1.52","1","6","1","1"
"2011","35-65 y.","Employed","1.3","1","1328","1","1","1","2","4","1.26","1.34","1","13","1","1"
"2011","35-65 y.","Not Employed","1.57","1","572","1","1","2","3","7","1.48","1.66","1","10","1","1"
"2011","66 and older","Employed","2.54","1","59","1","1","2","3","20","1.87","3.21","1","20","1","1"
"2011","66 and older","Not Employed","1.49","1","1014","1","1","2","3","4","1.41","1.57","1","30","1","1"
"2012","16-34 y.","Employed","1.19","1","460","1","1","1","2","4","1.14","1.24","1","5","1","1"
"2012","16-34 y.","Not Employed","1.32","1","257","1","1","1","2","5","1.2","1.44","1","10","1","1"
"2012","35-65 y.","Employed","1.29","1","1284","1","1","1","2","4","1.25","1.33","1","11","1","1"
"2012","35-65 y.","Not Employed","1.74","1","547","1","1","2","3","15","1.63","1.85","1","15","1","1"
"2012","66 and older","Employed","1.34","1","70","1","1","1","3","3","1.06","1.62","1","10","1","1"
"2012","66 and older","Not Employed","1.59","1","1069","1","1","2","3","6","1.5","1.68","1","26","1","1"
"2013","16-34 y.","Employed","1.29","1","445","1","1","1","2","6","1.22","1.36","1","8","1","1"
"2013","16-34 y.","Not Employed","1.28","1","223","1","1","1","2","4","1.16","1.4","1","10","1","1"
"2013","35-65 y.","Employed","1.32","1","1204","1","1","1","2","4","1.28","1.36","1","14","1","1"
"2013","35-65 y.","Not Employed","1.53","1","477","1","1","2","3","5","1.42","1.64","1","10","1","1"
"2013","66 and older","Employed","1.58","1","73","1","1","2","3","5","1.39","1.77","1","5","1","1"
"2013","66 and older","Not Employed","1.51","1","995","1","1","2","2","5","1.42","1.6","1","26","1","1"
"2014","16-34 y.","Employed","1.2","1","355","1","1","1","2","5","1.12","1.28","1","10","1","1"
"2014","16-34 y.","Not Employed","1.57","1","187","1","1","2","3","6","1.47","1.67","1","6","1","1"
"2014","35-65 y.","Employed","1.3","1","1026","1","1","1","2","4","1.25","1.35","1","11","1","1"
"2014","35-65 y.","Not Employed","1.52","1","416","1","1","2","3","6","1.42","1.62","1","8","1","1"
"2014","66 and older","Employed","1.69","1","69","1","1","2","3","12","1.32","2.06","1","12","1","1"
"2014","66 and older","Not Employed","1.46","1","916","1","1","2","3","5","1.39","1.53","1","17","1","1"
"2015","16-34 y.","Employed","1.21","1","460","1","1","1","2","4","1.16","1.26","1","6","1","1"
"2015","16-34 y.","Not Employed","1.45","1","190","1","1","1","3","7","1.26","1.64","1","12","1","1"
