"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Part Time","college entrance qualification","2.14","1","34","1","1","1","2","21","0.95","3.33","1","21","1","1"
"1989","Part Time","lower secondary degree","1.8","1","120","1","1","1","3","14","1.18","2.42","1","35","1","1"
"1989","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1989","Part Time","Other degree","","","","","","","","","","","","","",""
"1989","Part Time","secondary school degree","1.34","1","55","1","1","1","2","6","1.13","1.55","1","6","1","1"
"1990","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1990","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1990","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Full Time","Other degree","","","","","","","","","","","","","",""
"1990","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1990","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1990","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1990","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Not Working","Other degree","","","","","","","","","","","","","",""
"1990","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1990","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1990","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1990","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Part Time","Other degree","","","","","","","","","","","","","",""
"1990","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1991","Full Time","college entrance qualification","1.26","1","46","1","1","1","2","4","1.1","1.42","1","4","1","1"
"1991","Full Time","lower secondary degree","1.79","1","153","1","1","1","2","20","1.34","2.24","1","27","1","1"
"1991","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","Full Time","Other degree","1.66","1","57","1","1","1","2","10","1.34","1.98","1","10","1","1"
"1991","Full Time","secondary school degree","2.15","1","56","1","1","2","3","20","1.42","2.88","1","20","1","1"
"1991","Not Working","college entrance qualification","1.41","1","48","1","1","1","2","6","1.14","1.68","1","6","1","1"
"1991","Not Working","lower secondary degree","1.6","1","298","1","1","2","3","10","1.36","1.84","1","30","1","1"
"1991","Not Working","no degree/no degree yet","1.35","1","34","1","1","2","2","2","1.2","1.5","1","2","1","1"
"1991","Not Working","Other degree","1.09","1","34","1","1","1","1","2","0.99","1.19","1","2","1","1"
"1991","Not Working","secondary school degree","1.45","1","76","1","1","1","3","8","1.19","1.71","1","8","1","1"
"1991","Part Time","college entrance qualification","1.23","1","44","1","1","1","2","3","1.07","1.39","1","3","1","1"
"1991","Part Time","lower secondary degree","1.56","1","88","1","1","1","2","12","1.23","1.89","1","12","1","1"
"1991","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","Part Time","Other degree","","","","","","","","","","","","","",""
"1991","Part Time","secondary school degree","1.74","1","61","1","1","2","3","24","0.98","2.5","1","24","1","1"
"1992","Full Time","college entrance qualification","1.16","1","48","1","1","1","1","2","0.78","1.54","1","10","1","1"
"1992","Full Time","lower secondary degree","1.44","1","188","1","1","1","2","10","1.18","1.7","1","21","1","1"
"1992","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
