"pli0091_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","1985","Full Time","inadequately","277","0.579147903907949","0.531006705173724","0.627289102642174","5"
"Never","1985","Full Time","general elemantary","429","0.370629269028394","0.340634774372223","0.400623763684565","5"
"Never","1985","Full Time","middle vocational","818","0.30988506990348","0.291929077330844","0.327841062476117","5"
"Never","1985","Full Time","vocational + Abi","52","0.31286695870473","0.237657592371264","0.388076325038197","5"
"Never","1985","Full Time","higher vocational","96","0.291603229949017","0.243434023773328","0.339772436124706","5"
"Never","1985","Full Time","higher education","129","0.288769108074887","0.247264528058872","0.330273688090902","5"
"Never","1985","Part Time","in school","","","","","5"
"Never","1985","Part Time","inadequately","68","0.571138032400298","0.473151957631299","0.669124107169297","5"
"Never","1985","Part Time","general elemantary","237","0.42866868435392","0.386655134293795","0.470682234414044","5"
"Never","1985","Part Time","middle vocational","285","0.320542378256417","0.289967799085554","0.351116957427281","5"
"Never","1985","Part Time","vocational + Abi","14","","","","5"
"Never","1985","Part Time","higher vocational","39","0.413204092021861","0.318567897872479","0.507840286171243","5"
"Never","1985","Part Time","higher education","29","","","","5"
"Never","1985","Not Working","in school","13","","","","5"
"Never","1985","Not Working","inadequately","260","0.663205763466663","0.61282134942331","0.713590177510017","5"
"Never","1985","Not Working","general elemantary","966","0.708003361333221","0.685123052274714","0.730883670391728","5"
"Never","1985","Not Working","middle vocational","995","0.653668786583096","0.631071023143793","0.676266550022399","5"
"Never","1985","Not Working","vocational + Abi","32","0.497583145537036","0.385905137464663","0.609261153609408","5"
"Rarely","1985","Full Time","in school","","","","","4"
"Rarely","1985","Full Time","middle vocational","1002","0.405737696775392","0.386671672138201","0.424803721412583","4"
"Rarely","1985","Full Time","vocational + Abi","55","0.420764765903382","0.340685730772454","0.500843801034311","4"
"Rarely","1985","Full Time","higher vocational","163","0.469928912069277","0.417033478756718","0.522824345381836","4"
"Rarely","1985","Part Time","in school","2","","","","4"
"Rarely","1985","Part Time","general elemantary","151","0.290255322581925","0.251722958527105","0.328787686636745","4"
"Rarely","1985","Part Time","middle vocational","385","0.430741097558453","0.398299693354296","0.46318250176261","4"
"Rarely","1985","Part Time","vocational + Abi","14","","","","4"
"Rarely","1985","Part Time","higher education","63","0.41998115680544","0.339087209756035","0.500875103854845","4"
"Rarely","1985","Not Working","inadequately","52","0.209785599271659","0.166379571172719","0.2531916273706","4"
"Rarely","1985","Full Time","inadequately","83","0.255199467047607","0.212686904943726","0.297712029151488","4"
"Rarely","1985","Part Time","inadequately","19","","","","4"
"Rarely","1985","Not Working","in school","41","0.210968192725999","0.15119900934782","0.270737376104177","4"
"Rarely","1985","Full Time","general elemantary","296","0.323848549447624","0.294787493408824","0.352909605486423","4"
"Rarely","1985","Not Working","middle vocational","462","0.233123691702601","0.213042169327626","0.253205214077575","4"
"Rarely","1985","Not Working","higher vocational","37","0.193183078037737","0.13312573886534","0.253240417210134","4"
"Rarely","1985","Not Working","higher education","52","0.286389872822204","0.21380196359531","0.358977782049098","4"
"Rarely","1985","Not Working","general elemantary","295","0.161935028302495","0.143396957100843","0.180473099504147","4"
"Rarely","1985","Full Time","higher education","204","0.439893456021861","0.394433979953597","0.485352932090125","4"
"Rarely","1985","Part Time","higher vocational","44","0.389771216581685","0.296040346599284","0.483502086564085","4"
"Rarely","1985","Not Working","vocational + Abi","23","","","","4"
"Daily","1986","Full Time","in school","","","","","1"
"Daily","1986","Full Time","inadequately","","","","","1"
"Daily","1986","Full Time","general elemantary","","","","","1"
"Daily","1986","Full Time","middle vocational","","","","","1"
"Daily","1986","Full Time","vocational + Abi","","","","","1"
"Daily","1986","Full Time","higher vocational","","","","","1"
"Daily","1986","Full Time","higher education","","","","","1"
"Daily","1986","Part Time","in school","","","","","1"
"Daily","1986","Part Time","inadequately","","","","","1"
"Daily","1986","Part Time","general elemantary","","","","","1"
