"pli0091_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Never","1985","(1c) basic vocational qualification","Female","780","0.547026553566237","0.522293150734729","0.571759956397745"
"Never","1985","(2b) intermediate general qualification","Male","10","","",""
"Never","1985","(2b) intermediate general qualification","Female","76","0.296575341147898","0.244097264421863","0.349053417873932"
"Never","1985","(2a) intermediate vocational","Male","159","0.311752507995578","0.273858596054365","0.349646419936791"
"Never","1985","(2a) intermediate vocational","Female","258","0.382090425229313","0.347499750932165","0.416681099526461"
"Never","1985","(2c_gen) general maturity certificate","Male","27","","",""
"Never","1985","(2c_gen) general maturity certificate","Female","35","0.224404307569066","0.160161594654253","0.288647020483879"
"Never","1985","(2c_voc) vocational maturity certificate","Male","93","0.405261724429581","0.343912189314771","0.466611259544391"
"Never","1985","(2c_voc) vocational maturity certificate","Female","57","0.35398110795457","0.279416592678492","0.428545623230648"
"Never","1985","(3a) lower tertiary education","Male","70","0.431860990186143","0.358472431276708","0.505249549095579"
"Never","1985","(3a) lower tertiary education","Female","23","","",""
"Never","1985","(3b) higher tertiary education","Male","97","0.308152699504562","0.258410818090219","0.357894580918906"
"Never","1985","(3b) higher tertiary education","Female","42","0.306820948236042","0.238297582647521","0.375344313824564"
"Daily","1986","(0) in school","Male","","","",""
"Daily","1986","(0) in school","Female","","","",""
"Daily","1986","(1a) inadequately completed","Male","","","",""
"Daily","1986","(1a) inadequately completed","Female","","","",""
"Daily","1986","(1b) general elementary school","Male","","","",""
"Daily","1986","(1b) general elementary school","Female","","","",""
"Daily","1986","(1c) basic vocational qualification","Male","","","",""
"Daily","1986","(1c) basic vocational qualification","Female","","","",""
"Daily","1986","(2b) intermediate general qualification","Male","","","",""
"Daily","1986","(2b) intermediate general qualification","Female","","","",""
"Daily","1986","(2a) intermediate vocational","Male","","","",""
"Daily","1986","(2a) intermediate vocational","Female","","","",""
"Daily","1986","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1986","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1986","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1986","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1986","(3a) lower tertiary education","Male","","","",""
"Daily","1986","(3a) lower tertiary education","Female","","","",""
"Daily","1986","(3b) higher tertiary education","Male","","","",""
"Daily","1986","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1986","(0) in school","Male","42","0.33119698462139","0.245178563027902","0.417215406214878"
"Min 1x per week","1986","(0) in school","Female","20","","",""
"Min 1x per week","1986","(1a) inadequately completed","Male","25","","",""
"Min 1x per week","1986","(1a) inadequately completed","Female","8","","",""
"Min 1x per week","1986","(1b) general elementary school","Male","103","0.108894435837346","0.0879283390059727","0.129860532668719"
"Min 1x per week","1986","(1b) general elementary school","Female","73","0.037174903965934","0.0279421867117777","0.0464076212200903"
"Min 1x per week","1986","(1c) basic vocational qualification","Male","186","0.0771212782759716","0.0657756053143273","0.0884669512376158"
"Min 1x per week","1986","(1c) basic vocational qualification","Female","61","0.0406419543865323","0.030575221917008","0.0507086868560565"
"Min 1x per week","1986","(2b) intermediate general qualification","Male","64","0.353201315620125","0.282787613601591","0.423615017638658"
"Min 1x per week","1986","(2b) intermediate general qualification","Female","57","0.185605240915125","0.140467661691703","0.230742820138547"
"Min 1x per week","1986","(2a) intermediate vocational","Male","82","0.143239425273034","0.114302331261157","0.172176519284911"
"Min 1x per week","1986","(2a) intermediate vocational","Female","45","0.0564657112762707","0.0398800470660227","0.0730513754865187"
"Min 1x per week","1986","(2c_gen) general maturity certificate","Male","69","0.309361742319754","0.250010645507951","0.368712839131558"
"Min 1x per week","1986","(2c_gen) general maturity certificate","Female","28","","",""
"Min 1x per week","1986","(2c_voc) vocational maturity certificate","Male","20","","",""
"Min 1x per week","1986","(2c_voc) vocational maturity certificate","Female","10","","",""
"Min 1x per week","1986","(3a) lower tertiary education","Male","10","","",""
"Min 1x per week","1986","(3a) lower tertiary education","Female","3","","",""
"Min 1x per week","1986","(3b) higher tertiary education","Male","29","","",""
"Min 1x per week","1986","(3b) higher tertiary education","Female","19","","",""
"Min 1x per month","1986","(0) in school","Male","42","0.361586806266579","0.273774297405687","0.449399315127471"
"Min 1x per month","1986","(0) in school","Female","29","","",""
"Min 1x per month","1986","(1a) inadequately completed","Male","36","0.10273849098676","0.0718018370608271","0.133675144912694"
