"pli0091_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Rarely","1986","(Married) couple without C. ","702","0.282220944742439","0.264070045089337","0.300371844395542"
"Rarely","1986","Single parent ","150","0.29234601812062","0.2527544065333","0.331937629707941"
"Rarely","1986","Couple + C. LE 16 ","1044","0.484381530804817","0.464374985851044","0.504388075758589"
"Rarely","1986","Couple + C. GT 16 ","617","0.300983353888406","0.281346701623666","0.320620006153146"
"Rarely","1986","Couple + C. LE and GT 16","415","0.342199965331384","0.317285047487996","0.367114883174771"
"Never","1986","1-pers.-HH","599","0.603530557680799","0.574779740748121","0.632281374613476"
"Never","1986","(Married) couple without C. ","1260","0.579644895608591","0.559738285290604","0.599551505926579"
"Never","1986","Single parent ","179","0.353482405967824","0.311870444605892","0.395094367329757"
"Never","1986","Couple + C. LE 16 ","1038","0.375848508558438","0.356459058297694","0.395237958819182"
"Never","1986","Couple + C. GT 16 ","759","0.350896468296413","0.330465030184599","0.371327906408227"
"Never","1986","Couple + C. LE and GT 16","536","0.314809183381829","0.290419733985331","0.339198632778327"
"Daily","1987","1-pers.-HH","","","",""
"Daily","1987","(Married) couple without C. ","","","",""
"Daily","1987","Single parent ","","","",""
"Daily","1987","Couple + C. LE 16 ","","","",""
"Daily","1987","Couple + C. GT 16 ","","","",""
"Daily","1987","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1987","1-pers.-HH","","","",""
"Min 1x per week","1987","(Married) couple without C. ","","","",""
"Min 1x per week","1987","Single parent ","","","",""
"Min 1x per week","1987","Couple + C. LE 16 ","","","",""
"Min 1x per week","1987","Couple + C. GT 16 ","","","",""
"Min 1x per week","1987","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1987","1-pers.-HH","","","",""
"Min 1x per month","1987","(Married) couple without C. ","","","",""
"Min 1x per month","1987","Single parent ","","","",""
"Min 1x per month","1987","Couple + C. LE 16 ","","","",""
"Min 1x per month","1987","Couple + C. GT 16 ","","","",""
"Min 1x per month","1987","Couple + C. LE and GT 16","","","",""
"Rarely","1987","1-pers.-HH","","","",""
"Rarely","1987","(Married) couple without C. ","","","",""
"Rarely","1987","Single parent ","","","",""
"Rarely","1987","Couple + C. LE 16 ","","","",""
"Rarely","1987","Couple + C. GT 16 ","","","",""
"Rarely","1987","Couple + C. LE and GT 16","","","",""
"Never","1987","1-pers.-HH","","","",""
"Never","1987","(Married) couple without C. ","","","",""
"Never","1987","Single parent ","","","",""
"Never","1987","Couple + C. LE 16 ","","","",""
"Never","1987","Couple + C. GT 16 ","","","",""
"Never","1987","Couple + C. LE and GT 16","","","",""
"Daily","1988","1-pers.-HH","","","",""
"Daily","1988","(Married) couple without C. ","","","",""
"Daily","1988","Single parent ","","","",""
"Daily","1988","Couple + C. LE 16 ","","","",""
"Daily","1988","Couple + C. GT 16 ","","","",""
"Daily","1988","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1988","1-pers.-HH","91","0.074373137780403","0.0585631591002245","0.0901831164605815"
"Min 1x per week","1988","(Married) couple without C. ","81","0.0333275072464422","0.0259405146797965","0.0407144998130879"
"Min 1x per week","1988","Single parent ","73","0.134133690386756","0.10449830410064","0.163769076672873"
"Min 1x per week","1988","Couple + C. LE 16 ","71","0.0338119335317959","0.0262831446232884","0.0413407224403034"
"Min 1x per week","1988","Couple + C. GT 16 ","351","0.15167153378316","0.13662779328034","0.166715274285981"
"Min 1x per week","1988","Couple + C. LE and GT 16","150","0.150659756520885","0.129384605079223","0.171934907962547"
"Min 1x per month","1988","1-pers.-HH","174","0.146845328721675","0.125517373926836","0.168173283516514"
"Min 1x per month","1988","(Married) couple without C. ","275","0.102367745081841","0.0898922623532989","0.114843227810383"
"Min 1x per month","1988","Single parent ","119","0.227026982779052","0.190598830739534","0.263455134818571"
"Min 1x per month","1988","Couple + C. LE 16 ","219","0.103764467837743","0.0910618072706992","0.116467128404787"
"Min 1x per month","1988","Couple + C. GT 16 ","435","0.202930617476111","0.186063392952415","0.219797841999807"
"Min 1x per month","1988","Couple + C. LE and GT 16","222","0.218112605846567","0.193551627214651","0.242673584478483"
"Rarely","1988","1-pers.-HH","209","0.180414775724494","0.157244117638216","0.203585433810773"
"Rarely","1988","(Married) couple without C. ","687","0.294261069632238","0.275506158614125","0.313015980650352"
"Rarely","1988","Single parent ","148","0.300148573637458","0.260293161647767","0.34000398562715"
"Rarely","1988","Couple + C. LE 16 ","1002","0.528600553758532","0.507807531252629","0.549393576264435"
"Rarely","1988","Couple + C. GT 16 ","621","0.309344632101937","0.289959276950301","0.328729987253573"
"Rarely","1988","Couple + C. LE and GT 16","270","0.288964054958813","0.262005235642028","0.315922874275597"
"Never","1988","1-pers.-HH","584","0.598366757773428","0.568827212069411","0.627906303477445"
"Never","1988","(Married) couple without C. ","1225","0.570043678039478","0.549668903942972","0.590418452135984"
"Never","1988","Single parent ","168","0.338690753196733","0.297535980964656","0.37984552542881"
"Never","1988","Couple + C. LE 16 ","922","0.333823044871929","0.314179844695464","0.353466245048395"
"Never","1988","Couple + C. GT 16 ","777","0.336053216638792","0.31624285343504","0.355863579842543"
"Never","1988","Couple + C. LE and GT 16","444","0.342263582673735","0.314044722433582","0.370482442913888"
"Daily","1989","1-pers.-HH","","","",""
"Daily","1989","(Married) couple without C. ","","","",""
"Daily","1989","Single parent ","","","",""
"Daily","1989","Couple + C. LE 16 ","","","",""
"Daily","1989","Couple + C. GT 16 ","","","",""
"Daily","1989","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1989","1-pers.-HH","","","",""
"Min 1x per week","1989","(Married) couple without C. ","","","",""
"Min 1x per week","1989","Single parent ","","","",""
"Min 1x per week","1989","Couple + C. LE 16 ","","","",""
"Min 1x per week","1989","Couple + C. GT 16 ","","","",""
"Min 1x per week","1989","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1989","1-pers.-HH","","","",""
"Min 1x per month","1989","(Married) couple without C. ","","","",""
"Min 1x per month","1989","Single parent ","","","",""
"Min 1x per month","1989","Couple + C. LE 16 ","","","",""
"Min 1x per month","1989","Couple + C. GT 16 ","","","",""
"Min 1x per month","1989","Couple + C. LE and GT 16","","","",""
"Rarely","1989","1-pers.-HH","","","",""
"Rarely","1989","(Married) couple without C. ","","","",""
"Rarely","1989","Single parent ","","","",""
"Rarely","1989","Couple + C. LE 16 ","","","",""
"Rarely","1989","Couple + C. GT 16 ","","","",""
"Rarely","1989","Couple + C. LE and GT 16","","","",""
"Never","1989","1-pers.-HH","","","",""
"Never","1989","(Married) couple without C. ","","","",""
"Never","1989","Single parent ","","","",""
"Never","1989","Couple + C. LE 16 ","","","",""
"Never","1989","Couple + C. GT 16 ","","","",""
"Never","1989","Couple + C. LE and GT 16","","","",""
"Daily","1990","1-pers.-HH","1","","",""
"Daily","1990","(Married) couple without C. ","1","","",""
"Daily","1990","Single parent ","3","","",""
"Daily","1990","Couple + C. LE 16 ","","","",""
"Daily","1990","Couple + C. GT 16 ","3","","",""
"Daily","1990","Couple + C. LE and GT 16","2","","",""
"Min 1x per week","1990","1-pers.-HH","82","0.0470914827806268","0.0358537538424742","0.0583292117187794"
"Min 1x per week","1990","(Married) couple without C. ","68","0.0162075041176687","0.0118642347016393","0.020550773533698"
"Min 1x per week","1990","Single parent ","91","0.129244466352554","0.103494397564613","0.154994535140496"
"Min 1x per week","1990","Couple + C. LE 16 ","53","0.0128124014126512","0.00911856874344858","0.0165062340818539"
"Min 1x per week","1990","Couple + C. GT 16 ","393","0.126981815698202","0.114802751883927","0.139160879512478"
"Min 1x per week","1990","Couple + C. LE and GT 16","172","0.136763589879312","0.117339262988202","0.156187916770423"
"Min 1x per month","1990","1-pers.-HH","188","0.137903143955763","0.119611746793742","0.156194541117784"
"Min 1x per month","1990","(Married) couple without C. ","356","0.0974613896985784","0.0872600750875118","0.107662704309645"
"Min 1x per month","1990","Single parent ","140","0.233606962996306","0.201128687601045","0.266085238391567"
"Min 1x per month","1990","Couple + C. LE 16 ","394","0.102045343977181","0.0921030659304827","0.11198762202388"
"Min 1x per month","1990","Couple + C. GT 16 ","522","0.171716579101779","0.157921407948986","0.185511750254572"
"Min 1x per month","1990","Couple + C. LE and GT 16","196","0.168849545496218","0.147671512114876","0.190027578877559"
"Rarely","1990","1-pers.-HH","289","0.204134865443973","0.182752285792075","0.225517445095871"
"Rarely","1990","(Married) couple without C. ","1068","0.308684357707116","0.292795142405435","0.324573573008797"
"Rarely","1990","Single parent ","201","0.29490331470042","0.259901669621663","0.329904959779178"
"Rarely","1990","Couple + C. LE 16 ","1853","0.541441956534856","0.525076232817813","0.5578076802519"
"Rarely","1990","Couple + C. GT 16 ","897","0.321895545531968","0.304805733861254","0.338985357202683"
"Rarely","1990","Couple + C. LE and GT 16","399","0.364410073637397","0.337203143160915","0.391617004113879"
"Never","1990","1-pers.-HH","805","0.609644462428995","0.583765297741738","0.635523627116252"
"Never","1990","(Married) couple without C. ","1754","0.577484120048696","0.560493920175049","0.594474319922343"
"Never","1990","Single parent ","217","0.336718874868049","0.300443923125694","0.372993826610404"
"Never","1990","Couple + C. LE 16 ","1261","0.343700298075311","0.328101068054344","0.359299528096277"
"Never","1990","Couple + C. GT 16 ","1056","0.378961056586641","0.361215558114862","0.396706555058421"
"Never","1990","Couple + C. LE and GT 16","433","0.327938009662638","0.301398285648534","0.354477733676742"
"Daily","1991","1-pers.-HH","","","",""
"Daily","1991","(Married) couple without C. ","","","",""
"Daily","1991","Single parent ","","","",""
"Daily","1991","Couple + C. LE 16 ","","","",""
"Daily","1991","Couple + C. GT 16 ","","","",""
"Daily","1991","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1991","1-pers.-HH","","","",""
"Min 1x per week","1991","(Married) couple without C. ","","","",""
"Min 1x per week","1991","Single parent ","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1991","1-pers.-HH","","","",""
"Min 1x per month","1991","(Married) couple without C. ","","","",""
"Min 1x per month","1991","Single parent ","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","","","",""
"Rarely","1991","1-pers.-HH","","","",""
"Rarely","1991","(Married) couple without C. ","","","",""
"Rarely","1991","Single parent ","","","",""
"Rarely","1991","Couple + C. LE 16 ","","","",""
"Rarely","1991","Couple + C. GT 16 ","","","",""
"Rarely","1991","Couple + C. LE and GT 16","","","",""
"Never","1991","1-pers.-HH","","","",""
"Never","1991","(Married) couple without C. ","","","",""
"Never","1991","Single parent ","","","",""
"Never","1991","Couple + C. LE 16 ","","","",""
"Never","1991","Couple + C. GT 16 ","","","",""
"Never","1991","Couple + C. LE and GT 16","","","",""
"Daily","1992","1-pers.-HH","","","",""
"Daily","1992","(Married) couple without C. ","","","",""
"Daily","1992","Single parent ","","","",""
"Daily","1992","Couple + C. LE 16 ","","","",""
"Daily","1992","Couple + C. GT 16 ","","","",""
"Daily","1992","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1992","1-pers.-HH","108","0.0718194828155113","0.0578806070709083","0.0857583585601143"
"Min 1x per week","1992","(Married) couple without C. ","129","0.0334064362704068","0.0272094026319314","0.0396034699088822"
"Min 1x per week","1992","Single parent ","84","0.133371802185099","0.10703236312724","0.159711241242959"
"Min 1x per week","1992","Couple + C. LE 16 ","81","0.0222876675987515","0.0172342932210281","0.027341041976475"
"Min 1x per week","1992","Couple + C. GT 16 ","430","0.161279437973908","0.14742457901875","0.175134296929066"
"Min 1x per week","1992","Couple + C. LE and GT 16","172","0.162469916291058","0.141186963936581","0.183752868645535"
"Min 1x per month","1992","1-pers.-HH","214","0.151414175193552","0.13206236748885","0.170765982898255"
"Min 1x per month","1992","(Married) couple without C. ","403","0.116388645623942","0.105329214683791","0.127448076564094"
"Min 1x per month","1992","Single parent ","125","0.183969984816152","0.153951784118729","0.213988185513574"
"Min 1x per month","1992","Couple + C. LE 16 ","341","0.106741917388944","0.0961713184972801","0.117312516280608"
"Min 1x per month","1992","Couple + C. GT 16 ","481","0.171985956827104","0.157770222194129","0.186201691460079"
"Min 1x per month","1992","Couple + C. LE and GT 16","192","0.179920489190795","0.157758258105053","0.202082720276537"
"Rarely","1992","1-pers.-HH","271","0.196349085644274","0.174903468473014","0.217794702815533"
"Rarely","1992","(Married) couple without C. ","1074","0.325255384814695","0.309099572799591","0.341411196829799"
"Rarely","1992","Single parent ","228","0.375342453034138","0.337828490208533","0.412856415859744"
"Rarely","1992","Couple + C. LE 16 ","1806","0.570741666610558","0.553797400108017","0.587685933113098"
"Rarely","1992","Couple + C. GT 16 ","880","0.339684163542866","0.32184323434427","0.357525092741463"
"Rarely","1992","Couple + C. LE and GT 16","431","0.393440713686008","0.365255491402326","0.42162593596969"
"Never","1992","1-pers.-HH","725","0.580417256346663","0.553775101195039","0.607059411498287"
"Never","1992","(Married) couple without C. ","1624","0.524949533290956","0.507727854633999","0.542171211947913"
"Never","1992","Single parent ","203","0.307315759964611","0.271570523559793","0.343060996369428"
"Never","1992","Couple + C. LE 16 ","1050","0.300228748401747","0.284537850281474","0.315919646522019"
"Never","1992","Couple + C. GT 16 ","916","0.327050441656122","0.309377754510878","0.344723128801366"
"Never","1992","Couple + C. LE and GT 16","359","0.264168880832139","0.238731341967445","0.289606419696833"
"Daily","1993","1-pers.-HH","","","",""
"Daily","1993","(Married) couple without C. ","","","",""
"Daily","1993","Single parent ","","","",""
"Daily","1993","Couple + C. LE 16 ","","","",""
"Daily","1993","Couple + C. GT 16 ","","","",""
"Daily","1993","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1993","1-pers.-HH","","","",""
"Min 1x per week","1993","(Married) couple without C. ","","","",""
"Min 1x per week","1993","Single parent ","","","",""
"Min 1x per week","1993","Couple + C. LE 16 ","","","",""
"Min 1x per week","1993","Couple + C. GT 16 ","","","",""
"Min 1x per week","1993","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1993","1-pers.-HH","","","",""
"Min 1x per month","1993","(Married) couple without C. ","","","",""
"Min 1x per month","1993","Single parent ","","","",""
"Min 1x per month","1993","Couple + C. LE 16 ","","","",""
"Min 1x per month","1993","Couple + C. GT 16 ","","","",""
"Min 1x per month","1993","Couple + C. LE and GT 16","","","",""
"Rarely","1993","1-pers.-HH","","","",""
"Rarely","1993","(Married) couple without C. ","","","",""
"Rarely","1993","Single parent ","","","",""
"Rarely","1993","Couple + C. LE 16 ","","","",""
"Rarely","1993","Couple + C. GT 16 ","","","",""
"Rarely","1993","Couple + C. LE and GT 16","","","",""
"Never","1993","1-pers.-HH","","","",""
"Never","1993","(Married) couple without C. ","","","",""
"Never","1993","Single parent ","","","",""
"Never","1993","Couple + C. LE 16 ","","","",""
"Never","1993","Couple + C. GT 16 ","","","",""
"Never","1993","Couple + C. LE and GT 16","","","",""
"Daily","1994","1-pers.-HH","","","",""
"Daily","1994","(Married) couple without C. ","","","",""
"Daily","1994","Single parent ","","","",""
"Daily","1994","Couple + C. LE 16 ","","","",""
"Daily","1994","Couple + C. GT 16 ","","","",""
"Daily","1994","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1994","1-pers.-HH","132","0.0740385819776266","0.0602837919459901","0.0877933720092632"
"Min 1x per week","1994","(Married) couple without C. ","160","0.0447171732723938","0.037735979553259","0.0516983669915286"
"Min 1x per week","1994","Single parent ","71","0.117305588026261","0.0909812969752862","0.143629879077236"
"Min 1x per week","1994","Couple + C. LE 16 ","84","0.027944450306192","0.0220585360003673","0.0338303646120168"
"Min 1x per week","1994","Couple + C. GT 16 ","418","0.174466190794324","0.159407880242979","0.189524501345669"
"Min 1x per week","1994","Couple + C. LE and GT 16","198","0.186994151331377","0.164652462094062","0.209335840568693"
"Min 1x per month","1994","1-pers.-HH","240","0.155031127785468","0.136017793595114","0.174044461975822"
"Min 1x per month","1994","(Married) couple without C. ","438","0.107688059995201","0.0972175300888839","0.118158589901519"
"Min 1x per month","1994","Single parent ","126","0.233130125608211","0.198539996555744","0.267720254660677"
"Min 1x per month","1994","Couple + C. LE 16 ","329","0.115898368300022","0.104466680267903","0.127330056332141"
"Min 1x per month","1994","Couple + C. GT 16 ","406","0.161643169686241","0.147036664731776","0.176249674640706"
"Min 1x per month","1994","Couple + C. LE and GT 16","201","0.186086103442673","0.163786283163121","0.208385923722225"
"Rarely","1994","1-pers.-HH","315","0.224962536952591","0.203027169109903","0.246897904795278"
"Rarely","1994","(Married) couple without C. ","1143","0.353745363821852","0.337595318440175","0.369895409203529"
"Rarely","1994","Single parent ","211","0.366572036428601","0.327151690876465","0.405992381980738"
"Rarely","1994","Couple + C. LE 16 ","1738","0.59861688876896","0.581111384026348","0.616122393511571"
"Rarely","1994","Couple + C. GT 16 ","790","0.335223708187194","0.316492822987994","0.353954593386394"
"Rarely","1994","Couple + C. LE and GT 16","438","0.377336041542391","0.349561546697339","0.405110536387444"
"Never","1994","1-pers.-HH","705","0.545967753284315","0.519812717468321","0.572122789100309"
"Never","1994","(Married) couple without C. ","1626","0.493849402910552","0.476961968468035","0.51073683735307"
"Never","1994","Single parent ","166","0.282992249936927","0.246141923379454","0.3198425764944"
"Never","1994","Couple + C. LE 16 ","861","0.257540292624826","0.241923938648763","0.273156646600889"
"Never","1994","Couple + C. GT 16 ","826","0.328666931332241","0.310028892898409","0.347304969766074"
"Never","1994","Couple + C. LE and GT 16","333","0.249583703683558","0.224785832418308","0.274381574948808"
"Daily","1995","1-pers.-HH","","","",""
"Daily","1995","(Married) couple without C. ","2","","",""
"Daily","1995","Single parent ","2","","",""
"Daily","1995","Couple + C. LE 16 ","","","",""
"Daily","1995","Couple + C. GT 16 ","3","","",""
"Daily","1995","Couple + C. LE and GT 16","1","","",""
"Min 1x per week","1995","1-pers.-HH","120","0.059905331115837","0.0476568004945301","0.0721538617371439"
"Min 1x per week","1995","(Married) couple without C. ","90","0.0188182433041761","0.0143248618537813","0.023311624754571"
"Min 1x per week","1995","Single parent ","97","0.155141852533422","0.126481981052879","0.183801724013965"
"Min 1x per week","1995","Couple + C. LE 16 ","27","","",""
"Min 1x per week","1995","Couple + C. GT 16 ","340","0.134534320449616","0.12113707414195","0.147931566757281"
"Min 1x per week","1995","Couple + C. LE and GT 16","201","0.167409500846473","0.14668802707729","0.188130974615655"
"Min 1x per month","1995","1-pers.-HH","251","0.153878099411842","0.135254212075593","0.172501986748091"
"Min 1x per month","1995","(Married) couple without C. ","449","0.107453876480165","0.0972130408875722","0.117694712072758"
"Min 1x per month","1995","Single parent ","148","0.226674570970173","0.193530915900131","0.259818226040216"
"Min 1x per month","1995","Couple + C. LE 16 ","346","0.109444460511339","0.0985369129169683","0.120352008105709"
"Min 1x per month","1995","Couple + C. GT 16 ","410","0.152581499397341","0.138463473253984","0.166699525540698"
"Min 1x per month","1995","Couple + C. LE and GT 16","203","0.173659584632169","0.152634210122833","0.194684959141506"
"Rarely","1995","1-pers.-HH","305","0.207712418241386","0.186774277426171","0.228650559056602"
"Rarely","1995","(Married) couple without C. ","1093","0.310332727815135","0.29503444750657","0.325631008123699"
"Rarely","1995","Single parent ","178","0.2977407349318","0.261542639504995","0.333938830358605"
"Rarely","1995","Couple + C. LE 16 ","1693","0.543627308249031","0.526224866985803","0.561029749512259"
"Rarely","1995","Couple + C. GT 16 ","748","0.312375993906573","0.29417947082725","0.330572516985895"
"Rarely","1995","Couple + C. LE and GT 16","420","0.329771385860367","0.303677856097497","0.355864915623236"
"Never","1995","1-pers.-HH","766","0.578504151230935","0.553017348850238","0.603990953611631"
"Never","1995","(Married) couple without C. ","1879","0.562796784383883","0.546393663194216","0.57919990557355"
"Never","1995","Single parent ","188","0.311494344853149","0.274833987594711","0.348154702111587"
"Never","1995","Couple + C. LE 16 ","1081","0.335914196399367","0.319412598629399","0.352415794169334"
"Never","1995","Couple + C. GT 16 ","991","0.399490328207765","0.380259977263198","0.418720679152331"
"Never","1995","Couple + C. LE and GT 16","422","0.32886023293362","0.302785070006492","0.354935395860747"
"Daily","1996","1-pers.-HH","","","",""
"Daily","1996","(Married) couple without C. ","","","",""
"Daily","1996","Single parent ","","","",""
"Daily","1996","Couple + C. LE 16 ","","","",""
"Daily","1996","Couple + C. GT 16 ","","","",""
"Daily","1996","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1996","1-pers.-HH","145","0.0913731313072308","0.0766485214595594","0.106097741154902"
"Min 1x per week","1996","(Married) couple without C. ","173","0.0444683888156607","0.037692340169495","0.0512444374618265"
"Min 1x per week","1996","Single parent ","104","0.152141405869558","0.124573122827176","0.17970968891194"
"Min 1x per week","1996","Couple + C. LE 16 ","110","0.0356104848644217","0.0289802291757126","0.0422407405531308"
"Min 1x per week","1996","Couple + C. GT 16 ","351","0.151101128869446","0.13666687461481","0.165535383124083"
"Min 1x per week","1996","Couple + C. LE and GT 16","211","0.184636395086403","0.163109811218786","0.206162978954019"
"Min 1x per month","1996","1-pers.-HH","271","0.159603357283494","0.14088770704883","0.178319007518158"
"Min 1x per month","1996","(Married) couple without C. ","566","0.139408496889991","0.128022490119356","0.150794503660625"
"Min 1x per month","1996","Single parent ","158","0.25849301714393","0.224887829589788","0.292098204698073"
"Min 1x per month","1996","Couple + C. LE 16 ","470","0.160727733437506","0.147587231953378","0.173868234921635"
"Min 1x per month","1996","Couple + C. GT 16 ","493","0.20260526783902","0.186406030585202","0.218804505092837"
"Min 1x per month","1996","Couple + C. LE and GT 16","255","0.205497218281721","0.183079496081135","0.227914940482307"
"Rarely","1996","1-pers.-HH","374","0.251507162640991","0.229334862039085","0.273679463242898"
"Rarely","1996","(Married) couple without C. ","1329","0.368173521740848","0.352318987968527","0.384028055513169"
"Rarely","1996","Single parent ","216","0.319011292266282","0.283234839626874","0.354787744905691"
"Rarely","1996","Couple + C. LE 16 ","1709","0.593179503522885","0.575603927231992","0.610755079813777"
"Rarely","1996","Couple + C. GT 16 ","827","0.357091368597195","0.337780721680698","0.376402015513693"
"Rarely","1996","Couple + C. LE and GT 16","471","0.364555168426459","0.337852088598163","0.391258248254755"
"Never","1996","1-pers.-HH","681","0.497516348768284","0.471965437074067","0.523067260462501"
"Never","1996","(Married) couple without C. ","1487","0.447949592553501","0.431602812138735","0.464296372968266"
"Never","1996","Single parent ","174","0.270354284720229","0.236262719599708","0.304445849840751"
"Never","1996","Couple + C. LE 16 ","712","0.210482278175187","0.195897366528478","0.225067189821897"
"Never","1996","Couple + C. GT 16 ","694","0.289202234694339","0.270929381394129","0.307475087994548"
"Never","1996","Couple + C. LE and GT 16","311","0.245311218205417","0.221439512590209","0.269182923820625"
"Daily","1997","1-pers.-HH","","","",""
"Daily","1997","(Married) couple without C. ","","","",""
"Daily","1997","Single parent ","","","",""
"Daily","1997","Couple + C. LE 16 ","","","",""
"Daily","1997","Couple + C. GT 16 ","","","",""
"Daily","1997","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1997","1-pers.-HH","136","0.0824347722551804","0.0682001085910944","0.0966694359192663"
"Min 1x per week","1997","(Married) couple without C. ","168","0.0367396436511251","0.0305798806872809","0.0428994066149693"
"Min 1x per week","1997","Single parent ","96","0.143446716282174","0.116161590526309","0.170731842038039"
"Min 1x per week","1997","Couple + C. LE 16 ","106","0.040816782776206","0.0335422312398959","0.0480913343125161"
