"pli0091_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1985","35-65 y.","(3b) higher tertiary education","45","0.137891297188799","0.0988758214531096","0.176906772924489"
"Min 1x per month","1985","66 and older","(0) in school","","","",""
"Min 1x per month","1985","66 and older","(1a) inadequately completed","","","",""
"Min 1x per month","1985","66 and older","(1b) general elementary school","3","","",""
"Min 1x per month","1985","66 and older","(1c) basic vocational qualification","6","","",""
"Min 1x per month","1985","66 and older","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","66 and older","(2a) intermediate vocational","3","","",""
"Min 1x per month","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per month","1985","66 and older","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","66 and older","(3b) higher tertiary education","","","",""
"Rarely","1985","16-34 y.","(0) in school","43","0.21445038269966","0.155465347570505","0.273435417828814"
"Rarely","1985","16-34 y.","(1a) inadequately completed","70","0.37106510894768","0.310696879071045","0.431433338824315"
"Rarely","1985","16-34 y.","(1b) general elementary school","260","0.354883930485153","0.321539604235449","0.388228256734856"
"Rarely","1985","16-34 y.","(1c) basic vocational qualification","465","0.435301065249516","0.406251716735447","0.464350413763585"
"Rarely","1985","16-34 y.","(2b) intermediate general qualification","92","0.260538853893562","0.215632376614203","0.30544533117292"
"Rarely","1985","16-34 y.","(2a) intermediate vocational","254","0.423104829247439","0.383671642287631","0.462538016207247"
"Rarely","1985","16-34 y.","(2c_gen) general maturity certificate","92","0.271535151496759","0.22280582247506","0.320264480518458"
"Rarely","1985","16-34 y.","(2c_voc) vocational maturity certificate","70","0.350117806774195","0.283676232479726","0.416559381068664"
"Rarely","1985","16-34 y.","(3a) lower tertiary education","29","","",""
"Rarely","1985","16-34 y.","(3b) higher tertiary education","72","0.408109764875589","0.334872162150061","0.481347367601117"
"Rarely","1985","35-65 y.","(0) in school","","","",""
"Rarely","1985","35-65 y.","(1a) inadequately completed","95","0.158154886144454","0.129929624160827","0.186380148128081"
"Rarely","1985","35-65 y.","(1b) general elementary school","355","0.254078150858428","0.231435136441698","0.276721165275158"
"Rarely","1985","35-65 y.","(1c) basic vocational qualification","862","0.378782412983074","0.358752259851945","0.398812566114204"
"Rarely","1985","35-65 y.","(2b) intermediate general qualification","24","","",""
"Rarely","1985","35-65 y.","(2a) intermediate vocational","276","0.450708597711116","0.410627781248975","0.490789414173257"
"Rarely","1985","35-65 y.","(2c_gen) general maturity certificate","15","","",""
"Rarely","1985","35-65 y.","(2c_voc) vocational maturity certificate","60","0.351544393711642","0.280191090928824","0.422897696494459"
"Rarely","1985","35-65 y.","(3a) lower tertiary education","67","0.38394578354007","0.308350631068225","0.459540936011916"
"Rarely","1985","35-65 y.","(3b) higher tertiary education","144","0.483458795371285","0.426910478624945","0.540007112117624"
"Rarely","1985","66 and older","(0) in school","","","",""
"Rarely","1985","66 and older","(1a) inadequately completed","","","",""
"Rarely","1985","66 and older","(1b) general elementary school","15","","",""
"Rarely","1985","66 and older","(1c) basic vocational qualification","35","0.0730499510783735","0.0482812464982229","0.097818655658524"
"Rarely","1985","66 and older","(2b) intermediate general qualification","6","","",""
"Rarely","1985","66 and older","(2a) intermediate vocational","20","","",""
"Rarely","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Rarely","1985","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Rarely","1985","66 and older","(3a) lower tertiary education","3","","",""
"Rarely","1985","66 and older","(3b) higher tertiary education","4","","",""
"Never","1985","16-34 y.","(0) in school","13","","",""
"Never","1985","16-34 y.","(1a) inadequately completed","132","0.412698288885578","0.351176705463257","0.4742198723079"
"Never","1985","16-34 y.","(1b) general elementary school","236","0.222096520050073","0.19313018276425","0.251062857335896"
"Never","1985","16-34 y.","(1c) basic vocational qualification","236","0.192237243490593","0.169148849456369","0.215325637524817"
"Never","1985","16-34 y.","(2b) intermediate general qualification","22","","",""
"Never","1985","16-34 y.","(2a) intermediate vocational","72","0.0981142546326027","0.0743714919941016","0.121857017271104"
"Never","1985","16-34 y.","(2c_gen) general maturity certificate","28","","",""
"Never","1985","16-34 y.","(2c_voc) vocational maturity certificate","36","0.135415495150808","0.0877555650750595","0.183075425226557"
"Never","1985","16-34 y.","(3a) lower tertiary education","10","","",""
"Never","1985","16-34 y.","(3b) higher tertiary education","18","","",""
"Never","1985","35-65 y.","(0) in school","","","",""
"Never","1985","35-65 y.","(1a) inadequately completed","500","0.761912705610356","0.728966811761064","0.794858599459649"
"Never","1985","35-65 y.","(1b) general elementary school","946","0.668975886043797","0.644499969346033","0.69345180274156"
"Never","1985","35-65 y.","(1c) basic vocational qualification","1139","0.513826112960215","0.493187932989734","0.534464292930696"
"Never","1985","35-65 y.","(2b) intermediate general qualification","42","0.570960067682354","0.458946872763237","0.682973262601471"
"Never","1985","35-65 y.","(2a) intermediate vocational","232","0.41512152087713","0.375429091306037","0.454813950448223"
"Never","1985","35-65 y.","(2c_gen) general maturity certificate","28","","",""
"Never","1985","35-65 y.","(2c_voc) vocational maturity certificate","83","0.508659618704765","0.433947899953312","0.583371337456219"
"Never","1985","35-65 y.","(3a) lower tertiary education","62","0.423691782294576","0.346884578375737","0.500498986213415"
"Never","1985","35-65 y.","(3b) higher tertiary education","95","0.335036879456592","0.281625652953888","0.388448105959296"
"Never","1985","66 and older","(0) in school","","","",""
"Never","1985","66 and older","(1a) inadequately completed","17","","",""
"Never","1985","66 and older","(1b) general elementary school","373","0.953819408304328","0.933069573669037","0.974569242939618"
"Never","1985","66 and older","(1c) basic vocational qualification","376","0.898372464834655","0.86961178979484","0.927133139874469"
"Never","1985","66 and older","(2b) intermediate general qualification","22","","",""
"Never","1985","66 and older","(2a) intermediate vocational","113","0.846156656403147","0.78574057545731","0.906572737348984"
"Never","1985","66 and older","(2c_gen) general maturity certificate","6","","",""
"Never","1985","66 and older","(2c_voc) vocational maturity certificate","31","0.926268284202279","0.838425882839955","1.0141106855646"
"Never","1985","66 and older","(3a) lower tertiary education","21","","",""
"Never","1985","66 and older","(3b) higher tertiary education","26","","",""
"Daily","1986","16-34 y.","(0) in school","","","",""
"Daily","1986","16-34 y.","(1a) inadequately completed","","","",""
"Daily","1986","16-34 y.","(1b) general elementary school","","","",""
"Daily","1986","16-34 y.","(1c) basic vocational qualification","","","",""
"Daily","1986","16-34 y.","(2b) intermediate general qualification","","","",""
"Daily","1986","16-34 y.","(2a) intermediate vocational","","","",""
"Daily","1986","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1986","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1986","16-34 y.","(3a) lower tertiary education","","","",""
"Daily","1986","16-34 y.","(3b) higher tertiary education","","","",""
"Daily","1986","35-65 y.","(0) in school","","","",""
"Daily","1986","35-65 y.","(1a) inadequately completed","","","",""
"Daily","1986","35-65 y.","(1b) general elementary school","","","",""
"Daily","1986","35-65 y.","(1c) basic vocational qualification","","","",""
"Daily","1986","35-65 y.","(2b) intermediate general qualification","","","",""
"Daily","1986","35-65 y.","(2a) intermediate vocational","","","",""
"Daily","1986","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1986","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1986","35-65 y.","(3a) lower tertiary education","","","",""
"Daily","1986","35-65 y.","(3b) higher tertiary education","","","",""
"Daily","1986","66 and older","(0) in school","","","",""
"Daily","1986","66 and older","(1a) inadequately completed","","","",""
"Daily","1986","66 and older","(1b) general elementary school","","","",""
"Daily","1986","66 and older","(1c) basic vocational qualification","","","",""
"Daily","1986","66 and older","(2b) intermediate general qualification","","","",""
"Daily","1986","66 and older","(2a) intermediate vocational","","","",""
"Daily","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","1986","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Daily","1986","66 and older","(3a) lower tertiary education","","","",""
"Daily","1986","66 and older","(3b) higher tertiary education","","","",""
"Min 1x per week","1986","16-34 y.","(0) in school","62","0.324396725669453","0.257477135861779","0.391316315477127"
"Min 1x per week","1986","16-34 y.","(1a) inadequately completed","26","","",""
"Min 1x per week","1986","16-34 y.","(1b) general elementary school","147","0.209871583530691","0.181385094674142","0.238358072387239"
"Min 1x per week","1986","16-34 y.","(1c) basic vocational qualification","151","0.140811680289944","0.119892273973817","0.161731086606072"
"Min 1x per week","1986","16-34 y.","(2b) intermediate general qualification","118","0.326159806508622","0.27806531522332","0.374254297793924"
"Min 1x per week","1986","16-34 y.","(2a) intermediate vocational","101","0.184843376556318","0.153574684522947","0.216112068589689"
"Min 1x per week","1986","16-34 y.","(2c_gen) general maturity certificate","94","0.280266707149711","0.233078875561684","0.327454538737737"
"Min 1x per week","1986","16-34 y.","(2c_voc) vocational maturity certificate","25","","",""
"Min 1x per week","1986","16-34 y.","(3a) lower tertiary education","5","","",""
"Min 1x per week","1986","16-34 y.","(3b) higher tertiary education","29","","",""
"Min 1x per week","1986","35-65 y.","(0) in school","","","",""
"Min 1x per week","1986","35-65 y.","(1a) inadequately completed","7","","",""
"Min 1x per week","1986","35-65 y.","(1b) general elementary school","28","","",""
"Min 1x per week","1986","35-65 y.","(1c) basic vocational qualification","92","0.043071927212383","0.0344923737335547","0.0516514806912113"
"Min 1x per week","1986","35-65 y.","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1986","35-65 y.","(2a) intermediate vocational","23","","",""
"Min 1x per week","1986","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"Min 1x per week","1986","35-65 y.","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per week","1986","35-65 y.","(3a) lower tertiary education","8","","",""
"Min 1x per week","1986","35-65 y.","(3b) higher tertiary education","19","","",""
"Min 1x per week","1986","66 and older","(0) in school","","","",""
"Min 1x per week","1986","66 and older","(1a) inadequately completed","","","",""
"Min 1x per week","1986","66 and older","(1b) general elementary school","1","","",""
"Min 1x per week","1986","66 and older","(1c) basic vocational qualification","4","","",""
"Min 1x per week","1986","66 and older","(2b) intermediate general qualification","","","",""
"Min 1x per week","1986","66 and older","(2a) intermediate vocational","3","","",""
"Min 1x per week","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1986","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1986","66 and older","(3a) lower tertiary education","","","",""
"Min 1x per week","1986","66 and older","(3b) higher tertiary education","","","",""
"Min 1x per month","1986","16-34 y.","(0) in school","71","0.391449556533428","0.321681703167577","0.461217409899279"
"Min 1x per month","1986","16-34 y.","(1a) inadequately completed","33","0.12451203200251","0.0819352481895358","0.167088815815483"
"Min 1x per month","1986","16-34 y.","(1b) general elementary school","153","0.212324723409984","0.183716746063403","0.240932700756566"
"Min 1x per month","1986","16-34 y.","(1c) basic vocational qualification","262","0.253919936139914","0.227742509548689","0.280097362731139"
"Min 1x per month","1986","16-34 y.","(2b) intermediate general qualification","134","0.380271947580397","0.330469649780018","0.430074245380776"
"Min 1x per month","1986","16-34 y.","(2a) intermediate vocational","167","0.292947284440609","0.256285983397168","0.32960858548405"
"Min 1x per month","1986","16-34 y.","(2c_gen) general maturity certificate","138","0.42584052772326","0.373889010944808","0.477792044501712"
"Min 1x per month","1986","16-34 y.","(2c_voc) vocational maturity certificate","66","0.355267473711142","0.290690992345169","0.419843955077116"
"Min 1x per month","1986","16-34 y.","(3a) lower tertiary education","21","","",""
"Min 1x per month","1986","16-34 y.","(3b) higher tertiary education","50","0.286363008627013","0.216964294445221","0.355761722808806"
"Min 1x per month","1986","35-65 y.","(0) in school","","","",""
"Min 1x per month","1986","35-65 y.","(1a) inadequately completed","25","","",""
"Min 1x per month","1986","35-65 y.","(1b) general elementary school","60","0.0432057435284792","0.0322040081450993","0.0542074789118591"
"Min 1x per month","1986","35-65 y.","(1c) basic vocational qualification","155","0.0693375640410532","0.0586024103037085","0.0800727177783979"
"Min 1x per month","1986","35-65 y.","(2b) intermediate general qualification","8","","",""
"Min 1x per month","1986","35-65 y.","(2a) intermediate vocational","57","0.0938756661452394","0.070200980218162","0.117550352072317"
"Min 1x per month","1986","35-65 y.","(2c_gen) general maturity certificate","7","","",""
"Min 1x per month","1986","35-65 y.","(2c_voc) vocational maturity certificate","15","","",""
"Min 1x per month","1986","35-65 y.","(3a) lower tertiary education","20","","",""
"Min 1x per month","1986","35-65 y.","(3b) higher tertiary education","48","0.13607276359734","0.0977194325690593","0.174426094625621"
"Min 1x per month","1986","66 and older","(0) in school","","","",""
"Min 1x per month","1986","66 and older","(1a) inadequately completed","","","",""
"Min 1x per month","1986","66 and older","(1b) general elementary school","1","","",""
"Min 1x per month","1986","66 and older","(1c) basic vocational qualification","8","","",""
"Min 1x per month","1986","66 and older","(2b) intermediate general qualification","","","",""
"Min 1x per month","1986","66 and older","(2a) intermediate vocational","5","","",""
"Min 1x per month","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1986","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per month","1986","66 and older","(3a) lower tertiary education","","","",""
"Min 1x per month","1986","66 and older","(3b) higher tertiary education","1","","",""
"Rarely","1986","16-34 y.","(0) in school","45","0.232605885596772","0.172212587375148","0.292999183818396"
"Rarely","1986","16-34 y.","(1a) inadequately completed","59","0.287691637598785","0.229314910612071","0.3460683645855"
"Rarely","1986","16-34 y.","(1b) general elementary school","265","0.364797489928624","0.331123445066888","0.39847153479036"
"Rarely","1986","16-34 y.","(1c) basic vocational qualification","415","0.403952023279159","0.374440519790531","0.433463526767786"
"Rarely","1986","16-34 y.","(2b) intermediate general qualification","86","0.231702336388395","0.188417914483613","0.274986758293178"
"Rarely","1986","16-34 y.","(2a) intermediate vocational","245","0.401887075533757","0.36239310015684","0.441381050910673"
"Rarely","1986","16-34 y.","(2c_gen) general maturity certificate","87","0.247843083376069","0.202480153421086","0.293206013331052"
"Rarely","1986","16-34 y.","(2c_voc) vocational maturity certificate","86","0.408051639456459","0.341737469507254","0.474365809405664"
"Rarely","1986","16-34 y.","(3a) lower tertiary education","27","","",""
"Rarely","1986","16-34 y.","(3b) higher tertiary education","63","0.3932176683487","0.318230446524175","0.468204890173225"
"Rarely","1986","35-65 y.","(0) in school","","","",""
"Rarely","1986","35-65 y.","(1a) inadequately completed","92","0.159778086673298","0.130263082583807","0.189293090762788"
"Rarely","1986","35-65 y.","(1b) general elementary school","333","0.260880670720888","0.237119961218162","0.284641380223613"
"Rarely","1986","35-65 y.","(1c) basic vocational qualification","802","0.375639386962234","0.355173470524848","0.39610530339962"
"Rarely","1986","35-65 y.","(2b) intermediate general qualification","21","","",""
"Rarely","1986","35-65 y.","(2a) intermediate vocational","278","0.45348160674722","0.41307093745218","0.49389227604226"
"Rarely","1986","35-65 y.","(2c_gen) general maturity certificate","16","","",""
"Rarely","1986","35-65 y.","(2c_voc) vocational maturity certificate","63","0.398922111918789","0.323283320018565","0.474560903819013"
"Rarely","1986","35-65 y.","(3a) lower tertiary education","73","0.440842927442693","0.362932669548275","0.518753185337112"
"Rarely","1986","35-65 y.","(3b) higher tertiary education","140","0.449907985447889","0.394258849653945","0.505557121241832"
"Rarely","1986","66 and older","(0) in school","","","",""
"Rarely","1986","66 and older","(1a) inadequately completed","3","","",""
"Rarely","1986","66 and older","(1b) general elementary school","12","","",""
"Rarely","1986","66 and older","(1c) basic vocational qualification","34","0.0829997185918657","0.0555842082457284","0.110415228938003"
"Rarely","1986","66 and older","(2b) intermediate general qualification","2","","",""
"Rarely","1986","66 and older","(2a) intermediate vocational","14","","",""
"Rarely","1986","66 and older","(2c_gen) general maturity certificate","1","","",""
"Rarely","1986","66 and older","(2c_voc) vocational maturity certificate","4","","",""
"Rarely","1986","66 and older","(3a) lower tertiary education","5","","",""
"Rarely","1986","66 and older","(3b) higher tertiary education","3","","",""
"Never","1986","16-34 y.","(0) in school","10","","",""
"Never","1986","16-34 y.","(1a) inadequately completed","113","0.398982185351155","0.335833759945579","0.462130610756731"
"Never","1986","16-34 y.","(1b) general elementary school","220","0.213006203130701","0.184364750357554","0.241647655903848"
"Never","1986","16-34 y.","(1c) basic vocational qualification","234","0.201316360290983","0.177199944561225","0.225432776020741"
"Never","1986","16-34 y.","(2b) intermediate general qualification","27","","",""
"Never","1986","16-34 y.","(2a) intermediate vocational","79","0.120322263469316","0.0941149782897185","0.146529548648914"
"Never","1986","16-34 y.","(2c_gen) general maturity certificate","29","","",""
"Never","1986","16-34 y.","(2c_voc) vocational maturity certificate","34","0.117021782702943","0.0736492070501936","0.160394358355693"
"Never","1986","16-34 y.","(3a) lower tertiary education","12","","",""
"Never","1986","16-34 y.","(3b) higher tertiary education","21","","",""
"Never","1986","35-65 y.","(0) in school","","","",""
"Never","1986","35-65 y.","(1a) inadequately completed","468","0.791430994189289","0.758703055700287","0.824158932678291"
"Never","1986","35-65 y.","(1b) general elementary school","891","0.675477012252185","0.650142695672622","0.700811328831749"
"Never","1986","35-65 y.","(1c) basic vocational qualification","1102","0.51195112178433","0.490827236771944","0.533075006796715"
"Never","1986","35-65 y.","(2b) intermediate general qualification","37","0.575703152423159","0.459087256824165","0.692319048022153"
"Never","1986","35-65 y.","(2a) intermediate vocational","225","0.414098230608206","0.374114997787351","0.454081463429061"
"Never","1986","35-65 y.","(2c_gen) general maturity certificate","24","","",""
"Never","1986","35-65 y.","(2c_voc) vocational maturity certificate","79","0.495958491700662","0.418727614166571","0.573189369234754"
"Never","1986","35-65 y.","(3a) lower tertiary education","55","0.367948730680073","0.292273178194933","0.443624283165213"
"Never","1986","35-65 y.","(3b) higher tertiary education","100","0.358288857583423","0.304651750697049","0.411925964469796"
"Never","1986","66 and older","(0) in school","","","",""
"Never","1986","66 and older","(1a) inadequately completed","18","","",""
"Never","1986","66 and older","(1b) general elementary school","350","0.96760313416055","0.949414607076287","0.985791661244813"
"Never","1986","66 and older","(1c) basic vocational qualification","343","0.883901317612392","0.852067492468342","0.915735142756442"
"Never","1986","66 and older","(2b) intermediate general qualification","26","","",""
"Never","1986","66 and older","(2a) intermediate vocational","110","0.842455264817726","0.78030592824384","0.904604601391612"
"Never","1986","66 and older","(2c_gen) general maturity certificate","6","","",""
"Never","1986","66 and older","(2c_voc) vocational maturity certificate","31","0.859574611312501","0.747627772055197","0.971521450569804"
"Never","1986","66 and older","(3a) lower tertiary education","19","","",""
"Never","1986","66 and older","(3b) higher tertiary education","25","","",""
"Daily","1987","16-34 y.","(0) in school","","","",""
"Daily","1987","16-34 y.","(1a) inadequately completed","","","",""
"Daily","1987","16-34 y.","(1b) general elementary school","","","",""
"Daily","1987","16-34 y.","(1c) basic vocational qualification","","","",""
"Daily","1987","16-34 y.","(2b) intermediate general qualification","","","",""
"Daily","1987","16-34 y.","(2a) intermediate vocational","","","",""
"Daily","1987","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1987","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1987","16-34 y.","(3a) lower tertiary education","","","",""
"Daily","1987","16-34 y.","(3b) higher tertiary education","","","",""
"Daily","1987","35-65 y.","(0) in school","","","",""
"Daily","1987","35-65 y.","(1a) inadequately completed","","","",""
"Daily","1987","35-65 y.","(1b) general elementary school","","","",""
"Daily","1987","35-65 y.","(1c) basic vocational qualification","","","",""
"Daily","1987","35-65 y.","(2b) intermediate general qualification","","","",""
"Daily","1987","35-65 y.","(2a) intermediate vocational","","","",""
"Daily","1987","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1987","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1987","35-65 y.","(3a) lower tertiary education","","","",""
"Daily","1987","35-65 y.","(3b) higher tertiary education","","","",""
"Daily","1987","66 and older","(0) in school","","","",""
"Daily","1987","66 and older","(1a) inadequately completed","","","",""
"Daily","1987","66 and older","(1b) general elementary school","","","",""
"Daily","1987","66 and older","(1c) basic vocational qualification","","","",""
"Daily","1987","66 and older","(2b) intermediate general qualification","","","",""
"Daily","1987","66 and older","(2a) intermediate vocational","","","",""
"Daily","1987","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","1987","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Daily","1987","66 and older","(3a) lower tertiary education","","","",""
"Daily","1987","66 and older","(3b) higher tertiary education","","","",""
"Min 1x per week","1987","16-34 y.","(0) in school","","","",""
"Min 1x per week","1987","16-34 y.","(1a) inadequately completed","","","",""
"Min 1x per week","1987","16-34 y.","(1b) general elementary school","","","",""
"Min 1x per week","1987","16-34 y.","(1c) basic vocational qualification","","","",""
"Min 1x per week","1987","16-34 y.","(2b) intermediate general qualification","","","",""
"Min 1x per week","1987","16-34 y.","(2a) intermediate vocational","","","",""
"Min 1x per week","1987","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1987","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1987","16-34 y.","(3a) lower tertiary education","","","",""
"Min 1x per week","1987","16-34 y.","(3b) higher tertiary education","","","",""
"Min 1x per week","1987","35-65 y.","(0) in school","","","",""
"Min 1x per week","1987","35-65 y.","(1a) inadequately completed","","","",""
"Min 1x per week","1987","35-65 y.","(1b) general elementary school","","","",""
