"pli0091_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","Saxony","Employed","","","","","3"
"Min 1x per month","1985","Hamburg","Not Employed","12","","","","3"
"Min 1x per month","1985","Saxony","Not Employed","","","","","3"
"Min 1x per month","1985","Brandenburg","Employed","","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Employed","30","0.132253445988367","0.0871802689076053","0.177326623069128","3"
"Min 1x per month","1985","Saxony-Anhalt","Not Employed","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Not Employed","15","","","","3"
"Min 1x per month","1985","Lower Saxony","Not Employed","44","0.0796887166968254","0.0553604927746005","0.10401694061905","3"
"Min 1x per month","1985","Lower Saxony","Employed","98","0.160563410617785","0.131571624308719","0.189555196926851","3"
"Min 1x per month","1985","Bremen","Not Employed","3","","","","3"
"Min 1x per month","1985","Bremen","Employed","9","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","Not Employed","120","0.0891227966941661","0.0729413804385022","0.10530421294983","3"
"Min 1x per month","1985","North Rhine-Westphalia","Employed","263","0.161405468496367","0.144183124149016","0.178627812843719","3"
"Min 1x per month","1985","Hesse","Not Employed","40","0.0942115552335499","0.066273966464255","0.122149144002845","3"
"Min 1x per month","1985","Hesse","Employed","108","0.156940468035474","0.129975115876997","0.183905820193951","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Not Employed","34","0.0906106158859161","0.0594501622017108","0.121771069570121","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Employed","69","0.163689042195904","0.12887961125188","0.198498473139929","3"
"Min 1x per month","1985","Baden-Württemberg","Not Employed","81","0.098495217550096","0.0760488874185583","0.120941547681634","3"
"Min 1x per month","1985","Baden-Württemberg","Employed","180","0.154930514162863","0.135735145542663","0.174125882783062","3"
"Min 1x per month","1985","Bavaria","Not Employed","59","0.0674421058679656","0.0482947483532762","0.086589463382655","3"
"Min 1x per month","1985","Bavaria","Employed","211","0.171396571052415","0.150421102248748","0.192372039856081","3"
"Min 1x per month","1985","Berlin","Not Employed","18","","","","3"
"Min 1x per month","1985","Berlin","Employed","39","0.192041129817007","0.142616328674604","0.241465930959411","3"
"Min 1x per month","1985","Brandenburg","Not Employed","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","Employed","","","","","3"
"Min 1x per month","1985","Thuringia","Not Employed","","","","","3"
"Min 1x per month","1985","Thuringia","Employed","","","","","3"
"Min 1x per week","1985","Saxony","Employed","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","Not Employed","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Min 1x per week","1985","Saxony","Not Employed","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","Employed","","","","","2"
"Min 1x per week","1985","Thuringia","Not Employed","","","","","2"
"Min 1x per week","1985","Thuringia","Employed","","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","Not Employed","14","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","Employed","26","","","","2"
"Min 1x per week","1985","Hamburg","Not Employed","6","","","","2"
"Min 1x per week","1985","Hamburg","Employed","17","","","","2"
"Min 1x per week","1985","Lower Saxony","Not Employed","45","0.08572083083361","0.0605714548870455","0.110870206780174","2"
"Min 1x per week","1985","Lower Saxony","Employed","68","0.113637139346538","0.0885746816799727","0.138699597013103","2"
"Min 1x per week","1985","Bremen","Employed","3","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","Not Employed","82","0.0569325143155449","0.0437728813000029","0.0700921473310869","2"
"Min 1x per week","1985","North Rhine-Westphalia","Employed","157","0.0943243322329379","0.0806421505632918","0.108006513902584","2"
"Min 1x per week","1985","Hesse","Not Employed","43","0.0904570856475767","0.0630251572178348","0.117889014077319","2"
"Min 1x per week","1985","Hesse","Employed","84","0.137754741846805","0.112205489894249","0.16330399379936","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Not Employed","11","","","","2"
"Min 1x per week","1985","Brandenburg","Employed","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Min 1x per week","1985","Bremen","Not Employed","2","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Employed","51","0.122493371290663","0.091648374957236","0.15333836762409","2"
"Min 1x per week","1985","Baden-Württemberg","Not Employed","45","0.0535810057530527","0.0366180741376041","0.0705439373685013","2"
"Min 1x per week","1985","Baden-Württemberg","Employed","153","0.0995096807229982","0.0836295542881351","0.115389807157861","2"
"Min 1x per week","1985","Bavaria","Not Employed","44","0.0500346499571762","0.0333892322126164","0.0666800677017361","2"
"Min 1x per week","1985","Bavaria","Employed","154","0.13794742027965","0.118753622363249","0.157141218196051","2"
"Min 1x per week","1985","Berlin","Not Employed","10","","","","2"
"Min 1x per week","1985","Berlin","Employed","27","","","","2"
"Min 1x per week","1985","Brandenburg","Not Employed","","","","","2"
"Never","1985","Mecklenburg-Western Pomerania","Employed","","","","","5"
"Never","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","5"
"Never","1985","Hamburg","Employed","56","0.296689563885981","0.227819671449013","0.36555945632295","5"
"Never","1985","Hamburg","Not Employed","70","0.678042666764962","0.589514010040569","0.766571323489355","5"
"Never","1985","Schleswig-Holstein","Employed","58","0.273476355120052","0.21416975987927","0.332782950360834","5"
"Never","1985","Saxony","Not Employed","","","","","5"
"Never","1985","Lower Saxony","Not Employed","237","0.56087858093632","0.516295369049965","0.605461792822675","5"
"Never","1985","Lower Saxony","Employed","184","0.286281273591897","0.25058542168524","0.321977125498554","5"
"Never","1985","Bremen","Not Employed","42","0.704637580740143","0.593732374972151","0.815542786508136","5"
"Never","1985","Bremen","Employed","15","","","","5"
"Never","1985","Brandenburg","Employed","","","","","5"
"Never","1985","Saxony","Employed","","","","","5"
"Never","1985","Saxony-Anhalt","Not Employed","","","","","5"
"Never","1985","Saxony-Anhalt","Employed","","","","","5"
"Never","1985","Thuringia","Not Employed","","","","","5"
"Never","1985","Thuringia","Employed","","","","","5"
"Never","1985","Schleswig-Holstein","Not Employed","71","0.575782825793869","0.492103308058839","0.659462343528898","5"
"Never","1985","North Rhine-Westphalia","Not Employed","716","0.652131123865192","0.625081111912861","0.679181135817524","5"
"Never","1985","North Rhine-Westphalia","Employed","677","0.343614260134797","0.321382579701048","0.365845940568546","5"
"Never","1985","Hesse","Not Employed","234","0.587023252640315","0.53993485656452","0.63411164871611","5"
"Never","1985","Hesse","Employed","253","0.300790149358908","0.266792798530649","0.334787500187167","5"
"Never","1985","Rhineland-Palatinate,Saarland","Not Employed","207","0.691490886500597","0.641352942579865","0.741628830421328","5"
"Never","1985","Rhineland-Palatinate,Saarland","Employed","161","0.355308066630749","0.310280147431322","0.400335985830175","5"
"Never","1985","Baden-Württemberg","Not Employed","432","0.704330474504715","0.669955270943858","0.738705678065571","5"
"Never","1985","Baden-Württemberg","Employed","585","0.372879790570043","0.347226588236085","0.398532992904001","5"
"Never","1985","Bavaria","Not Employed","400","0.682055999275884","0.646501815106694","0.717610183445074","5"
"Never","1985","Bavaria","Employed","441","0.327640873935299","0.301517038560809","0.353764709309789","5"
"Never","1985","Berlin","Not Employed","66","0.630384668048187","0.545079892392756","0.715689443703618","5"
"Never","1985","Berlin","Employed","80","0.283339907009674","0.226798883981168","0.33988093003818","5"
"Never","1985","Brandenburg","Not Employed","","","","","5"
"Rarely","1985","North Rhine-Westphalia","Employed","656","0.400655939135898","0.377716593323426","0.42359528494837","4"
"Rarely","1985","Hesse","Not Employed","103","0.228308106478558","0.188165452589215","0.268450760367901","4"
"Rarely","1985","Saxony","Not Employed","","","","","4"
"Rarely","1985","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Rarely","1985","Bavaria","Not Employed","156","0.200467244898974","0.169900779250012","0.231033710547937","4"
"Rarely","1985","Lower Saxony","Not Employed","150","0.273711871533244","0.233657870517909","0.313765872548579","4"
"Rarely","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Rarely","1985","North Rhine-Westphalia","Not Employed","273","0.201813565125097","0.179019616826601","0.224607513423593","4"
"Rarely","1985","Hesse","Employed","254","0.404514640758814","0.36813049610131","0.440898785416317","4"
"Rarely","1985","Saxony","Employed","","","","","4"
"Rarely","1985","Saxony-Anhalt","Not Employed","","","","","4"
"Rarely","1985","Hamburg","Not Employed","19","","","","4"
"Rarely","1985","Hamburg","Employed","60","0.376523576028713","0.303475153139839","0.449571998917586","4"
"Rarely","1985","Schleswig-Holstein","Employed","103","0.467808816366695","0.401421324214574","0.534196308518816","4"
"Rarely","1985","Lower Saxony","Employed","266","0.43951817644378","0.400323514631779","0.478712838255782","4"
"Rarely","1985","Bremen","Not Employed","18","","","","4"
"Rarely","1985","Bremen","Employed","23","","","","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","Not Employed","74","0.192816549879869","0.149991530394192","0.235641569365546","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","Employed","153","0.358509519882684","0.313391640347454","0.403627399417914","4"
"Rarely","1985","Baden-Württemberg","Not Employed","119","0.143593302192137","0.117177678097165","0.170008926287109","4"
"Rarely","1985","Baden-Württemberg","Employed","447","0.372680014544096","0.347029600543151","0.39833042854504","4"
"Rarely","1985","Saxony-Anhalt","Employed","","","","","4"
"Rarely","1985","Thuringia","Not Employed","","","","","4"
"Rarely","1985","Thuringia","Employed","","","","","4"
"Rarely","1985","Brandenburg","Employed","","","","","4"
"Rarely","1985","Schleswig-Holstein","Not Employed","34","0.217888079193885","0.147992955193664","0.287783203194106","4"
"Rarely","1985","Bavaria","Employed","434","0.363015134732637","0.336250324333082","0.389779945132192","4"
"Rarely","1985","Berlin","Not Employed","29","","","","4"
"Rarely","1985","Berlin","Employed","98","0.395557231507114","0.33420428352818","0.456910179486049","4"
"Rarely","1985","Brandenburg","Not Employed","","","","","4"
"Daily","1986","Schleswig-Holstein","Not Employed","","","","","1"
"Daily","1986","Schleswig-Holstein","Employed","","","","","1"
"Daily","1986","Hamburg","Not Employed","","","","","1"
"Daily","1986","Hamburg","Employed","","","","","1"
"Daily","1986","Lower Saxony","Not Employed","","","","","1"
"Daily","1986","Lower Saxony","Employed","","","","","1"
"Daily","1986","Bremen","Not Employed","","","","","1"
"Daily","1986","Bremen","Employed","","","","","1"
"Daily","1986","North Rhine-Westphalia","Not Employed","","","","","1"
"Daily","1986","North Rhine-Westphalia","Employed","","","","","1"
"Daily","1986","Hesse","Not Employed","","","","","1"
"Daily","1986","Hesse","Employed","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","Not Employed","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","Employed","","","","","1"
"Daily","1986","Baden-Württemberg","Not Employed","","","","","1"
"Daily","1986","Baden-Württemberg","Employed","","","","","1"
"Daily","1986","Bavaria","Not Employed","","","","","1"
"Daily","1986","Bavaria","Employed","","","","","1"
"Daily","1986","Berlin","Not Employed","","","","","1"
"Daily","1986","Berlin","Employed","","","","","1"
"Daily","1986","Brandenburg","Not Employed","","","","","1"
"Daily","1986","Brandenburg","Employed","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Daily","1986","Saxony","Not Employed","","","","","1"
"Daily","1986","Saxony","Employed","","","","","1"
"Daily","1986","Saxony-Anhalt","Not Employed","","","","","1"
"Daily","1986","Saxony-Anhalt","Employed","","","","","1"
"Daily","1986","Thuringia","Not Employed","","","","","1"
"Daily","1986","Thuringia","Employed","","","","","1"
"Min 1x per month","1986","Schleswig-Holstein","Employed","29","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Min 1x per month","1986","Hamburg","Not Employed","11","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Min 1x per month","1986","Saxony","Not Employed","","","","","3"
"Min 1x per month","1986","Saxony","Employed","","","","","3"
"Min 1x per month","1986","Schleswig-Holstein","Not Employed","10","","","","3"
"Min 1x per month","1986","Hamburg","Employed","35","0.246923666942341","0.177915050542843","0.315932283341838","3"
"Min 1x per month","1986","Brandenburg","Employed","","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","Not Employed","","","","","3"
"Min 1x per month","1986","Lower Saxony","Not Employed","59","0.100809243301941","0.0732957794814589","0.128322707122424","3"
"Min 1x per month","1986","Lower Saxony","Employed","91","0.142441209794802","0.115426992876956","0.169455426712647","3"
"Min 1x per month","1986","Bremen","Not Employed","3","","","","3"
"Min 1x per month","1986","Bremen","Employed","13","","","","3"
"Min 1x per month","1986","North Rhine-Westphalia","Not Employed","146","0.112258132374146","0.0939810007358884","0.130535264012403","3"
"Min 1x per month","1986","North Rhine-Westphalia","Employed","289","0.175569924963733","0.157489946485968","0.193649903441498","3"
"Min 1x per month","1986","Hesse","Not Employed","35","0.0782443197230265","0.0513134282121929","0.10517521123386","3"
"Min 1x per month","1986","Hesse","Employed","112","0.184558967159836","0.155118206256642","0.21399972806303","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Not Employed","24","","","","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Employed","66","0.148309133765371","0.115652806721119","0.180965460809624","3"
"Min 1x per month","1986","Baden-Württemberg","Not Employed","65","0.0857718991571601","0.0640259598745547","0.107517838439766","3"
"Min 1x per month","1986","Baden-Württemberg","Employed","186","0.146282421952802","0.127466234701893","0.165098609203711","3"
"Min 1x per month","1986","Bavaria","Not Employed","60","0.0786729026779825","0.0568000157475352","0.10054578960843","3"
"Min 1x per month","1986","Bavaria","Employed","230","0.201822693481793","0.17897072571816","0.224674661245426","3"
"Min 1x per month","1986","Berlin","Not Employed","13","","","","3"
"Min 1x per month","1986","Berlin","Employed","48","0.22063200488259","0.168278578633448","0.272985431131733","3"
"Min 1x per month","1986","Brandenburg","Not Employed","","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","Employed","","","","","3"
"Min 1x per month","1986","Thuringia","Not Employed","","","","","3"
"Min 1x per month","1986","Thuringia","Employed","","","","","3"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Min 1x per week","1986","Saxony","Not Employed","","","","","2"
"Min 1x per week","1986","Saxony","Employed","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","Not Employed","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","Employed","","","","","2"
"Min 1x per week","1986","Thuringia","Not Employed","","","","","2"
"Min 1x per week","1986","Bremen","Employed","3","","","","2"
"Min 1x per week","1986","North Rhine-Westphalia","Not Employed","81","0.0565495872948382","0.0431765504402982","0.0699226241493782","2"
"Min 1x per week","1986","North Rhine-Westphalia","Employed","150","0.0975003028795192","0.0834034408548779","0.111597164904161","2"
"Min 1x per week","1986","Hesse","Not Employed","33","0.0670591043349045","0.0419765160650046","0.0921416926048043","2"
"Min 1x per week","1986","Hesse","Employed","75","0.132613814603111","0.106875161991173","0.158352467215048","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Not Employed","15","","","","2"
"Min 1x per week","1986","Thuringia","Employed","","","","","2"
"Min 1x per week","1986","Schleswig-Holstein","Not Employed","8","","","","2"
"Min 1x per week","1986","Schleswig-Holstein","Employed","25","","","","2"
"Min 1x per week","1986","Hamburg","Not Employed","8","","","","2"
"Min 1x per week","1986","Hamburg","Employed","6","","","","2"
"Min 1x per week","1986","Lower Saxony","Not Employed","32","0.0628783030435874","0.0406954410173846","0.0850611650697902","2"
"Min 1x per week","1986","Lower Saxony","Employed","85","0.149475831798466","0.121916326129545","0.177035337467387","2"
"Min 1x per week","1986","Bremen","Not Employed","1","","","","2"
"Min 1x per week","1986","Brandenburg","Employed","","","","","2"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Employed","54","0.121662819226692","0.0916261367025514","0.151699501750832","2"
"Min 1x per week","1986","Baden-Württemberg","Not Employed","56","0.0608239214745373","0.0422634461377287","0.0793843968113458","2"
"Min 1x per week","1986","Baden-Württemberg","Employed","123","0.0891394036999224","0.073967528446952","0.104311278952893","2"
"Min 1x per week","1986","Bavaria","Not Employed","41","0.0505649952352106","0.032764003281938","0.0683659871884832","2"
"Min 1x per week","1986","Bavaria","Employed","137","0.121491238962213","0.102890318110658","0.140092159813769","2"
"Min 1x per week","1986","Berlin","Not Employed","7","","","","2"
"Min 1x per week","1986","Berlin","Employed","30","0.136325639391165","0.0930041524231704","0.17964712635916","2"
"Min 1x per week","1986","Brandenburg","Not Employed","","","","","2"
"Never","1986","Schleswig-Holstein","Employed","59","0.237841151411263","0.18079748234028","0.294884820482246","5"
"Never","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","5"
"Never","1986","Mecklenburg-Western Pomerania","Employed","","","","","5"
"Never","1986","Hamburg","Not Employed","62","0.663175418809583","0.571002465373907","0.755348372245259","5"
"Never","1986","Hamburg","Employed","46","0.244770437124279","0.175965209794462","0.313575664454095","5"
"Never","1986","Lower Saxony","Not Employed","227","0.572813628662395","0.527608829845154","0.618018427479635","5"
"Never","1986","Lower Saxony","Employed","179","0.258468806818875","0.224630284798454","0.292307328839296","5"
"Never","1986","Bremen","Not Employed","47","0.852793953144545","0.762385931397592","0.943201974891499","5"
"Never","1986","Bremen","Employed","15","","","","5"
"Never","1986","Saxony","Not Employed","","","","","5"
"Never","1986","Saxony","Employed","","","","","5"
"Never","1986","Saxony-Anhalt","Not Employed","","","","","5"
"Never","1986","Saxony-Anhalt","Employed","","","","","5"
"Never","1986","Thuringia","Not Employed","","","","","5"
"Never","1986","Thuringia","Employed","","","","","5"
"Never","1986","Schleswig-Holstein","Not Employed","60","0.590400192380435","0.497223064534245","0.683577320226625","5"
"Never","1986","Brandenburg","Employed","","","","","5"
"Never","1986","North Rhine-Westphalia","Not Employed","675","0.642335439344193","0.614584692273634","0.670086186414753","5"
"Never","1986","North Rhine-Westphalia","Employed","620","0.342521241556273","0.319969475785084","0.365073007327462","5"
"Never","1986","Hesse","Not Employed","221","0.652293032955124","0.604535214982279","0.700050850927968","5"
"Never","1986","Hesse","Employed","231","0.273442553009374","0.239616353703815","0.307268752314933","5"
"Never","1986","Rhineland-Palatinate,Saarland","Not Employed","203","0.702138329640698","0.651474901446508","0.752801757834889","5"
"Never","1986","Rhineland-Palatinate,Saarland","Employed","171","0.364022363678713","0.319811668135374","0.408233059222052","5"
"Never","1986","Baden-Württemberg","Not Employed","403","0.720541905495871","0.685694829422985","0.755388981568757","5"
"Never","1986","Baden-Württemberg","Employed","614","0.40018986597603","0.374103211473442","0.426276520478618","5"
"Never","1986","Bavaria","Not Employed","358","0.679077596284678","0.641150786087244","0.717004406482113","5"
"Never","1986","Bavaria","Employed","420","0.323332194327565","0.296700355872605","0.349964032782526","5"
"Never","1986","Berlin","Not Employed","63","0.65914947338181","0.570571510566142","0.747727436197478","5"
"Never","1986","Berlin","Employed","68","0.244091010621319","0.189859685357005","0.298322335885634","5"
"Never","1986","Brandenburg","Not Employed","","","","","5"
"Rarely","1986","Schleswig-Holstein","Employed","101","0.498675026389605","0.431685071734614","0.565664981044595","4"
"Rarely","1986","Hamburg","Not Employed","20","","","","4"
"Rarely","1986","North Rhine-Westphalia","Employed","642","0.384408530600475","0.361291143833476","0.407525917367473","4"
"Rarely","1986","Hesse","Not Employed","93","0.202403542986945","0.162111705572399","0.242695380401491","4"
"Rarely","1986","Baden-Württemberg","Employed","432","0.364388308371245","0.338763737626849","0.390012879115642","4"
"Rarely","1986","Bavaria","Not Employed","123","0.191684505802128","0.15970508783108","0.223663923773177","4"
"Rarely","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Rarely","1986","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Rarely","1986","Saxony","Not Employed","","","","","4"
"Rarely","1986","Hamburg","Employed","63","0.469472576621509","0.389606657351601","0.549338495891416","4"
"Rarely","1986","Lower Saxony","Not Employed","142","0.263498824992077","0.22324146987033","0.303756180113824","4"
"Rarely","1986","North Rhine-Westphalia","Not Employed","244","0.188856840986823","0.166196267451738","0.211517414521907","4"
"Rarely","1986","Hesse","Employed","249","0.409384665227679","0.372067957689096","0.446701372766262","4"
"Rarely","1986","Rhineland-Palatinate,Saarland","Not Employed","71","0.198611369078476","0.154413679912569","0.242809058244382","4"
"Rarely","1986","Rhineland-Palatinate,Saarland","Employed","164","0.366005683329224","0.321743891667211","0.410267474991237","4"
"Rarely","1986","Baden-Württemberg","Not Employed","113","0.132862273872431","0.106503618256691","0.159220929488172","4"
"Rarely","1986","Saxony","Employed","","","","","4"
"Rarely","1986","Saxony-Anhalt","Not Employed","","","","","4"
"Rarely","1986","Lower Saxony","Employed","288","0.449614151587857","0.411164162576851","0.488064140598864","4"
"Rarely","1986","Bremen","Not Employed","8","","","","4"
"Rarely","1986","Bremen","Employed","19","","","","4"
"Rarely","1986","Saxony-Anhalt","Employed","","","","","4"
"Rarely","1986","Thuringia","Not Employed","","","","","4"
"Rarely","1986","Thuringia","Employed","","","","","4"
"Rarely","1986","Schleswig-Holstein","Not Employed","29","","","","4"
"Rarely","1986","Brandenburg","Employed","","","","","4"
"Rarely","1986","Bavaria","Employed","398","0.353353873228428","0.32613769224838","0.380570054208477","4"
"Rarely","1986","Berlin","Not Employed","27","","","","4"
"Rarely","1986","Berlin","Employed","95","0.398951345104925","0.337127736443699","0.460774953766151","4"
"Rarely","1986","Brandenburg","Not Employed","","","","","4"
"Daily","1987","Schleswig-Holstein","Not Employed","","","","","1"
"Daily","1987","Schleswig-Holstein","Employed","","","","","1"
"Daily","1987","Hamburg","Not Employed","","","","","1"
"Daily","1987","Hamburg","Employed","","","","","1"
"Daily","1987","Lower Saxony","Not Employed","","","","","1"
"Daily","1987","Lower Saxony","Employed","","","","","1"
"Daily","1987","Bremen","Not Employed","","","","","1"
"Daily","1987","Bremen","Employed","","","","","1"
"Daily","1987","North Rhine-Westphalia","Not Employed","","","","","1"
"Daily","1987","North Rhine-Westphalia","Employed","","","","","1"
"Daily","1987","Hesse","Not Employed","","","","","1"
"Daily","1987","Hesse","Employed","","","","","1"
"Daily","1987","Rhineland-Palatinate,Saarland","Not Employed","","","","","1"
"Daily","1987","Rhineland-Palatinate,Saarland","Employed","","","","","1"
"Daily","1987","Baden-Württemberg","Not Employed","","","","","1"
"Daily","1987","Baden-Württemberg","Employed","","","","","1"
"Daily","1987","Bavaria","Not Employed","","","","","1"
"Daily","1987","Bavaria","Employed","","","","","1"
"Daily","1987","Berlin","Not Employed","","","","","1"
"Daily","1987","Berlin","Employed","","","","","1"
"Daily","1987","Brandenburg","Not Employed","","","","","1"
"Daily","1987","Brandenburg","Employed","","","","","1"
"Daily","1987","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Daily","1987","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Daily","1987","Saxony","Not Employed","","","","","1"
"Daily","1987","Saxony","Employed","","","","","1"
"Daily","1987","Saxony-Anhalt","Not Employed","","","","","1"
"Daily","1987","Saxony-Anhalt","Employed","","","","","1"
"Daily","1987","Thuringia","Not Employed","","","","","1"
"Daily","1987","Thuringia","Employed","","","","","1"
"Min 1x per month","1987","Schleswig-Holstein","Employed","","","","","3"
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Min 1x per month","1987","Saxony","Not Employed","","","","","3"
"Min 1x per month","1987","Saxony","Employed","","","","","3"
"Min 1x per month","1987","Hamburg","Not Employed","","","","","3"
"Min 1x per month","1987","Hamburg","Employed","","","","","3"
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Min 1x per month","1987","Schleswig-Holstein","Not Employed","","","","","3"
"Min 1x per month","1987","Brandenburg","Employed","","","","","3"
"Min 1x per month","1987","Saxony-Anhalt","Not Employed","","","","","3"
"Min 1x per month","1987","Lower Saxony","Not Employed","","","","","3"
"Min 1x per month","1987","Lower Saxony","Employed","","","","","3"
"Min 1x per month","1987","Bremen","Not Employed","","","","","3"
"Min 1x per month","1987","Bremen","Employed","","","","","3"
"Min 1x per month","1987","North Rhine-Westphalia","Not Employed","","","","","3"
"Min 1x per month","1987","North Rhine-Westphalia","Employed","","","","","3"
"Min 1x per month","1987","Hesse","Not Employed","","","","","3"
"Min 1x per month","1987","Hesse","Employed","","","","","3"
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Not Employed","","","","","3"
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Employed","","","","","3"
"Min 1x per month","1987","Baden-Württemberg","Not Employed","","","","","3"
"Min 1x per month","1987","Baden-Württemberg","Employed","","","","","3"
"Min 1x per month","1987","Bavaria","Not Employed","","","","","3"
"Min 1x per month","1987","Bavaria","Employed","","","","","3"
"Min 1x per month","1987","Berlin","Not Employed","","","","","3"
"Min 1x per month","1987","Berlin","Employed","","","","","3"
"Min 1x per month","1987","Brandenburg","Not Employed","","","","","3"
"Min 1x per month","1987","Saxony-Anhalt","Employed","","","","","3"
"Min 1x per month","1987","Thuringia","Not Employed","","","","","3"
"Min 1x per month","1987","Thuringia","Employed","","","","","3"
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Min 1x per week","1987","Saxony","Not Employed","","","","","2"
"Min 1x per week","1987","Saxony","Employed","","","","","2"
"Min 1x per week","1987","Saxony-Anhalt","Not Employed","","","","","2"
"Min 1x per week","1987","Saxony-Anhalt","Employed","","","","","2"
"Min 1x per week","1987","Thuringia","Not Employed","","","","","2"
"Min 1x per week","1987","Thuringia","Employed","","","","","2"
"Min 1x per week","1987","Schleswig-Holstein","Not Employed","","","","","2"
