"pli0091_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Saxony-Anhalt","West Germany","","","",""
"Min 1x per week","1985","Saxony-Anhalt","East Germany","","","",""
"Min 1x per week","1985","Thuringia","West Germany","","","",""
"Min 1x per week","1985","Thuringia","East Germany","","","",""
"Min 1x per month","1985","Schleswig-Holstein","West Germany","45","0.126998455419558","0.0921646229873526","0.161832287851764"
"Min 1x per month","1985","Schleswig-Holstein","East Germany","","","",""
"Min 1x per month","1985","Hamburg","West Germany","48","0.157065520085822","0.11413848555287","0.199992554618773"
"Min 1x per month","1985","Hamburg","East Germany","","","",""
"Min 1x per month","1985","Lower Saxony","West Germany","142","0.122209163641162","0.102783128090659","0.141635199191664"
"Min 1x per month","1985","Lower Saxony","East Germany","","","",""
"Min 1x per month","1985","Bremen","West Germany","12","","",""
"Min 1x per month","1985","Bremen","East Germany","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","West Germany","383","0.128746349720327","0.116648199972262","0.140844499468391"
"Min 1x per month","1985","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per month","1985","Hesse","West Germany","148","0.12929741792466","0.109638351504715","0.148956484344604"
"Min 1x per month","1985","Hesse","East Germany","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","West Germany","103","0.128915513052244","0.10509100041596","0.152740025688527"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per month","1985","Baden-Württemberg","West Germany","261","0.132898397872373","0.118174761296727","0.14762203444802"
"Min 1x per month","1985","Baden-Württemberg","East Germany","","","",""
"Min 1x per month","1985","Bavaria","West Germany","270","0.129183283933964","0.11409804659452","0.144268521273407"
"Min 1x per month","1985","Bavaria","East Germany","","","",""
"Min 1x per month","1985","Berlin","West Germany","57","0.166805170255678","0.128664080627462","0.204946259883893"
"Min 1x per month","1985","Berlin","East Germany","","","",""
"Min 1x per month","1985","Brandenburg","West Germany","","","",""
"Min 1x per month","1985","Brandenburg","East Germany","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per month","1985","Saxony","West Germany","","","",""
"Min 1x per month","1985","Saxony","East Germany","","","",""
"Min 1x per month","1985","Saxony-Anhalt","West Germany","","","",""
"Min 1x per month","1985","Saxony-Anhalt","East Germany","","","",""
"Min 1x per month","1985","Thuringia","West Germany","","","",""
"Min 1x per month","1985","Thuringia","East Germany","","","",""
"Rarely","1985","Schleswig-Holstein","West Germany","137","0.361116686437096","0.310867494315274","0.411365878558918"
"Rarely","1985","Schleswig-Holstein","East Germany","","","",""
"Rarely","1985","Hamburg","West Germany","79","0.28614633130022","0.23282607369063","0.339466588909809"
"Rarely","1985","Hamburg","East Germany","","","",""
"Rarely","1985","Lower Saxony","West Germany","416","0.360885718495498","0.332401068928064","0.389370368062932"
"Rarely","1985","Lower Saxony","East Germany","","","",""
"Rarely","1985","Bremen","West Germany","41","0.319277550100124","0.234071899121928","0.404483201078319"
"Rarely","1985","Bremen","East Germany","","","",""
"Rarely","1985","North Rhine-Westphalia","West Germany","929","0.310813981878158","0.294095467199668","0.327532496556647"
"Rarely","1985","North Rhine-Westphalia","East Germany","","","",""
"Rarely","1985","Hesse","West Germany","357","0.326864864293812","0.299381601061879","0.354348127525744"
"Rarely","1985","Hesse","East Germany","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","West Germany","227","0.279666424700911","0.247756315597734","0.311576533804088"
"Rarely","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","1985","Baden-Württemberg","West Germany","566","0.283245469320097","0.263702662841884","0.302788275798311"
"Rarely","1985","Baden-Württemberg","East Germany","","","",""
"Rarely","1985","Bavaria","West Germany","590","0.297008535286698","0.276456960785934","0.317560109787461"
"Rarely","1985","Bavaria","East Germany","","","",""
"Rarely","1985","Berlin","West Germany","127","0.302700004561471","0.255696406503596","0.349703602619346"
"Rarely","1985","Berlin","East Germany","","","",""
"Rarely","1985","Brandenburg","West Germany","","","",""
"Rarely","1985","Brandenburg","East Germany","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","1985","Saxony","West Germany","","","",""
"Rarely","1985","Saxony","East Germany","","","",""
"Rarely","1985","Saxony-Anhalt","West Germany","","","",""
"Rarely","1985","Saxony-Anhalt","East Germany","","","",""
"Rarely","1985","Thuringia","West Germany","","","",""
"Rarely","1985","Thuringia","East Germany","","","",""
"Never","1985","Schleswig-Holstein","West Germany","129","0.402532157421833","0.351228055357392","0.453836259486274"
"Never","1985","Schleswig-Holstein","East Germany","","","",""
"Never","1985","Hamburg","West Germany","126","0.472286004716066","0.413388703621102","0.531183305811031"
"Never","1985","Hamburg","East Germany","","","",""
"Never","1985","Lower Saxony","West Germany","421","0.416507088793088","0.387267870164769","0.445746307421407"
"Never","1985","Lower Saxony","East Germany","","","",""
"Never","1985","Bremen","West Germany","57","0.571413018434227","0.480966110648668","0.661859926219787"
"Never","1985","Bremen","East Germany","","","",""
"Never","1985","North Rhine-Westphalia","West Germany","1393","0.483009894603799","0.464959017160575","0.501060772047023"
"Never","1985","North Rhine-Westphalia","East Germany","","","",""
"Never","1985","Hesse","West Germany","487","0.426925860372524","0.397944772450084","0.455906948294963"
"Never","1985","Hesse","East Germany","","","",""
"Never","1985","Rhineland-Palatinate,Saarland","West Germany","368","0.515276797138898","0.479745710240929","0.550807884036868"
"Never","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","1985","Baden-Württemberg","West Germany","1017","0.502276824896234","0.480590511794149","0.523963137998319"
"Never","1985","Baden-Württemberg","East Germany","","","",""
"Never","1985","Bavaria","West Germany","841","0.471559919823113","0.44910808046841","0.494011759177817"
"Never","1985","Bavaria","East Germany","","","",""
"Never","1985","Berlin","West Germany","146","0.424872622149326","0.374298721236109","0.475446523062542"
"Never","1985","Berlin","East Germany","","","",""
"Never","1985","Brandenburg","West Germany","","","",""
"Never","1985","Brandenburg","East Germany","","","",""
"Never","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","1985","Saxony","West Germany","","","",""
"Never","1985","Saxony","East Germany","","","",""
"Never","1985","Saxony-Anhalt","West Germany","","","",""
"Never","1985","Saxony-Anhalt","East Germany","","","",""
"Never","1985","Thuringia","West Germany","","","",""
"Never","1985","Thuringia","East Germany","","","",""
"Daily","1986","Schleswig-Holstein","West Germany","","","",""
"Daily","1986","Schleswig-Holstein","East Germany","","","",""
"Daily","1986","Hamburg","West Germany","","","",""
"Daily","1986","Hamburg","East Germany","","","",""
"Daily","1986","Lower Saxony","West Germany","","","",""
"Daily","1986","Lower Saxony","East Germany","","","",""
"Daily","1986","Bremen","West Germany","","","",""
"Daily","1986","Bremen","East Germany","","","",""
"Daily","1986","North Rhine-Westphalia","West Germany","","","",""
"Daily","1986","North Rhine-Westphalia","East Germany","","","",""
"Daily","1986","Hesse","West Germany","","","",""
"Daily","1986","Hesse","East Germany","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1986","Baden-Württemberg","West Germany","","","",""
"Daily","1986","Baden-Württemberg","East Germany","","","",""
"Daily","1986","Bavaria","West Germany","","","",""
"Daily","1986","Bavaria","East Germany","","","",""
"Daily","1986","Berlin","West Germany","","","",""
"Daily","1986","Berlin","East Germany","","","",""
"Daily","1986","Brandenburg","West Germany","","","",""
"Daily","1986","Brandenburg","East Germany","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Daily","1986","Saxony","West Germany","","","",""
"Daily","1986","Saxony","East Germany","","","",""
"Daily","1986","Saxony-Anhalt","West Germany","","","",""
"Daily","1986","Saxony-Anhalt","East Germany","","","",""
"Daily","1986","Thuringia","West Germany","","","",""
"Daily","1986","Thuringia","East Germany","","","",""
"Min 1x per week","1986","Schleswig-Holstein","West Germany","33","0.0932695537155287","0.0614565538560728","0.125082553574984"
"Min 1x per week","1986","Schleswig-Holstein","East Germany","","","",""
"Min 1x per week","1986","Hamburg","West Germany","14","","",""
"Min 1x per week","1986","Hamburg","East Germany","","","",""
"Min 1x per week","1986","Lower Saxony","West Germany","117","0.109438630733291","0.0910148996343993","0.127862361832182"
"Min 1x per week","1986","Lower Saxony","East Germany","","","",""
"Min 1x per week","1986","Bremen","West Germany","4","","",""
"Min 1x per week","1986","Bremen","East Germany","","","",""
"Min 1x per week","1986","North Rhine-Westphalia","West Germany","231","0.0788639082542374","0.0689634475407066","0.0887643689677683"
"Min 1x per week","1986","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per week","1986","Hesse","West Germany","108","0.103524888878962","0.085089519158086","0.121960258599838"
"Min 1x per week","1986","Hesse","East Germany","","","",""
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","West Germany","69","0.0826550652184845","0.0631804649991427","0.102129665437826"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per week","1986","Baden-Württemberg","West Germany","179","0.0783994855645806","0.0665954262070133","0.0902035449221479"
"Min 1x per week","1986","Baden-Württemberg","East Germany","","","",""
"Min 1x per week","1986","Bavaria","West Germany","178","0.0937048906402675","0.0801171964613591","0.107292584819176"
"Min 1x per week","1986","Bavaria","East Germany","","","",""
"Min 1x per week","1986","Berlin","West Germany","37","0.10173116917045","0.0701065928569883","0.133355745483912"
"Min 1x per week","1986","Berlin","East Germany","","","",""
"Min 1x per week","1986","Brandenburg","West Germany","","","",""
"Min 1x per week","1986","Brandenburg","East Germany","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per week","1986","Saxony","West Germany","","","",""
"Min 1x per week","1986","Saxony","East Germany","","","",""
"Min 1x per week","1986","Saxony-Anhalt","West Germany","","","",""
"Min 1x per week","1986","Saxony-Anhalt","East Germany","","","",""
"Min 1x per week","1986","Thuringia","West Germany","","","",""
"Min 1x per week","1986","Thuringia","East Germany","","","",""
"Min 1x per month","1986","Schleswig-Holstein","West Germany","39","0.129742529954312","0.092983788304723","0.166501271603901"
"Min 1x per month","1986","Schleswig-Holstein","East Germany","","","",""
"Min 1x per month","1986","Hamburg","West Germany","46","0.176870747121141","0.129667350152775","0.224074144089508"
"Min 1x per month","1986","Hamburg","East Germany","","","",""
"Min 1x per month","1986","Lower Saxony","West Germany","150","0.123193230814577","0.103797519819271","0.142588941809883"
"Min 1x per month","1986","Lower Saxony","East Germany","","","",""
"Min 1x per month","1986","Bremen","West Germany","16","","",""
"Min 1x per month","1986","Bremen","East Germany","","","",""
"Min 1x per month","1986","North Rhine-Westphalia","West Germany","435","0.146757154923277","0.133758742067109","0.159755567779445"
"Min 1x per month","1986","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per month","1986","Hesse","West Germany","147","0.137383426759678","0.116551165269418","0.158215688249939"
"Min 1x per month","1986","Hesse","East Germany","","","",""
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","West Germany","90","0.108338027208444","0.0863564897430312","0.130319564673857"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per month","1986","Baden-Württemberg","West Germany","251","0.123331088968993","0.108891410930678","0.137770767007308"
"Min 1x per month","1986","Baden-Württemberg","East Germany","","","",""
"Min 1x per month","1986","Bavaria","West Germany","290","0.153577039923424","0.13676630576533","0.170387774081517"
"Min 1x per month","1986","Bavaria","East Germany","","","",""
"Min 1x per month","1986","Berlin","West Germany","61","0.168361078369545","0.129215493564102","0.207506663174988"
"Min 1x per month","1986","Berlin","East Germany","","","",""
"Min 1x per month","1986","Brandenburg","West Germany","","","",""
"Min 1x per month","1986","Brandenburg","East Germany","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per month","1986","Saxony","West Germany","","","",""
"Min 1x per month","1986","Saxony","East Germany","","","",""
"Min 1x per month","1986","Saxony-Anhalt","West Germany","","","",""
"Min 1x per month","1986","Saxony-Anhalt","East Germany","","","",""
"Min 1x per month","1986","Thuringia","West Germany","","","",""
"Min 1x per month","1986","Thuringia","East Germany","","","",""
"Rarely","1986","Schleswig-Holstein","West Germany","130","0.411868285270899","0.358027417588669","0.465709152953129"
"Rarely","1986","Schleswig-Holstein","East Germany","","","",""
"Rarely","1986","Hamburg","West Germany","83","0.341835338552654","0.283155759572027","0.40051491753328"
"Rarely","1986","Hamburg","East Germany","","","",""
"Rarely","1986","Lower Saxony","West Germany","430","0.363566237064589","0.335178634723765","0.391953839405414"
"Rarely","1986","Lower Saxony","East Germany","","","",""
"Rarely","1986","Bremen","West Germany","27","","",""
"Rarely","1986","Bremen","East Germany","","","",""
"Rarely","1986","North Rhine-Westphalia","West Germany","886","0.295414274816482","0.278655702563973","0.31217284706899"
"Rarely","1986","North Rhine-Westphalia","East Germany","","","",""
"Rarely","1986","Hesse","West Germany","342","0.317539876858876","0.289369145442414","0.345710608275339"
"Rarely","1986","Hesse","East Germany","","","",""
"Rarely","1986","Rhineland-Palatinate,Saarland","West Germany","235","0.288566108020008","0.256521318941819","0.320610897098197"
"Rarely","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","1986","Baden-Württemberg","West Germany","545","0.276571663154857","0.256928789522818","0.296214536786897"
"Rarely","1986","Baden-Württemberg","East Germany","","","",""
"Rarely","1986","Bavaria","West Germany","521","0.290017636593842","0.268860065878378","0.311175207309306"
"Rarely","1986","Bavaria","East Germany","","","",""
"Rarely","1986","Berlin","West Germany","122","0.324611523632732","0.275627627841078","0.373595419424386"
"Rarely","1986","Berlin","East Germany","","","",""
"Rarely","1986","Brandenburg","West Germany","","","",""
"Rarely","1986","Brandenburg","East Germany","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","1986","Saxony","West Germany","","","",""
"Rarely","1986","Saxony","East Germany","","","",""
"Rarely","1986","Saxony-Anhalt","West Germany","","","",""
"Rarely","1986","Saxony-Anhalt","East Germany","","","",""
"Rarely","1986","Thuringia","West Germany","","","",""
"Rarely","1986","Thuringia","East Germany","","","",""
"Never","1986","Schleswig-Holstein","West Germany","119","0.36511963105926","0.312450140703796","0.417789121414725"
"Never","1986","Schleswig-Holstein","East Germany","","","",""
"Never","1986","Hamburg","West Germany","108","0.43671162909435","0.375353232620378","0.498070025568323"
"Never","1986","Hamburg","East Germany","","","",""
"Never","1986","Lower Saxony","West Germany","406","0.403801901387543","0.374845818714749","0.432757984060336"
"Never","1986","Lower Saxony","East Germany","","","",""
"Never","1986","Bremen","West Germany","62","0.662825336303151","0.574076665159637","0.751574007446664"
"Never","1986","Bremen","East Germany","","","",""
"Never","1986","North Rhine-Westphalia","West Germany","1295","0.478964662006004","0.460614509275865","0.497314814736142"
"Never","1986","North Rhine-Westphalia","East Germany","","","",""
"Never","1986","Hesse","West Germany","452","0.441551807502483","0.411501935588752","0.471601679416214"
"Never","1986","Hesse","East Germany","","","",""
"Never","1986","Rhineland-Palatinate,Saarland","West Germany","374","0.520440799553064","0.485108308112003","0.555773290994124"
"Never","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Never","1986","Baden-Württemberg","West Germany","1017","0.521697762311569","0.499761424913731","0.543634099709407"
"Never","1986","Baden-Württemberg","East Germany","","","",""
"Never","1986","Bavaria","West Germany","778","0.462700432842467","0.439452303429415","0.48594856225552"
"Never","1986","Bavaria","East Germany","","","",""
"Never","1986","Berlin","West Germany","131","0.405296228827273","0.35393550206813","0.456656955586416"
"Never","1986","Berlin","East Germany","","","",""
"Never","1986","Brandenburg","West Germany","","","",""
"Never","1986","Brandenburg","East Germany","","","",""
"Never","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Never","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Never","1986","Saxony","West Germany","","","",""
"Never","1986","Saxony","East Germany","","","",""
"Never","1986","Saxony-Anhalt","West Germany","","","",""
"Never","1986","Saxony-Anhalt","East Germany","","","",""
"Never","1986","Thuringia","West Germany","","","",""
"Never","1986","Thuringia","East Germany","","","",""
"Daily","1987","Schleswig-Holstein","West Germany","","","",""
"Daily","1987","Schleswig-Holstein","East Germany","","","",""
"Daily","1987","Hamburg","West Germany","","","",""
"Daily","1987","Hamburg","East Germany","","","",""
"Daily","1987","Lower Saxony","West Germany","","","",""
"Daily","1987","Lower Saxony","East Germany","","","",""
"Daily","1987","Bremen","West Germany","","","",""
"Daily","1987","Bremen","East Germany","","","",""
"Daily","1987","North Rhine-Westphalia","West Germany","","","",""
"Daily","1987","North Rhine-Westphalia","East Germany","","","",""
"Daily","1987","Hesse","West Germany","","","",""
"Daily","1987","Hesse","East Germany","","","",""
"Daily","1987","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Daily","1987","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1987","Baden-Württemberg","West Germany","","","",""
"Daily","1987","Baden-Württemberg","East Germany","","","",""
"Daily","1987","Bavaria","West Germany","","","",""
"Daily","1987","Bavaria","East Germany","","","",""
"Daily","1987","Berlin","West Germany","","","",""
"Daily","1987","Berlin","East Germany","","","",""
"Daily","1987","Brandenburg","West Germany","","","",""
"Daily","1987","Brandenburg","East Germany","","","",""
"Daily","1987","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","1987","Mecklenburg-Western Pomerania","East Germany","","","",""
"Daily","1987","Saxony","West Germany","","","",""
"Daily","1987","Saxony","East Germany","","","",""
"Daily","1987","Saxony-Anhalt","West Germany","","","",""
"Daily","1987","Saxony-Anhalt","East Germany","","","",""
"Daily","1987","Thuringia","West Germany","","","",""
"Daily","1987","Thuringia","East Germany","","","",""
"Min 1x per week","1987","Schleswig-Holstein","West Germany","","","",""
"Min 1x per week","1987","Schleswig-Holstein","East Germany","","","",""
"Min 1x per week","1987","Hamburg","West Germany","","","",""
"Min 1x per week","1987","Hamburg","East Germany","","","",""
"Min 1x per week","1987","Lower Saxony","West Germany","","","",""
"Min 1x per week","1987","Lower Saxony","East Germany","","","",""
"Min 1x per week","1987","Bremen","West Germany","","","",""
"Min 1x per week","1987","Bremen","East Germany","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","West Germany","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per week","1987","Hesse","West Germany","","","",""
"Min 1x per week","1987","Hesse","East Germany","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per week","1987","Baden-Württemberg","West Germany","","","",""
"Min 1x per week","1987","Baden-Württemberg","East Germany","","","",""
"Min 1x per week","1987","Bavaria","West Germany","","","",""
"Min 1x per week","1987","Bavaria","East Germany","","","",""
"Min 1x per week","1987","Berlin","West Germany","","","",""
"Min 1x per week","1987","Berlin","East Germany","","","",""
"Min 1x per week","1987","Brandenburg","West Germany","","","",""
"Min 1x per week","1987","Brandenburg","East Germany","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per week","1987","Saxony","West Germany","","","",""
"Min 1x per week","1987","Saxony","East Germany","","","",""
"Min 1x per week","1987","Saxony-Anhalt","West Germany","","","",""
"Min 1x per week","1987","Saxony-Anhalt","East Germany","","","",""
"Min 1x per week","1987","Thuringia","West Germany","","","",""
"Min 1x per week","1987","Thuringia","East Germany","","","",""
"Min 1x per month","1987","Schleswig-Holstein","West Germany","","","",""
"Min 1x per month","1987","Schleswig-Holstein","East Germany","","","",""
"Min 1x per month","1987","Hamburg","West Germany","","","",""
"Min 1x per month","1987","Hamburg","East Germany","","","",""
"Min 1x per month","1987","Lower Saxony","West Germany","","","",""
"Min 1x per month","1987","Lower Saxony","East Germany","","","",""
"Min 1x per month","1987","Bremen","West Germany","","","",""
"Min 1x per month","1987","Bremen","East Germany","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","West Germany","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per month","1987","Hesse","West Germany","","","",""
"Min 1x per month","1987","Hesse","East Germany","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per month","1987","Baden-Württemberg","West Germany","","","",""
"Min 1x per month","1987","Baden-Württemberg","East Germany","","","",""
"Min 1x per month","1987","Bavaria","West Germany","","","",""
"Min 1x per month","1987","Bavaria","East Germany","","","",""
"Min 1x per month","1987","Berlin","West Germany","","","",""
"Min 1x per month","1987","Berlin","East Germany","","","",""
"Min 1x per month","1987","Brandenburg","West Germany","","","",""
"Min 1x per month","1987","Brandenburg","East Germany","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per month","1987","Saxony","West Germany","","","",""
"Min 1x per month","1987","Saxony","East Germany","","","",""
"Min 1x per month","1987","Saxony-Anhalt","West Germany","","","",""
"Min 1x per month","1987","Saxony-Anhalt","East Germany","","","",""
"Min 1x per month","1987","Thuringia","West Germany","","","",""
"Min 1x per month","1987","Thuringia","East Germany","","","",""
"Rarely","1987","Schleswig-Holstein","West Germany","","","",""
"Rarely","1987","Schleswig-Holstein","East Germany","","","",""
"Rarely","1987","Hamburg","West Germany","","","",""
"Rarely","1987","Hamburg","East Germany","","","",""
"Rarely","1987","Lower Saxony","West Germany","","","",""
"Rarely","1987","Lower Saxony","East Germany","","","",""
"Rarely","1987","Bremen","West Germany","","","",""
"Rarely","1987","Bremen","East Germany","","","",""
"Rarely","1987","North Rhine-Westphalia","West Germany","","","",""
"Rarely","1987","North Rhine-Westphalia","East Germany","","","",""
"Rarely","1987","Hesse","West Germany","","","",""
"Rarely","1987","Hesse","East Germany","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Rarely","1987","Baden-Württemberg","West Germany","","","",""
"Rarely","1987","Baden-Württemberg","East Germany","","","",""
"Rarely","1987","Bavaria","West Germany","","","",""
"Rarely","1987","Bavaria","East Germany","","","",""
"Rarely","1987","Berlin","West Germany","","","",""
"Rarely","1987","Berlin","East Germany","","","",""
"Rarely","1987","Brandenburg","West Germany","","","",""
"Rarely","1987","Brandenburg","East Germany","","","",""
"Rarely","1987","Mecklenburg-Western Pomerania","West Germany","","","",""
"Rarely","1987","Mecklenburg-Western Pomerania","East Germany","","","",""
"Rarely","1987","Saxony","West Germany","","","",""
"Rarely","1987","Saxony","East Germany","","","",""
"Rarely","1987","Saxony-Anhalt","West Germany","","","",""
"Rarely","1987","Saxony-Anhalt","East Germany","","","",""
"Rarely","1987","Thuringia","West Germany","","","",""
"Rarely","1987","Thuringia","East Germany","","","",""
"Never","1987","Schleswig-Holstein","West Germany","","","",""
"Never","1987","Schleswig-Holstein","East Germany","","","",""
"Never","1987","Hamburg","West Germany","","","",""
"Never","1987","Hamburg","East Germany","","","",""
"Never","1987","Lower Saxony","West Germany","","","",""
"Never","1987","Lower Saxony","East Germany","","","",""
"Never","1987","Bremen","West Germany","","","",""
"Never","1987","Bremen","East Germany","","","",""
"Never","1987","North Rhine-Westphalia","West Germany","","","",""
"Never","1987","North Rhine-Westphalia","East Germany","","","",""
"Never","1987","Hesse","West Germany","","","",""
"Never","1987","Hesse","East Germany","","","",""
