"pli0091_h","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","2015","Male","","","","","1"
"Min 1x per month","2015","Female","2651","0.178559917055336","0.172329680388477","0.184790153722195","3"
"Min 1x per month","2015","Male","2375","0.204572960630055","0.197463441929715","0.211682479330395","3"
"Min 1x per week","2015","Female","443","0.0297139137467667","0.0269517180630515","0.0324761094304819","2"
"Min 1x per week","2015","Male","567","0.0494873854185949","0.0456649328273831","0.0533098380098067","2"
"Never","2015","Female","4232","0.331719670371548","0.324060361860753","0.339378978882343","5"
"Never","2015","Male","3513","0.286644329618853","0.278674653965682","0.294614005272024","5"
"Rarely","2015","Female","7190","0.460006498826349","0.451898739257196","0.468114258395502","4"
"Rarely","2015","Male","5912","0.459295324332497","0.450512342481914","0.468078306183081","4"
"Daily","2016","Female","","","","","1"
"Daily","2016","Male","","","","","1"
"Min 1x per month","2016","Female","","","","","3"
"Min 1x per month","2016","Male","","","","","3"
"Min 1x per week","2016","Male","","","","","2"
"Min 1x per week","2016","Female","","","","","2"
"Never","2016","Male","","","","","5"
"Never","2016","Female","","","","","5"
"Rarely","2016","Male","","","","","4"
"Rarely","2016","Female","","","","","4"
"Daily","2017","Female","","","","","1"
"Daily","2017","Male","6","","","","1"
"Min 1x per month","2017","Female","3188","0.207242837781491","0.201068271342975","0.213417404220006","3"
"Min 1x per month","2017","Male","3091","0.229083997608409","0.222502489993621","0.235665505223198","3"
"Min 1x per week","2017","Male","751","0.0559970794110714","0.0523963222056767","0.0595978366164661","2"
"Min 1x per week","2017","Female","485","0.0300188403299187","0.0274194277257444","0.0326182529340931","2"
"Never","2017","Male","5254","0.260392216394814","0.2535193291848","0.267265103604828","5"
"Never","2017","Female","5592","0.313510054186716","0.306442983379716","0.320577124993716","5"
"Rarely","2017","Male","6560","0.454489164323062","0.4466910797902","0.462287248855924","4"
"Rarely","2017","Female","7289","0.449228267701875","0.441650941654382","0.456805593749368","4"
"Daily","2018","Female","4","","","","1"
"Daily","2018","Male","8","","","","1"
"Min 1x per month","2018","Male","277","0.158541092918606","0.143854797744174","0.173227388093037","3"
"Min 1x per month","2018","Female","82","0.0683199074598565","0.0553918590218835","0.0812479558978296","3"
"Min 1x per week","2018","Male","65","0.035642956883467","0.0281882484206641","0.04309766534627","2"
"Min 1x per week","2018","Female","14","","","","2"
"Never","2018","Male","1517","0.573616981379295","0.553731513094971","0.593502449663619","5"
"Never","2018","Female","1119","0.746088200524701","0.723785243094823","0.76839115795458","5"
"Rarely","2018","Female","244","0.175971094849403","0.156458374561057","0.195483815137749","4"
"Rarely","2018","Male","509","0.230300735687732","0.213371666838102","0.247229804537362","4"
"Daily","2019","Female","12","","","","1"
"Daily","2019","Male","7","","","","1"
"Min 1x per month","2019","Male","2850","0.214700233065088","0.208019587237374","0.221380878892802","3"
"Min 1x per month","2019","Female","2947","0.202547270736551","0.196089368204644","0.209005173268457","3"
"Min 1x per week","2019","Male","295","0.0204483446290265","0.0181456984738135","0.0227509907842395","2"
"Min 1x per week","2019","Female","293","0.019254191262653","0.0170461016992628","0.0214622808260431","2"
"Never","2019","Male","4956","0.303437828391649","0.295957868663085","0.310917788120213","5"
"Never","2019","Female","4908","0.337134311991512","0.329538222702454","0.34473040128057","5"
"Rarely","2019","Female","6718","0.439954184665924","0.43197807129099","0.447930298040857","4"
"Rarely","2019","Male","6404","0.461092060459246","0.45298178566698","0.469202335251513","4"
