"pli0091_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1986","(Married) couple without C. ","Rural Area","127","0.265921018121117","0.224638186333262","0.307203849908973","4"
"Rarely","1986","Couple + C. LE and GT 16","Rural Area","109","0.361910558916446","0.308842375658277","0.414978742174615","4"
"Rarely","1986","Single parent ","Urban Area","117","0.296697252920039","0.251477001044972","0.341917504795105","4"
"Rarely","1986","Couple + C. LE 16 ","Urban Area","824","0.481704569929583","0.459266800854069","0.504142339005097","4"
"Rarely","1986","Single parent ","Rural Area","33","0.280116835968469","0.198043934818721","0.362189737118217","4"
"Rarely","1986","Couple + C. LE 16 ","Rural Area","220","0.493129073302736","0.448952244789827","0.537305901815645","4"
"Rarely","1986","Couple + C. GT 16 ","Urban Area","488","0.301322259200758","0.279342424332426","0.323302094069091","4"
"Rarely","1986","Couple + C. LE and GT 16","Urban Area","306","0.333219357083816","0.30508122179558","0.361357492372052","4"
"Rarely","1986","Couple + C. GT 16 ","Rural Area","129","0.299851152321456","0.25613520280045","0.343567101842461","4"
"Daily","1987","1-pers.-HH","Urban Area","","","","","1"
"Daily","1987","1-pers.-HH","Rural Area","","","","","1"
"Daily","1987","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1987","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1987","Single parent ","Urban Area","","","","","1"
"Daily","1987","Single parent ","Rural Area","","","","","1"
"Daily","1987","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1987","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1987","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1987","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1987","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1987","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1987","(Married) couple without C. ","Urban Area","","","","","3"
"Min 1x per month","1987","1-pers.-HH","Urban Area","","","","","3"
"Min 1x per month","1987","1-pers.-HH","Rural Area","","","","","3"
"Min 1x per month","1987","(Married) couple without C. ","Rural Area","","","","","3"
"Min 1x per month","1987","Single parent ","Urban Area","","","","","3"
"Min 1x per month","1987","Single parent ","Rural Area","","","","","3"
"Min 1x per month","1987","Couple + C. LE 16 ","Urban Area","","","","","3"
"Min 1x per month","1987","Couple + C. LE 16 ","Rural Area","","","","","3"
"Min 1x per month","1987","Couple + C. GT 16 ","Urban Area","","","","","3"
"Min 1x per month","1987","Couple + C. GT 16 ","Rural Area","","","","","3"
"Min 1x per month","1987","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Min 1x per month","1987","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Min 1x per week","1987","1-pers.-HH","Urban Area","","","","","2"
"Min 1x per week","1987","1-pers.-HH","Rural Area","","","","","2"
"Min 1x per week","1987","(Married) couple without C. ","Urban Area","","","","","2"
"Min 1x per week","1987","Single parent ","Urban Area","","","","","2"
"Min 1x per week","1987","(Married) couple without C. ","Rural Area","","","","","2"
"Min 1x per week","1987","Single parent ","Rural Area","","","","","2"
"Min 1x per week","1987","Couple + C. LE 16 ","Urban Area","","","","","2"
"Min 1x per week","1987","Couple + C. LE 16 ","Rural Area","","","","","2"
"Min 1x per week","1987","Couple + C. GT 16 ","Urban Area","","","","","2"
"Min 1x per week","1987","Couple + C. GT 16 ","Rural Area","","","","","2"
"Min 1x per week","1987","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Min 1x per week","1987","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Never","1987","Single parent ","Rural Area","","","","","5"
"Never","1987","Single parent ","Urban Area","","","","","5"
"Never","1987","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","1987","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","1987","1-pers.-HH","Urban Area","","","","","5"
"Never","1987","(Married) couple without C. ","Urban Area","","","","","5"
"Never","1987","(Married) couple without C. ","Rural Area","","","","","5"
"Never","1987","1-pers.-HH","Rural Area","","","","","5"
"Never","1987","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","1987","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","1987","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","1987","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Rarely","1987","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely","1987","1-pers.-HH","Rural Area","","","","","4"
"Rarely","1987","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely","1987","1-pers.-HH","Urban Area","","","","","4"
"Rarely","1987","Single parent ","Urban Area","","","","","4"
"Rarely","1987","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely","1987","Single parent ","Rural Area","","","","","4"
"Rarely","1987","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely","1987","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely","1987","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely","1987","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Rarely","1987","Couple + C. GT 16 ","Rural Area","","","","","4"
"Daily","1988","1-pers.-HH","Urban Area","","","","","1"
"Daily","1988","1-pers.-HH","Rural Area","","","","","1"
"Daily","1988","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1988","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1988","Single parent ","Urban Area","","","","","1"
"Daily","1988","Single parent ","Rural Area","","","","","1"
"Daily","1988","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1988","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1988","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1988","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1988","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1988","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1988","1-pers.-HH","Rural Area","29","","","","3"
"Min 1x per month","1988","(Married) couple without C. ","Urban Area","236","0.109585334165852","0.0953240775754104","0.123846590756293","3"
"Min 1x per month","1988","1-pers.-HH","Urban Area","145","0.146449815624929","0.123221804114536","0.169677827135322","3"
"Min 1x per month","1988","(Married) couple without C. ","Rural Area","39","0.0752096666609144","0.0501363319249568","0.100283001396872","3"
"Min 1x per month","1988","Single parent ","Urban Area","91","0.228632748531704","0.18690037293434","0.270365124129067","3"
"Min 1x per month","1988","Single parent ","Rural Area","28","","","","3"
"Min 1x per month","1988","Couple + C. LE 16 ","Urban Area","161","0.0960999534538401","0.0822991988645336","0.109900708043147","3"
"Min 1x per month","1988","Couple + C. LE 16 ","Rural Area","58","0.128424482909969","0.0979172001598781","0.15893176566006","3"
"Min 1x per month","1988","Couple + C. GT 16 ","Urban Area","356","0.206397961240916","0.187516751129186","0.225279171352645","3"
"Min 1x per month","1988","Couple + C. GT 16 ","Rural Area","79","0.191274795841937","0.153615652014566","0.228933939669307","3"
"Min 1x per month","1988","Couple + C. LE and GT 16","Urban Area","171","0.215647337008281","0.188015417927196","0.243279256089366","3"
"Min 1x per month","1988","Couple + C. LE and GT 16","Rural Area","51","0.223807667804863","0.170518821885634","0.277096513724093","3"
"Min 1x per week","1988","(Married) couple without C. ","Urban Area","61","0.031726189909721","0.0237242833486018","0.0397280964708401","2"
"Min 1x per week","1988","1-pers.-HH","Urban Area","81","0.0776609100165368","0.0600776405082537","0.0952441795248199","2"
"Min 1x per week","1988","1-pers.-HH","Rural Area","10","","","","2"
"Min 1x per week","1988","(Married) couple without C. ","Rural Area","20","","","","2"
"Min 1x per week","1988","Single parent ","Urban Area","54","0.127716161942891","0.0945477153192562","0.160884608566526","2"
"Min 1x per week","1988","Single parent ","Rural Area","19","","","","2"
"Min 1x per week","1988","Couple + C. LE 16 ","Urban Area","50","0.0310869805760194","0.0229603090391392","0.0392136521128996","2"
"Min 1x per week","1988","Couple + C. LE 16 ","Rural Area","21","","","","2"
"Min 1x per week","1988","Couple + C. GT 16 ","Urban Area","276","0.145960468371142","0.129488998843327","0.162431937898957","2"
"Min 1x per week","1988","Couple + C. GT 16 ","Rural Area","75","0.170869849352351","0.134829818681225","0.206909880023477","2"
"Min 1x per week","1988","Couple + C. LE and GT 16","Urban Area","106","0.136329344464553","0.113275037776318","0.159383651152788","2"
"Min 1x per week","1988","Couple + C. LE and GT 16","Rural Area","44","0.183764699592922","0.134247863096933","0.23328153608891","2"
"Never","1988","Single parent ","Rural Area","37","0.340119940482326","0.255001597607489","0.425238283357162","5"
"Never","1988","Couple + C. LE 16 ","Urban Area","758","0.345073921475659","0.32281350672609","0.367334336225228","5"
"Never","1988","Couple + C. LE 16 ","Rural Area","164","0.297624171371681","0.2559328191208","0.339315523622562","5"
"Never","1988","1-pers.-HH","Urban Area","480","0.585598840919513","0.55323473061712","0.617962951221905","5"
"Never","1988","Single parent ","Urban Area","131","0.338173483211608","0.291160788236832","0.385186178186384","5"
"Never","1988","1-pers.-HH","Rural Area","104","0.660216713515949","0.588596153310519","0.731837273721378","5"
"Never","1988","(Married) couple without C. ","Urban Area","986","0.558095748766928","0.535423015939523","0.580768481594332","5"
"Never","1988","(Married) couple without C. ","Rural Area","239","0.615000906329248","0.568739230881025","0.661262581777471","5"
"Never","1988","Couple + C. GT 16 ","Urban Area","635","0.336731967398951","0.31468431043596","0.358779624361942","5"
"Never","1988","Couple + C. GT 16 ","Rural Area","142","0.33377152831161","0.288619494478104","0.378923562145115","5"
"Never","1988","Couple + C. LE and GT 16","Urban Area","372","0.370254997950685","0.33781236145582","0.402697634445549","5"
"Never","1988","Couple + C. LE and GT 16","Rural Area","72","0.277600109941303","0.220345189915271","0.334855029967336","5"
"Rarely","1988","1-pers.-HH","Urban Area","184","0.190290433439022","0.164501926394057","0.216078940483987","4"
"Rarely","1988","(Married) couple without C. ","Rural Area","127","0.270436541856553","0.228206856117817","0.312666227595288","4"
"Rarely","1988","1-pers.-HH","Rural Area","25","","","","4"
"Rarely","1988","(Married) couple without C. ","Urban Area","560","0.3005927271575","0.279659329200082","0.321526125114917","4"
"Rarely","1988","Single parent ","Urban Area","113","0.305477606313797","0.259704951052685","0.351250261574909","4"
"Rarely","1988","Single parent ","Rural Area","35","0.285424762156902","0.204283003651755","0.36656652066205","4"
"Rarely","1988","Couple + C. LE 16 ","Urban Area","783","0.527739144494481","0.504362527077458","0.551115761911504","4"
"Rarely","1988","Couple + C. LE 16 ","Rural Area","219","0.531372075132339","0.485869020809872","0.576875129454806","4"
"Rarely","1988","Couple + C. GT 16 ","Urban Area","498","0.310909602988991","0.289315712074348","0.332503493903634","4"
"Rarely","1988","Couple + C. LE and GT 16","Urban Area","202","0.277768320576481","0.247675497311706","0.307861143841257","4"
"Rarely","1988","Couple + C. LE and GT 16","Rural Area","68","0.314827522660912","0.25544611881427","0.374208926507553","4"
"Rarely","1988","Couple + C. GT 16 ","Rural Area","123","0.304083826494103","0.260036839583964","0.348130813404241","4"
"Daily","1989","1-pers.-HH","Urban Area","","","","","1"
"Daily","1989","1-pers.-HH","Rural Area","","","","","1"
"Daily","1989","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1989","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1989","Single parent ","Urban Area","","","","","1"
"Daily","1989","Single parent ","Rural Area","","","","","1"
"Daily","1989","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1989","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1989","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1989","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1989","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1989","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1989","1-pers.-HH","Rural Area","","","","","3"
"Min 1x per month","1989","(Married) couple without C. ","Urban Area","","","","","3"
"Min 1x per month","1989","1-pers.-HH","Urban Area","","","","","3"
"Min 1x per month","1989","(Married) couple without C. ","Rural Area","","","","","3"
"Min 1x per month","1989","Single parent ","Urban Area","","","","","3"
"Min 1x per month","1989","Single parent ","Rural Area","","","","","3"
"Min 1x per month","1989","Couple + C. LE 16 ","Urban Area","","","","","3"
"Min 1x per month","1989","Couple + C. LE 16 ","Rural Area","","","","","3"
"Min 1x per month","1989","Couple + C. GT 16 ","Urban Area","","","","","3"
"Min 1x per month","1989","Couple + C. GT 16 ","Rural Area","","","","","3"
"Min 1x per month","1989","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Min 1x per month","1989","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Min 1x per week","1989","1-pers.-HH","Urban Area","","","","","2"
"Min 1x per week","1989","1-pers.-HH","Rural Area","","","","","2"
"Min 1x per week","1989","(Married) couple without C. ","Urban Area","","","","","2"
"Min 1x per week","1989","(Married) couple without C. ","Rural Area","","","","","2"
"Min 1x per week","1989","Single parent ","Urban Area","","","","","2"
"Min 1x per week","1989","Single parent ","Rural Area","","","","","2"
"Min 1x per week","1989","Couple + C. LE 16 ","Urban Area","","","","","2"
"Min 1x per week","1989","Couple + C. LE 16 ","Rural Area","","","","","2"
"Min 1x per week","1989","Couple + C. GT 16 ","Urban Area","","","","","2"
"Min 1x per week","1989","Couple + C. GT 16 ","Rural Area","","","","","2"
"Min 1x per week","1989","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Min 1x per week","1989","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Never","1989","(Married) couple without C. ","Urban Area","","","","","5"
"Never","1989","1-pers.-HH","Urban Area","","","","","5"
"Never","1989","1-pers.-HH","Rural Area","","","","","5"
"Never","1989","(Married) couple without C. ","Rural Area","","","","","5"
"Never","1989","Single parent ","Urban Area","","","","","5"
"Never","1989","Single parent ","Rural Area","","","","","5"
"Never","1989","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","1989","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","1989","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","1989","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","1989","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","1989","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Rarely","1989","1-pers.-HH","Urban Area","","","","","4"
"Rarely","1989","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely","1989","1-pers.-HH","Rural Area","","","","","4"
"Rarely","1989","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely","1989","Single parent ","Urban Area","","","","","4"
"Rarely","1989","Single parent ","Rural Area","","","","","4"
"Rarely","1989","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely","1989","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely","1989","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely","1989","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely","1989","Couple + C. GT 16 ","Rural Area","","","","","4"
"Rarely","1989","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Daily","1990","1-pers.-HH","Urban Area","","","","","1"
"Daily","1990","1-pers.-HH","Rural Area","1","","","","1"
"Daily","1990","(Married) couple without C. ","Urban Area","1","","","","1"
"Daily","1990","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1990","Single parent ","Urban Area","2","","","","1"
"Daily","1990","Single parent ","Rural Area","1","","","","1"
"Daily","1990","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1990","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1990","Couple + C. GT 16 ","Urban Area","3","","","","1"
"Daily","1990","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","Urban Area","1","","","","1"
"Daily","1990","Couple + C. LE and GT 16","Rural Area","1","","","","1"
"Min 1x per month","1990","1-pers.-HH","Rural Area","28","","","","3"
"Min 1x per month","1990","1-pers.-HH","Urban Area","159","0.155823400846407","0.133433569673289","0.178213232019524","3"
"Min 1x per month","1990","(Married) couple without C. ","Urban Area","267","0.106334053074593","0.0933729484429541","0.119295157706232","3"
"Min 1x per month","1990","(Married) couple without C. ","Rural Area","89","0.0769249817366637","0.060868238713456","0.0929817247598714","3"
"Min 1x per month","1990","Single parent ","Urban Area","104","0.240772360015161","0.201869778556317","0.279674941474004","3"
"Min 1x per month","1990","Single parent ","Rural Area","34","0.213811781851466","0.154246736191623","0.273376827511309","3"
"Min 1x per month","1990","Couple + C. LE 16 ","Urban Area","221","0.094084602473837","0.0818573429174349","0.106311862030239","3"
"Min 1x per month","1990","Couple + C. LE 16 ","Rural Area","164","0.115113002980632","0.0979733479315057","0.132252658029758","3"
"Min 1x per month","1990","Couple + C. GT 16 ","Urban Area","356","0.179795320446092","0.162282142649014","0.19730849824317","3"
"Min 1x per month","1990","Couple + C. GT 16 ","Rural Area","163","0.154328632804569","0.132092811196665","0.176564454412473","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","Urban Area","146","0.172215721569755","0.146404582724257","0.198026860415254","3"
