"ple0182","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2018","Not Working","Couple + C. LE and GT 16","35","0.0519718790915152","0.0328382373007503","0.07110552088228"
"Yes, vegan","2018","Full Time","1-pers.-HH","15","","",""
"Yes, vegan","2018","Full Time","(Married) couple without C. ","15","","",""
"Yes, vegan","2018","Full Time","Single parent ","3","","",""
"Yes, vegan","2018","Full Time","Couple + C. LE 16 ","12","","",""
"Yes, vegan","2018","Full Time","Couple + C. GT 16 ","2","","",""
"Yes, vegan","2018","Full Time","Couple + C. LE and GT 16","2","","",""
"Yes, vegan","2018","Part Time","1-pers.-HH","16","","",""
"Yes, vegan","2018","Part Time","(Married) couple without C. ","10","","",""
"Yes, vegan","2018","Part Time","Single parent ","13","","",""
"Yes, vegan","2018","Part Time","Couple + C. LE 16 ","7","","",""
"Yes, vegan","2018","Part Time","Couple + C. GT 16 ","4","","",""
"Yes, vegan","2018","Part Time","Couple + C. LE and GT 16","5","","",""
"Yes, vegan","2018","Not Working","1-pers.-HH","15","","",""
"Yes, vegan","2018","Not Working","(Married) couple without C. ","13","","",""
"Yes, vegan","2018","Not Working","Single parent ","5","","",""
"Yes, vegan","2018","Not Working","Couple + C. LE 16 ","2","","",""
"Yes, vegan","2018","Not Working","Couple + C. GT 16 ","9","","",""
"Yes, vegan","2018","Not Working","Couple + C. LE and GT 16","8","","",""
"No","2018","Full Time","1-pers.-HH","1283","0.901005220421476","0.885471563144928","0.916538877698023"
"No","2018","Full Time","(Married) couple without C. ","2568","0.936945926759808","0.927819964363868","0.946071889155747"
"No","2018","Full Time","Single parent ","668","0.925330234871554","0.906249060693419","0.944411409049689"
"No","2018","Full Time","Couple + C. LE 16 ","2518","0.964998326460177","0.957966407441217","0.972030245479138"
"No","2018","Full Time","Couple + C. GT 16 ","1274","0.974452133031005","0.965888325981976","0.983015940080033"
"No","2018","Full Time","Couple + C. LE and GT 16","829","0.976081578422454","0.965899197178331","0.986263959666578"
"No","2018","Part Time","1-pers.-HH","760","0.846309291545017","0.822851154048374","0.869767429041659"
"No","2018","Part Time","(Married) couple without C. ","1545","0.924479938404023","0.911780577085773","0.937179299722272"
"No","2018","Part Time","Single parent ","757","0.91719953702824","0.898507649925805","0.935891424130675"
"No","2018","Part Time","Couple + C. LE 16 ","1984","0.931989764202634","0.921282869134714","0.942696659270553"
"No","2018","Part Time","Couple + C. GT 16 ","938","0.936548415602539","0.921492065388925","0.951604765816152"
"No","2018","Part Time","Couple + C. LE and GT 16","746","0.955926299441216","0.941764668018457","0.970087930863976"
"No","2018","Not Working","1-pers.-HH","1686","0.940267165317611","0.929306747180333","0.951227583454888"
"No","2018","Not Working","(Married) couple without C. ","3497","0.972680892688839","0.967366269705831","0.977995515671847"
"No","2018","Not Working","Single parent ","602","0.926773278810818","0.906792470819673","0.946754086801962"
"No","2018","Not Working","Couple + C. LE 16 ","688","0.973052697651607","0.96116687750908","0.984938517794133"
"No","2018","Not Working","Couple + C. GT 16 ","648","0.927235616284964","0.90797970912459","0.946491523445339"
"No","2018","Not Working","Couple + C. LE and GT 16","474","0.938191830667896","0.91743449619966","0.958949165136132"
