"ple0182","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2017","Hesse","Female","","","",""
"Yes, vegetarian","2017","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes, vegetarian","2017","Rhineland-Palatinate,Saarland","Female","","","",""
"Yes, vegetarian","2017","Baden-Württemberg","Male","","","",""
"Yes, vegetarian","2017","Baden-Württemberg","Female","","","",""
"Yes, vegetarian","2017","Bavaria","Male","","","",""
"Yes, vegetarian","2017","Bavaria","Female","","","",""
"Yes, vegetarian","2017","Berlin","Male","","","",""
"Yes, vegetarian","2017","Berlin","Female","","","",""
"Yes, vegetarian","2017","Brandenburg","Male","","","",""
"Yes, vegetarian","2017","Brandenburg","Female","","","",""
"Yes, vegetarian","2017","Mecklenburg-Western Pomerania","Male","","","",""
"Yes, vegetarian","2017","Mecklenburg-Western Pomerania","Female","","","",""
"Yes, vegetarian","2017","Saxony","Male","","","",""
"Yes, vegetarian","2017","Saxony","Female","","","",""
"Yes, vegetarian","2017","Saxony-Anhalt","Male","","","",""
"Yes, vegetarian","2017","Saxony-Anhalt","Female","","","",""
"Yes, vegetarian","2017","Thuringia","Male","","","",""
"Yes, vegetarian","2017","Thuringia","Female","","","",""
"Yes, vegan","2017","Schleswig-Holstein","Male","","","",""
"Yes, vegan","2017","Schleswig-Holstein","Female","","","",""
"Yes, vegan","2017","Hamburg","Male","","","",""
"Yes, vegan","2017","Hamburg","Female","","","",""
"Yes, vegan","2017","Lower Saxony","Male","","","",""
"Yes, vegan","2017","Lower Saxony","Female","","","",""
"Yes, vegan","2017","Bremen","Male","","","",""
"Yes, vegan","2017","Bremen","Female","","","",""
"Yes, vegan","2017","North Rhine-Westphalia","Male","","","",""
"Yes, vegan","2017","North Rhine-Westphalia","Female","","","",""
"Yes, vegan","2017","Hesse","Male","","","",""
"Yes, vegan","2017","Hesse","Female","","","",""
"Yes, vegan","2017","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes, vegan","2017","Rhineland-Palatinate,Saarland","Female","","","",""
"Yes, vegan","2017","Baden-Württemberg","Male","","","",""
"Yes, vegan","2017","Baden-Württemberg","Female","","","",""
"Yes, vegan","2017","Bavaria","Male","","","",""
"Yes, vegan","2017","Bavaria","Female","","","",""
"Yes, vegan","2017","Berlin","Male","","","",""
"Yes, vegan","2017","Berlin","Female","","","",""
"Yes, vegan","2017","Brandenburg","Male","","","",""
"Yes, vegan","2017","Brandenburg","Female","","","",""
"Yes, vegan","2017","Mecklenburg-Western Pomerania","Male","","","",""
"Yes, vegan","2017","Mecklenburg-Western Pomerania","Female","","","",""
"Yes, vegan","2017","Saxony","Male","","","",""
"Yes, vegan","2017","Saxony","Female","","","",""
"Yes, vegan","2017","Saxony-Anhalt","Male","","","",""
"Yes, vegan","2017","Saxony-Anhalt","Female","","","",""
"Yes, vegan","2017","Thuringia","Male","","","",""
"Yes, vegan","2017","Thuringia","Female","","","",""
"No","2017","Schleswig-Holstein","Male","","","",""
"No","2017","Schleswig-Holstein","Female","","","",""
"No","2017","Hamburg","Male","","","",""
"No","2017","Hamburg","Female","","","",""
"No","2017","Lower Saxony","Male","","","",""
"No","2017","Lower Saxony","Female","","","",""
"No","2017","Bremen","Male","","","",""
"No","2017","Bremen","Female","","","",""
"No","2017","North Rhine-Westphalia","Male","","","",""
"No","2017","North Rhine-Westphalia","Female","","","",""
"No","2017","Hesse","Male","","","",""
"No","2017","Hesse","Female","","","",""
"No","2017","Rhineland-Palatinate,Saarland","Male","","","",""
"No","2017","Rhineland-Palatinate,Saarland","Female","","","",""
"No","2017","Baden-Württemberg","Male","","","",""
"No","2017","Baden-Württemberg","Female","","","",""
"No","2017","Bavaria","Male","","","",""
"No","2017","Bavaria","Female","","","",""
"No","2017","Berlin","Male","","","",""
"No","2017","Berlin","Female","","","",""
"No","2017","Brandenburg","Male","","","",""
"No","2017","Brandenburg","Female","","","",""
"No","2017","Mecklenburg-Western Pomerania","Male","","","",""
"No","2017","Mecklenburg-Western Pomerania","Female","","","",""
"No","2017","Saxony","Male","","","",""
"No","2017","Saxony","Female","","","",""
"No","2017","Saxony-Anhalt","Male","","","",""
"No","2017","Saxony-Anhalt","Female","","","",""
"No","2017","Thuringia","Male","","","",""
"No","2017","Thuringia","Female","","","",""
"Yes, vegetarian","2018","Schleswig-Holstein","Male","8","","",""
"Yes, vegetarian","2018","Schleswig-Holstein","Female","37","0.0774642401524116","0.0541024383101318","0.100826041994691"
"Yes, vegetarian","2018","Hamburg","Male","7","","",""
"Yes, vegetarian","2018","Hamburg","Female","32","0.149189878196777","0.107081574380998","0.191298182012555"
"Yes, vegetarian","2018","Lower Saxony","Male","31","0.042428081027109","0.0309323779491074","0.0539237841051105"
"Yes, vegetarian","2018","Lower Saxony","Female","90","0.0616833311712556","0.0488831300742041","0.074483532268307"
"Yes, vegetarian","2018","Bremen","Male","4","","",""
"Yes, vegetarian","2018","Bremen","Female","18","","",""
"Yes, vegetarian","2018","North Rhine-Westphalia","Male","70","0.0289676110314157","0.0223747984933609","0.0355604235694706"
"Yes, vegetarian","2018","North Rhine-Westphalia","Female","221","0.0812303641350353","0.0713787960640595","0.0910819322060111"
"Yes, vegetarian","2018","Hesse","Male","33","0.02892012217223","0.0172856557787543","0.0405545885657058"
"Yes, vegetarian","2018","Hesse","Female","82","0.0671254981178317","0.0508758382600091","0.0833751579756542"
"Yes, vegetarian","2018","Rhineland-Palatinate,Saarland","Male","16","","",""
"Yes, vegetarian","2018","Rhineland-Palatinate,Saarland","Female","50","0.0807731250039912","0.0618556255709431","0.0996906244370393"
"Yes, vegetarian","2018","Baden-Württemberg","Male","52","0.0306960449007492","0.0212904117189164","0.0401016780825821"
"Yes, vegetarian","2018","Baden-Württemberg","Female","125","0.0715170423531154","0.0584938962147462","0.0845401884914846"
"Yes, vegetarian","2018","Bavaria","Male","43","0.0231983929026583","0.0162787563502678","0.0301180294550489"
"Yes, vegetarian","2018","Bavaria","Female","191","0.0755707864528815","0.0644628787610715","0.0866786941446916"
"Yes, vegetarian","2018","Berlin","Male","45","0.0770854268921495","0.0533962209676606","0.100774632816638"
"Yes, vegetarian","2018","Berlin","Female","86","0.177170048280255","0.144130081177745","0.210210015382765"
"Yes, vegetarian","2018","Brandenburg","Male","10","","",""
"Yes, vegetarian","2018","Brandenburg","Female","22","","",""
"Yes, vegetarian","2018","Mecklenburg-Western Pomerania","Male","2","","",""
"Yes, vegetarian","2018","Mecklenburg-Western Pomerania","Female","11","","",""
"Yes, vegetarian","2018","Saxony","Male","22","","",""
"Yes, vegetarian","2018","Saxony","Female","38","0.0490287384561056","0.0345805465057523","0.0634769304064589"
"Yes, vegetarian","2018","Saxony-Anhalt","Male","6","","",""
"Yes, vegetarian","2018","Saxony-Anhalt","Female","19","","",""
"Yes, vegetarian","2018","Thuringia","Male","6","","",""
"Yes, vegetarian","2018","Thuringia","Female","29","","",""
"Yes, vegan","2018","Schleswig-Holstein","Male","2","","",""
"Yes, vegan","2018","Schleswig-Holstein","Female","5","","",""
"Yes, vegan","2018","Hamburg","Male","1","","",""
"Yes, vegan","2018","Hamburg","Female","4","","",""
"Yes, vegan","2018","Lower Saxony","Male","5","","",""
"Yes, vegan","2018","Lower Saxony","Female","11","","",""
"Yes, vegan","2018","Bremen","Male","1","","",""
"Yes, vegan","2018","Bremen","Female","1","","",""
"Yes, vegan","2018","North Rhine-Westphalia","Male","8","","",""
"Yes, vegan","2018","North Rhine-Westphalia","Female","25","","",""
"Yes, vegan","2018","Hesse","Male","1","","",""
