"pgnation","year","sampreg","n","percent","lower_confidence","upper_confidence"
"56","1984","East Germany","","","",""
"59","1984","West Germany","","","",""
"59","1984","East Germany","","","",""
"60","1984","West Germany","","","",""
"60","1984","East Germany","","","",""
"61","1984","West Germany","","","",""
"61","1984","East Germany","","","",""
"64","1984","West Germany","","","",""
"64","1984","East Germany","","","",""
"65","1984","West Germany","","","",""
"65","1984","East Germany","","","",""
"66","1984","West Germany","","","",""
"66","1984","East Germany","","","",""
"67","1984","West Germany","","","",""
"67","1984","East Germany","","","",""
"68","1984","West Germany","","","",""
"68","1984","East Germany","","","",""
"71","1984","West Germany","","","",""
"71","1984","East Germany","","","",""
"72","1984","West Germany","","","",""
"72","1984","East Germany","","","",""
"73","1984","West Germany","","","",""
"73","1984","East Germany","","","",""
"74","1984","West Germany","","","",""
"74","1984","East Germany","","","",""
"75","1984","West Germany","","","",""
"75","1984","East Germany","","","",""
"76","1984","West Germany","","","",""
"76","1984","East Germany","","","",""
"77","1984","West Germany","","","",""
"77","1984","East Germany","","","",""
"78","1984","West Germany","","","",""
"78","1984","East Germany","","","",""
"79","1984","West Germany","","","",""
"79","1984","East Germany","","","",""
"80","1984","West Germany","","","",""
"80","1984","East Germany","","","",""
"81","1984","West Germany","","","",""
"81","1984","East Germany","","","",""
"82","1984","West Germany","","","",""
"82","1984","East Germany","","","",""
"83","1984","West Germany","","","",""
"83","1984","East Germany","","","",""
"84","1984","West Germany","","","",""
"84","1984","East Germany","","","",""
"85","1984","West Germany","","","",""
"85","1984","East Germany","","","",""
"86","1984","West Germany","","","",""
"86","1984","East Germany","","","",""
"89","1984","West Germany","","","",""
"89","1984","East Germany","","","",""
"90","1984","West Germany","","","",""
"90","1984","East Germany","","","",""
"92","1984","West Germany","","","",""
"92","1984","East Germany","","","",""
"94","1984","West Germany","","","",""
"94","1984","East Germany","","","",""
"95","1984","West Germany","","","",""
"95","1984","East Germany","","","",""
"96","1984","West Germany","","","",""
"96","1984","East Germany","","","",""
"97","1984","West Germany","","","",""
"97","1984","East Germany","","","",""
"98","1984","West Germany","10","","",""
"98","1984","East Germany","","","",""
"101","1984","West Germany","","","",""
"101","1984","East Germany","","","",""
"102","1984","West Germany","","","",""
"102","1984","East Germany","","","",""
"103","1984","West Germany","","","",""
"103","1984","East Germany","","","",""
"105","1984","West Germany","","","",""
"105","1984","East Germany","","","",""
"108","1984","West Germany","","","",""
"108","1984","East Germany","","","",""
"110","1984","West Germany","","","",""
"110","1984","East Germany","","","",""
"111","1984","West Germany","","","",""
"111","1984","East Germany","","","",""
"113","1984","West Germany","","","",""
"113","1984","East Germany","","","",""
"116","1984","West Germany","","","",""
"116","1984","East Germany","","","",""
"117","1984","West Germany","","","",""
"117","1984","East Germany","","","",""
"118","1984","West Germany","","","",""
"118","1984","East Germany","","","",""
"119","1984","West Germany","","","",""
"119","1984","East Germany","","","",""
"120","1984","West Germany","","","",""
"120","1984","East Germany","","","",""
"121","1984","West Germany","","","",""
"121","1984","East Germany","","","",""
"122","1984","West Germany","","","",""
"122","1984","East Germany","","","",""
"123","1984","West Germany","","","",""
"123","1984","East Germany","","","",""
"124","1984","West Germany","","","",""
"124","1984","East Germany","","","",""
"125","1984","West Germany","","","",""
"125","1984","East Germany","","","",""
"127","1984","West Germany","","","",""
"127","1984","East Germany","","","",""
"128","1984","West Germany","","","",""
"128","1984","East Germany","","","",""
"129","1984","West Germany","","","",""
"129","1984","East Germany","","","",""
"130","1984","West Germany","","","",""
"130","1984","East Germany","","","",""
"131","1984","West Germany","","","",""
"131","1984","East Germany","","","",""
"132","1984","West Germany","","","",""
"132","1984","East Germany","","","",""
"133","1984","West Germany","","","",""
"133","1984","East Germany","","","",""
"135","1984","West Germany","","","",""
"135","1984","East Germany","","","",""
"138","1984","West Germany","","","",""
"138","1984","East Germany","","","",""
"139","1984","West Germany","","","",""
"139","1984","East Germany","","","",""
"140","1984","West Germany","","","",""
"140","1984","East Germany","","","",""
"141","1984","West Germany","","","",""
"141","1984","East Germany","","","",""
"142","1984","West Germany","","","",""
"142","1984","East Germany","","","",""
"143","1984","West Germany","","","",""
"143","1984","East Germany","","","",""
"144","1984","West Germany","","","",""
"144","1984","East Germany","","","",""
"145","1984","West Germany","","","",""
"145","1984","East Germany","","","",""
"146","1984","West Germany","","","",""
"146","1984","East Germany","","","",""
"147","1984","West Germany","","","",""
"147","1984","East Germany","","","",""
"148","1984","West Germany","","","",""
"148","1984","East Germany","","","",""
"149","1984","West Germany","","","",""
"149","1984","East Germany","","","",""
"151","1984","West Germany","","","",""
"151","1984","East Germany","","","",""
"152","1984","West Germany","","","",""
"152","1984","East Germany","","","",""
"154","1984","West Germany","","","",""
"154","1984","East Germany","","","",""
"155","1984","West Germany","","","",""
"155","1984","East Germany","","","",""
"156","1984","West Germany","","","",""
"156","1984","East Germany","","","",""
"158","1984","West Germany","","","",""
"158","1984","East Germany","","","",""
"162","1984","West Germany","","","",""
"162","1984","East Germany","","","",""
"164","1984","West Germany","","","",""
"164","1984","East Germany","","","",""
"165","1984","West Germany","","","",""
"165","1984","East Germany","","","",""
"166","1984","West Germany","","","",""
"166","1984","East Germany","","","",""
"167","1984","West Germany","","","",""
"167","1984","East Germany","","","",""
"168","1984","West Germany","","","",""
"168","1984","East Germany","","","",""
"169","1984","West Germany","","","",""
"169","1984","East Germany","","","",""
"172","1984","West Germany","","","",""
"172","1984","East Germany","","","",""
"173","1984","West Germany","","","",""
"173","1984","East Germany","","","",""
"178","1984","West Germany","","","",""
"178","1984","East Germany","","","",""
"181","1984","West Germany","","","",""
"181","1984","East Germany","","","",""
"183","1984","West Germany","","","",""
"183","1984","East Germany","","","",""
"188","1984","West Germany","","","",""
"188","1984","East Germany","","","",""
"195","1984","West Germany","","","",""
"195","1984","East Germany","","","",""
"196","1984","West Germany","","","",""
"196","1984","East Germany","","","",""
"999","1984","West Germany","","","",""
"999","1984","East Germany","","","",""
"1","1985","West Germany","8359","0.93718243621573","0.932666022866406","0.941698849565053"
"1","1985","East Germany","","","",""
"2","1985","West Germany","862","0.0201085749232019","0.0174956875347993","0.0227214623116045"
"2","1985","East Germany","","","",""
"3","1985","West Germany","489","0.0114031962066479","0.00942684571204216","0.0133795467012537"
"3","1985","East Germany","","","",""
"4","1985","West Germany","412","0.00502231208125588","0.00370648268010124","0.00633814148241052"
"4","1985","East Germany","","","",""
"5","1985","West Germany","529","0.0104293524049845","0.00853834538581453","0.0123203594241546"
"5","1985","East Germany","","","",""
"6","1985","West Germany","321","0.00262104536513445","0.00166932703002957","0.00357276370023933"
"6","1985","East Germany","","","",""
"10","1985","West Germany","31","0.00361785320668479","0.0025002709279946","0.00473543548537498"
"10","1985","East Germany","","","",""
"11","1985","West Germany","12","","",""
"11","1985","East Germany","","","",""
"12","1985","West Germany","11","","",""
"12","1985","East Germany","","","",""
"13","1985","West Germany","","","",""
"13","1985","East Germany","","","",""
"14","1985","West Germany","5","","",""
"14","1985","East Germany","","","",""
"15","1985","West Germany","","","",""
"15","1985","East Germany","","","",""
"16","1985","West Germany","","","",""
"16","1985","East Germany","","","",""
"17","1985","West Germany","1","","",""
"17","1985","East Germany","","","",""
"18","1985","West Germany","8","","",""
"18","1985","East Germany","","","",""
"19","1985","West Germany","7","","",""
"19","1985","East Germany","","","",""
"20","1985","West Germany","2","","",""
"20","1985","East Germany","","","",""
"21","1985","West Germany","2","","",""
"21","1985","East Germany","","","",""
"22","1985","West Germany","7","","",""
"22","1985","East Germany","","","",""
"23","1985","West Germany","3","","",""
"23","1985","East Germany","","","",""
"24","1985","West Germany","2","","",""
"24","1985","East Germany","","","",""
"25","1985","West Germany","","","",""
"25","1985","East Germany","","","",""
"26","1985","West Germany","2","","",""
"26","1985","East Germany","","","",""
"27","1985","West Germany","","","",""
"27","1985","East Germany","","","",""
"28","1985","West Germany","","","",""
"28","1985","East Germany","","","",""
"29","1985","West Germany","","","",""
"29","1985","East Germany","","","",""
"30","1985","West Germany","","","",""
"30","1985","East Germany","","","",""
"31","1985","West Germany","2","","",""
"31","1985","East Germany","","","",""
"32","1985","West Germany","","","",""
"32","1985","East Germany","","","",""
"34","1985","West Germany","1","","",""
"34","1985","East Germany","","","",""
"35","1985","West Germany","","","",""
"35","1985","East Germany","","","",""
"36","1985","West Germany","","","",""
"36","1985","East Germany","","","",""
"37","1985","West Germany","","","",""
"37","1985","East Germany","","","",""
"38","1985","West Germany","2","","",""
"38","1985","East Germany","","","",""
"39","1985","West Germany","2","","",""
"39","1985","East Germany","","","",""
"40","1985","West Germany","","","",""
"40","1985","East Germany","","","",""
"41","1985","West Germany","1","","",""
"41","1985","East Germany","","","",""
"42","1985","West Germany","1","","",""
"42","1985","East Germany","","","",""
"43","1985","West Germany","2","","",""
"43","1985","East Germany","","","",""
"44","1985","West Germany","1","","",""
"44","1985","East Germany","","","",""
"45","1985","West Germany","","","",""
"45","1985","East Germany","","","",""
"46","1985","West Germany","","","",""
"46","1985","East Germany","","","",""
"47","1985","West Germany","","","",""
"47","1985","East Germany","","","",""
"48","1985","West Germany","","","",""
"48","1985","East Germany","","","",""
"49","1985","West Germany","","","",""
"49","1985","East Germany","","","",""
"50","1985","West Germany","","","",""
"50","1985","East Germany","","","",""
"51","1985","West Germany","","","",""
"51","1985","East Germany","","","",""
"52","1985","West Germany","","","",""
"52","1985","East Germany","","","",""
"53","1985","West Germany","","","",""
"53","1985","East Germany","","","",""
"54","1985","West Germany","","","",""
"54","1985","East Germany","","","",""
"55","1985","West Germany","","","",""
"55","1985","East Germany","","","",""
"56","1985","West Germany","","","",""
"56","1985","East Germany","","","",""
"59","1985","West Germany","","","",""
"59","1985","East Germany","","","",""
"60","1985","West Germany","","","",""
"60","1985","East Germany","","","",""
"61","1985","West Germany","","","",""
"61","1985","East Germany","","","",""
"64","1985","West Germany","","","",""
"64","1985","East Germany","","","",""
"65","1985","West Germany","","","",""
"65","1985","East Germany","","","",""
"66","1985","West Germany","","","",""
"66","1985","East Germany","","","",""
"67","1985","West Germany","","","",""
"67","1985","East Germany","","","",""
"68","1985","West Germany","","","",""
"68","1985","East Germany","","","",""
"71","1985","West Germany","","","",""
"71","1985","East Germany","","","",""
"72","1985","West Germany","","","",""
"72","1985","East Germany","","","",""
"73","1985","West Germany","","","",""
"73","1985","East Germany","","","",""
"74","1985","West Germany","","","",""
"74","1985","East Germany","","","",""
"75","1985","West Germany","","","",""
"75","1985","East Germany","","","",""
"76","1985","West Germany","","","",""
"76","1985","East Germany","","","",""
"77","1985","West Germany","","","",""
"77","1985","East Germany","","","",""
"78","1985","West Germany","","","",""
"78","1985","East Germany","","","",""
"79","1985","West Germany","","","",""
"79","1985","East Germany","","","",""
"80","1985","West Germany","","","",""
"80","1985","East Germany","","","",""
"81","1985","West Germany","","","",""
"81","1985","East Germany","","","",""
"82","1985","West Germany","","","",""
"82","1985","East Germany","","","",""
"83","1985","West Germany","","","",""
"83","1985","East Germany","","","",""
"84","1985","West Germany","","","",""
"84","1985","East Germany","","","",""
"85","1985","West Germany","","","",""
"85","1985","East Germany","","","",""
"86","1985","West Germany","","","",""
"86","1985","East Germany","","","",""
"89","1985","West Germany","","","",""
"89","1985","East Germany","","","",""
"90","1985","West Germany","","","",""
"90","1985","East Germany","","","",""
"92","1985","West Germany","","","",""
"92","1985","East Germany","","","",""
"94","1985","West Germany","","","",""
"94","1985","East Germany","","","",""
"95","1985","West Germany","","","",""
"95","1985","East Germany","","","",""
"96","1985","West Germany","","","",""
"96","1985","East Germany","","","",""
"97","1985","West Germany","","","",""
"97","1985","East Germany","","","",""
"98","1985","West Germany","10","","",""
"98","1985","East Germany","","","",""
"101","1985","West Germany","","","",""
"101","1985","East Germany","","","",""
"102","1985","West Germany","","","",""
"102","1985","East Germany","","","",""
"103","1985","West Germany","","","",""
"103","1985","East Germany","","","",""
"105","1985","West Germany","","","",""
"105","1985","East Germany","","","",""
"108","1985","West Germany","","","",""
"108","1985","East Germany","","","",""
"110","1985","West Germany","","","",""
"110","1985","East Germany","","","",""
"111","1985","West Germany","","","",""
"111","1985","East Germany","","","",""
"113","1985","West Germany","","","",""
"113","1985","East Germany","","","",""
"116","1985","West Germany","","","",""
"116","1985","East Germany","","","",""
"117","1985","West Germany","","","",""
"117","1985","East Germany","","","",""
"118","1985","West Germany","","","",""
"118","1985","East Germany","","","",""
"119","1985","West Germany","","","",""
"119","1985","East Germany","","","",""
"120","1985","West Germany","","","",""
"120","1985","East Germany","","","",""
"121","1985","West Germany","","","",""
"121","1985","East Germany","","","",""
"122","1985","West Germany","","","",""
"122","1985","East Germany","","","",""
"123","1985","West Germany","","","",""
"123","1985","East Germany","","","",""
"124","1985","West Germany","","","",""
"124","1985","East Germany","","","",""
"125","1985","West Germany","","","",""
"125","1985","East Germany","","","",""
"127","1985","West Germany","","","",""
"127","1985","East Germany","","","",""
"128","1985","West Germany","","","",""
"128","1985","East Germany","","","",""
"129","1985","West Germany","","","",""
"129","1985","East Germany","","","",""
"130","1985","West Germany","","","",""
"130","1985","East Germany","","","",""
"131","1985","West Germany","","","",""
"131","1985","East Germany","","","",""
"132","1985","West Germany","","","",""
"132","1985","East Germany","","","",""
"133","1985","West Germany","","","",""
"133","1985","East Germany","","","",""
"135","1985","West Germany","","","",""
"135","1985","East Germany","","","",""
"138","1985","West Germany","","","",""
"138","1985","East Germany","","","",""
"139","1985","West Germany","","","",""
"139","1985","East Germany","","","",""
"140","1985","West Germany","","","",""
"140","1985","East Germany","","","",""
"141","1985","West Germany","","","",""
"141","1985","East Germany","","","",""
"142","1985","West Germany","","","",""
"142","1985","East Germany","","","",""
"143","1985","West Germany","","","",""
"143","1985","East Germany","","","",""
"144","1985","West Germany","","","",""
"144","1985","East Germany","","","",""
"145","1985","West Germany","","","",""
"145","1985","East Germany","","","",""
"146","1985","West Germany","","","",""
"146","1985","East Germany","","","",""
"147","1985","West Germany","","","",""
"147","1985","East Germany","","","",""
"148","1985","West Germany","","","",""
"148","1985","East Germany","","","",""
"149","1985","West Germany","","","",""
"149","1985","East Germany","","","",""
"151","1985","West Germany","","","",""
"151","1985","East Germany","","","",""
"152","1985","West Germany","","","",""
"152","1985","East Germany","","","",""
"154","1985","West Germany","","","",""
"154","1985","East Germany","","","",""
"155","1985","West Germany","","","",""
"155","1985","East Germany","","","",""
"156","1985","West Germany","","","",""
"156","1985","East Germany","","","",""
"158","1985","West Germany","","","",""
"158","1985","East Germany","","","",""
"162","1985","West Germany","","","",""
"162","1985","East Germany","","","",""
"164","1985","West Germany","","","",""
"164","1985","East Germany","","","",""
"165","1985","West Germany","","","",""
"165","1985","East Germany","","","",""
"166","1985","West Germany","","","",""
"166","1985","East Germany","","","",""
"167","1985","West Germany","","","",""
"167","1985","East Germany","","","",""
"168","1985","West Germany","","","",""
"168","1985","East Germany","","","",""
"169","1985","West Germany","","","",""
"169","1985","East Germany","","","",""
"172","1985","West Germany","","","",""
"172","1985","East Germany","","","",""
"173","1985","West Germany","","","",""
"173","1985","East Germany","","","",""
"178","1985","West Germany","","","",""
"178","1985","East Germany","","","",""
"181","1985","West Germany","","","",""
"181","1985","East Germany","","","",""
"183","1985","West Germany","","","",""
"183","1985","East Germany","","","",""
"188","1985","West Germany","","","",""
"188","1985","East Germany","","","",""
"195","1985","West Germany","","","",""
"195","1985","East Germany","","","",""
"196","1985","West Germany","","","",""
"196","1985","East Germany","","","",""
"999","1985","West Germany","","","",""
"999","1985","East Germany","","","",""
"1","1986","West Germany","8020","0.936588451781724","0.931958301988449","0.941218601575"
"1","1986","East Germany","","","",""
"2","1986","West Germany","864","0.0210397592975309","0.0183130466401249","0.023766471954937"
"2","1986","East Germany","","","",""
"3","1986","West Germany","459","0.0115905001974673","0.00955694479680158","0.0136240555981331"
"3","1986","East Germany","","","",""
"4","1986","West Germany","392","0.0052146265955947","0.00384622753640869","0.00658302565478072"
"4","1986","East Germany","","","",""
"5","1986","West Germany","495","0.0104158532139054","0.00848695081227362","0.0123447556155371"
"5","1986","East Germany","","","",""
"6","1986","West Germany","303","0.0026221759895729","0.00165055422221379","0.003593797756932"
"6","1986","East Germany","","","",""
"10","1986","West Germany","29","","",""
"10","1986","East Germany","","","",""
"11","1986","West Germany","12","","",""
"11","1986","East Germany","","","",""
"12","1986","West Germany","9","","",""
"12","1986","East Germany","","","",""
"13","1986","West Germany","","","",""
"13","1986","East Germany","","","",""
"14","1986","West Germany","6","","",""
"14","1986","East Germany","","","",""
"15","1986","West Germany","","","",""
"15","1986","East Germany","","","",""
"16","1986","West Germany","","","",""
"16","1986","East Germany","","","",""
"17","1986","West Germany","1","","",""
"17","1986","East Germany","","","",""
"18","1986","West Germany","9","","",""
"18","1986","East Germany","","","",""
"19","1986","West Germany","5","","",""
"19","1986","East Germany","","","",""
"20","1986","West Germany","2","","",""
"20","1986","East Germany","","","",""
"21","1986","West Germany","2","","",""
"21","1986","East Germany","","","",""
"22","1986","West Germany","7","","",""
"22","1986","East Germany","","","",""
"23","1986","West Germany","2","","",""
"23","1986","East Germany","","","",""
"24","1986","West Germany","3","","",""
"24","1986","East Germany","","","",""
"25","1986","West Germany","2","","",""
"25","1986","East Germany","","","",""
"26","1986","West Germany","2","","",""
"26","1986","East Germany","","","",""
"27","1986","West Germany","","","",""
"27","1986","East Germany","","","",""
"28","1986","West Germany","","","",""
"28","1986","East Germany","","","",""
"29","1986","West Germany","","","",""
"29","1986","East Germany","","","",""
"30","1986","West Germany","","","",""
"30","1986","East Germany","","","",""
"31","1986","West Germany","2","","",""
"31","1986","East Germany","","","",""
"32","1986","West Germany","","","",""
"32","1986","East Germany","","","",""
"34","1986","West Germany","1","","",""
"34","1986","East Germany","","","",""
"35","1986","West Germany","","","",""
"35","1986","East Germany","","","",""
"36","1986","West Germany","","","",""
"36","1986","East Germany","","","",""
"37","1986","West Germany","","","",""
"37","1986","East Germany","","","",""
"38","1986","West Germany","1","","",""
"38","1986","East Germany","","","",""
"39","1986","West Germany","1","","",""
"39","1986","East Germany","","","",""
"40","1986","West Germany","","","",""
"40","1986","East Germany","","","",""
"41","1986","West Germany","1","","",""
"41","1986","East Germany","","","",""
"42","1986","West Germany","","","",""
"42","1986","East Germany","","","",""
"43","1986","West Germany","2","","",""
"43","1986","East Germany","","","",""
"44","1986","West Germany","1","","",""
"44","1986","East Germany","","","",""
"45","1986","West Germany","","","",""
"45","1986","East Germany","","","",""
"46","1986","West Germany","","","",""
"46","1986","East Germany","","","",""
"47","1986","West Germany","1","","",""
"47","1986","East Germany","","","",""
"48","1986","West Germany","","","",""
"48","1986","East Germany","","","",""
"49","1986","West Germany","","","",""
"49","1986","East Germany","","","",""
"50","1986","West Germany","","","",""
"50","1986","East Germany","","","",""
"51","1986","West Germany","","","",""
"51","1986","East Germany","","","",""
"52","1986","West Germany","","","",""
"52","1986","East Germany","","","",""
"53","1986","West Germany","","","",""
"53","1986","East Germany","","","",""
"54","1986","West Germany","","","",""
"54","1986","East Germany","","","",""
"55","1986","West Germany","","","",""
"55","1986","East Germany","","","",""
"56","1986","West Germany","","","",""
"56","1986","East Germany","","","",""
"59","1986","West Germany","","","",""
"59","1986","East Germany","","","",""
"60","1986","West Germany","","","",""
"60","1986","East Germany","","","",""
"61","1986","West Germany","","","",""
"61","1986","East Germany","","","",""
"64","1986","West Germany","","","",""
"64","1986","East Germany","","","",""
"65","1986","West Germany","","","",""
"65","1986","East Germany","","","",""
"66","1986","West Germany","","","",""
"66","1986","East Germany","","","",""
"67","1986","West Germany","","","",""
"67","1986","East Germany","","","",""
"68","1986","West Germany","","","",""
"68","1986","East Germany","","","",""
"71","1986","West Germany","","","",""
"71","1986","East Germany","","","",""
"72","1986","West Germany","","","",""
"72","1986","East Germany","","","",""
"73","1986","West Germany","","","",""
"73","1986","East Germany","","","",""
"74","1986","West Germany","","","",""
"74","1986","East Germany","","","",""
"75","1986","West Germany","","","",""
"75","1986","East Germany","","","",""
"76","1986","West Germany","","","",""
"76","1986","East Germany","","","",""
"77","1986","West Germany","","","",""
"77","1986","East Germany","","","",""
"78","1986","West Germany","","","",""
"78","1986","East Germany","","","",""
"79","1986","West Germany","","","",""
"79","1986","East Germany","","","",""
"80","1986","West Germany","","","",""
"80","1986","East Germany","","","",""
"81","1986","West Germany","","","",""
"81","1986","East Germany","","","",""
"82","1986","West Germany","","","",""
"82","1986","East Germany","","","",""
"83","1986","West Germany","","","",""
"83","1986","East Germany","","","",""
"84","1986","West Germany","","","",""
"84","1986","East Germany","","","",""
"85","1986","West Germany","","","",""
"85","1986","East Germany","","","",""
"86","1986","West Germany","","","",""
"86","1986","East Germany","","","",""
"89","1986","West Germany","","","",""
"89","1986","East Germany","","","",""
"90","1986","West Germany","","","",""
"90","1986","East Germany","","","",""
"92","1986","West Germany","","","",""
"92","1986","East Germany","","","",""
"94","1986","West Germany","","","",""
"94","1986","East Germany","","","",""
"95","1986","West Germany","","","",""
"95","1986","East Germany","","","",""
"96","1986","West Germany","","","",""
"96","1986","East Germany","","","",""
"97","1986","West Germany","","","",""
"97","1986","East Germany","","","",""
"98","1986","West Germany","8","","",""
"98","1986","East Germany","","","",""
"101","1986","West Germany","","","",""
"101","1986","East Germany","","","",""
"102","1986","West Germany","","","",""
"102","1986","East Germany","","","",""
"103","1986","West Germany","","","",""
"103","1986","East Germany","","","",""
"105","1986","West Germany","","","",""
"105","1986","East Germany","","","",""
"108","1986","West Germany","","","",""
"108","1986","East Germany","","","",""
"110","1986","West Germany","","","",""
"110","1986","East Germany","","","",""
"111","1986","West Germany","","","",""
"111","1986","East Germany","","","",""
"113","1986","West Germany","","","",""
"113","1986","East Germany","","","",""
"116","1986","West Germany","","","",""
"116","1986","East Germany","","","",""
"117","1986","West Germany","","","",""
"117","1986","East Germany","","","",""
"118","1986","West Germany","","","",""
"118","1986","East Germany","","","",""
"119","1986","West Germany","","","",""
"119","1986","East Germany","","","",""
"120","1986","West Germany","","","",""
"120","1986","East Germany","","","",""
"121","1986","West Germany","","","",""
"121","1986","East Germany","","","",""
"122","1986","West Germany","","","",""
"122","1986","East Germany","","","",""
"123","1986","West Germany","","","",""
"123","1986","East Germany","","","",""
"124","1986","West Germany","","","",""
"124","1986","East Germany","","","",""
"125","1986","West Germany","","","",""
"125","1986","East Germany","","","",""
"127","1986","West Germany","","","",""
"127","1986","East Germany","","","",""
"128","1986","West Germany","","","",""
"128","1986","East Germany","","","",""
"129","1986","West Germany","","","",""
"129","1986","East Germany","","","",""
"130","1986","West Germany","","","",""
"130","1986","East Germany","","","",""
"131","1986","West Germany","","","",""
"131","1986","East Germany","","","",""
"132","1986","West Germany","","","",""
"132","1986","East Germany","","","",""
"133","1986","West Germany","","","",""
"133","1986","East Germany","","","",""
"135","1986","West Germany","","","",""
"135","1986","East Germany","","","",""
"138","1986","West Germany","","","",""
"138","1986","East Germany","","","",""
"139","1986","West Germany","","","",""
"139","1986","East Germany","","","",""
"140","1986","West Germany","","","",""
"140","1986","East Germany","","","",""
"141","1986","West Germany","","","",""
"141","1986","East Germany","","","",""
"142","1986","West Germany","","","",""
"142","1986","East Germany","","","",""
"143","1986","West Germany","","","",""
"143","1986","East Germany","","","",""
"144","1986","West Germany","","","",""
"144","1986","East Germany","","","",""
"145","1986","West Germany","","","",""
"145","1986","East Germany","","","",""
"146","1986","West Germany","","","",""
"146","1986","East Germany","","","",""
"147","1986","West Germany","","","",""
"147","1986","East Germany","","","",""
"148","1986","West Germany","","","",""
"148","1986","East Germany","","","",""
"149","1986","West Germany","","","",""
"149","1986","East Germany","","","",""
"151","1986","West Germany","","","",""
"151","1986","East Germany","","","",""
"152","1986","West Germany","","","",""
"152","1986","East Germany","","","",""
"154","1986","West Germany","","","",""
"154","1986","East Germany","","","",""
"155","1986","West Germany","","","",""
"155","1986","East Germany","","","",""
"156","1986","West Germany","","","",""
"156","1986","East Germany","","","",""
"158","1986","West Germany","","","",""
"158","1986","East Germany","","","",""
"162","1986","West Germany","","","",""
"162","1986","East Germany","","","",""
"164","1986","West Germany","","","",""
