"pgnation","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"17","1984","16-34 y.","East Germany","","","",""
"17","1984","35-65 y.","West Germany","","","",""
"17","1984","35-65 y.","East Germany","","","",""
"17","1984","66 and older","West Germany","","","",""
"17","1984","66 and older","East Germany","","","",""
"18","1984","16-34 y.","West Germany","9","","",""
"18","1984","16-34 y.","East Germany","","","",""
"18","1984","35-65 y.","West Germany","6","","",""
"18","1984","35-65 y.","East Germany","","","",""
"18","1984","66 and older","West Germany","1","","",""
"18","1984","66 and older","East Germany","","","",""
"19","1984","16-34 y.","West Germany","2","","",""
"19","1984","16-34 y.","East Germany","","","",""
"19","1984","35-65 y.","West Germany","5","","",""
"19","1984","35-65 y.","East Germany","","","",""
"19","1984","66 and older","West Germany","1","","",""
"19","1984","66 and older","East Germany","","","",""
"20","1984","16-34 y.","West Germany","1","","",""
"20","1984","16-34 y.","East Germany","","","",""
"20","1984","35-65 y.","West Germany","1","","",""
"20","1984","35-65 y.","East Germany","","","",""
"20","1984","66 and older","West Germany","","","",""
"20","1984","66 and older","East Germany","","","",""
"21","1984","16-34 y.","West Germany","1","","",""
"21","1984","16-34 y.","East Germany","","","",""
"21","1984","35-65 y.","West Germany","","","",""
"21","1984","35-65 y.","East Germany","","","",""
"21","1984","66 and older","West Germany","","","",""
"21","1984","66 and older","East Germany","","","",""
"22","1984","16-34 y.","West Germany","8","","",""
"22","1984","16-34 y.","East Germany","","","",""
"22","1984","35-65 y.","West Germany","1","","",""
"22","1984","35-65 y.","East Germany","","","",""
"22","1984","66 and older","West Germany","","","",""
"22","1984","66 and older","East Germany","","","",""
"23","1984","16-34 y.","West Germany","5","","",""
"23","1984","16-34 y.","East Germany","","","",""
"23","1984","35-65 y.","West Germany","","","",""
"23","1984","35-65 y.","East Germany","","","",""
"23","1984","66 and older","West Germany","","","",""
"23","1984","66 and older","East Germany","","","",""
"24","1984","16-34 y.","West Germany","1","","",""
"24","1984","16-34 y.","East Germany","","","",""
"24","1984","35-65 y.","West Germany","1","","",""
"24","1984","35-65 y.","East Germany","","","",""
"24","1984","66 and older","West Germany","","","",""
"24","1984","66 and older","East Germany","","","",""
"25","1984","16-34 y.","West Germany","1","","",""
"25","1984","16-34 y.","East Germany","","","",""
"25","1984","35-65 y.","West Germany","1","","",""
"25","1984","35-65 y.","East Germany","","","",""
"25","1984","66 and older","West Germany","","","",""
"25","1984","66 and older","East Germany","","","",""
"26","1984","16-34 y.","West Germany","","","",""
"26","1984","16-34 y.","East Germany","","","",""
"26","1984","35-65 y.","West Germany","2","","",""
"26","1984","35-65 y.","East Germany","","","",""
"26","1984","66 and older","West Germany","","","",""
"26","1984","66 and older","East Germany","","","",""
"27","1984","16-34 y.","West Germany","","","",""
"27","1984","16-34 y.","East Germany","","","",""
"27","1984","35-65 y.","West Germany","","","",""
"27","1984","35-65 y.","East Germany","","","",""
"27","1984","66 and older","West Germany","","","",""
"27","1984","66 and older","East Germany","","","",""
"28","1984","16-34 y.","West Germany","1","","",""
"28","1984","16-34 y.","East Germany","","","",""
"28","1984","35-65 y.","West Germany","3","","",""
"28","1984","35-65 y.","East Germany","","","",""
"28","1984","66 and older","West Germany","","","",""
"28","1984","66 and older","East Germany","","","",""
"29","1984","16-34 y.","West Germany","","","",""
"29","1984","16-34 y.","East Germany","","","",""
"29","1984","35-65 y.","West Germany","1","","",""
"29","1984","35-65 y.","East Germany","","","",""
"29","1984","66 and older","West Germany","","","",""
"29","1984","66 and older","East Germany","","","",""
"30","1984","16-34 y.","West Germany","","","",""
"30","1984","16-34 y.","East Germany","","","",""
"30","1984","35-65 y.","West Germany","","","",""
"30","1984","35-65 y.","East Germany","","","",""
"30","1984","66 and older","West Germany","","","",""
"30","1984","66 and older","East Germany","","","",""
"31","1984","16-34 y.","West Germany","2","","",""
"31","1984","16-34 y.","East Germany","","","",""
"31","1984","35-65 y.","West Germany","1","","",""
"31","1984","35-65 y.","East Germany","","","",""
"31","1984","66 and older","West Germany","","","",""
"31","1984","66 and older","East Germany","","","",""
"32","1984","16-34 y.","West Germany","","","",""
"32","1984","16-34 y.","East Germany","","","",""
"32","1984","35-65 y.","West Germany","","","",""
"32","1984","35-65 y.","East Germany","","","",""
"32","1984","66 and older","West Germany","","","",""
"32","1984","66 and older","East Germany","","","",""
"34","1984","16-34 y.","West Germany","3","","",""
"34","1984","16-34 y.","East Germany","","","",""
"34","1984","35-65 y.","West Germany","1","","",""
"34","1984","35-65 y.","East Germany","","","",""
"34","1984","66 and older","West Germany","","","",""
"34","1984","66 and older","East Germany","","","",""
"35","1984","16-34 y.","West Germany","","","",""
"35","1984","16-34 y.","East Germany","","","",""
"35","1984","35-65 y.","West Germany","","","",""
"35","1984","35-65 y.","East Germany","","","",""
"35","1984","66 and older","West Germany","","","",""
"35","1984","66 and older","East Germany","","","",""
"36","1984","16-34 y.","West Germany","1","","",""
"36","1984","16-34 y.","East Germany","","","",""
"36","1984","35-65 y.","West Germany","","","",""
"36","1984","35-65 y.","East Germany","","","",""
"36","1984","66 and older","West Germany","","","",""
"36","1984","66 and older","East Germany","","","",""
"37","1984","16-34 y.","West Germany","","","",""
"37","1984","16-34 y.","East Germany","","","",""
"37","1984","35-65 y.","West Germany","","","",""
"37","1984","35-65 y.","East Germany","","","",""
"37","1984","66 and older","West Germany","","","",""
"37","1984","66 and older","East Germany","","","",""
"38","1984","16-34 y.","West Germany","","","",""
"38","1984","16-34 y.","East Germany","","","",""
"38","1984","35-65 y.","West Germany","2","","",""
"38","1984","35-65 y.","East Germany","","","",""
"38","1984","66 and older","West Germany","","","",""
"38","1984","66 and older","East Germany","","","",""
"39","1984","16-34 y.","West Germany","1","","",""
"39","1984","16-34 y.","East Germany","","","",""
"39","1984","35-65 y.","West Germany","","","",""
"39","1984","35-65 y.","East Germany","","","",""
"39","1984","66 and older","West Germany","","","",""
"39","1984","66 and older","East Germany","","","",""
"40","1984","16-34 y.","West Germany","","","",""
"40","1984","16-34 y.","East Germany","","","",""
"40","1984","35-65 y.","West Germany","1","","",""
"40","1984","35-65 y.","East Germany","","","",""
"40","1984","66 and older","West Germany","","","",""
"40","1984","66 and older","East Germany","","","",""
"41","1984","16-34 y.","West Germany","","","",""
"41","1984","16-34 y.","East Germany","","","",""
"41","1984","35-65 y.","West Germany","1","","",""
"41","1984","35-65 y.","East Germany","","","",""
"41","1984","66 and older","West Germany","","","",""
"41","1984","66 and older","East Germany","","","",""
"42","1984","16-34 y.","West Germany","1","","",""
"42","1984","16-34 y.","East Germany","","","",""
"42","1984","35-65 y.","West Germany","","","",""
"42","1984","35-65 y.","East Germany","","","",""
"42","1984","66 and older","West Germany","","","",""
"42","1984","66 and older","East Germany","","","",""
"43","1984","16-34 y.","West Germany","2","","",""
"43","1984","16-34 y.","East Germany","","","",""
"43","1984","35-65 y.","West Germany","","","",""
"43","1984","35-65 y.","East Germany","","","",""
"43","1984","66 and older","West Germany","","","",""
"43","1984","66 and older","East Germany","","","",""
"44","1984","16-34 y.","West Germany","","","",""
"44","1984","16-34 y.","East Germany","","","",""
"44","1984","35-65 y.","West Germany","","","",""
"44","1984","35-65 y.","East Germany","","","",""
"44","1984","66 and older","West Germany","","","",""
"44","1984","66 and older","East Germany","","","",""
"45","1984","16-34 y.","West Germany","","","",""
"45","1984","16-34 y.","East Germany","","","",""
"45","1984","35-65 y.","West Germany","","","",""
"45","1984","35-65 y.","East Germany","","","",""
"45","1984","66 and older","West Germany","","","",""
"45","1984","66 and older","East Germany","","","",""
"46","1984","16-34 y.","West Germany","","","",""
"46","1984","16-34 y.","East Germany","","","",""
"46","1984","35-65 y.","West Germany","","","",""
"46","1984","35-65 y.","East Germany","","","",""
"46","1984","66 and older","West Germany","","","",""
"46","1984","66 and older","East Germany","","","",""
"47","1984","16-34 y.","West Germany","","","",""
"47","1984","16-34 y.","East Germany","","","",""
"47","1984","35-65 y.","West Germany","","","",""
"47","1984","35-65 y.","East Germany","","","",""
"47","1984","66 and older","West Germany","","","",""
"47","1984","66 and older","East Germany","","","",""
"48","1984","16-34 y.","West Germany","","","",""
"48","1984","16-34 y.","East Germany","","","",""
"48","1984","35-65 y.","West Germany","","","",""
"48","1984","35-65 y.","East Germany","","","",""
"48","1984","66 and older","West Germany","","","",""
"48","1984","66 and older","East Germany","","","",""
"49","1984","16-34 y.","West Germany","","","",""
"49","1984","16-34 y.","East Germany","","","",""
"49","1984","35-65 y.","West Germany","","","",""
"49","1984","35-65 y.","East Germany","","","",""
"49","1984","66 and older","West Germany","","","",""
"49","1984","66 and older","East Germany","","","",""
"50","1984","16-34 y.","West Germany","","","",""
"50","1984","16-34 y.","East Germany","","","",""
"50","1984","35-65 y.","West Germany","","","",""
"50","1984","35-65 y.","East Germany","","","",""
"50","1984","66 and older","West Germany","","","",""
"50","1984","66 and older","East Germany","","","",""
"51","1984","16-34 y.","West Germany","","","",""
"51","1984","16-34 y.","East Germany","","","",""
"51","1984","35-65 y.","West Germany","","","",""
"51","1984","35-65 y.","East Germany","","","",""
"51","1984","66 and older","West Germany","","","",""
"51","1984","66 and older","East Germany","","","",""
"52","1984","16-34 y.","West Germany","","","",""
"52","1984","16-34 y.","East Germany","","","",""
"52","1984","35-65 y.","West Germany","","","",""
"52","1984","35-65 y.","East Germany","","","",""
"52","1984","66 and older","West Germany","","","",""
"52","1984","66 and older","East Germany","","","",""
"53","1984","16-34 y.","West Germany","","","",""
"53","1984","16-34 y.","East Germany","","","",""
"53","1984","35-65 y.","West Germany","","","",""
"53","1984","35-65 y.","East Germany","","","",""
"53","1984","66 and older","West Germany","","","",""
"53","1984","66 and older","East Germany","","","",""
"54","1984","16-34 y.","West Germany","","","",""
"54","1984","16-34 y.","East Germany","","","",""
"54","1984","35-65 y.","West Germany","","","",""
"54","1984","35-65 y.","East Germany","","","",""
"54","1984","66 and older","West Germany","","","",""
"54","1984","66 and older","East Germany","","","",""
"55","1984","16-34 y.","West Germany","","","",""
"55","1984","16-34 y.","East Germany","","","",""
"55","1984","35-65 y.","West Germany","","","",""
"55","1984","35-65 y.","East Germany","","","",""
"55","1984","66 and older","West Germany","","","",""
"55","1984","66 and older","East Germany","","","",""
"56","1984","16-34 y.","West Germany","","","",""
"56","1984","16-34 y.","East Germany","","","",""
"56","1984","35-65 y.","West Germany","","","",""
"56","1984","35-65 y.","East Germany","","","",""
"56","1984","66 and older","West Germany","","","",""
"56","1984","66 and older","East Germany","","","",""
"59","1984","16-34 y.","West Germany","","","",""
"59","1984","16-34 y.","East Germany","","","",""
"59","1984","35-65 y.","West Germany","","","",""
"59","1984","35-65 y.","East Germany","","","",""
"59","1984","66 and older","West Germany","","","",""
"59","1984","66 and older","East Germany","","","",""
"60","1984","16-34 y.","West Germany","","","",""
"60","1984","16-34 y.","East Germany","","","",""
"60","1984","35-65 y.","West Germany","","","",""
"60","1984","35-65 y.","East Germany","","","",""
"60","1984","66 and older","West Germany","","","",""
"60","1984","66 and older","East Germany","","","",""
"61","1984","16-34 y.","West Germany","","","",""
"61","1984","16-34 y.","East Germany","","","",""
"61","1984","35-65 y.","West Germany","","","",""
"61","1984","35-65 y.","East Germany","","","",""
"61","1984","66 and older","West Germany","","","",""
"61","1984","66 and older","East Germany","","","",""
"64","1984","16-34 y.","West Germany","","","",""
"64","1984","16-34 y.","East Germany","","","",""
"64","1984","35-65 y.","West Germany","","","",""
"64","1984","35-65 y.","East Germany","","","",""
"64","1984","66 and older","West Germany","","","",""
"64","1984","66 and older","East Germany","","","",""
"65","1984","16-34 y.","West Germany","","","",""
"65","1984","16-34 y.","East Germany","","","",""
"65","1984","35-65 y.","West Germany","","","",""
"65","1984","35-65 y.","East Germany","","","",""
"65","1984","66 and older","West Germany","","","",""
"65","1984","66 and older","East Germany","","","",""
"66","1984","16-34 y.","West Germany","","","",""
"66","1984","16-34 y.","East Germany","","","",""
"66","1984","35-65 y.","West Germany","","","",""
"66","1984","35-65 y.","East Germany","","","",""
"66","1984","66 and older","West Germany","","","",""
"66","1984","66 and older","East Germany","","","",""
"67","1984","16-34 y.","West Germany","","","",""
"67","1984","16-34 y.","East Germany","","","",""
"67","1984","35-65 y.","West Germany","","","",""
"67","1984","35-65 y.","East Germany","","","",""
"67","1984","66 and older","West Germany","","","",""
"67","1984","66 and older","East Germany","","","",""
"68","1984","16-34 y.","West Germany","","","",""
"68","1984","16-34 y.","East Germany","","","",""
"68","1984","35-65 y.","West Germany","","","",""
"68","1984","35-65 y.","East Germany","","","",""
"68","1984","66 and older","West Germany","","","",""
"68","1984","66 and older","East Germany","","","",""
"71","1984","16-34 y.","West Germany","","","",""
"71","1984","16-34 y.","East Germany","","","",""
"71","1984","35-65 y.","West Germany","","","",""
"71","1984","35-65 y.","East Germany","","","",""
"71","1984","66 and older","West Germany","","","",""
"71","1984","66 and older","East Germany","","","",""
"72","1984","16-34 y.","West Germany","","","",""
"72","1984","16-34 y.","East Germany","","","",""
"72","1984","35-65 y.","West Germany","","","",""
"72","1984","35-65 y.","East Germany","","","",""
"72","1984","66 and older","West Germany","","","",""
"72","1984","66 and older","East Germany","","","",""
"73","1984","16-34 y.","West Germany","","","",""
"73","1984","16-34 y.","East Germany","","","",""
"73","1984","35-65 y.","West Germany","","","",""
"73","1984","35-65 y.","East Germany","","","",""
"73","1984","66 and older","West Germany","","","",""
"73","1984","66 and older","East Germany","","","",""
"74","1984","16-34 y.","West Germany","","","",""
"74","1984","16-34 y.","East Germany","","","",""
"74","1984","35-65 y.","West Germany","","","",""
"74","1984","35-65 y.","East Germany","","","",""
"74","1984","66 and older","West Germany","","","",""
"74","1984","66 and older","East Germany","","","",""
"75","1984","16-34 y.","West Germany","","","",""
"75","1984","16-34 y.","East Germany","","","",""
"75","1984","35-65 y.","West Germany","","","",""
"75","1984","35-65 y.","East Germany","","","",""
"75","1984","66 and older","West Germany","","","",""
"75","1984","66 and older","East Germany","","","",""
"76","1984","16-34 y.","West Germany","","","",""
"76","1984","16-34 y.","East Germany","","","",""
"76","1984","35-65 y.","West Germany","","","",""
"76","1984","35-65 y.","East Germany","","","",""
"76","1984","66 and older","West Germany","","","",""
"76","1984","66 and older","East Germany","","","",""
"77","1984","16-34 y.","West Germany","","","",""
"77","1984","16-34 y.","East Germany","","","",""
"77","1984","35-65 y.","West Germany","","","",""
"77","1984","35-65 y.","East Germany","","","",""
"77","1984","66 and older","West Germany","","","",""
"77","1984","66 and older","East Germany","","","",""
"78","1984","16-34 y.","West Germany","","","",""
"78","1984","16-34 y.","East Germany","","","",""
"78","1984","35-65 y.","West Germany","","","",""
"78","1984","35-65 y.","East Germany","","","",""
"78","1984","66 and older","West Germany","","","",""
"78","1984","66 and older","East Germany","","","",""
"79","1984","16-34 y.","West Germany","","","",""
"79","1984","16-34 y.","East Germany","","","",""
"79","1984","35-65 y.","West Germany","","","",""
"79","1984","35-65 y.","East Germany","","","",""
"79","1984","66 and older","West Germany","","","",""
"79","1984","66 and older","East Germany","","","",""
"80","1984","16-34 y.","West Germany","","","",""
"80","1984","16-34 y.","East Germany","","","",""
"80","1984","35-65 y.","West Germany","","","",""
"80","1984","35-65 y.","East Germany","","","",""
"80","1984","66 and older","West Germany","","","",""
"80","1984","66 and older","East Germany","","","",""
"81","1984","16-34 y.","West Germany","","","",""
"81","1984","16-34 y.","East Germany","","","",""
"81","1984","35-65 y.","West Germany","","","",""
"81","1984","35-65 y.","East Germany","","","",""
"81","1984","66 and older","West Germany","","","",""
"81","1984","66 and older","East Germany","","","",""
"82","1984","16-34 y.","West Germany","","","",""
"82","1984","16-34 y.","East Germany","","","",""
"82","1984","35-65 y.","West Germany","","","",""
"82","1984","35-65 y.","East Germany","","","",""
"82","1984","66 and older","West Germany","","","",""
"82","1984","66 and older","East Germany","","","",""
"83","1984","16-34 y.","West Germany","","","",""
"83","1984","16-34 y.","East Germany","","","",""
"83","1984","35-65 y.","West Germany","","","",""
"83","1984","35-65 y.","East Germany","","","",""
"83","1984","66 and older","West Germany","","","",""
"83","1984","66 and older","East Germany","","","",""
"84","1984","16-34 y.","West Germany","","","",""
"84","1984","16-34 y.","East Germany","","","",""
"84","1984","35-65 y.","West Germany","","","",""
"84","1984","35-65 y.","East Germany","","","",""
"84","1984","66 and older","West Germany","","","",""
"84","1984","66 and older","East Germany","","","",""
"85","1984","16-34 y.","West Germany","","","",""
"85","1984","16-34 y.","East Germany","","","",""
"85","1984","35-65 y.","West Germany","","","",""
"85","1984","35-65 y.","East Germany","","","",""
"85","1984","66 and older","West Germany","","","",""
"85","1984","66 and older","East Germany","","","",""
"86","1984","16-34 y.","West Germany","","","",""
"86","1984","16-34 y.","East Germany","","","",""
"86","1984","35-65 y.","West Germany","","","",""
"86","1984","35-65 y.","East Germany","","","",""
"86","1984","66 and older","West Germany","","","",""
"86","1984","66 and older","East Germany","","","",""
"89","1984","16-34 y.","West Germany","","","",""
"89","1984","16-34 y.","East Germany","","","",""
"89","1984","35-65 y.","West Germany","","","",""
"89","1984","35-65 y.","East Germany","","","",""
"89","1984","66 and older","West Germany","","","",""
"89","1984","66 and older","East Germany","","","",""
"90","1984","16-34 y.","West Germany","","","",""
"90","1984","16-34 y.","East Germany","","","",""
"90","1984","35-65 y.","West Germany","","","",""
"90","1984","35-65 y.","East Germany","","","",""
"90","1984","66 and older","West Germany","","","",""
"90","1984","66 and older","East Germany","","","",""
"92","1984","16-34 y.","West Germany","","","",""
"92","1984","16-34 y.","East Germany","","","",""
"92","1984","35-65 y.","West Germany","","","",""
"92","1984","35-65 y.","East Germany","","","",""
"92","1984","66 and older","West Germany","","","",""
"92","1984","66 and older","East Germany","","","",""
"94","1984","16-34 y.","West Germany","","","",""
"94","1984","16-34 y.","East Germany","","","",""
"94","1984","35-65 y.","West Germany","","","",""
"94","1984","35-65 y.","East Germany","","","",""
"94","1984","66 and older","West Germany","","","",""
"94","1984","66 and older","East Germany","","","",""
"95","1984","16-34 y.","West Germany","","","",""
"95","1984","16-34 y.","East Germany","","","",""
"95","1984","35-65 y.","West Germany","","","",""
"95","1984","35-65 y.","East Germany","","","",""
"95","1984","66 and older","West Germany","","","",""
"95","1984","66 and older","East Germany","","","",""
"96","1984","16-34 y.","West Germany","","","",""
"96","1984","16-34 y.","East Germany","","","",""
"96","1984","35-65 y.","West Germany","","","",""
"96","1984","35-65 y.","East Germany","","","",""
"96","1984","66 and older","West Germany","","","",""
"96","1984","66 and older","East Germany","","","",""
"97","1984","16-34 y.","West Germany","","","",""
"97","1984","16-34 y.","East Germany","","","",""
"97","1984","35-65 y.","West Germany","","","",""
"97","1984","35-65 y.","East Germany","","","",""
"97","1984","66 and older","West Germany","","","",""
"97","1984","66 and older","East Germany","","","",""
"98","1984","16-34 y.","West Germany","4","","",""
"98","1984","16-34 y.","East Germany","","","",""
"98","1984","35-65 y.","West Germany","3","","",""
"98","1984","35-65 y.","East Germany","","","",""
"98","1984","66 and older","West Germany","3","","",""
"98","1984","66 and older","East Germany","","","",""
"101","1984","16-34 y.","West Germany","","","",""
"101","1984","16-34 y.","East Germany","","","",""
"101","1984","35-65 y.","West Germany","","","",""
"101","1984","35-65 y.","East Germany","","","",""
"101","1984","66 and older","West Germany","","","",""
"101","1984","66 and older","East Germany","","","",""
"102","1984","16-34 y.","West Germany","","","",""
"102","1984","16-34 y.","East Germany","","","",""
"102","1984","35-65 y.","West Germany","","","",""
"102","1984","35-65 y.","East Germany","","","",""
"102","1984","66 and older","West Germany","","","",""
"102","1984","66 and older","East Germany","","","",""
"103","1984","16-34 y.","West Germany","","","",""
"103","1984","16-34 y.","East Germany","","","",""
"103","1984","35-65 y.","West Germany","","","",""
"103","1984","35-65 y.","East Germany","","","",""
"103","1984","66 and older","West Germany","","","",""
"103","1984","66 and older","East Germany","","","",""
"105","1984","16-34 y.","West Germany","","","",""
"105","1984","16-34 y.","East Germany","","","",""
"105","1984","35-65 y.","West Germany","","","",""
"105","1984","35-65 y.","East Germany","","","",""
"105","1984","66 and older","West Germany","","","",""
"105","1984","66 and older","East Germany","","","",""
"108","1984","16-34 y.","West Germany","","","",""
"108","1984","16-34 y.","East Germany","","","",""
"108","1984","35-65 y.","West Germany","","","",""
"108","1984","35-65 y.","East Germany","","","",""
"108","1984","66 and older","West Germany","","","",""
"108","1984","66 and older","East Germany","","","",""
"110","1984","16-34 y.","West Germany","","","",""
"110","1984","16-34 y.","East Germany","","","",""
"110","1984","35-65 y.","West Germany","","","",""
"110","1984","35-65 y.","East Germany","","","",""
"110","1984","66 and older","West Germany","","","",""
"110","1984","66 and older","East Germany","","","",""
"111","1984","16-34 y.","West Germany","","","",""
"111","1984","16-34 y.","East Germany","","","",""
"111","1984","35-65 y.","West Germany","","","",""
"111","1984","35-65 y.","East Germany","","","",""
"111","1984","66 and older","West Germany","","","",""
"111","1984","66 and older","East Germany","","","",""
"113","1984","16-34 y.","West Germany","","","",""
"113","1984","16-34 y.","East Germany","","","",""
"113","1984","35-65 y.","West Germany","","","",""
"113","1984","35-65 y.","East Germany","","","",""
"113","1984","66 and older","West Germany","","","",""
"113","1984","66 and older","East Germany","","","",""
"116","1984","16-34 y.","West Germany","","","",""
"116","1984","16-34 y.","East Germany","","","",""
"116","1984","35-65 y.","West Germany","","","",""
"116","1984","35-65 y.","East Germany","","","",""
"116","1984","66 and older","West Germany","","","",""
"116","1984","66 and older","East Germany","","","",""
"117","1984","16-34 y.","West Germany","","","",""
"117","1984","16-34 y.","East Germany","","","",""
"117","1984","35-65 y.","West Germany","","","",""
"117","1984","35-65 y.","East Germany","","","",""
"117","1984","66 and older","West Germany","","","",""
"117","1984","66 and older","East Germany","","","",""
"118","1984","16-34 y.","West Germany","","","",""
"118","1984","16-34 y.","East Germany","","","",""
"118","1984","35-65 y.","West Germany","","","",""
"118","1984","35-65 y.","East Germany","","","",""
"118","1984","66 and older","West Germany","","","",""
"118","1984","66 and older","East Germany","","","",""
"119","1984","16-34 y.","West Germany","","","",""
"119","1984","16-34 y.","East Germany","","","",""
"119","1984","35-65 y.","West Germany","","","",""
"119","1984","35-65 y.","East Germany","","","",""
"119","1984","66 and older","West Germany","","","",""
"119","1984","66 and older","East Germany","","","",""
"120","1984","16-34 y.","West Germany","","","",""
"120","1984","16-34 y.","East Germany","","","",""
"120","1984","35-65 y.","West Germany","","","",""
"120","1984","35-65 y.","East Germany","","","",""
"120","1984","66 and older","West Germany","","","",""
"120","1984","66 and older","East Germany","","","",""
"121","1984","16-34 y.","West Germany","","","",""
"121","1984","16-34 y.","East Germany","","","",""
"121","1984","35-65 y.","West Germany","","","",""
"121","1984","35-65 y.","East Germany","","","",""
"121","1984","66 and older","West Germany","","","",""
"121","1984","66 and older","East Germany","","","",""
"122","1984","16-34 y.","West Germany","","","",""
"122","1984","16-34 y.","East Germany","","","",""
"122","1984","35-65 y.","West Germany","","","",""
"122","1984","35-65 y.","East Germany","","","",""
"122","1984","66 and older","West Germany","","","",""
"122","1984","66 and older","East Germany","","","",""
"123","1984","16-34 y.","West Germany","","","",""
"123","1984","16-34 y.","East Germany","","","",""
"123","1984","35-65 y.","West Germany","","","",""
"123","1984","35-65 y.","East Germany","","","",""
"123","1984","66 and older","West Germany","","","",""
"123","1984","66 and older","East Germany","","","",""
"124","1984","16-34 y.","West Germany","","","",""
"124","1984","16-34 y.","East Germany","","","",""
"124","1984","35-65 y.","West Germany","","","",""
"124","1984","35-65 y.","East Germany","","","",""
"124","1984","66 and older","West Germany","","","",""
"124","1984","66 and older","East Germany","","","",""
