"pgnation","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"12","1984","35-65 y.","Employed","","","",""
"12","1984","66 and older","Not Employed","3","","",""
"12","1984","66 and older","Employed","","","",""
"13","1984","16-34 y.","Not Employed","","","",""
"13","1984","16-34 y.","Employed","","","",""
"13","1984","35-65 y.","Not Employed","","","",""
"13","1984","35-65 y.","Employed","","","",""
"13","1984","66 and older","Not Employed","","","",""
"13","1984","66 and older","Employed","","","",""
"14","1984","16-34 y.","Not Employed","","","",""
"14","1984","16-34 y.","Employed","","","",""
"14","1984","35-65 y.","Not Employed","","","",""
"14","1984","35-65 y.","Employed","5","","",""
"14","1984","66 and older","Not Employed","","","",""
"14","1984","66 and older","Employed","","","",""
"15","1984","16-34 y.","Not Employed","","","",""
"15","1984","16-34 y.","Employed","","","",""
"15","1984","35-65 y.","Not Employed","","","",""
"15","1984","35-65 y.","Employed","","","",""
"15","1984","66 and older","Not Employed","","","",""
"15","1984","66 and older","Employed","","","",""
"16","1984","16-34 y.","Not Employed","","","",""
"16","1984","16-34 y.","Employed","","","",""
"16","1984","35-65 y.","Not Employed","","","",""
"16","1984","35-65 y.","Employed","","","",""
"16","1984","66 and older","Not Employed","","","",""
"16","1984","66 and older","Employed","","","",""
"17","1984","16-34 y.","Not Employed","","","",""
"17","1984","16-34 y.","Employed","1","","",""
"17","1984","35-65 y.","Not Employed","","","",""
"17","1984","35-65 y.","Employed","","","",""
"17","1984","66 and older","Not Employed","","","",""
"17","1984","66 and older","Employed","","","",""
"18","1984","16-34 y.","Not Employed","6","","",""
"18","1984","16-34 y.","Employed","3","","",""
"18","1984","35-65 y.","Not Employed","3","","",""
"18","1984","35-65 y.","Employed","3","","",""
"18","1984","66 and older","Not Employed","1","","",""
"18","1984","66 and older","Employed","","","",""
"19","1984","16-34 y.","Not Employed","1","","",""
"19","1984","16-34 y.","Employed","1","","",""
"19","1984","35-65 y.","Not Employed","","","",""
"19","1984","35-65 y.","Employed","5","","",""
"19","1984","66 and older","Not Employed","1","","",""
"19","1984","66 and older","Employed","","","",""
"20","1984","16-34 y.","Not Employed","","","",""
"20","1984","16-34 y.","Employed","1","","",""
"20","1984","35-65 y.","Not Employed","1","","",""
"20","1984","35-65 y.","Employed","","","",""
"20","1984","66 and older","Not Employed","","","",""
"20","1984","66 and older","Employed","","","",""
"21","1984","16-34 y.","Not Employed","1","","",""
"21","1984","16-34 y.","Employed","","","",""
"21","1984","35-65 y.","Not Employed","","","",""
"21","1984","35-65 y.","Employed","","","",""
"21","1984","66 and older","Not Employed","","","",""
"21","1984","66 and older","Employed","","","",""
"22","1984","16-34 y.","Not Employed","7","","",""
"22","1984","16-34 y.","Employed","1","","",""
"22","1984","35-65 y.","Not Employed","","","",""
"22","1984","35-65 y.","Employed","1","","",""
"22","1984","66 and older","Not Employed","","","",""
"22","1984","66 and older","Employed","","","",""
"23","1984","16-34 y.","Not Employed","2","","",""
"23","1984","16-34 y.","Employed","3","","",""
"23","1984","35-65 y.","Not Employed","","","",""
"23","1984","35-65 y.","Employed","","","",""
"23","1984","66 and older","Not Employed","","","",""
"23","1984","66 and older","Employed","","","",""
"24","1984","16-34 y.","Not Employed","1","","",""
"24","1984","16-34 y.","Employed","","","",""
"24","1984","35-65 y.","Not Employed","1","","",""
"24","1984","35-65 y.","Employed","","","",""
"24","1984","66 and older","Not Employed","","","",""
"24","1984","66 and older","Employed","","","",""
"25","1984","16-34 y.","Not Employed","1","","",""
"25","1984","16-34 y.","Employed","","","",""
"25","1984","35-65 y.","Not Employed","","","",""
"25","1984","35-65 y.","Employed","1","","",""
"25","1984","66 and older","Not Employed","","","",""
"25","1984","66 and older","Employed","","","",""
"26","1984","16-34 y.","Not Employed","","","",""
"26","1984","16-34 y.","Employed","","","",""
"26","1984","35-65 y.","Not Employed","","","",""
"26","1984","35-65 y.","Employed","2","","",""
"26","1984","66 and older","Not Employed","","","",""
"26","1984","66 and older","Employed","","","",""
"27","1984","16-34 y.","Not Employed","","","",""
"27","1984","16-34 y.","Employed","","","",""
"27","1984","35-65 y.","Not Employed","","","",""
"27","1984","35-65 y.","Employed","","","",""
"27","1984","66 and older","Not Employed","","","",""
"27","1984","66 and older","Employed","","","",""
"28","1984","16-34 y.","Not Employed","","","",""
"28","1984","16-34 y.","Employed","1","","",""
"28","1984","35-65 y.","Not Employed","2","","",""
"28","1984","35-65 y.","Employed","1","","",""
"28","1984","66 and older","Not Employed","","","",""
"28","1984","66 and older","Employed","","","",""
"29","1984","16-34 y.","Not Employed","","","",""
"29","1984","16-34 y.","Employed","","","",""
"29","1984","35-65 y.","Not Employed","","","",""
"29","1984","35-65 y.","Employed","1","","",""
"29","1984","66 and older","Not Employed","","","",""
"29","1984","66 and older","Employed","","","",""
"30","1984","16-34 y.","Not Employed","","","",""
"30","1984","16-34 y.","Employed","","","",""
"30","1984","35-65 y.","Not Employed","","","",""
"30","1984","35-65 y.","Employed","","","",""
"30","1984","66 and older","Not Employed","","","",""
"30","1984","66 and older","Employed","","","",""
"31","1984","16-34 y.","Not Employed","1","","",""
"31","1984","16-34 y.","Employed","1","","",""
"31","1984","35-65 y.","Not Employed","","","",""
"31","1984","35-65 y.","Employed","1","","",""
"31","1984","66 and older","Not Employed","","","",""
"31","1984","66 and older","Employed","","","",""
"32","1984","16-34 y.","Not Employed","","","",""
"32","1984","16-34 y.","Employed","","","",""
"32","1984","35-65 y.","Not Employed","","","",""
"32","1984","35-65 y.","Employed","","","",""
"32","1984","66 and older","Not Employed","","","",""
"32","1984","66 and older","Employed","","","",""
"34","1984","16-34 y.","Not Employed","1","","",""
"34","1984","16-34 y.","Employed","2","","",""
"34","1984","35-65 y.","Not Employed","1","","",""
"34","1984","35-65 y.","Employed","","","",""
"34","1984","66 and older","Not Employed","","","",""
"34","1984","66 and older","Employed","","","",""
"35","1984","16-34 y.","Not Employed","","","",""
"35","1984","16-34 y.","Employed","","","",""
"35","1984","35-65 y.","Not Employed","","","",""
"35","1984","35-65 y.","Employed","","","",""
"35","1984","66 and older","Not Employed","","","",""
"35","1984","66 and older","Employed","","","",""
"36","1984","16-34 y.","Not Employed","1","","",""
"36","1984","16-34 y.","Employed","","","",""
"36","1984","35-65 y.","Not Employed","","","",""
"36","1984","35-65 y.","Employed","","","",""
"36","1984","66 and older","Not Employed","","","",""
"36","1984","66 and older","Employed","","","",""
"37","1984","16-34 y.","Not Employed","","","",""
"37","1984","16-34 y.","Employed","","","",""
"37","1984","35-65 y.","Not Employed","","","",""
"37","1984","35-65 y.","Employed","","","",""
"37","1984","66 and older","Not Employed","","","",""
"37","1984","66 and older","Employed","","","",""
"38","1984","16-34 y.","Not Employed","","","",""
"38","1984","16-34 y.","Employed","","","",""
"38","1984","35-65 y.","Not Employed","1","","",""
"38","1984","35-65 y.","Employed","1","","",""
"38","1984","66 and older","Not Employed","","","",""
"38","1984","66 and older","Employed","","","",""
"39","1984","16-34 y.","Not Employed","","","",""
"39","1984","16-34 y.","Employed","1","","",""
"39","1984","35-65 y.","Not Employed","","","",""
"39","1984","35-65 y.","Employed","","","",""
"39","1984","66 and older","Not Employed","","","",""
"39","1984","66 and older","Employed","","","",""
"40","1984","16-34 y.","Not Employed","","","",""
"40","1984","16-34 y.","Employed","","","",""
"40","1984","35-65 y.","Not Employed","1","","",""
"40","1984","35-65 y.","Employed","","","",""
"40","1984","66 and older","Not Employed","","","",""
"40","1984","66 and older","Employed","","","",""
"41","1984","16-34 y.","Not Employed","","","",""
"41","1984","16-34 y.","Employed","","","",""
"41","1984","35-65 y.","Not Employed","1","","",""
"41","1984","35-65 y.","Employed","","","",""
"41","1984","66 and older","Not Employed","","","",""
"41","1984","66 and older","Employed","","","",""
"42","1984","16-34 y.","Not Employed","","","",""
"42","1984","16-34 y.","Employed","1","","",""
"42","1984","35-65 y.","Not Employed","","","",""
"42","1984","35-65 y.","Employed","","","",""
"42","1984","66 and older","Not Employed","","","",""
"42","1984","66 and older","Employed","","","",""
"43","1984","16-34 y.","Not Employed","1","","",""
"43","1984","16-34 y.","Employed","1","","",""
"43","1984","35-65 y.","Not Employed","","","",""
"43","1984","35-65 y.","Employed","","","",""
"43","1984","66 and older","Not Employed","","","",""
"43","1984","66 and older","Employed","","","",""
"44","1984","16-34 y.","Not Employed","","","",""
"44","1984","16-34 y.","Employed","","","",""
"44","1984","35-65 y.","Not Employed","","","",""
"44","1984","35-65 y.","Employed","","","",""
"44","1984","66 and older","Not Employed","","","",""
"44","1984","66 and older","Employed","","","",""
"45","1984","16-34 y.","Not Employed","","","",""
"45","1984","16-34 y.","Employed","","","",""
"45","1984","35-65 y.","Not Employed","","","",""
"45","1984","35-65 y.","Employed","","","",""
"45","1984","66 and older","Not Employed","","","",""
"45","1984","66 and older","Employed","","","",""
"46","1984","16-34 y.","Not Employed","","","",""
"46","1984","16-34 y.","Employed","","","",""
"46","1984","35-65 y.","Not Employed","","","",""
"46","1984","35-65 y.","Employed","","","",""
"46","1984","66 and older","Not Employed","","","",""
"46","1984","66 and older","Employed","","","",""
"47","1984","16-34 y.","Not Employed","","","",""
"47","1984","16-34 y.","Employed","","","",""
"47","1984","35-65 y.","Not Employed","","","",""
"47","1984","35-65 y.","Employed","","","",""
"47","1984","66 and older","Not Employed","","","",""
"47","1984","66 and older","Employed","","","",""
"48","1984","16-34 y.","Not Employed","","","",""
"48","1984","16-34 y.","Employed","","","",""
"48","1984","35-65 y.","Not Employed","","","",""
"48","1984","35-65 y.","Employed","","","",""
"48","1984","66 and older","Not Employed","","","",""
"48","1984","66 and older","Employed","","","",""
"49","1984","16-34 y.","Not Employed","","","",""
"49","1984","16-34 y.","Employed","","","",""
"49","1984","35-65 y.","Not Employed","","","",""
"49","1984","35-65 y.","Employed","","","",""
"49","1984","66 and older","Not Employed","","","",""
"49","1984","66 and older","Employed","","","",""
"50","1984","16-34 y.","Not Employed","","","",""
"50","1984","16-34 y.","Employed","","","",""
"50","1984","35-65 y.","Not Employed","","","",""
"50","1984","35-65 y.","Employed","","","",""
"50","1984","66 and older","Not Employed","","","",""
"50","1984","66 and older","Employed","","","",""
"51","1984","16-34 y.","Not Employed","","","",""
"51","1984","16-34 y.","Employed","","","",""
"51","1984","35-65 y.","Not Employed","","","",""
"51","1984","35-65 y.","Employed","","","",""
"51","1984","66 and older","Not Employed","","","",""
"51","1984","66 and older","Employed","","","",""
"52","1984","16-34 y.","Not Employed","","","",""
"52","1984","16-34 y.","Employed","","","",""
"52","1984","35-65 y.","Not Employed","","","",""
"52","1984","35-65 y.","Employed","","","",""
"52","1984","66 and older","Not Employed","","","",""
"52","1984","66 and older","Employed","","","",""
"53","1984","16-34 y.","Not Employed","","","",""
"53","1984","16-34 y.","Employed","","","",""
"53","1984","35-65 y.","Not Employed","","","",""
"53","1984","35-65 y.","Employed","","","",""
"53","1984","66 and older","Not Employed","","","",""
"53","1984","66 and older","Employed","","","",""
"54","1984","16-34 y.","Not Employed","","","",""
"54","1984","16-34 y.","Employed","","","",""
"54","1984","35-65 y.","Not Employed","","","",""
"54","1984","35-65 y.","Employed","","","",""
"54","1984","66 and older","Not Employed","","","",""
"54","1984","66 and older","Employed","","","",""
"55","1984","16-34 y.","Not Employed","","","",""
"55","1984","16-34 y.","Employed","","","",""
"55","1984","35-65 y.","Not Employed","","","",""
"55","1984","35-65 y.","Employed","","","",""
"55","1984","66 and older","Not Employed","","","",""
"55","1984","66 and older","Employed","","","",""
"56","1984","16-34 y.","Not Employed","","","",""
"56","1984","16-34 y.","Employed","","","",""
"56","1984","35-65 y.","Not Employed","","","",""
"56","1984","35-65 y.","Employed","","","",""
"56","1984","66 and older","Not Employed","","","",""
"56","1984","66 and older","Employed","","","",""
"59","1984","16-34 y.","Not Employed","","","",""
"59","1984","16-34 y.","Employed","","","",""
"59","1984","35-65 y.","Not Employed","","","",""
"59","1984","35-65 y.","Employed","","","",""
"59","1984","66 and older","Not Employed","","","",""
"59","1984","66 and older","Employed","","","",""
"60","1984","16-34 y.","Not Employed","","","",""
"60","1984","16-34 y.","Employed","","","",""
"60","1984","35-65 y.","Not Employed","","","",""
"60","1984","35-65 y.","Employed","","","",""
"60","1984","66 and older","Not Employed","","","",""
"60","1984","66 and older","Employed","","","",""
"61","1984","16-34 y.","Not Employed","","","",""
"61","1984","16-34 y.","Employed","","","",""
"61","1984","35-65 y.","Not Employed","","","",""
"61","1984","35-65 y.","Employed","","","",""
"61","1984","66 and older","Not Employed","","","",""
"61","1984","66 and older","Employed","","","",""
"64","1984","16-34 y.","Not Employed","","","",""
"64","1984","16-34 y.","Employed","","","",""
"64","1984","35-65 y.","Not Employed","","","",""
"64","1984","35-65 y.","Employed","","","",""
"64","1984","66 and older","Not Employed","","","",""
"64","1984","66 and older","Employed","","","",""
"65","1984","16-34 y.","Not Employed","","","",""
"65","1984","16-34 y.","Employed","","","",""
"65","1984","35-65 y.","Not Employed","","","",""
"65","1984","35-65 y.","Employed","","","",""
"65","1984","66 and older","Not Employed","","","",""
"65","1984","66 and older","Employed","","","",""
"66","1984","16-34 y.","Not Employed","","","",""
"66","1984","16-34 y.","Employed","","","",""
"66","1984","35-65 y.","Not Employed","","","",""
"66","1984","35-65 y.","Employed","","","",""
"66","1984","66 and older","Not Employed","","","",""
"66","1984","66 and older","Employed","","","",""
"67","1984","16-34 y.","Not Employed","","","",""
"67","1984","16-34 y.","Employed","","","",""
"67","1984","35-65 y.","Not Employed","","","",""
"67","1984","35-65 y.","Employed","","","",""
"67","1984","66 and older","Not Employed","","","",""
"67","1984","66 and older","Employed","","","",""
"68","1984","16-34 y.","Not Employed","","","",""
"68","1984","16-34 y.","Employed","","","",""
"68","1984","35-65 y.","Not Employed","","","",""
"68","1984","35-65 y.","Employed","","","",""
"68","1984","66 and older","Not Employed","","","",""
"68","1984","66 and older","Employed","","","",""
"71","1984","16-34 y.","Not Employed","","","",""
"71","1984","16-34 y.","Employed","","","",""
"71","1984","35-65 y.","Not Employed","","","",""
"71","1984","35-65 y.","Employed","","","",""
"71","1984","66 and older","Not Employed","","","",""
"71","1984","66 and older","Employed","","","",""
"72","1984","16-34 y.","Not Employed","","","",""
"72","1984","16-34 y.","Employed","","","",""
"72","1984","35-65 y.","Not Employed","","","",""
"72","1984","35-65 y.","Employed","","","",""
"72","1984","66 and older","Not Employed","","","",""
"72","1984","66 and older","Employed","","","",""
"73","1984","16-34 y.","Not Employed","","","",""
"73","1984","16-34 y.","Employed","","","",""
"73","1984","35-65 y.","Not Employed","","","",""
"73","1984","35-65 y.","Employed","","","",""
"73","1984","66 and older","Not Employed","","","",""
"73","1984","66 and older","Employed","","","",""
"74","1984","16-34 y.","Not Employed","","","",""
"74","1984","16-34 y.","Employed","","","",""
"74","1984","35-65 y.","Not Employed","","","",""
"74","1984","35-65 y.","Employed","","","",""
"74","1984","66 and older","Not Employed","","","",""
"74","1984","66 and older","Employed","","","",""
"75","1984","16-34 y.","Not Employed","","","",""
"75","1984","16-34 y.","Employed","","","",""
"75","1984","35-65 y.","Not Employed","","","",""
"75","1984","35-65 y.","Employed","","","",""
"75","1984","66 and older","Not Employed","","","",""
"75","1984","66 and older","Employed","","","",""
"76","1984","16-34 y.","Not Employed","","","",""
"76","1984","16-34 y.","Employed","","","",""
"76","1984","35-65 y.","Not Employed","","","",""
"76","1984","35-65 y.","Employed","","","",""
"76","1984","66 and older","Not Employed","","","",""
"76","1984","66 and older","Employed","","","",""
"77","1984","16-34 y.","Not Employed","","","",""
"77","1984","16-34 y.","Employed","","","",""
"77","1984","35-65 y.","Not Employed","","","",""
"77","1984","35-65 y.","Employed","","","",""
"77","1984","66 and older","Not Employed","","","",""
"77","1984","66 and older","Employed","","","",""
"78","1984","16-34 y.","Not Employed","","","",""
"78","1984","16-34 y.","Employed","","","",""
"78","1984","35-65 y.","Not Employed","","","",""
"78","1984","35-65 y.","Employed","","","",""
"78","1984","66 and older","Not Employed","","","",""
"78","1984","66 and older","Employed","","","",""
"79","1984","16-34 y.","Not Employed","","","",""
"79","1984","16-34 y.","Employed","","","",""
"79","1984","35-65 y.","Not Employed","","","",""
"79","1984","35-65 y.","Employed","","","",""
"79","1984","66 and older","Not Employed","","","",""
"79","1984","66 and older","Employed","","","",""
"80","1984","16-34 y.","Not Employed","","","",""
"80","1984","16-34 y.","Employed","","","",""
"80","1984","35-65 y.","Not Employed","","","",""
"80","1984","35-65 y.","Employed","","","",""
"80","1984","66 and older","Not Employed","","","",""
"80","1984","66 and older","Employed","","","",""
"81","1984","16-34 y.","Not Employed","","","",""
"81","1984","16-34 y.","Employed","","","",""
"81","1984","35-65 y.","Not Employed","","","",""
"81","1984","35-65 y.","Employed","","","",""
"81","1984","66 and older","Not Employed","","","",""
"81","1984","66 and older","Employed","","","",""
"82","1984","16-34 y.","Not Employed","","","",""
"82","1984","16-34 y.","Employed","","","",""
"82","1984","35-65 y.","Not Employed","","","",""
"82","1984","35-65 y.","Employed","","","",""
"82","1984","66 and older","Not Employed","","","",""
"82","1984","66 and older","Employed","","","",""
"83","1984","16-34 y.","Not Employed","","","",""
"83","1984","16-34 y.","Employed","","","",""
"83","1984","35-65 y.","Not Employed","","","",""
"83","1984","35-65 y.","Employed","","","",""
"83","1984","66 and older","Not Employed","","","",""
"83","1984","66 and older","Employed","","","",""
"84","1984","16-34 y.","Not Employed","","","",""
"84","1984","16-34 y.","Employed","","","",""
"84","1984","35-65 y.","Not Employed","","","",""
"84","1984","35-65 y.","Employed","","","",""
"84","1984","66 and older","Not Employed","","","",""
"84","1984","66 and older","Employed","","","",""
"85","1984","16-34 y.","Not Employed","","","",""
"85","1984","16-34 y.","Employed","","","",""
"85","1984","35-65 y.","Not Employed","","","",""
"85","1984","35-65 y.","Employed","","","",""
"85","1984","66 and older","Not Employed","","","",""
"85","1984","66 and older","Employed","","","",""
"86","1984","16-34 y.","Not Employed","","","",""
"86","1984","16-34 y.","Employed","","","",""
"86","1984","35-65 y.","Not Employed","","","",""
"86","1984","35-65 y.","Employed","","","",""
"86","1984","66 and older","Not Employed","","","",""
"86","1984","66 and older","Employed","","","",""
"89","1984","16-34 y.","Not Employed","","","",""
"89","1984","16-34 y.","Employed","","","",""
"89","1984","35-65 y.","Not Employed","","","",""
"89","1984","35-65 y.","Employed","","","",""
"89","1984","66 and older","Not Employed","","","",""
"89","1984","66 and older","Employed","","","",""
"90","1984","16-34 y.","Not Employed","","","",""
"90","1984","16-34 y.","Employed","","","",""
"90","1984","35-65 y.","Not Employed","","","",""
"90","1984","35-65 y.","Employed","","","",""
"90","1984","66 and older","Not Employed","","","",""
"90","1984","66 and older","Employed","","","",""
"92","1984","16-34 y.","Not Employed","","","",""
"92","1984","16-34 y.","Employed","","","",""
"92","1984","35-65 y.","Not Employed","","","",""
"92","1984","35-65 y.","Employed","","","",""
"92","1984","66 and older","Not Employed","","","",""
"92","1984","66 and older","Employed","","","",""
"94","1984","16-34 y.","Not Employed","","","",""
"94","1984","16-34 y.","Employed","","","",""
"94","1984","35-65 y.","Not Employed","","","",""
"94","1984","35-65 y.","Employed","","","",""
"94","1984","66 and older","Not Employed","","","",""
"94","1984","66 and older","Employed","","","",""
"95","1984","16-34 y.","Not Employed","","","",""
"95","1984","16-34 y.","Employed","","","",""
"95","1984","35-65 y.","Not Employed","","","",""
"95","1984","35-65 y.","Employed","","","",""
"95","1984","66 and older","Not Employed","","","",""
"95","1984","66 and older","Employed","","","",""
"96","1984","16-34 y.","Not Employed","","","",""
"96","1984","16-34 y.","Employed","","","",""
"96","1984","35-65 y.","Not Employed","","","",""
"96","1984","35-65 y.","Employed","","","",""
"96","1984","66 and older","Not Employed","","","",""
"96","1984","66 and older","Employed","","","",""
"97","1984","16-34 y.","Not Employed","","","",""
"97","1984","16-34 y.","Employed","","","",""
"97","1984","35-65 y.","Not Employed","","","",""
"97","1984","35-65 y.","Employed","","","",""
"97","1984","66 and older","Not Employed","","","",""
"97","1984","66 and older","Employed","","","",""
"98","1984","16-34 y.","Not Employed","1","","",""
"98","1984","16-34 y.","Employed","3","","",""
"98","1984","35-65 y.","Not Employed","2","","",""
"98","1984","35-65 y.","Employed","1","","",""
"98","1984","66 and older","Not Employed","3","","",""
"98","1984","66 and older","Employed","","","",""
"101","1984","16-34 y.","Not Employed","","","",""
"101","1984","16-34 y.","Employed","","","",""
"101","1984","35-65 y.","Not Employed","","","",""
"101","1984","35-65 y.","Employed","","","",""
"101","1984","66 and older","Not Employed","","","",""
"101","1984","66 and older","Employed","","","",""
"102","1984","16-34 y.","Not Employed","","","",""
"102","1984","16-34 y.","Employed","","","",""
"102","1984","35-65 y.","Not Employed","","","",""
"102","1984","35-65 y.","Employed","","","",""
"102","1984","66 and older","Not Employed","","","",""
"102","1984","66 and older","Employed","","","",""
"103","1984","16-34 y.","Not Employed","","","",""
"103","1984","16-34 y.","Employed","","","",""
"103","1984","35-65 y.","Not Employed","","","",""
"103","1984","35-65 y.","Employed","","","",""
"103","1984","66 and older","Not Employed","","","",""
"103","1984","66 and older","Employed","","","",""
"105","1984","16-34 y.","Not Employed","","","",""
"105","1984","16-34 y.","Employed","","","",""
"105","1984","35-65 y.","Not Employed","","","",""
"105","1984","35-65 y.","Employed","","","",""
"105","1984","66 and older","Not Employed","","","",""
"105","1984","66 and older","Employed","","","",""
"108","1984","16-34 y.","Not Employed","","","",""
"108","1984","16-34 y.","Employed","","","",""
"108","1984","35-65 y.","Not Employed","","","",""
"108","1984","35-65 y.","Employed","","","",""
"108","1984","66 and older","Not Employed","","","",""
"108","1984","66 and older","Employed","","","",""
"110","1984","16-34 y.","Not Employed","","","",""
"110","1984","16-34 y.","Employed","","","",""
"110","1984","35-65 y.","Not Employed","","","",""
"110","1984","35-65 y.","Employed","","","",""
"110","1984","66 and older","Not Employed","","","",""
"110","1984","66 and older","Employed","","","",""
"111","1984","16-34 y.","Not Employed","","","",""
"111","1984","16-34 y.","Employed","","","",""
"111","1984","35-65 y.","Not Employed","","","",""
"111","1984","35-65 y.","Employed","","","",""
"111","1984","66 and older","Not Employed","","","",""
"111","1984","66 and older","Employed","","","",""
"113","1984","16-34 y.","Not Employed","","","",""
"113","1984","16-34 y.","Employed","","","",""
"113","1984","35-65 y.","Not Employed","","","",""
"113","1984","35-65 y.","Employed","","","",""
"113","1984","66 and older","Not Employed","","","",""
"113","1984","66 and older","Employed","","","",""
"116","1984","16-34 y.","Not Employed","","","",""
"116","1984","16-34 y.","Employed","","","",""
"116","1984","35-65 y.","Not Employed","","","",""
"116","1984","35-65 y.","Employed","","","",""
"116","1984","66 and older","Not Employed","","","",""
"116","1984","66 and older","Employed","","","",""
"117","1984","16-34 y.","Not Employed","","","",""
"117","1984","16-34 y.","Employed","","","",""
"117","1984","35-65 y.","Not Employed","","","",""
"117","1984","35-65 y.","Employed","","","",""
"117","1984","66 and older","Not Employed","","","",""
"117","1984","66 and older","Employed","","","",""
"118","1984","16-34 y.","Not Employed","","","",""
"118","1984","16-34 y.","Employed","","","",""
"118","1984","35-65 y.","Not Employed","","","",""
"118","1984","35-65 y.","Employed","","","",""
"118","1984","66 and older","Not Employed","","","",""
"118","1984","66 and older","Employed","","","",""
"119","1984","16-34 y.","Not Employed","","","",""
"119","1984","16-34 y.","Employed","","","",""
"119","1984","35-65 y.","Not Employed","","","",""
"119","1984","35-65 y.","Employed","","","",""
"119","1984","66 and older","Not Employed","","","",""
"119","1984","66 and older","Employed","","","",""
"120","1984","16-34 y.","Not Employed","","","",""
"120","1984","16-34 y.","Employed","","","",""
"120","1984","35-65 y.","Not Employed","","","",""
"120","1984","35-65 y.","Employed","","","",""
"120","1984","66 and older","Not Employed","","","",""
"120","1984","66 and older","Employed","","","",""
"121","1984","16-34 y.","Not Employed","","","",""
"121","1984","16-34 y.","Employed","","","",""
"121","1984","35-65 y.","Not Employed","","","",""
"121","1984","35-65 y.","Employed","","","",""
"121","1984","66 and older","Not Employed","","","",""
"121","1984","66 and older","Employed","","","",""
"122","1984","16-34 y.","Not Employed","","","",""
"122","1984","16-34 y.","Employed","","","",""
"122","1984","35-65 y.","Not Employed","","","",""
"122","1984","35-65 y.","Employed","","","",""
