"pgnation","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"15","1984","Full Time","indirect migration background","","","",""
"15","1984","Part Time","no migration background","","","",""
"15","1984","Part Time","direct migration background","","","",""
"15","1984","Part Time","indirect migration background","","","",""
"15","1984","Not Working","no migration background","","","",""
"15","1984","Not Working","direct migration background","","","",""
"15","1984","Not Working","indirect migration background","","","",""
"16","1984","Full Time","no migration background","","","",""
"16","1984","Full Time","direct migration background","","","",""
"16","1984","Full Time","indirect migration background","","","",""
"16","1984","Part Time","no migration background","","","",""
"16","1984","Part Time","direct migration background","","","",""
"16","1984","Part Time","indirect migration background","","","",""
"16","1984","Not Working","no migration background","","","",""
"16","1984","Not Working","direct migration background","","","",""
"16","1984","Not Working","indirect migration background","","","",""
"17","1984","Full Time","no migration background","","","",""
"17","1984","Full Time","direct migration background","","","",""
"17","1984","Full Time","indirect migration background","","","",""
"17","1984","Part Time","no migration background","","","",""
"17","1984","Part Time","direct migration background","1","","",""
"17","1984","Part Time","indirect migration background","","","",""
"17","1984","Not Working","no migration background","","","",""
"17","1984","Not Working","direct migration background","","","",""
"17","1984","Not Working","indirect migration background","","","",""
"18","1984","Full Time","no migration background","","","",""
"18","1984","Full Time","direct migration background","5","","",""
"18","1984","Full Time","indirect migration background","","","",""
"18","1984","Part Time","no migration background","","","",""
"18","1984","Part Time","direct migration background","1","","",""
"18","1984","Part Time","indirect migration background","","","",""
"18","1984","Not Working","no migration background","","","",""
"18","1984","Not Working","direct migration background","9","","",""
"18","1984","Not Working","indirect migration background","1","","",""
"19","1984","Full Time","no migration background","","","",""
"19","1984","Full Time","direct migration background","3","","",""
"19","1984","Full Time","indirect migration background","","","",""
"19","1984","Part Time","no migration background","","","",""
"19","1984","Part Time","direct migration background","3","","",""
"19","1984","Part Time","indirect migration background","","","",""
"19","1984","Not Working","no migration background","","","",""
"19","1984","Not Working","direct migration background","2","","",""
"19","1984","Not Working","indirect migration background","","","",""
"20","1984","Full Time","no migration background","","","",""
"20","1984","Full Time","direct migration background","","","",""
"20","1984","Full Time","indirect migration background","","","",""
"20","1984","Part Time","no migration background","","","",""
"20","1984","Part Time","direct migration background","1","","",""
"20","1984","Part Time","indirect migration background","","","",""
"20","1984","Not Working","no migration background","","","",""
"20","1984","Not Working","direct migration background","1","","",""
"20","1984","Not Working","indirect migration background","","","",""
"21","1984","Full Time","no migration background","","","",""
"21","1984","Full Time","direct migration background","","","",""
"21","1984","Full Time","indirect migration background","","","",""
"21","1984","Part Time","no migration background","","","",""
"21","1984","Part Time","direct migration background","","","",""
"21","1984","Part Time","indirect migration background","","","",""
"21","1984","Not Working","no migration background","","","",""
"21","1984","Not Working","direct migration background","1","","",""
"21","1984","Not Working","indirect migration background","","","",""
"22","1984","Full Time","no migration background","","","",""
"22","1984","Full Time","direct migration background","1","","",""
"22","1984","Full Time","indirect migration background","","","",""
"22","1984","Part Time","no migration background","","","",""
"22","1984","Part Time","direct migration background","1","","",""
"22","1984","Part Time","indirect migration background","","","",""
"22","1984","Not Working","no migration background","","","",""
"22","1984","Not Working","direct migration background","7","","",""
"22","1984","Not Working","indirect migration background","","","",""
"23","1984","Full Time","no migration background","","","",""
"23","1984","Full Time","direct migration background","3","","",""
"23","1984","Full Time","indirect migration background","","","",""
"23","1984","Part Time","no migration background","","","",""
"23","1984","Part Time","direct migration background","","","",""
"23","1984","Part Time","indirect migration background","","","",""
"23","1984","Not Working","no migration background","","","",""
"23","1984","Not Working","direct migration background","2","","",""
"23","1984","Not Working","indirect migration background","","","",""
