"pgnation","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"14","1985","Full Time","Urban Area","3","","",""
"14","1985","Full Time","Rural Area","","","",""
"14","1985","Part Time","Urban Area","2","","",""
"14","1985","Part Time","Rural Area","","","",""
"14","1985","Not Working","Urban Area","","","",""
"14","1985","Not Working","Rural Area","","","",""
"15","1985","Full Time","Urban Area","","","",""
"15","1985","Full Time","Rural Area","","","",""
"15","1985","Part Time","Urban Area","","","",""
"15","1985","Part Time","Rural Area","","","",""
"15","1985","Not Working","Urban Area","","","",""
"15","1985","Not Working","Rural Area","","","",""
"16","1985","Full Time","Urban Area","","","",""
"16","1985","Full Time","Rural Area","","","",""
"16","1985","Part Time","Urban Area","","","",""
"16","1985","Part Time","Rural Area","","","",""
"16","1985","Not Working","Urban Area","","","",""
"16","1985","Not Working","Rural Area","","","",""
"17","1985","Full Time","Urban Area","","","",""
"17","1985","Full Time","Rural Area","","","",""
"17","1985","Part Time","Urban Area","","","",""
"17","1985","Part Time","Rural Area","1","","",""
"17","1985","Not Working","Urban Area","","","",""
"17","1985","Not Working","Rural Area","","","",""
"18","1985","Full Time","Urban Area","1","","",""
"18","1985","Full Time","Rural Area","","","",""
"18","1985","Part Time","Urban Area","2","","",""
"18","1985","Part Time","Rural Area","","","",""
"18","1985","Not Working","Urban Area","4","","",""
"18","1985","Not Working","Rural Area","1","","",""
"19","1985","Full Time","Urban Area","","","",""
"19","1985","Full Time","Rural Area","1","","",""
"19","1985","Part Time","Urban Area","3","","",""
"19","1985","Part Time","Rural Area","","","",""
"19","1985","Not Working","Urban Area","2","","",""
"19","1985","Not Working","Rural Area","1","","",""
"20","1985","Full Time","Urban Area","","","",""
"20","1985","Full Time","Rural Area","","","",""
"20","1985","Part Time","Urban Area","","","",""
"20","1985","Part Time","Rural Area","","","",""
"20","1985","Not Working","Urban Area","2","","",""
"20","1985","Not Working","Rural Area","","","",""
"21","1985","Full Time","Urban Area","","","",""
"21","1985","Full Time","Rural Area","","","",""
"21","1985","Part Time","Urban Area","1","","",""
"21","1985","Part Time","Rural Area","","","",""
"21","1985","Not Working","Urban Area","1","","",""
"21","1985","Not Working","Rural Area","","","",""
"22","1985","Full Time","Urban Area","","","",""
"22","1985","Full Time","Rural Area","1","","",""
"22","1985","Part Time","Urban Area","3","","",""
"22","1985","Part Time","Rural Area","","","",""
"22","1985","Not Working","Urban Area","2","","",""
"22","1985","Not Working","Rural Area","1","","",""
"23","1985","Full Time","Urban Area","1","","",""
"23","1985","Full Time","Rural Area","","","",""
"23","1985","Part Time","Urban Area","","","",""
"23","1985","Part Time","Rural Area","","","",""
"23","1985","Not Working","Urban Area","2","","",""
"23","1985","Not Working","Rural Area","","","",""
"24","1985","Full Time","Urban Area","","","",""
"24","1985","Full Time","Rural Area","","","",""
"24","1985","Part Time","Urban Area","","","",""
"24","1985","Part Time","Rural Area","","","",""
"24","1985","Not Working","Urban Area","2","","",""
"24","1985","Not Working","Rural Area","","","",""
"25","1985","Full Time","Urban Area","","","",""
"25","1985","Full Time","Rural Area","","","",""
"25","1985","Part Time","Urban Area","","","",""
"25","1985","Part Time","Rural Area","","","",""
"25","1985","Not Working","Urban Area","","","",""
"25","1985","Not Working","Rural Area","","","",""
"26","1985","Full Time","Urban Area","1","","",""
"26","1985","Full Time","Rural Area","","","",""
"26","1985","Part Time","Urban Area","1","","",""
"26","1985","Part Time","Rural Area","","","",""
"26","1985","Not Working","Urban Area","","","",""
"26","1985","Not Working","Rural Area","","","",""
"27","1985","Full Time","Urban Area","","","",""
"27","1985","Full Time","Rural Area","","","",""
"27","1985","Part Time","Urban Area","","","",""
"27","1985","Part Time","Rural Area","","","",""
"27","1985","Not Working","Urban Area","","","",""
"27","1985","Not Working","Rural Area","","","",""
"28","1985","Full Time","Urban Area","","","",""
"28","1985","Full Time","Rural Area","","","",""
"28","1985","Part Time","Urban Area","","","",""
"28","1985","Part Time","Rural Area","","","",""
"28","1985","Not Working","Urban Area","","","",""
"28","1985","Not Working","Rural Area","","","",""
"29","1985","Full Time","Urban Area","","","",""
"29","1985","Full Time","Rural Area","","","",""
"29","1985","Part Time","Urban Area","","","",""
"29","1985","Part Time","Rural Area","","","",""
"29","1985","Not Working","Urban Area","","","",""
"29","1985","Not Working","Rural Area","","","",""
"30","1985","Full Time","Urban Area","","","",""
"30","1985","Full Time","Rural Area","","","",""
"30","1985","Part Time","Urban Area","","","",""
"30","1985","Part Time","Rural Area","","","",""
"30","1985","Not Working","Urban Area","","","",""
"30","1985","Not Working","Rural Area","","","",""
"31","1985","Full Time","Urban Area","1","","",""
"31","1985","Full Time","Rural Area","","","",""
"31","1985","Part Time","Urban Area","1","","",""
"31","1985","Part Time","Rural Area","","","",""
"31","1985","Not Working","Urban Area","","","",""
"31","1985","Not Working","Rural Area","","","",""
"32","1985","Full Time","Urban Area","","","",""
"32","1985","Full Time","Rural Area","","","",""
"32","1985","Part Time","Urban Area","","","",""
"32","1985","Part Time","Rural Area","","","",""
"32","1985","Not Working","Urban Area","","","",""
"32","1985","Not Working","Rural Area","","","",""
"34","1985","Full Time","Urban Area","","","",""
"34","1985","Full Time","Rural Area","","","",""
"34","1985","Part Time","Urban Area","","","",""
"34","1985","Part Time","Rural Area","","","",""
"34","1985","Not Working","Urban Area","1","","",""
"34","1985","Not Working","Rural Area","","","",""
"35","1985","Full Time","Urban Area","","","",""
"35","1985","Full Time","Rural Area","","","",""
"35","1985","Part Time","Urban Area","","","",""
"35","1985","Part Time","Rural Area","","","",""
"35","1985","Not Working","Urban Area","","","",""
"35","1985","Not Working","Rural Area","","","",""
"37","1985","Full Time","Urban Area","","","",""
"37","1985","Full Time","Rural Area","","","",""
"37","1985","Part Time","Urban Area","","","",""
"37","1985","Part Time","Rural Area","","","",""
"37","1985","Not Working","Urban Area","","","",""
"37","1985","Not Working","Rural Area","","","",""
"38","1985","Full Time","Urban Area","1","","",""
"38","1985","Full Time","Rural Area","","","",""
"38","1985","Part Time","Urban Area","","","",""
"38","1985","Part Time","Rural Area","","","",""
"38","1985","Not Working","Urban Area","1","","",""
"38","1985","Not Working","Rural Area","","","",""
"39","1985","Full Time","Urban Area","","","",""
"39","1985","Full Time","Rural Area","","","",""
"39","1985","Part Time","Urban Area","2","","",""
"39","1985","Part Time","Rural Area","","","",""
"39","1985","Not Working","Urban Area","","","",""
"39","1985","Not Working","Rural Area","","","",""
"40","1985","Full Time","Urban Area","","","",""
"40","1985","Full Time","Rural Area","","","",""
"40","1985","Part Time","Urban Area","","","",""
"40","1985","Part Time","Rural Area","","","",""
"40","1985","Not Working","Urban Area","","","",""
"40","1985","Not Working","Rural Area","","","",""
"41","1985","Full Time","Urban Area","","","",""
"41","1985","Full Time","Rural Area","","","",""
"41","1985","Part Time","Urban Area","","","",""
"41","1985","Part Time","Rural Area","1","","",""
"41","1985","Not Working","Urban Area","","","",""
"41","1985","Not Working","Rural Area","","","",""
"42","1985","Full Time","Urban Area","1","","",""
"42","1985","Full Time","Rural Area","","","",""
"42","1985","Part Time","Urban Area","","","",""
"42","1985","Part Time","Rural Area","","","",""
"42","1985","Not Working","Urban Area","","","",""
"42","1985","Not Working","Rural Area","","","",""
"43","1985","Full Time","Urban Area","1","","",""
"43","1985","Full Time","Rural Area","","","",""
"43","1985","Part Time","Urban Area","","","",""
"43","1985","Part Time","Rural Area","","","",""
"43","1985","Not Working","Urban Area","1","","",""
"43","1985","Not Working","Rural Area","","","",""
"44","1985","Full Time","Urban Area","","","",""
"44","1985","Full Time","Rural Area","","","",""
"44","1985","Part Time","Urban Area","","","",""
"44","1985","Part Time","Rural Area","","","",""
"44","1985","Not Working","Urban Area","","","",""
"44","1985","Not Working","Rural Area","1","","",""
"45","1985","Full Time","Urban Area","","","",""
"45","1985","Full Time","Rural Area","","","",""
"45","1985","Part Time","Urban Area","","","",""
"45","1985","Part Time","Rural Area","","","",""
"45","1985","Not Working","Urban Area","","","",""
"45","1985","Not Working","Rural Area","","","",""
"46","1985","Full Time","Urban Area","","","",""
"46","1985","Full Time","Rural Area","","","",""
"46","1985","Part Time","Urban Area","","","",""
"46","1985","Part Time","Rural Area","","","",""
"46","1985","Not Working","Urban Area","","","",""
"46","1985","Not Working","Rural Area","","","",""
"47","1985","Full Time","Urban Area","","","",""
"47","1985","Full Time","Rural Area","","","",""
"47","1985","Part Time","Urban Area","","","",""
"47","1985","Part Time","Rural Area","","","",""
"47","1985","Not Working","Urban Area","","","",""
"47","1985","Not Working","Rural Area","","","",""
"48","1985","Full Time","Urban Area","","","",""
"48","1985","Full Time","Rural Area","","","",""
"48","1985","Part Time","Urban Area","","","",""
"48","1985","Part Time","Rural Area","","","",""
"48","1985","Not Working","Urban Area","","","",""
"48","1985","Not Working","Rural Area","","","",""
"49","1985","Full Time","Urban Area","","","",""
"49","1985","Full Time","Rural Area","","","",""
"49","1985","Part Time","Urban Area","","","",""
"49","1985","Part Time","Rural Area","","","",""
"49","1985","Not Working","Urban Area","","","",""
"49","1985","Not Working","Rural Area","","","",""
"50","1985","Full Time","Urban Area","","","",""
"50","1985","Full Time","Rural Area","","","",""
"50","1985","Part Time","Urban Area","","","",""
"50","1985","Part Time","Rural Area","","","",""
"50","1985","Not Working","Urban Area","","","",""
"50","1985","Not Working","Rural Area","","","",""
"51","1985","Full Time","Urban Area","","","",""
"51","1985","Full Time","Rural Area","","","",""
"51","1985","Part Time","Urban Area","","","",""
"51","1985","Part Time","Rural Area","","","",""
"51","1985","Not Working","Urban Area","","","",""
"51","1985","Not Working","Rural Area","","","",""
"52","1985","Full Time","Urban Area","","","",""
"52","1985","Full Time","Rural Area","","","",""
"52","1985","Part Time","Urban Area","","","",""
"52","1985","Part Time","Rural Area","","","",""
"52","1985","Not Working","Urban Area","","","",""
"52","1985","Not Working","Rural Area","","","",""
"53","1985","Full Time","Urban Area","","","",""
"53","1985","Full Time","Rural Area","","","",""
"53","1985","Part Time","Urban Area","","","",""
"53","1985","Part Time","Rural Area","","","",""
"53","1985","Not Working","Urban Area","","","",""
"53","1985","Not Working","Rural Area","","","",""
"54","1985","Full Time","Urban Area","","","",""
"54","1985","Full Time","Rural Area","","","",""
"54","1985","Part Time","Urban Area","","","",""
"54","1985","Part Time","Rural Area","","","",""
"54","1985","Not Working","Urban Area","","","",""
"54","1985","Not Working","Rural Area","","","",""
"55","1985","Full Time","Urban Area","","","",""
"55","1985","Full Time","Rural Area","","","",""
"55","1985","Part Time","Urban Area","","","",""
"55","1985","Part Time","Rural Area","","","",""
"55","1985","Not Working","Urban Area","","","",""
"55","1985","Not Working","Rural Area","","","",""
"56","1985","Full Time","Urban Area","","","",""
"56","1985","Full Time","Rural Area","","","",""
"56","1985","Part Time","Urban Area","","","",""
"56","1985","Part Time","Rural Area","","","",""
"56","1985","Not Working","Urban Area","","","",""
"56","1985","Not Working","Rural Area","","","",""
"59","1985","Full Time","Urban Area","","","",""
"59","1985","Full Time","Rural Area","","","",""
"59","1985","Part Time","Urban Area","","","",""
"59","1985","Part Time","Rural Area","","","",""
"59","1985","Not Working","Urban Area","","","",""
"59","1985","Not Working","Rural Area","","","",""
"60","1985","Full Time","Urban Area","","","",""
"60","1985","Full Time","Rural Area","","","",""
"60","1985","Part Time","Urban Area","","","",""
"60","1985","Part Time","Rural Area","","","",""
"60","1985","Not Working","Urban Area","","","",""
"60","1985","Not Working","Rural Area","","","",""
"61","1985","Full Time","Urban Area","","","",""
"61","1985","Full Time","Rural Area","","","",""
"61","1985","Part Time","Urban Area","","","",""
"61","1985","Part Time","Rural Area","","","",""
"61","1985","Not Working","Urban Area","","","",""
"61","1985","Not Working","Rural Area","","","",""
"64","1985","Full Time","Urban Area","","","",""
"64","1985","Full Time","Rural Area","","","",""
"64","1985","Part Time","Urban Area","","","",""
"64","1985","Part Time","Rural Area","","","",""
"64","1985","Not Working","Urban Area","","","",""
"64","1985","Not Working","Rural Area","","","",""
"65","1985","Full Time","Urban Area","","","",""
"65","1985","Full Time","Rural Area","","","",""
"65","1985","Part Time","Urban Area","","","",""
"65","1985","Part Time","Rural Area","","","",""
"65","1985","Not Working","Urban Area","","","",""
"65","1985","Not Working","Rural Area","","","",""
"66","1985","Full Time","Urban Area","","","",""
"66","1985","Full Time","Rural Area","","","",""
"66","1985","Part Time","Urban Area","","","",""
"66","1985","Part Time","Rural Area","","","",""
"66","1985","Not Working","Urban Area","","","",""
"66","1985","Not Working","Rural Area","","","",""
"67","1985","Full Time","Urban Area","","","",""
"67","1985","Full Time","Rural Area","","","",""
"67","1985","Part Time","Urban Area","","","",""
"67","1985","Part Time","Rural Area","","","",""
"67","1985","Not Working","Urban Area","","","",""
"67","1985","Not Working","Rural Area","","","",""
"68","1985","Full Time","Urban Area","","","",""
"68","1985","Full Time","Rural Area","","","",""
"68","1985","Part Time","Urban Area","","","",""
"68","1985","Part Time","Rural Area","","","",""
"68","1985","Not Working","Urban Area","","","",""
"68","1985","Not Working","Rural Area","","","",""
"71","1985","Full Time","Urban Area","","","",""
"71","1985","Full Time","Rural Area","","","",""
"71","1985","Part Time","Urban Area","","","",""
"71","1985","Part Time","Rural Area","","","",""
"71","1985","Not Working","Urban Area","","","",""
"71","1985","Not Working","Rural Area","","","",""
"72","1985","Full Time","Urban Area","","","",""
"72","1985","Full Time","Rural Area","","","",""
"72","1985","Part Time","Urban Area","","","",""
"72","1985","Part Time","Rural Area","","","",""
"72","1985","Not Working","Urban Area","","","",""
"72","1985","Not Working","Rural Area","","","",""
"73","1985","Full Time","Urban Area","","","",""
"73","1985","Full Time","Rural Area","","","",""
"73","1985","Part Time","Urban Area","","","",""
"73","1985","Part Time","Rural Area","","","",""
"73","1985","Not Working","Urban Area","","","",""
"73","1985","Not Working","Rural Area","","","",""
"74","1985","Full Time","Urban Area","","","",""
"74","1985","Full Time","Rural Area","","","",""
"74","1985","Part Time","Urban Area","","","",""
"74","1985","Part Time","Rural Area","","","",""
"74","1985","Not Working","Urban Area","","","",""
"74","1985","Not Working","Rural Area","","","",""
"75","1985","Full Time","Urban Area","","","",""
"75","1985","Full Time","Rural Area","","","",""
"75","1985","Part Time","Urban Area","","","",""
"75","1985","Part Time","Rural Area","","","",""
"75","1985","Not Working","Urban Area","","","",""
"75","1985","Not Working","Rural Area","","","",""
"76","1985","Full Time","Urban Area","","","",""
"76","1985","Full Time","Rural Area","","","",""
"76","1985","Part Time","Urban Area","","","",""
"76","1985","Part Time","Rural Area","","","",""
"76","1985","Not Working","Urban Area","","","",""
"76","1985","Not Working","Rural Area","","","",""
"77","1985","Full Time","Urban Area","","","",""
"77","1985","Full Time","Rural Area","","","",""
"77","1985","Part Time","Urban Area","","","",""
"77","1985","Part Time","Rural Area","","","",""
"77","1985","Not Working","Urban Area","","","",""
"77","1985","Not Working","Rural Area","","","",""
"78","1985","Full Time","Urban Area","","","",""
"78","1985","Full Time","Rural Area","","","",""
"78","1985","Part Time","Urban Area","","","",""
"78","1985","Part Time","Rural Area","","","",""
"78","1985","Not Working","Urban Area","","","",""
"78","1985","Not Working","Rural Area","","","",""
"79","1985","Full Time","Urban Area","","","",""
"79","1985","Full Time","Rural Area","","","",""
"79","1985","Part Time","Urban Area","","","",""
"79","1985","Part Time","Rural Area","","","",""
"79","1985","Not Working","Urban Area","","","",""
"79","1985","Not Working","Rural Area","","","",""
"80","1985","Full Time","Urban Area","","","",""
"80","1985","Full Time","Rural Area","","","",""
"80","1985","Part Time","Urban Area","","","",""
"80","1985","Part Time","Rural Area","","","",""
"80","1985","Not Working","Urban Area","","","",""
"80","1985","Not Working","Rural Area","","","",""
"81","1985","Full Time","Urban Area","","","",""
"81","1985","Full Time","Rural Area","","","",""
"81","1985","Part Time","Urban Area","","","",""
"81","1985","Part Time","Rural Area","","","",""
"81","1985","Not Working","Urban Area","","","",""
"81","1985","Not Working","Rural Area","","","",""
"82","1985","Full Time","Urban Area","","","",""
"82","1985","Full Time","Rural Area","","","",""
"82","1985","Part Time","Urban Area","","","",""
"82","1985","Part Time","Rural Area","","","",""
"82","1985","Not Working","Urban Area","","","",""
"82","1985","Not Working","Rural Area","","","",""
"83","1985","Full Time","Urban Area","","","",""
"83","1985","Full Time","Rural Area","","","",""
"83","1985","Part Time","Urban Area","","","",""
"83","1985","Part Time","Rural Area","","","",""
"83","1985","Not Working","Urban Area","","","",""
"83","1985","Not Working","Rural Area","","","",""
"84","1985","Full Time","Urban Area","","","",""
"84","1985","Full Time","Rural Area","","","",""
"84","1985","Part Time","Urban Area","","","",""
"84","1985","Part Time","Rural Area","","","",""
"84","1985","Not Working","Urban Area","","","",""
"84","1985","Not Working","Rural Area","","","",""
"85","1985","Full Time","Urban Area","","","",""
"85","1985","Full Time","Rural Area","","","",""
"85","1985","Part Time","Urban Area","","","",""
"85","1985","Part Time","Rural Area","","","",""
"85","1985","Not Working","Urban Area","","","",""
"85","1985","Not Working","Rural Area","","","",""
"86","1985","Full Time","Urban Area","","","",""
"86","1985","Full Time","Rural Area","","","",""
"86","1985","Part Time","Urban Area","","","",""
"86","1985","Part Time","Rural Area","","","",""
"86","1985","Not Working","Urban Area","","","",""
"86","1985","Not Working","Rural Area","","","",""
"89","1985","Full Time","Urban Area","","","",""
"89","1985","Full Time","Rural Area","","","",""
"89","1985","Part Time","Urban Area","","","",""
"89","1985","Part Time","Rural Area","","","",""
"89","1985","Not Working","Urban Area","","","",""
"89","1985","Not Working","Rural Area","","","",""
"90","1985","Full Time","Urban Area","","","",""
"90","1985","Full Time","Rural Area","","","",""
"90","1985","Part Time","Urban Area","","","",""
"90","1985","Part Time","Rural Area","","","",""
"90","1985","Not Working","Urban Area","","","",""
"90","1985","Not Working","Rural Area","","","",""
"92","1985","Full Time","Urban Area","","","",""
"92","1985","Full Time","Rural Area","","","",""
"92","1985","Part Time","Urban Area","","","",""
"92","1985","Part Time","Rural Area","","","",""
"92","1985","Not Working","Urban Area","","","",""
"92","1985","Not Working","Rural Area","","","",""
"94","1985","Full Time","Urban Area","","","",""
"94","1985","Full Time","Rural Area","","","",""
"94","1985","Part Time","Urban Area","","","",""
"94","1985","Part Time","Rural Area","","","",""
"94","1985","Not Working","Urban Area","","","",""
"94","1985","Not Working","Rural Area","","","",""
"95","1985","Full Time","Urban Area","","","",""
"95","1985","Full Time","Rural Area","","","",""
"95","1985","Part Time","Urban Area","","","",""
"95","1985","Part Time","Rural Area","","","",""
"95","1985","Not Working","Urban Area","","","",""
"95","1985","Not Working","Rural Area","","","",""
"96","1985","Full Time","Urban Area","","","",""
"96","1985","Full Time","Rural Area","","","",""
"96","1985","Part Time","Urban Area","","","",""
"96","1985","Part Time","Rural Area","","","",""
"96","1985","Not Working","Urban Area","","","",""
"96","1985","Not Working","Rural Area","","","",""
"97","1985","Full Time","Urban Area","","","",""
"97","1985","Full Time","Rural Area","","","",""
"97","1985","Part Time","Urban Area","","","",""
"97","1985","Part Time","Rural Area","","","",""
"97","1985","Not Working","Urban Area","","","",""
"97","1985","Not Working","Rural Area","","","",""
"98","1985","Full Time","Urban Area","4","","",""
"98","1985","Full Time","Rural Area","","","",""
"98","1985","Part Time","Urban Area","1","","",""
"98","1985","Part Time","Rural Area","","","",""
"98","1985","Not Working","Urban Area","3","","",""
"98","1985","Not Working","Rural Area","2","","",""
"101","1985","Full Time","Urban Area","","","",""
"101","1985","Full Time","Rural Area","","","",""
"101","1985","Part Time","Urban Area","","","",""
"101","1985","Part Time","Rural Area","","","",""
"101","1985","Not Working","Urban Area","","","",""
"101","1985","Not Working","Rural Area","","","",""
"102","1985","Full Time","Urban Area","","","",""
"102","1985","Full Time","Rural Area","","","",""
"102","1985","Part Time","Urban Area","","","",""
"102","1985","Part Time","Rural Area","","","",""
"102","1985","Not Working","Urban Area","","","",""
"102","1985","Not Working","Rural Area","","","",""
"103","1985","Full Time","Urban Area","","","",""
"103","1985","Full Time","Rural Area","","","",""
"103","1985","Part Time","Urban Area","","","",""
"103","1985","Part Time","Rural Area","","","",""
"103","1985","Not Working","Urban Area","","","",""
"103","1985","Not Working","Rural Area","","","",""
"105","1985","Full Time","Urban Area","","","",""
"105","1985","Full Time","Rural Area","","","",""
"105","1985","Part Time","Urban Area","","","",""
"105","1985","Part Time","Rural Area","","","",""
"105","1985","Not Working","Urban Area","","","",""
"105","1985","Not Working","Rural Area","","","",""
"108","1985","Full Time","Urban Area","","","",""
"108","1985","Full Time","Rural Area","","","",""
"108","1985","Part Time","Urban Area","","","",""
"108","1985","Part Time","Rural Area","","","",""
"108","1985","Not Working","Urban Area","","","",""
"108","1985","Not Working","Rural Area","","","",""
"110","1985","Full Time","Urban Area","","","",""
"110","1985","Full Time","Rural Area","","","",""
"110","1985","Part Time","Urban Area","","","",""
"110","1985","Part Time","Rural Area","","","",""
"110","1985","Not Working","Urban Area","","","",""
"110","1985","Not Working","Rural Area","","","",""
"111","1985","Full Time","Urban Area","","","",""
"111","1985","Full Time","Rural Area","","","",""
"111","1985","Part Time","Urban Area","","","",""
"111","1985","Part Time","Rural Area","","","",""
"111","1985","Not Working","Urban Area","","","",""
"111","1985","Not Working","Rural Area","","","",""
"113","1985","Full Time","Urban Area","","","",""
"113","1985","Full Time","Rural Area","","","",""
"113","1985","Part Time","Urban Area","","","",""
"113","1985","Part Time","Rural Area","","","",""
"113","1985","Not Working","Urban Area","","","",""
"113","1985","Not Working","Rural Area","","","",""
"116","1985","Full Time","Urban Area","","","",""
"116","1985","Full Time","Rural Area","","","",""
"116","1985","Part Time","Urban Area","","","",""
"116","1985","Part Time","Rural Area","","","",""
"116","1985","Not Working","Urban Area","","","",""
"116","1985","Not Working","Rural Area","","","",""
"117","1985","Full Time","Urban Area","","","",""
"117","1985","Full Time","Rural Area","","","",""
"117","1985","Part Time","Urban Area","","","",""
"117","1985","Part Time","Rural Area","","","",""
"117","1985","Not Working","Urban Area","","","",""
"117","1985","Not Working","Rural Area","","","",""
"118","1985","Full Time","Urban Area","","","",""
"118","1985","Full Time","Rural Area","","","",""
"118","1985","Part Time","Urban Area","","","",""
"118","1985","Part Time","Rural Area","","","",""
"118","1985","Not Working","Urban Area","","","",""
"118","1985","Not Working","Rural Area","","","",""
"119","1985","Full Time","Urban Area","","","",""
"119","1985","Full Time","Rural Area","","","",""
"119","1985","Part Time","Urban Area","","","",""
"119","1985","Part Time","Rural Area","","","",""
"119","1985","Not Working","Urban Area","","","",""
"119","1985","Not Working","Rural Area","","","",""
"120","1985","Full Time","Urban Area","","","",""
"120","1985","Full Time","Rural Area","","","",""
"120","1985","Part Time","Urban Area","","","",""
"120","1985","Part Time","Rural Area","","","",""
"120","1985","Not Working","Urban Area","","","",""
"120","1985","Not Working","Rural Area","","","",""
"121","1985","Full Time","Urban Area","","","",""
"121","1985","Full Time","Rural Area","","","",""
"121","1985","Part Time","Urban Area","","","",""
"121","1985","Part Time","Rural Area","","","",""
"121","1985","Not Working","Urban Area","","","",""
"121","1985","Not Working","Rural Area","","","",""
"122","1985","Full Time","Urban Area","","","",""
"122","1985","Full Time","Rural Area","","","",""
"122","1985","Part Time","Urban Area","","","",""
"122","1985","Part Time","Rural Area","","","",""
"122","1985","Not Working","Urban Area","","","",""
"122","1985","Not Working","Rural Area","","","",""
"123","1985","Full Time","Urban Area","","","",""
"123","1985","Full Time","Rural Area","","","",""
"123","1985","Part Time","Urban Area","","","",""
"123","1985","Part Time","Rural Area","","","",""
"123","1985","Not Working","Urban Area","","","",""
"123","1985","Not Working","Rural Area","","","",""
"124","1985","Full Time","Urban Area","","","",""
"124","1985","Full Time","Rural Area","","","",""
"124","1985","Part Time","Urban Area","","","",""
"124","1985","Part Time","Rural Area","","","",""
"124","1985","Not Working","Urban Area","","","",""
"124","1985","Not Working","Rural Area","","","",""
"125","1985","Full Time","Urban Area","","","",""
"125","1985","Full Time","Rural Area","","","",""
"125","1985","Part Time","Urban Area","","","",""
