"pgnation","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"85","1984","Employed","West Germany","","","",""
"85","1984","Employed","East Germany","","","",""
"86","1984","Not Employed","West Germany","","","",""
"86","1984","Not Employed","East Germany","","","",""
"86","1984","Employed","West Germany","","","",""
"86","1984","Employed","East Germany","","","",""
"89","1984","Not Employed","West Germany","","","",""
"89","1984","Not Employed","East Germany","","","",""
"89","1984","Employed","West Germany","","","",""
"89","1984","Employed","East Germany","","","",""
"90","1984","Not Employed","West Germany","","","",""
"90","1984","Not Employed","East Germany","","","",""
"90","1984","Employed","West Germany","","","",""
"90","1984","Employed","East Germany","","","",""
"92","1984","Not Employed","West Germany","","","",""
"92","1984","Not Employed","East Germany","","","",""
"92","1984","Employed","West Germany","","","",""
"92","1984","Employed","East Germany","","","",""
"94","1984","Not Employed","West Germany","","","",""
"94","1984","Not Employed","East Germany","","","",""
"94","1984","Employed","West Germany","","","",""
"94","1984","Employed","East Germany","","","",""
"95","1984","Not Employed","West Germany","","","",""
"95","1984","Not Employed","East Germany","","","",""
"95","1984","Employed","West Germany","","","",""
"95","1984","Employed","East Germany","","","",""
"96","1984","Not Employed","West Germany","","","",""
"96","1984","Not Employed","East Germany","","","",""
"96","1984","Employed","West Germany","","","",""
"96","1984","Employed","East Germany","","","",""
"97","1984","Not Employed","West Germany","","","",""
"97","1984","Not Employed","East Germany","","","",""
"97","1984","Employed","West Germany","","","",""
"97","1984","Employed","East Germany","","","",""
"98","1984","Not Employed","West Germany","6","","",""
"98","1984","Not Employed","East Germany","","","",""
"98","1984","Employed","West Germany","4","","",""
"98","1984","Employed","East Germany","","","",""
"101","1984","Not Employed","West Germany","","","",""
"101","1984","Not Employed","East Germany","","","",""
"101","1984","Employed","West Germany","","","",""
"101","1984","Employed","East Germany","","","",""
"102","1984","Not Employed","West Germany","","","",""
"102","1984","Not Employed","East Germany","","","",""
"102","1984","Employed","West Germany","","","",""
"102","1984","Employed","East Germany","","","",""
"103","1984","Not Employed","West Germany","","","",""
"103","1984","Not Employed","East Germany","","","",""
"103","1984","Employed","West Germany","","","",""
"103","1984","Employed","East Germany","","","",""
"105","1984","Not Employed","West Germany","","","",""
"105","1984","Not Employed","East Germany","","","",""
"105","1984","Employed","West Germany","","","",""
"105","1984","Employed","East Germany","","","",""
"108","1984","Not Employed","West Germany","","","",""
"108","1984","Not Employed","East Germany","","","",""
"108","1984","Employed","West Germany","","","",""
"108","1984","Employed","East Germany","","","",""
"110","1984","Not Employed","West Germany","","","",""
"110","1984","Not Employed","East Germany","","","",""
"110","1984","Employed","West Germany","","","",""
"110","1984","Employed","East Germany","","","",""
"111","1984","Not Employed","West Germany","","","",""
"111","1984","Not Employed","East Germany","","","",""
"111","1984","Employed","West Germany","","","",""
"111","1984","Employed","East Germany","","","",""
"113","1984","Not Employed","West Germany","","","",""
"113","1984","Not Employed","East Germany","","","",""
"113","1984","Employed","West Germany","","","",""
"113","1984","Employed","East Germany","","","",""
"116","1984","Not Employed","West Germany","","","",""
"116","1984","Not Employed","East Germany","","","",""
"116","1984","Employed","West Germany","","","",""
"116","1984","Employed","East Germany","","","",""
"117","1984","Not Employed","West Germany","","","",""
"117","1984","Not Employed","East Germany","","","",""
"117","1984","Employed","West Germany","","","",""
"117","1984","Employed","East Germany","","","",""
"118","1984","Not Employed","West Germany","","","",""
"118","1984","Not Employed","East Germany","","","",""
"118","1984","Employed","West Germany","","","",""
"118","1984","Employed","East Germany","","","",""
"119","1984","Not Employed","West Germany","","","",""
"119","1984","Not Employed","East Germany","","","",""
"119","1984","Employed","West Germany","","","",""
"119","1984","Employed","East Germany","","","",""
"120","1984","Not Employed","West Germany","","","",""
"120","1984","Not Employed","East Germany","","","",""
"120","1984","Employed","West Germany","","","",""
"120","1984","Employed","East Germany","","","",""
"121","1984","Not Employed","West Germany","","","",""
"121","1984","Not Employed","East Germany","","","",""
"121","1984","Employed","West Germany","","","",""
"121","1984","Employed","East Germany","","","",""
"122","1984","Not Employed","West Germany","","","",""
"122","1984","Not Employed","East Germany","","","",""
"122","1984","Employed","West Germany","","","",""
"122","1984","Employed","East Germany","","","",""
"123","1984","Not Employed","West Germany","","","",""
"123","1984","Not Employed","East Germany","","","",""
"123","1984","Employed","West Germany","","","",""
"123","1984","Employed","East Germany","","","",""
"124","1984","Not Employed","West Germany","","","",""
"124","1984","Not Employed","East Germany","","","",""
"124","1984","Employed","West Germany","","","",""
"124","1984","Employed","East Germany","","","",""
"125","1984","Not Employed","West Germany","","","",""
"125","1984","Not Employed","East Germany","","","",""
"125","1984","Employed","West Germany","","","",""
"125","1984","Employed","East Germany","","","",""
"127","1984","Not Employed","West Germany","","","",""
"127","1984","Not Employed","East Germany","","","",""
"127","1984","Employed","West Germany","","","",""
"127","1984","Employed","East Germany","","","",""
"128","1984","Not Employed","West Germany","","","",""
"128","1984","Not Employed","East Germany","","","",""
"128","1984","Employed","West Germany","","","",""
"128","1984","Employed","East Germany","","","",""
"129","1984","Not Employed","West Germany","","","",""
"129","1984","Not Employed","East Germany","","","",""
"129","1984","Employed","West Germany","","","",""
"129","1984","Employed","East Germany","","","",""
"130","1984","Not Employed","West Germany","","","",""
"130","1984","Not Employed","East Germany","","","",""
"130","1984","Employed","West Germany","","","",""
"130","1984","Employed","East Germany","","","",""
"131","1984","Not Employed","West Germany","","","",""
"131","1984","Not Employed","East Germany","","","",""
"131","1984","Employed","West Germany","","","",""
"131","1984","Employed","East Germany","","","",""
"132","1984","Not Employed","West Germany","","","",""
"132","1984","Not Employed","East Germany","","","",""
"132","1984","Employed","West Germany","","","",""
"132","1984","Employed","East Germany","","","",""
"133","1984","Not Employed","West Germany","","","",""
"133","1984","Not Employed","East Germany","","","",""
"133","1984","Employed","West Germany","","","",""
"133","1984","Employed","East Germany","","","",""
"135","1984","Not Employed","West Germany","","","",""
"135","1984","Not Employed","East Germany","","","",""
"135","1984","Employed","West Germany","","","",""
"135","1984","Employed","East Germany","","","",""
"138","1984","Not Employed","West Germany","","","",""
"138","1984","Not Employed","East Germany","","","",""
"138","1984","Employed","West Germany","","","",""
"138","1984","Employed","East Germany","","","",""
"139","1984","Not Employed","West Germany","","","",""
"139","1984","Not Employed","East Germany","","","",""
"139","1984","Employed","West Germany","","","",""
"139","1984","Employed","East Germany","","","",""
"140","1984","Not Employed","West Germany","","","",""
"140","1984","Not Employed","East Germany","","","",""
"140","1984","Employed","West Germany","","","",""
"140","1984","Employed","East Germany","","","",""
"141","1984","Not Employed","West Germany","","","",""
"141","1984","Not Employed","East Germany","","","",""
"141","1984","Employed","West Germany","","","",""
"141","1984","Employed","East Germany","","","",""
"142","1984","Not Employed","West Germany","","","",""
"142","1984","Not Employed","East Germany","","","",""
"142","1984","Employed","West Germany","","","",""
"142","1984","Employed","East Germany","","","",""
"143","1984","Not Employed","West Germany","","","",""
"143","1984","Not Employed","East Germany","","","",""
"143","1984","Employed","West Germany","","","",""
"143","1984","Employed","East Germany","","","",""
"144","1984","Not Employed","West Germany","","","",""
"144","1984","Not Employed","East Germany","","","",""
"144","1984","Employed","West Germany","","","",""
"144","1984","Employed","East Germany","","","",""
"145","1984","Not Employed","West Germany","","","",""
"145","1984","Not Employed","East Germany","","","",""
"145","1984","Employed","West Germany","","","",""
"145","1984","Employed","East Germany","","","",""
"146","1984","Not Employed","West Germany","","","",""
"146","1984","Not Employed","East Germany","","","",""
"146","1984","Employed","West Germany","","","",""
"146","1984","Employed","East Germany","","","",""
"147","1984","Not Employed","West Germany","","","",""
"147","1984","Not Employed","East Germany","","","",""
"147","1984","Employed","West Germany","","","",""
"147","1984","Employed","East Germany","","","",""
"148","1984","Not Employed","West Germany","","","",""
"148","1984","Not Employed","East Germany","","","",""
"148","1984","Employed","West Germany","","","",""
"148","1984","Employed","East Germany","","","",""
"149","1984","Not Employed","West Germany","","","",""
"149","1984","Not Employed","East Germany","","","",""
"149","1984","Employed","West Germany","","","",""
"149","1984","Employed","East Germany","","","",""
"151","1984","Not Employed","West Germany","","","",""
"151","1984","Not Employed","East Germany","","","",""
"151","1984","Employed","West Germany","","","",""
"151","1984","Employed","East Germany","","","",""
"152","1984","Not Employed","West Germany","","","",""
"152","1984","Not Employed","East Germany","","","",""
"152","1984","Employed","West Germany","","","",""
"152","1984","Employed","East Germany","","","",""
"154","1984","Not Employed","West Germany","","","",""
"154","1984","Not Employed","East Germany","","","",""
"154","1984","Employed","West Germany","","","",""
"154","1984","Employed","East Germany","","","",""
"155","1984","Not Employed","West Germany","","","",""
"155","1984","Not Employed","East Germany","","","",""
"155","1984","Employed","West Germany","","","",""
"155","1984","Employed","East Germany","","","",""
"156","1984","Not Employed","West Germany","","","",""
"156","1984","Not Employed","East Germany","","","",""
"156","1984","Employed","West Germany","","","",""
"156","1984","Employed","East Germany","","","",""
"158","1984","Not Employed","West Germany","","","",""
"158","1984","Not Employed","East Germany","","","",""
"158","1984","Employed","West Germany","","","",""
"158","1984","Employed","East Germany","","","",""
"162","1984","Not Employed","West Germany","","","",""
"162","1984","Not Employed","East Germany","","","",""
"162","1984","Employed","West Germany","","","",""
"162","1984","Employed","East Germany","","","",""
"164","1984","Not Employed","West Germany","","","",""
"164","1984","Not Employed","East Germany","","","",""
"164","1984","Employed","West Germany","","","",""
"164","1984","Employed","East Germany","","","",""
"165","1984","Not Employed","West Germany","","","",""
"165","1984","Not Employed","East Germany","","","",""
"165","1984","Employed","West Germany","","","",""
"165","1984","Employed","East Germany","","","",""
"166","1984","Not Employed","West Germany","","","",""
"166","1984","Not Employed","East Germany","","","",""
"166","1984","Employed","West Germany","","","",""
"166","1984","Employed","East Germany","","","",""
"167","1984","Not Employed","West Germany","","","",""
"167","1984","Not Employed","East Germany","","","",""
"167","1984","Employed","West Germany","","","",""
"167","1984","Employed","East Germany","","","",""
"168","1984","Not Employed","West Germany","","","",""
"168","1984","Not Employed","East Germany","","","",""
"168","1984","Employed","West Germany","","","",""
"168","1984","Employed","East Germany","","","",""
"169","1984","Not Employed","West Germany","","","",""
"169","1984","Not Employed","East Germany","","","",""
"169","1984","Employed","West Germany","","","",""
"169","1984","Employed","East Germany","","","",""
"172","1984","Not Employed","West Germany","","","",""
"172","1984","Not Employed","East Germany","","","",""
"172","1984","Employed","West Germany","","","",""
"172","1984","Employed","East Germany","","","",""
"173","1984","Not Employed","West Germany","","","",""
"173","1984","Not Employed","East Germany","","","",""
"173","1984","Employed","West Germany","","","",""
"173","1984","Employed","East Germany","","","",""
"178","1984","Not Employed","West Germany","","","",""
"178","1984","Not Employed","East Germany","","","",""
"178","1984","Employed","West Germany","","","",""
"178","1984","Employed","East Germany","","","",""
"181","1984","Not Employed","West Germany","","","",""
"181","1984","Not Employed","East Germany","","","",""
"181","1984","Employed","West Germany","","","",""
"181","1984","Employed","East Germany","","","",""
"183","1984","Not Employed","West Germany","","","",""
"183","1984","Not Employed","East Germany","","","",""
"183","1984","Employed","West Germany","","","",""
"183","1984","Employed","East Germany","","","",""
"188","1984","Not Employed","West Germany","","","",""
"188","1984","Not Employed","East Germany","","","",""
"188","1984","Employed","West Germany","","","",""
"188","1984","Employed","East Germany","","","",""
"195","1984","Not Employed","West Germany","","","",""
"195","1984","Not Employed","East Germany","","","",""
"195","1984","Employed","West Germany","","","",""
"195","1984","Employed","East Germany","","","",""
"196","1984","Not Employed","West Germany","","","",""
"196","1984","Not Employed","East Germany","","","",""
"196","1984","Employed","West Germany","","","",""
"196","1984","Employed","East Germany","","","",""
"999","1984","Not Employed","West Germany","","","",""
"999","1984","Not Employed","East Germany","","","",""
"999","1984","Employed","West Germany","","","",""
"999","1984","Employed","East Germany","","","",""
"1","1985","Not Employed","West Germany","3418","0.955902853896285","0.949717905540046","0.962087802252524"
"1","1985","Not Employed","East Germany","","","",""
"1","1985","Employed","West Germany","4941","0.922532560205083","0.916203685552963","0.928861434857204"
"1","1985","Employed","East Germany","","","",""
"2","1985","Not Employed","West Germany","328","0.0167418308191008","0.0128767443625102","0.0206069172756915"
"2","1985","Not Employed","East Germany","","","",""
"2","1985","Employed","West Germany","534","0.0227432588563433","0.0192138113612517","0.0262727063514349"
"2","1985","Employed","East Germany","","","",""
"3","1985","Not Employed","West Germany","107","0.0052590417906966","0.00308016703157995","0.00743791654981325"
"3","1985","Not Employed","East Germany","","","",""
"3","1985","Employed","West Germany","382","0.0162113742035228","0.0132216105709696","0.019201137836076"
"3","1985","Employed","East Germany","","","",""
"4","1985","Not Employed","West Germany","112","0.00298986833888997","0.00134511879459769","0.00463461788318225"
"4","1985","Not Employed","East Germany","","","",""
"4","1985","Employed","West Germany","300","0.00661282407368872","0.00469402809308718","0.00853162005429026"
"4","1985","Employed","East Germany","","","",""
"5","1985","Not Employed","West Germany","141","0.00618053372349547","0.00381956248453518","0.00854150496245576"
"5","1985","Not Employed","East Germany","","","",""
"5","1985","Employed","West Germany","388","0.013754313842153","0.0109969881713052","0.0165116395130009"
"5","1985","Employed","East Germany","","","",""
"6","1985","Not Employed","West Germany","88","0.00154254244976878","0.000360297951834995","0.00272478694770257"
"6","1985","Not Employed","East Germany","","","",""
"6","1985","Employed","West Germany","233","0.00346504010162151","0.0020738821480813","0.00485619805516173"
"6","1985","Employed","East Germany","","","",""
"10","1985","Not Employed","West Germany","3","","",""
"10","1985","Not Employed","East Germany","","","",""
"10","1985","Employed","West Germany","28","","",""
"10","1985","Employed","East Germany","","","",""
"11","1985","Not Employed","West Germany","3","","",""
"11","1985","Not Employed","East Germany","","","",""
"11","1985","Employed","West Germany","9","","",""
"11","1985","Employed","East Germany","","","",""
"12","1985","Not Employed","West Germany","6","","",""
"12","1985","Not Employed","East Germany","","","",""
"12","1985","Employed","West Germany","5","","",""
"12","1985","Employed","East Germany","","","",""
"13","1985","Not Employed","West Germany","","","",""
"13","1985","Not Employed","East Germany","","","",""
"13","1985","Employed","West Germany","","","",""
"13","1985","Employed","East Germany","","","",""
"14","1985","Not Employed","West Germany","","","",""
"14","1985","Not Employed","East Germany","","","",""
"14","1985","Employed","West Germany","5","","",""
"14","1985","Employed","East Germany","","","",""
"15","1985","Not Employed","West Germany","","","",""
"15","1985","Not Employed","East Germany","","","",""
"15","1985","Employed","West Germany","","","",""
"15","1985","Employed","East Germany","","","",""
"16","1985","Not Employed","West Germany","","","",""
"16","1985","Not Employed","East Germany","","","",""
"16","1985","Employed","West Germany","","","",""
"16","1985","Employed","East Germany","","","",""
"17","1985","Not Employed","West Germany","","","",""
"17","1985","Not Employed","East Germany","","","",""
"17","1985","Employed","West Germany","1","","",""
"17","1985","Employed","East Germany","","","",""
