"pgnation","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"21","1984","Employed","Not Working","","","",""
"22","1984","Not Employed","Full Time","","","",""
"22","1984","Not Employed","Part Time","","","",""
"22","1984","Not Employed","Not Working","7","","",""
"22","1984","Employed","Full Time","1","","",""
"22","1984","Employed","Part Time","1","","",""
"22","1984","Employed","Not Working","","","",""
"23","1984","Not Employed","Full Time","","","",""
"23","1984","Not Employed","Part Time","","","",""
"23","1984","Not Employed","Not Working","2","","",""
"23","1984","Employed","Full Time","3","","",""
"23","1984","Employed","Part Time","","","",""
"23","1984","Employed","Not Working","","","",""
"24","1984","Not Employed","Full Time","","","",""
"24","1984","Not Employed","Part Time","","","",""
"24","1984","Not Employed","Not Working","2","","",""
"24","1984","Employed","Full Time","","","",""
"24","1984","Employed","Part Time","","","",""
"24","1984","Employed","Not Working","","","",""
"25","1984","Not Employed","Full Time","","","",""
"25","1984","Not Employed","Part Time","","","",""
"25","1984","Not Employed","Not Working","1","","",""
"25","1984","Employed","Full Time","1","","",""
"25","1984","Employed","Part Time","","","",""
"25","1984","Employed","Not Working","","","",""
"26","1984","Not Employed","Full Time","","","",""
"26","1984","Not Employed","Part Time","","","",""
"26","1984","Not Employed","Not Working","","","",""
"26","1984","Employed","Full Time","1","","",""
"26","1984","Employed","Part Time","1","","",""
"26","1984","Employed","Not Working","","","",""
"27","1984","Not Employed","Full Time","","","",""
"27","1984","Not Employed","Part Time","","","",""
"27","1984","Not Employed","Not Working","","","",""
"27","1984","Employed","Full Time","","","",""
"27","1984","Employed","Part Time","","","",""
"27","1984","Employed","Not Working","","","",""
"28","1984","Not Employed","Full Time","","","",""
"28","1984","Not Employed","Part Time","","","",""
"28","1984","Not Employed","Not Working","2","","",""
"28","1984","Employed","Full Time","2","","",""
"28","1984","Employed","Part Time","","","",""
"28","1984","Employed","Not Working","","","",""
"29","1984","Not Employed","Full Time","","","",""
"29","1984","Not Employed","Part Time","","","",""
"29","1984","Not Employed","Not Working","","","",""
"29","1984","Employed","Full Time","","","",""
"29","1984","Employed","Part Time","1","","",""
"29","1984","Employed","Not Working","","","",""
"30","1984","Not Employed","Full Time","","","",""
"30","1984","Not Employed","Part Time","","","",""
"30","1984","Not Employed","Not Working","","","",""
"30","1984","Employed","Full Time","","","",""
"30","1984","Employed","Part Time","","","",""
"30","1984","Employed","Not Working","","","",""
"31","1984","Not Employed","Full Time","","","",""
"31","1984","Not Employed","Part Time","","","",""
"31","1984","Not Employed","Not Working","1","","",""
"31","1984","Employed","Full Time","1","","",""
"31","1984","Employed","Part Time","1","","",""
"31","1984","Employed","Not Working","","","",""
"32","1984","Not Employed","Full Time","","","",""
"32","1984","Not Employed","Part Time","","","",""
"32","1984","Not Employed","Not Working","","","",""
"32","1984","Employed","Full Time","","","",""
"32","1984","Employed","Part Time","","","",""
"32","1984","Employed","Not Working","","","",""
"34","1984","Not Employed","Full Time","","","",""
"34","1984","Not Employed","Part Time","","","",""
"34","1984","Not Employed","Not Working","2","","",""
"34","1984","Employed","Full Time","1","","",""
"34","1984","Employed","Part Time","1","","",""
"34","1984","Employed","Not Working","","","",""
"35","1984","Not Employed","Full Time","","","",""
"35","1984","Not Employed","Part Time","","","",""
"35","1984","Not Employed","Not Working","","","",""
"35","1984","Employed","Full Time","","","",""
"35","1984","Employed","Part Time","","","",""
"35","1984","Employed","Not Working","","","",""
"36","1984","Not Employed","Full Time","","","",""
"36","1984","Not Employed","Part Time","","","",""
"36","1984","Not Employed","Not Working","1","","",""
"36","1984","Employed","Full Time","","","",""
"36","1984","Employed","Part Time","","","",""
"36","1984","Employed","Not Working","","","",""
"37","1984","Not Employed","Full Time","","","",""
"37","1984","Not Employed","Part Time","","","",""
"37","1984","Not Employed","Not Working","","","",""
"37","1984","Employed","Full Time","","","",""
"37","1984","Employed","Part Time","","","",""
"37","1984","Employed","Not Working","","","",""
"38","1984","Not Employed","Full Time","","","",""
"38","1984","Not Employed","Part Time","","","",""
"38","1984","Not Employed","Not Working","1","","",""
"38","1984","Employed","Full Time","1","","",""
"38","1984","Employed","Part Time","","","",""
"38","1984","Employed","Not Working","","","",""
"39","1984","Not Employed","Full Time","","","",""
"39","1984","Not Employed","Part Time","","","",""
"39","1984","Not Employed","Not Working","","","",""
"39","1984","Employed","Full Time","1","","",""
"39","1984","Employed","Part Time","","","",""
"39","1984","Employed","Not Working","","","",""
"40","1984","Not Employed","Full Time","","","",""
"40","1984","Not Employed","Part Time","","","",""
"40","1984","Not Employed","Not Working","1","","",""
"40","1984","Employed","Full Time","","","",""
"40","1984","Employed","Part Time","","","",""
"40","1984","Employed","Not Working","","","",""
"41","1984","Not Employed","Full Time","","","",""
"41","1984","Not Employed","Part Time","","","",""
"41","1984","Not Employed","Not Working","1","","",""
"41","1984","Employed","Full Time","","","",""
"41","1984","Employed","Part Time","","","",""
"41","1984","Employed","Not Working","","","",""
"42","1984","Not Employed","Full Time","","","",""
"42","1984","Not Employed","Part Time","","","",""
"42","1984","Not Employed","Not Working","","","",""
"42","1984","Employed","Full Time","1","","",""
"42","1984","Employed","Part Time","","","",""
"42","1984","Employed","Not Working","","","",""
"43","1984","Not Employed","Full Time","","","",""
"43","1984","Not Employed","Part Time","","","",""
"43","1984","Not Employed","Not Working","1","","",""
"43","1984","Employed","Full Time","1","","",""
"43","1984","Employed","Part Time","","","",""
"43","1984","Employed","Not Working","","","",""
"44","1984","Not Employed","Full Time","","","",""
"44","1984","Not Employed","Part Time","","","",""
"44","1984","Not Employed","Not Working","","","",""
"44","1984","Employed","Full Time","","","",""
"44","1984","Employed","Part Time","","","",""
"44","1984","Employed","Not Working","","","",""
"45","1984","Not Employed","Full Time","","","",""
"45","1984","Not Employed","Part Time","","","",""
"45","1984","Not Employed","Not Working","","","",""
"45","1984","Employed","Full Time","","","",""
"45","1984","Employed","Part Time","","","",""
"45","1984","Employed","Not Working","","","",""
"46","1984","Not Employed","Full Time","","","",""
"46","1984","Not Employed","Part Time","","","",""
"46","1984","Not Employed","Not Working","","","",""
"46","1984","Employed","Full Time","","","",""
"46","1984","Employed","Part Time","","","",""
"46","1984","Employed","Not Working","","","",""
"47","1984","Not Employed","Full Time","","","",""
"47","1984","Not Employed","Part Time","","","",""
"47","1984","Not Employed","Not Working","","","",""
"47","1984","Employed","Full Time","","","",""
"47","1984","Employed","Part Time","","","",""
"47","1984","Employed","Not Working","","","",""
"48","1984","Not Employed","Full Time","","","",""
"48","1984","Not Employed","Part Time","","","",""
"48","1984","Not Employed","Not Working","","","",""
"48","1984","Employed","Full Time","","","",""
"48","1984","Employed","Part Time","","","",""
"48","1984","Employed","Not Working","","","",""
"49","1984","Not Employed","Full Time","","","",""
"49","1984","Not Employed","Part Time","","","",""
"49","1984","Not Employed","Not Working","","","",""
"49","1984","Employed","Full Time","","","",""
"49","1984","Employed","Part Time","","","",""
"49","1984","Employed","Not Working","","","",""
"50","1984","Not Employed","Full Time","","","",""
"50","1984","Not Employed","Part Time","","","",""
"50","1984","Not Employed","Not Working","","","",""
"50","1984","Employed","Full Time","","","",""
"50","1984","Employed","Part Time","","","",""
"50","1984","Employed","Not Working","","","",""
"51","1984","Not Employed","Full Time","","","",""
"51","1984","Not Employed","Part Time","","","",""
"51","1984","Not Employed","Not Working","","","",""
"51","1984","Employed","Full Time","","","",""
"51","1984","Employed","Part Time","","","",""
"51","1984","Employed","Not Working","","","",""
"52","1984","Not Employed","Full Time","","","",""
"52","1984","Not Employed","Part Time","","","",""
"52","1984","Not Employed","Not Working","","","",""
"52","1984","Employed","Full Time","","","",""
"52","1984","Employed","Part Time","","","",""
"52","1984","Employed","Not Working","","","",""
"53","1984","Not Employed","Full Time","","","",""
"53","1984","Not Employed","Part Time","","","",""
"53","1984","Not Employed","Not Working","","","",""
"53","1984","Employed","Full Time","","","",""
"53","1984","Employed","Part Time","","","",""
"53","1984","Employed","Not Working","","","",""
"54","1984","Not Employed","Full Time","","","",""
"54","1984","Not Employed","Part Time","","","",""
"54","1984","Not Employed","Not Working","","","",""
"54","1984","Employed","Full Time","","","",""
"54","1984","Employed","Part Time","","","",""
"54","1984","Employed","Not Working","","","",""
"55","1984","Not Employed","Full Time","","","",""
"55","1984","Not Employed","Part Time","","","",""
"55","1984","Not Employed","Not Working","","","",""
"55","1984","Employed","Full Time","","","",""
"55","1984","Employed","Part Time","","","",""
"55","1984","Employed","Not Working","","","",""
"56","1984","Not Employed","Full Time","","","",""
"56","1984","Not Employed","Part Time","","","",""
"56","1984","Not Employed","Not Working","","","",""
"56","1984","Employed","Full Time","","","",""
"56","1984","Employed","Part Time","","","",""
"56","1984","Employed","Not Working","","","",""
"59","1984","Not Employed","Full Time","","","",""
"59","1984","Not Employed","Part Time","","","",""
"59","1984","Not Employed","Not Working","","","",""
"59","1984","Employed","Full Time","","","",""
"59","1984","Employed","Part Time","","","",""
"59","1984","Employed","Not Working","","","",""
"60","1984","Not Employed","Full Time","","","",""
"60","1984","Not Employed","Part Time","","","",""
"60","1984","Not Employed","Not Working","","","",""
"60","1984","Employed","Full Time","","","",""
"60","1984","Employed","Part Time","","","",""
"60","1984","Employed","Not Working","","","",""
"61","1984","Not Employed","Full Time","","","",""
"61","1984","Not Employed","Part Time","","","",""
"61","1984","Not Employed","Not Working","","","",""
"61","1984","Employed","Full Time","","","",""
"61","1984","Employed","Part Time","","","",""
"61","1984","Employed","Not Working","","","",""
"64","1984","Not Employed","Full Time","","","",""
"64","1984","Not Employed","Part Time","","","",""
"64","1984","Not Employed","Not Working","","","",""
"64","1984","Employed","Full Time","","","",""
"64","1984","Employed","Part Time","","","",""
"64","1984","Employed","Not Working","","","",""
"65","1984","Not Employed","Full Time","","","",""
"65","1984","Not Employed","Part Time","","","",""
"65","1984","Not Employed","Not Working","","","",""
"65","1984","Employed","Full Time","","","",""
"65","1984","Employed","Part Time","","","",""
"65","1984","Employed","Not Working","","","",""
"66","1984","Not Employed","Full Time","","","",""
"66","1984","Not Employed","Part Time","","","",""
"66","1984","Not Employed","Not Working","","","",""
"66","1984","Employed","Full Time","","","",""
"66","1984","Employed","Part Time","","","",""
"66","1984","Employed","Not Working","","","",""
"67","1984","Not Employed","Full Time","","","",""
"67","1984","Not Employed","Part Time","","","",""
"67","1984","Not Employed","Not Working","","","",""
"67","1984","Employed","Full Time","","","",""
"67","1984","Employed","Part Time","","","",""
"67","1984","Employed","Not Working","","","",""
"68","1984","Not Employed","Full Time","","","",""
"68","1984","Not Employed","Part Time","","","",""
"68","1984","Not Employed","Not Working","","","",""
"68","1984","Employed","Full Time","","","",""
"68","1984","Employed","Part Time","","","",""
"68","1984","Employed","Not Working","","","",""
"71","1984","Not Employed","Full Time","","","",""
"71","1984","Not Employed","Part Time","","","",""
"71","1984","Not Employed","Not Working","","","",""
"71","1984","Employed","Full Time","","","",""
"71","1984","Employed","Part Time","","","",""
"71","1984","Employed","Not Working","","","",""
"72","1984","Not Employed","Full Time","","","",""
"72","1984","Not Employed","Part Time","","","",""
"72","1984","Not Employed","Not Working","","","",""
"72","1984","Employed","Full Time","","","",""
"72","1984","Employed","Part Time","","","",""
"72","1984","Employed","Not Working","","","",""
"73","1984","Not Employed","Full Time","","","",""
"73","1984","Not Employed","Part Time","","","",""
"73","1984","Not Employed","Not Working","","","",""
"73","1984","Employed","Full Time","","","",""
"73","1984","Employed","Part Time","","","",""
"73","1984","Employed","Not Working","","","",""
"74","1984","Not Employed","Full Time","","","",""
"74","1984","Not Employed","Part Time","","","",""
"74","1984","Not Employed","Not Working","","","",""
"74","1984","Employed","Full Time","","","",""
"74","1984","Employed","Part Time","","","",""
"74","1984","Employed","Not Working","","","",""
"75","1984","Not Employed","Full Time","","","",""
"75","1984","Not Employed","Part Time","","","",""
"75","1984","Not Employed","Not Working","","","",""
"75","1984","Employed","Full Time","","","",""
"75","1984","Employed","Part Time","","","",""
"75","1984","Employed","Not Working","","","",""
"76","1984","Not Employed","Full Time","","","",""
"76","1984","Not Employed","Part Time","","","",""
"76","1984","Not Employed","Not Working","","","",""
"76","1984","Employed","Full Time","","","",""
"76","1984","Employed","Part Time","","","",""
"76","1984","Employed","Not Working","","","",""
"77","1984","Not Employed","Full Time","","","",""
"77","1984","Not Employed","Part Time","","","",""
"77","1984","Not Employed","Not Working","","","",""
"77","1984","Employed","Full Time","","","",""
"77","1984","Employed","Part Time","","","",""
"77","1984","Employed","Not Working","","","",""
"78","1984","Not Employed","Full Time","","","",""
"78","1984","Not Employed","Part Time","","","",""
"78","1984","Not Employed","Not Working","","","",""
"78","1984","Employed","Full Time","","","",""
"78","1984","Employed","Part Time","","","",""
"78","1984","Employed","Not Working","","","",""
"79","1984","Not Employed","Full Time","","","",""
"79","1984","Not Employed","Part Time","","","",""
"79","1984","Not Employed","Not Working","","","",""
"79","1984","Employed","Full Time","","","",""
"79","1984","Employed","Part Time","","","",""
"79","1984","Employed","Not Working","","","",""
"80","1984","Not Employed","Full Time","","","",""
"80","1984","Not Employed","Part Time","","","",""
"80","1984","Not Employed","Not Working","","","",""
"80","1984","Employed","Full Time","","","",""
"80","1984","Employed","Part Time","","","",""
"80","1984","Employed","Not Working","","","",""
"81","1984","Not Employed","Full Time","","","",""
"81","1984","Not Employed","Part Time","","","",""
"81","1984","Not Employed","Not Working","","","",""
"81","1984","Employed","Full Time","","","",""
"81","1984","Employed","Part Time","","","",""
"81","1984","Employed","Not Working","","","",""
"82","1984","Not Employed","Full Time","","","",""
"82","1984","Not Employed","Part Time","","","",""
"82","1984","Not Employed","Not Working","","","",""
"82","1984","Employed","Full Time","","","",""
"82","1984","Employed","Part Time","","","",""
"82","1984","Employed","Not Working","","","",""
"83","1984","Not Employed","Full Time","","","",""
"83","1984","Not Employed","Part Time","","","",""
"83","1984","Not Employed","Not Working","","","",""
"83","1984","Employed","Full Time","","","",""
"83","1984","Employed","Part Time","","","",""
"83","1984","Employed","Not Working","","","",""
"84","1984","Not Employed","Full Time","","","",""
"84","1984","Not Employed","Part Time","","","",""
"84","1984","Not Employed","Not Working","","","",""
"84","1984","Employed","Full Time","","","",""
"84","1984","Employed","Part Time","","","",""
"84","1984","Employed","Not Working","","","",""
"85","1984","Not Employed","Full Time","","","",""
"85","1984","Not Employed","Part Time","","","",""
"85","1984","Not Employed","Not Working","","","",""
"85","1984","Employed","Full Time","","","",""
"85","1984","Employed","Part Time","","","",""
"85","1984","Employed","Not Working","","","",""
"86","1984","Not Employed","Full Time","","","",""
"86","1984","Not Employed","Part Time","","","",""
"86","1984","Not Employed","Not Working","","","",""
"86","1984","Employed","Full Time","","","",""
"86","1984","Employed","Part Time","","","",""
"86","1984","Employed","Not Working","","","",""
"89","1984","Not Employed","Full Time","","","",""
"89","1984","Not Employed","Part Time","","","",""
"89","1984","Not Employed","Not Working","","","",""
"89","1984","Employed","Full Time","","","",""
"89","1984","Employed","Part Time","","","",""
"89","1984","Employed","Not Working","","","",""
"90","1984","Not Employed","Full Time","","","",""
"90","1984","Not Employed","Part Time","","","",""
"90","1984","Not Employed","Not Working","","","",""
"90","1984","Employed","Full Time","","","",""
"90","1984","Employed","Part Time","","","",""
"90","1984","Employed","Not Working","","","",""
"92","1984","Not Employed","Full Time","","","",""
"92","1984","Not Employed","Part Time","","","",""
"92","1984","Not Employed","Not Working","","","",""
"92","1984","Employed","Full Time","","","",""
"92","1984","Employed","Part Time","","","",""
"92","1984","Employed","Not Working","","","",""
"94","1984","Not Employed","Full Time","","","",""
"94","1984","Not Employed","Part Time","","","",""
"94","1984","Not Employed","Not Working","","","",""
"94","1984","Employed","Full Time","","","",""
"94","1984","Employed","Part Time","","","",""
"94","1984","Employed","Not Working","","","",""
"95","1984","Not Employed","Full Time","","","",""
"95","1984","Not Employed","Part Time","","","",""
"95","1984","Not Employed","Not Working","","","",""
"95","1984","Employed","Full Time","","","",""
"95","1984","Employed","Part Time","","","",""
"95","1984","Employed","Not Working","","","",""
"96","1984","Not Employed","Full Time","","","",""
"96","1984","Not Employed","Part Time","","","",""
"96","1984","Not Employed","Not Working","","","",""
"96","1984","Employed","Full Time","","","",""
"96","1984","Employed","Part Time","","","",""
"96","1984","Employed","Not Working","","","",""
"97","1984","Not Employed","Full Time","","","",""
"97","1984","Not Employed","Part Time","","","",""
"97","1984","Not Employed","Not Working","","","",""
"97","1984","Employed","Full Time","","","",""
"97","1984","Employed","Part Time","","","",""
"97","1984","Employed","Not Working","","","",""
"98","1984","Not Employed","Full Time","","","",""
"98","1984","Not Employed","Part Time","","","",""
"98","1984","Not Employed","Not Working","6","","",""
"98","1984","Employed","Full Time","4","","",""
"98","1984","Employed","Part Time","","","",""
"98","1984","Employed","Not Working","","","",""
"101","1984","Not Employed","Full Time","","","",""
"101","1984","Not Employed","Part Time","","","",""
"101","1984","Not Employed","Not Working","","","",""
"101","1984","Employed","Full Time","","","",""
"101","1984","Employed","Part Time","","","",""
"101","1984","Employed","Not Working","","","",""
"102","1984","Not Employed","Full Time","","","",""
"102","1984","Not Employed","Part Time","","","",""
"102","1984","Not Employed","Not Working","","","",""
"102","1984","Employed","Full Time","","","",""
"102","1984","Employed","Part Time","","","",""
"102","1984","Employed","Not Working","","","",""
"103","1984","Not Employed","Full Time","","","",""
"103","1984","Not Employed","Part Time","","","",""
"103","1984","Not Employed","Not Working","","","",""
"103","1984","Employed","Full Time","","","",""
"103","1984","Employed","Part Time","","","",""
"103","1984","Employed","Not Working","","","",""
"105","1984","Not Employed","Full Time","","","",""
"105","1984","Not Employed","Part Time","","","",""
"105","1984","Not Employed","Not Working","","","",""
"105","1984","Employed","Full Time","","","",""
"105","1984","Employed","Part Time","","","",""
"105","1984","Employed","Not Working","","","",""
"108","1984","Not Employed","Full Time","","","",""
"108","1984","Not Employed","Part Time","","","",""
"108","1984","Not Employed","Not Working","","","",""
"108","1984","Employed","Full Time","","","",""
"108","1984","Employed","Part Time","","","",""
"108","1984","Employed","Not Working","","","",""
"110","1984","Not Employed","Full Time","","","",""
"110","1984","Not Employed","Part Time","","","",""
"110","1984","Not Employed","Not Working","","","",""
"110","1984","Employed","Full Time","","","",""
"110","1984","Employed","Part Time","","","",""
"110","1984","Employed","Not Working","","","",""
"111","1984","Not Employed","Full Time","","","",""
"111","1984","Not Employed","Part Time","","","",""
"111","1984","Not Employed","Not Working","","","",""
"111","1984","Employed","Full Time","","","",""
"111","1984","Employed","Part Time","","","",""
"111","1984","Employed","Not Working","","","",""
"113","1984","Not Employed","Full Time","","","",""
"113","1984","Not Employed","Part Time","","","",""
"113","1984","Not Employed","Not Working","","","",""
"113","1984","Employed","Full Time","","","",""
"113","1984","Employed","Part Time","","","",""
"113","1984","Employed","Not Working","","","",""
"116","1984","Not Employed","Full Time","","","",""
"116","1984","Not Employed","Part Time","","","",""
"116","1984","Not Employed","Not Working","","","",""
"116","1984","Employed","Full Time","","","",""
"116","1984","Employed","Part Time","","","",""
"116","1984","Employed","Not Working","","","",""
"117","1984","Not Employed","Full Time","","","",""
"117","1984","Not Employed","Part Time","","","",""
"117","1984","Not Employed","Not Working","","","",""
"117","1984","Employed","Full Time","","","",""
"117","1984","Employed","Part Time","","","",""
"117","1984","Employed","Not Working","","","",""
"118","1984","Not Employed","Full Time","","","",""
"118","1984","Not Employed","Part Time","","","",""
"118","1984","Not Employed","Not Working","","","",""
"118","1984","Employed","Full Time","","","",""
"118","1984","Employed","Part Time","","","",""
"118","1984","Employed","Not Working","","","",""
"119","1984","Not Employed","Full Time","","","",""
"119","1984","Not Employed","Part Time","","","",""
"119","1984","Not Employed","Not Working","","","",""
"119","1984","Employed","Full Time","","","",""
"119","1984","Employed","Part Time","","","",""
"119","1984","Employed","Not Working","","","",""
"120","1984","Not Employed","Full Time","","","",""
"120","1984","Not Employed","Part Time","","","",""
"120","1984","Not Employed","Not Working","","","",""
"120","1984","Employed","Full Time","","","",""
"120","1984","Employed","Part Time","","","",""
"120","1984","Employed","Not Working","","","",""
"121","1984","Not Employed","Full Time","","","",""
"121","1984","Not Employed","Part Time","","","",""
"121","1984","Not Employed","Not Working","","","",""
"121","1984","Employed","Full Time","","","",""
"121","1984","Employed","Part Time","","","",""
"121","1984","Employed","Not Working","","","",""
"122","1984","Not Employed","Full Time","","","",""
"122","1984","Not Employed","Part Time","","","",""
"122","1984","Not Employed","Not Working","","","",""
"122","1984","Employed","Full Time","","","",""
"122","1984","Employed","Part Time","","","",""
"122","1984","Employed","Not Working","","","",""
"123","1984","Not Employed","Full Time","","","",""
"123","1984","Not Employed","Part Time","","","",""
"123","1984","Not Employed","Not Working","","","",""
"123","1984","Employed","Full Time","","","",""
"123","1984","Employed","Part Time","","","",""
"123","1984","Employed","Not Working","","","",""
"124","1984","Not Employed","Full Time","","","",""
"124","1984","Not Employed","Part Time","","","",""
"124","1984","Not Employed","Not Working","","","",""
"124","1984","Employed","Full Time","","","",""
"124","1984","Employed","Part Time","","","",""
"124","1984","Employed","Not Working","","","",""
"125","1984","Not Employed","Full Time","","","",""
"125","1984","Not Employed","Part Time","","","",""
"125","1984","Not Employed","Not Working","","","",""
"125","1984","Employed","Full Time","","","",""
"125","1984","Employed","Part Time","","","",""
"125","1984","Employed","Not Working","","","",""
"127","1984","Not Employed","Full Time","","","",""
"127","1984","Not Employed","Part Time","","","",""
"127","1984","Not Employed","Not Working","","","",""
"127","1984","Employed","Full Time","","","",""
"127","1984","Employed","Part Time","","","",""
"127","1984","Employed","Not Working","","","",""
"128","1984","Not Employed","Full Time","","","",""
"128","1984","Not Employed","Part Time","","","",""
"128","1984","Not Employed","Not Working","","","",""
"128","1984","Employed","Full Time","","","",""
"128","1984","Employed","Part Time","","","",""
"128","1984","Employed","Not Working","","","",""
"129","1984","Not Employed","Full Time","","","",""
"129","1984","Not Employed","Part Time","","","",""
"129","1984","Not Employed","Not Working","","","",""
"129","1984","Employed","Full Time","","","",""
"129","1984","Employed","Part Time","","","",""
"129","1984","Employed","Not Working","","","",""
"130","1984","Not Employed","Full Time","","","",""
"130","1984","Not Employed","Part Time","","","",""
"130","1984","Not Employed","Not Working","","","",""
"130","1984","Employed","Full Time","","","",""
"130","1984","Employed","Part Time","","","",""
"130","1984","Employed","Not Working","","","",""
"131","1984","Not Employed","Full Time","","","",""
"131","1984","Not Employed","Part Time","","","",""
"131","1984","Not Employed","Not Working","","","",""
