"pgnation","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"3","1985","Couple + C. LE 16 ","Rural Area","25","","",""
"3","1985","Couple + C. GT 16 ","Urban Area","32","0.00579454358362813","0.00212445119257035","0.0094646359746859"
"3","1985","Couple + C. GT 16 ","Rural Area","3","","",""
"3","1985","Couple + C. LE and GT 16","Urban Area","67","0.0208898344676606","0.0126597863279007","0.0291198826074204"
"3","1985","Couple + C. LE and GT 16","Rural Area","16","","",""
"4","1985","1-pers.-HH","Urban Area","15","","",""
"4","1985","1-pers.-HH","Rural Area","2","","",""
"4","1985","(Married) couple without C. ","Urban Area","49","0.00431602237734758","0.00139592040464234","0.00723612435005282"
"4","1985","(Married) couple without C. ","Rural Area","6","","",""
"4","1985","Single parent ","Urban Area","11","","",""
"4","1985","Single parent ","Rural Area","","","",""
"4","1985","Couple + C. LE 16 ","Urban Area","80","0.00765887973150402","0.0039609192122423","0.0113568402507657"
"4","1985","Couple + C. LE 16 ","Rural Area","16","","",""
"4","1985","Couple + C. GT 16 ","Urban Area","107","0.00767162842981281","0.00345271325613686","0.0118905436034888"
"4","1985","Couple + C. GT 16 ","Rural Area","5","","",""
"4","1985","Couple + C. LE and GT 16","Urban Area","83","0.0111865486215531","0.00513419441592994","0.0172389028271762"
"4","1985","Couple + C. LE and GT 16","Rural Area","10","","",""
"5","1985","1-pers.-HH","Urban Area","31","0.00979912198034635","0.00369996985456463","0.0158982741061281"
"5","1985","1-pers.-HH","Rural Area","6","","",""
"5","1985","(Married) couple without C. ","Urban Area","42","0.00506759754753863","0.00190464074495502","0.00823055435012223"
"5","1985","(Married) couple without C. ","Rural Area","1","","",""
"5","1985","Single parent ","Urban Area","27","","",""
"5","1985","Single parent ","Rural Area","4","","",""
"5","1985","Couple + C. LE 16 ","Urban Area","187","0.0259266570589914","0.0191857515087418","0.032667562609241"
"5","1985","Couple + C. LE 16 ","Rural Area","31","0.0149774108354825","0.00479862693277966","0.0251561947381854"
"5","1985","Couple + C. GT 16 ","Urban Area","87","0.00939325058582794","0.00472893523810322","0.0140575659335527"
"5","1985","Couple + C. GT 16 ","Rural Area","5","","",""
"5","1985","Couple + C. LE and GT 16","Urban Area","82","0.0154306345484935","0.00833756613567168","0.0225237029613153"
"5","1985","Couple + C. LE and GT 16","Rural Area","15","","",""
"6","1985","1-pers.-HH","Urban Area","25","","",""
"6","1985","1-pers.-HH","Rural Area","5","","",""
"6","1985","(Married) couple without C. ","Urban Area","37","0.00134844064245476","-0.000286185061166701","0.00298306634607622"
"6","1985","(Married) couple without C. ","Rural Area","6","","",""
"6","1985","Single parent ","Urban Area","8","","",""
"6","1985","Single parent ","Rural Area","6","","",""
"6","1985","Couple + C. LE 16 ","Urban Area","83","0.00396228343593682","0.00129751293052239","0.00662705394135125"
"6","1985","Couple + C. LE 16 ","Rural Area","12","","",""
"6","1985","Couple + C. GT 16 ","Urban Area","51","0.00310152501921271","0.000412824571187168","0.00579022546723825"
"6","1985","Couple + C. GT 16 ","Rural Area","1","","",""
"6","1985","Couple + C. LE and GT 16","Urban Area","63","0.00814939037299759","0.00297564811338247","0.0133231326326127"
"6","1985","Couple + C. LE and GT 16","Rural Area","4","","",""
"10","1985","1-pers.-HH","Urban Area","2","","",""
"10","1985","1-pers.-HH","Rural Area","1","","",""
"10","1985","(Married) couple without C. ","Urban Area","7","","",""
"10","1985","(Married) couple without C. ","Rural Area","1","","",""
"10","1985","Single parent ","Urban Area","1","","",""
"10","1985","Single parent ","Rural Area","","","",""
"10","1985","Couple + C. LE 16 ","Urban Area","9","","",""
"10","1985","Couple + C. LE 16 ","Rural Area","","","",""
"10","1985","Couple + C. GT 16 ","Urban Area","8","","",""
"10","1985","Couple + C. GT 16 ","Rural Area","1","","",""
"10","1985","Couple + C. LE and GT 16","Urban Area","1","","",""
"10","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"11","1985","1-pers.-HH","Urban Area","1","","",""
"11","1985","1-pers.-HH","Rural Area","","","",""
"11","1985","(Married) couple without C. ","Urban Area","5","","",""
"11","1985","(Married) couple without C. ","Rural Area","","","",""
"11","1985","Single parent ","Urban Area","","","",""
"11","1985","Single parent ","Rural Area","","","",""
"11","1985","Couple + C. LE 16 ","Urban Area","4","","",""
"11","1985","Couple + C. LE 16 ","Rural Area","1","","",""
"11","1985","Couple + C. GT 16 ","Urban Area","1","","",""
"11","1985","Couple + C. GT 16 ","Rural Area","","","",""
"11","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"11","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"12","1985","1-pers.-HH","Urban Area","1","","",""
"12","1985","1-pers.-HH","Rural Area","","","",""
"12","1985","(Married) couple without C. ","Urban Area","4","","",""
"12","1985","(Married) couple without C. ","Rural Area","","","",""
"12","1985","Single parent ","Urban Area","","","",""
"12","1985","Single parent ","Rural Area","","","",""
"12","1985","Couple + C. LE 16 ","Urban Area","4","","",""
"12","1985","Couple + C. LE 16 ","Rural Area","","","",""
"12","1985","Couple + C. GT 16 ","Urban Area","2","","",""
"12","1985","Couple + C. GT 16 ","Rural Area","","","",""
"12","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"12","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"13","1985","1-pers.-HH","Urban Area","","","",""
"13","1985","1-pers.-HH","Rural Area","","","",""
"13","1985","(Married) couple without C. ","Urban Area","","","",""
"13","1985","(Married) couple without C. ","Rural Area","","","",""
"13","1985","Single parent ","Urban Area","","","",""
"13","1985","Single parent ","Rural Area","","","",""
"13","1985","Couple + C. LE 16 ","Urban Area","","","",""
"13","1985","Couple + C. LE 16 ","Rural Area","","","",""
"13","1985","Couple + C. GT 16 ","Urban Area","","","",""
"13","1985","Couple + C. GT 16 ","Rural Area","","","",""
"13","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"13","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"14","1985","1-pers.-HH","Urban Area","","","",""
"14","1985","1-pers.-HH","Rural Area","","","",""
"14","1985","(Married) couple without C. ","Urban Area","2","","",""
"14","1985","(Married) couple without C. ","Rural Area","","","",""
"14","1985","Single parent ","Urban Area","","","",""
"14","1985","Single parent ","Rural Area","","","",""
"14","1985","Couple + C. LE 16 ","Urban Area","2","","",""
"14","1985","Couple + C. LE 16 ","Rural Area","","","",""
"14","1985","Couple + C. GT 16 ","Urban Area","1","","",""
"14","1985","Couple + C. GT 16 ","Rural Area","","","",""
"14","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"14","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"15","1985","1-pers.-HH","Urban Area","","","",""
"15","1985","1-pers.-HH","Rural Area","","","",""
"15","1985","(Married) couple without C. ","Urban Area","","","",""
"15","1985","(Married) couple without C. ","Rural Area","","","",""
"15","1985","Single parent ","Urban Area","","","",""
"15","1985","Single parent ","Rural Area","","","",""
"15","1985","Couple + C. LE 16 ","Urban Area","","","",""
"15","1985","Couple + C. LE 16 ","Rural Area","","","",""
"15","1985","Couple + C. GT 16 ","Urban Area","","","",""
"15","1985","Couple + C. GT 16 ","Rural Area","","","",""
"15","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"15","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"16","1985","1-pers.-HH","Urban Area","","","",""
"16","1985","1-pers.-HH","Rural Area","","","",""
"16","1985","(Married) couple without C. ","Urban Area","","","",""
"16","1985","(Married) couple without C. ","Rural Area","","","",""
"16","1985","Single parent ","Urban Area","","","",""
"16","1985","Single parent ","Rural Area","","","",""
"16","1985","Couple + C. LE 16 ","Urban Area","","","",""
"16","1985","Couple + C. LE 16 ","Rural Area","","","",""
"16","1985","Couple + C. GT 16 ","Urban Area","","","",""
"16","1985","Couple + C. GT 16 ","Rural Area","","","",""
"16","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"16","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"17","1985","1-pers.-HH","Urban Area","","","",""
"17","1985","1-pers.-HH","Rural Area","","","",""
"17","1985","(Married) couple without C. ","Urban Area","","","",""
"17","1985","(Married) couple without C. ","Rural Area","1","","",""
"17","1985","Single parent ","Urban Area","","","",""
"17","1985","Single parent ","Rural Area","","","",""
"17","1985","Couple + C. LE 16 ","Urban Area","","","",""
"17","1985","Couple + C. LE 16 ","Rural Area","","","",""
"17","1985","Couple + C. GT 16 ","Urban Area","","","",""
"17","1985","Couple + C. GT 16 ","Rural Area","","","",""
"17","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"17","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"18","1985","1-pers.-HH","Urban Area","1","","",""
"18","1985","1-pers.-HH","Rural Area","","","",""
"18","1985","(Married) couple without C. ","Urban Area","1","","",""
"18","1985","(Married) couple without C. ","Rural Area","1","","",""
"18","1985","Single parent ","Urban Area","1","","",""
"18","1985","Single parent ","Rural Area","","","",""
"18","1985","Couple + C. LE 16 ","Urban Area","3","","",""
"18","1985","Couple + C. LE 16 ","Rural Area","","","",""
"18","1985","Couple + C. GT 16 ","Urban Area","","","",""
"18","1985","Couple + C. GT 16 ","Rural Area","","","",""
"18","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"18","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"19","1985","1-pers.-HH","Urban Area","","","",""
"19","1985","1-pers.-HH","Rural Area","","","",""
"19","1985","(Married) couple without C. ","Urban Area","","","",""
"19","1985","(Married) couple without C. ","Rural Area","1","","",""
"19","1985","Single parent ","Urban Area","","","",""
"19","1985","Single parent ","Rural Area","1","","",""
"19","1985","Couple + C. LE 16 ","Urban Area","3","","",""
"19","1985","Couple + C. LE 16 ","Rural Area","","","",""
"19","1985","Couple + C. GT 16 ","Urban Area","","","",""
"19","1985","Couple + C. GT 16 ","Rural Area","","","",""
"19","1985","Couple + C. LE and GT 16","Urban Area","1","","",""
"19","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"20","1985","1-pers.-HH","Urban Area","","","",""
"20","1985","1-pers.-HH","Rural Area","","","",""
"20","1985","(Married) couple without C. ","Urban Area","","","",""
"20","1985","(Married) couple without C. ","Rural Area","","","",""
"20","1985","Single parent ","Urban Area","","","",""
"20","1985","Single parent ","Rural Area","","","",""
"20","1985","Couple + C. LE 16 ","Urban Area","","","",""
"20","1985","Couple + C. LE 16 ","Rural Area","","","",""
"20","1985","Couple + C. GT 16 ","Urban Area","2","","",""
"20","1985","Couple + C. GT 16 ","Rural Area","","","",""
"20","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"20","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"21","1985","1-pers.-HH","Urban Area","","","",""
"21","1985","1-pers.-HH","Rural Area","","","",""
"21","1985","(Married) couple without C. ","Urban Area","1","","",""
"21","1985","(Married) couple without C. ","Rural Area","","","",""
"21","1985","Single parent ","Urban Area","","","",""
"21","1985","Single parent ","Rural Area","","","",""
"21","1985","Couple + C. LE 16 ","Urban Area","","","",""
"21","1985","Couple + C. LE 16 ","Rural Area","","","",""
"21","1985","Couple + C. GT 16 ","Urban Area","1","","",""
"21","1985","Couple + C. GT 16 ","Rural Area","","","",""
"21","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"21","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"22","1985","1-pers.-HH","Urban Area","2","","",""
"22","1985","1-pers.-HH","Rural Area","1","","",""
"22","1985","(Married) couple without C. ","Urban Area","1","","",""
"22","1985","(Married) couple without C. ","Rural Area","","","",""
"22","1985","Single parent ","Urban Area","","","",""
"22","1985","Single parent ","Rural Area","","","",""
"22","1985","Couple + C. LE 16 ","Urban Area","2","","",""
"22","1985","Couple + C. LE 16 ","Rural Area","1","","",""
"22","1985","Couple + C. GT 16 ","Urban Area","","","",""
"22","1985","Couple + C. GT 16 ","Rural Area","","","",""
"22","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"22","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"23","1985","1-pers.-HH","Urban Area","","","",""
"23","1985","1-pers.-HH","Rural Area","","","",""
"23","1985","(Married) couple without C. ","Urban Area","","","",""
"23","1985","(Married) couple without C. ","Rural Area","","","",""
"23","1985","Single parent ","Urban Area","","","",""
"23","1985","Single parent ","Rural Area","","","",""
"23","1985","Couple + C. LE 16 ","Urban Area","3","","",""
"23","1985","Couple + C. LE 16 ","Rural Area","","","",""
"23","1985","Couple + C. GT 16 ","Urban Area","","","",""
"23","1985","Couple + C. GT 16 ","Rural Area","","","",""
"23","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"23","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"24","1985","1-pers.-HH","Urban Area","","","",""
"24","1985","1-pers.-HH","Rural Area","","","",""
"24","1985","(Married) couple without C. ","Urban Area","","","",""
"24","1985","(Married) couple without C. ","Rural Area","","","",""
"24","1985","Single parent ","Urban Area","","","",""
"24","1985","Single parent ","Rural Area","","","",""
"24","1985","Couple + C. LE 16 ","Urban Area","2","","",""
"24","1985","Couple + C. LE 16 ","Rural Area","","","",""
"24","1985","Couple + C. GT 16 ","Urban Area","","","",""
"24","1985","Couple + C. GT 16 ","Rural Area","","","",""
"24","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"24","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"25","1985","1-pers.-HH","Urban Area","","","",""
"25","1985","1-pers.-HH","Rural Area","","","",""
"25","1985","(Married) couple without C. ","Urban Area","","","",""
"25","1985","(Married) couple without C. ","Rural Area","","","",""
"25","1985","Single parent ","Urban Area","","","",""
"25","1985","Single parent ","Rural Area","","","",""
"25","1985","Couple + C. LE 16 ","Urban Area","","","",""
"25","1985","Couple + C. LE 16 ","Rural Area","","","",""
"25","1985","Couple + C. GT 16 ","Urban Area","","","",""
"25","1985","Couple + C. GT 16 ","Rural Area","","","",""
"25","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"25","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"26","1985","1-pers.-HH","Urban Area","","","",""
"26","1985","1-pers.-HH","Rural Area","","","",""
"26","1985","(Married) couple without C. ","Urban Area","1","","",""
"26","1985","(Married) couple without C. ","Rural Area","","","",""
"26","1985","Single parent ","Urban Area","","","",""
"26","1985","Single parent ","Rural Area","","","",""
"26","1985","Couple + C. LE 16 ","Urban Area","1","","",""
"26","1985","Couple + C. LE 16 ","Rural Area","","","",""
"26","1985","Couple + C. GT 16 ","Urban Area","","","",""
"26","1985","Couple + C. GT 16 ","Rural Area","","","",""
"26","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"26","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"27","1985","1-pers.-HH","Urban Area","","","",""
"27","1985","1-pers.-HH","Rural Area","","","",""
"27","1985","(Married) couple without C. ","Urban Area","","","",""
"27","1985","(Married) couple without C. ","Rural Area","","","",""
"27","1985","Single parent ","Urban Area","","","",""
"27","1985","Single parent ","Rural Area","","","",""
"27","1985","Couple + C. LE 16 ","Urban Area","","","",""
"27","1985","Couple + C. LE 16 ","Rural Area","","","",""
"27","1985","Couple + C. GT 16 ","Urban Area","","","",""
"27","1985","Couple + C. GT 16 ","Rural Area","","","",""
"27","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"27","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"28","1985","1-pers.-HH","Urban Area","","","",""
"28","1985","1-pers.-HH","Rural Area","","","",""
"28","1985","(Married) couple without C. ","Urban Area","","","",""
"28","1985","(Married) couple without C. ","Rural Area","","","",""
"28","1985","Single parent ","Urban Area","","","",""
"28","1985","Single parent ","Rural Area","","","",""
"28","1985","Couple + C. LE 16 ","Urban Area","","","",""
"28","1985","Couple + C. LE 16 ","Rural Area","","","",""
"28","1985","Couple + C. GT 16 ","Urban Area","","","",""
"28","1985","Couple + C. GT 16 ","Rural Area","","","",""
"28","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"28","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"29","1985","1-pers.-HH","Urban Area","","","",""
"29","1985","1-pers.-HH","Rural Area","","","",""
"29","1985","(Married) couple without C. ","Urban Area","","","",""
"29","1985","(Married) couple without C. ","Rural Area","","","",""
"29","1985","Single parent ","Urban Area","","","",""
"29","1985","Single parent ","Rural Area","","","",""
"29","1985","Couple + C. LE 16 ","Urban Area","","","",""
"29","1985","Couple + C. LE 16 ","Rural Area","","","",""
"29","1985","Couple + C. GT 16 ","Urban Area","","","",""
"29","1985","Couple + C. GT 16 ","Rural Area","","","",""
"29","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"29","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"30","1985","1-pers.-HH","Urban Area","","","",""
"30","1985","1-pers.-HH","Rural Area","","","",""
"30","1985","(Married) couple without C. ","Urban Area","","","",""
"30","1985","(Married) couple without C. ","Rural Area","","","",""
"30","1985","Single parent ","Urban Area","","","",""
"30","1985","Single parent ","Rural Area","","","",""
"30","1985","Couple + C. LE 16 ","Urban Area","","","",""
"30","1985","Couple + C. LE 16 ","Rural Area","","","",""
"30","1985","Couple + C. GT 16 ","Urban Area","","","",""
"30","1985","Couple + C. GT 16 ","Rural Area","","","",""
"30","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"30","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"31","1985","1-pers.-HH","Urban Area","","","",""
"31","1985","1-pers.-HH","Rural Area","","","",""
"31","1985","(Married) couple without C. ","Urban Area","","","",""
"31","1985","(Married) couple without C. ","Rural Area","","","",""
"31","1985","Single parent ","Urban Area","","","",""
"31","1985","Single parent ","Rural Area","","","",""
"31","1985","Couple + C. LE 16 ","Urban Area","2","","",""
"31","1985","Couple + C. LE 16 ","Rural Area","","","",""
"31","1985","Couple + C. GT 16 ","Urban Area","","","",""
"31","1985","Couple + C. GT 16 ","Rural Area","","","",""
"31","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"31","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"32","1985","1-pers.-HH","Urban Area","","","",""
"32","1985","1-pers.-HH","Rural Area","","","",""
"32","1985","(Married) couple without C. ","Urban Area","","","",""
"32","1985","(Married) couple without C. ","Rural Area","","","",""
"32","1985","Single parent ","Urban Area","","","",""
"32","1985","Single parent ","Rural Area","","","",""
"32","1985","Couple + C. LE 16 ","Urban Area","","","",""
"32","1985","Couple + C. LE 16 ","Rural Area","","","",""
"32","1985","Couple + C. GT 16 ","Urban Area","","","",""
"32","1985","Couple + C. GT 16 ","Rural Area","","","",""
"32","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"32","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"34","1985","1-pers.-HH","Urban Area","","","",""
"34","1985","1-pers.-HH","Rural Area","","","",""
"34","1985","(Married) couple without C. ","Urban Area","","","",""
"34","1985","(Married) couple without C. ","Rural Area","","","",""
"34","1985","Single parent ","Urban Area","","","",""
"34","1985","Single parent ","Rural Area","","","",""
"34","1985","Couple + C. LE 16 ","Urban Area","1","","",""
"34","1985","Couple + C. LE 16 ","Rural Area","","","",""
"34","1985","Couple + C. GT 16 ","Urban Area","","","",""
"34","1985","Couple + C. GT 16 ","Rural Area","","","",""
"34","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"34","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"35","1985","1-pers.-HH","Urban Area","","","",""
"35","1985","1-pers.-HH","Rural Area","","","",""
"35","1985","(Married) couple without C. ","Urban Area","","","",""
"35","1985","(Married) couple without C. ","Rural Area","","","",""
"35","1985","Single parent ","Urban Area","","","",""
"35","1985","Single parent ","Rural Area","","","",""
"35","1985","Couple + C. LE 16 ","Urban Area","","","",""
"35","1985","Couple + C. LE 16 ","Rural Area","","","",""
"35","1985","Couple + C. GT 16 ","Urban Area","","","",""
"35","1985","Couple + C. GT 16 ","Rural Area","","","",""
"35","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"35","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"37","1985","1-pers.-HH","Urban Area","","","",""
"37","1985","1-pers.-HH","Rural Area","","","",""
"37","1985","(Married) couple without C. ","Urban Area","","","",""
"37","1985","(Married) couple without C. ","Rural Area","","","",""
"37","1985","Single parent ","Urban Area","","","",""
"37","1985","Single parent ","Rural Area","","","",""
"37","1985","Couple + C. LE 16 ","Urban Area","","","",""
"37","1985","Couple + C. LE 16 ","Rural Area","","","",""
"37","1985","Couple + C. GT 16 ","Urban Area","","","",""
"37","1985","Couple + C. GT 16 ","Rural Area","","","",""
"37","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"37","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"38","1985","1-pers.-HH","Urban Area","","","",""
"38","1985","1-pers.-HH","Rural Area","","","",""
"38","1985","(Married) couple without C. ","Urban Area","1","","",""
"38","1985","(Married) couple without C. ","Rural Area","","","",""
"38","1985","Single parent ","Urban Area","","","",""
"38","1985","Single parent ","Rural Area","","","",""
"38","1985","Couple + C. LE 16 ","Urban Area","1","","",""
"38","1985","Couple + C. LE 16 ","Rural Area","","","",""
"38","1985","Couple + C. GT 16 ","Urban Area","","","",""
"38","1985","Couple + C. GT 16 ","Rural Area","","","",""
"38","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"38","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"39","1985","1-pers.-HH","Urban Area","","","",""
"39","1985","1-pers.-HH","Rural Area","","","",""
"39","1985","(Married) couple without C. ","Urban Area","1","","",""
"39","1985","(Married) couple without C. ","Rural Area","","","",""
"39","1985","Single parent ","Urban Area","","","",""
"39","1985","Single parent ","Rural Area","","","",""
"39","1985","Couple + C. LE 16 ","Urban Area","1","","",""
"39","1985","Couple + C. LE 16 ","Rural Area","","","",""
"39","1985","Couple + C. GT 16 ","Urban Area","","","",""
"39","1985","Couple + C. GT 16 ","Rural Area","","","",""
"39","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"39","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"40","1985","1-pers.-HH","Urban Area","","","",""
"40","1985","1-pers.-HH","Rural Area","","","",""
"40","1985","(Married) couple without C. ","Urban Area","","","",""
"40","1985","(Married) couple without C. ","Rural Area","","","",""
"40","1985","Single parent ","Urban Area","","","",""
"40","1985","Single parent ","Rural Area","","","",""
"40","1985","Couple + C. LE 16 ","Urban Area","","","",""
"40","1985","Couple + C. LE 16 ","Rural Area","","","",""
"40","1985","Couple + C. GT 16 ","Urban Area","","","",""
"40","1985","Couple + C. GT 16 ","Rural Area","","","",""
"40","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"40","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"41","1985","1-pers.-HH","Urban Area","","","",""
"41","1985","1-pers.-HH","Rural Area","","","",""
"41","1985","(Married) couple without C. ","Urban Area","","","",""
"41","1985","(Married) couple without C. ","Rural Area","","","",""
"41","1985","Single parent ","Urban Area","","","",""
"41","1985","Single parent ","Rural Area","","","",""
"41","1985","Couple + C. LE 16 ","Urban Area","","","",""
"41","1985","Couple + C. LE 16 ","Rural Area","1","","",""
"41","1985","Couple + C. GT 16 ","Urban Area","","","",""
"41","1985","Couple + C. GT 16 ","Rural Area","","","",""
"41","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"41","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"42","1985","1-pers.-HH","Urban Area","","","",""
"42","1985","1-pers.-HH","Rural Area","","","",""
"42","1985","(Married) couple without C. ","Urban Area","1","","",""
"42","1985","(Married) couple without C. ","Rural Area","","","",""
"42","1985","Single parent ","Urban Area","","","",""
"42","1985","Single parent ","Rural Area","","","",""
"42","1985","Couple + C. LE 16 ","Urban Area","","","",""
"42","1985","Couple + C. LE 16 ","Rural Area","","","",""
"42","1985","Couple + C. GT 16 ","Urban Area","","","",""
"42","1985","Couple + C. GT 16 ","Rural Area","","","",""
"42","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"42","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"43","1985","1-pers.-HH","Urban Area","","","",""
"43","1985","1-pers.-HH","Rural Area","","","",""
"43","1985","(Married) couple without C. ","Urban Area","","","",""
"43","1985","(Married) couple without C. ","Rural Area","","","",""
"43","1985","Single parent ","Urban Area","","","",""
"43","1985","Single parent ","Rural Area","","","",""
"43","1985","Couple + C. LE 16 ","Urban Area","2","","",""
"43","1985","Couple + C. LE 16 ","Rural Area","","","",""
"43","1985","Couple + C. GT 16 ","Urban Area","","","",""
"43","1985","Couple + C. GT 16 ","Rural Area","","","",""
"43","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"43","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"44","1985","1-pers.-HH","Urban Area","","","",""
"44","1985","1-pers.-HH","Rural Area","","","",""
"44","1985","(Married) couple without C. ","Urban Area","","","",""
"44","1985","(Married) couple without C. ","Rural Area","","","",""
"44","1985","Single parent ","Urban Area","","","",""
"44","1985","Single parent ","Rural Area","","","",""
"44","1985","Couple + C. LE 16 ","Urban Area","","","",""
