"pgnation","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"40","1985","Urban Area","Male","","","",""
"40","1985","Urban Area","Female","","","",""
"40","1985","Rural Area","Male","","","",""
"40","1985","Rural Area","Female","","","",""
"41","1985","Urban Area","Male","","","",""
"41","1985","Urban Area","Female","","","",""
"41","1985","Rural Area","Male","1","","",""
"41","1985","Rural Area","Female","","","",""
"42","1985","Urban Area","Male","1","","",""
"42","1985","Urban Area","Female","","","",""
"42","1985","Rural Area","Male","","","",""
"42","1985","Rural Area","Female","","","",""
"43","1985","Urban Area","Male","1","","",""
"43","1985","Urban Area","Female","1","","",""
"43","1985","Rural Area","Male","","","",""
"43","1985","Rural Area","Female","","","",""
"44","1985","Urban Area","Male","","","",""
"44","1985","Urban Area","Female","","","",""
"44","1985","Rural Area","Male","","","",""
"44","1985","Rural Area","Female","1","","",""
"45","1985","Urban Area","Male","","","",""
"45","1985","Urban Area","Female","","","",""
"45","1985","Rural Area","Male","","","",""
"45","1985","Rural Area","Female","","","",""
"46","1985","Urban Area","Male","","","",""
"46","1985","Urban Area","Female","","","",""
"46","1985","Rural Area","Male","","","",""
"46","1985","Rural Area","Female","","","",""
"47","1985","Urban Area","Male","","","",""
"47","1985","Urban Area","Female","","","",""
"47","1985","Rural Area","Male","","","",""
"47","1985","Rural Area","Female","","","",""
"48","1985","Urban Area","Male","","","",""
"48","1985","Urban Area","Female","","","",""
"48","1985","Rural Area","Male","","","",""
"48","1985","Rural Area","Female","","","",""
"49","1985","Urban Area","Male","","","",""
"49","1985","Urban Area","Female","","","",""
"49","1985","Rural Area","Male","","","",""
"49","1985","Rural Area","Female","","","",""
"50","1985","Urban Area","Male","","","",""
"50","1985","Urban Area","Female","","","",""
"50","1985","Rural Area","Male","","","",""
"50","1985","Rural Area","Female","","","",""
"51","1985","Urban Area","Male","","","",""
"51","1985","Urban Area","Female","","","",""
"51","1985","Rural Area","Male","","","",""
"51","1985","Rural Area","Female","","","",""
"52","1985","Urban Area","Male","","","",""
"52","1985","Urban Area","Female","","","",""
"52","1985","Rural Area","Male","","","",""
"52","1985","Rural Area","Female","","","",""
"53","1985","Urban Area","Male","","","",""
"53","1985","Urban Area","Female","","","",""
"53","1985","Rural Area","Male","","","",""
"53","1985","Rural Area","Female","","","",""
"54","1985","Urban Area","Male","","","",""
"54","1985","Urban Area","Female","","","",""
"54","1985","Rural Area","Male","","","",""
"54","1985","Rural Area","Female","","","",""
"55","1985","Urban Area","Male","","","",""
"55","1985","Urban Area","Female","","","",""
"55","1985","Rural Area","Male","","","",""
"55","1985","Rural Area","Female","","","",""
"56","1985","Urban Area","Male","","","",""
"56","1985","Urban Area","Female","","","",""
"56","1985","Rural Area","Male","","","",""
"56","1985","Rural Area","Female","","","",""
"59","1985","Urban Area","Male","","","",""
"59","1985","Urban Area","Female","","","",""
"59","1985","Rural Area","Male","","","",""
"59","1985","Rural Area","Female","","","",""
"60","1985","Urban Area","Male","","","",""
"60","1985","Urban Area","Female","","","",""
"60","1985","Rural Area","Male","","","",""
"60","1985","Rural Area","Female","","","",""
"61","1985","Urban Area","Male","","","",""
"61","1985","Urban Area","Female","","","",""
"61","1985","Rural Area","Male","","","",""
"61","1985","Rural Area","Female","","","",""
"64","1985","Urban Area","Male","","","",""
"64","1985","Urban Area","Female","","","",""
"64","1985","Rural Area","Male","","","",""
"64","1985","Rural Area","Female","","","",""
"65","1985","Urban Area","Male","","","",""
"65","1985","Urban Area","Female","","","",""
"65","1985","Rural Area","Male","","","",""
"65","1985","Rural Area","Female","","","",""
"66","1985","Urban Area","Male","","","",""
"66","1985","Urban Area","Female","","","",""
"66","1985","Rural Area","Male","","","",""
"66","1985","Rural Area","Female","","","",""
"67","1985","Urban Area","Male","","","",""
"67","1985","Urban Area","Female","","","",""
"67","1985","Rural Area","Male","","","",""
"67","1985","Rural Area","Female","","","",""
"68","1985","Urban Area","Male","","","",""
"68","1985","Urban Area","Female","","","",""
"68","1985","Rural Area","Male","","","",""
"68","1985","Rural Area","Female","","","",""
"71","1985","Urban Area","Male","","","",""
"71","1985","Urban Area","Female","","","",""
"71","1985","Rural Area","Male","","","",""
"71","1985","Rural Area","Female","","","",""
"72","1985","Urban Area","Male","","","",""
"72","1985","Urban Area","Female","","","",""
"72","1985","Rural Area","Male","","","",""
"72","1985","Rural Area","Female","","","",""
"73","1985","Urban Area","Male","","","",""
"73","1985","Urban Area","Female","","","",""
"73","1985","Rural Area","Male","","","",""
"73","1985","Rural Area","Female","","","",""
"74","1985","Urban Area","Male","","","",""
"74","1985","Urban Area","Female","","","",""
"74","1985","Rural Area","Male","","","",""
"74","1985","Rural Area","Female","","","",""
"75","1985","Urban Area","Male","","","",""
"75","1985","Urban Area","Female","","","",""
"75","1985","Rural Area","Male","","","",""
"75","1985","Rural Area","Female","","","",""
"76","1985","Urban Area","Male","","","",""
"76","1985","Urban Area","Female","","","",""
"76","1985","Rural Area","Male","","","",""
"76","1985","Rural Area","Female","","","",""
"77","1985","Urban Area","Male","","","",""
"77","1985","Urban Area","Female","","","",""
"77","1985","Rural Area","Male","","","",""
"77","1985","Rural Area","Female","","","",""
"78","1985","Urban Area","Male","","","",""
"78","1985","Urban Area","Female","","","",""
"78","1985","Rural Area","Male","","","",""
"78","1985","Rural Area","Female","","","",""
"79","1985","Urban Area","Male","","","",""
"79","1985","Urban Area","Female","","","",""
"79","1985","Rural Area","Male","","","",""
"79","1985","Rural Area","Female","","","",""
"80","1985","Urban Area","Male","","","",""
"80","1985","Urban Area","Female","","","",""
"80","1985","Rural Area","Male","","","",""
"80","1985","Rural Area","Female","","","",""
"81","1985","Urban Area","Male","","","",""
"81","1985","Urban Area","Female","","","",""
"81","1985","Rural Area","Male","","","",""
"81","1985","Rural Area","Female","","","",""
"82","1985","Urban Area","Male","","","",""
"82","1985","Urban Area","Female","","","",""
"82","1985","Rural Area","Male","","","",""
"82","1985","Rural Area","Female","","","",""
"83","1985","Urban Area","Male","","","",""
"83","1985","Urban Area","Female","","","",""
"83","1985","Rural Area","Male","","","",""
"83","1985","Rural Area","Female","","","",""
"84","1985","Urban Area","Male","","","",""
"84","1985","Urban Area","Female","","","",""
"84","1985","Rural Area","Male","","","",""
"84","1985","Rural Area","Female","","","",""
"85","1985","Urban Area","Male","","","",""
"85","1985","Urban Area","Female","","","",""
"85","1985","Rural Area","Male","","","",""
"85","1985","Rural Area","Female","","","",""
"86","1985","Urban Area","Male","","","",""
"86","1985","Urban Area","Female","","","",""
"86","1985","Rural Area","Male","","","",""
"86","1985","Rural Area","Female","","","",""
"89","1985","Urban Area","Male","","","",""
"89","1985","Urban Area","Female","","","",""
"89","1985","Rural Area","Male","","","",""
"89","1985","Rural Area","Female","","","",""
"90","1985","Urban Area","Male","","","",""
"90","1985","Urban Area","Female","","","",""
"90","1985","Rural Area","Male","","","",""
"90","1985","Rural Area","Female","","","",""
"92","1985","Urban Area","Male","","","",""
"92","1985","Urban Area","Female","","","",""
"92","1985","Rural Area","Male","","","",""
"92","1985","Rural Area","Female","","","",""
"94","1985","Urban Area","Male","","","",""
"94","1985","Urban Area","Female","","","",""
"94","1985","Rural Area","Male","","","",""
"94","1985","Rural Area","Female","","","",""
"95","1985","Urban Area","Male","","","",""
"95","1985","Urban Area","Female","","","",""
"95","1985","Rural Area","Male","","","",""
"95","1985","Rural Area","Female","","","",""
"96","1985","Urban Area","Male","","","",""
"96","1985","Urban Area","Female","","","",""
"96","1985","Rural Area","Male","","","",""
"96","1985","Rural Area","Female","","","",""
"97","1985","Urban Area","Male","","","",""
"97","1985","Urban Area","Female","","","",""
"97","1985","Rural Area","Male","","","",""
"97","1985","Rural Area","Female","","","",""
"98","1985","Urban Area","Male","4","","",""
"98","1985","Urban Area","Female","4","","",""
"98","1985","Rural Area","Male","1","","",""
"98","1985","Rural Area","Female","1","","",""
"101","1985","Urban Area","Male","","","",""
"101","1985","Urban Area","Female","","","",""
"101","1985","Rural Area","Male","","","",""
"101","1985","Rural Area","Female","","","",""
"102","1985","Urban Area","Male","","","",""
"102","1985","Urban Area","Female","","","",""
"102","1985","Rural Area","Male","","","",""
"102","1985","Rural Area","Female","","","",""
"103","1985","Urban Area","Male","","","",""
"103","1985","Urban Area","Female","","","",""
"103","1985","Rural Area","Male","","","",""
"103","1985","Rural Area","Female","","","",""
"105","1985","Urban Area","Male","","","",""
"105","1985","Urban Area","Female","","","",""
"105","1985","Rural Area","Male","","","",""
"105","1985","Rural Area","Female","","","",""
"108","1985","Urban Area","Male","","","",""
"108","1985","Urban Area","Female","","","",""
"108","1985","Rural Area","Male","","","",""
"108","1985","Rural Area","Female","","","",""
"110","1985","Urban Area","Male","","","",""
"110","1985","Urban Area","Female","","","",""
"110","1985","Rural Area","Male","","","",""
"110","1985","Rural Area","Female","","","",""
"111","1985","Urban Area","Male","","","",""
"111","1985","Urban Area","Female","","","",""
"111","1985","Rural Area","Male","","","",""
"111","1985","Rural Area","Female","","","",""
"113","1985","Urban Area","Male","","","",""
"113","1985","Urban Area","Female","","","",""
"113","1985","Rural Area","Male","","","",""
"113","1985","Rural Area","Female","","","",""
"116","1985","Urban Area","Male","","","",""
"116","1985","Urban Area","Female","","","",""
"116","1985","Rural Area","Male","","","",""
"116","1985","Rural Area","Female","","","",""
"117","1985","Urban Area","Male","","","",""
"117","1985","Urban Area","Female","","","",""
"117","1985","Rural Area","Male","","","",""
"117","1985","Rural Area","Female","","","",""
"118","1985","Urban Area","Male","","","",""
"118","1985","Urban Area","Female","","","",""
"118","1985","Rural Area","Male","","","",""
"118","1985","Rural Area","Female","","","",""
"119","1985","Urban Area","Male","","","",""
"119","1985","Urban Area","Female","","","",""
"119","1985","Rural Area","Male","","","",""
"119","1985","Rural Area","Female","","","",""
"120","1985","Urban Area","Male","","","",""
"120","1985","Urban Area","Female","","","",""
"120","1985","Rural Area","Male","","","",""
"120","1985","Rural Area","Female","","","",""
"121","1985","Urban Area","Male","","","",""
"121","1985","Urban Area","Female","","","",""
"121","1985","Rural Area","Male","","","",""
"121","1985","Rural Area","Female","","","",""
"122","1985","Urban Area","Male","","","",""
"122","1985","Urban Area","Female","","","",""
"122","1985","Rural Area","Male","","","",""
"122","1985","Rural Area","Female","","","",""
"123","1985","Urban Area","Male","","","",""
"123","1985","Urban Area","Female","","","",""
"123","1985","Rural Area","Male","","","",""
"123","1985","Rural Area","Female","","","",""
"124","1985","Urban Area","Male","","","",""
"124","1985","Urban Area","Female","","","",""
"124","1985","Rural Area","Male","","","",""
"124","1985","Rural Area","Female","","","",""
"125","1985","Urban Area","Male","","","",""
"125","1985","Urban Area","Female","","","",""
"125","1985","Rural Area","Male","","","",""
"125","1985","Rural Area","Female","","","",""
"127","1985","Urban Area","Male","","","",""
"127","1985","Urban Area","Female","","","",""
"127","1985","Rural Area","Male","","","",""
"127","1985","Rural Area","Female","","","",""
"128","1985","Urban Area","Male","","","",""
"128","1985","Urban Area","Female","","","",""
"128","1985","Rural Area","Male","","","",""
"128","1985","Rural Area","Female","","","",""
"129","1985","Urban Area","Male","","","",""
"129","1985","Urban Area","Female","","","",""
"129","1985","Rural Area","Male","","","",""
"129","1985","Rural Area","Female","","","",""
"130","1985","Urban Area","Male","","","",""
"130","1985","Urban Area","Female","","","",""
"130","1985","Rural Area","Male","","","",""
"130","1985","Rural Area","Female","","","",""
"131","1985","Urban Area","Male","","","",""
"131","1985","Urban Area","Female","","","",""
"131","1985","Rural Area","Male","","","",""
"131","1985","Rural Area","Female","","","",""
"132","1985","Urban Area","Male","","","",""
"132","1985","Urban Area","Female","","","",""
"132","1985","Rural Area","Male","","","",""
"132","1985","Rural Area","Female","","","",""
"133","1985","Urban Area","Male","","","",""
"133","1985","Urban Area","Female","","","",""
"133","1985","Rural Area","Male","","","",""
"133","1985","Rural Area","Female","","","",""
"135","1985","Urban Area","Male","","","",""
"135","1985","Urban Area","Female","","","",""
"135","1985","Rural Area","Male","","","",""
"135","1985","Rural Area","Female","","","",""
"138","1985","Urban Area","Male","","","",""
"138","1985","Urban Area","Female","","","",""
"138","1985","Rural Area","Male","","","",""
"138","1985","Rural Area","Female","","","",""
"139","1985","Urban Area","Male","","","",""
"139","1985","Urban Area","Female","","","",""
"139","1985","Rural Area","Male","","","",""
"139","1985","Rural Area","Female","","","",""
"140","1985","Urban Area","Male","","","",""
"140","1985","Urban Area","Female","","","",""
"140","1985","Rural Area","Male","","","",""
"140","1985","Rural Area","Female","","","",""
"141","1985","Urban Area","Male","","","",""
"141","1985","Urban Area","Female","","","",""
"141","1985","Rural Area","Male","","","",""
"141","1985","Rural Area","Female","","","",""
"142","1985","Urban Area","Male","","","",""
"142","1985","Urban Area","Female","","","",""
"142","1985","Rural Area","Male","","","",""
"142","1985","Rural Area","Female","","","",""
"143","1985","Urban Area","Male","","","",""
"143","1985","Urban Area","Female","","","",""
"143","1985","Rural Area","Male","","","",""
"143","1985","Rural Area","Female","","","",""
"144","1985","Urban Area","Male","","","",""
"144","1985","Urban Area","Female","","","",""
"144","1985","Rural Area","Male","","","",""
"144","1985","Rural Area","Female","","","",""
"145","1985","Urban Area","Male","","","",""
"145","1985","Urban Area","Female","","","",""
"145","1985","Rural Area","Male","","","",""
"145","1985","Rural Area","Female","","","",""
"146","1985","Urban Area","Male","","","",""
"146","1985","Urban Area","Female","","","",""
"146","1985","Rural Area","Male","","","",""
"146","1985","Rural Area","Female","","","",""
"147","1985","Urban Area","Male","","","",""
"147","1985","Urban Area","Female","","","",""
"147","1985","Rural Area","Male","","","",""
"147","1985","Rural Area","Female","","","",""
"148","1985","Urban Area","Male","","","",""
"148","1985","Urban Area","Female","","","",""
"148","1985","Rural Area","Male","","","",""
"148","1985","Rural Area","Female","","","",""
"149","1985","Urban Area","Male","","","",""
"149","1985","Urban Area","Female","","","",""
"149","1985","Rural Area","Male","","","",""
"149","1985","Rural Area","Female","","","",""
"151","1985","Urban Area","Male","","","",""
"151","1985","Urban Area","Female","","","",""
"151","1985","Rural Area","Male","","","",""
"151","1985","Rural Area","Female","","","",""
"152","1985","Urban Area","Male","","","",""
"152","1985","Urban Area","Female","","","",""
"152","1985","Rural Area","Male","","","",""
"152","1985","Rural Area","Female","","","",""
"154","1985","Urban Area","Male","","","",""
"154","1985","Urban Area","Female","","","",""
"154","1985","Rural Area","Male","","","",""
"154","1985","Rural Area","Female","","","",""
"155","1985","Urban Area","Male","","","",""
"155","1985","Urban Area","Female","","","",""
"155","1985","Rural Area","Male","","","",""
"155","1985","Rural Area","Female","","","",""
"156","1985","Urban Area","Male","","","",""
"156","1985","Urban Area","Female","","","",""
"156","1985","Rural Area","Male","","","",""
"156","1985","Rural Area","Female","","","",""
"158","1985","Urban Area","Male","","","",""
"158","1985","Urban Area","Female","","","",""
"158","1985","Rural Area","Male","","","",""
"158","1985","Rural Area","Female","","","",""
"162","1985","Urban Area","Male","","","",""
"162","1985","Urban Area","Female","","","",""
"162","1985","Rural Area","Male","","","",""
"162","1985","Rural Area","Female","","","",""
"164","1985","Urban Area","Male","","","",""
"164","1985","Urban Area","Female","","","",""
"164","1985","Rural Area","Male","","","",""
"164","1985","Rural Area","Female","","","",""
"165","1985","Urban Area","Male","","","",""
"165","1985","Urban Area","Female","","","",""
"165","1985","Rural Area","Male","","","",""
"165","1985","Rural Area","Female","","","",""
"166","1985","Urban Area","Male","","","",""
"166","1985","Urban Area","Female","","","",""
"166","1985","Rural Area","Male","","","",""
"166","1985","Rural Area","Female","","","",""
"167","1985","Urban Area","Male","","","",""
"167","1985","Urban Area","Female","","","",""
"167","1985","Rural Area","Male","","","",""
"167","1985","Rural Area","Female","","","",""
"168","1985","Urban Area","Male","","","",""
"168","1985","Urban Area","Female","","","",""
"168","1985","Rural Area","Male","","","",""
"168","1985","Rural Area","Female","","","",""
"169","1985","Urban Area","Male","","","",""
"169","1985","Urban Area","Female","","","",""
"169","1985","Rural Area","Male","","","",""
"169","1985","Rural Area","Female","","","",""
"172","1985","Urban Area","Male","","","",""
"172","1985","Urban Area","Female","","","",""
"172","1985","Rural Area","Male","","","",""
"172","1985","Rural Area","Female","","","",""
"173","1985","Urban Area","Male","","","",""
"173","1985","Urban Area","Female","","","",""
"173","1985","Rural Area","Male","","","",""
"173","1985","Rural Area","Female","","","",""
"178","1985","Urban Area","Male","","","",""
"178","1985","Urban Area","Female","","","",""
"178","1985","Rural Area","Male","","","",""
"178","1985","Rural Area","Female","","","",""
"181","1985","Urban Area","Male","","","",""
"181","1985","Urban Area","Female","","","",""
"181","1985","Rural Area","Male","","","",""
"181","1985","Rural Area","Female","","","",""
"183","1985","Urban Area","Male","","","",""
"183","1985","Urban Area","Female","","","",""
"183","1985","Rural Area","Male","","","",""
"183","1985","Rural Area","Female","","","",""
"188","1985","Urban Area","Male","","","",""
"188","1985","Urban Area","Female","","","",""
"188","1985","Rural Area","Male","","","",""
"188","1985","Rural Area","Female","","","",""
"195","1985","Urban Area","Male","","","",""
"195","1985","Urban Area","Female","","","",""
"195","1985","Rural Area","Male","","","",""
"195","1985","Rural Area","Female","","","",""
"196","1985","Urban Area","Male","","","",""
"196","1985","Urban Area","Female","","","",""
"196","1985","Rural Area","Male","","","",""
"196","1985","Rural Area","Female","","","",""
"999","1985","Urban Area","Male","","","",""
"999","1985","Urban Area","Female","","","",""
"999","1985","Rural Area","Male","","","",""
"999","1985","Rural Area","Female","","","",""
"1","1986","Urban Area","Male","2923","0.91438414751297","0.905917264772051","0.922851030253889"
"1","1986","Urban Area","Female","3217","0.939792164371679","0.932650757356092","0.946933571387265"
"1","1986","Rural Area","Male","909","0.962256428987377","0.950837559568505","0.973675298406248"
"1","1986","Rural Area","Female","971","0.968501884984787","0.958250012994702","0.978753756974872"
"2","1986","Urban Area","Male","434","0.030358618058817","0.0251666898512738","0.0355505462663602"
"2","1986","Urban Area","Female","354","0.0205781607778119","0.0163160028458916","0.0248403187097323"
"2","1986","Rural Area","Male","40","0.00867184600378066","0.00311637735745567","0.0142273146501056"
"2","1986","Rural Area","Female","36","0.00616968066071347","0.0015734890981743","0.0107658722232526"
"3","1986","Urban Area","Male","199","0.0136214439157031","0.0101138000486091","0.0171290877827971"
"3","1986","Urban Area","Female","189","0.0118047762738556","0.00856218937330036","0.0150473631744109"
"3","1986","Rural Area","Male","34","0.0083253738549278","0.00288106599715661","0.013769681712699"
"3","1986","Rural Area","Female","37","0.00782386925320293","0.002652377495548","0.0129953610108579"
"4","1986","Urban Area","Male","186","0.00721806614764049","0.00465641804385821","0.00977971425142276"
"4","1986","Urban Area","Female","162","0.00498407457061309","0.00286986200358502","0.00709828713764115"
"4","1986","Rural Area","Male","24","","",""
"4","1986","Rural Area","Female","20","","",""
"5","1986","Urban Area","Male","250","0.0151289985807427","0.0114351688319045","0.0188228283295809"
"5","1986","Urban Area","Female","184","0.00863883577249305","0.00586049873661914","0.011417172808367"
"5","1986","Rural Area","Male","35","0.00784123718689472","0.00255630907937434","0.0131261652944151"
"5","1986","Rural Area","Female","26","","",""
"6","1986","Urban Area","Male","158","0.00381554255714307","0.00194989269594768","0.00568119241833845"
"6","1986","Urban Area","Female","109","0.00218449572818901","0.000782837624862312","0.00358615383151571"
"6","1986","Rural Area","Male","21","","",""
"6","1986","Rural Area","Female","15","","",""
"10","1986","Urban Area","Male","15","","",""
"10","1986","Urban Area","Female","11","","",""
"10","1986","Rural Area","Male","1","","",""
"10","1986","Rural Area","Female","2","","",""
"11","1986","Urban Area","Male","5","","",""
"11","1986","Urban Area","Female","4","","",""
"11","1986","Rural Area","Male","1","","",""
"11","1986","Rural Area","Female","2","","",""
"12","1986","Urban Area","Male","5","","",""
"12","1986","Urban Area","Female","4","","",""
"12","1986","Rural Area","Male","","","",""
"12","1986","Rural Area","Female","","","",""
"13","1986","Urban Area","Male","","","",""
"13","1986","Urban Area","Female","","","",""
"13","1986","Rural Area","Male","","","",""
"13","1986","Rural Area","Female","","","",""
"14","1986","Urban Area","Male","4","","",""
"14","1986","Urban Area","Female","2","","",""
"14","1986","Rural Area","Male","","","",""
