"pgnation","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"39","1984","East Germany","Female","","","",""
"40","1984","West Germany","Male","","","",""
"40","1984","West Germany","Female","1","","",""
"40","1984","East Germany","Male","","","",""
"40","1984","East Germany","Female","","","",""
"41","1984","West Germany","Male","1","","",""
"41","1984","West Germany","Female","","","",""
"41","1984","East Germany","Male","","","",""
"41","1984","East Germany","Female","","","",""
"42","1984","West Germany","Male","1","","",""
"42","1984","West Germany","Female","","","",""
"42","1984","East Germany","Male","","","",""
"42","1984","East Germany","Female","","","",""
"43","1984","West Germany","Male","1","","",""
"43","1984","West Germany","Female","1","","",""
"43","1984","East Germany","Male","","","",""
"43","1984","East Germany","Female","","","",""
"44","1984","West Germany","Male","","","",""
"44","1984","West Germany","Female","","","",""
"44","1984","East Germany","Male","","","",""
"44","1984","East Germany","Female","","","",""
"45","1984","West Germany","Male","","","",""
"45","1984","West Germany","Female","","","",""
"45","1984","East Germany","Male","","","",""
"45","1984","East Germany","Female","","","",""
"46","1984","West Germany","Male","","","",""
"46","1984","West Germany","Female","","","",""
"46","1984","East Germany","Male","","","",""
"46","1984","East Germany","Female","","","",""
"47","1984","West Germany","Male","","","",""
"47","1984","West Germany","Female","","","",""
"47","1984","East Germany","Male","","","",""
"47","1984","East Germany","Female","","","",""
"48","1984","West Germany","Male","","","",""
"48","1984","West Germany","Female","","","",""
"48","1984","East Germany","Male","","","",""
"48","1984","East Germany","Female","","","",""
"49","1984","West Germany","Male","","","",""
"49","1984","West Germany","Female","","","",""
"49","1984","East Germany","Male","","","",""
"49","1984","East Germany","Female","","","",""
"50","1984","West Germany","Male","","","",""
"50","1984","West Germany","Female","","","",""
"50","1984","East Germany","Male","","","",""
"50","1984","East Germany","Female","","","",""
"51","1984","West Germany","Male","","","",""
"51","1984","West Germany","Female","","","",""
"51","1984","East Germany","Male","","","",""
"51","1984","East Germany","Female","","","",""
"52","1984","West Germany","Male","","","",""
"52","1984","West Germany","Female","","","",""
"52","1984","East Germany","Male","","","",""
"52","1984","East Germany","Female","","","",""
"53","1984","West Germany","Male","","","",""
"53","1984","West Germany","Female","","","",""
"53","1984","East Germany","Male","","","",""
"53","1984","East Germany","Female","","","",""
"54","1984","West Germany","Male","","","",""
"54","1984","West Germany","Female","","","",""
"54","1984","East Germany","Male","","","",""
"54","1984","East Germany","Female","","","",""
"55","1984","West Germany","Male","","","",""
"55","1984","West Germany","Female","","","",""
"55","1984","East Germany","Male","","","",""
"55","1984","East Germany","Female","","","",""
"56","1984","West Germany","Male","","","",""
"56","1984","West Germany","Female","","","",""
"56","1984","East Germany","Male","","","",""
"56","1984","East Germany","Female","","","",""
"59","1984","West Germany","Male","","","",""
"59","1984","West Germany","Female","","","",""
"59","1984","East Germany","Male","","","",""
"59","1984","East Germany","Female","","","",""
"60","1984","West Germany","Male","","","",""
"60","1984","West Germany","Female","","","",""
"60","1984","East Germany","Male","","","",""
"60","1984","East Germany","Female","","","",""
"61","1984","West Germany","Male","","","",""
"61","1984","West Germany","Female","","","",""
"61","1984","East Germany","Male","","","",""
"61","1984","East Germany","Female","","","",""
"64","1984","West Germany","Male","","","",""
"64","1984","West Germany","Female","","","",""
"64","1984","East Germany","Male","","","",""
"64","1984","East Germany","Female","","","",""
"65","1984","West Germany","Male","","","",""
"65","1984","West Germany","Female","","","",""
"65","1984","East Germany","Male","","","",""
"65","1984","East Germany","Female","","","",""
"66","1984","West Germany","Male","","","",""
"66","1984","West Germany","Female","","","",""
"66","1984","East Germany","Male","","","",""
"66","1984","East Germany","Female","","","",""
"67","1984","West Germany","Male","","","",""
"67","1984","West Germany","Female","","","",""
"67","1984","East Germany","Male","","","",""
"67","1984","East Germany","Female","","","",""
"68","1984","West Germany","Male","","","",""
"68","1984","West Germany","Female","","","",""
"68","1984","East Germany","Male","","","",""
"68","1984","East Germany","Female","","","",""
"71","1984","West Germany","Male","","","",""
"71","1984","West Germany","Female","","","",""
"71","1984","East Germany","Male","","","",""
"71","1984","East Germany","Female","","","",""
"72","1984","West Germany","Male","","","",""
"72","1984","West Germany","Female","","","",""
"72","1984","East Germany","Male","","","",""
"72","1984","East Germany","Female","","","",""
"73","1984","West Germany","Male","","","",""
"73","1984","West Germany","Female","","","",""
"73","1984","East Germany","Male","","","",""
"73","1984","East Germany","Female","","","",""
"74","1984","West Germany","Male","","","",""
"74","1984","West Germany","Female","","","",""
"74","1984","East Germany","Male","","","",""
"74","1984","East Germany","Female","","","",""
"75","1984","West Germany","Male","","","",""
"75","1984","West Germany","Female","","","",""
"75","1984","East Germany","Male","","","",""
"75","1984","East Germany","Female","","","",""
"76","1984","West Germany","Male","","","",""
"76","1984","West Germany","Female","","","",""
"76","1984","East Germany","Male","","","",""
"76","1984","East Germany","Female","","","",""
"77","1984","West Germany","Male","","","",""
"77","1984","West Germany","Female","","","",""
"77","1984","East Germany","Male","","","",""
"77","1984","East Germany","Female","","","",""
"78","1984","West Germany","Male","","","",""
"78","1984","West Germany","Female","","","",""
"78","1984","East Germany","Male","","","",""
"78","1984","East Germany","Female","","","",""
"79","1984","West Germany","Male","","","",""
"79","1984","West Germany","Female","","","",""
"79","1984","East Germany","Male","","","",""
"79","1984","East Germany","Female","","","",""
"80","1984","West Germany","Male","","","",""
"80","1984","West Germany","Female","","","",""
"80","1984","East Germany","Male","","","",""
"80","1984","East Germany","Female","","","",""
"81","1984","West Germany","Male","","","",""
"81","1984","West Germany","Female","","","",""
"81","1984","East Germany","Male","","","",""
"81","1984","East Germany","Female","","","",""
"82","1984","West Germany","Male","","","",""
"82","1984","West Germany","Female","","","",""
"82","1984","East Germany","Male","","","",""
"82","1984","East Germany","Female","","","",""
"83","1984","West Germany","Male","","","",""
"83","1984","West Germany","Female","","","",""
"83","1984","East Germany","Male","","","",""
"83","1984","East Germany","Female","","","",""
"84","1984","West Germany","Male","","","",""
"84","1984","West Germany","Female","","","",""
"84","1984","East Germany","Male","","","",""
"84","1984","East Germany","Female","","","",""
"85","1984","West Germany","Male","","","",""
"85","1984","West Germany","Female","","","",""
"85","1984","East Germany","Male","","","",""
"85","1984","East Germany","Female","","","",""
"86","1984","West Germany","Male","","","",""
"86","1984","West Germany","Female","","","",""
"86","1984","East Germany","Male","","","",""
"86","1984","East Germany","Female","","","",""
"89","1984","West Germany","Male","","","",""
"89","1984","West Germany","Female","","","",""
"89","1984","East Germany","Male","","","",""
"89","1984","East Germany","Female","","","",""
"90","1984","West Germany","Male","","","",""
"90","1984","West Germany","Female","","","",""
"90","1984","East Germany","Male","","","",""
"90","1984","East Germany","Female","","","",""
"92","1984","West Germany","Male","","","",""
"92","1984","West Germany","Female","","","",""
"92","1984","East Germany","Male","","","",""
"92","1984","East Germany","Female","","","",""
"94","1984","West Germany","Male","","","",""
"94","1984","West Germany","Female","","","",""
"94","1984","East Germany","Male","","","",""
"94","1984","East Germany","Female","","","",""
"95","1984","West Germany","Male","","","",""
"95","1984","West Germany","Female","","","",""
"95","1984","East Germany","Male","","","",""
"95","1984","East Germany","Female","","","",""
"96","1984","West Germany","Male","","","",""
"96","1984","West Germany","Female","","","",""
"96","1984","East Germany","Male","","","",""
"96","1984","East Germany","Female","","","",""
"97","1984","West Germany","Male","","","",""
"97","1984","West Germany","Female","","","",""
"97","1984","East Germany","Male","","","",""
"97","1984","East Germany","Female","","","",""
"98","1984","West Germany","Male","5","","",""
"98","1984","West Germany","Female","5","","",""
"98","1984","East Germany","Male","","","",""
"98","1984","East Germany","Female","","","",""
"101","1984","West Germany","Male","","","",""
"101","1984","West Germany","Female","","","",""
"101","1984","East Germany","Male","","","",""
"101","1984","East Germany","Female","","","",""
"102","1984","West Germany","Male","","","",""
"102","1984","West Germany","Female","","","",""
"102","1984","East Germany","Male","","","",""
"102","1984","East Germany","Female","","","",""
"103","1984","West Germany","Male","","","",""
"103","1984","West Germany","Female","","","",""
"103","1984","East Germany","Male","","","",""
"103","1984","East Germany","Female","","","",""
"105","1984","West Germany","Male","","","",""
"105","1984","West Germany","Female","","","",""
"105","1984","East Germany","Male","","","",""
"105","1984","East Germany","Female","","","",""
"108","1984","West Germany","Male","","","",""
"108","1984","West Germany","Female","","","",""
"108","1984","East Germany","Male","","","",""
"108","1984","East Germany","Female","","","",""
"110","1984","West Germany","Male","","","",""
"110","1984","West Germany","Female","","","",""
"110","1984","East Germany","Male","","","",""
"110","1984","East Germany","Female","","","",""
"111","1984","West Germany","Male","","","",""
"111","1984","West Germany","Female","","","",""
"111","1984","East Germany","Male","","","",""
"111","1984","East Germany","Female","","","",""
"113","1984","West Germany","Male","","","",""
"113","1984","West Germany","Female","","","",""
"113","1984","East Germany","Male","","","",""
"113","1984","East Germany","Female","","","",""
"116","1984","West Germany","Male","","","",""
"116","1984","West Germany","Female","","","",""
"116","1984","East Germany","Male","","","",""
"116","1984","East Germany","Female","","","",""
"117","1984","West Germany","Male","","","",""
"117","1984","West Germany","Female","","","",""
"117","1984","East Germany","Male","","","",""
"117","1984","East Germany","Female","","","",""
"118","1984","West Germany","Male","","","",""
"118","1984","West Germany","Female","","","",""
"118","1984","East Germany","Male","","","",""
"118","1984","East Germany","Female","","","",""
"119","1984","West Germany","Male","","","",""
"119","1984","West Germany","Female","","","",""
"119","1984","East Germany","Male","","","",""
"119","1984","East Germany","Female","","","",""
"120","1984","West Germany","Male","","","",""
"120","1984","West Germany","Female","","","",""
"120","1984","East Germany","Male","","","",""
"120","1984","East Germany","Female","","","",""
"121","1984","West Germany","Male","","","",""
"121","1984","West Germany","Female","","","",""
"121","1984","East Germany","Male","","","",""
"121","1984","East Germany","Female","","","",""
"122","1984","West Germany","Male","","","",""
"122","1984","West Germany","Female","","","",""
"122","1984","East Germany","Male","","","",""
"122","1984","East Germany","Female","","","",""
"123","1984","West Germany","Male","","","",""
"123","1984","West Germany","Female","","","",""
"123","1984","East Germany","Male","","","",""
"123","1984","East Germany","Female","","","",""
"124","1984","West Germany","Male","","","",""
"124","1984","West Germany","Female","","","",""
"124","1984","East Germany","Male","","","",""
"124","1984","East Germany","Female","","","",""
"125","1984","West Germany","Male","","","",""
"125","1984","West Germany","Female","","","",""
"125","1984","East Germany","Male","","","",""
"125","1984","East Germany","Female","","","",""
"127","1984","West Germany","Male","","","",""
"127","1984","West Germany","Female","","","",""
"127","1984","East Germany","Male","","","",""
"127","1984","East Germany","Female","","","",""
"128","1984","West Germany","Male","","","",""
"128","1984","West Germany","Female","","","",""
"128","1984","East Germany","Male","","","",""
"128","1984","East Germany","Female","","","",""
"129","1984","West Germany","Male","","","",""
"129","1984","West Germany","Female","","","",""
"129","1984","East Germany","Male","","","",""
"129","1984","East Germany","Female","","","",""
"130","1984","West Germany","Male","","","",""
"130","1984","West Germany","Female","","","",""
"130","1984","East Germany","Male","","","",""
"130","1984","East Germany","Female","","","",""
"131","1984","West Germany","Male","","","",""
"131","1984","West Germany","Female","","","",""
"131","1984","East Germany","Male","","","",""
"131","1984","East Germany","Female","","","",""
"132","1984","West Germany","Male","","","",""
"132","1984","West Germany","Female","","","",""
"132","1984","East Germany","Male","","","",""
"132","1984","East Germany","Female","","","",""
"133","1984","West Germany","Male","","","",""
"133","1984","West Germany","Female","","","",""
"133","1984","East Germany","Male","","","",""
"133","1984","East Germany","Female","","","",""
"135","1984","West Germany","Male","","","",""
"135","1984","West Germany","Female","","","",""
"135","1984","East Germany","Male","","","",""
"135","1984","East Germany","Female","","","",""
"138","1984","West Germany","Male","","","",""
"138","1984","West Germany","Female","","","",""
"138","1984","East Germany","Male","","","",""
"138","1984","East Germany","Female","","","",""
"139","1984","West Germany","Male","","","",""
"139","1984","West Germany","Female","","","",""
"139","1984","East Germany","Male","","","",""
"139","1984","East Germany","Female","","","",""
"140","1984","West Germany","Male","","","",""
"140","1984","West Germany","Female","","","",""
"140","1984","East Germany","Male","","","",""
"140","1984","East Germany","Female","","","",""
"141","1984","West Germany","Male","","","",""
"141","1984","West Germany","Female","","","",""
"141","1984","East Germany","Male","","","",""
"141","1984","East Germany","Female","","","",""
"142","1984","West Germany","Male","","","",""
"142","1984","West Germany","Female","","","",""
"142","1984","East Germany","Male","","","",""
"142","1984","East Germany","Female","","","",""
"143","1984","West Germany","Male","","","",""
"143","1984","West Germany","Female","","","",""
"143","1984","East Germany","Male","","","",""
"143","1984","East Germany","Female","","","",""
"144","1984","West Germany","Male","","","",""
"144","1984","West Germany","Female","","","",""
"144","1984","East Germany","Male","","","",""
"144","1984","East Germany","Female","","","",""
"145","1984","West Germany","Male","","","",""
"145","1984","West Germany","Female","","","",""
"145","1984","East Germany","Male","","","",""
"145","1984","East Germany","Female","","","",""
"146","1984","West Germany","Male","","","",""
"146","1984","West Germany","Female","","","",""
"146","1984","East Germany","Male","","","",""
"146","1984","East Germany","Female","","","",""
"147","1984","West Germany","Male","","","",""
"147","1984","West Germany","Female","","","",""
"147","1984","East Germany","Male","","","",""
"147","1984","East Germany","Female","","","",""
"148","1984","West Germany","Male","","","",""
"148","1984","West Germany","Female","","","",""
"148","1984","East Germany","Male","","","",""
"148","1984","East Germany","Female","","","",""
"149","1984","West Germany","Male","","","",""
"149","1984","West Germany","Female","","","",""
"149","1984","East Germany","Male","","","",""
"149","1984","East Germany","Female","","","",""
"151","1984","West Germany","Male","","","",""
"151","1984","West Germany","Female","","","",""
"151","1984","East Germany","Male","","","",""
"151","1984","East Germany","Female","","","",""
"152","1984","West Germany","Male","","","",""
"152","1984","West Germany","Female","","","",""
"152","1984","East Germany","Male","","","",""
"152","1984","East Germany","Female","","","",""
"154","1984","West Germany","Male","","","",""
"154","1984","West Germany","Female","","","",""
"154","1984","East Germany","Male","","","",""
"154","1984","East Germany","Female","","","",""
"155","1984","West Germany","Male","","","",""
"155","1984","West Germany","Female","","","",""
"155","1984","East Germany","Male","","","",""
"155","1984","East Germany","Female","","","",""
"156","1984","West Germany","Male","","","",""
"156","1984","West Germany","Female","","","",""
"156","1984","East Germany","Male","","","",""
"156","1984","East Germany","Female","","","",""
"158","1984","West Germany","Male","","","",""
"158","1984","West Germany","Female","","","",""
"158","1984","East Germany","Male","","","",""
"158","1984","East Germany","Female","","","",""
"162","1984","West Germany","Male","","","",""
"162","1984","West Germany","Female","","","",""
"162","1984","East Germany","Male","","","",""
"162","1984","East Germany","Female","","","",""
"164","1984","West Germany","Male","","","",""
"164","1984","West Germany","Female","","","",""
"164","1984","East Germany","Male","","","",""
"164","1984","East Germany","Female","","","",""
"165","1984","West Germany","Male","","","",""
"165","1984","West Germany","Female","","","",""
"165","1984","East Germany","Male","","","",""
"165","1984","East Germany","Female","","","",""
"166","1984","West Germany","Male","","","",""
"166","1984","West Germany","Female","","","",""
"166","1984","East Germany","Male","","","",""
"166","1984","East Germany","Female","","","",""
"167","1984","West Germany","Male","","","",""
"167","1984","West Germany","Female","","","",""
"167","1984","East Germany","Male","","","",""
"167","1984","East Germany","Female","","","",""
"168","1984","West Germany","Male","","","",""
"168","1984","West Germany","Female","","","",""
"168","1984","East Germany","Male","","","",""
"168","1984","East Germany","Female","","","",""
"169","1984","West Germany","Male","","","",""
"169","1984","West Germany","Female","","","",""
"169","1984","East Germany","Male","","","",""
"169","1984","East Germany","Female","","","",""
"172","1984","West Germany","Male","","","",""
"172","1984","West Germany","Female","","","",""
"172","1984","East Germany","Male","","","",""
"172","1984","East Germany","Female","","","",""
"173","1984","West Germany","Male","","","",""
"173","1984","West Germany","Female","","","",""
"173","1984","East Germany","Male","","","",""
"173","1984","East Germany","Female","","","",""
"178","1984","West Germany","Male","","","",""
"178","1984","West Germany","Female","","","",""
"178","1984","East Germany","Male","","","",""
"178","1984","East Germany","Female","","","",""
"181","1984","West Germany","Male","","","",""
"181","1984","West Germany","Female","","","",""
"181","1984","East Germany","Male","","","",""
"181","1984","East Germany","Female","","","",""
"183","1984","West Germany","Male","","","",""
"183","1984","West Germany","Female","","","",""
"183","1984","East Germany","Male","","","",""
"183","1984","East Germany","Female","","","",""
"188","1984","West Germany","Male","","","",""
"188","1984","West Germany","Female","","","",""
"188","1984","East Germany","Male","","","",""
"188","1984","East Germany","Female","","","",""
"195","1984","West Germany","Male","","","",""
"195","1984","West Germany","Female","","","",""
"195","1984","East Germany","Male","","","",""
"195","1984","East Germany","Female","","","",""
"196","1984","West Germany","Male","","","",""
"196","1984","West Germany","Female","","","",""
"196","1984","East Germany","Male","","","",""
"196","1984","East Germany","Female","","","",""
"999","1984","West Germany","Male","","","",""
"999","1984","West Germany","Female","","","",""
"999","1984","East Germany","Male","","","",""
"999","1984","East Germany","Female","","","",""
"1","1985","West Germany","Male","3977","0.926708152042084","0.919792230762594","0.933624073321574"
"1","1985","West Germany","Female","4382","0.946492442537939","0.940615074234042","0.952369810841836"
"1","1985","East Germany","Male","","","",""
"1","1985","East Germany","Female","","","",""
"2","1985","West Germany","Male","465","0.0239637200099385","0.0199052642855154","0.0280221757343616"
"2","1985","West Germany","Female","397","0.0166819517253265","0.013337020419056","0.020026883031597"
"2","1985","East Germany","Male","","","",""
"2","1985","East Germany","Female","","","",""
"3","1985","West Germany","Male","255","0.012761032100221","0.00978248303348431","0.0157395811669577"
"3","1985","West Germany","Female","234","0.0101962917018518","0.00757260223355503","0.0128199811701485"
"3","1985","East Germany","Male","","","",""
"3","1985","East Germany","Female","","","",""
"4","1985","West Germany","Male","216","0.00578627229541775","0.0037735214169549","0.0077990231738806"
"4","1985","West Germany","Female","196","0.00434327050611326","0.00262583663387649","0.00606070437835004"
"4","1985","East Germany","Male","","","",""
"4","1985","East Germany","Female","","","",""
"5","1985","West Germany","Male","300","0.0133501516845646","0.0103045343169228","0.0163957690522063"
"5","1985","West Germany","Female","229","0.00783321702160294","0.00553082543828799","0.0101356086049179"
"5","1985","East Germany","Male","","","",""
"5","1985","East Germany","Female","","","",""
"6","1985","West Germany","Male","189","0.00341372962632962","0.00186590153609257","0.00496155771656667"
"6","1985","West Germany","Female","132","0.00191647258852298","0.000774247965963357","0.00305869721108259"
"6","1985","East Germany","Male","","","",""
"6","1985","East Germany","Female","","","",""
"10","1985","West Germany","Male","16","","",""
"10","1985","West Germany","Female","15","","",""
"10","1985","East Germany","Male","","","",""
"10","1985","East Germany","Female","","","",""
"11","1985","West Germany","Male","7","","",""
"11","1985","West Germany","Female","5","","",""
"11","1985","East Germany","Male","","","",""
"11","1985","East Germany","Female","","","",""
"12","1985","West Germany","Male","6","","",""
"12","1985","West Germany","Female","5","","",""
"12","1985","East Germany","Male","","","",""
"12","1985","East Germany","Female","","","",""
"13","1985","West Germany","Male","","","",""
"13","1985","West Germany","Female","","","",""
"13","1985","East Germany","Male","","","",""
"13","1985","East Germany","Female","","","",""
"14","1985","West Germany","Male","3","","",""
"14","1985","West Germany","Female","2","","",""
"14","1985","East Germany","Male","","","",""
"14","1985","East Germany","Female","","","",""
"15","1985","West Germany","Male","","","",""
"15","1985","West Germany","Female","","","",""
"15","1985","East Germany","Male","","","",""
"15","1985","East Germany","Female","","","",""
"16","1985","West Germany","Male","","","",""
"16","1985","West Germany","Female","","","",""
"16","1985","East Germany","Male","","","",""
"16","1985","East Germany","Female","","","",""
"17","1985","West Germany","Male","","","",""
"17","1985","West Germany","Female","1","","",""
"17","1985","East Germany","Male","","","",""
"17","1985","East Germany","Female","","","",""
"18","1985","West Germany","Male","2","","",""
"18","1985","West Germany","Female","6","","",""
"18","1985","East Germany","Male","","","",""
"18","1985","East Germany","Female","","","",""
"19","1985","West Germany","Male","1","","",""
"19","1985","West Germany","Female","6","","",""
"19","1985","East Germany","Male","","","",""
"19","1985","East Germany","Female","","","",""
"20","1985","West Germany","Male","1","","",""
"20","1985","West Germany","Female","1","","",""
"20","1985","East Germany","Male","","","",""
"20","1985","East Germany","Female","","","",""
"21","1985","West Germany","Male","1","","",""
"21","1985","West Germany","Female","1","","",""
"21","1985","East Germany","Male","","","",""
"21","1985","East Germany","Female","","","",""
"22","1985","West Germany","Male","4","","",""
"22","1985","West Germany","Female","3","","",""
"22","1985","East Germany","Male","","","",""
"22","1985","East Germany","Female","","","",""
"23","1985","West Germany","Male","1","","",""
"23","1985","West Germany","Female","2","","",""
"23","1985","East Germany","Male","","","",""
"23","1985","East Germany","Female","","","",""
"24","1985","West Germany","Male","1","","",""
"24","1985","West Germany","Female","1","","",""
"24","1985","East Germany","Male","","","",""
"24","1985","East Germany","Female","","","",""
"25","1985","West Germany","Male","","","",""
"25","1985","West Germany","Female","","","",""
"25","1985","East Germany","Male","","","",""
"25","1985","East Germany","Female","","","",""
"26","1985","West Germany","Male","","","",""
"26","1985","West Germany","Female","2","","",""
"26","1985","East Germany","Male","","","",""
"26","1985","East Germany","Female","","","",""
"27","1985","West Germany","Male","","","",""
"27","1985","West Germany","Female","","","",""
"27","1985","East Germany","Male","","","",""
"27","1985","East Germany","Female","","","",""
"28","1985","West Germany","Male","","","",""
"28","1985","West Germany","Female","","","",""
"28","1985","East Germany","Male","","","",""
"28","1985","East Germany","Female","","","",""
"29","1985","West Germany","Male","","","",""
"29","1985","West Germany","Female","","","",""
"29","1985","East Germany","Male","","","",""
"29","1985","East Germany","Female","","","",""
"30","1985","West Germany","Male","","","",""
"30","1985","West Germany","Female","","","",""
"30","1985","East Germany","Male","","","",""
"30","1985","East Germany","Female","","","",""
"31","1985","West Germany","Male","","","",""
"31","1985","West Germany","Female","2","","",""
"31","1985","East Germany","Male","","","",""
"31","1985","East Germany","Female","","","",""
"32","1985","West Germany","Male","","","",""
"32","1985","West Germany","Female","","","",""
"32","1985","East Germany","Male","","","",""
"32","1985","East Germany","Female","","","",""
"34","1985","West Germany","Male","","","",""
"34","1985","West Germany","Female","1","","",""
"34","1985","East Germany","Male","","","",""
"34","1985","East Germany","Female","","","",""
"35","1985","West Germany","Male","","","",""
"35","1985","West Germany","Female","","","",""
