"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","Berlin","27747.36","25261.26","337","228","11088","40312","53457","86188","25191.03","30303.69","0","203673","28017","33828"
"1991","Brandenburg","","","","","","","","","","","","","",""
"1991","Bremen","16091.58","6031.18","97","0","146","26201","42795","81883","11966.67","20216.49","0","81883","5317","20997"
"1991","Hamburg","24534.85","22891.07","162","26","2313","38925","56068","106123","21264.57","27805.13","0","106123","21535","33387"
"1991","Hesse","30973.15","25682","967","168","7273","42752","63707","137130","29098.06","32848.24","0","344950","30588","33288"
"1991","Lower Saxony","28074.79","25676","977","230","6816","39391","55234","107818","26479.71","29669.87","0","278848","26664","29474"
"1991","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1991","North Rhine-Westphalia","29924.34","27039","2555","178","8896","42542","57992","127212","28949.64","30899.04","0","255286","28658","30582"
"1991","Rhineland-Palatinate,Saarland","24715.98","24448","666","231","7510","37735","49202","68345","23313.42","26118.54","0","102672","26078","29229"
"1991","Saxony","","","","","","","","","","","","","",""
"1991","Saxony-Anhalt","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","27356.78","26070.33","296","355","11248","39309","56681","80436","24923.7","29789.86","0","102399","25547","30933"
"1991","Thuringia","","","","","","","","","","","","","",""
"1992","Baden-Württemberg","34658.72","32259","1773","904","15339","48613","71783","104663","33549.31","35768.13","0","151259","34026","36271"
"1992","Bavaria","31766.59","29987","1649","358","10476","46406","64601","103128","30630.06","32903.12","0","136081","32845","35501"
"1992","Berlin","25666.98","22954.87","603","230","8234","36879","49950","96327","22972.39","28361.57","0","518807","23775","27653"
"1992","Brandenburg","17553.68","15347.98","668","230","8590","25716","33549","52891","16556.01","18551.35","0","65517","17644","21051"
"1992","Bremen","16710.48","6596","93","0","118","30504","43705","77646","12377.9","21043.06","0","82981","6596","25970"
"1992","Hamburg","24930.57","21087.69","153","48","1121","37634","54000","134049","21030.11","28831.03","0","134049","21387","32734"
