"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Other degree","inadequately","","","","","","","","","","","","","",""
"1986","Other degree","middle vocational","24453.39","21692.08","425","9965","16164","32229","40739","69954","23201.33","25705.45","0","71716","22701","25896"
"1986","Other degree","vocational + Abi","21871.08","21433.79","80","4295","14725","30729","36603","52657","19075.33","24666.83","0","55275","19655","26999"
"1986","secondary school degree","general elemantary","28476.68","25632.38","466","1330","10839","37902","52818","84717","25474.74","31478.62","0","448962","26000","29862"
"1986","secondary school degree","higher education","38989.62","33533.26","61","2309","12512","53701","64183","348575","26721.25","51257.99","0","348575","30052","40869"
"1986","secondary school degree","higher vocational","26505.4","24549.7","180","202","8078","36966","51414","103962","23196.74","29814.06","0","160404","23987","30201"
"1986","secondary school degree","in school","","","","","","","","","","","","","",""
"1986","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1986","secondary school degree","middle vocational","27953.37","26364.25","1133","237","13294","38430","51670","107525","26492.64","29414.1","0","448962","27645","29911"
"1986","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1987","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1987","college entrance qualification","higher education","35298.16","34103","614","2218","19462","48575","61056","125181","33279.15","37317.17","0","201751","34410","38592"
"1987","college entrance qualification","higher vocational","27300.75","23430.56","124","2965","12691","37434","51909","88267","23780.61","30820.89","0","101031","21851","31977"
"1987","college entrance qualification","in school","","","","","","","","","","","","","",""
"1987","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1987","college entrance qualification","middle vocational","27936.62","25050.59","301","409","6629","40137","58850","102397","25003.46","30869.78","0","201751","23928","30575"
"1987","college entrance qualification","vocational + Abi","25920.07","21767.68","193","787","12307","36526","51873","106182","22968.1","28872.04","0","107855","21781","27712"
"1987","lower secondary degree","general elemantary","17321.56","14262","1848","41","386","27861","40075","70504","16448.26","18194.86","0","208437","19505","21539"
"1987","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1987","lower secondary degree","higher vocational","26770.62","27289.87","252","213","9934","39077","48961","88267","24441.03","29100.21","0","107855","26926","33019"
"1987","lower secondary degree","in school","","","","","","","","","","","","","",""
"1987","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1987","lower secondary degree","middle vocational","22724.09","21763.11","2997","120","6263","32648","44639","83732","22063.21","23384.97","0","196745","23827","25232"
"1987","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","in school","33582.51","32486.34","191","4295","21611","43204","59463","116581","30579.97","36585.05","0","125181","28916","35804"
"1987","no degree/no degree yet","inadequately","22373.06","21658.29","723","482","12680","30933","41235","62640","21267.39","23478.73","0","112932","24113","26548"
"1987","no degree/no degree yet","middle vocational","25005.68","21326.79","90","915","15963","37105","49190","67815","21578.3","28433.06","0","72203","21328","30091"
"1987","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1987","Other degree","general elemantary","24327.21","22615.51","576","10635","16232","31962","39660","60171","23228.84","25425.58","0","106785","23358","26592"
"1987","Other degree","higher education","27797.43","26537.25","46","409","16695","45198","45537","54994","23031.07","32563.79","409","94507","26196","36594"
"1987","Other degree","higher vocational","","","","","","","","","","","","","",""
"1987","Other degree","in school","","","","","","","","","","","","","",""
"1987","Other degree","inadequately","20736.7","21693.23","30","3184","3620","30897","42574","54607","15681.42","25791.98","665","54607","19172","28030"
"1987","Other degree","middle vocational","26583.34","23313","419","8157","17039","34663","42044","93069","25152.42","28014.26","0","133166","24737","28194"
"1987","Other degree","vocational + Abi","23613.39","21767.04","76","3584","16148","30575","44169","58831","20283.53","26943.25","0","58831","21082","29444"
"1987","secondary school degree","general elemantary","27233.28","26907.43","433","511","10547","39457","51784","82450","25309.63","29156.93","0","200459","27496","31664"
"1987","secondary school degree","higher education","37344.41","36054.3","62","4511","15032","49208","60371","196745","29105.23","45583.59","101","196745","30175","40966"
"1987","secondary school degree","higher vocational","29583.83","27945.09","180","153","13856","42718","58191","97477","26372.17","32795.49","0","125427","26225","35183"
"1987","secondary school degree","in school","","","","","","","","","","","","","",""
"1987","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1987","secondary school degree","middle vocational","28174.88","27096.04","1155","517","14240","38508","52419","104860","26947.78","29401.98","0","200459","28875","30984"
"1987","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1988","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1988","college entrance qualification","higher education","38122.1","35638.26","588","3573","20726","50323","67655","141230","35914.66","40329.54","0","197348","35640","40392"
"1988","college entrance qualification","higher vocational","28570.99","26862.13","118","767","13370","41442","53901","120537","24571.64","32570.34","0","122871","24235","31666"
"1988","college entrance qualification","in school","","","","","","","","","","","","","",""
"1988","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1988","college entrance qualification","middle vocational","26355.36","25137.31","283","1278","7661","38901","51998","93291","23879.51","28831.21","0","120537","23241","30499"
"1988","college entrance qualification","vocational + Abi","28873.42","24312.24","192","906","12204","38496","54874","126647","25323.29","32423.55","0","189599","24019","32011"
"1988","lower secondary degree","general elemantary","17232.95","15531.78","1764","28","358","28022","41543","70780","16404.27","18061.63","0","151353","19826","21895"
"1988","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1988","lower secondary degree","higher vocational","26921.98","27813.56","243","191","8935","40648","50534","81639","24529.67","29314.29","0","95477","27793","33306"
"1988","lower secondary degree","in school","","","","","","","","","","","","","",""
"1988","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1988","lower secondary degree","middle vocational","23541.65","22506.29","2869","153","6038","34029","46603","82046","22835.27","24248.03","0","199278","24384","25919"
"1988","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1988","no degree/no degree yet","in school","33274.6","32346.48","163","7732","21603","42464","53901","98424","30006.28","36542.92","0","143111","28757","35107"
"1988","no degree/no degree yet","inadequately","22509.93","20993.14","666","89","11760","31593","41289","70552","21226.23","23793.63","0","128079","23952","26096"
"1988","no degree/no degree yet","middle vocational","24382.6","22853.84","79","890","13743","37351","44416","65616","20528.09","28237.11","0","74495","21056","32232"
"1988","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1988","Other degree","general elemantary","25010.35","23265.09","550","10469","16682","32365","40136","68873","23777.8","26242.9","0","91636","23984","26865"
"1988","Other degree","higher education","29736.19","30955.55","35","868","17384","42606","50292","55928","24126.49","35345.89","868","80763","23142","40002"
"1988","Other degree","higher vocational","","","","","","","","","","","","","",""
"1988","Other degree","in school","","","","","","","","","","","","","",""
"1988","Other degree","inadequately","","","","","","","","","","","","","",""
"1988","Other degree","middle vocational","26863.89","23340.52","384","6749","16806","35893","45347","141230","25334.83","28392.95","0","141230","24696","28931"
"1988","Other degree","vocational + Abi","26163.41","22202.75","73","4346","15620","36261","51313","59095","22345.37","29981.45","0","76643","21943","33950"
"1988","secondary school degree","general elemantary","28913.95","27875","426","342","8190","41989","53494","120537","26875.58","30952.32","0","151353","28806","33846"
"1988","secondary school degree","higher education","38385.58","34539.72","61","6136","22991","45083","62255","199278","30207.85","46563.31","557","199278","31741","42994"
"1988","secondary school degree","higher vocational","32587.57","31066.17","169","389","18049","43652","62583","147058","28969.71","36205.43","45","163648","27814","37123"
"1988","secondary school degree","in school","","","","","","","","","","","","","",""
"1988","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1988","secondary school degree","middle vocational","29561.25","28165.12","1111","654","15669","41289","53104","93797","28233.57","30888.93","0","311142","29516","32097"
"1988","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1989","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1989","college entrance qualification","higher education","41237.73","36876.03","591","4342","21264","54067","69051","160167","38523.63","43951.83","0","301825","37078","41190"
"1989","college entrance qualification","higher vocational","31730.97","28632.79","111","2247","17420","45092","62766","113788","27488.55","35973.39","0","122871","27214","36514"
"1989","college entrance qualification","in school","","","","","","","","","","","","","",""
"1989","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1989","college entrance qualification","middle vocational","31860.7","26968.05","289","2122","8498","42744","63489","157312","28313.46","35407.94","0","272876","26392","32670"
"1989","college entrance qualification","vocational + Abi","29988.15","25168.53","213","1387","10328","40713","63765","130891","26751.29","33225.01","1","146971","25508","33214"
"1989","lower secondary degree","general elemantary","17582.4","14883.25","1663","24","329","28900","43141","71615","16690.66","18474.14","0","126613","20201","22240"
"1989","lower secondary degree","higher education","","","","","","","","","","","","","",""
