"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","indirect migration background","52608.39","43772.33","1374","5799","22800","73235","99340","183704","49378.9","55837.88","0","1627958","37800","42240"
"2012","no migration background","41009.34","32391.26","23831","165","5250","60134","89860","192131","40274.57","41744.11","0","2618321","35718","36785"
"2013","direct migration background","35804.04","29300","6429","26","7532","51084","78000","174891","34940","36668.08","0","737306","30933","32400"
"2013","indirect migration background","46695.2","38958.32","2237","1277","15296","64100","95302","186966","44403.59","48986.81","0","1814431","38129","41433"
"2013","no migration background","41861.9","32530","22650","160","5404","62340","93836","188054","41140.58","42583.22","0","1900539","36975","38080"
"2014","direct migration background","37165.88","30407","5182","40","6942","52838","78190","192053","36134.46","38197.3","0","655100","31339","33419"
"2014","indirect migration background","47210.33","39604.68","1933","2700","17715","65100","93401","186935","45019.59","49401.07","0","987296","38813","42839"
"2014","no migration background","42808.04","32844","20671","133","5336","63610","96000","188423","42046.65","43569.43","0","2399132","37750","39158"
"2015","direct migration background","37133.44","30345.62","5997","9","7452","53998","83190","170906","36226.07","38040.81","0","578026","31000","32500"
"2015","indirect migration background","47966.95","40895.85","1808","3192","17400","65689","97274","194200","45990.9","49943","0","495500","40634","44043"
"2015","no migration background","43261.26","33840","19707","128","5191","65300","99160","185642","42543.72","43978.8","0","1906349","38434","40238"
"2016","direct migration background","39556.46","31842.51","4926","38","7800","57604","85176","187563","38503.41","40609.51","0","455950","32513","34560"
"2016","indirect migration background","49428.88","42230","1688","3792","18000","66510","102807","209607","47193.59","51664.17","0","526372","41667","45297"
"2016","no migration background","44924.46","35519.45","18343","142","5640","66237","99200","213520","44045.4","45803.52","0","2962587","39500","41371"
"2017","direct migration background","39894.78","32089.08","6917","0","5500","58441","90001","183758","38894.34","40895.22","0","916626","15225","18020"
"2017","indirect migration background","51221.32","44788.55","1837","3700","19208","70642","102870","207670","48666.01","53776.63","0","1148919","44259","47966"
"2017","no migration background","46026.54","36055.14","20698","117","5968","68990","101903","206207","45224.51","46828.57","0","1464690","42826","44194"
"2018","direct migration background","40785.24","32128","8108","0","5400","61200","91540","206670","39916.88","41653.6","0","1162998","6036","8100"
"2018","indirect migration background","54432.89","46888.35","1819","4880","21077","71461","104933","216969","51146.85","57718.93","0","1340092","43782","48419"
"2018","no migration background","47462.39","37443.36","19963","119","5875","70429","104657","212784","46632.83","48291.95","0","1389924","41976","43855"
"2019","direct migration background","45015.68","35822.48","7263","0","6600","64485","96850","249918","43648.32","46383.04","0","1431225","7800","10000"
"2019","indirect migration background","59020.54","51241.65","1782","5000","22800","81086","114430","252700","53455.13","64585.95","0","1788768","50105","56125"
"2019","no migration background","49534.62","39801.46","20622","130","6456","71660","107896","212612","47869.75","51199.49","0","10972493","48600","50600"
