"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2000","Employed","Female","45240.05","40306.61","6833","11865","24761","58622","80474","148496","44480.38","45999.72","245","668273","41013","42693"
"2000","Employed","Male","46623.45","41012.01","8362","15697","27067","59137","81276","155707","45946.61","47300.29","123","534522","41568","42905"
"2000","Not Employed","Female","17258.93","3218.34","5776","0","163","27992","49925","126495","16517.19","18000.67","0","533987","6306","8308"
"2000","Not Employed","Male","12371.84","2045","3293","4","171","15854","38726","99872","11543.43","13200.25","0","331579","2509","3674"
"2001","Employed","Female","45115.78","40018.79","6393","11381","24337","59022","80737","153428","44324.04","45907.52","34","526806","41123","42468"
"2001","Employed","Male","47521.41","41813.97","7531","15543","27686","60144","81571","158442","46787.03","48255.79","82","526806","42645","43824"
"2001","Not Employed","Female","16526.95","2768.24","5088","0","153","26675","49669","114202","15757.09","17296.81","0","413324","5749","8027"
"2001","Not Employed","Male","12210.47","2372.78","3051","0","161","15460","37656","103563","11326.43","13094.51","0","413324","2890","3901"
"2002","Employed","Female","46180.8","39383.94","6856","10532","24200","58468","81500","173564","45010.1","47351.5","120","1022417","46613","48385"
"2002","Employed","Male","48272.03","41249.95","7992","15042","27707","59555","83388","176350","47215.68","49328.38","140","950298","48047","49700"
"2002","Not Employed","Female","16178.06","2916.71","5123","0","190","25450","46158","125722","15048.53","17307.59","0","940164","7025","9365"
"2002","Not Employed","Male","13230.94","2849.15","3186","0","200","15615","38100","107072","11726.08","14735.8","0","1022417","3968","5126"
"2003","Employed","Female","47405.13","41285","6551","10701","24510","60706","84391","175103","46262.68","48547.58","125","1147759","47036","49270"
"2003","Employed","Male","49511.9","42898.49","7527","15440","28302","62100","86300","179613","48509.1","50514.7","348","549292","49200","51119"
"2003","Not Employed","Female","17053.64","2805.41","5015","0","178","27000","49919","125643","15891.4","18215.88","0","967766","6759","8792"
"2003","Not Employed","Male","14008.29","2475.45","3204","0","183","16210","39250","112446","12320.33","15696.25","0","1147759","3876","5196"
"2004","Employed","Female","45828.68","40265.58","6349","8807","22963","59873","82728","170219","44715.89","46941.47","150","741889","46446","48506"
"2004","Employed","Male","49972.77","43400","7162","14900","28286","61646","85309","178733","48293.92","51651.62","300","4126742","49046","50715"
"2004","Not Employed","Female","17398","3040.24","4955","1","188","26330","49214","129218","15452.55","19343.45","0","4126742","6254","7850"
"2004","Not Employed","Male","14177.87","3108","3267","0","200","17485","41998","126950","12982.71","15373.03","0","819861","4480","5911"
"2005","Employed","Female","45815.02","40186.25","6128","9603","22933","60485","83906","157719","44728.77","46901.27","89","826626","46886","49058"
"2005","Employed","Male","49423.44","42547.1","6755","14400","28107","62114","85822","165690","47681.65","51165.23","162","4678880","49241","50558"
"2005","Not Employed","Female","17394.98","3077.68","4737","0","170","24184","48800","122250","15148.13","19641.83","0","4678880","5503","7213"
"2005","Not Employed","Male","13692.93","3022.85","3192","0","187","16966","41541","109200","12470.78","14915.08","0","810137","4350","5507"
"2006","Employed","Female","46534.99","40443.76","6443","8871","22290","60620","84584","179280","45331.73","47738.25","40","1564022","45542","47355"
"2006","Employed","Male","50331.38","42563.54","7039","13283","27300","62671","87994","189786","49033.68","51629.08","150","1564022","47972","49772"
"2006","Not Employed","Female","16622.87","2494.69","5262","0","137","24233","49384","120470","15398.67","17847.07","0","1511578","4764","6149"
"2006","Not Employed","Male","15253.24","2682.6","3637","0","162","18313","47231","127439","14111.44","16395.04","0","517457","4050","5096"
"2007","Employed","Female","47234.98","40820.13","6069","9367","23193","61210","86420","177311","46034.04","48435.92","120","672085","45778","47999"
"2007","Employed","Male","51416.25","44250.81","6543","14420","28754","64049","91080","189800","50203.98","52628.52","267","866704","49179","51091"
"2007","Not Employed","Female","17379.83","3155","4899","0","170","25852","52743","128214","16176.86","18582.8","0","649729","4711","6400"
"2007","Not Employed","Male","15432.75","3053.31","3454","0","188","19205","48240","123433","14162.68","16702.82","0","565481","4174","5473"
"2008","Employed","Female","48845.11","42212.88","5750","9695","23922","64452","90711","189662","47634.3","50055.92","53","913060","47034","48903"
"2008","Employed","Male","52981.71","45107.44","6179","15400","29479","65508","93650","192451","51493.09","54470.33","75","2401029","49956","51921"
"2008","Not Employed","Female","17382.1","3073.4","4551","0","158","24066","51260","123584","15777.02","18987.18","0","2401029","4602","5900"
"2008","Not Employed","Male","16230.21","3800","3206","0","201","20445","48628","116700","14825.18","17635.24","0","672700","4500","5584"
"2009","Employed","Female","49268.6","42393.44","5480","9624","25000","65708","89043","180631","47917.38","50619.82","50","1220980","47225","49176"
"2009","Employed","Male","54511.64","45383.27","5766","16914","30412","68499","95320","219340","53082.29","55940.99","360","1220980","50600","52510"
"2009","Not Employed","Female","16655.76","3081.55","4108","0","153","22814","50007","131467","15437.17","17874.35","0","515975","4372","5658"
"2009","Not Employed","Male","16639.35","3831.34","3009","0","195","20032","50058","119708","15283.5","17995.2","0","669301","4634","5806"
"2010","Employed","Female","50483.91","43264.7","7711","10370","24421","66898","95177","192118","49495.29","51472.53","16","741948","42874","44690"
"2010","Employed","Male","53922.53","45999.8","7903","15128","29657","68810","98396","191885","52902.35","54942.71","50","1001382","47131","48674"
"2010","Not Employed","Female","16086.67","3023.61","5589","0","150","21224","48887","130328","15099.79","17073.55","0","787002","7498","9311"
"2010","Not Employed","Male","16535.99","3814.2","3229","0","200","19200","50740","131117","15234.27","17837.71","0","741948","4552","5835"
"2011","Employed","Female","52183.17","44737.6","9185","10800","25432","68672","98325","203860","51260.03","53106.31","100","938805","43136","44851"
"2011","Employed","Male","55599.85","47541.79","9136","14995","29561","71846","101024","207172","54594.69","56605.01","50","976703","48070","49825"
"2011","Not Employed","Female","17222.51","3000","6650","0","130","21323","51961","139209","16134.51","18310.51","0","976703","7228","8940"
"2011","Not Employed","Male","16143.18","3902.2","4044","0","154","18383","50800","121546","15107.93","17178.43","0","574515","4729","5629"
"2012","Employed","Female","53615.84","45697.79","9163","11000","26427","69638","98285","198485","52448.01","54783.67","60","2618321","44513","46060"
"2012","Employed","Male","57605.5","48784.42","8754","14649","30290","73697","103288","213267","56365.57","58845.43","61","2618321","49278","50945"
"2012","Not Employed","Female","17081.66","3007.31","6253","0","135","22837","52275","128397","15936.31","18227.01","0","1311880","6086","7261"
"2012","Not Employed","Male","17273.09","3612.36","4106","0","153","20816","52895","130257","16002","18544.18","0","1311880","4408","5400"
"2013","Employed","Female","55234.06","46399.13","8781","11400","26226","72636","102573","202285","54086.62","56381.5","227","1900539","45798","47488"
"2013","Employed","Male","60056.85","51313.68","8131","16408","32149","77049","110247","207041","58843.73","61269.97","61","1900539","51758","53300"
"2013","Not Employed","Female","19486.11","4499.34","8226","0","181","27221","58290","138589","18543.73","20428.49","0","1214285","14160","16800"
"2013","Not Employed","Male","21267.87","7200","6178","0","229","30150","59714","132784","20282.31","22253.43","0","1214285","14400","16882"
"2014","Employed","Female","54957.05","46609","9141","9602","25200","72261","102376","200677","53828.59","56085.51","86","2399132","46564","48050"
"2014","Employed","Male","59807.98","50503.5","8676","15000","31139","76730","108829","223400","58705.42","60910.54","100","1292572","50404","52060"
"2014","Not Employed","Female","17836.73","2905.98","5863","0","106","22928","54687","150058","16790.88","18882.58","0","1131810","6644","8060"
"2014","Not Employed","Male","17540.21","3941.13","4106","0","120","20868","51803","145605","16246.61","18833.81","0","1131810","4950","6360"
"2015","Employed","Female","55616.5","47662.44","8587","10781","26473","74603","105825","194200","54574.24","56658.76","200","1906349","48400","50379"
"2015","Employed","Male","61202.09","52629.57","8076","15610","32315","79256","111702","203505","60114.72","62289.46","12","977034","52800","54532"
"2015","Not Employed","Female","18337.69","3500.34","6257","0","123","23824","56491","139510","17409.65","19265.73","0","753202","8132","10290"
"2015","Not Employed","Male","17047.67","4102.75","4592","0","107","22129","51553","132675","16090.52","18004.82","0","397908","7416","9066"
"2016","Employed","Female","57080.5","48527","8378","9720","27264","74828","107311","230000","55807.69","58353.31","202","2962587","49332","51383"
"2016","Employed","Male","62454.66","53500","7788","15600","33000","78883","112143","230000","61187","63722.32","30","1310270","53430","55441"
"2016","Not Employed","Female","18407.46","3494.8","5129","0","120","25000","56629","135541","17316.94","19497.98","0","805760","5513","7239"
"2016","Not Employed","Male","17526.98","3774.95","3662","0","100","19880","51622","164100","16110.86","18943.1","0","983711","4776","5728"
"2017","Employed","Female","59345.74","49900.45","9363","11009","28662","78548","111155","215000","58211.23","60480.25","230","1464690","51547","53406"
"2017","Employed","Male","63571.82","54100.53","8917","15300","32459","81830","115600","229321","62300.76","64842.88","47","1464690","55432","57479"
"2017","Not Employed","Female","18035.11","3560.16","6092","0","98","24138","58100","135901","17032.92","19037.3","0","964166","3780","4765"
"2017","Not Employed","Male","16932.61","3600","5080","0","61","19752","50870","152034","15943.4","17921.82","0","916626","1375","2160"
"2018","Employed","Female","60972.33","52199.02","9137","11605","29712","78619","110964","235545","59781.62","62163.04","80","1389924","52107","54045"
"2018","Employed","Male","65727.49","56606.27","8832","14912","33394","83150","122043","240303","64457.2","66997.78","120","1389924","54242","56054"
"2018","Not Employed","Female","17328.01","2507.1","6369","0","74","20424","58524","138650","16344.21","18311.81","0","1086594","2400","3264"
"2018","Not Employed","Male","16634.69","3273.42","5552","0","60","19590","54085","126512","15561.2","17708.18","0","1162998","700","1200"
"2019","Employed","Female","62895.03","54040.69","9002","13528","31920","82837","116674","232241","61290.98","64499.08","60","1770752","57301","59423"
"2019","Employed","Male","69007.93","57966.95","9578","16404","34533","87433","125196","258847","65747.33","72268.53","123","10972493","61324","63703"
"2019","Not Employed","Female","18904.25","3000","6018","0","76","23291","59964","156962","17498.83","20309.67","0","1163547","2643","3600"
"2019","Not Employed","Male","20979.97","4139.87","5060","0","93","25040","60586","160071","19480.94","22479","0","1356620","864","1681"
