"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","middle vocational","11.06","8","6176","1","3","17","27","40","10.81","11.31","0","57","7","8"
"2003","vocational + Abi","7.17","4","791","1","2","10","18","34","6.63","7.71","0","52","4","5"
"2004","general elemantary","7.68","3","1018","1","2","10","22","37","7.13","8.23","0","56","3","3"
"2004","higher education","11.14","8","3125","1","3","17","27","41","10.78","11.5","0","55","9","11"
"2004","higher vocational","11.74","9","1097","2","4","17","26","43","11.17","12.31","0","54","9","10"
"2004","in school","1.71","1","47","1","1","3","4","5","1.36","2.06","0","5","1","2"
"2004","inadequately","9.7","4","81","1","1","14","28","39","7.36","12.04","0","39","4","10"
"2004","middle vocational","11.32","8","5945","1","3","17","27","40","11.06","11.58","0","56","8","8"
"2004","vocational + Abi","7.59","5","790","1","2","11","17","35","7.03","8.15","0","51","5","6"
"2005","general elemantary","7.6","3","931","1","2","10","22","38","7.01","8.19","0","57","3","4"
"2005","higher education","10.79","7","2964","1","3","15","26","39","10.42","11.16","0","56","10","11"
"2005","higher vocational","12.37","10","1027","2","5","18","28","41","11.78","12.96","0","55","10","11"
"2005","in school","2.32","2","49","1","1","3","4","6","1.75","2.89","0","12","1","2"
"2005","inadequately","9.26","5.19","74","1","2","14","25","41","6.72","11.8","0","41","5","11"
"2005","middle vocational","11.13","8","5614","1","3","16","26","40","10.87","11.39","0","55","8","9"
"2005","vocational + Abi","7.91","5","782","1","3","11","18","36","7.35","8.47","0","40","5","6"
"2006","general elemantary","7.92","3","905","1","1","10","24","38","7.3","8.54","0","58","3","4"
"2006","higher education","10.97","8","3180","1","3","16","26","39","10.61","11.33","0","60","9","10"
"2006","higher vocational","12.33","10","1065","2","5","17","27","40","11.74","12.92","0","56","10","12"
"2006","in school","3.13","1","40","0","1","3","3","45","0.9","5.36","0","45","1","2"
"2006","inadequately","9.88","4.25","73","1","2","13","28","40","7.12","12.64","0","44","3","10"
"2006","middle vocational","11.28","8","5942","1","3","17","27","41","11.02","11.54","0","56","8","9"
"2006","vocational + Abi","7.97","5","837","1","2","11","18","37","7.41","8.53","0","51","5","7"
"2007","general elemantary","7.74","3","797","1","1","11","23","37","7.1","8.38","0","59","3","4"
"2007","higher education","10.71","8","3054","1","3","16","26","38","10.34","11.08","0","58","9","10"
"2007","higher vocational","12.87","11","997","1","4","18","29","42","12.25","13.49","0","57","11","13"
"2007","in school","","","","","","","","","","","","","",""
"2007","inadequately","10.05","4.18","64","1","1","12","36","45","6.73","13.37","0","45","3","11"
"2007","middle vocational","11.28","8","5697","1","3","17","27","40","11.01","11.55","0","51","8","9"
"2007","vocational + Abi","8.47","6","819","1","3","12","19","35","7.89","9.05","0","52","6","7"
"2008","general elemantary","7.93","3","759","1","1","12","22","38","7.27","8.59","0","43","3","3"
"2008","higher education","10.8","8","2895","1","3","17","25","39","10.42","11.18","0","59","9","10"
"2008","higher vocational","12.66","11","917","1","4","18","28","44","11.99","13.33","0","58","11","13"
"2008","in school","1.89","1","32","1","1","3","4","5","1.46","2.32","0","5","1","2"
"2008","inadequately","7.97","2.47","67","0","1","12","25","40","5.03","10.91","0","43","2","9"
"2008","middle vocational","11.41","8","5434","1","2","18","28","41","11.13","11.69","0","57","8","9"
"2008","vocational + Abi","8.4","6","795","1","2","12","19","35","7.8","9","0","53","6","7"
"2009","general elemantary","8.33","3","668","1","1","13","24","39","7.61","9.05","0","48","3","3"
