"transab_cat","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No transfer dependency","1986","Single parent ","Female","87","0.285133716708692","0.235821236102771","0.334446197314612","0"
"No transfer dependency","1986","Couple + C. LE 16 ","Male","35","0.0227241361760432","0.0141741592822745","0.0312741130698119","0"
"No transfer dependency","1986","Couple + C. LE 16 ","Female","35","0.023360884876462","0.0147058890696707","0.0320158806832532","0"
"No transfer dependency","1986","Couple + C. GT 16 ","Male","376","0.359607291091151","0.330511686943838","0.388702895238464","0"
"No transfer dependency","1986","Couple + C. GT 16 ","Female","307","0.357137908998497","0.325132498679766","0.389143319317227","0"
"No transfer dependency","1986","Couple + C. LE and GT 16","Male","11","","","","0"
"No transfer dependency","1986","Couple + C. LE and GT 16","Female","13","","","","0"
"Very high transfer dependency","1986","1-pers.-HH","Male","9","","","","4"
"Very high transfer dependency","1986","Couple + C. LE and GT 16","Female","1","","","","4"
"Very high transfer dependency","1986","(Married) couple without C. ","Male","6","","","","4"
"Very high transfer dependency","1986","(Married) couple without C. ","Female","6","","","","4"
"Very high transfer dependency","1986","Single parent ","Male","","","","","4"
"Very high transfer dependency","1986","Couple + C. LE 16 ","Male","5","","","","4"
"Very high transfer dependency","1986","Couple + C. LE 16 ","Female","5","","","","4"
"Very high transfer dependency","1986","Couple + C. GT 16 ","Male","5","","","","4"
"Very high transfer dependency","1986","Couple + C. GT 16 ","Female","6","","","","4"
"Very high transfer dependency","1986","1-pers.-HH","Female","14","","","","4"
"Very high transfer dependency","1986","Couple + C. LE and GT 16","Male","2","","","","4"
"Very high transfer dependency","1986","Single parent ","Female","8","","","","4"
"Very low transfer dependency","1986","Couple + C. GT 16 ","Female","524","0.61535010376889","0.582853313749739","0.647846893788041","1"
"Very low transfer dependency","1986","1-pers.-HH","Male","56","0.0926822995422556","0.0658893870214488","0.119475212063062","1"
"Very low transfer dependency","1986","1-pers.-HH","Female","61","0.0992123095368123","0.0764052065090325","0.122019412564592","1"
"Very low transfer dependency","1986","Single parent ","Male","96","0.562039431356339","0.487677453210772","0.636401409501907","1"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","Male","668","0.942452943873278","0.925454003433463","0.959451884313094","1"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","Female","562","0.920834990681145","0.899565342470979","0.942104638891311","1"
"Very low transfer dependency","1986","(Married) couple without C. ","Male","141","0.0988928451191068","0.0817877373417739","0.11599795289644","1"
"Very low transfer dependency","1986","(Married) couple without C. ","Female","143","0.101705366303363","0.0844300595833624","0.118980673023364","1"
"Very low transfer dependency","1986","Single parent ","Female","179","0.532005892521158","0.477505633176183","0.586506151866134","1"
"Very low transfer dependency","1986","Couple + C. LE 16 ","Male","1055","0.917753762065343","0.901990947351219","0.933516576779468","1"
"Very low transfer dependency","1986","Couple + C. LE 16 ","Female","1058","0.914768511625577","0.898768849931351","0.930768173319803","1"
"Very low transfer dependency","1986","Couple + C. GT 16 ","Male","629","0.608648192464085","0.57905738705002","0.63823899787815","1"
"Complete transfer dependency","1987","1-pers.-HH","Female","11","","","","5"
"Complete transfer dependency","1987","(Married) couple without C. ","Male","2","","","","5"
"Complete transfer dependency","1987","(Married) couple without C. ","Female","2","","","","5"
"Complete transfer dependency","1987","Single parent ","Male","1","","","","5"
"Complete transfer dependency","1987","Single parent ","Female","9","","","","5"
"Complete transfer dependency","1987","Couple + C. LE 16 ","Male","12","","","","5"
"Complete transfer dependency","1987","Couple + C. LE 16 ","Female","12","","","","5"
"Complete transfer dependency","1987","1-pers.-HH","Male","11","","","","5"
"Complete transfer dependency","1987","Couple + C. GT 16 ","Male","1","","","","5"
"Complete transfer dependency","1987","Couple + C. GT 16 ","Female","2","","","","5"
"Complete transfer dependency","1987","Couple + C. LE and GT 16","Male","2","","","","5"
"Complete transfer dependency","1987","Couple + C. LE and GT 16","Female","5","","","","5"
"High transfer dependency","1987","Couple + C. LE and GT 16","Female","8","","","","3"
"High transfer dependency","1987","Couple + C. GT 16 ","Male","12","","","","3"
"High transfer dependency","1987","1-pers.-HH","Male","5","","","","3"
"High transfer dependency","1987","1-pers.-HH","Female","9","","","","3"
"High transfer dependency","1987","(Married) couple without C. ","Male","8","","","","3"
"High transfer dependency","1987","(Married) couple without C. ","Female","8","","","","3"
"High transfer dependency","1987","Single parent ","Female","6","","","","3"
"High transfer dependency","1987","Couple + C. LE 16 ","Male","13","","","","3"
"High transfer dependency","1987","Couple + C. LE 16 ","Female","13","","","","3"
"High transfer dependency","1987","Couple + C. GT 16 ","Female","7","","","","3"
"High transfer dependency","1987","Couple + C. LE and GT 16","Male","9","","","","3"
"High transfer dependency","1987","Single parent ","Male","3","","","","3"
"Low transfer dependency","1987","1-pers.-HH","Male","9","","","","2"
"Low transfer dependency","1987","1-pers.-HH","Female","16","","","","2"
"Low transfer dependency","1987","(Married) couple without C. ","Male","23","","","","2"
"Low transfer dependency","1987","(Married) couple without C. ","Female","23","","","","2"
"Low transfer dependency","1987","Single parent ","Male","14","","","","2"
"Low transfer dependency","1987","Single parent ","Female","35","0.115183817021861","0.0799851018226807","0.150382532221041","2"
"Low transfer dependency","1987","Couple + C. GT 16 ","Male","20","","","","2"
"Low transfer dependency","1987","Couple + C. GT 16 ","Female","18","","","","2"
"Low transfer dependency","1987","Couple + C. LE and GT 16","Male","33","0.041198392470943","0.0257884089619533","0.0566083759799326","2"
"Low transfer dependency","1987","Couple + C. LE and GT 16","Female","30","0.0525684985515871","0.034199170997554","0.0709378261056203","2"
"Low transfer dependency","1987","Couple + C. LE 16 ","Male","48","0.0398917914294073","0.0285857052775564","0.0511978775812582","2"
"Low transfer dependency","1987","Couple + C. LE 16 ","Female","50","0.0449323479099713","0.0329751322624968","0.0568895635574458","2"
"No transfer dependency","1987","1-pers.-HH","Male","341","0.795139701305399","0.757471106784511","0.832808295826286","0"
"No transfer dependency","1987","1-pers.-HH","Female","550","0.838514041319304","0.810546143700348","0.866481938938259","0"
"No transfer dependency","1987","(Married) couple without C. ","Male","995","0.881790742892362","0.863211517300505","0.900369968484219","0"
"No transfer dependency","1987","(Married) couple without C. ","Female","994","0.875525721850537","0.856511958935304","0.894539484765769","0"
"No transfer dependency","1987","Single parent ","Male","61","0.381273490956744","0.311284473930558","0.45126250798293","0"
"No transfer dependency","1987","Single parent ","Female","84","0.293428001111316","0.243224553942652","0.34363144827998","0"
"No transfer dependency","1987","Couple + C. LE 16 ","Male","26","","","","0"
"No transfer dependency","1987","Couple + C. LE 16 ","Female","26","","","","0"
"No transfer dependency","1987","Couple + C. GT 16 ","Male","400","0.387344633784883","0.358046313292857","0.41664295427691","0"
"No transfer dependency","1987","Couple + C. GT 16 ","Female","314","0.37599567216837","0.34343271394121","0.408558630395531","0"
"No transfer dependency","1987","Couple + C. LE and GT 16","Male","12","","","","0"
"No transfer dependency","1987","Couple + C. LE and GT 16","Female","14","","","","0"
"Very high transfer dependency","1987","Couple + C. LE and GT 16","Female","5","","","","4"
"Very high transfer dependency","1987","1-pers.-HH","Male","11","","","","4"
"Very high transfer dependency","1987","(Married) couple without C. ","Male","5","","","","4"
"Very high transfer dependency","1987","(Married) couple without C. ","Female","5","","","","4"
"Very high transfer dependency","1987","Single parent ","Male","1","","","","4"
"Very high transfer dependency","1987","Couple + C. LE 16 ","Male","6","","","","4"
"Very high transfer dependency","1987","Couple + C. LE 16 ","Female","6","","","","4"
"Very high transfer dependency","1987","Couple + C. GT 16 ","Male","1","","","","4"
"Very high transfer dependency","1987","Couple + C. GT 16 ","Female","2","","","","4"
"Very high transfer dependency","1987","Couple + C. LE and GT 16","Male","4","","","","4"
"Very high transfer dependency","1987","1-pers.-HH","Female","11","","","","4"
"Very high transfer dependency","1987","Single parent ","Female","7","","","","4"
"Very low transfer dependency","1987","1-pers.-HH","Male","64","0.111408182326034","0.0820426082435951","0.140773756408473","1"
"Very low transfer dependency","1987","(Married) couple without C. ","Female","126","0.0983841782365924","0.0812301071813926","0.115538249291792","1"
"Very low transfer dependency","1987","Single parent ","Male","105","0.516804549867864","0.444795545007125","0.588813554728603","1"
"Very low transfer dependency","1987","Single parent ","Female","175","0.524169188488424","0.469105338373863","0.579233038602986","1"
"Very low transfer dependency","1987","Couple + C. LE 16 ","Male","1046","0.912702764107537","0.896395715772015","0.92900981244306","1"
"Very low transfer dependency","1987","Couple + C. LE 16 ","Female","1046","0.90492059606792","0.887989623774055","0.921851568361785","1"
"Very low transfer dependency","1987","Couple + C. GT 16 ","Male","628","0.586785445469975","0.557170338593411","0.616400552346538","1"
"Very low transfer dependency","1987","Couple + C. GT 16 ","Female","507","0.600165175001358","0.567233461168609","0.633096888834106","1"
"Very low transfer dependency","1987","1-pers.-HH","Female","68","0.102846197804324","0.0797593393824834","0.125933056226165","1"
"Very low transfer dependency","1987","(Married) couple without C. ","Male","127","0.0927231933291733","0.0760321612872982","0.109414225371049","1"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","Male","579","0.910476176673168","0.888340068623369","0.932612284722968","1"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","Female","505","0.892160035340175","0.866629036112138","0.917691034568211","1"
"Complete transfer dependency","1988","1-pers.-HH","Male","9","","","","5"
"Complete transfer dependency","1988","1-pers.-HH","Female","16","","","","5"
"Complete transfer dependency","1988","(Married) couple without C. ","Male","3","","","","5"
"Complete transfer dependency","1988","(Married) couple without C. ","Female","3","","","","5"
"Complete transfer dependency","1988","Single parent ","Male","1","","","","5"
"Complete transfer dependency","1988","Single parent ","Female","5","","","","5"
"Complete transfer dependency","1988","Couple + C. LE 16 ","Male","9","","","","5"
"Complete transfer dependency","1988","Couple + C. LE 16 ","Female","10","","","","5"
"Complete transfer dependency","1988","Couple + C. GT 16 ","Male","1","","","","5"
"Complete transfer dependency","1988","Couple + C. GT 16 ","Female","2","","","","5"
"Complete transfer dependency","1988","Couple + C. LE and GT 16","Male","2","","","","5"
"Complete transfer dependency","1988","Couple + C. LE and GT 16","Female","4","","","","5"
"High transfer dependency","1988","Couple + C. LE and GT 16","Female","5","","","","3"
"High transfer dependency","1988","1-pers.-HH","Male","5","","","","3"
"High transfer dependency","1988","1-pers.-HH","Female","7","","","","3"
"High transfer dependency","1988","(Married) couple without C. ","Male","12","","","","3"
"High transfer dependency","1988","(Married) couple without C. ","Female","12","","","","3"
"High transfer dependency","1988","Couple + C. GT 16 ","Male","5","","","","3"
"High transfer dependency","1988","Single parent ","Male","3","","","","3"
"High transfer dependency","1988","Single parent ","Female","8","","","","3"
"High transfer dependency","1988","Couple + C. LE 16 ","Male","8","","","","3"
"High transfer dependency","1988","Couple + C. LE 16 ","Female","8","","","","3"
"High transfer dependency","1988","Couple + C. GT 16 ","Female","4","","","","3"
"High transfer dependency","1988","Couple + C. LE and GT 16","Male","3","","","","3"
"Low transfer dependency","1988","1-pers.-HH","Male","10","","","","2"
"Low transfer dependency","1988","1-pers.-HH","Female","11","","","","2"
"Low transfer dependency","1988","(Married) couple without C. ","Male","15","","","","2"
"Low transfer dependency","1988","(Married) couple without C. ","Female","15","","","","2"
"Low transfer dependency","1988","Single parent ","Male","13","","","","2"
"Low transfer dependency","1988","Single parent ","Female","35","0.123606478212402","0.0872021129954343","0.16001084342937","2"
"Low transfer dependency","1988","Couple + C. LE 16 ","Male","37","0.0300193470048859","0.0197613252614896","0.0402773687482822","2"
"Low transfer dependency","1988","Couple + C. LE 16 ","Female","36","0.0324087285324101","0.0217734160513986","0.0430440410134215","2"
"Low transfer dependency","1988","Couple + C. GT 16 ","Male","29","","","","2"
"Low transfer dependency","1988","Couple + C. GT 16 ","Female","18","","","","2"
"Low transfer dependency","1988","Couple + C. LE and GT 16","Male","33","0.0490190285150713","0.0308923553853117","0.0671457016448309","2"
"Low transfer dependency","1988","Couple + C. LE and GT 16","Female","31","0.0383466127668713","0.0213783130603005","0.0553149124734421","2"
