"transab_cat","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"No transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"No transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","18","","",""
"No transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","31","0.331658500383348","0.240735395158527","0.42258160560817"
"No transfer dependency","1984","Other degree","(3a) lower tertiary education","1","","",""
"No transfer dependency","1984","Other degree","(3b) higher tertiary education","26","","",""
"No transfer dependency","1984","no degree/no degree yet","(0) in school","15","","",""
"No transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","286","0.29921847906769","0.271857761597382","0.326579196537999"
"No transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"No transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"Very low transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","lower secondary degree","(1b) general elementary school","970","0.382828375856488","0.362451948161619","0.403204803551356"
"Very low transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","1844","0.457879460782457","0.441799827235827","0.473959094329088"
"Very low transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","7","","",""
"Very low transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","4","","",""
"Very low transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","7","","",""
"Very low transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1984","secondary school degree","(0) in school","","","",""
"Very low transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"Very low transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Very low transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","312","0.647195349275855","0.603385189647126","0.691005508904583"
"Very low transfer dependency","1984","secondary school degree","(2a) intermediate vocational","640","0.436282311097691","0.409689791017555","0.462874831177827"
"Very low transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very low transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very low transfer dependency","1984","secondary school degree","(3a) lower tertiary education","30","0.542565801350244","0.405839040208652","0.679292562491836"
"Very low transfer dependency","1984","secondary school degree","(3b) higher tertiary education","7","","",""
"Very low transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"Very low transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"Very low transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very low transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","186","0.624158748738603","0.56907549065081","0.679242006826397"
"Very low transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","142","0.396836851925592","0.343728516629171","0.449945187222012"
"Very low transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","74","0.387078714219024","0.31552369763164","0.458633730806407"
"Very low transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","230","0.508559576878403","0.461362422743556","0.555756731013251"
"Very low transfer dependency","1984","Other degree","(0) in school","","","",""
"Very low transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","Other degree","(1b) general elementary school","477","0.612808306898878","0.577545129561132","0.648071484236623"
"Very low transfer dependency","1984","Other degree","(1c) basic vocational qualification","280","0.572694664616038","0.526419650786973","0.618969678445103"
"Very low transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","52","0.625720859304458","0.523441736704841","0.727999981904075"
"Very low transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","56","0.444552906568411","0.348587975658336","0.540517837478486"
"Very low transfer dependency","1984","Other degree","(3a) lower tertiary education","2","","",""
"Very low transfer dependency","1984","Other degree","(3b) higher tertiary education","25","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(0) in school","147","0.809496607001214","0.752128474518652","0.866864739483776"
"Very low transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","644","0.528494902232726","0.498668178412043","0.558321626053408"
"Very low transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Low transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"Low transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","lower secondary degree","(1b) general elementary school","82","0.0311763338498245","0.0238908583262103","0.0384618093734387"
"Low transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","124","0.0291740002500971","0.0237424809716969","0.0346055195284973"
"Low transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Low transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Low transfer dependency","1984","secondary school degree","(0) in school","","","",""
"Low transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"Low transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Low transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","15","","",""
"Low transfer dependency","1984","secondary school degree","(2a) intermediate vocational","32","0.0221671533553171","0.0142725169007467","0.0300617898098876"
"Low transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Low transfer dependency","1984","secondary school degree","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Low transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"Low transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"Low transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Low transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","12","","",""
"Low transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","7","","",""
"Low transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","5","","",""
"Low transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","10","","",""
"Low transfer dependency","1984","Other degree","(0) in school","","","",""
"Low transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","Other degree","(1b) general elementary school","53","0.0799836130485494","0.0603457424342249","0.0996214836628739"
"Low transfer dependency","1984","Other degree","(1c) basic vocational qualification","27","","",""
"Low transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","8","","",""
"Low transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","11","","",""
"Low transfer dependency","1984","Other degree","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","Other degree","(3b) higher tertiary education","2","","",""
"Low transfer dependency","1984","no degree/no degree yet","(0) in school","15","","",""
"Low transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","94","0.108454631219184","0.0898749725801732","0.127034289858195"
"Low transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"High transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"High transfer dependency","1984","lower secondary degree","(1b) general elementary school","31","0.0129440020581763","0.00820564051575143","0.0176823636006012"
"High transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","23","","",""
"High transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"High transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"High transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","secondary school degree","(0) in school","","","",""
"High transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"High transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"High transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"High transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1984","secondary school degree","(2a) intermediate vocational","8","","",""
"High transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"High transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"High transfer dependency","1984","secondary school degree","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","secondary school degree","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"High transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"High transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"High transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"High transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","7","","",""
"High transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","8","","",""
"High transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","2","","",""
"High transfer dependency","1984","Other degree","(0) in school","","","",""
"High transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"High transfer dependency","1984","Other degree","(1b) general elementary school","13","","",""
"High transfer dependency","1984","Other degree","(1c) basic vocational qualification","6","","",""
"High transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","7","","",""
"High transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","2","","",""
"High transfer dependency","1984","Other degree","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Other degree","(3b) higher tertiary education","2","","",""
"High transfer dependency","1984","no degree/no degree yet","(0) in school","1","","",""
"High transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","17","","",""
"High transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"High transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"High transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"High transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"High transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"Very high transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","lower secondary degree","(1b) general elementary school","12","","",""
"Very high transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","11","","",""
"Very high transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Very high transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","secondary school degree","(0) in school","","","",""
"Very high transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"Very high transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Very high transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","2","","",""
"Very high transfer dependency","1984","secondary school degree","(2a) intermediate vocational","2","","",""
"Very high transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","secondary school degree","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"Very high transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"Very high transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very high transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","4","","",""
"Very high transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","2","","",""
"Very high transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","2","","",""
"Very high transfer dependency","1984","Other degree","(0) in school","","","",""
"Very high transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","Other degree","(1b) general elementary school","2","","",""
"Very high transfer dependency","1984","Other degree","(1c) basic vocational qualification","2","","",""
"Very high transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","1","","",""
"Very high transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","1","","",""
"Very high transfer dependency","1984","Other degree","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","Other degree","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(0) in school","2","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","12","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Complete transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"Complete transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Complete transfer dependency","1984","lower secondary degree","(1b) general elementary school","40","0.0174069439779525","0.0119245388712823","0.0228893490846226"
"Complete transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","40","0.0116248578535448","0.00816540538840197","0.0150843103186877"
"Complete transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Complete transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Complete transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Complete transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Complete transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Complete transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Complete transfer dependency","1984","secondary school degree","(0) in school","","","",""
"Complete transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"Complete transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"Complete transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Complete transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","4","","",""
"Complete transfer dependency","1984","secondary school degree","(2a) intermediate vocational","11","","",""
"Complete transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Complete transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Complete transfer dependency","1984","secondary school degree","(3a) lower tertiary education","","","",""
"Complete transfer dependency","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Complete transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"Complete transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Complete transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"Complete transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Complete transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Complete transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Complete transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","10","","",""
"Complete transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","7","","",""
"Complete transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","5","","",""
"Complete transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","1","","",""
"Complete transfer dependency","1984","Other degree","(0) in school","","","",""
"Complete transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"Complete transfer dependency","1984","Other degree","(1b) general elementary school","8","","",""
"Complete transfer dependency","1984","Other degree","(1c) basic vocational qualification","4","","",""
"Complete transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"Complete transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"Complete transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","","","",""
"Complete transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","2","","",""
"Complete transfer dependency","1984","Other degree","(3a) lower tertiary education","","","",""
"Complete transfer dependency","1984","Other degree","(3b) higher tertiary education","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(0) in school","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","23","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Complete transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No transfer dependency","1985","lower secondary degree","(0) in school","","","",""
"No transfer dependency","1985","lower secondary degree","(1a) inadequately completed","","","",""
"No transfer dependency","1985","lower secondary degree","(1b) general elementary school","891","0.552611519718286","0.530508463597878","0.574714575838694"
"No transfer dependency","1985","lower secondary degree","(1c) basic vocational qualification","1465","0.504176225966069","0.487247832998756","0.521104618933382"
"No transfer dependency","1985","lower secondary degree","(2b) intermediate general qualification","","","",""
"No transfer dependency","1985","lower secondary degree","(2a) intermediate vocational","","","",""
"No transfer dependency","1985","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"No transfer dependency","1985","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"No transfer dependency","1985","lower secondary degree","(3a) lower tertiary education","10","","",""
"No transfer dependency","1985","lower secondary degree","(3b) higher tertiary education","4","","",""
"No transfer dependency","1985","secondary school degree","(0) in school","","","",""
"No transfer dependency","1985","secondary school degree","(1a) inadequately completed","","","",""
"No transfer dependency","1985","secondary school degree","(1b) general elementary school","","","",""
"No transfer dependency","1985","secondary school degree","(1c) basic vocational qualification","","","",""
"No transfer dependency","1985","secondary school degree","(2b) intermediate general qualification","110","0.291719713430404","0.249814858655031","0.333624568205776"
"No transfer dependency","1985","secondary school degree","(2a) intermediate vocational","592","0.527298089207698","0.499904777993315","0.554691400422082"
"No transfer dependency","1985","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No transfer dependency","1985","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"No transfer dependency","1985","secondary school degree","(3a) lower tertiary education","17","","",""
"No transfer dependency","1985","secondary school degree","(3b) higher tertiary education","8","","",""
"No transfer dependency","1985","college entrance qualification","(0) in school","","","",""
"No transfer dependency","1985","college entrance qualification","(1a) inadequately completed","","","",""
"No transfer dependency","1985","college entrance qualification","(1b) general elementary school","","","",""
"No transfer dependency","1985","college entrance qualification","(1c) basic vocational qualification","","","",""
"No transfer dependency","1985","college entrance qualification","(2b) intermediate general qualification","","","",""
"No transfer dependency","1985","college entrance qualification","(2a) intermediate vocational","","","",""
"No transfer dependency","1985","college entrance qualification","(2c_gen) general maturity certificate","84","0.324097100594982","0.268979800693395","0.379214400496568"
"No transfer dependency","1985","college entrance qualification","(2c_voc) vocational maturity certificate","155","0.572686039289025","0.516800855667759","0.628571222910291"
"No transfer dependency","1985","college entrance qualification","(3a) lower tertiary education","89","0.580769401682794","0.506595353792342","0.654943449573246"
"No transfer dependency","1985","college entrance qualification","(3b) higher tertiary education","178","0.497372776576326","0.44909319561784","0.545652357534811"
"No transfer dependency","1985","Other degree","(0) in school","","","",""
"No transfer dependency","1985","Other degree","(1a) inadequately completed","","","",""
"No transfer dependency","1985","Other degree","(1b) general elementary school","134","0.235267423202913","0.201412243107461","0.269122603298366"
"No transfer dependency","1985","Other degree","(1c) basic vocational qualification","89","0.324815631894107","0.276640331782043","0.37299093200617"
"No transfer dependency","1985","Other degree","(2b) intermediate general qualification","","","",""
"No transfer dependency","1985","Other degree","(2a) intermediate vocational","","","",""
"No transfer dependency","1985","Other degree","(2c_gen) general maturity certificate","15","","",""
"No transfer dependency","1985","Other degree","(2c_voc) vocational maturity certificate","23","","",""
"No transfer dependency","1985","Other degree","(3a) lower tertiary education","1","","",""
"No transfer dependency","1985","Other degree","(3b) higher tertiary education","17","","",""
