"transab_cat","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1985","66 and older","West Germany","11","","","","2"
"Low transfer dependency","1985","66 and older","East Germany","","","","","2"
"No transfer dependency","1985","16-34 y.","West Germany","1089","0.31606892733173","0.301694645462036","0.330443209201424","0"
"No transfer dependency","1985","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1985","35-65 y.","West Germany","2059","0.452838265450843","0.439717649790618","0.465958881111067","0"
"No transfer dependency","1985","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1985","66 and older","West Germany","970","0.891181506889029","0.872770239663313","0.909592774114744","0"
"No transfer dependency","1985","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1985","16-34 y.","West Germany","38","0.0118892600023135","0.00853829949028259","0.0152402205143444","4"
"Very high transfer dependency","1985","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1985","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1985","35-65 y.","West Germany","32","0.00695174175250828","0.00476167784405309","0.00914180566096348","4"
"Very high transfer dependency","1985","66 and older","West Germany","1","","","","4"
"Very high transfer dependency","1985","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1985","66 and older","West Germany","102","0.0835942872755878","0.0672305899306305","0.0999579846205451","1"
"Very low transfer dependency","1985","16-34 y.","West Germany","2602","0.609007182891702","0.593920815318167","0.624093550465238","1"
"Very low transfer dependency","1985","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1985","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1985","35-65 y.","West Germany","3164","0.498286225255957","0.485106928127464","0.511465522384449","1"
"Very low transfer dependency","1985","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1986","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1986","16-34 y.","West Germany","45","0.0126344466369539","0.00912998300747175","0.0161389102664361","5"
"Complete transfer dependency","1986","35-65 y.","West Germany","41","0.00934142170441736","0.00673526981560214","0.0119475735932326","5"
"Complete transfer dependency","1986","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1986","66 and older","West Germany","1","","","","5"
"Complete transfer dependency","1986","66 and older","East Germany","","","","","5"
"High transfer dependency","1986","16-34 y.","West Germany","56","0.0140197529199206","0.0103307521519985","0.0177087536878426","3"
"High transfer dependency","1986","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1986","66 and older","East Germany","","","","","3"
"High transfer dependency","1986","66 and older","West Germany","8","","","","3"
"High transfer dependency","1986","35-65 y.","West Germany","58","0.0103199260565494","0.00758203011624698","0.0130578219968517","3"
"High transfer dependency","1986","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1986","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1986","35-65 y.","West Germany","160","0.0268687134049909","0.0224880449531512","0.0312493818568307","2"
"Low transfer dependency","1986","66 and older","East Germany","","","","","2"
"Low transfer dependency","1986","66 and older","West Germany","8","","","","2"
"Low transfer dependency","1986","16-34 y.","West Germany","161","0.0391381050381374","0.0330534656964453","0.0452227443798295","2"
"Low transfer dependency","1986","35-65 y.","East Germany","","","","","2"
"No transfer dependency","1986","16-34 y.","West Germany","1161","0.34254242747339","0.32765239962563","0.35743245532115","0"
"No transfer dependency","1986","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1986","35-65 y.","West Germany","1944","0.4484478105519","0.43497430851586","0.461921312587939","0"
"No transfer dependency","1986","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1986","66 and older","West Germany","912","0.891792681561946","0.872849269791175","0.910736093332718","0"
"No transfer dependency","1986","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1986","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1986","16-34 y.","West Germany","34","0.00989204493640338","0.00678685068342648","0.0129972391893803","4"
"Very high transfer dependency","1986","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1986","35-65 y.","West Germany","33","0.00673294293876361","0.00451746864786832","0.0089484172296589","4"
"Very high transfer dependency","1986","66 and older","West Germany","1","","","","4"
"Very high transfer dependency","1986","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1986","16-34 y.","West Germany","2445","0.581773222995195","0.566296206687465","0.597250239302925","1"
"Very low transfer dependency","1986","66 and older","West Germany","103","0.0900419224057747","0.072586474315321","0.107497370496229","1"
"Very low transfer dependency","1986","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1986","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1986","35-65 y.","West Germany","2998","0.498289185343379","0.484743571397313","0.511834799289445","1"
"Very low transfer dependency","1986","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1987","16-34 y.","West Germany","32","0.00942954602107907","0.00636833347148831","0.0124907585706698","5"
"Complete transfer dependency","1987","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1987","35-65 y.","West Germany","40","0.00838191217162287","0.00587881819996771","0.010885006143278","5"
"Complete transfer dependency","1987","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1987","66 and older","West Germany","2","","","","5"
"Complete transfer dependency","1987","66 and older","East Germany","","","","","5"
"High transfer dependency","1987","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1987","16-34 y.","West Germany","48","0.0118919394016805","0.00845846374461638","0.0153254150587447","3"
"High transfer dependency","1987","66 and older","West Germany","4","","","","3"
"High transfer dependency","1987","66 and older","East Germany","","","","","3"
"High transfer dependency","1987","35-65 y.","West Germany","61","0.010288922736577","0.00751833090239337","0.0130595145707607","3"
"High transfer dependency","1987","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1987","16-34 y.","West Germany","170","0.0407611484603855","0.034498010271295","0.0470242866494759","2"
"Low transfer dependency","1987","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1987","35-65 y.","West Germany","158","0.0287112125598425","0.0241262759436392","0.0332961491760458","2"
"Low transfer dependency","1987","66 and older","West Germany","14","","","","2"
"Low transfer dependency","1987","66 and older","East Germany","","","","","2"
"Low transfer dependency","1987","35-65 y.","East Germany","","","","","2"
"No transfer dependency","1987","16-34 y.","West Germany","1132","0.358270661559486","0.343083137531293","0.373458185587679","0"
"No transfer dependency","1987","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1987","35-65 y.","West Germany","1958","0.46636752804298","0.452670742438898","0.480064313647063","0"
"No transfer dependency","1987","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1987","66 and older","West Germany","934","0.880308744252118","0.86092271074764","0.899694777756596","0"
"No transfer dependency","1987","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1987","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1987","16-34 y.","West Germany","33","0.01054909502128","0.00731308293495934","0.0137851071076006","4"
"Very high transfer dependency","1987","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1987","35-65 y.","West Germany","31","0.0081139533108043","0.00565086193284199","0.0105770446887666","4"
"Very high transfer dependency","1987","66 and older","West Germany","","","","","4"
"Very high transfer dependency","1987","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1987","16-34 y.","West Germany","2414","0.569097609536089","0.553412475285243","0.584782743786935","1"
"Very low transfer dependency","1987","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1987","66 and older","West Germany","123","0.0993140112394926","0.0814519240734789","0.117176098405506","1"
"Very low transfer dependency","1987","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1987","35-65 y.","West Germany","2848","0.478136471178173","0.464421724487706","0.49185121786864","1"
"Very low transfer dependency","1987","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1988","16-34 y.","West Germany","26","","","","5"
"Complete transfer dependency","1988","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1988","35-65 y.","West Germany","40","0.00995906671170971","0.00714882031247638","0.012769313110943","5"
"Complete transfer dependency","1988","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1988","66 and older","West Germany","1","","","","5"
"Complete transfer dependency","1988","66 and older","East Germany","","","","","5"
"High transfer dependency","1988","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1988","66 and older","East Germany","","","","","3"
"High transfer dependency","1988","66 and older","West Germany","5","","","","3"
"High transfer dependency","1988","16-34 y.","West Germany","39","0.0102797364650359","0.00699756191670442","0.0135619110133675","3"
"High transfer dependency","1988","35-65 y.","West Germany","41","0.00789794555154572","0.00539273780477925","0.0104031532983122","3"
"High transfer dependency","1988","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1988","35-65 y.","West Germany","157","0.0280935539208416","0.0234170201356419","0.0327700877060413","2"
"Low transfer dependency","1988","16-34 y.","West Germany","141","0.03545942764486","0.0294415886698699","0.04147726661985","2"
"Low transfer dependency","1988","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1988","35-65 y.","East Germany","","","","","2"
"Low transfer dependency","1988","66 and older","West Germany","5","","","","2"
"Low transfer dependency","1988","66 and older","East Germany","","","","","2"
"No transfer dependency","1988","16-34 y.","West Germany","1098","0.372742012699892","0.357007919263156","0.388476106136628","0"
"No transfer dependency","1988","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1988","35-65 y.","West Germany","1901","0.489725098362183","0.475577367524741","0.503872829199626","0"
"No transfer dependency","1988","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1988","66 and older","West Germany","908","0.882508998647633","0.863041569316451","0.901976427978814","0"
"No transfer dependency","1988","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1988","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1988","16-34 y.","West Germany","37","0.0120219286189928","0.00847563102840346","0.0155682262095822","4"
"Very high transfer dependency","1988","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1988","35-65 y.","West Germany","36","0.0101417971982749","0.00730614829246281","0.012977446104087","4"
"Very high transfer dependency","1988","66 and older","West Germany","3","","","","4"
"Very high transfer dependency","1988","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1988","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1988","35-65 y.","West Germany","2621","0.454182538255445","0.440091355968303","0.468273720542586","1"
"Very low transfer dependency","1988","16-34 y.","West Germany","2287","0.56378360817739","0.547646650321502","0.579920566033278","1"
"Very low transfer dependency","1988","66 and older","West Germany","129","0.104276847463748","0.0858000125098027","0.122753682417694","1"
"Very low transfer dependency","1988","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1988","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1989","35-65 y.","West Germany","48","0.0124733461671825","0.00927129594613038","0.0156753963882346","5"
"Complete transfer dependency","1989","66 and older","East Germany","","","","","5"
"Complete transfer dependency","1989","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1989","16-34 y.","West Germany","32","0.0102769386706422","0.00695747857137896","0.0135963987699054","5"
"Complete transfer dependency","1989","66 and older","West Germany","1","","","","5"
"Complete transfer dependency","1989","35-65 y.","East Germany","","","","","5"
"High transfer dependency","1989","16-34 y.","West Germany","52","0.0184180986994528","0.0139925778163494","0.0228436195825562","3"
"High transfer dependency","1989","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1989","66 and older","West Germany","4","","","","3"
"High transfer dependency","1989","66 and older","East Germany","","","","","3"
"High transfer dependency","1989","35-65 y.","West Germany","46","0.0093507245915861","0.00657392309732881","0.0121275260858434","3"
"High transfer dependency","1989","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1989","16-34 y.","West Germany","132","0.030063817965703","0.0244433513553641","0.0356842845760419","2"
"Low transfer dependency","1989","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1989","35-65 y.","West Germany","147","0.0257602462617534","0.0211896783421433","0.0303308141813634","2"
"Low transfer dependency","1989","35-65 y.","East Germany","","","","","2"
"Low transfer dependency","1989","66 and older","West Germany","11","","","","2"
"Low transfer dependency","1989","66 and older","East Germany","","","","","2"
"No transfer dependency","1989","16-34 y.","West Germany","1123","0.379570148860832","0.363597715199335","0.395542582522329","0"
"No transfer dependency","1989","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1989","66 and older","West Germany","880","0.87901424278678","0.859011004914273","0.899017480659286","0"
"No transfer dependency","1989","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1989","35-65 y.","West Germany","1866","0.496254287965935","0.481829147337457","0.510679428594413","0"
"No transfer dependency","1989","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1989","16-34 y.","West Germany","24","","","","4"
"Very high transfer dependency","1989","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1989","35-65 y.","West Germany","30","0.00684727991879224","0.00446808897706039","0.00922647086052408","4"
"Very high transfer dependency","1989","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1989","66 and older","West Germany","2","","","","4"
"Very high transfer dependency","1989","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1989","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1989","35-65 y.","West Germany","2478","0.449314115094751","0.434962881225757","0.463665348963745","1"
"Very low transfer dependency","1989","16-34 y.","West Germany","2183","0.553042849969317","0.53667879005568","0.569406909882953","1"
"Very low transfer dependency","1989","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1989","66 and older","West Germany","123","0.104822582174251","0.0860329964052304","0.123612167943272","1"
"Very low transfer dependency","1989","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1990","35-65 y.","West Germany","35","0.00888143134800112","0.00612329014378521","0.011639572552217","5"
"Complete transfer dependency","1990","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1990","66 and older","East Germany","","","","","5"
"Complete transfer dependency","1990","16-34 y.","West Germany","18","","","","5"
"Complete transfer dependency","1990","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1990","66 and older","West Germany","","","","","5"
"High transfer dependency","1990","16-34 y.","West Germany","42","0.0140224560873716","0.0100683722453937","0.0179765399293496","3"
"High transfer dependency","1990","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1990","66 and older","West Germany","8","","","","3"
"High transfer dependency","1990","66 and older","East Germany","","","","","3"
"High transfer dependency","1990","35-65 y.","West Germany","49","0.0102749076421857","0.00731035980777472","0.0132394554765967","3"
"High transfer dependency","1990","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1990","16-34 y.","West Germany","125","0.0353405480907639","0.0291315150647601","0.0415495811167678","2"
"Low transfer dependency","1990","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1990","35-65 y.","West Germany","110","0.0200107348905242","0.0158939859089731","0.0241274838720754","2"
"Low transfer dependency","1990","35-65 y.","East Germany","","","","","2"
"Low transfer dependency","1990","66 and older","West Germany","12","","","","2"
"Low transfer dependency","1990","66 and older","East Germany","","","","","2"
"No transfer dependency","1990","16-34 y.","West Germany","1183","0.411186122696338","0.39463953061052","0.427732714782156","0"
"No transfer dependency","1990","66 and older","West Germany","906","0.882518036978849","0.86305125677088","0.901984817186818","0"
"No transfer dependency","1990","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1990","35-65 y.","West Germany","1888","0.510855508239257","0.496160161686902","0.525550854791613","0"
"No transfer dependency","1990","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1990","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1990","16-34 y.","West Germany","20","","","","4"
"Very high transfer dependency","1990","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1990","35-65 y.","West Germany","26","","","","4"
"Very high transfer dependency","1990","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1990","66 and older","West Germany","1","","","","4"
"Very high transfer dependency","1990","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1990","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1990","35-65 y.","West Germany","2337","0.444097853919051","0.42949120062409","0.458704507214012","1"
"Very low transfer dependency","1990","16-34 y.","West Germany","2009","0.526665250854587","0.509875206465866","0.543455295243308","1"
"Very low transfer dependency","1990","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1990","66 and older","West Germany","124","0.101915373462611","0.0836248887735303","0.120205858151692","1"
"Very low transfer dependency","1990","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1991","16-34 y.","West Germany","26","","","","5"
"Complete transfer dependency","1991","16-34 y.","East Germany","","","","","5"
"Complete transfer dependency","1991","35-65 y.","West Germany","32","0.00776316743711381","0.00516308590565216","0.0103632489685755","5"
"Complete transfer dependency","1991","35-65 y.","East Germany","","","","","5"
"Complete transfer dependency","1991","66 and older","West Germany","","","","","5"
"Complete transfer dependency","1991","66 and older","East Germany","","","","","5"
"High transfer dependency","1991","66 and older","East Germany","","","","","3"
"High transfer dependency","1991","16-34 y.","West Germany","39","0.0115927376516064","0.0079684567974266","0.0152170185057862","3"
"High transfer dependency","1991","66 and older","West Germany","8","","","","3"
"High transfer dependency","1991","16-34 y.","East Germany","","","","","3"
"High transfer dependency","1991","35-65 y.","West Germany","44","0.009258836361148","0.00642145229355187","0.0120962204287441","3"
"High transfer dependency","1991","35-65 y.","East Germany","","","","","3"
"Low transfer dependency","1991","16-34 y.","West Germany","133","0.0386529480783852","0.0321262685558307","0.0451796276009397","2"
"Low transfer dependency","1991","16-34 y.","East Germany","","","","","2"
"Low transfer dependency","1991","35-65 y.","West Germany","135","0.0257822714564867","0.0210871328221064","0.030477410090867","2"
"Low transfer dependency","1991","35-65 y.","East Germany","","","","","2"
"Low transfer dependency","1991","66 and older","West Germany","12","","","","2"
"Low transfer dependency","1991","66 and older","East Germany","","","","","2"
"No transfer dependency","1991","16-34 y.","West Germany","1196","0.413915302376329","0.397239113340346","0.430591491412313","0"
"No transfer dependency","1991","16-34 y.","East Germany","","","","","0"
"No transfer dependency","1991","35-65 y.","West Germany","1934","0.518860775850675","0.504058768353368","0.533662783347983","0"
"No transfer dependency","1991","35-65 y.","East Germany","","","","","0"
"No transfer dependency","1991","66 and older","West Germany","951","0.902882135940296","0.885106113903853","0.920658157976738","0"
"No transfer dependency","1991","66 and older","East Germany","","","","","0"
"Very high transfer dependency","1991","16-34 y.","West Germany","21","","","","4"
"Very high transfer dependency","1991","35-65 y.","East Germany","","","","","4"
"Very high transfer dependency","1991","35-65 y.","West Germany","18","","","","4"
"Very high transfer dependency","1991","16-34 y.","East Germany","","","","","4"
"Very high transfer dependency","1991","66 and older","West Germany","2","","","","4"
"Very high transfer dependency","1991","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1991","35-65 y.","East Germany","","","","","1"
"Very low transfer dependency","1991","35-65 y.","West Germany","2214","0.432894390296831","0.4182158534167","0.447572927176963","1"
"Very low transfer dependency","1991","16-34 y.","West Germany","1936","0.520853902480182","0.503939649729754","0.537768155230611","1"
"Very low transfer dependency","1991","16-34 y.","East Germany","","","","","1"
"Very low transfer dependency","1991","66 and older","West Germany","93","0.0794774977751478","0.0632403857840133","0.0957146097662822","1"
"Very low transfer dependency","1991","66 and older","East Germany","","","","","1"
"Complete transfer dependency","1992","16-34 y.","West Germany","19","","","","5"
"Complete transfer dependency","1992","16-34 y.","East Germany","6","","","","5"
"Complete transfer dependency","1992","35-65 y.","West Germany","24","","","","5"
"Complete transfer dependency","1992","35-65 y.","East Germany","4","","","","5"
"Complete transfer dependency","1992","66 and older","West Germany","1","","","","5"
"Complete transfer dependency","1992","66 and older","East Germany","","","","","5"
"High transfer dependency","1992","16-34 y.","West Germany","50","0.0190013394577341","0.0143725099613892","0.0236301689540789","3"
"High transfer dependency","1992","66 and older","West Germany","7","","","","3"
"High transfer dependency","1992","66 and older","East Germany","1","","","","3"
"High transfer dependency","1992","16-34 y.","East Germany","26","","","","3"
"High transfer dependency","1992","35-65 y.","West Germany","48","0.00934459393515451","0.00645636277818599","0.012232825092123","3"
"High transfer dependency","1992","35-65 y.","East Germany","36","0.0168994787239747","0.0113879676752848","0.0224109897726646","3"
"Low transfer dependency","1992","16-34 y.","West Germany","133","0.0294452331037465","0.023713811054569","0.035176655152924","2"
"Low transfer dependency","1992","16-34 y.","East Germany","215","0.163398185094574","0.14373376147306","0.183062608716087","2"
"Low transfer dependency","1992","35-65 y.","West Germany","137","0.0245674862812511","0.0199205213009119","0.0292144512615903","2"
"Low transfer dependency","1992","35-65 y.","East Germany","150","0.0613838743169473","0.0511201206942617","0.0716476279396329","2"
"Low transfer dependency","1992","66 and older","West Germany","7","","","","2"
"Low transfer dependency","1992","66 and older","East Germany","","","","","2"
"No transfer dependency","1992","16-34 y.","West Germany","1205","0.410770436220854","0.394090794326309","0.4274500781154","0"
"No transfer dependency","1992","35-65 y.","East Germany","654","0.385038565798909","0.36423148657476","0.405845645023059","0"
"No transfer dependency","1992","66 and older","West Germany","941","0.892391795104935","0.873832826665823","0.910950763544047","0"
"No transfer dependency","1992","16-34 y.","East Germany","169","0.16508628273903","0.145340493437752","0.184832072040307","0"
"No transfer dependency","1992","35-65 y.","West Germany","1953","0.530107407296003","0.515125342861448","0.545089471730559","0"
"No transfer dependency","1992","66 and older","East Germany","237","0.633809995306317","0.584521240825063","0.68309874978757","0"
"Very high transfer dependency","1992","16-34 y.","West Germany","31","0.00935661750758202","0.00609252109828231","0.0126207139168817","4"
"Very high transfer dependency","1992","35-65 y.","East Germany","5","","","","4"
"Very high transfer dependency","1992","16-34 y.","East Germany","13","","","","4"
"Very high transfer dependency","1992","35-65 y.","West Germany","29","","","","4"
"Very high transfer dependency","1992","66 and older","West Germany","2","","","","4"
"Very high transfer dependency","1992","66 and older","East Germany","","","","","4"
"Very low transfer dependency","1992","35-65 y.","East Germany","1252","0.530121209714061","0.508780169902633","0.55146224952549","1"
"Very low transfer dependency","1992","35-65 y.","West Germany","2072","0.421124100208054","0.406302735049472","0.435945465366637","1"
"Very low transfer dependency","1992","16-34 y.","West Germany","1904","0.524285640917908","0.507353885740958","0.541217396094859","1"
"Very low transfer dependency","1992","16-34 y.","East Germany","929","0.630144429338271","0.604468017150966","0.655820841525575","1"
"Very low transfer dependency","1992","66 and older","West Germany","113","0.0982761083300471","0.0804476365008326","0.116104580159261","1"
"Very low transfer dependency","1992","66 and older","East Germany","129","0.364466215982267","0.315226785765566","0.413705646198968","1"
"Complete transfer dependency","1993","16-34 y.","East Germany","10","","","","5"
"Complete transfer dependency","1993","16-34 y.","West Germany","24","","","","5"
"Complete transfer dependency","1993","35-65 y.","West Germany","18","","","","5"
"Complete transfer dependency","1993","35-65 y.","East Germany","5","","","","5"
"Complete transfer dependency","1993","66 and older","West Germany","","","","","5"
"Complete transfer dependency","1993","66 and older","East Germany","","","","","5"
"High transfer dependency","1993","16-34 y.","West Germany","51","0.0131819090163958","0.00935609337111013","0.0170077246616814","3"
"High transfer dependency","1993","16-34 y.","East Germany","53","0.0519846402598386","0.0398843987933883","0.0640848817262888","3"
"High transfer dependency","1993","35-65 y.","West Germany","58","0.011234315994956","0.00811269172336515","0.0143559402665468","3"
"High transfer dependency","1993","35-65 y.","East Germany","45","0.025893700505431","0.0190387551559765","0.0327486458548854","3"
"High transfer dependency","1993","66 and older","West Germany","4","","","","3"
"High transfer dependency","1993","66 and older","East Germany","1","","","","3"
"Low transfer dependency","1993","16-34 y.","West Germany","147","0.0381634182146878","0.0317366799784907","0.044590156450885","2"
"Low transfer dependency","1993","16-34 y.","East Germany","243","0.170368029086438","0.149875969119279","0.190860089053597","2"
"Low transfer dependency","1993","35-65 y.","West Germany","125","0.022958952742646","0.0185229371882573","0.0273949682970346","2"
"Low transfer dependency","1993","35-65 y.","East Germany","250","0.108558854537222","0.0951317390466621","0.121985970027782","2"
"Low transfer dependency","1993","66 and older","West Germany","12","","","","2"
