"transab_cat","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","1084","0.901927216136768","0.8851417102445","0.918712722029035"
"Low transfer dependency","1987","1-pers.-HH","25","","",""
"Low transfer dependency","1987","(Married) couple without C. ","46","0.0170740255941263","0.0118002730838655","0.0223477781043871"
"Low transfer dependency","1987","Single parent ","49","0.10164112971605","0.075181186978216","0.128101072453884"
"Low transfer dependency","1987","Couple + C. LE 16 ","98","0.0423896802156173","0.0341628727668594","0.0506164876643752"
"Low transfer dependency","1987","Couple + C. GT 16 ","38","0.0149074657513218","0.00947565574221308","0.0203392757604305"
"Low transfer dependency","1987","Couple + C. LE and GT 16","63","0.0465053283812387","0.0346207185092932","0.0583899382531843"
"High transfer dependency","1987","1-pers.-HH","14","","",""
"High transfer dependency","1987","(Married) couple without C. ","16","","",""
"High transfer dependency","1987","Single parent ","9","","",""
"High transfer dependency","1987","Couple + C. LE 16 ","26","","",""
"High transfer dependency","1987","Couple + C. GT 16 ","19","","",""
"High transfer dependency","1987","Couple + C. LE and GT 16","17","","",""
"Very high transfer dependency","1987","1-pers.-HH","22","","",""
"Very high transfer dependency","1987","(Married) couple without C. ","10","","",""
"Very high transfer dependency","1987","Single parent ","8","","",""
"Very high transfer dependency","1987","Couple + C. LE 16 ","12","","",""
"Very high transfer dependency","1987","Couple + C. GT 16 ","3","","",""
"Very high transfer dependency","1987","Couple + C. LE and GT 16","9","","",""
"Complete transfer dependency","1987","1-pers.-HH","22","","",""
"Complete transfer dependency","1987","(Married) couple without C. ","4","","",""
"Complete transfer dependency","1987","Single parent ","10","","",""
"Complete transfer dependency","1987","Couple + C. LE 16 ","24","","",""
"Complete transfer dependency","1987","Couple + C. GT 16 ","3","","",""
"Complete transfer dependency","1987","Couple + C. LE and GT 16","7","","",""
"No transfer dependency","1988","1-pers.-HH","876","0.832667775393315","0.810249667326687","0.855085883459942"
"No transfer dependency","1988","(Married) couple without C. ","1922","0.884716273767622","0.87153197166449","0.897900575870755"
"No transfer dependency","1988","Single parent ","155","0.33553985675006","0.293943813922257","0.377135899577862"
"No transfer dependency","1988","Couple + C. LE 16 ","40","0.0189924803678339","0.0131929972244626","0.0247919635112053"
"No transfer dependency","1988","Couple + C. GT 16 ","731","0.4048339943898","0.382832018088443","0.426835970691157"
"No transfer dependency","1988","Couple + C. LE and GT 16","17","","",""
"Very low transfer dependency","1988","1-pers.-HH","114","0.100034422999391","0.0820141663500724","0.118054679648709"
"Very low transfer dependency","1988","(Married) couple without C. ","262","0.0907302486340059","0.0788727370526519","0.10258776021536"
"Very low transfer dependency","1988","Single parent ","265","0.510415904664264","0.46637854813492","0.554453261193608"
"Very low transfer dependency","1988","Couple + C. LE 16 ","1966","0.925051234755083","0.913863879895473","0.936238589614692"
"Very low transfer dependency","1988","Couple + C. GT 16 ","1111","0.569472033110246","0.547277754603846","0.591666311616646"
"Very low transfer dependency","1988","Couple + C. LE and GT 16","937","0.924134232389889","0.908018532547095","0.940249932232684"
"Low transfer dependency","1988","1-pers.-HH","21","","",""
"Low transfer dependency","1988","(Married) couple without C. ","30","0.0116300042600325","0.00720390806450837","0.0160561004555567"
"Low transfer dependency","1988","Single parent ","48","0.10243804416402","0.075725924680646","0.129150163647394"
"Low transfer dependency","1988","Couple + C. LE 16 ","73","0.0312130083152666","0.0238247130606901","0.0386013035698432"
"Low transfer dependency","1988","Couple + C. GT 16 ","47","0.0159467666268622","0.0103317665999309","0.0215617666537936"
"Low transfer dependency","1988","Couple + C. LE and GT 16","64","0.0440675773992572","0.0315755796653466","0.0565595751331678"
"High transfer dependency","1988","1-pers.-HH","12","","",""
"High transfer dependency","1988","(Married) couple without C. ","24","","",""
"High transfer dependency","1988","Single parent ","11","","",""
"High transfer dependency","1988","Couple + C. LE 16 ","16","","",""
"High transfer dependency","1988","Couple + C. GT 16 ","9","","",""
"High transfer dependency","1988","Couple + C. LE and GT 16","8","","",""
"Very high transfer dependency","1988","1-pers.-HH","17","","",""
"Very high transfer dependency","1988","(Married) couple without C. ","10","","",""
"Very high transfer dependency","1988","Single parent ","10","","",""
"Very high transfer dependency","1988","Couple + C. LE 16 ","14","","",""
"Very high transfer dependency","1988","Couple + C. GT 16 ","11","","",""
"Very high transfer dependency","1988","Couple + C. LE and GT 16","5","","",""
"Complete transfer dependency","1988","1-pers.-HH","25","","",""
