"transab_cat","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No transfer dependency","1985","Single parent ","West Germany","167","0.31404298280772","0.274491455980882","0.353594509634559","0"
"No transfer dependency","1985","Single parent ","East Germany","","","","","0"
"No transfer dependency","1985","Couple + C. LE 16 ","West Germany","70","0.0286582313441091","0.0222426023434405","0.0350738603447778","0"
"No transfer dependency","1985","Couple + C. LE 16 ","East Germany","","","","","0"
"No transfer dependency","1985","Couple + C. GT 16 ","West Germany","679","0.353565856794518","0.331972496356159","0.375159217232877","0"
"No transfer dependency","1985","Couple + C. GT 16 ","East Germany","","","","","0"
"No transfer dependency","1985","Couple + C. LE and GT 16","West Germany","22","","","","0"
"No transfer dependency","1985","Couple + C. LE and GT 16","East Germany","","","","","0"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","East Germany","","","","","4"
"Very high transfer dependency","1985","1-pers.-HH","West Germany","21","","","","4"
"Very high transfer dependency","1985","1-pers.-HH","East Germany","","","","","4"
"Very high transfer dependency","1985","(Married) couple without C. ","West Germany","10","","","","4"
"Very high transfer dependency","1985","Couple + C. LE 16 ","West Germany","14","","","","4"
"Very high transfer dependency","1985","Couple + C. LE 16 ","East Germany","","","","","4"
"Very high transfer dependency","1985","Couple + C. GT 16 ","West Germany","3","","","","4"
"Very high transfer dependency","1985","Couple + C. GT 16 ","East Germany","","","","","4"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","West Germany","","","","","4"
"Very high transfer dependency","1985","(Married) couple without C. ","East Germany","","","","","4"
"Very high transfer dependency","1985","Single parent ","West Germany","14","","","","4"
"Very high transfer dependency","1985","Single parent ","East Germany","","","","","4"
"Very low transfer dependency","1985","1-pers.-HH","West Germany","134","0.0974024760705372","0.0803543324849243","0.11445061965615","1"
"Very low transfer dependency","1985","(Married) couple without C. ","East Germany","","","","","1"
"Very low transfer dependency","1985","Single parent ","West Germany","290","0.551361916220539","0.508979403009119","0.593744429431959","1"
"Very low transfer dependency","1985","Single parent ","East Germany","","","","","1"
"Very low transfer dependency","1985","Couple + C. LE 16 ","West Germany","2353","0.914635074239351","0.90389042662086","0.925379721857841","1"
"Very low transfer dependency","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"Very low transfer dependency","1985","Couple + C. GT 16 ","West Germany","1133","0.619316805750042","0.597385665311067","0.641247946189017","1"
"Very low transfer dependency","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"Very low transfer dependency","1985","1-pers.-HH","East Germany","","","","","1"
"Very low transfer dependency","1985","(Married) couple without C. ","West Germany","287","0.0970656712565511","0.0851893265307303","0.108942015982372","1"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","West Germany","1311","0.942205083531719","0.930106082372027","0.95430408469141","1"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"Complete transfer dependency","1986","1-pers.-HH","East Germany","","","","","5"
"Complete transfer dependency","1986","(Married) couple without C. ","West Germany","12","","","","5"
"Complete transfer dependency","1986","(Married) couple without C. ","East Germany","","","","","5"
"Complete transfer dependency","1986","Single parent ","West Germany","15","","","","5"
"Complete transfer dependency","1986","Couple + C. LE 16 ","West Germany","27","","","","5"
"Complete transfer dependency","1986","Couple + C. LE 16 ","East Germany","","","","","5"
"Complete transfer dependency","1986","Single parent ","East Germany","","","","","5"
"Complete transfer dependency","1986","1-pers.-HH","West Germany","23","","","","5"
"Complete transfer dependency","1986","Couple + C. GT 16 ","West Germany","4","","","","5"
"Complete transfer dependency","1986","Couple + C. GT 16 ","East Germany","","","","","5"
"Complete transfer dependency","1986","Couple + C. LE and GT 16","West Germany","6","","","","5"
"Complete transfer dependency","1986","Couple + C. LE and GT 16","East Germany","","","","","5"
"High transfer dependency","1986","Couple + C. LE and GT 16","East Germany","","","","","3"
"High transfer dependency","1986","Couple + C. GT 16 ","West Germany","14","","","","3"
"High transfer dependency","1986","Couple + C. GT 16 ","East Germany","","","","","3"
"High transfer dependency","1986","1-pers.-HH","West Germany","25","","","","3"
"High transfer dependency","1986","1-pers.-HH","East Germany","","","","","3"
"High transfer dependency","1986","(Married) couple without C. ","West Germany","26","","","","3"
"High transfer dependency","1986","Single parent ","East Germany","","","","","3"
"High transfer dependency","1986","Couple + C. LE 16 ","East Germany","","","","","3"
"High transfer dependency","1986","Couple + C. LE and GT 16","West Germany","20","","","","3"
"High transfer dependency","1986","(Married) couple without C. ","East Germany","","","","","3"
"High transfer dependency","1986","Couple + C. LE 16 ","West Germany","22","","","","3"
"High transfer dependency","1986","Single parent ","West Germany","6","","","","3"
"Low transfer dependency","1986","1-pers.-HH","East Germany","","","","","2"
"Low transfer dependency","1986","(Married) couple without C. ","West Germany","38","0.0147194944711786","0.00984633661685188","0.0195926523255052","2"
"Low transfer dependency","1986","(Married) couple without C. ","East Germany","","","","","2"
"Low transfer dependency","1986","Single parent ","West Germany","39","0.0840636209061135","0.0595695296233246","0.108557712188902","2"
"Low transfer dependency","1986","Single parent ","East Germany","","","","","2"
"Low transfer dependency","1986","Couple + C. GT 16 ","West Germany","41","0.0239026242780635","0.0170452791502543","0.0307599694058726","2"
"Low transfer dependency","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"Low transfer dependency","1986","Couple + C. LE and GT 16","West Germany","57","0.0254503699095087","0.0170180956828949","0.0338826441361226","2"
"Low transfer dependency","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"Low transfer dependency","1986","1-pers.-HH","West Germany","28","","","","2"
"Low transfer dependency","1986","Couple + C. LE 16 ","West Germany","95","0.0365842335647712","0.02897269258338","0.0441957745461625","2"
"Low transfer dependency","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"No transfer dependency","1986","1-pers.-HH","West Germany","894","0.81959019370609","0.79696902448967","0.84221136292251","0"
"No transfer dependency","1986","1-pers.-HH","East Germany","","","","","0"
"No transfer dependency","1986","(Married) couple without C. ","West Germany","1974","0.868699846911337","0.855033527218589","0.882366166604084","0"
"No transfer dependency","1986","(Married) couple without C. ","East Germany","","","","","0"
"No transfer dependency","1986","Single parent ","West Germany","150","0.31017549494163","0.269343774212171","0.351007215671089","0"
"No transfer dependency","1986","Single parent ","East Germany","","","","","0"
"No transfer dependency","1986","Couple + C. LE 16 ","West Germany","70","0.0230368599597491","0.0169545371601827","0.0291191827593154","0"
"No transfer dependency","1986","Couple + C. LE 16 ","East Germany","","","","","0"
"No transfer dependency","1986","Couple + C. GT 16 ","West Germany","683","0.358493414934978","0.33696421982643","0.380022610043527","0"
"No transfer dependency","1986","Couple + C. GT 16 ","East Germany","","","","","0"
"No transfer dependency","1986","Couple + C. LE and GT 16","West Germany","24","","","","0"
"No transfer dependency","1986","Couple + C. LE and GT 16","East Germany","","","","","0"
"Very high transfer dependency","1986","1-pers.-HH","West Germany","23","","","","4"
"Very high transfer dependency","1986","Couple + C. LE and GT 16","East Germany","","","","","4"
"Very high transfer dependency","1986","(Married) couple without C. ","West Germany","12","","","","4"
"Very high transfer dependency","1986","(Married) couple without C. ","East Germany","","","","","4"
"Very high transfer dependency","1986","Single parent ","West Germany","8","","","","4"
"Very high transfer dependency","1986","Couple + C. LE 16 ","West Germany","10","","","","4"
"Very high transfer dependency","1986","Couple + C. LE 16 ","East Germany","","","","","4"
"Very high transfer dependency","1986","Couple + C. GT 16 ","West Germany","11","","","","4"
"Very high transfer dependency","1986","Couple + C. GT 16 ","East Germany","","","","","4"
"Very high transfer dependency","1986","1-pers.-HH","East Germany","","","","","4"
"Very high transfer dependency","1986","Couple + C. LE and GT 16","West Germany","3","","","","4"
"Very high transfer dependency","1986","Single parent ","East Germany","","","","","4"
"Very low transfer dependency","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"Very low transfer dependency","1986","1-pers.-HH","West Germany","117","0.0970558480230069","0.0796406707054112","0.114471025340603","1"
"Very low transfer dependency","1986","1-pers.-HH","East Germany","","","","","1"
"Very low transfer dependency","1986","Single parent ","West Germany","275","0.542383478259222","0.498406163778011","0.586360792740433","1"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","West Germany","1230","0.932697575294184","0.919282859653191","0.946112290935176","1"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"Very low transfer dependency","1986","(Married) couple without C. ","West Germany","284","0.100283458268476","0.0881285526527077","0.112438363884245","1"
"Very low transfer dependency","1986","(Married) couple without C. ","East Germany","","","","","1"
"Very low transfer dependency","1986","Single parent ","East Germany","","","","","1"
"Very low transfer dependency","1986","Couple + C. LE 16 ","West Germany","2113","0.916287628232295","0.905058928472759","0.927516327991831","1"
"Very low transfer dependency","1986","Couple + C. LE 16 ","East Germany","","","","","1"
"Very low transfer dependency","1986","Couple + C. GT 16 ","West Germany","1153","0.611671256098268","0.589791350288298","0.633551161908239","1"
"Complete transfer dependency","1987","1-pers.-HH","East Germany","","","","","5"
"Complete transfer dependency","1987","(Married) couple without C. ","West Germany","4","","","","5"
"Complete transfer dependency","1987","(Married) couple without C. ","East Germany","","","","","5"
"Complete transfer dependency","1987","Single parent ","West Germany","10","","","","5"
"Complete transfer dependency","1987","Single parent ","East Germany","","","","","5"
"Complete transfer dependency","1987","Couple + C. LE 16 ","West Germany","24","","","","5"
"Complete transfer dependency","1987","Couple + C. LE 16 ","East Germany","","","","","5"
"Complete transfer dependency","1987","1-pers.-HH","West Germany","22","","","","5"
"Complete transfer dependency","1987","Couple + C. GT 16 ","West Germany","3","","","","5"
"Complete transfer dependency","1987","Couple + C. GT 16 ","East Germany","","","","","5"
"Complete transfer dependency","1987","Couple + C. LE and GT 16","West Germany","7","","","","5"
"Complete transfer dependency","1987","Couple + C. LE and GT 16","East Germany","","","","","5"
"High transfer dependency","1987","Couple + C. LE and GT 16","East Germany","","","","","3"
"High transfer dependency","1987","Couple + C. GT 16 ","West Germany","19","","","","3"
"High transfer dependency","1987","1-pers.-HH","West Germany","14","","","","3"
"High transfer dependency","1987","1-pers.-HH","East Germany","","","","","3"
"High transfer dependency","1987","(Married) couple without C. ","West Germany","16","","","","3"
"High transfer dependency","1987","(Married) couple without C. ","East Germany","","","","","3"
"High transfer dependency","1987","Single parent ","East Germany","","","","","3"
"High transfer dependency","1987","Couple + C. LE 16 ","West Germany","26","","","","3"
"High transfer dependency","1987","Couple + C. LE 16 ","East Germany","","","","","3"
"High transfer dependency","1987","Couple + C. GT 16 ","East Germany","","","","","3"
"High transfer dependency","1987","Couple + C. LE and GT 16","West Germany","17","","","","3"
"High transfer dependency","1987","Single parent ","West Germany","9","","","","3"
"Low transfer dependency","1987","1-pers.-HH","West Germany","25","","","","2"
"Low transfer dependency","1987","1-pers.-HH","East Germany","","","","","2"
"Low transfer dependency","1987","(Married) couple without C. ","West Germany","46","0.0170740255941263","0.0118002730838655","0.0223477781043871","2"
"Low transfer dependency","1987","(Married) couple without C. ","East Germany","","","","","2"
"Low transfer dependency","1987","Single parent ","West Germany","49","0.10164112971605","0.075181186978216","0.128101072453884","2"
"Low transfer dependency","1987","Single parent ","East Germany","","","","","2"
"Low transfer dependency","1987","Couple + C. GT 16 ","West Germany","38","0.0149074657513218","0.00947565574221308","0.0203392757604305","2"
"Low transfer dependency","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"Low transfer dependency","1987","Couple + C. LE and GT 16","West Germany","63","0.0465053283812387","0.0346207185092932","0.0583899382531843","2"
"Low transfer dependency","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"Low transfer dependency","1987","Couple + C. LE 16 ","West Germany","98","0.0423896802156173","0.0341628727668594","0.0506164876643752","2"
"Low transfer dependency","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"No transfer dependency","1987","1-pers.-HH","West Germany","891","0.824211363792332","0.801778473885247","0.846644253699417","0"
"No transfer dependency","1987","1-pers.-HH","East Germany","","","","","0"
"No transfer dependency","1987","(Married) couple without C. ","West Germany","1989","0.878696344910303","0.865405648779781","0.891987041040825","0"
"No transfer dependency","1987","(Married) couple without C. ","East Germany","","","","","0"
"No transfer dependency","1987","Single parent ","West Germany","145","0.325335493360503","0.284311410301996","0.366359576419011","0"
"No transfer dependency","1987","Single parent ","East Germany","","","","","0"
"No transfer dependency","1987","Couple + C. LE 16 ","West Germany","52","0.0242531990627445","0.0179717486260315","0.0305346494994575","0"
"No transfer dependency","1987","Couple + C. LE 16 ","East Germany","","","","","0"
"No transfer dependency","1987","Couple + C. GT 16 ","West Germany","714","0.382339081417556","0.360556790464975","0.404121372370137","0"
"No transfer dependency","1987","Couple + C. GT 16 ","East Germany","","","","","0"
"No transfer dependency","1987","Couple + C. LE and GT 16","West Germany","26","","","","0"
"No transfer dependency","1987","Couple + C. LE and GT 16","East Germany","","","","","0"
"Very high transfer dependency","1987","Couple + C. LE and GT 16","East Germany","","","","","4"
"Very high transfer dependency","1987","1-pers.-HH","West Germany","22","","","","4"
"Very high transfer dependency","1987","(Married) couple without C. ","West Germany","10","","","","4"
"Very high transfer dependency","1987","(Married) couple without C. ","East Germany","","","","","4"
"Very high transfer dependency","1987","Single parent ","West Germany","8","","","","4"
"Very high transfer dependency","1987","Couple + C. LE 16 ","West Germany","12","","","","4"
"Very high transfer dependency","1987","Couple + C. LE 16 ","East Germany","","","","","4"
"Very high transfer dependency","1987","Couple + C. GT 16 ","West Germany","3","","","","4"
"Very high transfer dependency","1987","Couple + C. GT 16 ","East Germany","","","","","4"
"Very high transfer dependency","1987","Couple + C. LE and GT 16","West Germany","9","","","","4"
"Very high transfer dependency","1987","1-pers.-HH","East Germany","","","","","4"
"Very high transfer dependency","1987","Single parent ","East Germany","","","","","4"
"Very low transfer dependency","1987","1-pers.-HH","West Germany","132","0.105669510010704","0.0875521717492319","0.123786848272177","1"
"Very low transfer dependency","1987","(Married) couple without C. ","East Germany","","","","","1"
"Very low transfer dependency","1987","Single parent ","West Germany","280","0.521494183202244","0.477752290277005","0.565236076127483","1"
"Very low transfer dependency","1987","Single parent ","East Germany","","","","","1"
"Very low transfer dependency","1987","Couple + C. LE 16 ","West Germany","2092","0.908846247400797","0.897093501706949","0.920598993094645","1"
"Very low transfer dependency","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"Very low transfer dependency","1987","Couple + C. GT 16 ","West Germany","1135","0.592686684639959","0.570663453536966","0.614709915742952","1"
"Very low transfer dependency","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"Very low transfer dependency","1987","1-pers.-HH","East Germany","","","","","1"
"Very low transfer dependency","1987","(Married) couple without C. ","West Germany","253","0.0955192478287572","0.0835535925552822","0.107484903102232","1"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","West Germany","1084","0.901927216136768","0.8851417102445","0.918712722029035","1"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"Complete transfer dependency","1988","1-pers.-HH","West Germany","25","","","","5"
"Complete transfer dependency","1988","1-pers.-HH","East Germany","","","","","5"
"Complete transfer dependency","1988","(Married) couple without C. ","West Germany","6","","","","5"
"Complete transfer dependency","1988","(Married) couple without C. ","East Germany","","","","","5"
"Complete transfer dependency","1988","Single parent ","West Germany","6","","","","5"
"Complete transfer dependency","1988","Single parent ","East Germany","","","","","5"
"Complete transfer dependency","1988","Couple + C. LE 16 ","West Germany","19","","","","5"
"Complete transfer dependency","1988","Couple + C. LE 16 ","East Germany","","","","","5"
"Complete transfer dependency","1988","Couple + C. GT 16 ","West Germany","3","","","","5"
"Complete transfer dependency","1988","Couple + C. GT 16 ","East Germany","","","","","5"
"Complete transfer dependency","1988","Couple + C. LE and GT 16","West Germany","6","","","","5"
"Complete transfer dependency","1988","Couple + C. LE and GT 16","East Germany","","","","","5"
"High transfer dependency","1988","Couple + C. LE and GT 16","East Germany","","","","","3"
"High transfer dependency","1988","1-pers.-HH","West Germany","12","","","","3"
"High transfer dependency","1988","1-pers.-HH","East Germany","","","","","3"
"High transfer dependency","1988","(Married) couple without C. ","West Germany","24","","","","3"
"High transfer dependency","1988","(Married) couple without C. ","East Germany","","","","","3"
"High transfer dependency","1988","Couple + C. GT 16 ","West Germany","9","","","","3"
"High transfer dependency","1988","Single parent ","West Germany","11","","","","3"
"High transfer dependency","1988","Single parent ","East Germany","","","","","3"
"High transfer dependency","1988","Couple + C. LE 16 ","West Germany","16","","","","3"
"High transfer dependency","1988","Couple + C. LE 16 ","East Germany","","","","","3"
"High transfer dependency","1988","Couple + C. GT 16 ","East Germany","","","","","3"
"High transfer dependency","1988","Couple + C. LE and GT 16","West Germany","8","","","","3"
"Low transfer dependency","1988","1-pers.-HH","West Germany","21","","","","2"
"Low transfer dependency","1988","1-pers.-HH","East Germany","","","","","2"
"Low transfer dependency","1988","(Married) couple without C. ","West Germany","30","0.0116300042600325","0.00720390806450837","0.0160561004555567","2"
"Low transfer dependency","1988","(Married) couple without C. ","East Germany","","","","","2"
"Low transfer dependency","1988","Single parent ","West Germany","48","0.10243804416402","0.075725924680646","0.129150163647394","2"
"Low transfer dependency","1988","Single parent ","East Germany","","","","","2"
"Low transfer dependency","1988","Couple + C. LE 16 ","West Germany","73","0.0312130083152666","0.0238247130606901","0.0386013035698432","2"
"Low transfer dependency","1988","Couple + C. LE 16 ","East Germany","","","","","2"
"Low transfer dependency","1988","Couple + C. GT 16 ","West Germany","47","0.0159467666268622","0.0103317665999309","0.0215617666537936","2"
"Low transfer dependency","1988","Couple + C. GT 16 ","East Germany","","","","","2"
"Low transfer dependency","1988","Couple + C. LE and GT 16","West Germany","64","0.0440675773992572","0.0315755796653466","0.0565595751331678","2"
"Low transfer dependency","1988","Couple + C. LE and GT 16","East Germany","","","","","2"
"No transfer dependency","1988","1-pers.-HH","West Germany","876","0.832667775393315","0.810249667326687","0.855085883459942","0"
"No transfer dependency","1988","1-pers.-HH","East Germany","","","","","0"
"No transfer dependency","1988","(Married) couple without C. ","West Germany","1922","0.884716273767622","0.87153197166449","0.897900575870755","0"
"No transfer dependency","1988","(Married) couple without C. ","East Germany","","","","","0"
"No transfer dependency","1988","Single parent ","West Germany","155","0.33553985675006","0.293943813922257","0.377135899577862","0"
"No transfer dependency","1988","Single parent ","East Germany","","","","","0"
"No transfer dependency","1988","Couple + C. LE 16 ","West Germany","40","0.0189924803678339","0.0131929972244626","0.0247919635112053","0"
