"transab_cat","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Full Time","8","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Part Time","3","","",""
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Working","10","","",""
"Low transfer dependency","1984","Baden-Württemberg","Full Time","25","","",""
"Low transfer dependency","1984","Baden-Württemberg","Part Time","24","","",""
"Low transfer dependency","1984","Baden-Württemberg","Not Working","36","0.0226065961354692","0.0118749427594373","0.0333382495115012"
"Low transfer dependency","1984","Bavaria","Full Time","18","","",""
"Low transfer dependency","1984","Bavaria","Part Time","25","","",""
"Low transfer dependency","1984","Bavaria","Not Working","25","","",""
"Low transfer dependency","1984","Berlin","Full Time","1","","",""
"Low transfer dependency","1984","Berlin","Part Time","3","","",""
"Low transfer dependency","1984","Berlin","Not Working","3","","",""
"Low transfer dependency","1984","Brandenburg","Full Time","","","",""
"Low transfer dependency","1984","Brandenburg","Part Time","","","",""
"Low transfer dependency","1984","Brandenburg","Not Working","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Full Time","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Part Time","","","",""
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","Not Working","","","",""
"Low transfer dependency","1984","Saxony","Full Time","","","",""
"Low transfer dependency","1984","Saxony","Part Time","","","",""
"Low transfer dependency","1984","Saxony","Not Working","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","Full Time","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","Part Time","","","",""
"Low transfer dependency","1984","Saxony-Anhalt","Not Working","","","",""
"Low transfer dependency","1984","Thuringia","Full Time","","","",""
"Low transfer dependency","1984","Thuringia","Part Time","","","",""
"Low transfer dependency","1984","Thuringia","Not Working","","","",""
"High transfer dependency","1984","Schleswig-Holstein","Full Time","","","",""
"High transfer dependency","1984","Schleswig-Holstein","Part Time","1","","",""
"High transfer dependency","1984","Schleswig-Holstein","Not Working","1","","",""
"High transfer dependency","1984","Hamburg","Full Time","","","",""
"High transfer dependency","1984","Hamburg","Part Time","1","","",""
"High transfer dependency","1984","Hamburg","Not Working","2","","",""
"High transfer dependency","1984","Lower Saxony","Full Time","","","",""
"High transfer dependency","1984","Lower Saxony","Part Time","8","","",""
"High transfer dependency","1984","Lower Saxony","Not Working","6","","",""
"High transfer dependency","1984","Bremen","Full Time","","","",""
"High transfer dependency","1984","Bremen","Part Time","1","","",""
"High transfer dependency","1984","Bremen","Not Working","2","","",""
"High transfer dependency","1984","North Rhine-Westphalia","Full Time","4","","",""
"High transfer dependency","1984","North Rhine-Westphalia","Part Time","21","","",""
