"transab_cat","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1989","Thuringia","Part Time","","","",""
"Very high transfer dependency","1989","Thuringia","Not Working","","","",""
"Complete transfer dependency","1989","Schleswig-Holstein","Full Time","","","",""
"Complete transfer dependency","1989","Schleswig-Holstein","Part Time","","","",""
"Complete transfer dependency","1989","Schleswig-Holstein","Not Working","3","","",""
"Complete transfer dependency","1989","Hamburg","Full Time","","","",""
"Complete transfer dependency","1989","Hamburg","Part Time","","","",""
"Complete transfer dependency","1989","Hamburg","Not Working","1","","",""
"Complete transfer dependency","1989","Lower Saxony","Full Time","","","",""
"Complete transfer dependency","1989","Lower Saxony","Part Time","","","",""
"Complete transfer dependency","1989","Lower Saxony","Not Working","18","","",""
"Complete transfer dependency","1989","Bremen","Full Time","","","",""
"Complete transfer dependency","1989","Bremen","Part Time","","","",""
"Complete transfer dependency","1989","Bremen","Not Working","1","","",""
"Complete transfer dependency","1989","North Rhine-Westphalia","Full Time","","","",""
"Complete transfer dependency","1989","North Rhine-Westphalia","Part Time","","","",""
"Complete transfer dependency","1989","North Rhine-Westphalia","Not Working","37","0.0390656755572895","0.0269659784555576","0.0511653726590215"
"Complete transfer dependency","1989","Hesse","Full Time","","","",""
"Complete transfer dependency","1989","Hesse","Part Time","","","",""
"Complete transfer dependency","1989","Hesse","Not Working","2","","",""
"Complete transfer dependency","1989","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Complete transfer dependency","1989","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Complete transfer dependency","1989","Rhineland-Palatinate,Saarland","Not Working","8","","",""
"Complete transfer dependency","1989","Baden-Württemberg","Full Time","","","",""
"Complete transfer dependency","1989","Baden-Württemberg","Part Time","","","",""
"Complete transfer dependency","1989","Baden-Württemberg","Not Working","4","","",""
"Complete transfer dependency","1989","Bavaria","Full Time","","","",""
"Complete transfer dependency","1989","Bavaria","Part Time","","","",""
"Complete transfer dependency","1989","Bavaria","Not Working","4","","",""
"Complete transfer dependency","1989","Berlin","Full Time","","","",""
"Complete transfer dependency","1989","Berlin","Part Time","","","",""
"Complete transfer dependency","1989","Berlin","Not Working","3","","",""
"Complete transfer dependency","1989","Brandenburg","Full Time","","","",""
"Complete transfer dependency","1989","Brandenburg","Part Time","","","",""
"Complete transfer dependency","1989","Brandenburg","Not Working","","","",""
"Complete transfer dependency","1989","Mecklenburg-Western Pomerania","Full Time","","","",""
"Complete transfer dependency","1989","Mecklenburg-Western Pomerania","Part Time","","","",""
"Complete transfer dependency","1989","Mecklenburg-Western Pomerania","Not Working","","","",""
"Complete transfer dependency","1989","Saxony","Full Time","","","",""
"Complete transfer dependency","1989","Saxony","Part Time","","","",""
"Complete transfer dependency","1989","Saxony","Not Working","","","",""
"Complete transfer dependency","1989","Saxony-Anhalt","Full Time","","","",""
"Complete transfer dependency","1989","Saxony-Anhalt","Part Time","","","",""
"Complete transfer dependency","1989","Saxony-Anhalt","Not Working","","","",""
"Complete transfer dependency","1989","Thuringia","Full Time","","","",""
"Complete transfer dependency","1989","Thuringia","Part Time","","","",""
"Complete transfer dependency","1989","Thuringia","Not Working","","","",""
"No transfer dependency","1990","Schleswig-Holstein","Full Time","54","0.511069048398121","0.418902690777032","0.603235406019211"
"No transfer dependency","1990","Schleswig-Holstein","Part Time","15","","",""
"No transfer dependency","1990","Schleswig-Holstein","Not Working","43","0.505316423589123","0.406328889391508","0.604303957786737"
"No transfer dependency","1990","Hamburg","Full Time","39","0.726788394092935","0.621646182116298","0.831930606069571"
"No transfer dependency","1990","Hamburg","Part Time","10","","",""
"No transfer dependency","1990","Hamburg","Not Working","40","0.797556178040288","0.696720069009546","0.89839228707103"
"No transfer dependency","1990","Lower Saxony","Full Time","203","0.588305855953917","0.53971115536735","0.636900556540484"
"No transfer dependency","1990","Lower Saxony","Part Time","42","0.277262999563274","0.208751689812453","0.345774309314095"
"No transfer dependency","1990","Lower Saxony","Not Working","171","0.565387067670462","0.514109770611293","0.61666436472963"
"No transfer dependency","1990","Bremen","Full Time","15","","",""
"No transfer dependency","1990","Bremen","Part Time","7","","",""
"No transfer dependency","1990","Bremen","Not Working","31","0.644564415295889","0.515702740444114","0.773426090147665"
"No transfer dependency","1990","North Rhine-Westphalia","Full Time","470","0.531584113321801","0.501430314999133","0.561737911644468"
"No transfer dependency","1990","North Rhine-Westphalia","Part Time","97","0.286326831359933","0.241520393299987","0.331133269419879"
"No transfer dependency","1990","North Rhine-Westphalia","Not Working","400","0.559609413882115","0.528074537267435","0.591144290496795"
"No transfer dependency","1990","Hesse","Full Time","200","0.560725255115721","0.513706688781056","0.607743821450385"
"No transfer dependency","1990","Hesse","Part Time","52","0.412145668334178","0.338153822502006","0.48613751416635"
"No transfer dependency","1990","Hesse","Not Working","169","0.691431385115376","0.641213683655527","0.741649086575225"
"No transfer dependency","1990","Rhineland-Palatinate,Saarland","Full Time","130","0.547253372002006","0.488635500867565","0.605871243136448"
"No transfer dependency","1990","Rhineland-Palatinate,Saarland","Part Time","28","","",""
"No transfer dependency","1990","Rhineland-Palatinate,Saarland","Not Working","135","0.630143083116252","0.571005364346684","0.689280801885819"
"No transfer dependency","1990","Baden-Württemberg","Full Time","394","0.576074938791181","0.542794394315938","0.609355483266424"
"No transfer dependency","1990","Baden-Württemberg","Part Time","102","0.391395939599474","0.337152967539051","0.445638911659898"
"No transfer dependency","1990","Baden-Württemberg","Not Working","256","0.628361347968566","0.586786604176094","0.669936091761037"
"No transfer dependency","1990","Bavaria","Full Time","374","0.578415406696079","0.542884324918186","0.613946488473971"
"No transfer dependency","1990","Bavaria","Part Time","83","0.305898494550889","0.252956321956118","0.35884066714566"
"No transfer dependency","1990","Bavaria","Not Working","278","0.713724810063608","0.672640228593017","0.754809391534198"
"No transfer dependency","1990","Berlin","Full Time","74","0.621467311200855","0.544361495334079","0.698573127067631"
"No transfer dependency","1990","Berlin","Part Time","20","","",""
"No transfer dependency","1990","Berlin","Not Working","45","0.629251857638754","0.535973428511147","0.72253028676636"
"No transfer dependency","1990","Brandenburg","Full Time","","","",""
"No transfer dependency","1990","Brandenburg","Part Time","","","",""
"No transfer dependency","1990","Brandenburg","Not Working","","","",""
"No transfer dependency","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"No transfer dependency","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"No transfer dependency","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"No transfer dependency","1990","Saxony","Full Time","","","",""
"No transfer dependency","1990","Saxony","Part Time","","","",""
"No transfer dependency","1990","Saxony","Not Working","","","",""
"No transfer dependency","1990","Saxony-Anhalt","Full Time","","","",""
"No transfer dependency","1990","Saxony-Anhalt","Part Time","","","",""
"No transfer dependency","1990","Saxony-Anhalt","Not Working","","","",""
"No transfer dependency","1990","Thuringia","Full Time","","","",""
"No transfer dependency","1990","Thuringia","Part Time","","","",""
"No transfer dependency","1990","Thuringia","Not Working","","","",""
"Very low transfer dependency","1990","Schleswig-Holstein","Full Time","58","0.470590183293089","0.37856084571985","0.562619520866329"
"Very low transfer dependency","1990","Schleswig-Holstein","Part Time","37","0.609385728400559","0.481602378145214","0.737169078655904"
"Very low transfer dependency","1990","Schleswig-Holstein","Not Working","48","0.423071451842816","0.325257021851288","0.520885881834343"
"Very low transfer dependency","1990","Hamburg","Full Time","29","","",""
"Very low transfer dependency","1990","Hamburg","Part Time","17","","",""
"Very low transfer dependency","1990","Hamburg","Not Working","13","","",""
"Very low transfer dependency","1990","Lower Saxony","Full Time","186","0.40016392493485","0.351787336543748","0.448540513325952"
"Very low transfer dependency","1990","Lower Saxony","Part Time","108","0.629237379787503","0.555314071380869","0.703160688194137"
"Very low transfer dependency","1990","Lower Saxony","Not Working","144","0.34495508844926","0.295783109930867","0.394127066967654"
"Very low transfer dependency","1990","Bremen","Full Time","16","","",""
"Very low transfer dependency","1990","Bremen","Part Time","6","","",""
"Very low transfer dependency","1990","Bremen","Not Working","12","","",""
"Very low transfer dependency","1990","North Rhine-Westphalia","Full Time","564","0.453251324290261","0.423169537288846","0.483333111291675"
"Very low transfer dependency","1990","North Rhine-Westphalia","Part Time","248","0.598268375205026","0.549675147610023","0.64686160280003"
"Very low transfer dependency","1990","North Rhine-Westphalia","Not Working","454","0.351185979875744","0.320863946979563","0.381508012771925"
"Very low transfer dependency","1990","Hesse","Full Time","223","0.431731142738503","0.384805543928042","0.478656741548965"
"Very low transfer dependency","1990","Hesse","Part Time","105","0.532510433955457","0.457508294434158","0.607512573476755"
"Very low transfer dependency","1990","Hesse","Not Working","139","0.267616973306495","0.219485143405666","0.315748803207324"
"Very low transfer dependency","1990","Rhineland-Palatinate,Saarland","Full Time","142","0.438927078843356","0.380486561971502","0.49736759571521"
"Very low transfer dependency","1990","Rhineland-Palatinate,Saarland","Part Time","64","0.545864250293077","0.447787590758832","0.643940909827323"
"Very low transfer dependency","1990","Rhineland-Palatinate,Saarland","Not Working","103","0.301018159378741","0.244828370179209","0.357207948578274"
"Very low transfer dependency","1990","Baden-Württemberg","Full Time","447","0.421533052015976","0.388277705527846","0.454788398504106"
"Very low transfer dependency","1990","Baden-Württemberg","Part Time","201","0.589104352587194","0.534424191832023","0.643784513342366"
"Very low transfer dependency","1990","Baden-Württemberg","Not Working","239","0.346927877124031","0.305976870252739","0.387878883995323"
"Very low transfer dependency","1990","Bavaria","Full Time","358","0.410422006111678","0.375027806950119","0.445816205273237"
"Very low transfer dependency","1990","Bavaria","Part Time","187","0.602320631647078","0.546088830245617","0.65855243304854"
"Very low transfer dependency","1990","Bavaria","Not Working","159","0.237103461254092","0.198446885259263","0.275760037248921"
"Very low transfer dependency","1990","Berlin","Full Time","76","0.376158967340715","0.299148638976643","0.453169295704788"
"Very low transfer dependency","1990","Berlin","Part Time","42","0.4622798243293","0.343778209001494","0.580781439657106"
"Very low transfer dependency","1990","Berlin","Not Working","45","0.302561103569288","0.213847727162483","0.391274479976094"
"Very low transfer dependency","1990","Brandenburg","Full Time","","","",""
"Very low transfer dependency","1990","Brandenburg","Part Time","","","",""
"Very low transfer dependency","1990","Brandenburg","Not Working","","","",""
"Very low transfer dependency","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Very low transfer dependency","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Very low transfer dependency","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Very low transfer dependency","1990","Saxony","Full Time","","","",""
"Very low transfer dependency","1990","Saxony","Part Time","","","",""
"Very low transfer dependency","1990","Saxony","Not Working","","","",""
"Very low transfer dependency","1990","Saxony-Anhalt","Full Time","","","",""
"Very low transfer dependency","1990","Saxony-Anhalt","Part Time","","","",""
"Very low transfer dependency","1990","Saxony-Anhalt","Not Working","","","",""
"Very low transfer dependency","1990","Thuringia","Full Time","","","",""
"Very low transfer dependency","1990","Thuringia","Part Time","","","",""
"Very low transfer dependency","1990","Thuringia","Not Working","","","",""
"Low transfer dependency","1990","Schleswig-Holstein","Full Time","","","",""
"Low transfer dependency","1990","Schleswig-Holstein","Part Time","","","",""
"Low transfer dependency","1990","Schleswig-Holstein","Not Working","2","","",""
"Low transfer dependency","1990","Hamburg","Full Time","1","","",""
"Low transfer dependency","1990","Hamburg","Part Time","3","","",""
"Low transfer dependency","1990","Hamburg","Not Working","3","","",""
"Low transfer dependency","1990","Lower Saxony","Full Time","5","","",""
"Low transfer dependency","1990","Lower Saxony","Part Time","9","","",""
"Low transfer dependency","1990","Lower Saxony","Not Working","23","","",""
"Low transfer dependency","1990","Bremen","Full Time","2","","",""
"Low transfer dependency","1990","Bremen","Part Time","","","",""
"Low transfer dependency","1990","Bremen","Not Working","4","","",""
"Low transfer dependency","1990","North Rhine-Westphalia","Full Time","14","","",""
"Low transfer dependency","1990","North Rhine-Westphalia","Part Time","26","","",""
"Low transfer dependency","1990","North Rhine-Westphalia","Not Working","40","0.0325945374111756","0.0213146102456311","0.0438744645767201"
"Low transfer dependency","1990","Hesse","Full Time","4","","",""
"Low transfer dependency","1990","Hesse","Part Time","11","","",""
"Low transfer dependency","1990","Hesse","Not Working","11","","",""
"Low transfer dependency","1990","Rhineland-Palatinate,Saarland","Full Time","5","","",""
"Low transfer dependency","1990","Rhineland-Palatinate,Saarland","Part Time","2","","",""
"Low transfer dependency","1990","Rhineland-Palatinate,Saarland","Not Working","8","","",""
"Low transfer dependency","1990","Baden-Württemberg","Full Time","3","","",""
"Low transfer dependency","1990","Baden-Württemberg","Part Time","5","","",""
"Low transfer dependency","1990","Baden-Württemberg","Not Working","10","","",""
"Low transfer dependency","1990","Bavaria","Full Time","10","","",""
"Low transfer dependency","1990","Bavaria","Part Time","19","","",""
"Low transfer dependency","1990","Bavaria","Not Working","19","","",""
"Low transfer dependency","1990","Berlin","Full Time","2","","",""
"Low transfer dependency","1990","Berlin","Part Time","2","","",""
"Low transfer dependency","1990","Berlin","Not Working","4","","",""
"Low transfer dependency","1990","Brandenburg","Full Time","","","",""
"Low transfer dependency","1990","Brandenburg","Part Time","","","",""
"Low transfer dependency","1990","Brandenburg","Not Working","","","",""
"Low transfer dependency","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Low transfer dependency","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Low transfer dependency","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Low transfer dependency","1990","Saxony","Full Time","","","",""
"Low transfer dependency","1990","Saxony","Part Time","","","",""
"Low transfer dependency","1990","Saxony","Not Working","","","",""
"Low transfer dependency","1990","Saxony-Anhalt","Full Time","","","",""
"Low transfer dependency","1990","Saxony-Anhalt","Part Time","","","",""
"Low transfer dependency","1990","Saxony-Anhalt","Not Working","","","",""
"Low transfer dependency","1990","Thuringia","Full Time","","","",""
"Low transfer dependency","1990","Thuringia","Part Time","","","",""
"Low transfer dependency","1990","Thuringia","Not Working","","","",""
"High transfer dependency","1990","Schleswig-Holstein","Full Time","1","","",""
"High transfer dependency","1990","Schleswig-Holstein","Part Time","3","","",""
"High transfer dependency","1990","Schleswig-Holstein","Not Working","2","","",""
"High transfer dependency","1990","Hamburg","Full Time","","","",""
"High transfer dependency","1990","Hamburg","Part Time","1","","",""
"High transfer dependency","1990","Hamburg","Not Working","1","","",""
"High transfer dependency","1990","Lower Saxony","Full Time","","","",""
"High transfer dependency","1990","Lower Saxony","Part Time","4","","",""
"High transfer dependency","1990","Lower Saxony","Not Working","5","","",""
"High transfer dependency","1990","Bremen","Full Time","","","",""
"High transfer dependency","1990","Bremen","Part Time","","","",""
"High transfer dependency","1990","Bremen","Not Working","2","","",""
"High transfer dependency","1990","North Rhine-Westphalia","Full Time","4","","",""
"High transfer dependency","1990","North Rhine-Westphalia","Part Time","15","","",""
"High transfer dependency","1990","North Rhine-Westphalia","Not Working","25","","",""
"High transfer dependency","1990","Hesse","Full Time","1","","",""
"High transfer dependency","1990","Hesse","Part Time","1","","",""
"High transfer dependency","1990","Hesse","Not Working","3","","",""
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Full Time","","","",""
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Part Time","5","","",""
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Not Working","4","","",""
"High transfer dependency","1990","Baden-Württemberg","Full Time","3","","",""
"High transfer dependency","1990","Baden-Württemberg","Part Time","2","","",""
"High transfer dependency","1990","Baden-Württemberg","Not Working","7","","",""
"High transfer dependency","1990","Bavaria","Full Time","","","",""
"High transfer dependency","1990","Bavaria","Part Time","2","","",""
"High transfer dependency","1990","Bavaria","Not Working","3","","",""
"High transfer dependency","1990","Berlin","Full Time","","","",""
"High transfer dependency","1990","Berlin","Part Time","3","","",""
"High transfer dependency","1990","Berlin","Not Working","2","","",""
"High transfer dependency","1990","Brandenburg","Full Time","","","",""
"High transfer dependency","1990","Brandenburg","Part Time","","","",""
"High transfer dependency","1990","Brandenburg","Not Working","","","",""
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"High transfer dependency","1990","Saxony","Full Time","","","",""
"High transfer dependency","1990","Saxony","Part Time","","","",""
"High transfer dependency","1990","Saxony","Not Working","","","",""
"High transfer dependency","1990","Saxony-Anhalt","Full Time","","","",""
"High transfer dependency","1990","Saxony-Anhalt","Part Time","","","",""
"High transfer dependency","1990","Saxony-Anhalt","Not Working","","","",""
"High transfer dependency","1990","Thuringia","Full Time","","","",""
"High transfer dependency","1990","Thuringia","Part Time","","","",""
"High transfer dependency","1990","Thuringia","Not Working","","","",""
"Very high transfer dependency","1990","Schleswig-Holstein","Full Time","","","",""
"Very high transfer dependency","1990","Schleswig-Holstein","Part Time","1","","",""
"Very high transfer dependency","1990","Schleswig-Holstein","Not Working","2","","",""
"Very high transfer dependency","1990","Hamburg","Full Time","","","",""
"Very high transfer dependency","1990","Hamburg","Part Time","","","",""
"Very high transfer dependency","1990","Hamburg","Not Working","3","","",""
"Very high transfer dependency","1990","Lower Saxony","Full Time","","","",""
"Very high transfer dependency","1990","Lower Saxony","Part Time","1","","",""
"Very high transfer dependency","1990","Lower Saxony","Not Working","5","","",""
"Very high transfer dependency","1990","Bremen","Full Time","1","","",""
"Very high transfer dependency","1990","Bremen","Part Time","","","",""
"Very high transfer dependency","1990","Bremen","Not Working","4","","",""
"Very high transfer dependency","1990","North Rhine-Westphalia","Full Time","","","",""
"Very high transfer dependency","1990","North Rhine-Westphalia","Part Time","5","","",""
"Very high transfer dependency","1990","North Rhine-Westphalia","Not Working","12","","",""
"Very high transfer dependency","1990","Hesse","Full Time","","","",""
"Very high transfer dependency","1990","Hesse","Part Time","1","","",""
"Very high transfer dependency","1990","Hesse","Not Working","1","","",""
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Not Working","2","","",""
"Very high transfer dependency","1990","Baden-Württemberg","Full Time","","","",""
"Very high transfer dependency","1990","Baden-Württemberg","Part Time","1","","",""
"Very high transfer dependency","1990","Baden-Württemberg","Not Working","3","","",""
"Very high transfer dependency","1990","Bavaria","Full Time","","","",""
"Very high transfer dependency","1990","Bavaria","Part Time","","","",""
"Very high transfer dependency","1990","Bavaria","Not Working","1","","",""
"Very high transfer dependency","1990","Berlin","Full Time","","","",""
"Very high transfer dependency","1990","Berlin","Part Time","1","","",""
"Very high transfer dependency","1990","Berlin","Not Working","3","","",""
"Very high transfer dependency","1990","Brandenburg","Full Time","","","",""
"Very high transfer dependency","1990","Brandenburg","Part Time","","","",""
"Very high transfer dependency","1990","Brandenburg","Not Working","","","",""
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Very high transfer dependency","1990","Saxony","Full Time","","","",""
"Very high transfer dependency","1990","Saxony","Part Time","","","",""
"Very high transfer dependency","1990","Saxony","Not Working","","","",""
"Very high transfer dependency","1990","Saxony-Anhalt","Full Time","","","",""
"Very high transfer dependency","1990","Saxony-Anhalt","Part Time","","","",""
"Very high transfer dependency","1990","Saxony-Anhalt","Not Working","","","",""
"Very high transfer dependency","1990","Thuringia","Full Time","","","",""
"Very high transfer dependency","1990","Thuringia","Part Time","","","",""
"Very high transfer dependency","1990","Thuringia","Not Working","","","",""
"Complete transfer dependency","1990","Schleswig-Holstein","Full Time","","","",""
"Complete transfer dependency","1990","Schleswig-Holstein","Part Time","","","",""
"Complete transfer dependency","1990","Schleswig-Holstein","Not Working","1","","",""
"Complete transfer dependency","1990","Hamburg","Full Time","","","",""
"Complete transfer dependency","1990","Hamburg","Part Time","","","",""
"Complete transfer dependency","1990","Hamburg","Not Working","1","","",""
"Complete transfer dependency","1990","Lower Saxony","Full Time","","","",""
"Complete transfer dependency","1990","Lower Saxony","Part Time","","","",""
"Complete transfer dependency","1990","Lower Saxony","Not Working","11","","",""
"Complete transfer dependency","1990","Bremen","Full Time","","","",""
"Complete transfer dependency","1990","Bremen","Part Time","","","",""
"Complete transfer dependency","1990","Bremen","Not Working","","","",""
"Complete transfer dependency","1990","North Rhine-Westphalia","Full Time","","","",""
"Complete transfer dependency","1990","North Rhine-Westphalia","Part Time","","","",""
"Complete transfer dependency","1990","North Rhine-Westphalia","Not Working","21","","",""
"Complete transfer dependency","1990","Hesse","Full Time","","","",""
"Complete transfer dependency","1990","Hesse","Part Time","","","",""
"Complete transfer dependency","1990","Hesse","Not Working","2","","",""
"Complete transfer dependency","1990","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Complete transfer dependency","1990","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Complete transfer dependency","1990","Rhineland-Palatinate,Saarland","Not Working","4","","",""
"Complete transfer dependency","1990","Baden-Württemberg","Full Time","","","",""
"Complete transfer dependency","1990","Baden-Württemberg","Part Time","","","",""
"Complete transfer dependency","1990","Baden-Württemberg","Not Working","4","","",""
"Complete transfer dependency","1990","Bavaria","Full Time","","","",""
"Complete transfer dependency","1990","Bavaria","Part Time","","","",""
"Complete transfer dependency","1990","Bavaria","Not Working","5","","",""
"Complete transfer dependency","1990","Berlin","Full Time","","","",""
"Complete transfer dependency","1990","Berlin","Part Time","","","",""
"Complete transfer dependency","1990","Berlin","Not Working","4","","",""
"Complete transfer dependency","1990","Brandenburg","Full Time","","","",""
"Complete transfer dependency","1990","Brandenburg","Part Time","","","",""
"Complete transfer dependency","1990","Brandenburg","Not Working","","","",""
"Complete transfer dependency","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Complete transfer dependency","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Complete transfer dependency","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Complete transfer dependency","1990","Saxony","Full Time","","","",""
"Complete transfer dependency","1990","Saxony","Part Time","","","",""
"Complete transfer dependency","1990","Saxony","Not Working","","","",""
"Complete transfer dependency","1990","Saxony-Anhalt","Full Time","","","",""
"Complete transfer dependency","1990","Saxony-Anhalt","Part Time","","","",""
"Complete transfer dependency","1990","Saxony-Anhalt","Not Working","","","",""
"Complete transfer dependency","1990","Thuringia","Full Time","","","",""
"Complete transfer dependency","1990","Thuringia","Part Time","","","",""
"Complete transfer dependency","1990","Thuringia","Not Working","","","",""
"No transfer dependency","1991","Schleswig-Holstein","Full Time","56","0.466868334973597","0.37905677408149","0.554679895865704"
"No transfer dependency","1991","Schleswig-Holstein","Part Time","18","","",""
"No transfer dependency","1991","Schleswig-Holstein","Not Working","45","0.556438954637749","0.456007529276717","0.65687037999878"
"No transfer dependency","1991","Hamburg","Full Time","43","0.735858708625735","0.633309035118571","0.838408382132898"
"No transfer dependency","1991","Hamburg","Part Time","8","","",""
"No transfer dependency","1991","Hamburg","Not Working","37","0.788902145880396","0.684772219060402","0.89303207270039"
"No transfer dependency","1991","Lower Saxony","Full Time","211","0.601467015693776","0.553245757086191","0.649688274301361"
"No transfer dependency","1991","Lower Saxony","Part Time","44","0.33160325569103","0.257487797510522","0.405718713871538"
"No transfer dependency","1991","Lower Saxony","Not Working","165","0.555737012629211","0.50433790321048","0.607136122047942"
"No transfer dependency","1991","Bremen","Full Time","18","","",""
"No transfer dependency","1991","Bremen","Part Time","4","","",""
"No transfer dependency","1991","Bremen","Not Working","36","0.771568323793426","0.654020279177772","0.889116368409079"
"No transfer dependency","1991","North Rhine-Westphalia","Full Time","468","0.540400714862186","0.510097552906686","0.570703876817685"
"No transfer dependency","1991","North Rhine-Westphalia","Part Time","121","0.349012489550588","0.302359152116531","0.395665826984645"
"No transfer dependency","1991","North Rhine-Westphalia","Not Working","418","0.608390738594959","0.576677165987624","0.640104311202295"
"No transfer dependency","1991","Hesse","Full Time","193","0.543596773760182","0.495441931098852","0.591751616421513"
"No transfer dependency","1991","Hesse","Part Time","55","0.388305424511336","0.315890595382395","0.460720253640276"
"No transfer dependency","1991","Hesse","Not Working","156","0.675849055849526","0.623745694094346","0.727952417604706"
"No transfer dependency","1991","Rhineland-Palatinate,Saarland","Full Time","129","0.55086730635457","0.491426761059015","0.610307851650124"
"No transfer dependency","1991","Rhineland-Palatinate,Saarland","Part Time","26","","",""
"No transfer dependency","1991","Rhineland-Palatinate,Saarland","Not Working","132","0.640360612094104","0.580513176663651","0.700208047524556"
"No transfer dependency","1991","Baden-Württemberg","Full Time","411","0.582392968574572","0.549161091540127","0.615624845609017"
"No transfer dependency","1991","Baden-Württemberg","Part Time","106","0.390845123014417","0.337467185837434","0.4442230601914"
"No transfer dependency","1991","Baden-Württemberg","Not Working","259","0.646357897063374","0.60478265880469","0.687933135322059"
"No transfer dependency","1991","Bavaria","Full Time","392","0.580803828172835","0.545058775648237","0.616548880697432"
"No transfer dependency","1991","Bavaria","Part Time","100","0.389900529077738","0.333473864560398","0.446327193595079"
"No transfer dependency","1991","Bavaria","Not Working","286","0.696115424043788","0.65509789609255","0.737132951995025"
"No transfer dependency","1991","Berlin","Full Time","83","0.685518696479466","0.610714786173087","0.760322606785845"
"No transfer dependency","1991","Berlin","Part Time","18","","",""
"No transfer dependency","1991","Berlin","Not Working","43","0.671765472679613","0.578796929885196","0.764734015474031"
"No transfer dependency","1991","Brandenburg","Full Time","","","",""
"No transfer dependency","1991","Brandenburg","Part Time","","","",""
"No transfer dependency","1991","Brandenburg","Not Working","","","",""
"No transfer dependency","1991","Mecklenburg-Western Pomerania","Full Time","","","",""
"No transfer dependency","1991","Mecklenburg-Western Pomerania","Part Time","","","",""
"No transfer dependency","1991","Mecklenburg-Western Pomerania","Not Working","","","",""
"No transfer dependency","1991","Saxony","Full Time","","","",""
"No transfer dependency","1991","Saxony","Part Time","","","",""
"No transfer dependency","1991","Saxony","Not Working","","","",""
"No transfer dependency","1991","Saxony-Anhalt","Full Time","","","",""
"No transfer dependency","1991","Saxony-Anhalt","Part Time","","","",""
"No transfer dependency","1991","Saxony-Anhalt","Not Working","","","",""
"No transfer dependency","1991","Thuringia","Full Time","","","",""
"No transfer dependency","1991","Thuringia","Part Time","","","",""
"No transfer dependency","1991","Thuringia","Not Working","","","",""
"Very low transfer dependency","1991","Schleswig-Holstein","Full Time","63","0.506084188325493","0.418085723137395","0.594082653513591"
"Very low transfer dependency","1991","Schleswig-Holstein","Part Time","42","0.657625223088226","0.542271524226231","0.772978921950222"
"Very low transfer dependency","1991","Schleswig-Holstein","Not Working","33","0.344135791541415","0.24809492903815","0.44017665404468"
"Very low transfer dependency","1991","Hamburg","Full Time","28","","",""
"Very low transfer dependency","1991","Hamburg","Part Time","14","","",""
"Very low transfer dependency","1991","Hamburg","Not Working","16","","",""
"Very low transfer dependency","1991","Lower Saxony","Full Time","176","0.384928604122486","0.337004571437167","0.432852636807805"
"Very low transfer dependency","1991","Lower Saxony","Part Time","98","0.585021852723839","0.507454155236856","0.662589550210822"
"Very low transfer dependency","1991","Lower Saxony","Not Working","149","0.337728885687992","0.288807035103432","0.386650736272551"
"Very low transfer dependency","1991","Bremen","Full Time","10","","",""
"Very low transfer dependency","1991","Bremen","Part Time","3","","",""
"Very low transfer dependency","1991","Bremen","Not Working","8","","",""
"Very low transfer dependency","1991","North Rhine-Westphalia","Full Time","540","0.434917564129303","0.404773646454396","0.46506148180421"
"Very low transfer dependency","1991","North Rhine-Westphalia","Part Time","244","0.55675409237374","0.50813241010642","0.605375774641061"
"Very low transfer dependency","1991","North Rhine-Westphalia","Not Working","398","0.308538884042483","0.27852886794176","0.338548900143206"
