"transab_cat","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1986","Urban Area","4357","0.439917336131451","0.429088144950369","0.450746527312532"
"Complete transfer dependency","1987","Rural Area","12","","",""
"Complete transfer dependency","1987","Urban Area","62","0.00817234851236938","0.00619205581805391","0.0101526412066848"
"High transfer dependency","1987","Rural Area","24","","",""
"High transfer dependency","1987","Urban Area","89","0.00840558665530006","0.00639747022132058","0.0104137030892796"
"Low transfer dependency","1987","Rural Area","79","0.0340005054114288","0.0261781976918299","0.0418228131310277"
"Low transfer dependency","1987","Urban Area","263","0.0289955501869997","0.0253048044499048","0.0326862959240946"
"No transfer dependency","1987","Rural Area","754","0.452996890547477","0.431511350784478","0.474482430310476"
"No transfer dependency","1987","Urban Area","3270","0.527079349525461","0.516097639305171","0.538061059745751"
"Very high transfer dependency","1987","Rural Area","19","","",""
"Very high transfer dependency","1987","Urban Area","45","0.0063319315197319","0.0045872080167233","0.0080766550227405"
"Very low transfer dependency","1987","Rural Area","1174","0.484228506453671","0.462658135966249","0.505798876941093"
"Very low transfer dependency","1987","Urban Area","4211","0.421015233600138","0.410155471448839","0.431874995751436"
"Complete transfer dependency","1988","Rural Area","10","","",""
"Complete transfer dependency","1988","Urban Area","57","0.00754010466948299","0.00558765974888035","0.00949254959008563"
"High transfer dependency","1988","Rural Area","21","","",""
"High transfer dependency","1988","Urban Area","64","0.0076553877139005","0.00568818790246593","0.00962258752533507"
"Low transfer dependency","1988","Rural Area","69","0.0311436753268943","0.0234020084972638","0.0388853421565249"
"Low transfer dependency","1988","Urban Area","234","0.0247286406565492","0.0212235724158324","0.0282337088972659"
"No transfer dependency","1988","Rural Area","743","0.472591303218992","0.450340978046991","0.494841628390994"
"No transfer dependency","1988","Urban Area","3164","0.544849622574477","0.533610060209764","0.55608918493919"
"Very high transfer dependency","1988","Rural Area","20","","",""
"Very high transfer dependency","1988","Urban Area","56","0.00767849307222134","0.00570834974967611","0.00964863639476657"
"Very low transfer dependency","1988","Rural Area","1071","0.468801293229602","0.446560884661815","0.491041701797389"
"Very low transfer dependency","1988","Urban Area","3966","0.407547751313369","0.396457291631488","0.418638210995251"
"Complete transfer dependency","1989","Rural Area","21","","",""
"Complete transfer dependency","1989","Urban Area","60","0.00886300049777857","0.00672306322107901","0.0110029377744781"
"High transfer dependency","1989","Rural Area","18","","",""
"High transfer dependency","1989","Urban Area","84","0.0108291669628112","0.00846609477565609","0.0131922391499663"
"Low transfer dependency","1989","Rural Area","49","0.0220856743428925","0.0153208749057395","0.0288504737800454"
"Low transfer dependency","1989","Urban Area","241","0.0243692735612879","0.0208487452665961","0.0278898018559798"
"No transfer dependency","1989","Rural Area","706","0.472648085991387","0.449667113438604","0.495629058544171"
"No transfer dependency","1989","Urban Area","3163","0.548943882666584","0.537582712198643","0.560305053134524"
"Very high transfer dependency","1989","Rural Area","16","","",""
"Very high transfer dependency","1989","Urban Area","40","0.00531675291174257","0.00365636541912821","0.00697714040435694"
"Very low transfer dependency","1989","Rural Area","1003","0.469422502781158","0.446450145892493","0.492394859669823"
"Very low transfer dependency","1989","Urban Area","3781","0.401677923399796","0.390484825350824","0.412871021448768"
"Complete transfer dependency","1990","Rural Area","12","","",""
"Complete transfer dependency","1990","Urban Area","41","0.00605445617673357","0.00424812644969974","0.0078607859037674"
"High transfer dependency","1990","Rural Area","13","","",""
"High transfer dependency","1990","Urban Area","86","0.0108988347306736","0.00848121186803096","0.0133164575933163"
"Low transfer dependency","1990","Rural Area","57","0.0315086351694613","0.0234564908498298","0.0395607794890928"
"Low transfer dependency","1990","Urban Area","190","0.0202747456761859","0.0169929765665228","0.0235565147858491"
"No transfer dependency","1990","Rural Area","770","0.503956849371064","0.480910333298541","0.527003365443588"
"No transfer dependency","1990","Urban Area","3207","0.562017562073859","0.550464916348611","0.573570207799106"
"Very high transfer dependency","1990","Rural Area","4","","",""
"Very high transfer dependency","1990","Urban Area","43","0.00623363218875812","0.00440093422285265","0.00806633015466359"
"Very low transfer dependency","1990","Rural Area","952","0.445768873193178","0.422857601033153","0.468680145353203"
"Very low transfer dependency","1990","Urban Area","3518","0.39452076915379","0.38314023295307","0.40590130535451"
"Complete transfer dependency","1991","Rural Area","14","","",""
"Complete transfer dependency","1991","Urban Area","44","0.00646615263700521","0.00458217264628726","0.00835013262772317"
"High transfer dependency","1991","Rural Area","21","","",""
"High transfer dependency","1991","Urban Area","70","0.0084694441517565","0.00631546010812555","0.0106234281953875"
"Low transfer dependency","1991","Rural Area","56","0.0244060405453503","0.0173574154415299","0.0314546656491706"
"Low transfer dependency","1991","Urban Area","224","0.0267367721735711","0.0229450926647186","0.0305284516824236"
"No transfer dependency","1991","Rural Area","812","0.511921283519945","0.489088033888358","0.534754533151533"
"No transfer dependency","1991","Urban Area","3269","0.577560623677095","0.565950336525629","0.589170910828562"
"Very high transfer dependency","1991","Rural Area","10","","",""
"Very high transfer dependency","1991","Urban Area","31","0.0050748617619729","0.00340465865705323","0.00674506486689258"
"Very low transfer dependency","1991","Rural Area","928","0.438076692496767","0.415412784755762","0.460740600237771"
"Very low transfer dependency","1991","Urban Area","3315","0.375692145598599","0.36430860309278","0.387075688104418"
"Complete transfer dependency","1992","Rural Area","7","","",""
"Complete transfer dependency","1992","Urban Area","47","0.00666535623268331","0.00490300636879417","0.00842770609657245"
"High transfer dependency","1992","Rural Area","60","0.0145421396167714","0.0109226006961999","0.0181616785373428"
"High transfer dependency","1992","Urban Area","106","0.0111753840743712","0.00889859122371531","0.0134521769250271"
"Low transfer dependency","1992","Rural Area","307","0.0521569249161023","0.0454342164718648","0.0588796333603398"
"Low transfer dependency","1992","Urban Area","327","0.026365926742136","0.0228957462981923","0.0298361071860798"
"No transfer dependency","1992","Rural Area","1435","0.45163469168914","0.436587733990628","0.466681649387652"
"No transfer dependency","1992","Urban Area","3707","0.555014157703279","0.544250551927176","0.565777763479382"
"Very high transfer dependency","1992","Rural Area","30","0.00923675509502005","0.00634431265746837","0.0121291975325717"
"Very high transfer dependency","1992","Urban Area","50","0.00624930274536396","0.00454248495517911","0.00795612053554882"
"Very low transfer dependency","1992","Rural Area","2363","0.470057921992453","0.454967202122664","0.485148641862243"
"Very low transfer dependency","1992","Urban Area","3952","0.394529872502167","0.383944187611433","0.4051155573929"
"Complete transfer dependency","1993","Rural Area","16","","",""
"Complete transfer dependency","1993","Urban Area","41","0.00601138489751403","0.00435685533809062","0.00766591445693744"
"High transfer dependency","1993","Rural Area","85","0.0187309928767272","0.0146564880176505","0.0228054977358038"
"High transfer dependency","1993","Urban Area","127","0.011981629599252","0.00965280375442935","0.0143104554440747"
"Low transfer dependency","1993","Rural Area","397","0.0656305597247464","0.0581881638598449","0.0730729555896479"
"Low transfer dependency","1993","Urban Area","387","0.0318737402506231","0.028113816201552","0.0356336642996942"
"No transfer dependency","1993","Rural Area","1472","0.462032908931898","0.44704935934857","0.477016458515225"
"No transfer dependency","1993","Urban Area","3706","0.543615880858706","0.532954636756161","0.554277124961252"
"Very high transfer dependency","1993","Rural Area","40","0.01091745925466","0.00779441989678489","0.0140404986125352"
"Very high transfer dependency","1993","Urban Area","80","0.00816768035515762","0.00624119792674699","0.0100941627835683"
"Very low transfer dependency","1993","Rural Area","2243","0.438770207202605","0.423856372548086","0.453684041857124"
"Very low transfer dependency","1993","Urban Area","4044","0.398349684038747","0.387871141745561","0.408828226331933"
"Complete transfer dependency","1994","Rural Area","20","","",""
"Complete transfer dependency","1994","Urban Area","56","0.00769887723714039","0.00581463892851027","0.00958311554577051"
"High transfer dependency","1994","Rural Area","89","0.0199141649818997","0.0156708444647424","0.024157485499057"
"High transfer dependency","1994","Urban Area","140","0.0144686398015459","0.0118943972357829","0.0170428823673089"
"Low transfer dependency","1994","Rural Area","327","0.0572989746952393","0.0502398127419976","0.0643581366484811"
"Low transfer dependency","1994","Urban Area","450","0.0361506128729079","0.0321265680411455","0.0401746577046704"
"No transfer dependency","1994","Rural Area","1550","0.469855894372945","0.45469684250665","0.485014946239239"
"No transfer dependency","1994","Urban Area","3662","0.548038766247201","0.537309831022322","0.558767701472081"
"Very high transfer dependency","1994","Rural Area","51","0.0141105238358182","0.0105280880515466","0.0176929596200897"
"Very high transfer dependency","1994","Urban Area","76","0.00978862555324175","0.0076662354896974","0.0119110156167861"
"Very low transfer dependency","1994","Rural Area","2127","0.432918719115406","0.417869340485097","0.447968097745715"
"Very low transfer dependency","1994","Urban Area","3882","0.383854478287963","0.373370518547311","0.394338438028614"
"Complete transfer dependency","1995","Rural Area","26","","",""
"Complete transfer dependency","1995","Urban Area","96","0.0133897206814742","0.0109490321603643","0.0158304092025841"
"High transfer dependency","1995","Rural Area","101","0.0182777054520262","0.0142748671014251","0.0222805438026273"
"High transfer dependency","1995","Urban Area","147","0.015747557322173","0.0131038484319218","0.0183912662124243"
"Low transfer dependency","1995","Rural Area","358","0.0648591280540515","0.0574998203738477","0.0722184357342553"
"Low transfer dependency","1995","Urban Area","409","0.0343591320108682","0.0304911656111606","0.0382270984105759"
"No transfer dependency","1995","Rural Area","1633","0.478955825641237","0.464027954062156","0.493883697220317"
"No transfer dependency","1995","Urban Area","3772","0.552750829036079","0.542192547085334","0.563309110986824"
"Very high transfer dependency","1995","Rural Area","67","0.0164093017961932","0.0126129614040504","0.020205642188336"
"Very high transfer dependency","1995","Urban Area","112","0.0118984139071754","0.00959591667724523","0.0142009111371056"
"Very low transfer dependency","1995","Rural Area","2117","0.41200298980012","0.397295091076975","0.426710888523264"
"Very low transfer dependency","1995","Urban Area","3983","0.37185434704223","0.361591440061855","0.382117254022605"
"Complete transfer dependency","1996","Rural Area","18","","",""
"Complete transfer dependency","1996","Urban Area","88","0.0126116085269867","0.010221251732156","0.0150019653218174"
"High transfer dependency","1996","Rural Area","127","0.0234847466840408","0.0189409464943783","0.0280285468737032"
"High transfer dependency","1996","Urban Area","179","0.019303971786518","0.0163566739420095","0.0222512696310264"
"Low transfer dependency","1996","Rural Area","384","0.0735865321953099","0.065752445593818","0.0814206187968017"
"Low transfer dependency","1996","Urban Area","452","0.0405149890874305","0.036291606338897","0.0447383718359639"
"No transfer dependency","1996","Rural Area","1527","0.455692951084861","0.440749706521412","0.470636195648311"
"No transfer dependency","1996","Urban Area","3611","0.531162472779979","0.520472949029328","0.54185199653063"
"Very high transfer dependency","1996","Rural Area","76","0.0173711268658495","0.0134510414853261","0.0212912122463729"
"Very high transfer dependency","1996","Urban Area","109","0.00990624993620823","0.00778483178092332","0.0120276680914931"
"Very low transfer dependency","1996","Rural Area","2135","0.424436369913557","0.409606418204137","0.439266321622976"
"Very low transfer dependency","1996","Urban Area","3933","0.386500707882878","0.376069954893449","0.396931460872307"
"Complete transfer dependency","1997","Rural Area","20","","",""
"Complete transfer dependency","1997","Urban Area","84","0.0130817738788734","0.0106586771703779","0.0155048705873689"
"High transfer dependency","1997","Rural Area","142","0.034350387617824","0.0288921294642635","0.0398086457713846"
"High transfer dependency","1997","Urban Area","178","0.0182691969036295","0.0154132325593985","0.0211251612478606"
"Low transfer dependency","1997","Rural Area","415","0.0814791708845006","0.0732804468026448","0.0896778949663564"
"Low transfer dependency","1997","Urban Area","576","0.0521480725912497","0.0474068949965291","0.0568892501859703"
"No transfer dependency","1997","Rural Area","1458","0.433342600489185","0.418491643489536","0.448193557488834"
"No transfer dependency","1997","Urban Area","3493","0.501561720851394","0.49089908126117","0.512224360441618"
"Very high transfer dependency","1997","Rural Area","83","0.0216395434226457","0.0172788861143192","0.0260002007309722"
"Very high transfer dependency","1997","Urban Area","121","0.0130618136061007","0.0106405417086762","0.0154830855035252"
"Very low transfer dependency","1997","Rural Area","2159","0.423155999133596","0.40834931174724","0.437962686519953"
"Very low transfer dependency","1997","Urban Area","3995","0.401877422168752","0.391422068067962","0.412332776269543"
"Complete transfer dependency","1998","Rural Area","42","0.0108901638765924","0.00795957996486565","0.0138207477883191"
"Complete transfer dependency","1998","Urban Area","98","0.0136147287110044","0.0112636604238829","0.0159657969981259"
"High transfer dependency","1998","Rural Area","119","0.0198247155662676","0.0158885799851574","0.0237608511473779"
"High transfer dependency","1998","Urban Area","204","0.0194236672972567","0.0166237591981277","0.0222235753963858"
"Low transfer dependency","1998","Rural Area","482","0.0817251266654234","0.0739897966869517","0.0894604566438952"
"Low transfer dependency","1998","Urban Area","569","0.0468604048747767","0.042572760746197","0.0511480490033564"
"No transfer dependency","1998","Rural Area","1700","0.433707083256651","0.419713352444015","0.447700814069288"
"No transfer dependency","1998","Urban Area","3957","0.508015138085248","0.497872483045893","0.518157793124602"
"Very high transfer dependency","1998","Rural Area","79","0.0193210740347541","0.0154342601374052","0.0232078879321029"
"Very high transfer dependency","1998","Urban Area","147","0.0146418666645756","0.0122049945697533","0.0170787387593978"
"Very low transfer dependency","1998","Rural Area","2396","0.434531836600311","0.420535010300028","0.448528662900594"
"Very low transfer dependency","1998","Urban Area","4358","0.397444194367139","0.387515910762077","0.407372477972201"
"Complete transfer dependency","1999","Rural Area","30","0.00960018522956656","0.00679785054071184","0.0124025199184213"
"Complete transfer dependency","1999","Urban Area","79","0.0099569880550441","0.00789898474941613","0.0120149913606721"
"High transfer dependency","1999","Rural Area","132","0.0226039781867116","0.0183322595003086","0.0268756968731146"
"High transfer dependency","1999","Urban Area","184","0.0174783999964804","0.0147621049978144","0.0201946949951464"
"Low transfer dependency","1999","Rural Area","441","0.0750252318661388","0.0674544011158497","0.0825960626164279"
"Low transfer dependency","1999","Urban Area","537","0.046413940691366","0.0420532105494286","0.0507746708333035"
"No transfer dependency","1999","Rural Area","1649","0.432139419919866","0.417902772668135","0.446376067171597"
"No transfer dependency","1999","Urban Area","3797","0.506759421921056","0.496396425249954","0.517122418592158"
"Very high transfer dependency","1999","Rural Area","84","0.0190742395146621","0.0151431167454588","0.0230053622838654"
"Very high transfer dependency","1999","Urban Area","89","0.0091988715172999","0.00722000925521486","0.0111777337793849"
"Very low transfer dependency","1999","Rural Area","2315","0.441556945283055","0.427285836112858","0.455828054453253"
"Very low transfer dependency","1999","Urban Area","4255","0.410192377818754","0.399996983507456","0.420387772130051"
"Complete transfer dependency","2000","Rural Area","59","0.00730730074747325","0.00546116532826675","0.00915343616667974"
"Complete transfer dependency","2000","Urban Area","175","0.0106988477133972","0.00909446753094085","0.0123032278958536"
"High transfer dependency","2000","Rural Area","223","0.023170140265322","0.01990913541775","0.026431145112894"
"High transfer dependency","2000","Urban Area","245","0.0143453577628878","0.0124910039304638","0.0161997115953118"
"Low transfer dependency","2000","Rural Area","699","0.0737872227889179","0.0681206089767333","0.0794538366011025"
"Low transfer dependency","2000","Urban Area","855","0.0441515285777724","0.0409479017235592","0.0473551554319857"
"No transfer dependency","2000","Rural Area","3243","0.469247511281186","0.458430067215757","0.480064955346614"
"No transfer dependency","2000","Urban Area","7206","0.524331899382568","0.516543832322743","0.532119966442394"
"Very high transfer dependency","2000","Rural Area","122","0.0147532594404501","0.0121399301093477","0.0173665887715524"
"Very high transfer dependency","2000","Urban Area","182","0.0117176455969619","0.0100394783975396","0.0133958127963842"
"Very low transfer dependency","2000","Rural Area","3830","0.411734565476651","0.40106681180291","0.422402319150392"
"Very low transfer dependency","2000","Urban Area","7133","0.394754720966412","0.387132107459992","0.402377334472832"
"Complete transfer dependency","2001","Rural Area","55","0.00701072777940458","0.00510778087189072","0.00891367468691843"
"Complete transfer dependency","2001","Urban Area","132","0.0101333244473214","0.00849330142929522","0.0117733474653475"
"High transfer dependency","2001","Rural Area","185","0.0199450403044895","0.0167563266921993","0.0231337539167798"
"High transfer dependency","2001","Urban Area","258","0.0173215027090465","0.0151850950454735","0.0194579103726195"
"Low transfer dependency","2001","Rural Area","691","0.0715111555177036","0.0656342584513704","0.0773880525840368"
"Low transfer dependency","2001","Urban Area","774","0.0458396338473477","0.0424149784777566","0.0492642892169389"
"No transfer dependency","2001","Rural Area","2675","0.444833730301025","0.433499729667947","0.456167730934103"
"No transfer dependency","2001","Urban Area","6128","0.499961411022893","0.491773829812853","0.508148992232934"
"Very high transfer dependency","2001","Rural Area","133","0.020170198413666","0.016963905105664","0.0233764917216681"
"Very high transfer dependency","2001","Urban Area","178","0.0124977603551612","0.0106786009393226","0.0143169197709999"
"Very low transfer dependency","2001","Rural Area","3646","0.436529147683711","0.425217778098852","0.44784051726857"
"Very low transfer dependency","2001","Urban Area","6856","0.41424636761823","0.406180102960712","0.422312632275748"
"Complete transfer dependency","2002","Rural Area","67","0.00950658109754629","0.00731687802883891","0.0116962841662537"
"Complete transfer dependency","2002","Urban Area","148","0.0141058502143806","0.0122318496757619","0.0159798507529993"
"High transfer dependency","2002","Rural Area","183","0.0261515369465711","0.0225503841267551","0.029752689766387"
"High transfer dependency","2002","Urban Area","276","0.0239564100828425","0.0215264428978694","0.0263863772678157"
"Low transfer dependency","2002","Rural Area","615","0.0790349327281964","0.072946880438698","0.0851229850176948"
"Low transfer dependency","2002","Urban Area","712","0.0481165355499215","0.0447156344783902","0.0515174366214528"
"No transfer dependency","2002","Rural Area","2730","0.441803367048837","0.430597244486185","0.453009489611489"
"No transfer dependency","2002","Urban Area","6532","0.499811451701839","0.491865884482898","0.50775701892078"
"Very high transfer dependency","2002","Rural Area","100","0.0147040919518023","0.0119879673097912","0.0174202165938134"
"Very high transfer dependency","2002","Urban Area","143","0.0104116941599118","0.00879866242770582","0.0120247258921178"
"Very low transfer dependency","2002","Rural Area","3849","0.428799490227047","0.417631663308884","0.43996731714521"
"Very low transfer dependency","2002","Urban Area","7401","0.403598058291105","0.395801570716222","0.411394545865987"
"Complete transfer dependency","2003","Rural Area","79","0.0128521546740521","0.0102502518230175","0.0154540575250868"
"Complete transfer dependency","2003","Urban Area","159","0.0166176882753533","0.0145539916719205","0.018681384878786"
"High transfer dependency","2003","Rural Area","188","0.0273578449592456","0.0235896836119487","0.0311260063065424"
"High transfer dependency","2003","Urban Area","250","0.0181447597454146","0.0159900008043561","0.0202995186864732"
"Low transfer dependency","2003","Rural Area","627","0.0836363325278703","0.0772412901697537","0.0900313748859868"
"Low transfer dependency","2003","Urban Area","778","0.0511446529456357","0.0475883440845441","0.0547009618067273"
"No transfer dependency","2003","Rural Area","2644","0.43520957541985","0.423756954448272","0.446662196391428"
"No transfer dependency","2003","Urban Area","6222","0.489995241288435","0.481925076653696","0.498065405923174"
"Very high transfer dependency","2003","Rural Area","114","0.0169409914668664","0.0139599280858842","0.0199220548478485"
"Very high transfer dependency","2003","Urban Area","178","0.0163819458587831","0.0143326939977159","0.0184311977198502"
"Very low transfer dependency","2003","Rural Area","3547","0.424003100952116","0.412587294596","0.435418907308231"
"Very low transfer dependency","2003","Urban Area","7153","0.407715711886378","0.399782607311833","0.415648816460924"
"Complete transfer dependency","2004","Rural Area","62","0.0121774972005366","0.00961821569196077","0.0147367787091125"
"Complete transfer dependency","2004","Urban Area","153","0.0141352401250497","0.0122004211452464","0.0160700591048531"
"High transfer dependency","2004","Rural Area","173","0.0286427415351323","0.024750530596138","0.0325349524741266"
"High transfer dependency","2004","Urban Area","267","0.0192482353582564","0.0169963043471389","0.021500166369374"
"Low transfer dependency","2004","Rural Area","642","0.0898536400553584","0.0831806106599953","0.0965266694507215"
"Low transfer dependency","2004","Urban Area","746","0.0534713781124568","0.0497840852184068","0.0571586710065068"
"No transfer dependency","2004","Rural Area","2602","0.441180486642861","0.429594220211568","0.452766753074154"
"No transfer dependency","2004","Urban Area","5981","0.48051389203965","0.472325096731435","0.488702687347865"
"Very high transfer dependency","2004","Rural Area","140","0.0217785026273694","0.0183726002819782","0.0251844049727606"
"Very high transfer dependency","2004","Urban Area","193","0.0176595537377763","0.0155008107120804","0.0198182967634721"
"Very low transfer dependency","2004","Rural Area","3436","0.406367131938742","0.394906255291309","0.417828008586175"
"Very low transfer dependency","2004","Urban Area","6960","0.414971700626811","0.40689604576251","0.423047355491112"
"Complete transfer dependency","2005","Rural Area","68","0.0124766476555185","0.0098309930220055","0.0151223022890315"
"Complete transfer dependency","2005","Urban Area","151","0.0138247526017396","0.0118698987063031","0.0157796064971761"
"High transfer dependency","2005","Rural Area","205","0.0286438577309892","0.0246681403249782","0.0326195751370002"
"High transfer dependency","2005","Urban Area","265","0.0232200402768221","0.0206986595673672","0.0257414209862771"
"Low transfer dependency","2005","Rural Area","643","0.102978783310156","0.0957346615127858","0.110222905107525"
"Low transfer dependency","2005","Urban Area","745","0.0528248070998202","0.0490798858588262","0.0565697283408142"
"No transfer dependency","2005","Rural Area","2582","0.432735183410806","0.42092614499739","0.444544221824221"
"No transfer dependency","2005","Urban Area","5801","0.469857802120138","0.461502003212186","0.47821360102809"
"Very high transfer dependency","2005","Rural Area","153","0.0269949633538534","0.023132099310177","0.0308578273975298"
"Very high transfer dependency","2005","Urban Area","192","0.0187330803996776","0.0164631802750391","0.0210029805243161"
"Very low transfer dependency","2005","Rural Area","3111","0.396170564538677","0.3845129752623","0.407828153815055"
"Very low transfer dependency","2005","Urban Area","6551","0.421539517501802","0.413272200969211","0.429806834034394"
"Complete transfer dependency","2006","Rural Area","81","0.0158272079209568","0.0129822518222737","0.01867216401964"
"Complete transfer dependency","2006","Urban Area","176","0.0175033454517809","0.0153783067530781","0.0196283841504838"
"High transfer dependency","2006","Rural Area","235","0.0351901807658927","0.0309899868240651","0.0393903747077203"
"High transfer dependency","2006","Urban Area","323","0.0254612310816763","0.0229086471519787","0.0280138150113739"
"Low transfer dependency","2006","Rural Area","575","0.075468784975475","0.0694475967128208","0.0814899732381292"
"Low transfer dependency","2006","Urban Area","779","0.0592192782598377","0.0553944095643081","0.0630441469553673"
"No transfer dependency","2006","Rural Area","2969","0.440938917505139","0.429621259033815","0.452256575976462"
"No transfer dependency","2006","Urban Area","6465","0.479611730677516","0.471516123653944","0.487707337701088"
"Very high transfer dependency","2006","Rural Area","189","0.0316015101643544","0.0276138447813941","0.0355891755473148"
"Very high transfer dependency","2006","Urban Area","239","0.0203948924671547","0.018104409843719","0.0226853750905905"
"Very low transfer dependency","2006","Rural Area","3344","0.400973398668182","0.389801716460846","0.412145080875518"
"Very low transfer dependency","2006","Urban Area","6647","0.397809522062034","0.389878205207356","0.405740838916712"
"Complete transfer dependency","2007","Rural Area","88","0.01638266646068","0.013406790093044","0.019358542828316"
"Complete transfer dependency","2007","Urban Area","164","0.0164102994507056","0.0142820257986663","0.0185385731027449"
"High transfer dependency","2007","Rural Area","180","0.0298141790015522","0.0258271592048223","0.0338011987982822"
"High transfer dependency","2007","Urban Area","308","0.0281769088400445","0.0254048495832003","0.0309489680968887"
"Low transfer dependency","2007","Rural Area","568","0.0781979618459319","0.0719039717955775","0.0844919518962863"
"Low transfer dependency","2007","Urban Area","669","0.0554359623572466","0.0516026542451061","0.0592692704693871"
"No transfer dependency","2007","Rural Area","2890","0.449748884119396","0.43808683097017","0.461410937268622"
"No transfer dependency","2007","Urban Area","6054","0.478781023583059","0.470412654944762","0.487149392221356"
"Very high transfer dependency","2007","Rural Area","158","0.0258208848235172","0.0221028412876691","0.0295389283593653"
"Very high transfer dependency","2007","Urban Area","244","0.022845910891589","0.0203429849739242","0.0253488368092538"
"Very low transfer dependency","2007","Rural Area","3106","0.400035423748922","0.388550674092671","0.411520173405174"
"Very low transfer dependency","2007","Urban Area","6250","0.398349894877356","0.390148899234082","0.406550890520629"
"Complete transfer dependency","2008","Rural Area","70","0.0159204399692889","0.0128896643493028","0.0189512155892749"
"Complete transfer dependency","2008","Urban Area","147","0.0185900861384087","0.0162549523997935","0.0209252198770239"
"High transfer dependency","2008","Rural Area","141","0.02459934977225","0.0208486311834417","0.0283500683610582"
"High transfer dependency","2008","Urban Area","253","0.0259260300813338","0.0231787064834906","0.028673353679177"
"Low transfer dependency","2008","Rural Area","439","0.0752741507809895","0.0688857731861699","0.0816625283758092"
"Low transfer dependency","2008","Urban Area","621","0.0502840779508251","0.0465061128459225","0.0540620430557277"
"No transfer dependency","2008","Rural Area","2804","0.460804249014671","0.448734656312579","0.472873841716763"
"No transfer dependency","2008","Urban Area","5826","0.486715789324799","0.478074819125702","0.495356759523896"
"Very high transfer dependency","2008","Rural Area","172","0.0246406673172133","0.0208868796670349","0.0283944549673917"
"Very high transfer dependency","2008","Urban Area","184","0.0180370955419332","0.015736307131851","0.0203378839520155"
"Very low transfer dependency","2008","Rural Area","2926","0.398761143145588","0.386905064185024","0.410617222106151"
"Very low transfer dependency","2008","Urban Area","5822","0.4004469209627","0.391975970628626","0.408917871296774"
"Complete transfer dependency","2009","Rural Area","69","0.0155992584406765","0.0125233896548454","0.0186751272265077"
"Complete transfer dependency","2009","Urban Area","104","0.0146977938492428","0.0125363722779327","0.0168592154205528"
"High transfer dependency","2009","Rural Area","130","0.0248789613847379","0.0210128421100963","0.0287450806593796"
"High transfer dependency","2009","Urban Area","209","0.0192583255131303","0.0167899271223228","0.0217267239039377"
"Low transfer dependency","2009","Rural Area","442","0.0723939952494071","0.0659617453291741","0.07882624516964"
"Low transfer dependency","2009","Urban Area","560","0.0568722032473365","0.0527124844074241","0.0610319220872489"
"No transfer dependency","2009","Rural Area","2839","0.491190425778057","0.478781549741881","0.503599301814234"
"No transfer dependency","2009","Urban Area","5604","0.493834179786736","0.484854400580495","0.502813958992978"
"Very high transfer dependency","2009","Rural Area","111","0.018074803193138","0.014768019000378","0.021381587385898"
"Very high transfer dependency","2009","Urban Area","160","0.0169036368278751","0.014588286033451","0.0192189876222993"
"Very low transfer dependency","2009","Rural Area","2644","0.377862555953983","0.365827725914254","0.389897385993712"
"Very low transfer dependency","2009","Urban Area","5271","0.398433860775679","0.389640629634252","0.407227091917106"
"Complete transfer dependency","2010","Rural Area","122","0.00909866249125471","0.00704500692934617","0.0111523180531632"
