"transab_cat","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1986","no migration background","West Germany","70","0.011049901259431","0.00865072932752524","0.0134490731913367"
"High transfer dependency","1986","no migration background","East Germany","","","",""
"High transfer dependency","1986","direct migration background","West Germany","51","0.0135678048878361","0.0092257637279394","0.0179098460477329"
"High transfer dependency","1986","direct migration background","East Germany","","","",""
"High transfer dependency","1986","indirect migration background","West Germany","1","","",""
"High transfer dependency","1986","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1986","no migration background","West Germany","39","0.00602886353823607","0.00425222287541237","0.00780550420105977"
"Very high transfer dependency","1986","no migration background","East Germany","","","",""
"Very high transfer dependency","1986","direct migration background","West Germany","28","","",""
"Very high transfer dependency","1986","direct migration background","East Germany","","","",""
"Very high transfer dependency","1986","indirect migration background","West Germany","1","","",""
"Very high transfer dependency","1986","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1986","no migration background","West Germany","56","0.00821268124746981","0.00614136341879315","0.0102839990761465"
"Complete transfer dependency","1986","no migration background","East Germany","","","",""
"Complete transfer dependency","1986","direct migration background","West Germany","31","0.0162948779483251","0.0115430189611857","0.0210467369354645"
"Complete transfer dependency","1986","direct migration background","East Germany","","","",""
"Complete transfer dependency","1986","indirect migration background","West Germany","","","",""
"Complete transfer dependency","1986","indirect migration background","East Germany","","","",""
"No transfer dependency","1987","no migration background","West Germany","3300","0.52768570038095","0.516086358977154","0.539285041784746"
"No transfer dependency","1987","no migration background","East Germany","","","",""
"No transfer dependency","1987","direct migration background","West Germany","675","0.360194396541289","0.342143625082133","0.378245168000445"
"No transfer dependency","1987","direct migration background","East Germany","","","",""
"No transfer dependency","1987","indirect migration background","West Germany","49","0.527917364339926","0.452651730136741","0.603182998543111"
"No transfer dependency","1987","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1987","no migration background","West Germany","3452","0.420309333833161","0.408840670807422","0.431777996858899"
"Very low transfer dependency","1987","no migration background","East Germany","","","",""
"Very low transfer dependency","1987","direct migration background","West Germany","1825","0.56512472334932","0.546484213599436","0.583765233099203"
"Very low transfer dependency","1987","direct migration background","East Germany","","","",""
"Very low transfer dependency","1987","indirect migration background","West Germany","108","0.418405554974161","0.344032848761487","0.492778261186835"
"Very low transfer dependency","1987","indirect migration background","East Germany","","","",""
"Low transfer dependency","1987","no migration background","West Germany","214","0.0291530749833302","0.0252442368557584","0.0330619131109019"
"Low transfer dependency","1987","no migration background","East Germany","","","",""
"Low transfer dependency","1987","direct migration background","West Germany","118","0.0373523703707061","0.0302222636818003","0.0444824770596119"
"Low transfer dependency","1987","direct migration background","East Germany","","","",""
"Low transfer dependency","1987","indirect migration background","West Germany","10","","",""
"Low transfer dependency","1987","indirect migration background","East Germany","","","",""
"High transfer dependency","1987","no migration background","West Germany","60","0.00859030531676476","0.00644612649602262","0.0107344841375069"
"High transfer dependency","1987","no migration background","East Germany","","","",""
"High transfer dependency","1987","direct migration background","West Germany","53","0.0159489342791661","0.0112383158800917","0.0206595526782404"
"High transfer dependency","1987","direct migration background","East Germany","","","",""
"High transfer dependency","1987","indirect migration background","West Germany","","","",""
"High transfer dependency","1987","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1987","no migration background","West Germany","47","0.00736543853645406","0.00537877590748981","0.0093521011654183"
"Very high transfer dependency","1987","no migration background","East Germany","","","",""
"Very high transfer dependency","1987","direct migration background","West Germany","15","","",""
"Very high transfer dependency","1987","direct migration background","East Germany","","","",""
"Very high transfer dependency","1987","indirect migration background","West Germany","2","","",""
"Very high transfer dependency","1987","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1987","no migration background","West Germany","43","0.00689614694934017","0.00497336202496232","0.00881893187371802"
"Complete transfer dependency","1987","no migration background","East Germany","","","",""
"Complete transfer dependency","1987","direct migration background","West Germany","31","0.0138996422793659","0.009497484120033","0.0183018004386988"
"Complete transfer dependency","1987","direct migration background","East Germany","","","",""
"Complete transfer dependency","1987","indirect migration background","West Germany","","","",""
"Complete transfer dependency","1987","indirect migration background","East Germany","","","",""
"No transfer dependency","1988","no migration background","West Germany","3181","0.545343350990258","0.53341228189917","0.557274420081345"
"No transfer dependency","1988","no migration background","East Germany","","","",""
"No transfer dependency","1988","direct migration background","West Germany","670","0.390369062636773","0.371515917798727","0.40922220747482"
"No transfer dependency","1988","direct migration background","East Germany","","","",""
"No transfer dependency","1988","indirect migration background","West Germany","56","0.38884650288758","0.323225266334071","0.454467739441089"
"No transfer dependency","1988","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1988","no migration background","West Germany","3215","0.407839042737308","0.396063881561418","0.419614203913198"
"Very low transfer dependency","1988","no migration background","East Germany","","","",""
"Very low transfer dependency","1988","direct migration background","West Germany","1686","0.532585395554244","0.513303116025339","0.551867675083149"
"Very low transfer dependency","1988","direct migration background","East Germany","","","",""
"Very low transfer dependency","1988","indirect migration background","West Germany","136","0.536304449868891","0.46917666366831","0.603432236069473"
"Very low transfer dependency","1988","indirect migration background","East Germany","","","",""
"Low transfer dependency","1988","no migration background","West Germany","157","0.024142992375262","0.0204651660484851","0.027820818702039"
"Low transfer dependency","1988","no migration background","East Germany","","","",""
"Low transfer dependency","1988","direct migration background","West Germany","136","0.0441968191385594","0.0362536766779204","0.0521399615991985"
"Low transfer dependency","1988","direct migration background","East Germany","","","",""
"Low transfer dependency","1988","indirect migration background","West Germany","10","","",""
"Low transfer dependency","1988","indirect migration background","East Germany","","","",""
"High transfer dependency","1988","no migration background","West Germany","53","0.00769816496860795","0.0056039653308683","0.00979236460634759"
"High transfer dependency","1988","no migration background","East Germany","","","",""
"High transfer dependency","1988","direct migration background","West Germany","28","","",""
"High transfer dependency","1988","direct migration background","East Germany","","","",""
"High transfer dependency","1988","indirect migration background","West Germany","4","","",""
"High transfer dependency","1988","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1988","no migration background","West Germany","54","0.00902827559603619","0.00676188055416495","0.0112946706379074"
"Very high transfer dependency","1988","no migration background","East Germany","","","",""
"Very high transfer dependency","1988","direct migration background","West Germany","19","","",""
"Very high transfer dependency","1988","direct migration background","East Germany","","","",""
"Very high transfer dependency","1988","indirect migration background","West Germany","3","","",""
"Very high transfer dependency","1988","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1988","no migration background","West Germany","31","0.00594817333252841","0.00410570981272733","0.00779063685232949"
"Complete transfer dependency","1988","no migration background","East Germany","","","",""
"Complete transfer dependency","1988","direct migration background","West Germany","33","0.0147718844220645","0.0101095979200532","0.0194341709240757"
"Complete transfer dependency","1988","direct migration background","East Germany","","","",""
"Complete transfer dependency","1988","indirect migration background","West Germany","3","","",""
"Complete transfer dependency","1988","indirect migration background","East Germany","","","",""
"No transfer dependency","1989","no migration background","West Germany","3105","0.550477389282971","0.538311091175391","0.56264368739055"
"No transfer dependency","1989","no migration background","East Germany","","","",""
"No transfer dependency","1989","direct migration background","West Germany","696","0.398507323325149","0.379353981666709","0.417660664983589"
"No transfer dependency","1989","direct migration background","East Germany","","","",""
"No transfer dependency","1989","indirect migration background","West Germany","68","0.361660287356488","0.30210032287558","0.421220251837397"
"No transfer dependency","1989","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1989","no migration background","West Germany","3028","0.402125848288141","0.390133649353246","0.414118047223035"
"Very low transfer dependency","1989","no migration background","East Germany","","","",""
"Very low transfer dependency","1989","direct migration background","West Germany","1592","0.521636512265282","0.502094277180664","0.5411787473499"
"Very low transfer dependency","1989","direct migration background","East Germany","","","",""
"Very low transfer dependency","1989","indirect migration background","West Germany","164","0.557916975216145","0.496354681307275","0.619479269125016"
"Very low transfer dependency","1989","indirect migration background","East Germany","","","",""
"Low transfer dependency","1989","no migration background","West Germany","149","0.02101706555851","0.0175088478170095","0.0245252833000106"
"Low transfer dependency","1989","no migration background","East Germany","","","",""
"Low transfer dependency","1989","direct migration background","West Germany","129","0.0434016599636619","0.0354303589051989","0.051372961022125"
"Low transfer dependency","1989","direct migration background","East Germany","","","",""
"Low transfer dependency","1989","indirect migration background","West Germany","12","","",""
"Low transfer dependency","1989","indirect migration background","East Germany","","","",""
"High transfer dependency","1989","no migration background","West Germany","58","0.011149282260084","0.00858124238962922","0.0137173221305387"
"High transfer dependency","1989","no migration background","East Germany","","","",""
"High transfer dependency","1989","direct migration background","West Germany","42","0.0138175523313956","0.00925082140453144","0.0183842832582598"
"High transfer dependency","1989","direct migration background","East Germany","","","",""
"High transfer dependency","1989","indirect migration background","West Germany","2","","",""
"High transfer dependency","1989","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1989","no migration background","West Germany","38","0.00670271449249787","0.00470709413735906","0.00869833484763667"
"Very high transfer dependency","1989","no migration background","East Germany","","","",""
"Very high transfer dependency","1989","direct migration background","West Germany","16","","",""
"Very high transfer dependency","1989","direct migration background","East Germany","","","",""
"Very high transfer dependency","1989","indirect migration background","West Germany","2","","",""
"Very high transfer dependency","1989","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1989","no migration background","West Germany","44","0.0085277001177966","0.0062788050453247","0.0107765951902685"
"Complete transfer dependency","1989","no migration background","East Germany","","","",""
"Complete transfer dependency","1989","direct migration background","West Germany","35","0.0186436829580053","0.0133520410656462","0.0239353248503644"
"Complete transfer dependency","1989","direct migration background","East Germany","","","",""
"Complete transfer dependency","1989","indirect migration background","West Germany","2","","",""
"Complete transfer dependency","1989","indirect migration background","East Germany","","","",""
"No transfer dependency","1990","no migration background","West Germany","3200","0.569593146825597","0.557273474275626","0.581912819375569"
"No transfer dependency","1990","no migration background","East Germany","","","",""
"No transfer dependency","1990","direct migration background","West Germany","706","0.414701812658469","0.39504441666741","0.434359208649527"
"No transfer dependency","1990","direct migration background","East Germany","","","",""
"No transfer dependency","1990","indirect migration background","West Germany","71","0.329891229326311","0.2743213082648","0.385461150387823"
"No transfer dependency","1990","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1990","no migration background","West Germany","2766","0.389334966217843","0.377202741957113","0.401467190478573"
"Very low transfer dependency","1990","no migration background","East Germany","","","",""
"Very low transfer dependency","1990","direct migration background","West Germany","1516","0.510844085295332","0.490898937015902","0.530789233574762"
"Very low transfer dependency","1990","direct migration background","East Germany","","","",""
"Very low transfer dependency","1990","indirect migration background","West Germany","188","0.62699988846152","0.569842818599412","0.684156958323627"
"Very low transfer dependency","1990","indirect migration background","East Germany","","","",""
"Low transfer dependency","1990","no migration background","West Germany","135","0.0210201774024653","0.0174508839360924","0.0245894708688382"
"Low transfer dependency","1990","no migration background","East Germany","","","",""
"Low transfer dependency","1990","direct migration background","West Germany","99","0.0347603576819194","0.0274518430054721","0.0420688723583666"
"Low transfer dependency","1990","direct migration background","East Germany","","","",""
"Low transfer dependency","1990","indirect migration background","West Germany","13","","",""
"Low transfer dependency","1990","indirect migration background","East Germany","","","",""
"High transfer dependency","1990","no migration background","West Germany","55","0.0102001720436334","0.00770008785451223","0.0127002562327546"
"High transfer dependency","1990","no migration background","East Germany","","","",""
"High transfer dependency","1990","direct migration background","West Germany","44","0.0158921188449412","0.0109023355232508","0.0208819021666315"
"High transfer dependency","1990","direct migration background","East Germany","","","",""
"High transfer dependency","1990","indirect migration background","West Germany","","","",""
"High transfer dependency","1990","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1990","no migration background","West Germany","21","","",""
"Very high transfer dependency","1990","no migration background","East Germany","","","",""
"Very high transfer dependency","1990","direct migration background","West Germany","24","","",""
"Very high transfer dependency","1990","direct migration background","East Germany","","","",""
"Very high transfer dependency","1990","indirect migration background","West Germany","2","","",""
"Very high transfer dependency","1990","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1990","no migration background","West Germany","28","","",""
"Complete transfer dependency","1990","no migration background","East Germany","","","",""
"Complete transfer dependency","1990","direct migration background","West Germany","24","","",""
"Complete transfer dependency","1990","direct migration background","East Germany","","","",""
"Complete transfer dependency","1990","indirect migration background","West Germany","1","","",""
"Complete transfer dependency","1990","indirect migration background","East Germany","","","",""
"No transfer dependency","1991","no migration background","West Germany","3256","0.582409895428859","0.570065440879559","0.594754349978158"
"No transfer dependency","1991","no migration background","East Germany","","","",""
"No transfer dependency","1991","direct migration background","West Germany","725","0.436170590209126","0.416086290304712","0.45625489011354"
"No transfer dependency","1991","direct migration background","East Germany","","","",""
"No transfer dependency","1991","indirect migration background","West Germany","100","0.396154125035259","0.342649574763456","0.449658675307062"
"No transfer dependency","1991","indirect migration background","East Germany","","","",""
"Very low transfer dependency","1991","no migration background","West Germany","2622","0.374213950224406","0.362100848666886","0.386327051781926"
"Very low transfer dependency","1991","no migration background","East Germany","","","",""
"Very low transfer dependency","1991","direct migration background","West Germany","1426","0.489826665408628","0.469580875061469","0.510072455755788"
"Very low transfer dependency","1991","direct migration background","East Germany","","","",""
"Very low transfer dependency","1991","indirect migration background","West Germany","195","0.529250358748092","0.474646774130531","0.583853943365653"
"Very low transfer dependency","1991","indirect migration background","East Germany","","","",""
"Low transfer dependency","1991","no migration background","West Germany","146","0.0226558895683497","0.0189311428806046","0.0263806362560947"
"Low transfer dependency","1991","no migration background","East Germany","","","",""
"Low transfer dependency","1991","direct migration background","West Germany","118","0.0482860338131242","0.0396040567528382","0.0569680108734101"
"Low transfer dependency","1991","direct migration background","East Germany","","","",""
"Low transfer dependency","1991","indirect migration background","West Germany","16","","",""
"Low transfer dependency","1991","indirect migration background","East Germany","","","",""
"High transfer dependency","1991","no migration background","West Germany","56","0.00956787945945352","0.00713117623051591","0.0120045826883911"
"High transfer dependency","1991","no migration background","East Germany","","","",""
"High transfer dependency","1991","direct migration background","West Germany","33","0.0126120584600044","0.0080925464711951","0.0171315704488138"
"High transfer dependency","1991","direct migration background","East Germany","","","",""
"High transfer dependency","1991","indirect migration background","West Germany","2","","",""
"High transfer dependency","1991","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1991","no migration background","West Germany","24","","",""
"Very high transfer dependency","1991","no migration background","East Germany","","","",""
"Very high transfer dependency","1991","direct migration background","West Germany","13","","",""
"Very high transfer dependency","1991","direct migration background","East Germany","","","",""
"Very high transfer dependency","1991","indirect migration background","West Germany","4","","",""
"Very high transfer dependency","1991","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1991","no migration background","West Germany","27","","",""
"Complete transfer dependency","1991","no migration background","East Germany","","","",""
"Complete transfer dependency","1991","direct migration background","West Germany","27","","",""
"Complete transfer dependency","1991","direct migration background","East Germany","","","",""
"Complete transfer dependency","1991","indirect migration background","West Germany","4","","",""
"Complete transfer dependency","1991","indirect migration background","East Germany","","","",""
"No transfer dependency","1992","no migration background","West Germany","3242","0.584077888756487","0.571677625378578","0.596478152134397"
"No transfer dependency","1992","no migration background","East Germany","1005","0.349433570896614","0.33402890373448","0.364838238058749"
"No transfer dependency","1992","direct migration background","West Germany","752","0.465216616222889","0.444579299650558","0.485853932795219"
"No transfer dependency","1992","direct migration background","East Germany","54","0.433714342195888","0.350423297383363","0.517005387008413"
"No transfer dependency","1992","indirect migration background","West Germany","105","0.336791318371994","0.288172956276459","0.38540968046753"
"No transfer dependency","1992","indirect migration background","East Germany","1","","",""
"Very low transfer dependency","1992","no migration background","West Germany","2565","0.373171902697086","0.361003930229545","0.385339875164626"
"Very low transfer dependency","1992","no migration background","East Germany","2234","0.539348239870179","0.523243816395874","0.555452663344484"
"Very low transfer dependency","1992","direct migration background","West Germany","1300","0.470927572666949","0.45027513649395","0.491580008839949"
"Very low transfer dependency","1992","direct migration background","East Germany","69","0.469983534455048","0.386102333619534","0.553864735290561"
"Very low transfer dependency","1992","indirect migration background","West Germany","224","0.587133027944331","0.536484350978339","0.637781704910323"
"Very low transfer dependency","1992","indirect migration background","East Germany","7","","",""
"Low transfer dependency","1992","no migration background","West Germany","144","0.0195699213412852","0.0160850048502333","0.0230548378323371"
"Low transfer dependency","1992","no migration background","East Germany","353","0.0853120448359108","0.0762866577422529","0.0943374319295686"
"Low transfer dependency","1992","direct migration background","West Germany","111","0.0326636316453034","0.0253090553543468","0.0400182079362599"
"Low transfer dependency","1992","direct migration background","East Germany","10","","",""
"Low transfer dependency","1992","indirect migration background","West Germany","22","","",""
"Low transfer dependency","1992","indirect migration background","East Germany","2","","",""
"High transfer dependency","1992","no migration background","West Germany","65","0.0108358011318873","0.00823112200392548","0.0134404802598492"
"High transfer dependency","1992","no migration background","East Germany","62","0.0165747544504098","0.01244980709993","0.0206997018008896"
"High transfer dependency","1992","direct migration background","West Germany","36","0.0124579704634351","0.00786875860375004","0.0170471823231201"
"High transfer dependency","1992","direct migration background","East Germany","1","","",""
"High transfer dependency","1992","indirect migration background","West Germany","4","","",""
"High transfer dependency","1992","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1992","no migration background","West Germany","29","","",""
"Very high transfer dependency","1992","no migration background","East Germany","16","","",""
"Very high transfer dependency","1992","direct migration background","West Germany","25","","",""
"Very high transfer dependency","1992","direct migration background","East Germany","2","","",""
"Very high transfer dependency","1992","indirect migration background","West Germany","8","","",""
"Very high transfer dependency","1992","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1992","no migration background","West Germany","24","","",""
"Complete transfer dependency","1992","no migration background","East Germany","10","","",""
"Complete transfer dependency","1992","direct migration background","West Germany","20","","",""
"Complete transfer dependency","1992","direct migration background","East Germany","","","",""
"Complete transfer dependency","1992","indirect migration background","West Germany","","","",""
"Complete transfer dependency","1992","indirect migration background","East Germany","","","",""
"No transfer dependency","1993","no migration background","West Germany","3295","0.588651986500957","0.57640536715317","0.600898605848743"
"No transfer dependency","1993","no migration background","East Germany","948","0.336770240385728","0.321327784565654","0.352212696205802"
"No transfer dependency","1993","direct migration background","West Germany","754","0.447244720998411","0.426727544031446","0.467761897965376"
"No transfer dependency","1993","direct migration background","East Germany","58","0.455857802619006","0.370894374941926","0.540821230296085"
"No transfer dependency","1993","indirect migration background","West Germany","121","0.294948222040909","0.252192842122039","0.337703601959779"
"No transfer dependency","1993","indirect migration background","East Germany","2","","",""
"Very low transfer dependency","1993","no migration background","West Germany","2633","0.367410515491117","0.355412235698241","0.379408795283994"
"Very low transfer dependency","1993","no migration background","East Germany","2006","0.498587354141131","0.482249847297303","0.51492486098496"
"Very low transfer dependency","1993","direct migration background","West Germany","1301","0.486158546230263","0.465534110540056","0.50678298192047"
"Very low transfer dependency","1993","direct migration background","East Germany","60","0.433950874450267","0.349401875250886","0.518499873649648"
"Very low transfer dependency","1993","indirect migration background","West Germany","278","0.638574327149926","0.593531815571266","0.683616838728586"
"Very low transfer dependency","1993","indirect migration background","East Germany","9","","",""
"Low transfer dependency","1993","no migration background","West Germany","156","0.0227938331326959","0.0190794731487788","0.0265081931166129"
"Low transfer dependency","1993","no migration background","East Germany","488","0.113105219759139","0.102756303210363","0.123454136307916"
"Low transfer dependency","1993","direct migration background","West Germany","109","0.0341181581766599","0.0266272696669354","0.0416090466863845"
"Low transfer dependency","1993","direct migration background","East Germany","10","","",""
"Low transfer dependency","1993","indirect migration background","West Germany","19","","",""
"Low transfer dependency","1993","indirect migration background","East Germany","2","","",""
"High transfer dependency","1993","no migration background","West Germany","55","0.00892254282857106","0.00658219542322661","0.0112628902339155"
"High transfer dependency","1993","no migration background","East Germany","96","0.0310037599220164","0.0253402490297865","0.0366672708142464"
"High transfer dependency","1993","direct migration background","West Germany","47","0.0150214267867327","0.0100020762378692","0.0200407773355961"
"High transfer dependency","1993","direct migration background","East Germany","3","","",""
"High transfer dependency","1993","indirect migration background","West Germany","11","","",""
"High transfer dependency","1993","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1993","no migration background","West Germany","40","0.00723587740048299","0.00512651671686797","0.00934523808409802"
"Very high transfer dependency","1993","no migration background","East Germany","46","0.0146433278943503","0.0107183778281252","0.0185682779605754"
"Very high transfer dependency","1993","direct migration background","West Germany","28","","",""
"Very high transfer dependency","1993","direct migration background","East Germany","","","",""
"Very high transfer dependency","1993","indirect migration background","West Germany","6","","",""
"Very high transfer dependency","1993","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1993","no migration background","West Germany","23","","",""
"Complete transfer dependency","1993","no migration background","East Germany","14","","",""
"Complete transfer dependency","1993","direct migration background","West Germany","17","","",""
"Complete transfer dependency","1993","direct migration background","East Germany","1","","",""
"Complete transfer dependency","1993","indirect migration background","West Germany","2","","",""
"Complete transfer dependency","1993","indirect migration background","East Germany","","","",""
"No transfer dependency","1994","no migration background","West Germany","3240","0.583126379913047","0.570799002324621","0.595453757501474"
"No transfer dependency","1994","no migration background","East Germany","1040","0.383393410962339","0.367331280010824","0.399455541913854"
"No transfer dependency","1994","direct migration background","West Germany","720","0.439204940463311","0.418231794292157","0.460178086634464"
"No transfer dependency","1994","direct migration background","East Germany","77","0.595705126811186","0.51441293014811","0.676997323474262"
"No transfer dependency","1994","indirect migration background","West Germany","131","0.326439950486392","0.283495686507928","0.369384214464855"
"No transfer dependency","1994","indirect migration background","East Germany","4","","",""
